"harvest"	"lat"	"long"	"yield"
"H8"	24.1736017	48.0325824	2.14668
"H8"	24.1734878	48.0325277	2.15472
"H8"	24.1733399	48.0324465	1.66428
"H8"	24.1732386	48.0323824	3.51348
"H8"	24.1733198	48.0322166	1.23012
"H8"	24.1734279	48.0322824	0.47436
"H8"	24.1735403	48.0323443	0.45828
"H8"	24.1736543	48.0324013	0.69144
"H8"	24.1737707	48.0324533	0.6834
"H8"	24.1738894	48.0324973	1.10952
"H8"	24.1740505	48.0325449	0.82008
"H8"	24.1741715	48.032579	1.55976
"H8"	24.1742949	48.0326031	2.05824
"H8"	24.1744198	48.0326185	1.79292
"H8"	24.1745868	48.0326334	1.5276
"H8"	24.1747119	48.032638	1.7688
"H8"	24.1748377	48.0326352	1.76076
"H8"	24.1749611	48.0326273	1.81704
"H8"	24.1750843	48.0326149	2.48436
"H8"	24.1752081	48.0325928	1.8492
"H8"	24.1753306	48.0325653	1.86528
"H8"	24.1754533	48.0325347	1.85724
"H8"	24.1755723	48.0324953	1.9698
"H8"	24.1756906	48.032452	1.97784
"H8"	24.1758454	48.0323845	1.5276
"H8"	24.1759584	48.0323254	3.1356
"H8"	24.1760685	48.0322615	2.05824
"H8"	24.1761773	48.0321908	2.08236
"H8"	24.1763148	48.0320911	1.67232
"H8"	24.176415	48.0320114	2.23512
"H8"	24.1765118	48.0319254	2.2914
"H8"	24.1766052	48.0318355	2.30748
"H8"	24.1766659	48.0317738	3.4974
"H8"	24.1766956	48.0317422	2.35572
"H8"	24.1767806	48.0316431	2.42808
"H8"	24.176861	48.03154	2.5728
"H8"	24.1769638	48.0313983	3.1356
"H8"	24.1770347	48.0312875	2.78184
"H8"	24.1771013	48.031171	2.8542
"H8"	24.1771613	48.0310522	2.99892
"H8"	24.1772184	48.0309322	3.23208
"H8"	24.1772686	48.0308091	3.3366
"H8"	24.1773288	48.0306408	2.56476
"H8"	24.1773681	48.0305125	3.4974
"H8"	24.1774041	48.0303817	3.40092
"H8"	24.1774327	48.0302482	5.3064
"H8"	24.1774537	48.0301136	3.48132
"H8"	24.1774695	48.029979	3.4572
"H8"	24.1774792	48.0298438	3.30444
"H8"	24.1774854	48.0296773	2.66928
"H8"	24.1774863	48.0295677	4.06824
"H8"	24.1774834	48.0294579	5.40288
"H8"	24.1774767	48.0293477	3.76272
"H8"	24.1774703	48.0292793	2.01
"H8"	24.1774515	48.0291244	5.1456
"H8"	24.1774303	48.0290144	2.91048
"H8"	24.1774101	48.0289198	2.78184
"H8"	24.1773856	48.028821	3.95568
"H8"	24.1773567	48.0287164	2.40396
"H8"	24.1773149	48.0285785	1.79292
"H8"	24.1772871	48.0285056	3.28032
"H8"	24.1772203	48.0283434	1.42308
"H8"	24.1771644	48.0282239	2.17884
"H8"	24.1771044	48.0281053	2.83812
"H8"	24.1770388	48.0279906	2.37984
"H8"	24.177016	48.0279529	2.33964
"H8"	24.1769694	48.0278787	2.35572
"H8"	24.1768959	48.0277712	2.54064
"H8"	24.1768184	48.0276663	2.78988
"H8"	24.1767045	48.0275357	2.54868
"H8"	24.1766158	48.0274411	2.47632
"H8"	24.1766948	48.0271389	1.02108
"H8"	24.1767892	48.0272301	1.407
"H8"	24.1768798	48.0273247	1.02108
"H8"	24.1769676	48.0274229	1.03716
"H8"	24.1770495	48.0275252	1.17384
"H8"	24.1770759	48.0275607	1.18992
"H8"	24.1771269	48.0276325	1.206
"H8"	24.1772234	48.0277792	1.38288
"H8"	24.1772912	48.0278935	1.87332
"H8"	24.1773528	48.0280122	3.83508
"H8"	24.1774132	48.0281323	2.56476
"H8"	24.1774674	48.0282556	2.66124
