"col"	"row"	"yield"	"year"	"crop"
43	2	91	1926	"wheat"
1	3	114	1926	"wheat"
2	3	108	1926	"wheat"
3	3	114	1926	"wheat"
4	3	106	1926	"wheat"
5	3	114	1926	"wheat"
6	3	105	1926	"wheat"
7	3	102	1926	"wheat"
8	3	104	1926	"wheat"
9	3	NA	1926	"wheat"
10	3	NA	1926	"wheat"
11	3	NA	1926	"wheat"
12	3	NA	1926	"wheat"
13	3	NA	1926	"wheat"
14	3	104	1926	"wheat"
15	3	101	1926	"wheat"
16	3	99	1926	"wheat"
17	3	100	1926	"wheat"
18	3	107	1926	"wheat"
19	3	100	1926	"wheat"
20	3	104	1926	"wheat"
21	3	105	1926	"wheat"
22	3	107	1926	"wheat"
23	3	100	1926	"wheat"
24	3	107	1926	"wheat"
25	3	105	1926	"wheat"
26	3	114	1926	"wheat"
27	3	116	1926	"wheat"
28	3	107	1926	"wheat"
29	3	100	1926	"wheat"
30	3	94	1926	"wheat"
31	3	92	1926	"wheat"
32	3	96	1926	"wheat"
33	3	108	1926	"wheat"
34	3	107	1926	"wheat"
35	3	109	1926	"wheat"
36	3	108	1926	"wheat"
37	3	104	1926	"wheat"
38	3	99	1926	"wheat"
39	3	99	1926	"wheat"
40	3	96	1926	"wheat"
41	3	92	1926	"wheat"
42	3	95	1926	"wheat"
43	3	88	1926	"wheat"
