"row"	"col"	"yield"	"ears"
27	12	193	13
27	13	94	8
27	14	238	15
27	15	193	13
27	16	126	10
27	17	151	13
27	18	155	14
27	19	149	13
27	2	139	10
27	20	154	13
27	21	73	6
27	22	126	13
27	23	152	12
27	24	69	6
27	25	104	8
27	26	103	10
27	27	160	11
27	28	153	13
27	29	147	11
27	3	111	9
27	30	151	12
27	31	137	11
27	32	120	10
27	33	215	18
27	34	220	17
27	35	150	12
27	36	57	6
27	4	112	9
27	5	127	10
27	6	173	14
27	7	197	14
27	8	184	15
27	9	210	17
28	1	196	16
28	10	157	14
28	11	116	10
28	12	208	15
28	13	55	7
28	14	69	7
28	15	158	12
28	16	84	8
28	17	95	11
28	18	129	10
28	19	123	10
28	2	194	17
28	20	123	11
28	21	106	10
28	22	122	10
28	23	180	13
28	24	115	11
28	25	176	16
28	26	116	9
28	27	144	12
28	28	212	16
28	29	154	13
28	3	211	17
28	30	176	13
28	31	157	10
28	32	119	16
28	33	127	12
28	34	223	17
28	35	183	16
28	36	180	15
28	4	174	13
28	5	163	12
28	6	125	9
28	7	92	7
28	8	185	13
28	9	132	13
29	1	155	13
29	10	90	5
29	11	202	16
29	12	154	12
29	13	121	19
29	14	145	13
29	15	156	11
29	16	195	15
29	17	154	13
29	18	126	10
29	19	156	14
29	2	194	16
29	20	120	11
29	21	158	13
29	22	120	13
29	23	176	16
29	24	192	14
29	25	109	11
29	26	154	12
29	27	130	11
29	28	172	15
29	29	166	15
29	3	220	18
29	30	233	20
29	31	198	14
29	32	171	13
29	33	125	9
29	34	149	10
29	35	149	13
29	36	124	9
29	4	101	8
29	5	233	18
29	6	199	18
29	7	179	15
29	8	97	18
29	9	156	14
3	1	146	12
3	10	241	21
3	11	104	10
3	12	181	15
3	13	147	10
3	14	172	14
3	15	146	11
3	16	232	19
3	17	82	8
3	18	197	15
3	19	205	16
3	2	194	14
3	20	163	13
3	21	143	11
3	22	64	7
3	23	212	10
3	24	61	7
3	25	181	14
3	26	203	15
3	27	216	23
3	28	197	15
3	29	116	9
3	3	224	16
3	30	172	13
3	31	137	12
3	32	127	9
3	33	114	7
3	34	92	9
3	35	150	10
3	36	159	12
3	4	176	16
3	5	129	10
3	6	193	17
3	7	98	8
3	8	109	9
3	9	63	9
30	1	183	14
30	10	136	11
30	11	141	9
30	12	159	12
30	13	75	7
30	14	105	9
30	15	103	9
30	16	222	12
30	17	176	14
30	18	78	5
30	19	121	9
30	2	98	10
30	20	182	16
30	21	111	9
30	22	99	10
30	23	118	9
30	24	222	18
30	25	186	19
30	26	188	17
30	27	209	18
30	28	166	14
30	29	176	13
30	3	160	14
30	30	157	14
30	31	224	19
30	32	194	15
30	33	120	9
30	34	146	13
30	35	196	18
30	36	144	11
30	4	119	11
30	5	109	9
30	6	150	13
30	7	79	11
30	8	136	11
30	9	214	18
4	1	178	12
4	10	110	9
4	11	169	13
4	12	193	14
4	13	190	15
4	14	146	12
4	15	136	11
4	16	199	19
4	17	191	17
4	18	186	15
4	19	152	12
4	2	193	14
4	20	211	16
4	21	221	17
4	22	121	8
4	23	181	15
4	24	97	8
4	25	179	12
4	26	108	10
4	27	133	10
4	28	40	3
4	29	194	12
4	3	56	4
4	30	179	13
4	31	180	13
4	32	191	15
4	33	215	11
4	34	154	12
4	35	211	14
4	36	199	6
4	4	141	11
4	5	161	14
4	6	58	5
4	7	126	11
4	8	174	14
4	9	204	18
5	1	106	8
5	10	161	12
5	11	170	16
5	12	134	12
5	13	180	13
5	14	158	9
5	15	116	10
5	16	96	8
5	17	118	6
5	18	133	12
5	19	145	12
5	2	191	15
5	20	106	8
5	21	156	11
5	22	176	14
5	23	173	14
5	24	81	8
5	25	118	10
5	26	179	14
5	27	204	13
5	28	179	13
5	29	153	11
5	3	150	12
5	30	153	10
5	31	123	10
5	32	196	15
5	33	132	10
5	34	156	11
5	35	163	11
5	36	155	13
5	4	111	9
5	5	209	16
5	6	133	10
5	7	35	3
5	8	143	10
5	9	123	11
6	1	148	12
6	10	114	9
6	11	178	17
6	12	116	8
6	13	198	13
6	14	131	9
6	15	180	16
6	16	168	13
6	17	142	11
6	18	164	12
6	19	146	13
6	2	196	15
6	20	225	15
6	21	148	9
6	22	129	10
6	23	146	11
6	24	32	7
6	25	96	9
6	26	242	20
6	27	138	13
6	28	140	11
6	29	162	13
6	3	169	12
6	30	162	12
6	31	215	17
6	32	162	13
6	33	138	11
6	34	183	15
6	35	114	12
6	36	273	22
6	4	157	12
6	5	220	14
6	6	140	11
6	7	150	12
6	8	118	10
6	9	158	16
7	1	133	10
7	10	202	16
7	11	140	13
7	12	127	11
7	13	164	13
7	14	199	14
7	15	126	9
7	16	202	18
7	17	133	11
7	18	170	12
7	19	118	11
7	2	182	14
7	20	103	9
7	21	131	10
7	22	178	16
7	23	137	10
7	24	71	6
7	25	149	10
7	26	178	15
7	27	201	15
7	28	124	9
7	29	148	17
7	3	183	13
7	30	214	17
7	31	190	16
7	32	189	14
7	33	103	10
7	34	133	11
7	35	191	11
7	36	228	15
7	4	176	15
7	5	201	12
7	6	76	6
7	7	165	13
7	8	148	10
7	9	178	15
8	1	151	12
8	10	180	14
8	11	191	15
8	12	179	14
8	13	186	15
8	14	202	15
8	15	70	9
8	16	255	9
8	17	196	15
8	18	169	16
8	19	136	8
8	2	189	16
8	20	96	9
8	21	121	9
8	22	180	15
8	23	105	9
8	24	75	5
8	25	143	10
8	26	121	9
8	27	115	8
8	28	175	14
8	29	100	8
8	3	116	12
8	30	233	18
8	31	151	13
8	32	167	14
8	33	97	8
8	34	92	8
8	35	150	10
8	36	236	10
8	4	234	18
8	5	102	9
8	6	158	9
8	7	96	8
8	8	177	13
8	9	227	19
9	1	192	10
9	10	103	9
9	11	190	15
9	12	177	13
9	13	196	14
9	14	109	9
9	15	112	9
9	16	174	14
9	17	111	10
9	18	251	19
9	19	119	8
9	2	179	13
9	20	88	6
9	21	130	9
9	22	135	13
9	23	132	12
9	24	84	7
9	25	83	7
9	26	142	13
9	27	198	15
9	28	171	13
9	29	147	15
9	3	123	9
9	30	200	10
9	31	162	23
9	32	203	17
9	33	199	16
9	34	125	11
9	35	79	7
9	36	150	10
9	4	170	11
9	5	139	11
9	6	76	7
9	7	175	15
9	8	87	7
9	9	162	13
