"long"	"lat"	"mass"	"time"	"seconds"	"dist"	"moist"	"elev"
-93.978163	43.924127	38.41	1011	3	246	17.4	1052.88
-93.978163	43.924071	37.12	1014	3	245	17.5	1052.88
-93.978164	43.924016	38.61	1017	3	240	17.6	1052.88
-93.978164	43.92396	39.74	1020	3	242	17.8	1052.55
-93.978165	43.923904	38.2	1023	3	245	17.3	1052.55
-93.978165	43.923849	37.73	1026	3	235	17	1052.22
-93.978166	43.923794	38.7	1029	3	239	17.3	1052.55
-93.978166	43.923738	38.13	1032	3	241	17.2	1052.22
-93.978166	43.923682	40.78	1035	3	245	17.1	1052.22
-93.978166	43.923627	36.4	1038	3	238	16.7	1052.55
-93.978167	43.923571	39.95	1041	3	240	17.2	1052.55
-93.978167	43.923516	40.55	1044	3	245	17.2	1052.22
-93.978166	43.923461	40.18	1047	3	238	16.9	1052.22
-93.978165	43.923405	37.98	1050	3	242	17.2	1052.22
-93.978165	43.923349	38.19	1053	3	239	16.9	1052.55
-93.978166	43.923294	38.31	1056	3	236	16.9	1052.88
-93.978167	43.923238	37.46	1059	3	242	16.9	1052.55
-93.978167	43.923181	38.09	1062	3	247	16.9	1052.88
-93.978166	43.923126	40.34	1065	3	239	16.9	1053.21
-93.978166	43.923069	38.42	1068	3	246	17.1	1052.88
-93.978165	43.923014	42.67	1071	3	241	17.1	1053.21
-93.978165	43.922958	38.52	1074	3	241	16.9	1052.88
-93.978166	43.922902	39.99	1077	3	241	16.6	1052.55
-93.978166	43.922846	39.46	1080	3	239	16.4	1052.55
-93.978167	43.92279	39.14	1083	3	243	16.5	1052.22
-93.978166	43.922736	38.33	1086	3	240	16.6	1052.22
-93.978167	43.92268	39.38	1089	3	239	16.8	1052.55
-93.978168	43.922625	39.32	1092	3	241	16.8	1052.22
-93.978168	43.922569	39.19	1095	3	244	16.6	1052.22
-93.978168	43.922514	39.15	1098	3	241	16.9	1051.9
-93.978168	43.922459	38.96	1101	3	239	17.3	1052.22
-93.978168	43.922404	38.16	1104	3	238	17.1	1052.22
-93.978168	43.922348	39.54	1107	3	242	17.1	1052.22
-93.978168	43.922293	39.31	1110	3	242	16.9	1052.22
-93.978167	43.922238	41.47	1113	3	239	16.9	1052.22
-93.978167	43.922182	38.7	1116	3	243	16.8	1051.9
-93.978167	43.922127	37.81	1119	3	238	16.4	1051.9
-93.978167	43.922072	39.64	1122	3	236	16.8	1051.9
-93.978166	43.922016	35.06	1125	3	239	16.8	1052.22
-93.978165	43.92196	37.03	1128	3	242	16.3	1051.9
-93.978165	43.921906	34.68	1131	3	234	16.8	1051.9
-93.978166	43.921851	38.07	1134	3	239	16.6	1052.22
-93.978166	43.921795	35.86	1137	3	240	16.6	1052.22
-93.978166	43.921739	37.28	1140	3	241	16.8	1051.9
-93.978165	43.921684	38.49	1143	3	236	16.7	1051.9
-93.978164	43.921628	39.03	1146	3	244	16.6	1051.9
-93.978164	43.921573	39.99	1149	3	241	16.4	1052.22
-93.978163	43.921518	38.85	1152	3	237	16.7	1052.22
-93.978163	43.921463	37.7	1155	3	239	16.7	1052.22
-93.978163	43.921407	38.06	1158	3	242	16.6	1051.9
-93.978164	43.921352	39.7	1161	3	238	16.7	1052.22
-93.978164	43.921296	36.86	1164	3	239	16.5	1052.55
-93.978165	43.92124	34.61	1167	3	240	16.6	1052.22
-93.978165	43.921184	35.89	1170	3	241	16.2	1051.9
-93.978166	43.921128	34.88	1173	3	245	16	1051.57
-93.978168	43.921072	13.51	1176	3	239	16.1	1051.57
-93.978055	43.921109	32.6	1200	3	227	15.8	1052.55
-93.978054	43.921165	35.6	1203	3	239	15.8	1052.55
-93.978052	43.921221	34.74	1206	3	236	16.4	1051.9
-93.978053	43.921277	36.26	1209	3	241	16.3	1052.22
-93.978052	43.921333	36.77	1212	3	242	16.1	1052.22
-93.978051	43.921389	34.7	1215	3	245	16.4	1052.55
-93.978051	43.921444	34.23	1218	3	239	16.5	1052.88
-93.978051	43.9215	34.5	1221	3	242	16.2	1052.55
-93.978051	43.921555	35.37	1224	3	241	16.6	1052.55
-93.978052	43.92161	33.19	1227	3	238	16.3	1052.55
-93.978053	43.921665	35.44	1230	3	238	16.1	1052.55
-93.978053	43.921721	36.11	1233	3	240	16.7	1052.88
-93.978053	43.921777	37.9	1236	3	238	16.6	1052.88
-93.978052	43.921833	36.12	1239	3	242	16.7	1052.55
-93.978053	43.921889	36.82	1242	3	243	16.4	1052.55
-93.978053	43.921944	36.37	1245	3	244	17.2	1052.88
-93.978054	43.922	37.08	1248	3	241	17	1052.55
-93.978054	43.922055	35.58	1251	3	239	16.5	1052.55
-93.978055	43.922111	39.99	1254	3	245	16.5	1052.22
-93.978056	43.922164	37.87	1257	3	238	16.5	1052.88
-93.978056	43.922219	38.63	1260	3	231	16.6	1052.55
-93.978056	43.922274	39.34	1263	3	238	16.6	1052.88
-93.978057	43.922329	40.14	1266	3	240	16.6	1052.55
-93.978057	43.922385	40.15	1269	3	236	16.6	1052.88
-93.978057	43.922441	37.72	1272	3	246	16.7	1052.55
-93.978057	43.922497	37.54	1275	3	242	16.8	1052.55
-93.978057	43.922553	37.81	1278	3	240	17	1052.22
-93.978056	43.922608	39.94	1281	3	242	16.9	1052.22
-93.978056	43.922663	36.53	1284	3	241	17.1	1052.22
-93.978057	43.922718	38.77	1287	3	242	17.1	1052.55
-93.978056	43.922774	39.45	1290	3	240	17	1052.22
-93.978055	43.92283	38.02	1293	3	244	16.9	1052.55
-93.978055	43.922883	37.56	1296	3	240	17	1052.88
-93.978054	43.92294	38.81	1299	3	238	17.2	1053.21
-93.978055	43.922996	40.84	1302	3	248	16.9	1052.88
-93.978056	43.923051	38.14	1305	3	236	17.1	1052.88
-93.978057	43.923106	41.47	1308	3	239	16.6	1052.88
-93.978057	43.923161	39.9	1311	3	239	17.1	1053.21
-93.978057	43.923216	39.98	1314	3	239	16.5	1053.21
-93.978056	43.923273	38.15	1317	3	243	17	1053.54
-93.978055	43.923329	38.68	1320	3	242	16.7	1053.54
-93.978054	43.923385	38.22	1323	3	238	16.8	1053.86
-93.978055	43.923441	40.03	1326	3	241	16.8	1053.54
-93.978056	43.923498	40.82	1329	3	244	16.8	1053.54
-93.978055	43.923554	40.26	1332	3	247	17	1053.21
-93.978056	43.923609	38.24	1335	3	239	17	1053.86
-93.978056	43.923665	38.76	1338	3	244	16.9	1053.54
-93.978055	43.923721	39.59	1341	3	239	17	1053.86
-93.978055	43.923778	36.06	1344	3	247	17	1053.86
-93.978055	43.923835	37.88	1347	3	244	17	1053.86
-93.978054	43.92389	38.33	1350	3	240	16.7	1054.19
-93.978054	43.923946	38.61	1353	3	242	16.7	1054.52
-93.978054	43.924002	37.2	1356	3	242	17.1	1054.19
-93.978054	43.924058	37.24	1359	3	244	17.2	1054.52
-93.978053	43.924113	38.77	1362	3	241	17	1054.52
-93.978053	43.924169	36.8	1365	3	239	17.4	1055.18
-93.978053	43.924224	37.68	1368	3	239	17.2	1055.5
-93.978052	43.924279	39.35	1371	3	240	17.1	1055.83
-93.978049	43.924337	40.04	1374	3	247	17	1055.83
-93.978048	43.924394	39.41	1377	3	250	17	1055.83
-93.978048	43.924452	37.44	1380	3	248	17	1055.5
-93.978048	43.924511	37.8	1383	3	258	17.1	1055.5
-93.978048	43.924569	39.68	1386	3	253	17.4	1054.85
-93.978048	43.924628	41.6	1389	3	257	17.3	1054.19
-93.978048	43.924688	40.19	1392	3	259	17.6	1052.88
-93.978049	43.924746	44.09	1395	3	256	17.2	1052.22
-93.978048	43.924805	41.57	1398	3	257	17.5	1051.24
-93.978049	43.924864	40.32	1401	3	255	17.3	1050.26
-93.978049	43.924922	40.79	1404	3	248	17.2	1048.62
-93.978049	43.924981	42.02	1407	3	260	17.3	1047.63
-93.978049	43.925039	40.89	1410	3	254	17.6	1046.32
-93.97805	43.925096	37.43	1413	3	250	17.7	1045.01
-93.978051	43.925153	39.82	1416	3	247	17.6	1044.02
-93.978053	43.925213	40.74	1419	3	256	17.7	1042.38
-93.978052	43.925271	44.29	1422	3	260	18.2	1040.74
-93.978053	43.925328	46.23	1425	3	245	18.4	1039.76
-93.978054	43.925385	43.03	1428	3	252	18.1	1038.12
-93.978055	43.925442	43.57	1431	3	252	18.3	1037.46
-93.978056	43.925499	41.11	1434	3	247	18.4	1036.48
-93.978056	43.925557	40.21	1437	3	250	18.3	1035.5
-93.978057	43.925614	40.66	1440	3	248	18	1034.18
-93.978058	43.925671	39.3	1443	3	252	17.9	1033.53
-93.97806	43.925729	45.17	1446	3	250	17.3	1032.54
-93.978061	43.925787	44.65	1449	3	253	17	1031.56
-93.978062	43.925843	43.3	1452	3	246	17.1	1030.58
-93.978064	43.925901	42.26	1455	3	248	17.4	1029.92
-93.978065	43.925957	44.21	1458	3	242	17.8	1029.59
-93.978067	43.926014	46.66	1461	3	246	17.8	1028.94
-93.978068	43.92607	43.41	1464	3	243	17.4	1028.61
-93.97807	43.926128	36.63	1467	3	253	17.6	1027.62
-93.978071	43.926185	35.31	1470	3	247	17.5	1027.3
-93.978071	43.926236	32.04	1473	3	235	17.5	1026.97
-93.978074	43.926351	31.83	1482	3	152	17	1026.64
-93.978074	43.926397	37.94	1485	3	195	17.3	1026.97
-93.978074	43.926449	40.64	1488	3	221	17	1027.3
-93.978076	43.926503	38.97	1491	3	239	17.5	1027.3
-93.978078	43.926558	39.83	1494	3	234	17.3	1027.3
-93.978078	43.926612	39.38	1497	3	238	17.1	1027.62
-93.978078	43.926668	40.79	1500	3	239	17.1	1027.3
-93.978079	43.926721	38.86	1503	3	232	17.1	1027.62
-93.978081	43.926776	38.96	1506	3	239	17.1	1027.3
-93.978082	43.926831	36.05	1509	3	233	17	1027.62
-93.978082	43.926887	36.78	1512	3	241	17	1027.3
-93.978083	43.926941	32.58	1515	3	240	17	1027.62
-93.978084	43.926995	25.59	1518	3	227	17.7	1027.62
-93.978085	43.927051	15.39	1521	3	240	17.8	1027.3
-93.978087	43.927106	11.53	1524	3	237	17.4	1027.3
-93.978088	43.927161	8.18	1527	3	239	17.8	1027.62
-93.97809	43.927215	1.57	1530	3	239	17.9	1027.62
-93.97797	43.927197	12.79	1551	3	193	17.3	1027.95
-93.97797	43.927144	16.38	1554	3	229	17.2	1027.62
-93.977968	43.927091	25.07	1557	3	229	17.3	1027.62
-93.977967	43.927038	31.37	1560	3	233	17.6	1027.62
-93.977967	43.926983	33	1563	3	233	17.1	1027.62
-93.977968	43.926929	37.39	1566	3	233	16.6	1027.95
-93.977967	43.926875	37.86	1569	3	236	16.8	1028.28
-93.977966	43.92682	37.7	1572	3	237	17	1028.28
-93.977966	43.926766	36.79	1575	3	237	17	1028.28
-93.977964	43.926712	40.59	1578	3	238	17.6	1028.28
-93.977963	43.926657	37.79	1581	3	235	17.1	1028.28
