gen	env	yield	year	loc
Sunbelt1827	AL86	9.4	86	AL
Sunbelt1860	AL86	10.3	86	AL
Cargill8951	AL86	8.8	86	AL
Cargill8990	AL86	8.7	86	AL
Coker21	BR86	6.9	86	BR
G4522	BR86	7.7	86	BR
G4673A	BR86	7.9	86	BR
G4733	BR86	7.9	86	BR
G4765	BR86	7	86	BR
McCurdy8150	BR86	8.9	86	BR
McCurdy8172	BR86	9.4	86	BR
PB3147	BR86	7.9	86	BR
PB3165	BR86	6.5	86	BR
PB3320	BR86	7.2	86	BR
PB3358	BR86	5.4	86	BR
PB3389	BR86	6.2	86	BR
Sunbelt1802	BR86	7.2	86	BR
Sunbelt1827	BR86	8.8	86	BR
Sunbelt1860	BR86	7.3	86	BR
Cargill8951	BR86	7.1	86	BR
Cargill8990	BR86	6.4	86	BR
Coker21	BC86	4.9	86	BC
G4522	BC86	2.5	86	BC
G4673A	BC86	3.4	86	BC
G4733	BC86	2.5	86	BC
G4765	BC86	3	86	BC
McCurdy8150	BC86	2.5	86	BC
McCurdy8172	BC86	3.6	86	BC
PB3147	BC86	5.6	86	BC
PB3165	BC86	3.8	86	BC
PB3320	BC86	3.9	86	BC
PB3358	BC86	3	86	BC
PB3389	BC86	3	86	BC
Sunbelt1802	BC86	2.5	86	BC
Sunbelt1827	BC86	2.6	86	BC
Sunbelt1860	BC86	3.8	86	BC
Cargill8951	BC86	2.8	86	BC
Cargill8990	BC86	1.6	86	BC
Coker21	SJ86	6.4	86	SJ
G4522	SJ86	6.4	86	SJ
G4673A	SJ86	8.1	86	SJ
G4733	SJ86	7.2	86	SJ
G4765	SJ86	7.5	86	SJ
McCurdy8150	SJ86	6.6	86	SJ
McCurdy8172	SJ86	7.7	86	SJ
PB3147	SJ86	7.6	86	SJ
PB3165	SJ86	7.8	86	SJ
PB3320	SJ86	7.5	86	SJ
PB3358	SJ86	6	86	SJ
PB3389	SJ86	7.2	86	SJ
Sunbelt1802	SJ86	6.8	86	SJ
Sunbelt1827	SJ86	7.6	86	SJ
Sunbelt1860	SJ86	6.9	86	SJ
Cargill8951	SJ86	7.2	86	SJ
Cargill8990	SJ86	7.3	86	SJ
Coker21	AL87	8.4	87	AL
G4522	AL87	6.1	87	AL
G4673A	AL87	6.8	87	AL
G4733	AL87	6.1	87	AL
G4765	AL87	8.2	87	AL
McCurdy8150	AL87	6.9	87	AL
McCurdy8172	AL87	6.9	87	AL
PB3147	AL87	9.1	87	AL
PB3165	AL87	9.2	87	AL
PB3320	AL87	7.7	87	AL
PB3358	AL87	6.7	87	AL
PB3389	AL87	7.8	87	AL
Sunbelt1802	AL87	6.5	87	AL
Sunbelt1827	AL87	5.2	87	AL
Sunbelt1860	AL87	8.3	87	AL
Cargill8951	AL87	6.8	87	AL
Cargill8990	AL87	7.1	87	AL
Coker21	BR87	8.7	87	BR
G4522	BR87	9.4	87	BR
G4673A	BR87	8.8	87	BR
G4733	BR87	7.9	87	BR
G4765	BR87	7.8	87	BR
McCurdy8150	BR87	7.8	87	BR
McCurdy8172	BR87	11.4	87	BR
PB3147	BR87	9.9	87	BR
PB3165	BR87	8.6	87	BR
PB3320	BR87	8.5	87	BR
PB3358	BR87	8	87	BR
PB3389	BR87	8.3	87	BR
Sunbelt1802	BR87	9.1	87	BR
Sunbelt1827	BR87	11	87	BR
Sunbelt1860	BR87	8.1	87	BR
Cargill8951	BR87	7.8	87	BR
Cargill8990	BR87	8	87	BR
Coker21	BC87	5.4	87	BC
G4522	BC87	5.2	87	BC
G4673A	BC87	5.6	87	BC
G4733	BC87	4.6	87	BC
G4765	BC87	4.8	87	BC
McCurdy8150	BC87	5.7	87	BC
McCurdy8172	BC87	6.6	87	BC
PB3147	BC87	6.8	87	BC
PB3165	BC87	5.2	87	BC
PB3320	BC87	4.8	87	BC
PB3358	BC87	4.9	87	BC
PB3389	BC87	5.4	87	BC
Sunbelt1802	BC87	4.5	87	BC
Sunbelt1827	BC87	5.6	87	BC
Sunbelt1860	BC87	7	87	BC
Cargill8951	BC87	6	87	BC
Cargill8990	BC87	5.6	87	BC
Coker21	SJ87	8.6	87	SJ
G4522	SJ87	8	87	SJ
G4673A	SJ87	9.2	87	SJ
G4733	SJ87	8.1	87	SJ
G4765	SJ87	8.3	87	SJ
McCurdy8150	SJ87	8.9	87	SJ
McCurdy8172	SJ87	8.6	87	SJ
PB3147	SJ87	9.6	87	SJ
PB3165	SJ87	9.5	87	SJ
PB3320	SJ87	7.7	87	SJ
PB3358	SJ87	7.6	87	SJ
PB3389	SJ87	8.3	87	SJ
Sunbelt1802	SJ87	6.6	87	SJ
Sunbelt1827	SJ87	9.5	87	SJ
Sunbelt1860	SJ87	9	87	SJ
Cargill8951	SJ87	9	87	SJ
Cargill8990	SJ87	8.5	87	SJ
