"row"	"col"	"yield"	"sugar"	"purity"
18	3	52.6	14.27	84.4
18	4	50.1	13.74	83.8
18	5	51.6	14.8	84.6
18	6	48.1	13.79	82.6
18	7	52.7	14.48	83.2
18	8	48.1	14.55	82.2
18	9	48	14.02	81
18	10	50.5	14.29	79.8
19	1	59.9	14.31	84.2
19	2	48.7	13.66	83.8
19	3	50.9	14.55	87.1
19	4	48.3	14	84.8
19	5	46.3	14.63	88.1
19	6	51.6	14.09	81.9
19	7	52	13.78	83
19	8	49.6	14.05	86.2
19	9	51.5	14.12	84.6
19	10	55	14.58	84.3
20	1	55.1	14.16	82.8
20	2	55	15.04	87.4
20	3	54.2	14.17	84.8
20	4	49.9	13.88	85.2
20	5	50.3	13.93	83.4
20	6	58.6	13.97	82.2
20	7	58.5	14.75	85.8
20	8	61.6	14.92	87.8
20	9	62.9	14.51	86.4
20	10	58.1	14.66	86.2
21	1	55.4	13.9	83.7
21	2	49.8	13.44	83
21	3	52.8	13.95	84.6
21	4	48.8	14.51	86.4
21	5	49.1	14.58	85.8
21	6	61.7	14.55	85.6
21	7	56.2	14	83.3
21	8	55	14.51	85.9
21	9	56.5	14.6	84.9
21	10	54.8	14.38	81.2
22	1	41.1	14.73	86.6
22	2	46	14.05	84.1
22	3	55.6	14.24	82.3
22	4	51.6	14.94	87.9
22	5	54.1	15.61	90.2
22	6	55.4	14.71	87
22	7	49.2	14.35	83.4
22	8	59.6	14.82	85.7
22	9	59.7	14.84	86.8
22	10	58.5	14.84	82.9
23	1	56	14	83.3
23	2	57.8	13.97	85.7
23	3	52.3	14.43	83.9
23	4	48.8	14.65	84.2
23	5	60	13.95	82.5
23	6	56.2	14.24	83.3
23	7	60	13.43	79.9
23	8	56.2	14.24	84.3
23	9	56.7	13.92	87
23	10	54.5	14.6	84.9
24	1	51.8	14.53	86.5
24	2	53.2	14.25	86.9
24	3	52	13.74	83.8
24	4	49.7	14.19	81.6
24	5	53.2	14.77	84.4
24	6	50.8	13.71	84.1
24	7	47.6	15.19	85.8
24	8	52	14.16	84.3
24	9	67.7	14.12	85.1
24	10	55.9	14.52	84.9
25	1	51.6	13.64	84.7
25	2	49.6	13.61	81.5
25	3	57.1	15.36	89.3
25	4	49.8	14.09	82.9
25	5	60	14.22	87.2
25	6	60.6	14.41	84.8
25	7	57.5	13.83	82.8
25	8	54.5	14.38	85.6
25	9	58.2	14.15	86.3
25	10	45.5	14.82	81.2
26	1	49.8	14.17	83.8
26	2	54.5	13.57	83.8
26	3	47.5	14.21	83.1
26	4	48.1	14.87	85.5
26	5	53.5	14.74	83.3
26	6	49.3	14.45	84
26	7	51	14.31	85.7
26	8	47.2	14.85	87.4
26	9	60.5	13.73	84.2
26	10	59.2	15.02	87.8
27	1	51.3	14.48	85.7
27	2	52	13.15	80.2
27	3	56.3	14.82	86.7
27	4	51.1	14.97	87.5
27	5	54.2	14.12	83.6
27	6	60.6	14.71	86
27	7	65.2	14.02	87.1
27	8	56.9	14.7	85.5
27	9	66.5	13.93	87.6
27	10	58.1	15.19	87.3
28	1	49.2	14.2	85.5
28	2	48.5	14.26	83.4
28	3	59.1	14	83.3
28	4	60.1	14.21	83.1
28	5	63.8	13.88	83.1
28	6	52.5	14.27	86.5
28	7	54.3	14.12	84.6
28	8	58.6	15.19	85.8
28	9	64.7	15.2	88.9
28	10	61.4	14.22	85.7
29	1	50.1	13.78	85.1
29	2	57.6	13.99	84.3
29	3	62.3	14.12	83.1
29	4	56.1	14.48	83.7
29	5	52.3	14.58	83.8
29	6	63.8	14.09	82.4
29	7	59.8	14.43	84.9
29	8	65.3	14.07	83.8
29	9	54.6	14.7	84.5
29	10	50.5	14.68	85.4
30	1	47.6	13.8	80.7
30	2	48.1	14.52	83.9
30	3	48.2	15.43	86.7
30	4	47.6	14.7	85.5
30	5	54.5	14.32	84.2
30	6	45.3	14.31	84.2
30	7	55.2	14.6	83.9
30	8	52.5	13.83	84.8
30	9	50.7	14.75	85.3
30	10	49.5	15.84	88.5
31	1	39.5	13.9	84.8
31	2	40	14.87	86.4
31	3	47	15.01	87.3
31	4	52.1	14.82	84.7
31	5	51.8	15.4	87
31	6	44.8	14.8	87.6
31	7	53.1	14	83.3
31	8	50.7	14.51	86.4
31	9	60.5	14.82	86.7
31	10	54.8	15.41	87.1
32	1	42.2	14.31	84.7
32	2	45.8	14.28	84
32	3	50.3	14.24	82.3
32	4	53.3	14.68	84.9
32	5	47.9	14.14	82.7
32	6	57.1	14.77	83.9
32	7	59.7	14.58	84.8
32	8	55.1	14.31	83.7
32	9	58	14.68	86.9
32	10	43.3	15.75	87.5
33	1	44.9	14.17	85.4
33	2	52.6	15	88.8
33	3	49.5	15.09	84.8
33	4	50	14.55	86.1
33	5	44.5	14.09	81.9
33	6	40.7	14.84	86.3
33	7	49.6	15.24	87.1
33	8	60.6	13.88	83.1
33	9	51.1	14.87	87.5
33	10	55.2	15.07	87.1
34	1	41.7	15.28	85.8
34	2	48.9	14.71	87
34	3	51.3	15.21	86.9
34	4	55.3	15.24	87.6
34	5	45.7	15.47	86.4
34	6	46.7	14.6	84.9
34	7	44.1	14.4	84.7
34	8	46.2	14.21	83.6
34	9	48.6	15.17	82.9
34	10	54	15.3	85.5
35	1	48.8	14.65	86.2
35	2	46.2	14.43	84.9
35	3	49.2	14.58	85.3
35	4	49.9	14.84	85.3
35	5	57.6	14.75	85.8
35	6	48.4	13.9	84.8
35	7	44.8	14.73	86.1
35	8	46.6	14.45	82.6
35	9	51.5	14.82	86.2
35	10	50.4	15.28	86.3
36	1	45.3	14.55	84.1
36	2	52.1	15.17	87.2
36	3	46.7	14.24	79.6
36	4	53.3	14.53	86.5
36	5	53.3	14.16	81.4
36	6	58	14.97	85.1
36	7	50.6	14.48	83.2
36	8	56.6	14.58	83.3
36	9	59.2	15.94	89.6
36	10	55.7	14.28	81.6
37	1	51.1	14.07	86.8
37	2	57.6	15.28	85.8
37	3	51.3	15.94	85.2
37	4	62.3	14.48	83.2
37	5	56.1	14.48	85.2
37	6	47	15.35	85.8
37	7	52	14.79	84.5
37	8	58.7	14.16	81.4
37	9	64.7	14.63	83.6
37	10	54.2	15.9	87.4
38	1	50.7	14.61	86.4
38	2	53.8	14.48	83.7
38	3	50.8	15.45	86.8
38	4	53.1	14.8	86.6
38	5	49.9	14.55	84.1
38	6	52.8	14.84	86.8
38	7	47.6	14.27	84.4
38	8	50.9	14.53	86.5
38	9	55.2	14.51	85.4
38	10	51.2	15.26	86.7
39	1	39.6	15.4	87
39	2	43.6	15.17	84.3
39	3	56.3	15.04	83.6
39	4	50.6	14.31	83.7
39	5	51.7	14.67	82.9
39	6	59.6	13.78	80.1
39	7	57.8	14.27	83.9
39	8	52.1	14.24	82.3
39	9	48.3	15.87	89.2
39	10	58.9	15.83	87.5
40	1	48	14.46	85.1
40	2	50.8	14.38	85.6
40	3	52.1	14.97	85.5
40	4	50.3	14.38	85.6
40	5	54.3	14.46	85.6
40	6	42.6	14.66	86.2
40	7	46.7	14.07	85.3
40	8	49.3	15.22	87.2
40	9	45.6	15	88.2
40	10	56.9	14.14	83.2
41	1	53.8	14.46	84.6
41	2	48.7	14.84	84.3
41	3	49.7	14.63	84.1
41	4	51.9	14.48	86.2
41	5	47.4	14.61	85.9
41	6	48.7	15.04	86.4
41	7	55.2	14.63	84.1
41	8	47.8	15.01	84.8
41	9	50.6	15.5	89.6
41	10	42.5	14.96	83.6
42	1	47.6	13.9	82.7
42	2	46.5	14.29	85.1
42	3	42.5	14.5	81.9
42	4	47.5	14.53	85.5
42	5	46.7	15.04	85.9
42	6	45.5	15.04	86.9
42	7	44.2	15.33	89.1
42	8	45.2	14.31	84.2
42	9	48	15.07	88.6
42	10	42.7	14.53	81.6
43	1	52	14	83.3
43	2	48.8	14.84	85.8
43	3	50.6	14.5	83.8
43	4	46.6	13.95	82.5
43	5	45.5	15.04	85.4
43	6	44.7	14.94	85.5
43	7	48.2	13.92	81.4
43	8	52.8	13.73	79.8
43	9	51.4	14.07	82.8
43	10	50	14.35	83.4
44	1	52	14.58	84.3
44	2	46.4	14.19	85
44	3	45.4	14.48	84.2
44	4	49.1	14.7	85.5
44	5	46.6	14.12	83.1
44	6	46.8	14.16	82.3
44	7	48.7	14.14	84.2
44	8	50.8	14.05	84.6
44	9	55	15.31	89
44	10	47.7	15.29	87.9
45	1	46.1	14.43	84.9
45	2	51.1	14.8	85.1
45	3	51.8	14.09	85.4
45	4	56.4	14.61	86.4
45	5	50.7	14.48	84.2
45	6	47.8	14.83	87.2
45	7	52	14.65	84.2
45	8	54.7	14.92	87.8
45	9	58	14.27	84.4
45	10	52.3	16.23	89.7
46	1	46.5	14.8	85.6
46	2	58.8	14.31	85.2
46	3	51.2	14.8	85.6
46	4	53.4	14.38	84.1
46	5	58.9	14.09	82.4
46	6	44.6	14.58	85.3
46	7	50.6	15.45	86.8
46	8	51.3	13.9	85.3
46	9	55	14.8	87.1
46	10	53.1	14.91	85.2
47	1	57.3	14.41	81
47	2	65.8	14.92	88.8
47	3	52.3	14.21	81.2
47	4	52.6	14.73	84.7
47	5	49	14.46	85.1
47	6	52	14.93	82
47	7	54.8	14.38	81.2
47	8	52.5	14.63	85.1
47	9	55.8	14.99	86.2
47	10	57.5	15.6	87.2
48	1	58.9	14.9	88.2
48	2	65.7	14.43	85.4
48	3	54.7	14.8	86.6
48	4	59.8	14.63	87.1
48	5	57.9	14.8	87.6
48	6	53.7	14.37	86.6
48	7	47.6	14.99	85.7
48	8	52.3	14.55	85.6
48	9	54.2	14.55	85.6
48	10	53.2	15.87	85.3
49	1	42	14.35	82
49	2	47.8	14.05	85.7
49	3	47.3	15.15	88.6
49	4	58.1	14.8	86
49	5	47.4	14.58	84.8
49	6	46.2	14.7	85
49	7	46.5	14.48	85.7
49	8	51.7	15.82	88.4
49	9	45.3	14.89	85.6
49	10	46.6	14.85	87.9
50	1	45.7	15.14	86
50	2	47.5	14.6	84.4
50	3	42	14.68	83.9
50	4	43.7	14.92	86.2
50	5	42	14.66	85.7
50	6	44.1	15.06	84.6
50	7	40.1	15.47	86.9
50	8	48.1	15	86.7
50	9	43	14.76	87.3
50	10	46.5	15.82	89.9
51	1	52.6	15.47	88.4
51	2	53	14.63	84.6
51	3	55	14.22	85.7
51	4	53.5	13.76	81.4
51	5	52.2	14.82	85.7
51	6	56.2	15.07	88.1
51	7	46.7	14.71	86
51	8	56.2	14.92	86.2
51	9	54.9	14.66	86.2
51	10	53.7	15.16	84.7
52	1	41.4	14.92	88.8
52	2	46.1	14.48	85.2
52	3	44.5	14.46	85.6
52	4	49.8	15.01	85.8
52	5	55.7	15.11	85.8
52	6	66.7	15.07	86.6
52	7	63.2	15.19	86.3
52	8	47.5	14.82	86.2
52	9	49.5	15.04	85.9
52	10	46.4	16.18	89.9
53	1	42.3	14.55	84.6
53	2	43.7	14.27	83.9
53	3	46.7	15.1	88.8
53	4	51.7	14.82	86.7
53	5	50.5	15.06	85.1
53	6	52.7	14.8	84.6
53	7	55.5	15.04	87.4
53	8	49	14.92	86.7
53	9	41.6	15.19	86.8
53	10	48.6	15.34	89.7
54	1	40.6	14.63	85.1
54	2	47.5	15.14	86
54	3	45.3	13.83	84.8
54	4	49.6	14.58	85.8
54	5	55	15.09	85.2
54	6	54.1	14.81	84.2
54	7	50.2	14.73	86.7
54	8	51.5	14.87	85
54	9	53.4	15.38	85.9
54	10	48.2	15.41	88.1
55	1	52.3	14.63	86.6
55	2	48.6	14.75	86.3
55	3	49.3	14.99	85.7
55	4	57.6	14.48	83.7
55	5	54	14.34	87
55	6	49.3	15.07	87.6
55	7	46.6	15.01	84.8
55	8	52	14.58	86.3
55	9	56.3	15.35	87.7
55	10	50.8	14.84	84.8
56	1	50.9	15.01	86.8
56	2	49.1	15.41	89.1
56	3	51.3	14.24	84.8
56	4	52.3	15.14	86.5
56	5	50.7	14.92	87.8
56	6	54.2	15.09	84.3
56	7	56.8	15.04	86.4
56	8	55.2	14.6	84.9
56	9	53.1	15.26	87.2
56	10	52.5	15.18	88.3
57	1	56.8	13.86	82.5
57	2	55.6	14.99	87.2
57	3	51.7	14.97	88.1
57	4	55	14.5	83.8
57	5	52.7	16.27	90.9
57	6	53.9	15.37	85.9
57	7	55.4	15.06	85.1
57	8	55.6	14.17	84.9
57	9	52.5	15.19	88.3
57	10	53.2	16.2	90
58	1	56.6	14.14	80.3
58	2	52.1	15	87.7
58	3	46.2	14.85	87.9
58	4	53.3	14.31	84.2
58	5	53.2	14.94	85.9
58	6	52.3	14.29	84.1
58	7	54.2	15.28	86.3
58	8	46.7	15.07	88.1
58	9	55.2	14.52	84.4
58	10	44.2	15.49	86.8
59	1	45.5	15.51	85.2
59	2	50.9	14.7	84.5
59	3	54.6	14.8	86.6
59	4	49.9	14.46	89.3
59	5	55.8	14.24	81.8
59	6	56.5	14.89	86.6
59	7	58.4	14.6	83.9
59	8	47	14.58	86.8
59	9	55	15.24	87.1
59	10	49	15.89	88.8
60	1	55.5	15.31	89
60	2	47.3	14.53	85.5
60	3	58.8	13.95	83
60	4	63	14.98	83.7
60	5	61.9	15.36	84.4
60	6	63.1	14.97	87.5
60	7	55.7	14.73	86.6
60	8	60.3	15.31	88
60	9	57.1	14.7	84.5
60	10	52.3	16.26	88.8
