"row"	"col"	"yield"	"inoc"	"trt"	"gen"	"dry"	"dust"	"block"
6	8	61	"Inoc"	2	"Marquis"	"Wet"	"Ceresan"	"B3"
6	9	63	"Inoc"	3	"Marquis"	"Dry"	"Semesan"	"B3"
7	1	63	"Uninoc"	4	"Mindum"	"Wet"	"Semesan"	"B4"
7	10	66	"Uninoc"	1	"Mindum"	"Dry"	"Ceresan"	"B4"
7	11	68	"Inoc"	3	"Mindum"	"Dry"	"Semesan"	"B4"
7	12	70	"Uninoc"	3	"Mindum"	"Dry"	"Semesan"	"B4"
7	13	63	"Uninoc"	10	"Mindum"	"Wet"	"CaCO3"	"B4"
7	14	68	"Inoc"	10	"Mindum"	"Wet"	"CaCO3"	"B4"
7	15	64	"Inoc"	2	"Mindum"	"Wet"	"Ceresan"	"B4"
7	16	61	"Uninoc"	2	"Mindum"	"Wet"	"Ceresan"	"B4"
7	17	59	"Inoc"	6	"Mindum"	"Wet"	"DuBay"	"B4"
7	18	63	"Uninoc"	6	"Mindum"	"Wet"	"DuBay"	"B4"
7	19	65	"Uninoc"	7	"Mindum"	"Dry"	"Check"	"B4"
7	2	72	"Inoc"	4	"Mindum"	"Wet"	"Semesan"	"B4"
7	20	77	"Inoc"	7	"Mindum"	"Dry"	"Check"	"B4"
7	3	72	"Uninoc"	8	"Mindum"	"Wet"	"Check"	"B4"
7	4	83	"Inoc"	8	"Mindum"	"Wet"	"Check"	"B4"
7	5	78	"Inoc"	9	"Mindum"	"Dry"	"CaCO3"	"B4"
7	6	69	"Uninoc"	9	"Mindum"	"Dry"	"CaCO3"	"B4"
7	7	70	"Uninoc"	5	"Mindum"	"Dry"	"DuBay"	"B4"
7	8	66	"Inoc"	5	"Mindum"	"Dry"	"DuBay"	"B4"
7	9	60	"Inoc"	1	"Mindum"	"Dry"	"Ceresan"	"B4"
8	1	60	"Uninoc"	8	"Marquis"	"Wet"	"Check"	"B4"
8	10	69	"Inoc"	4	"Marquis"	"Wet"	"Semesan"	"B4"
8	11	58	"Inoc"	5	"Marquis"	"Dry"	"DuBay"	"B4"
8	12	62	"Uninoc"	5	"Marquis"	"Dry"	"DuBay"	"B4"
8	13	60	"Uninoc"	7	"Marquis"	"Dry"	"Check"	"B4"
8	14	72	"Inoc"	7	"Marquis"	"Dry"	"Check"	"B4"
8	15	57	"Inoc"	1	"Marquis"	"Dry"	"Ceresan"	"B4"
8	16	54	"Uninoc"	1	"Marquis"	"Dry"	"Ceresan"	"B4"
8	17	58	"Uninoc"	6	"Marquis"	"Wet"	"DuBay"	"B4"
8	18	58	"Inoc"	6	"Marquis"	"Wet"	"DuBay"	"B4"
8	19	64	"Uninoc"	9	"Marquis"	"Dry"	"CaCO3"	"B4"
8	2	69	"Inoc"	8	"Marquis"	"Wet"	"Check"	"B4"
8	20	65	"Inoc"	9	"Marquis"	"Dry"	"CaCO3"	"B4"
8	3	60	"Uninoc"	10	"Marquis"	"Wet"	"CaCO3"	"B4"
8	4	67	"Inoc"	10	"Marquis"	"Wet"	"CaCO3"	"B4"
8	5	67	"Inoc"	3	"Marquis"	"Dry"	"Semesan"	"B4"
8	6	52	"Uninoc"	3	"Marquis"	"Dry"	"Semesan"	"B4"
8	7	61	"Inoc"	2	"Marquis"	"Wet"	"Ceresan"	"B4"
8	8	56	"Uninoc"	2	"Marquis"	"Wet"	"Ceresan"	"B4"
8	9	61	"Uninoc"	4	"Marquis"	"Wet"	"Semesan"	"B4"
