"plot"	"variety"	"year"	"day"	"weight"
"1988P4"	"P"	1988	21	0.357
"1988P4"	"P"	1988	28	1.181
"1988P4"	"P"	1988	35	1.83
"1988P4"	"P"	1988	42	4.71
"1988P4"	"P"	1988	49	10.71
"1988P4"	"P"	1988	56	9.91
"1988P4"	"P"	1988	63	15.51
"1988P4"	"P"	1988	70	14.9579
"1988P4"	"P"	1988	77	21.8
"1988P5"	"P"	1988	14	0.139
"1988P5"	"P"	1988	21	0.328
"1988P5"	"P"	1988	28	0.932
"1988P5"	"P"	1988	35	1.99
"1988P5"	"P"	1988	42	3.46
"1988P5"	"P"	1988	49	7.02
"1988P5"	"P"	1988	56	11.79
"1988P5"	"P"	1988	63	15.83
"1988P5"	"P"	1988	70	15.92083
"1988P5"	"P"	1988	77	17.4417
"1988P6"	"P"	1988	14	0.139
"1988P6"	"P"	1988	21	0.389
"1988P6"	"P"	1988	28	1.094
"1988P6"	"P"	1988	35	2.13
"1988P6"	"P"	1988	42	4.04
"1988P6"	"P"	1988	49	7.62
"1988P6"	"P"	1988	56	12.48
"1988P6"	"P"	1988	63	17.93
"1988P6"	"P"	1988	70	14.4217
"1988P6"	"P"	1988	77	30.2717
"1988P7"	"P"	1988	14	0.145
"1988P7"	"P"	1988	21	0.366
"1988P7"	"P"	1988	28	0.799
"1988P7"	"P"	1988	35	1.61
"1988P7"	"P"	1988	42	3.51
"1988P7"	"P"	1988	49	6.79
"1988P7"	"P"	1988	56	9.95
"1988P7"	"P"	1988	63	14.54
"1988P7"	"P"	1988	70	19.28
"1988P7"	"P"	1988	77	22.57273
"1988P8"	"P"	1988	14	0.13
"1988P8"	"P"	1988	21	0.355
"1988P8"	"P"	1988	28	1.09
"1988P8"	"P"	1988	35	2.28
"1988P8"	"P"	1988	42	3.94
"1988P8"	"P"	1988	49	4.96
"1988P8"	"P"	1988	56	10.92
"1988P8"	"P"	1988	63	14.02
"1988P8"	"P"	1988	70	17.9942
"1988P8"	"P"	1988	77	22.3708
"1989F1"	"F"	1989	14	0.047
"1989F1"	"F"	1989	20	0.136
"1989F1"	"F"	1989	27	0.272833
"1989F1"	"F"	1989	34	0.983333
"1989F1"	"F"	1989	41	1.796667
"1989F1"	"F"	1989	55	4.11714
"1989F1"	"F"	1989	69	11.03714
"1989F1"	"F"	1989	84	10.40333
"1989F2"	"F"	1989	14	0.035
"1989F2"	"F"	1989	20	0.112
"1989F2"	"F"	1989	27	0.268
"1989F2"	"F"	1989	34	1.05333
"1989F2"	"F"	1989	41	1.715
"1989F2"	"F"	1989	55	6.72833
"1989F2"	"F"	1989	69	10.31333
"1989F2"	"F"	1989	84	11.08833
"1989F3"	"F"	1989	14	0.044
"1989F3"	"F"	1989	20	0.146
"1989F3"	"F"	1989	27	0.3605
"1989F3"	"F"	1989	34	0.775
"1989F3"	"F"	1989	41	1.641667
"1989F3"	"F"	1989	55	3.74833
"1989F3"	"F"	1989	69	10.875
"1989F3"	"F"	1989	84	16.0275
"1989F4"	"F"	1989	14	0.049
"1989F4"	"F"	1989	20	0.097
"1989F4"	"F"	1989	27	0.2275
"1989F4"	"F"	1989	34	0.833333
"1989F4"	"F"	1989	41	1.354
"1989F4"	"F"	1989	55	5.98833
"1989F4"	"F"	1989	69	10.585
"1989F4"	"F"	1989	84	10.91143
"1989F5"	"F"	1989	14	0.039
"1989F5"	"F"	1989	20	0.121
"1989F5"	"F"	1989	27	0.271667
"1989F5"	"F"	1989	34	0.658333
"1989F5"	"F"	1989	41	2.39
"1989F5"	"F"	1989	55	5.483333
"1989F5"	"F"	1989	69	9.93667
"1989F5"	"F"	1989	84	8.88833
"1989F6"	"F"	1989	14	0.029
"1989F6"	"F"	1989	20	0.092
"1989F6"	"F"	1989	27	0.251
"1989F6"	"F"	1989	34	0.541667
"1989F6"	"F"	1989	41	1.06167
"1989F6"	"F"	1989	55	4.83
"1989F6"	"F"	1989	69	6.27167
"1989F6"	"F"	1989	84	8.58333
"1989F7"	"F"	1989	14	0.041
"1989F7"	"F"	1989	20	0.145
"1989F7"	"F"	1989	27	0.405333
"1989F7"	"F"	1989	34	0.76
"1989F7"	"F"	1989	41	1.493333
"1989F7"	"F"	1989	55	6.24833
"1989F7"	"F"	1989	69	11.1117
"1989F7"	"F"	1989	84	8.88
"1989F8"	"F"	1989	14	0.038
"1989F8"	"F"	1989	20	0.127
"1989F8"	"F"	1989	27	0.340167
"1989F8"	"F"	1989	34	0.994
"1989F8"	"F"	1989	41	2.28167
"1989F8"	"F"	1989	55	8.506
"1989F8"	"F"	1989	69	8.97333
"1989F8"	"F"	1989	84	11.632
"1989P1"	"P"	1989	14	0.07
"1989P1"	"P"	1989	20	0.208
"1989P1"	"P"	1989	27	0.600833
"1989P1"	"P"	1989	34	1.901667
"1989P1"	"P"	1989	41	2.965
"1989P1"	"P"	1989	55	8.14333
"1989P1"	"P"	1989	69	15.7
"1989P1"	"P"	1989	84	19.8883
"1989P2"	"P"	1989	14	0.068
"1989P2"	"P"	1989	20	0.252
"1989P2"	"P"	1989	27	0.5805
"1989P2"	"P"	1989	34	2.014
"1989P2"	"P"	1989	41	2.673333
"1989P2"	"P"	1989	55	8.8
"1989P2"	"P"	1989	69	14.485
"1989P2"	"P"	1989	84	22.6433
"1989P3"	"P"	1989	14	0.077
"1989P3"	"P"	1989	20	0.224
"1989P3"	"P"	1989	27	0.341333
"1989P3"	"P"	1989	34	1.74
"1989P3"	"P"	1989	41	4.524
"1989P3"	"P"	1989	55	11.6567
"1989P3"	"P"	1989	69	20.3167
"1989P3"	"P"	1989	84	21.402
"1989P4"	"P"	1989	14	0.099
"1989P4"	"P"	1989	20	0.198
"1989P4"	"P"	1989	27	0.491167
"1989P4"	"P"	1989	34	1.205
"1989P4"	"P"	1989	41	2.8
"1989P4"	"P"	1989	55	7.36333
"1989P4"	"P"	1989	69	15.14167
"1989P4"	"P"	1989	84	17.18667
"1989P5"	"P"	1989	14	0.068
"1989P5"	"P"	1989	20	0.232
"1989P5"	"P"	1989	27	0.436
"1989P5"	"P"	1989	34	1.443333
"1989P5"	"P"	1989	41	3.26
"1989P5"	"P"	1989	55	8.20833
"1989P5"	"P"	1989	69	19.4067
"1989P5"	"P"	1989	84	15.66167
"1989P6"	"P"	1989	14	0.063
"1989P6"	"P"	1989	20	0.209
"1989P6"	"P"	1989	27	0.740833
"1989P6"	"P"	1989	34	1.26833
"1989P6"	"P"	1989	41	3.89
"1989P6"	"P"	1989	55	9.092
"1989P6"	"P"	1989	69	14.49
"1989P6"	"P"	1989	84	19.095
"1989P7"	"P"	1989	14	0.133
"1989P7"	"P"	1989	20	0.303
"1989P7"	"P"	1989	27	1.117
"1989P7"	"P"	1989	34	2.18
"1989P7"	"P"	1989	41	3.536667
"1989P7"	"P"	1989	55	13.16
"1989P7"	"P"	1989	69	15.79
"1989P7"	"P"	1989	84	14.775
"1989P8"	"P"	1989	14	0.081
"1989P8"	"P"	1989	20	0.255
"1989P8"	"P"	1989	27	0.764833
"1989P8"	"P"	1989	34	1.09333
"1989P8"	"P"	1989	41	3.05167
"1989P8"	"P"	1989	55	8.105
"1989P8"	"P"	1989	69	24.424
"1989P8"	"P"	1989	84	18.9183
"1990F1"	"F"	1990	15	0.109207
"1990F1"	"F"	1990	23	0.383833
"1990F1"	"F"	1990	30	1.161667
"1990F1"	"F"	1990	37	2.34
"1990F1"	"F"	1990	43	2.87
"1990F1"	"F"	1990	51	9.53833
"1990F1"	"F"	1990	64	12.6833
"1990F1"	"F"	1990	79	18.63333
"1990F2"	"F"	1990	15	0.095
"1990F2"	"F"	1990	23	0.338333
"1990F2"	"F"	1990	30	0.758333
"1990F2"	"F"	1990	37	2.52
"1990F2"	"F"	1990	43	2.51833
"1990F2"	"F"	1990	51	5.11667
"1990F2"	"F"	1990	64	8.575
"1990F2"	"F"	1990	79	14.17333
"1990F3"	"F"	1990	15	0.088
"1990F3"	"F"	1990	23	0.613167
"1990F3"	"F"	1990	30	1.315
"1990F3"	"F"	1990	37	3.02167
"1990F3"	"F"	1990	43	5.85
"1990F3"	"F"	1990	51	7.41667
"1990F3"	"F"	1990	64	11.3317
"1990F3"	"F"	1990	79	16.88333
"1990F4"	"F"	1990	15	0.088719
"1990F4"	"F"	1990	23	0.596667
"1990F4"	"F"	1990	30	1.075
"1990F4"	"F"	1990	37	3.075
"1990F4"	"F"	1990	43	3.95833
"1990F4"	"F"	1990	51	6.03333
"1990F4"	"F"	1990	64	10.43667
"1990F4"	"F"	1990	79	17.8033
"1990F5"	"F"	1990	15	0.1013
"1990F5"	"F"	1990	23	0.375333
"1990F5"	"F"	1990	30	1.921667
"1990F5"	"F"	1990	37	2.20667
"1990F5"	"F"	1990	43	4.765
"1990F5"	"F"	1990	51	9.14
"1990F5"	"F"	1990	64	15.84
"1990F5"	"F"	1990	79	18.1083
"1990F6"	"F"	1990	15	0.109765
"1990F6"	"F"	1990	23	0.483333
"1990F6"	"F"	1990	30	1.306667
"1990F6"	"F"	1990	37	3.955
"1990F6"	"F"	1990	43	4.305
"1990F6"	"F"	1990	51	8.03167
"1990F6"	"F"	1990	64	16.08333
"1990F6"	"F"	1990	79	19.5733
"1990F7"	"F"	1990	15	0.102943
"1990F7"	"F"	1990	23	0.4145
"1990F7"	"F"	1990	30	1.663333
"1990F7"	"F"	1990	37	1.39
"1990F7"	"F"	1990	43	3.00167
"1990F7"	"F"	1990	51	6.845
"1990F7"	"F"	1990	64	16.21
"1990F7"	"F"	1990	79	19.0733
"1990F8"	"F"	1990	15	0.076697
"1990F8"	"F"	1990	23	0.371833
"1990F8"	"F"	1990	30	0.745
"1990F8"	"F"	1990	37	2.246667
"1990F8"	"F"	1990	43	4.495
"1990F8"	"F"	1990	51	5.675
"1990F8"	"F"	1990	64	16.145
"1990F8"	"F"	1990	79	18.9317
"1990P1"	"P"	1990	15	0.148741
"1990P1"	"P"	1990	23	0.687
"1990P1"	"P"	1990	30	1.57167
"1990P1"	"P"	1990	37	3.81333
"1990P1"	"P"	1990	43	4.81167
"1990P1"	"P"	1990	51	11.65333
"1990P1"	"P"	1990	64	17.3767
"1990P1"	"P"	1990	79	17.8967
"1990P2"	"P"	1990	15	0.153759
"1990P2"	"P"	1990	23	0.594167
"1990P2"	"P"	1990	30	1.2
"1990P2"	"P"	1990	37	3.145
"1990P2"	"P"	1990	43	3.80333
"1990P2"	"P"	1990	51	7.41667
"1990P2"	"P"	1990	64	13.58
"1990P2"	"P"	1990	79	20.86
"1990P3"	"P"	1990	15	0.124167
"1990P3"	"P"	1990	23	0.750333
"1990P3"	"P"	1990	30	1.45833
"1990P3"	"P"	1990	37	5.75833
"1990P3"	"P"	1990	43	5.99667
"1990P3"	"P"	1990	51	8.97167
"1990P3"	"P"	1990	64	17.0717
"1990P3"	"P"	1990	79	17.8167
"1990P4"	"P"	1990	15	0.178467
"1990P4"	"P"	1990	23	0.880833
"1990P4"	"P"	1990	30	1.381667
"1990P4"	"P"	1990	37	3.628333
"1990P4"	"P"	1990	43	5.193333
"1990P4"	"P"	1990	51	5.19
"1990P4"	"P"	1990	64	15.78
"1990P4"	"P"	1990	79	21.54167
"1990P5"	"P"	1990	15	0.139147
"1990P5"	"P"	1990	23	0.455833
"1990P5"	"P"	1990	30	1.58333
"1990P5"	"P"	1990	37	4.055
"1990P5"	"P"	1990	43	4.51
"1990P5"	"P"	1990	51	8.16167
"1990P5"	"P"	1990	64	18.715
"1990P5"	"P"	1990	79	17.955
"1990P6"	"P"	1990	15	0.162706
"1990P6"	"P"	1990	23	0.773667
"1990P6"	"P"	1990	30	0.975
"1990P6"	"P"	1990	37	3.51167
"1990P6"	"P"	1990	43	4.51
"1990P6"	"P"	1990	51	7.78333
"1990P6"	"P"	1990	64	18.11833
"1990P6"	"P"	1990	79	15.94667
"1990P7"	"P"	1990	15	0.110433
"1990P7"	"P"	1990	23	0.456
"1990P7"	"P"	1990	30	1.37
"1990P7"	"P"	1990	37	2.145
"1990P7"	"P"	1990	43	5.83
"1990P7"	"P"	1990	51	8.80333
"1990P7"	"P"	1990	64	12.235
"1990P7"	"P"	1990	79	17.785
"1990P8"	"P"	1990	15	0.146
"1990P8"	"P"	1990	23	0.563667
"1990P8"	"P"	1990	30	1.47833
"1990P8"	"P"	1990	37	2.601667
"1990P8"	"P"	1990	43	6.34333
"1990P8"	"P"	1990	51	6.13167
"1990P8"	"P"	1990	64	16.4117
"1990P8"	"P"	1990	79	16.9467
