"field"	"row"	"col"	"yield"
"F1"	8	6	96
"F1"	9	6	84
"F1"	10	6	90
"F1"	11	6	88
"F1"	12	6	88
"F1"	13	6	98
"F1"	14	6	106
"F1"	15	6	92
"F1"	16	6	94
"F1"	17	6	88
"F1"	18	6	84
"F1"	1	7	80
"F1"	2	7	98
"F1"	3	7	102
"F1"	4	7	76
"F1"	5	7	94
"F1"	6	7	96
"F1"	7	7	110
"F1"	8	7	90
"F1"	9	7	88
"F1"	10	7	90
"F1"	11	7	88
"F1"	12	7	78
"F1"	13	7	108
"F1"	14	7	68
"F1"	15	7	122
"F1"	16	7	92
"F1"	17	7	92
"F1"	18	7	102
"F1"	1	8	80
"F1"	2	8	96
"F1"	3	8	92
"F1"	4	8	62
"F1"	5	8	104
"F1"	6	8	104
"F1"	7	8	100
"F1"	8	8	106
"F1"	9	8	84
"F1"	10	8	90
"F1"	11	8	108
"F1"	12	8	88
"F1"	13	8	92
"F1"	14	8	90
"F1"	15	8	70
"F1"	16	8	90
"F1"	17	8	90
"F1"	18	8	96
"F1"	1	9	52
"F1"	2	9	80
"F1"	3	9	104
"F1"	4	9	84
"F1"	5	9	104
"F1"	6	9	96
"F1"	7	9	108
"F1"	8	9	96
"F1"	9	9	102
"F1"	10	9	98
"F1"	11	9	108
"F1"	12	9	96
"F1"	13	9	98
"F1"	14	9	78
"F1"	15	9	88
"F1"	16	9	108
"F1"	17	9	82
"F1"	18	9	98
"F1"	1	10	72
"F1"	2	10	76
"F1"	3	10	82
"F1"	4	10	82
"F1"	5	10	58
"F1"	6	10	68
"F1"	7	10	78
"F1"	8	10	72
"F1"	9	10	82
"F1"	10	10	94
"F1"	11	10	80
"F1"	12	10	78
"F1"	13	10	84
"F1"	14	10	82
"F1"	15	10	78
"F1"	16	10	92
"F1"	17	10	84
"F1"	18	10	100
"F1"	1	11	82
"F1"	2	11	64
"F1"	3	11	70
"F1"	4	11	68
"F1"	5	11	88
"F1"	6	11	72
"F1"	7	11	84
"F1"	8	11	92
"F1"	9	11	90
"F1"	10	11	92
"F1"	11	11	76
"F1"	12	11	66
"F1"	13	11	80
"F1"	14	11	78
"F1"	15	11	90
"F1"	16	11	86
"F1"	17	11	62
"F1"	18	11	92
"F1"	1	12	124
"F1"	2	12	100
"F1"	3	12	110
"F1"	4	12	86
"F1"	5	12	92
"F1"	6	12	104
"F1"	7	12	122
"F1"	8	12	88
"F1"	9	12	96
"F1"	10	12	94
"F1"	11	12	126
"F1"	12	12	96
"F1"	13	12	116
"F1"	14	12	106
"F1"	15	12	98
"F1"	16	12	108
"F1"	17	12	104
"F1"	18	12	106
"F1"	1	13	108
"F1"	2	13	96
"F1"	3	13	100
"F1"	4	13	76
"F1"	5	13	92
"F1"	6	13	86
"F1"	7	13	114
"F1"	8	13	94
"F1"	9	13	118
"F1"	10	13	80
"F1"	11	13	82
"F1"	12	13	82
"F1"	13	13	94
"F1"	14	13	92
"F1"	15	13	82
"F1"	16	13	90
"F1"	17	13	82
"F1"	18	13	110
"F1"	1	14	82
"F1"	2	14	104
"F1"	3	14	116
"F1"	4	14	104
"F1"	5	14	108
"F1"	6	14	108
"F1"	7	14	104
"F1"	8	14	114
"F1"	9	14	104
"F1"	10	14	98
"F1"	11	14	104
"F1"	12	14	104
"F1"	13	14	104
"F1"	14	14	104
"F1"	15	14	108
"F1"	16	14	108
"F1"	17	14	114
"F1"	18	14	104
"F1"	1	15	86
"F1"	2	15	94
"F1"	3	15	100
"F1"	4	15	96
"F1"	5	15	86
"F1"	6	15	112
"F1"	7	15	116
"F1"	8	15	98
"F1"	9	15	116
"F1"	10	15	90
"F1"	11	15	82
"F1"	12	15	106
"F1"	13	15	96
"F1"	14	15	106
"F1"	15	15	110
"F1"	16	15	108
"F1"	17	15	104
"F1"	18	15	102
"F1"	1	16	98
"F1"	2	16	108
"F1"	3	16	110
"F1"	4	16	92
"F1"	5	16	88
"F1"	6	16	110
"F1"	7	16	96
"F1"	8	16	106
"F1"	9	16	108
"F1"	10	16	82
"F1"	11	16	110
"F1"	12	16	100
"F1"	13	16	112
"F1"	14	16	108
"F1"	15	16	106
"F1"	16	16	94
"F1"	17	16	114
"F1"	18	16	116
"F1"	1	17	110
"F1"	2	17	92
"F1"	3	17	108
"F1"	4	17	88
"F1"	5	17	82
"F1"	6	17	100
"F1"	7	17	96
"F1"	8	17	116
"F1"	9	17	108
"F1"	10	17	100
"F1"	11	17	94
"F1"	12	17	118
"F1"	13	17	94
"F1"	14	17	88
"F1"	15	17	98
"F1"	16	17	98
"F1"	17	17	96
"F1"	18	17	90
"F1"	1	18	104
"F1"	2	18	120
"F1"	3	18	104
"F1"	4	18	92
"F1"	5	18	104
"F1"	6	18	128
"F1"	7	18	124
"F1"	8	18	100
"F1"	9	18	112
"F1"	10	18	98
"F1"	11	18	108
"F1"	12	18	98
"F1"	13	18	104
"F1"	14	18	98
"F1"	15	18	84
"F1"	16	18	98
"F1"	17	18	94
"F1"	18	18	76
"F2"	1	1	69
"F2"	2	1	96
"F2"	3	1	84
"F2"	4	1	114
"F2"	5	1	77
"F2"	6	1	83
"F2"	7	1	77
"F2"	8	1	76
"F2"	9	1	80
"F2"	10	1	81
"F2"	11	1	93
"F2"	12	1	80
"F2"	13	1	71
"F2"	14	1	80
"F2"	15	1	56
"F2"	16	1	76
"F2"	17	1	63
"F2"	18	1	66
"F2"	1	2	73
"F2"	2	2	85
"F2"	3	2	57
"F2"	4	2	85
"F2"	5	2	77
"F2"	6	2	64
"F2"	7	2	72
"F2"	8	2	96
"F2"	9	2	81
"F2"	10	2	91
"F2"	11	2	67
"F2"	12	2	77
"F2"	13	2	88
"F2"	14	2	70
"F2"	15	2	82
"F2"	16	2	66
"F2"	17	2	82
"F2"	18	2	84
"F2"	1	3	64
"F2"	2	3	69
"F2"	3	3	60
"F2"	4	3	74
"F2"	5	3	71
"F2"	6	3	79
"F2"	7	3	85
"F2"	8	3	78
"F2"	9	3	66
"F2"	10	3	77
"F2"	11	3	66
"F2"	12	3	57
"F2"	13	3	87
"F2"	14	3	92
"F2"	15	3	74
"F2"	16	3	96
"F2"	17	3	84
"F2"	18	3	75
"F2"	1	4	89
"F2"	2	4	65
"F2"	3	4	82
"F2"	4	4	86
"F2"	5	4	77
"F2"	6	4	69
"F2"	7	4	89
"F2"	8	4	90
"F2"	9	4	58
"F2"	10	4	70
"F2"	11	4	85
"F2"	12	4	84
"F2"	13	4	78
"F2"	14	4	60
"F2"	15	4	78
"F2"	16	4	87
"F2"	17	4	73
"F2"	18	4	80
"F2"	1	5	80
"F2"	2	5	75
"F2"	3	5	62
"F2"	4	5	79
"F2"	5	5	82
"F2"	6	5	77
"F2"	7	5	68
"F2"	8	5	82
"F2"	9	5	108
"F2"	10	5	92
"F2"	11	5	96
"F2"	12	5	98
"F2"	13	5	83
"F2"	14	5	88
"F2"	15	5	72
"F2"	16	5	69
"F2"	17	5	97
"F2"	18	5	85
"F2"	1	6	82
"F2"	2	6	82
"F2"	3	6	80
"F2"	4	6	86
"F2"	5	6	72
"F2"	6	6	74
"F2"	7	6	93
"F2"	8	6	85
"F2"	9	6	83
"F2"	10	6	86
"F2"	11	6	74
"F2"	12	6	85
"F2"	13	6	110
"F2"	14	6	108
"F2"	15	6	83
"F2"	16	6	96
"F2"	17	6	73
"F2"	18	6	72
"F2"	1	7	95
"F2"	2	7	84
"F2"	3	7	64
"F2"	4	7	91
"F2"	5	7	99
"F2"	6	7	94
"F2"	7	7	127
"F2"	8	7	92
"F2"	9	7	125
"F2"	10	7	87
"F2"	11	7	89
"F2"	12	7	107
"F2"	13	7	108
"F2"	14	7	104
"F2"	15	7	85
"F2"	16	7	76
"F2"	17	7	75
"F2"	18	7	56
"F2"	1	8	93
"F2"	2	8	81
"F2"	3	8	76
"F2"	4	8	85
"F2"	5	8	87
"F2"	6	8	107
"F2"	7	8	100
"F2"	8	8	102
"F2"	9	8	81
"F2"	10	8	101
"F2"	11	8	84
"F2"	12	8	92
"F2"	13	8	84
"F2"	14	8	101
"F2"	15	8	81
"F2"	16	8	78
"F2"	17	8	83
"F2"	18	8	82
"F2"	1	9	93
"F2"	2	9	97
"F2"	3	9	112
"F2"	4	9	110
"F2"	5	9	107
"F2"	6	9	99
"F2"	7	9	103
"F2"	8	9	94
"F2"	9	9	74
"F2"	10	9	81
"F2"	11	9	97
"F2"	12	9	106
"F2"	13	9	85
"F2"	14	9	110
"F2"	15	9	97
"F2"	16	9	101
"F2"	17	9	78
"F2"	18	9	70
"F2"	1	10	85
"F2"	2	10	95
"F2"	3	10	111
"F2"	4	10	95
"F2"	5	10	92
"F2"	6	10	76
"F2"	7	10	99
"F2"	8	10	87
"F2"	9	10	90
"F2"	10	10	83
"F2"	11	10	100
"F2"	12	10	94
"F2"	13	10	84
"F2"	14	10	100
"F2"	15	10	104
"F2"	16	10	97
"F2"	17	10	81
"F2"	18	10	75
"F2"	1	11	96
"F2"	2	11	109
"F2"	3	11	103
"F2"	4	11	136
"F2"	5	11	104
"F2"	6	11	84
"F2"	7	11	102
"F2"	8	11	104
"F2"	9	11	98
"F2"	10	11	112
"F2"	11	11	104
"F2"	12	11	138
"F2"	13	11	109
"F2"	14	11	96
"F2"	15	11	111
"F2"	16	11	97
"F2"	17	11	60
"F2"	18	11	57
"F2"	1	12	94
"F2"	2	12	103
"F2"	3	12	88
"F2"	4	12	85
"F2"	5	12	98
"F2"	6	12	96
"F2"	7	12	101
"F2"	8	12	94
"F2"	9	12	91
"F2"	10	12	89
"F2"	11	12	76
"F2"	12	12	98
"F2"	13	12	87
"F2"	14	12	79
"F2"	15	12	91
"F2"	16	12	102
"F2"	17	12	67
"F2"	18	12	60
"F2"	1	13	85
"F2"	2	13	88
"F2"	3	13	76
"F2"	4	13	99
"F2"	5	13	87
"F2"	6	13	91
"F2"	7	13	95
"F2"	8	13	92
"F2"	9	13	75
"F2"	10	13	81
"F2"	11	13	98
"F2"	12	13	95
"F2"	13	13	95
"F2"	14	13	98
"F2"	15	13	84
"F2"	16	13	90
"F2"	17	13	84
"F2"	18	13	84
"F2"	1	14	84
"F2"	2	14	79
"F2"	3	14	90
"F2"	4	14	93
"F2"	5	14	98
"F2"	6	14	74
"F2"	7	14	92
"F2"	8	14	65
"F2"	9	14	77
"F2"	10	14	63
"F2"	11	14	88
"F2"	12	14	72
"F2"	13	14	76
"F2"	14	14	77
"F2"	15	14	115
"F2"	16	14	99
"F2"	17	14	84
"F2"	18	14	74
"F2"	1	15	69
"F2"	2	15	73
"F2"	3	15	67
"F2"	4	15	79
"F2"	5	15	68
"F2"	6	15	79
"F2"	7	15	75
"F2"	8	15	68
"F2"	9	15	75
"F2"	10	15	60
"F2"	11	15	59
"F2"	12	15	87
"F2"	13	15	65
"F2"	14	15	86
"F2"	15	15	89
"F2"	16	15	90
"F2"	17	15	90
"F2"	18	15	74
"F2"	1	16	84
"F2"	2	16	85
"F2"	3	16	89
"F2"	4	16	82
"F2"	5	16	110
"F2"	6	16	79
"F2"	7	16	80
"F2"	8	16	94
"F2"	9	16	79
"F2"	10	16	63
"F2"	11	16	71
"F2"	12	16	74
"F2"	13	16	72
"F2"	14	16	82
"F2"	15	16	54
"F2"	16	16	69
"F2"	17	16	85
"F2"	18	16	68
"F2"	1	17	82
"F2"	2	17	82
"F2"	3	17	92
"F2"	4	17	91
"F2"	5	17	85
"F2"	6	17	79
"F2"	7	17	82
"F2"	8	17	88
"F2"	9	17	82
"F2"	10	17	79
"F2"	11	17	84
"F2"	12	17	98
"F2"	13	17	83
"F2"	14	17	80
"F2"	15	17	71
"F2"	16	17	91
"F2"	17	17	95
"F2"	18	17	87
"F2"	1	18	91
"F2"	2	18	80
"F2"	3	18	88
"F2"	4	18	95
"F2"	5	18	85
"F2"	6	18	89
"F2"	7	18	83
"F2"	8	18	53
"F2"	9	18	83
"F2"	10	18	86
"F2"	11	18	77
"F2"	12	18	90
"F2"	13	18	61
"F2"	14	18	90
"F2"	15	18	93
"F2"	16	18	93
"F2"	17	18	92
"F2"	18	18	95
