"series"	"plot"	"year"	"crop"	"yield"
2	12	1913	"alfalfa2"	450
2	13	1913	"alfalfa2"	485
2	14	1913	"alfalfa2"	510
2	15	1913	"alfalfa2"	565
2	16	1913	"alfalfa2"	475
2	17	1913	"alfalfa2"	435
2	18	1913	"alfalfa2"	425
2	19	1913	"alfalfa2"	455
2	20	1913	"alfalfa2"	440
2	21	1913	"alfalfa2"	455
2	22	1913	"alfalfa2"	500
2	23	1913	"alfalfa2"	425
3	1	1913	"alfalfa2"	425
3	2	1913	"alfalfa2"	430
3	3	1913	"alfalfa2"	405
3	4	1913	"alfalfa2"	425
3	5	1913	"alfalfa2"	445
3	6	1913	"alfalfa2"	510
3	7	1913	"alfalfa2"	440
3	8	1913	"alfalfa2"	425
3	9	1913	"alfalfa2"	375
3	10	1913	"alfalfa2"	415
3	11	1913	"alfalfa2"	390
3	12	1913	"alfalfa2"	400
3	13	1913	"alfalfa2"	450
3	14	1913	"alfalfa2"	485
3	15	1913	"alfalfa2"	455
3	16	1913	"alfalfa2"	440
3	17	1913	"alfalfa2"	445
3	18	1913	"alfalfa2"	500
3	19	1913	"alfalfa2"	515
3	20	1913	"alfalfa2"	565
3	21	1913	"alfalfa2"	510
3	22	1913	"alfalfa2"	535
3	23	1913	"alfalfa2"	530
2	1	1914	"alfalfa1"	585
2	2	1914	"alfalfa1"	610
2	3	1914	"alfalfa1"	605
2	4	1914	"alfalfa1"	640
2	5	1914	"alfalfa1"	590
2	6	1914	"alfalfa1"	645
2	7	1914	"alfalfa1"	625
2	8	1914	"alfalfa1"	555
2	9	1914	"alfalfa1"	590
2	10	1914	"alfalfa1"	545
2	11	1914	"alfalfa1"	580
2	12	1914	"alfalfa1"	555
2	13	1914	"alfalfa1"	465
2	14	1914	"alfalfa1"	540
2	15	1914	"alfalfa1"	535
2	16	1914	"alfalfa1"	545
2	17	1914	"alfalfa1"	540
2	18	1914	"alfalfa1"	540
2	19	1914	"alfalfa1"	545
2	20	1914	"alfalfa1"	540
2	21	1914	"alfalfa1"	580
2	22	1914	"alfalfa1"	610
2	23	1914	"alfalfa1"	490
3	1	1914	"alfalfa1"	420
3	2	1914	"alfalfa1"	430
3	3	1914	"alfalfa1"	395
3	4	1914	"alfalfa1"	440
3	5	1914	"alfalfa1"	435
3	6	1914	"alfalfa1"	430
3	7	1914	"alfalfa1"	410
3	8	1914	"alfalfa1"	415
3	9	1914	"alfalfa1"	425
3	10	1914	"alfalfa1"	365
3	11	1914	"alfalfa1"	360
3	12	1914	"alfalfa1"	360
3	13	1914	"alfalfa1"	390
3	14	1914	"alfalfa1"	370
3	15	1914	"alfalfa1"	380
3	16	1914	"alfalfa1"	360
3	17	1914	"alfalfa1"	395
3	18	1914	"alfalfa1"	395
3	19	1914	"alfalfa1"	450
3	20	1914	"alfalfa1"	435
3	21	1914	"alfalfa1"	435
3	22	1914	"alfalfa1"	475
3	23	1914	"alfalfa1"	475
2	1	1914	"alfalfa2"	550
2	2	1914	"alfalfa2"	605
2	3	1914	"alfalfa2"	690
2	4	1914	"alfalfa2"	660
2	5	1914	"alfalfa2"	700
2	6	1914	"alfalfa2"	735
2	7	1914	"alfalfa2"	775
2	8	1914	"alfalfa2"	725
2	9	1914	"alfalfa2"	615
2	10	1914	"alfalfa2"	505
2	11	1914	"alfalfa2"	430
2	12	1914	"alfalfa2"	425
2	13	1914	"alfalfa2"	445
2	14	1914	"alfalfa2"	480
2	15	1914	"alfalfa2"	515
2	16	1914	"alfalfa2"	440
2	17	1914	"alfalfa2"	435
2	18	1914	"alfalfa2"	525
2	19	1914	"alfalfa2"	490
2	20	1914	"alfalfa2"	505
2	21	1914	"alfalfa2"	535
2	22	1914	"alfalfa2"	525
2	23	1914	"alfalfa2"	445
3	1	1914	"alfalfa2"	470
3	2	1914	"alfalfa2"	395
3	3	1914	"alfalfa2"	435
3	4	1914	"alfalfa2"	450
3	5	1914	"alfalfa2"	420
3	6	1914	"alfalfa2"	375
3	7	1914	"alfalfa2"	400
3	8	1914	"alfalfa2"	380
3	9	1914	"alfalfa2"	410
3	10	1914	"alfalfa2"	390
3	11	1914	"alfalfa2"	420
3	12	1914	"alfalfa2"	430
3	13	1914	"alfalfa2"	505
3	14	1914	"alfalfa2"	495
3	15	1914	"alfalfa2"	470
3	16	1914	"alfalfa2"	455
3	17	1914	"alfalfa2"	425
3	18	1914	"alfalfa2"	425
3	19	1914	"alfalfa2"	515
3	20	1914	"alfalfa2"	480
3	21	1914	"alfalfa2"	480
3	22	1914	"alfalfa2"	515
3	23	1914	"alfalfa2"	475
2	1	1914	"alfalfa3"	580
2	2	1914	"alfalfa3"	605
2	3	1914	"alfalfa3"	595
2	4	1914	"alfalfa3"	610
2	5	1914	"alfalfa3"	595
2	6	1914	"alfalfa3"	510
2	7	1914	"alfalfa3"	500
2	8	1914	"alfalfa3"	500
2	9	1914	"alfalfa3"	475
2	10	1914	"alfalfa3"	450
2	11	1914	"alfalfa3"	400
2	12	1914	"alfalfa3"	445
2	13	1914	"alfalfa3"	455
2	14	1914	"alfalfa3"	485
2	15	1914	"alfalfa3"	540
2	16	1914	"alfalfa3"	475
2	17	1914	"alfalfa3"	460
2	18	1914	"alfalfa3"	455
2	19	1914	"alfalfa3"	465
2	20	1914	"alfalfa3"	475
2	21	1914	"alfalfa3"	510
2	22	1914	"alfalfa3"	520
2	23	1914	"alfalfa3"	380
3	1	1914	"alfalfa3"	645
3	2	1914	"alfalfa3"	520
3	3	1914	"alfalfa3"	495
3	4	1914	"alfalfa3"	440
3	5	1914	"alfalfa3"	455
3	6	1914	"alfalfa3"	415
3	7	1914	"alfalfa3"	445
3	8	1914	"alfalfa3"	415
3	9	1914	"alfalfa3"	385
3	10	1914	"alfalfa3"	360
3	11	1914	"alfalfa3"	385
3	12	1914	"alfalfa3"	370
3	13	1914	"alfalfa3"	435
3	14	1914	"alfalfa3"	425
3	15	1914	"alfalfa3"	455
3	16	1914	"alfalfa3"	410
3	17	1914	"alfalfa3"	430
3	18	1914	"alfalfa3"	385
3	19	1914	"alfalfa3"	475
3	20	1914	"alfalfa3"	445
3	21	1914	"alfalfa3"	465
3	22	1914	"alfalfa3"	495
3	23	1914	"alfalfa3"	475
2	1	1915	"corn"	556
2	2	1915	"corn"	598
2	3	1915	"corn"	526
2	4	1915	"corn"	558
2	5	1915	"corn"	509
2	6	1915	"corn"	521
2	7	1915	"corn"	499
2	8	1915	"corn"	502
2	9	1915	"corn"	515
2	10	1915	"corn"	513
2	11	1915	"corn"	524
2	12	1915	"corn"	507
2	13	1915	"corn"	528
2	14	1915	"corn"	507
2	15	1915	"corn"	511
2	16	1915	"corn"	524
2	17	1915	"corn"	520
2	18	1915	"corn"	479
2	19	1915	"corn"	455
2	20	1915	"corn"	489
2	21	1915	"corn"	519
2	22	1915	"corn"	573
2	23	1915	"corn"	578
3	1	1915	"corn"	545
3	2	1915	"corn"	552
3	3	1915	"corn"	504
3	4	1915	"corn"	547
3	5	1915	"corn"	544
3	6	1915	"corn"	533
3	7	1915	"corn"	505
3	8	1915	"corn"	519
3	9	1915	"corn"	513
3	10	1915	"corn"	509
3	11	1915	"corn"	493
3	12	1915	"corn"	496
3	13	1915	"corn"	503
3	14	1915	"corn"	496
3	15	1915	"corn"	518
3	16	1915	"corn"	499
3	17	1915	"corn"	483
3	18	1915	"corn"	469
3	19	1915	"corn"	477
3	20	1915	"corn"	490
3	21	1915	"corn"	551
3	22	1915	"corn"	628
3	23	1915	"corn"	654
2	1	1916	"corn"	513
2	2	1916	"corn"	514
2	3	1916	"corn"	481
2	4	1916	"corn"	495
2	5	1916	"corn"	487
2	6	1916	"corn"	450
2	7	1916	"corn"	489
2	8	1916	"corn"	441
2	9	1916	"corn"	434
2	10	1916	"corn"	415
2	11	1916	"corn"	399
2	12	1916	"corn"	379
2	13	1916	"corn"	376
2	14	1916	"corn"	372
2	15	1916	"corn"	398
2	16	1916	"corn"	409
2	17	1916	"corn"	389
2	18	1916	"corn"	408
2	19	1916	"corn"	404
2	20	1916	"corn"	383
2	21	1916	"corn"	455
2	22	1916	"corn"	413
2	23	1916	"corn"	414
3	1	1916	"corn"	404
3	2	1916	"corn"	376
3	3	1916	"corn"	337
3	4	1916	"corn"	318
3	5	1916	"corn"	338
3	6	1916	"corn"	312
3	7	1916	"corn"	311
3	8	1916	"corn"	345
3	9	1916	"corn"	353
3	10	1916	"corn"	337
3	11	1916	"corn"	322
3	12	1916	"corn"	357
3	13	1916	"corn"	343
3	14	1916	"corn"	333
3	15	1916	"corn"	360
3	16	1916	"corn"	372
3	17	1916	"corn"	353
3	18	1916	"corn"	367
3	19	1916	"corn"	410
3	20	1916	"corn"	407
3	21	1916	"corn"	426
3	22	1916	"corn"	423
3	23	1916	"corn"	401
2	1	1917	"oat"	580
2	2	1917	"oat"	593
2	3	1917	"oat"	606
2	4	1917	"oat"	598
2	5	1917	"oat"	614
2	6	1917	"oat"	596
2	7	1917	"oat"	572
2	8	1917	"oat"	574
2	9	1917	"oat"	553
2	10	1917	"oat"	614
2	11	1917	"oat"	574
2	12	1917	"oat"	548
2	13	1917	"oat"	537
2	14	1917	"oat"	540
2	15	1917	"oat"	518
2	16	1917	"oat"	564
2	17	1917	"oat"	499
2	18	1917	"oat"	538
2	19	1917	"oat"	637
2	20	1917	"oat"	579
2	21	1917	"oat"	567
2	22	1917	"oat"	553
2	23	1917	"oat"	509
3	1	1917	"oat"	563
3	2	1917	"oat"	560
3	3	1917	"oat"	511
3	4	1917	"oat"	523
3	5	1917	"oat"	532
3	6	1917	"oat"	536
3	7	1917	"oat"	538
3	8	1917	"oat"	552
3	9	1917	"oat"	515
3	10	1917	"oat"	521
3	11	1917	"oat"	473
3	12	1917	"oat"	520
3	13	1917	"oat"	645
3	14	1917	"oat"	525
3	15	1917	"oat"	557
3	16	1917	"oat"	578
3	17	1917	"oat"	549
3	18	1917	"oat"	563
3	19	1917	"oat"	562
3	20	1917	"oat"	561
3	21	1917	"oat"	486
3	22	1917	"oat"	573
3	23	1917	"oat"	561
2	1	1917	"straw"	574
2	2	1917	"straw"	631
2	3	1917	"straw"	588
2	4	1917	"straw"	414
2	5	1917	"straw"	590
2	6	1917	"straw"	584
2	7	1917	"straw"	458
2	8	1917	"straw"	524
2	9	1917	"straw"	495
2	10	1917	"straw"	606
2	11	1917	"straw"	578
2	12	1917	"straw"	510
2	13	1917	"straw"	523
2	14	1917	"straw"	522
2	15	1917	"straw"	616
2	16	1917	"straw"	570
2	17	1917	"straw"	481
2	18	1917	"straw"	518
2	19	1917	"straw"	605
2	20	1917	"straw"	497
2	21	1917	"straw"	513
2	22	1917	"straw"	477
2	23	1917	"straw"	391
3	1	1917	"straw"	547
3	2	1917	"straw"	522
3	3	1917	"straw"	511
3	4	1917	"straw"	497
3	5	1917	"straw"	516
3	6	1917	"straw"	552
3	7	1917	"straw"	544
3	8	1917	"straw"	556
3	9	1917	"straw"	535
3	10	1917	"straw"	545
3	11	1917	"straw"	479
3	12	1917	"straw"	462
3	13	1917	"straw"	377
3	14	1917	"straw"	469
3	15	1917	"straw"	485
3	16	1917	"straw"	504
3	17	1917	"straw"	515
3	18	1917	"straw"	517
3	19	1917	"straw"	512
3	20	1917	"straw"	481
3	21	1917	"straw"	456
3	22	1917	"straw"	571
3	23	1917	"straw"	573
2	1	1918	"silage"	3655
2	2	1918	"silage"	3285
2	3	1918	"silage"	3290
2	4	1918	"silage"	3390
2	5	1918	"silage"	3570
2	6	1918	"silage"	3240
2	7	1918	"silage"	3005
2	8	1918	"silage"	3010
2	9	1918	"silage"	3060
2	10	1918	"silage"	2885
2	11	1918	"silage"	2955
2	12	1918	"silage"	3055
2	13	1918	"silage"	3125
2	14	1918	"silage"	3210
2	15	1918	"silage"	3155
2	16	1918	"silage"	2870
2	17	1918	"silage"	2950
2	18	1918	"silage"	3235
2	19	1918	"silage"	3330
2	20	1918	"silage"	3150
2	21	1918	"silage"	3180
2	22	1918	"silage"	3075
2	23	1918	"silage"	3375
3	1	1918	"silage"	3685
3	2	1918	"silage"	3365
3	3	1918	"silage"	3315
3	4	1918	"silage"	3170
3	5	1918	"silage"	3240
3	6	1918	"silage"	3290
3	7	1918	"silage"	2855
3	8	1918	"silage"	2905
3	9	1918	"silage"	2965
3	10	1918	"silage"	2760
3	11	1918	"silage"	2640
3	12	1918	"silage"	2850
3	13	1918	"silage"	2880
3	14	1918	"silage"	3190
3	15	1918	"silage"	3100
3	16	1918	"silage"	2975
3	17	1918	"silage"	2995
3	18	1918	"silage"	3315
3	19	1918	"silage"	3540
3	20	1918	"silage"	3280
3	21	1918	"silage"	3370
3	22	1918	"silage"	3625
3	23	1918	"silage"	3705
2	1	1919	"barley"	392
2	2	1919	"barley"	349
2	3	1919	"barley"	377
2	4	1919	"barley"	352
2	5	1919	"barley"	414
2	6	1919	"barley"	426
2	7	1919	"barley"	463
2	8	1919	"barley"	424
2	9	1919	"barley"	425
2	10	1919	"barley"	422
2	11	1919	"barley"	386
2	12	1919	"barley"	365
2	13	1919	"barley"	350
2	14	1919	"barley"	368
2	15	1919	"barley"	344
2	16	1919	"barley"	351
2	17	1919	"barley"	333
2	18	1919	"barley"	309
2	19	1919	"barley"	313
2	20	1919	"barley"	304
2	21	1919	"barley"	316
2	22	1919	"barley"	306
2	23	1919	"barley"	288
3	1	1919	"barley"	332
3	2	1919	"barley"	362
3	3	1919	"barley"	375
3	4	1919	"barley"	342
3	5	1919	"barley"	416
3	6	1919	"barley"	460
3	7	1919	"barley"	410
3	8	1919	"barley"	400
3	9	1919	"barley"	400
3	10	1919	"barley"	386
3	11	1919	"barley"	403
3	12	1919	"barley"	305
3	13	1919	"barley"	296
3	14	1919	"barley"	290
3	15	1919	"barley"	301
3	16	1919	"barley"	335
3	17	1919	"barley"	317
3	18	1919	"barley"	320
3	19	1919	"barley"	293
3	20	1919	"barley"	323
3	21	1919	"barley"	331
3	22	1919	"barley"	362
3	23	1919	"barley"	341
2	1	1919	"straw"	288
2	2	1919	"straw"	251
2	3	1919	"straw"	253
2	4	1919	"straw"	218
2	5	1919	"straw"	246
2	6	1919	"straw"	264
2	7	1919	"straw"	262
2	8	1919	"straw"	276
2	9	1919	"straw"	265
2	10	1919	"straw"	298
2	11	1919	"straw"	224
2	12	1919	"straw"	240
2	13	1919	"straw"	220
2	14	1919	"straw"	222
2	15	1919	"straw"	191
2	16	1919	"straw"	204
2	17	1919	"straw"	127
2	18	1919	"straw"	241
2	19	1919	"straw"	177
2	20	1919	"straw"	221
2	21	1919	"straw"	229
2	22	1919	"straw"	199
2	23	1919	"straw"	257
3	1	1919	"straw"	238
3	2	1919	"straw"	218
3	3	1919	"straw"	260
3	4	1919	"straw"	183
3	5	1919	"straw"	284
3	6	1919	"straw"	250
3	7	1919	"straw"	330
3	8	1919	"straw"	260
3	9	1919	"straw"	260
3	10	1919	"straw"	274
3	11	1919	"straw"	262
3	12	1919	"straw"	255
3	13	1919	"straw"	199
3	14	1919	"straw"	130
3	15	1919	"straw"	174
3	16	1919	"straw"	185
3	17	1919	"straw"	188
3	18	1919	"straw"	190
3	19	1919	"straw"	187
3	20	1919	"straw"	177
3	21	1919	"straw"	259
3	22	1919	"straw"	218
3	23	1919	"straw"	249
2	1	1920	"silage"	2230
2	2	1920	"silage"	2405
2	3	1920	"silage"	2800
2	4	1920	"silage"	2720
2	5	1920	"silage"	2470
2	6	1920	"silage"	2290
2	7	1920	"silage"	2320
2	8	1920	"silage"	2335
2	9	1920	"silage"	2380
2	10	1920	"silage"	2655
2	11	1920	"silage"	2410
2	12	1920	"silage"	2560
2	13	1920	"silage"	2490
2	14	1920	"silage"	2560
2	15	1920	"silage"	2300
2	16	1920	"silage"	2590
2	17	1920	"silage"	2490
2	18	1920	"silage"	2550
2	19	1920	"silage"	2610
2	20	1920	"silage"	2430
2	21	1920	"silage"	2180
2	22	1920	"silage"	2360
2	23	1920	"silage"	1790
3	1	1920	"silage"	2240
3	2	1920	"silage"	2110
3	3	1920	"silage"	2535
3	4	1920	"silage"	2480
3	5	1920	"silage"	2300
3	6	1920	"silage"	2215
3	7	1920	"silage"	2150
3	8	1920	"silage"	2220
3	9	1920	"silage"	2400
3	10	1920	"silage"	2460
3	11	1920	"silage"	2245
3	12	1920	"silage"	2330
3	13	1920	"silage"	2400
3	14	1920	"silage"	2430
3	15	1920	"silage"	2300
3	16	1920	"silage"	2530
3	17	1920	"silage"	2540
3	18	1920	"silage"	2480
3	19	1920	"silage"	2610
3	20	1920	"silage"	2610
3	21	1920	"silage"	2480
3	22	1920	"silage"	1940
3	23	1920	"silage"	2200
2	1	1921	"barley"	506
2	2	1921	"barley"	571
2	3	1921	"barley"	554
2	4	1921	"barley"	559
2	5	1921	"barley"	569
2	6	1921	"barley"	512
2	7	1921	"barley"	552
2	8	1921	"barley"	514
2	9	1921	"barley"	499
2	10	1921	"barley"	548
2	11	1921	"barley"	559
2	12	1921	"barley"	598
2	13	1921	"barley"	547
2	14	1921	"barley"	550
2	15	1921	"barley"	509
2	16	1921	"barley"	566
2	17	1921	"barley"	634
2	18	1921	"barley"	616
2	19	1921	"barley"	568
2	20	1921	"barley"	571
2	21	1921	"barley"	546
2	22	1921	"barley"	521
2	23	1921	"barley"	452
3	1	1921	"barley"	466
3	2	1921	"barley"	485
3	3	1921	"barley"	519
3	4	1921	"barley"	493
3	5	1921	"barley"	498
3	6	1921	"barley"	436
3	7	1921	"barley"	502
3	8	1921	"barley"	497
3	9	1921	"barley"	476
3	10	1921	"barley"	489
3	11	1921	"barley"	465
3	12	1921	"barley"	492
3	13	1921	"barley"	506
3	14	1921	"barley"	526
3	15	1921	"barley"	523
3	16	1921	"barley"	501
3	17	1921	"barley"	515
3	18	1921	"barley"	537
3	19	1921	"barley"	505
3	20	1921	"barley"	531
3	21	1921	"barley"	542
3	22	1921	"barley"	523
3	23	1921	"barley"	530
2	1	1921	"straw"	344
2	2	1921	"straw"	389
2	3	1921	"straw"	376
2	4	1921	"straw"	361
2	5	1921	"straw"	381
2	6	1921	"straw"	388
2	7	1921	"straw"	348
2	8	1921	"straw"	326
2	9	1921	"straw"	341
2	10	1921	"straw"	372
2	11	1921	"straw"	341
2	12	1921	"straw"	312
2	13	1921	"straw"	303
2	14	1921	"straw"	280
2	15	1921	"straw"	261
2	16	1921	"straw"	334
2	17	1921	"straw"	416
2	18	1921	"straw"	374
2	19	1921	"straw"	342
2	20	1921	"straw"	379
2	21	1921	"straw"	344
2	22	1921	"straw"	239
2	23	1921	"straw"	288
3	1	1921	"straw"	304
3	2	1921	"straw"	325
3	3	1921	"straw"	351
3	4	1921	"straw"	307
3	5	1921	"straw"	342
3	6	1921	"straw"	334
3	7	1921	"straw"	338
3	8	1921	"straw"	303
3	9	1921	"straw"	304
3	10	1921	"straw"	311
3	11	1921	"straw"	305
3	12	1921	"straw"	298
3	13	1921	"straw"	304
3	14	1921	"straw"	314
3	15	1921	"straw"	297
3	16	1921	"straw"	289
3	17	1921	"straw"	305
3	18	1921	"straw"	273
3	19	1921	"straw"	285
3	20	1921	"straw"	309
3	21	1921	"straw"	288
3	22	1921	"straw"	317
3	23	1921	"straw"	300
2	1	1922	"alfalfa3"	420
2	2	1922	"alfalfa3"	520
2	3	1922	"alfalfa3"	390
2	4	1922	"alfalfa3"	340
2	5	1922	"alfalfa3"	390
2	6	1922	"alfalfa3"	390
2	7	1922	"alfalfa3"	400
2	8	1922	"alfalfa3"	390
2	9	1922	"alfalfa3"	410
2	10	1922	"alfalfa3"	490
2	11	1922	"alfalfa3"	480
2	12	1922	"alfalfa3"	500
2	13	1922	"alfalfa3"	450
2	14	1922	"alfalfa3"	440
2	15	1922	"alfalfa3"	400
2	16	1922	"alfalfa3"	430
2	17	1922	"alfalfa3"	420
2	18	1922	"alfalfa3"	430
2	19	1922	"alfalfa3"	340
2	20	1922	"alfalfa3"	360
2	21	1922	"alfalfa3"	320
2	22	1922	"alfalfa3"	230
2	23	1922	"alfalfa3"	200
3	1	1922	"alfalfa3"	260
3	2	1922	"alfalfa3"	330
3	3	1922	"alfalfa3"	340
3	4	1922	"alfalfa3"	350
3	5	1922	"alfalfa3"	395
3	6	1922	"alfalfa3"	350
3	7	1922	"alfalfa3"	420
3	8	1922	"alfalfa3"	390
3	9	1922	"alfalfa3"	395
3	10	1922	"alfalfa3"	305
3	11	1922	"alfalfa3"	290
3	12	1922	"alfalfa3"	410
3	13	1922	"alfalfa3"	380
3	14	1922	"alfalfa3"	370
3	15	1922	"alfalfa3"	340
3	16	1922	"alfalfa3"	305
3	17	1922	"alfalfa3"	380
3	18	1922	"alfalfa3"	365
3	19	1922	"alfalfa3"	375
3	20	1922	"alfalfa3"	370
3	21	1922	"alfalfa3"	440
3	22	1922	"alfalfa3"	345
3	23	1922	"alfalfa3"	410
2	1	1923	"alfalfa1"	530
2	2	1923	"alfalfa1"	450
2	3	1923	"alfalfa1"	640
2	4	1923	"alfalfa1"	510
2	5	1923	"alfalfa1"	620
2	6	1923	"alfalfa1"	540
2	7	1923	"alfalfa1"	600
2	8	1923	"alfalfa1"	510
2	9	1923	"alfalfa1"	540
2	10	1923	"alfalfa1"	545
2	11	1923	"alfalfa1"	730
2	12	1923	"alfalfa1"	610
2	13	1923	"alfalfa1"	670
2	14	1923	"alfalfa1"	570
2	15	1923	"alfalfa1"	660
2	16	1923	"alfalfa1"	560
2	17	1923	"alfalfa1"	630
2	18	1923	"alfalfa1"	550
2	19	1923	"alfalfa1"	640
2	20	1923	"alfalfa1"	630
2	21	1923	"alfalfa1"	640
2	22	1923	"alfalfa1"	550
2	23	1923	"alfalfa1"	540
3	1	1923	"alfalfa1"	645
3	2	1923	"alfalfa1"	540
3	3	1923	"alfalfa1"	750
3	4	1923	"alfalfa1"	490
3	5	1923	"alfalfa1"	670
3	6	1923	"alfalfa1"	590
3	7	1923	"alfalfa1"	720
3	8	1923	"alfalfa1"	500
3	9	1923	"alfalfa1"	760
3	10	1923	"alfalfa1"	590
3	11	1923	"alfalfa1"	620
3	12	1923	"alfalfa1"	550
3	13	1923	"alfalfa1"	600
3	14	1923	"alfalfa1"	550
3	15	1923	"alfalfa1"	630
3	16	1923	"alfalfa1"	500
