"gen"	"year"	"loc"	"block"	"yield"
1744	2013	"Yolo2"	"B4"	1514
1745	2013	"Yolo2"	"B1"	1512
1745	2013	"Yolo2"	"B3"	1879
1745	2013	"Yolo2"	"B4"	1786
1748	2013	"Yolo2"	"B1"	1630
1748	2013	"Yolo2"	"B3"	1870
1748	2013	"Yolo2"	"B4"	2183
1749	2013	"Yolo2"	"B1"	2730
1749	2013	"Yolo2"	"B3"	2046
1749	2013	"Yolo2"	"B4"	2302
1750	2013	"Yolo2"	"B1"	1680
1750	2013	"Yolo2"	"B2"	1725
1750	2013	"Yolo2"	"B3"	1604
1750	2013	"Yolo2"	"B4"	1603
1751	2013	"Yolo2"	"B1"	1804
1751	2013	"Yolo2"	"B2"	1607
1751	2013	"Yolo2"	"B3"	1527
1751	2013	"Yolo2"	"B4"	2149
1762	2013	"Yolo2"	"B1"	1360
1762	2013	"Yolo2"	"B3"	1197
1762	2013	"Yolo2"	"B4"	1913
1764	2013	"Yolo2"	"B1"	1759
1764	2013	"Yolo2"	"B3"	1368
1764	2013	"Yolo2"	"B4"	1542
20	2013	"Yolo2"	"B1"	1015
20	2013	"Yolo2"	"B4"	1732
788	2013	"Yolo2"	"B1"	2128
788	2013	"Yolo2"	"B4"	1942
1340	2014	"Yolo2"	"B1"	2639
1340	2014	"Yolo2"	"B2"	3368
1340	2014	"Yolo2"	"B3"	2795
1340	2014	"Yolo2"	"B4"	3246
1419	2014	"Yolo2"	"B1"	5629
1419	2014	"Yolo2"	"B2"	4842
1419	2014	"Yolo2"	"B3"	4481
1419	2014	"Yolo2"	"B4"	5331
1424	2014	"Yolo2"	"B1"	4855
1424	2014	"Yolo2"	"B2"	5026
1424	2014	"Yolo2"	"B3"	4980
1424	2014	"Yolo2"	"B4"	5888
1478	2014	"Yolo2"	"B1"	3028
1478	2014	"Yolo2"	"B2"	4603
1478	2014	"Yolo2"	"B3"	4800
1478	2014	"Yolo2"	"B4"	5904
1495	2014	"Yolo2"	"B1"	3653
1495	2014	"Yolo2"	"B2"	4907
1495	2014	"Yolo2"	"B3"	3738
1495	2014	"Yolo2"	"B4"	5069
1498	2014	"Yolo2"	"B1"	4165
1498	2014	"Yolo2"	"B2"	4396
1498	2014	"Yolo2"	"B3"	4506
1498	2014	"Yolo2"	"B4"	4756
1521	2014	"Yolo2"	"B1"	6871
1521	2014	"Yolo2"	"B2"	6094
1521	2014	"Yolo2"	"B3"	5383
1521	2014	"Yolo2"	"B4"	6593
1522	2014	"Yolo2"	"B1"	6227
1522	2014	"Yolo2"	"B2"	5978
1522	2014	"Yolo2"	"B3"	6039
1522	2014	"Yolo2"	"B4"	4717
1526	2014	"Yolo2"	"B1"	3063
1526	2014	"Yolo2"	"B2"	4394
1526	2014	"Yolo2"	"B3"	4093
1526	2014	"Yolo2"	"B4"	4257
1550	2014	"Yolo2"	"B1"	2930
1550	2014	"Yolo2"	"B2"	3606
1550	2014	"Yolo2"	"B3"	3322
1550	2014	"Yolo2"	"B4"	2696
1590	2014	"Yolo2"	"B1"	4312
1590	2014	"Yolo2"	"B2"	5989
1590	2014	"Yolo2"	"B3"	6082
1590	2014	"Yolo2"	"B4"	5923
1608	2014	"Yolo2"	"B1"	4523
1608	2014	"Yolo2"	"B2"	4586
1608	2014	"Yolo2"	"B3"	4496
1608	2014	"Yolo2"	"B4"	5124
1650	2014	"Yolo2"	"B1"	4585
1650	2014	"Yolo2"	"B2"	4673
1650	2014	"Yolo2"	"B3"	5217
1650	2014	"Yolo2"	"B4"	4791
1657	2014	"Yolo2"	"B1"	6705
1657	2014	"Yolo2"	"B2"	6743
1657	2014	"Yolo2"	"B3"	6620
1657	2014	"Yolo2"	"B4"	6400
1658	2014	"Yolo2"	"B1"	4396
1658	2014	"Yolo2"	"B2"	6156
1658	2014	"Yolo2"	"B3"	5755
1658	2014	"Yolo2"	"B4"	2674
1660	2014	"Yolo2"	"B1"	4736
1660	2014	"Yolo2"	"B2"	5221
1660	2014	"Yolo2"	"B3"	5109
1660	2014	"Yolo2"	"B4"	6012
1667	2014	"Yolo2"	"B1"	3013
1667	2014	"Yolo2"	"B2"	3736
1667	2014	"Yolo2"	"B3"	3374
1667	2014	"Yolo2"	"B4"	3301
1680	2014	"Yolo2"	"B1"	3296
1680	2014	"Yolo2"	"B2"	5309
1680	2014	"Yolo2"	"B3"	4270
1680	2014	"Yolo2"	"B4"	4360
1688	2014	"Yolo2"	"B1"	5432
1688	2014	"Yolo2"	"B2"	6979
1688	2014	"Yolo2"	"B3"	6060
1688	2014	"Yolo2"	"B4"	6026
1723	2014	"Yolo2"	"B1"	5955
1723	2014	"Yolo2"	"B2"	6238
1723	2014	"Yolo2"	"B3"	5282
1723	2014	"Yolo2"	"B4"	5076
1726	2014	"Yolo2"	"B1"	5590
1726	2014	"Yolo2"	"B2"	5753
1726	2014	"Yolo2"	"B3"	5505
1726	2014	"Yolo2"	"B4"	6086
1728	2014	"Yolo2"	"B1"	5598
1728	2014	"Yolo2"	"B2"	6163
1728	2014	"Yolo2"	"B3"	5232
1728	2014	"Yolo2"	"B4"	5849
1729	2014	"Yolo2"	"B1"	4206
1729	2014	"Yolo2"	"B2"	4787
1729	2014	"Yolo2"	"B3"	5079
1729	2014	"Yolo2"	"B4"	5391
1730	2014	"Yolo2"	"B1"	4459
1730	2014	"Yolo2"	"B2"	4108
1730	2014	"Yolo2"	"B3"	4430
1730	2014	"Yolo2"	"B4"	5139
1731	2014	"Yolo2"	"B1"	3844
1731	2014	"Yolo2"	"B2"	3714
1731	2014	"Yolo2"	"B3"	3762
1731	2014	"Yolo2"	"B4"	3886
1744	2014	"Yolo2"	"B1"	3997
1744	2014	"Yolo2"	"B2"	4547
1744	2014	"Yolo2"	"B3"	4716
1744	2014	"Yolo2"	"B4"	4958
1745	2014	"Yolo2"	"B1"	5836
1745	2014	"Yolo2"	"B2"	5886
1745	2014	"Yolo2"	"B3"	5336
1745	2014	"Yolo2"	"B4"	6451
1746	2014	"Yolo2"	"B1"	4326
1746	2014	"Yolo2"	"B2"	4832
1746	2014	"Yolo2"	"B3"	4447
1746	2014	"Yolo2"	"B4"	5488
1747	2014	"Yolo2"	"B1"	3344
1747	2014	"Yolo2"	"B2"	3228
1747	2014	"Yolo2"	"B3"	2735
1747	2014	"Yolo2"	"B4"	3216
1748	2014	"Yolo2"	"B1"	5033
1748	2014	"Yolo2"	"B2"	4329
1748	2014	"Yolo2"	"B3"	4613
1748	2014	"Yolo2"	"B4"	5066
1749	2014	"Yolo2"	"B1"	5705
1749	2014	"Yolo2"	"B2"	6581
1749	2014	"Yolo2"	"B3"	5777
1749	2014	"Yolo2"	"B4"	6535
1750	2014	"Yolo2"	"B1"	6179
1750	2014	"Yolo2"	"B2"	6003
1750	2014	"Yolo2"	"B3"	6320
1750	2014	"Yolo2"	"B4"	5746
1751	2014	"Yolo2"	"B1"	3618
1751	2014	"Yolo2"	"B2"	5091
1751	2014	"Yolo2"	"B3"	4785
1751	2014	"Yolo2"	"B4"	4575
1766	2014	"Yolo2"	"B1"	3951
1766	2014	"Yolo2"	"B2"	4412
1766	2014	"Yolo2"	"B3"	3189
1766	2014	"Yolo2"	"B4"	3350
1767	2014	"Yolo2"	"B1"	5405
1767	2014	"Yolo2"	"B2"	5605
1767	2014	"Yolo2"	"B3"	4943
1767	2014	"Yolo2"	"B4"	5883
1768	2014	"Yolo2"	"B1"	4904
1768	2014	"Yolo2"	"B2"	4854
1768	2014	"Yolo2"	"B3"	3933
1768	2014	"Yolo2"	"B4"	4267
1769	2014	"Yolo2"	"B1"	4261
1769	2014	"Yolo2"	"B2"	4977
1769	2014	"Yolo2"	"B3"	4316
1769	2014	"Yolo2"	"B4"	5105
1774	2014	"Yolo2"	"B1"	4980
1774	2014	"Yolo2"	"B2"	4947
1774	2014	"Yolo2"	"B3"	4250
1774	2014	"Yolo2"	"B4"	5402
1775	2014	"Yolo2"	"B1"	2704
1775	2014	"Yolo2"	"B2"	3185
1775	2014	"Yolo2"	"B3"	2585
1775	2014	"Yolo2"	"B4"	3416
1777	2014	"Yolo2"	"B1"	3059
1777	2014	"Yolo2"	"B2"	3687
1777	2014	"Yolo2"	"B3"	4808
1777	2014	"Yolo2"	"B4"	3416
1779	2014	"Yolo2"	"B1"	3707
1779	2014	"Yolo2"	"B2"	3011
1779	2014	"Yolo2"	"B3"	3621
1779	2014	"Yolo2"	"B4"	4372
1780	2014	"Yolo2"	"B1"	6004
1780	2014	"Yolo2"	"B2"	6289
1780	2014	"Yolo2"	"B3"	5729
1780	2014	"Yolo2"	"B4"	5762
1781	2014	"Yolo2"	"B1"	4614
1781	2014	"Yolo2"	"B2"	5379
1781	2014	"Yolo2"	"B3"	4873
1781	2014	"Yolo2"	"B4"	4785
20	2014	"Yolo2"	"B1"	3915
20	2014	"Yolo2"	"B2"	4434
20	2014	"Yolo2"	"B3"	4898
20	2014	"Yolo2"	"B4"	3646
1340	2015	"Yolo2"	"B1"	3469
1340	2015	"Yolo2"	"B2"	3013
1340	2015	"Yolo2"	"B3"	2535
1340	2015	"Yolo2"	"B4"	3020
1361	2015	"Yolo2"	"B1"	3764
1361	2015	"Yolo2"	"B2"	4340
1361	2015	"Yolo2"	"B3"	5640
1361	2015	"Yolo2"	"B4"	6336
1419	2015	"Yolo2"	"B1"	3326
1419	2015	"Yolo2"	"B2"	3135
1419	2015	"Yolo2"	"B3"	5099
1419	2015	"Yolo2"	"B4"	5482
1424	2015	"Yolo2"	"B1"	2464
1424	2015	"Yolo2"	"B2"	3710
1424	2015	"Yolo2"	"B3"	3613
1424	2015	"Yolo2"	"B4"	3204
1478	2015	"Yolo2"	"B1"	4248
1478	2015	"Yolo2"	"B2"	11283
1478	2015	"Yolo2"	"B3"	4762
1478	2015	"Yolo2"	"B4"	5113
1495	2015	"Yolo2"	"B1"	5234
1495	2015	"Yolo2"	"B2"	4709
1495	2015	"Yolo2"	"B3"	4295
1495	2015	"Yolo2"	"B4"	5654
1521	2015	"Yolo2"	"B1"	3363
1521	2015	"Yolo2"	"B2"	1490
1521	2015	"Yolo2"	"B3"	4446
1521	2015	"Yolo2"	"B4"	5844
1522	2015	"Yolo2"	"B1"	3141
1522	2015	"Yolo2"	"B2"	4438
1522	2015	"Yolo2"	"B3"	4929
1522	2015	"Yolo2"	"B4"	5827
1526	2015	"Yolo2"	"B1"	3532
1526	2015	"Yolo2"	"B2"	4409
1526	2015	"Yolo2"	"B3"	4734
1526	2015	"Yolo2"	"B4"	5468
1550	2015	"Yolo2"	"B1"	2924
1550	2015	"Yolo2"	"B2"	3107
1550	2015	"Yolo2"	"B3"	4601
1550	2015	"Yolo2"	"B4"	3329
1590	2015	"Yolo2"	"B1"	4720
1590	2015	"Yolo2"	"B2"	3418
1590	2015	"Yolo2"	"B3"	6296
1590	2015	"Yolo2"	"B4"	5719
1608	2015	"Yolo2"	"B1"	1528
1608	2015	"Yolo2"	"B2"	5949
1608	2015	"Yolo2"	"B3"	4969
1608	2015	"Yolo2"	"B4"	6642
1657	2015	"Yolo2"	"B1"	4559
1657	2015	"Yolo2"	"B2"	3825
1657	2015	"Yolo2"	"B3"	4672
1657	2015	"Yolo2"	"B4"	5664
1658	2015	"Yolo2"	"B1"	3995
1658	2015	"Yolo2"	"B2"	5900
1658	2015	"Yolo2"	"B3"	4038
1658	2015	"Yolo2"	"B4"	6599
1660	2015	"Yolo2"	"B1"	3466
1660	2015	"Yolo2"	"B2"	2431
1660	2015	"Yolo2"	"B3"	5686
1660	2015	"Yolo2"	"B4"	6124
1667	2015	"Yolo2"	"B1"	1703
1667	2015	"Yolo2"	"B2"	3289
1667	2015	"Yolo2"	"B3"	4154
1667	2015	"Yolo2"	"B4"	3891
1680	2015	"Yolo2"	"B1"	3462
1680	2015	"Yolo2"	"B2"	3457
1680	2015	"Yolo2"	"B3"	4779
1680	2015	"Yolo2"	"B4"	5002
1688	2015	"Yolo2"	"B1"	4109
1688	2015	"Yolo2"	"B2"	5958
1688	2015	"Yolo2"	"B3"	6393
1688	2015	"Yolo2"	"B4"	6638
1723	2015	"Yolo2"	"B1"	4799
1723	2015	"Yolo2"	"B2"	5421
1723	2015	"Yolo2"	"B3"	6218
1723	2015	"Yolo2"	"B4"	6470
1728	2015	"Yolo2"	"B1"	4071
1728	2015	"Yolo2"	"B2"	4708
1728	2015	"Yolo2"	"B3"	3325
1728	2015	"Yolo2"	"B4"	3882
1729	2015	"Yolo2"	"B1"	2398
1729	2015	"Yolo2"	"B2"	1583
1729	2015	"Yolo2"	"B3"	8198
1729	2015	"Yolo2"	"B4"	4521
1730	2015	"Yolo2"	"B1"	4087
1730	2015	"Yolo2"	"B2"	4646
1730	2015	"Yolo2"	"B3"	4995
1730	2015	"Yolo2"	"B4"	5167
1731	2015	"Yolo2"	"B1"	4236
1731	2015	"Yolo2"	"B2"	4417
1731	2015	"Yolo2"	"B3"	5609
1731	2015	"Yolo2"	"B4"	4448
1745	2015	"Yolo2"	"B1"	1664
1745	2015	"Yolo2"	"B2"	12328
1745	2015	"Yolo2"	"B3"	6148
1745	2015	"Yolo2"	"B4"	4527
1748	2015	"Yolo2"	"B1"	1356
1748	2015	"Yolo2"	"B2"	5230
1748	2015	"Yolo2"	"B3"	5536
1748	2015	"Yolo2"	"B4"	5671
1749	2015	"Yolo2"	"B1"	2680
1749	2015	"Yolo2"	"B2"	4960
1749	2015	"Yolo2"	"B3"	4316
1749	2015	"Yolo2"	"B4"	5321
1750	2015	"Yolo2"	"B1"	2068
1750	2015	"Yolo2"	"B2"	3717
1750	2015	"Yolo2"	"B3"	5219
1750	2015	"Yolo2"	"B4"	4744
1751	2015	"Yolo2"	"B1"	1541
1751	2015	"Yolo2"	"B2"	1996
1751	2015	"Yolo2"	"B3"	4208
1751	2015	"Yolo2"	"B4"	7014
1766	2015	"Yolo2"	"B1"	4224
1766	2015	"Yolo2"	"B2"	3844
1766	2015	"Yolo2"	"B3"	5836
1766	2015	"Yolo2"	"B4"	4466
1767	2015	"Yolo2"	"B1"	5618
1767	2015	"Yolo2"	"B2"	5592
1767	2015	"Yolo2"	"B3"	6110
1767	2015	"Yolo2"	"B4"	6125
1772	2015	"Yolo2"	"B1"	2558
1772	2015	"Yolo2"	"B2"	4112
1772	2015	"Yolo2"	"B3"	5127
1772	2015	"Yolo2"	"B4"	5007
1773	2015	"Yolo2"	"B1"	2016
1773	2015	"Yolo2"	"B2"	4111
1773	2015	"Yolo2"	"B3"	3159
1773	2015	"Yolo2"	"B4"	5535
1778	2015	"Yolo2"	"B1"	4953
1778	2015	"Yolo2"	"B2"	5649
1778	2015	"Yolo2"	"B3"	5541
1778	2015	"Yolo2"	"B4"	5738
1779	2015	"Yolo2"	"B1"	3159
1779	2015	"Yolo2"	"B2"	4882
1779	2015	"Yolo2"	"B3"	5418
1779	2015	"Yolo2"	"B4"	3802
1789	2015	"Yolo2"	"B1"	977
1789	2015	"Yolo2"	"B2"	3472
1789	2015	"Yolo2"	"B3"	10201
1789	2015	"Yolo2"	"B4"	4953
1790	2015	"Yolo2"	"B1"	4062
1790	2015	"Yolo2"	"B2"	5180
1790	2015	"Yolo2"	"B3"	4837
1790	2015	"Yolo2"	"B4"	6321
1791	2015	"Yolo2"	"B1"	2108
1791	2015	"Yolo2"	"B2"	5641
1791	2015	"Yolo2"	"B3"	5372
1791	2015	"Yolo2"	"B4"	4469
1792	2015	"Yolo2"	"B1"	3034
1792	2015	"Yolo2"	"B2"	3712
1792	2015	"Yolo2"	"B3"	4534
1792	2015	"Yolo2"	"B4"	4759
1793	2015	"Yolo2"	"B1"	3322
1793	2015	"Yolo2"	"B2"	4420
1793	2015	"Yolo2"	"B3"	9766
1793	2015	"Yolo2"	"B4"	4928
1794	2015	"Yolo2"	"B1"	2960
1794	2015	"Yolo2"	"B2"	5539
1794	2015	"Yolo2"	"B3"	5947
1794	2015	"Yolo2"	"B4"	4771
1795	2015	"Yolo2"	"B1"	1557
1795	2015	"Yolo2"	"B2"	5418
1795	2015	"Yolo2"	"B3"	6101
1795	2015	"Yolo2"	"B4"	4970
1802	2015	"Yolo2"	"B1"	3945
1802	2015	"Yolo2"	"B2"	3939
1802	2015	"Yolo2"	"B3"	6589
1802	2015	"Yolo2"	"B4"	6039
1803	2015	"Yolo2"	"B1"	3934
1803	2015	"Yolo2"	"B2"	3510
1803	2015	"Yolo2"	"B3"	3402
1803	2015	"Yolo2"	"B4"	5945
1804	2015	"Yolo2"	"B1"	4457
1804	2015	"Yolo2"	"B2"	4004
1804	2015	"Yolo2"	"B3"	4963
1804	2015	"Yolo2"	"B4"	5051
1805	2015	"Yolo2"	"B1"	3173
1805	2015	"Yolo2"	"B2"	5018
1805	2015	"Yolo2"	"B3"	5802
1805	2015	"Yolo2"	"B4"	5981
1806	2015	"Yolo2"	"B1"	4004
1806	2015	"Yolo2"	"B2"	2561
1806	2015	"Yolo2"	"B3"	12787
1806	2015	"Yolo2"	"B4"	6226
1807	2015	"Yolo2"	"B1"	3809
1807	2015	"Yolo2"	"B2"	5530
1807	2015	"Yolo2"	"B3"	5400
1807	2015	"Yolo2"	"B4"	4400
1808	2015	"Yolo2"	"B1"	3685
1808	2015	"Yolo2"	"B2"	2336
1808	2015	"Yolo2"	"B3"	4224
1808	2015	"Yolo2"	"B4"	4223
1478	2016	"Yolo2"	"B1"	7021
1478	2016	"Yolo2"	"B2"	7142
1478	2016	"Yolo2"	"B3"	7326
1478	2016	"Yolo2"	"B4"	7836
1495	2016	"Yolo2"	"B1"	7694
1495	2016	"Yolo2"	"B2"	8015
1495	2016	"Yolo2"	"B3"	8295
1495	2016	"Yolo2"	"B4"	6648
1521	2016	"Yolo2"	"B1"	7779
1521	2016	"Yolo2"	"B2"	7542
1521	2016	"Yolo2"	"B3"	7298
1521	2016	"Yolo2"	"B4"	8263
1522	2016	"Yolo2"	"B1"	6132
1522	2016	"Yolo2"	"B2"	7508
1522	2016	"Yolo2"	"B3"	8050
1522	2016	"Yolo2"	"B4"	7299
1550	2016	"Yolo2"	"B1"	3922
1550	2016	"Yolo2"	"B2"	5274
1550	2016	"Yolo2"	"B3"	5503
1550	2016	"Yolo2"	"B4"	6134
1590	2016	"Yolo2"	"B1"	8059
1590	2016	"Yolo2"	"B3"	8047
1590	2016	"Yolo2"	"B4"	7123
1608	2016	"Yolo2"	"B1"	6349
1608	2016	"Yolo2"	"B2"	6661
1608	2016	"Yolo2"	"B3"	5942
1608	2016	"Yolo2"	"B4"	7120
1650	2016	"Yolo2"	"B1"	6068
1650	2016	"Yolo2"	"B2"	4920
1650	2016	"Yolo2"	"B3"	6786
1650	2016	"Yolo2"	"B4"	4942
1657	2016	"Yolo2"	"B1"	7567
1657	2016	"Yolo2"	"B2"	7156
1657	2016	"Yolo2"	"B3"	6615
1657	2016	"Yolo2"	"B4"	5598
1658	2016	"Yolo2"	"B1"	7759
1658	2016	"Yolo2"	"B2"	7013
1658	2016	"Yolo2"	"B3"	6655
1658	2016	"Yolo2"	"B4"	7967
1660	2016	"Yolo2"	"B1"	6938
1660	2016	"Yolo2"	"B2"	6339
1660	2016	"Yolo2"	"B3"	7670
1660	2016	"Yolo2"	"B4"	7688
1667	2016	"Yolo2"	"B1"	5554
1667	2016	"Yolo2"	"B2"	4978
1667	2016	"Yolo2"	"B3"	4746
1667	2016	"Yolo2"	"B4"	3706
1680	2016	"Yolo2"	"B1"	7560
1680	2016	"Yolo2"	"B2"	4501
1680	2016	"Yolo2"	"B3"	8034
1680	2016	"Yolo2"	"B4"	7217
1723	2016	"Yolo2"	"B1"	8674
1723	2016	"Yolo2"	"B2"	9106
1723	2016	"Yolo2"	"B3"	8183
1723	2016	"Yolo2"	"B4"	7766
1728	2016	"Yolo2"	"B1"	4069
1728	2016	"Yolo2"	"B2"	6577
1728	2016	"Yolo2"	"B3"	6858
1728	2016	"Yolo2"	"B4"	6203
1730	2016	"Yolo2"	"B1"	6986
1730	2016	"Yolo2"	"B2"	7254
1730	2016	"Yolo2"	"B3"	6650
1730	2016	"Yolo2"	"B4"	7210
1731	2016	"Yolo2"	"B1"	5545
1731	2016	"Yolo2"	"B2"	5828
1731	2016	"Yolo2"	"B3"	7215
1731	2016	"Yolo2"	"B4"	7983
1743	2016	"Yolo2"	"B1"	5591
1743	2016	"Yolo2"	"B2"	7414
1743	2016	"Yolo2"	"B3"	6494
1743	2016	"Yolo2"	"B4"	6505
1745	2016	"Yolo2"	"B1"	7800
1745	2016	"Yolo2"	"B2"	7366
1745	2016	"Yolo2"	"B3"	7112
1745	2016	"Yolo2"	"B4"	7321
1748	2016	"Yolo2"	"B1"	7106
1748	2016	"Yolo2"	"B2"	6486
1748	2016	"Yolo2"	"B3"	7582
1748	2016	"Yolo2"	"B4"	7235
1749	2016	"Yolo2"	"B1"	6425
1749	2016	"Yolo2"	"B2"	7600
1749	2016	"Yolo2"	"B3"	7733
1749	2016	"Yolo2"	"B4"	7267
1750	2016	"Yolo2"	"B1"	7542
1750	2016	"Yolo2"	"B2"	7778
1750	2016	"Yolo2"	"B3"	7687
1750	2016	"Yolo2"	"B4"	6905
1751	2016	"Yolo2"	"B1"	7939
1751	2016	"Yolo2"	"B2"	7741
1751	2016	"Yolo2"	"B3"	7733
1751	2016	"Yolo2"	"B4"	6839
1766	2016	"Yolo2"	"B1"	6729
1766	2016	"Yolo2"	"B2"	6851
1766	2016	"Yolo2"	"B3"	6844
1766	2016	"Yolo2"	"B4"	6463
1778	2016	"Yolo2"	"B1"	7635
1778	2016	"Yolo2"	"B2"	6328
1778	2016	"Yolo2"	"B3"	4394
1778	2016	"Yolo2"	"B4"	5420
1802	2016	"Yolo2"	"B1"	7713
1802	2016	"Yolo2"	"B2"	7823
1802	2016	"Yolo2"	"B3"	6244
1802	2016	"Yolo2"	"B4"	7184
1807	2016	"Yolo2"	"B1"	6225
1807	2016	"Yolo2"	"B2"	5251
1807	2016	"Yolo2"	"B3"	5574
1807	2016	"Yolo2"	"B4"	6798
1814	2016	"Yolo2"	"B1"	7562
1814	2016	"Yolo2"	"B2"	7429
1814	2016	"Yolo2"	"B3"	7191
1814	2016	"Yolo2"	"B4"	7393
1815	2016	"Yolo2"	"B1"	6824
1815	2016	"Yolo2"	"B2"	7564
1815	2016	"Yolo2"	"B3"	7639
1815	2016	"Yolo2"	"B4"	7940
1816	2016	"Yolo2"	"B1"	8417
1816	2016	"Yolo2"	"B2"	7369
1816	2016	"Yolo2"	"B3"	8035
1816	2016	"Yolo2"	"B4"	7567
1817	2016	"Yolo2"	"B1"	6665
1817	2016	"Yolo2"	"B2"	7091
1817	2016	"Yolo2"	"B3"	7859
1817	2016	"Yolo2"	"B4"	7868
1818	2016	"Yolo2"	"B1"	6974
1818	2016	"Yolo2"	"B2"	5410
1818	2016	"Yolo2"	"B3"	6981
1818	2016	"Yolo2"	"B4"	5855
1819	2016	"Yolo2"	"B1"	7187
1819	2016	"Yolo2"	"B2"	7309
1819	2016	"Yolo2"	"B3"	7666
1819	2016	"Yolo2"	"B4"	8065
1820	2016	"Yolo2"	"B1"	6876
1820	2016	"Yolo2"	"B2"	7051
1820	2016	"Yolo2"	"B3"	7979
1820	2016	"Yolo2"	"B4"	7853
1821	2016	"Yolo2"	"B1"	7995
1821	2016	"Yolo2"	"B2"	8102
1821	2016	"Yolo2"	"B3"	7629
1821	2016	"Yolo2"	"B4"	8113
1828	2016	"Yolo2"	"B1"	6063
