"col"	"row"	"disease"
24	13	"N"
24	14	"N"
25	1	"Y"
25	2	"Y"
25	3	"N"
25	4	"N"
25	5	"N"
25	6	"N"
25	7	"N"
25	8	"N"
25	9	"N"
25	10	"N"
25	11	"N"
25	12	"Y"
25	13	"Y"
25	14	"N"
26	1	"N"
26	2	"N"
26	3	"N"
26	4	"N"
26	5	"N"
26	6	"N"
26	7	"N"
26	8	"N"
26	9	"N"
26	10	"N"
26	11	"N"
26	12	"Y"
26	13	"N"
26	14	"N"
27	1	"N"
27	2	"N"
27	3	"N"
27	4	"N"
27	5	"N"
27	6	"N"
27	7	"N"
27	8	"N"
27	9	"N"
27	10	"N"
27	11	"N"
27	12	"N"
27	13	"Y"
27	14	"N"
28	1	"N"
28	2	"N"
28	3	"N"
28	4	"N"
28	5	"N"
28	6	"N"
28	7	"N"
28	8	"N"
28	9	"N"
28	10	"N"
28	11	"N"
28	12	"N"
28	13	"N"
28	14	"N"
29	1	"N"
29	2	"N"
29	3	"Y"
29	4	"Y"
29	5	"N"
29	6	"N"
29	7	"N"
29	8	"N"
29	9	"N"
29	10	"N"
29	11	"N"
29	12	"N"
29	13	"N"
29	14	"N"
30	1	"N"
30	2	"N"
30	3	"N"
30	4	"N"
30	5	"N"
30	6	"N"
30	7	"N"
30	8	"N"
30	9	"N"
30	10	"N"
30	11	"N"
30	12	"N"
30	13	"N"
30	14	"N"
31	1	"N"
31	2	"N"
31	3	"N"
31	4	"N"
31	5	"N"
31	6	"N"
31	7	"N"
31	8	"N"
31	9	"N"
31	10	"Y"
31	11	"N"
31	12	"N"
31	13	"N"
31	14	"N"
32	1	"N"
32	2	"N"
32	3	"N"
32	4	"N"
32	5	"N"
32	6	"N"
32	7	"N"
32	8	"Y"
32	9	"N"
32	10	"N"
32	11	"N"
32	12	"N"
32	13	"N"
32	14	"N"
33	1	"N"
33	2	"N"
33	3	"N"
33	4	"N"
33	5	"N"
33	6	"N"
33	7	"N"
33	8	"N"
33	9	"Y"
33	10	"Y"
33	11	"Y"
33	12	"N"
33	13	"Y"
33	14	"N"
34	1	"N"
34	2	"N"
34	3	"N"
34	4	"N"
34	5	"Y"
34	6	"N"
34	7	"N"
34	8	"Y"
34	9	"N"
34	10	"N"
34	11	"N"
34	12	"N"
34	13	"N"
34	14	"N"
35	1	"N"
35	2	"N"
35	3	"N"
35	4	"N"
35	5	"N"
35	6	"N"
35	7	"N"
35	8	"N"
35	9	"N"
35	10	"N"
35	11	"N"
35	12	"N"
35	13	"N"
35	14	"N"
36	1	"N"
36	2	"N"
36	3	"N"
36	4	"N"
36	5	"N"
36	6	"N"
36	7	"N"
36	8	"N"
36	9	"N"
36	10	"N"
36	11	"Y"
36	12	"N"
36	13	"N"
36	14	"Y"
37	1	"N"
37	2	"N"
37	3	"Y"
37	4	"N"
37	5	"N"
37	6	"Y"
37	7	"N"
37	8	"N"
37	9	"N"
37	10	"Y"
37	11	"Y"
37	12	"N"
37	13	"N"
37	14	"N"
38	1	"N"
38	2	"N"
38	3	"Y"
38	4	"N"
38	5	"N"
38	6	"N"
38	7	"Y"
38	8	"Y"
38	9	"N"
38	10	"Y"
38	11	"N"
38	12	"N"
38	13	"N"
38	14	"N"
39	1	"N"
39	2	"N"
39	3	"Y"
39	4	"Y"
39	5	"N"
39	6	"N"
39	7	"N"
39	8	"N"
39	9	"N"
39	10	"N"
39	11	"N"
39	12	"N"
39	13	"N"
39	14	"N"
40	1	"N"
40	2	"N"
40	3	"Y"
40	4	"Y"
40	5	"Y"
40	6	"N"
40	7	"N"
40	8	"N"
40	9	"N"
40	10	"N"
40	11	"N"
40	12	"N"
40	13	"N"
40	14	"N"
41	1	"N"
41	2	"N"
41	3	"Y"
41	4	"N"
41	5	"N"
41	6	"N"
41	7	"N"
41	8	"N"
41	9	"N"
41	10	"Y"
41	11	"N"
41	12	"N"
41	13	"N"
41	14	"N"
42	1	"N"
42	2	"Y"
42	3	"N"
42	4	"N"
42	5	"N"
42	6	"N"
42	7	"N"
42	8	"Y"
42	9	"N"
42	10	"Y"
42	11	"N"
42	12	"N"
42	13	"N"
42	14	"N"
43	1	"N"
43	2	"N"
43	3	"N"
43	4	"Y"
43	5	"N"
43	6	"Y"
43	7	"Y"
43	8	"N"
43	9	"N"
43	10	"Y"
43	11	"N"
43	12	"N"
43	13	"N"
43	14	"N"
44	1	"N"
44	2	"N"
44	3	"N"
44	4	"N"
44	5	"Y"
44	6	"N"
44	7	"Y"
44	8	"Y"
44	9	"Y"
44	10	"N"
44	11	"N"
44	12	"Y"
44	13	"N"
44	14	"N"
45	1	"N"
45	2	"N"
45	3	"N"
45	4	"Y"
45	5	"N"
45	6	"N"
45	7	"Y"
45	8	"Y"
45	9	"N"
45	10	"N"
45	11	"N"
45	12	"Y"
45	13	"Y"
45	14	"N"
46	1	"N"
46	2	"N"
46	3	"N"
46	4	"N"
46	5	"N"
46	6	"N"
46	7	"N"
46	8	"N"
46	9	"N"
46	10	"N"
46	11	"N"
46	12	"Y"
46	13	"N"
46	14	"N"
47	1	"N"
47	2	"N"
47	3	"Y"
47	4	"N"
47	5	"N"
47	6	"N"
47	7	"Y"
47	8	"N"
47	9	"N"
47	10	"N"
47	11	"N"
47	12	"N"
47	13	"Y"
47	14	"N"
48	1	"N"
48	2	"N"
48	3	"Y"
48	4	"N"
48	5	"N"
48	6	"Y"
48	7	"Y"
48	8	"Y"
48	9	"N"
48	10	"N"
48	11	"N"
48	12	"N"
48	13	"Y"
48	14	"N"
49	1	"N"
49	2	"N"
49	3	"Y"
49	4	"Y"
49	5	"Y"
49	6	"Y"
49	7	"Y"
49	8	"N"
49	9	"N"
49	10	"N"
49	11	"N"
49	12	"N"
49	13	"Y"
49	14	"N"
50	1	"N"
50	2	"N"
50	3	"N"
50	4	"Y"
50	5	"N"
50	6	"Y"
50	7	"N"
50	8	"N"
50	9	"N"
50	10	"Y"
50	11	"N"
50	12	"Y"
50	13	"N"
50	14	"N"
51	1	"N"
51	2	"N"
51	3	"Y"
51	4	"N"
51	5	"N"
51	6	"Y"
51	7	"Y"
51	8	"N"
51	9	"N"
51	10	"N"
51	11	"N"
51	12	"N"
51	13	"N"
51	14	"N"
52	1	"N"
52	2	"Y"
52	3	"Y"
52	4	"N"
52	5	"N"
52	6	"Y"
52	7	"Y"
52	8	"N"
52	9	"N"
52	10	"N"
52	11	"N"
52	12	"N"
52	13	"N"
52	14	"N"
53	1	"N"
53	2	"Y"
53	3	"Y"
53	4	"Y"
53	5	"N"
53	6	"N"
53	7	"N"
53	8	"N"
53	9	"N"
53	10	"N"
53	11	"N"
53	12	"N"
53	13	"N"
53	14	"N"
54	1	"N"
54	2	"N"
54	3	"N"
54	4	"N"
54	5	"N"
54	6	"Y"
54	7	"Y"
54	8	"N"
54	9	"N"
54	10	"N"
54	11	"N"
54	12	"Y"
54	13	"N"
54	14	"N"
55	1	"N"
55	2	"N"
55	3	"N"
55	4	"N"
55	5	"N"
55	6	"N"
55	7	"N"
55	8	"N"
55	9	"N"
55	10	"Y"
55	11	"Y"
55	12	"N"
55	13	"N"
55	14	"N"
56	1	"N"
56	2	"Y"
56	3	"N"
56	4	"N"
56	5	"N"
56	6	"N"
56	7	"Y"
56	8	"N"
56	9	"N"
56	10	"Y"
56	11	"N"
56	12	"N"
56	13	"N"
56	14	"N"
57	1	"N"
57	2	"N"
57	3	"Y"
57	4	"N"
57	5	"N"
57	6	"N"
57	7	"N"
57	8	"Y"
57	9	"N"
57	10	"N"
57	11	"N"
57	12	"Y"
57	13	"Y"
57	14	"N"
58	1	"N"
58	2	"N"
58	3	"Y"
58	4	"N"
58	5	"N"
58	6	"N"
58	7	"Y"
58	8	"N"
58	9	"Y"
58	10	"Y"
58	11	"N"
58	12	"N"
58	13	"N"
58	14	"N"
59	1	"N"
59	2	"Y"
59	3	"Y"
59	4	"Y"
59	5	"N"
59	6	"N"
59	7	"N"
59	8	"N"
59	9	"N"
59	10	"N"
59	11	"N"
59	12	"N"
59	13	"N"
59	14	"N"
60	1	"N"
60	2	"N"
60	3	"Y"
60	4	"N"
60	5	"N"
60	6	"N"
60	7	"N"
60	8	"N"
60	9	"N"
60	10	"N"
60	11	"N"
60	12	"N"
60	13	"N"
60	14	"N"
61	1	"N"
61	2	"N"
61	3	"Y"
61	4	"N"
61	5	"N"
61	6	"N"
61	7	"Y"
61	8	"N"
61	9	"N"
61	10	"N"
61	11	"N"
61	12	"N"
61	13	"N"
61	14	"N"
62	1	"N"
62	2	"N"
62	3	"N"
62	4	"N"
62	5	"N"
62	6	"Y"
62	7	"N"
62	8	"N"
62	9	"Y"
62	10	"N"
62	11	"N"
62	12	"N"
62	13	"N"
62	14	"N"
63	1	"N"
63	2	"N"
63	3	"N"
63	4	"N"
63	5	"Y"
63	6	"N"
63	7	"N"
63	8	"N"
63	9	"N"
63	10	"Y"
63	11	"N"
63	12	"N"
63	13	"N"
63	14	"N"
64	1	"N"
64	2	"Y"
64	3	"N"
64	4	"N"
64	5	"N"
64	6	"N"
64	7	"Y"
64	8	"N"
64	9	"N"
64	10	"Y"
64	11	"Y"
64	12	"N"
64	13	"N"
64	14	"N"
65	1	"N"
65	2	"N"
65	3	"Y"
65	4	"N"
65	5	"N"
65	6	"N"
65	7	"N"
65	8	"N"
65	9	"N"
65	10	"Y"
65	11	"N"
65	12	"N"
65	13	"Y"
65	14	"N"
66	1	"N"
66	2	"N"
66	3	"N"
66	4	"N"
66	5	"N"
66	6	"N"
66	7	"Y"
66	8	"N"
66	9	"N"
66	10	"N"
66	11	"N"
66	12	"N"
66	13	"N"
66	14	"N"
67	1	"N"
67	2	"N"
67	3	"Y"
67	4	"N"
67	5	"N"
67	6	"N"
67	7	"Y"
67	8	"N"
67	9	"N"
67	10	"N"
67	11	"N"
67	12	"N"
67	13	"N"
67	14	"N"
68	1	"N"
68	2	"N"
68	3	"N"
68	4	"N"
68	5	"N"
68	6	"N"
68	7	"N"
68	8	"N"
68	9	"N"
68	10	"Y"
68	11	"N"
68	12	"N"
68	13	"N"
68	14	"N"
69	1	"N"
69	2	"N"
69	3	"N"
69	4	"Y"
69	5	"N"
69	6	"N"
69	7	"N"
69	8	"N"
69	9	"N"
69	10	"N"
69	11	"N"
69	12	"N"
69	13	"N"
69	14	"N"
70	1	"N"
70	2	"N"
70	3	"N"
70	4	"N"
70	5	"N"
70	6	"N"
70	7	"N"
70	8	"N"
70	9	"N"
70	10	"Y"
70	11	"N"
70	12	"N"
70	13	"N"
70	14	"N"
71	1	"N"
71	2	"N"
71	3	"N"
71	4	"N"
71	5	"N"
71	6	"N"
71	7	"N"
71	8	"N"
71	9	"N"
71	10	"N"
71	11	"N"
71	12	"N"
71	13	"N"
71	14	"N"
72	1	"N"
72	2	"Y"
72	3	"N"
72	4	"Y"
72	5	"N"
72	6	"N"
72	7	"Y"
72	8	"N"
72	9	"N"
72	10	"N"
72	11	"Y"
72	12	"N"
72	13	"N"
72	14	"N"
73	1	"N"
73	2	"N"
73	3	"N"
73	4	"N"
73	5	"Y"
73	6	"N"
73	7	"N"
73	8	"N"
73	9	"N"
73	10	"N"
73	11	"N"
73	12	"Y"
73	13	"Y"
73	14	"Y"
74	1	"N"
74	2	"N"
74	3	"Y"
74	4	"N"
74	5	"Y"
74	6	"N"
74	7	"N"
74	8	"N"
74	9	"N"
74	10	"N"
74	11	"N"
74	12	"N"
74	13	"N"
74	14	"N"
75	1	"N"
75	2	"N"
75	3	"Y"
75	4	"N"
75	5	"N"
75	6	"Y"
75	7	"N"
75	8	"N"
75	9	"N"
75	10	"N"
75	11	"N"
75	12	"N"
75	13	"N"
75	14	"N"
76	1	"N"
76	2	"N"
76	3	"N"
76	4	"N"
76	5	"N"
76	6	"Y"
76	7	"N"
76	8	"N"
76	9	"N"
76	10	"N"
76	11	"N"
76	12	"N"
76	13	"N"
76	14	"N"
77	1	"N"
77	2	"N"
77	3	"N"
77	4	"N"
77	5	"N"
77	6	"N"
77	7	"Y"
77	8	"N"
77	9	"N"
77	10	"N"
77	11	"N"
77	12	"N"
77	13	"N"
77	14	"N"
78	1	"N"
78	2	"N"
78	3	"N"
78	4	"N"
78	5	"N"
78	6	"N"
78	7	"N"
78	8	"N"
78	9	"N"
78	10	"N"
78	11	"N"
78	12	"N"
78	13	"N"
78	14	"N"
79	1	"N"
79	2	"Y"
79	3	"N"
79	4	"N"
79	5	"N"
79	6	"N"
79	7	"N"
79	8	"N"
79	9	"N"
79	10	"N"
79	11	"N"
79	12	"N"
79	13	"N"
79	14	"N"
80	1	"N"
80	2	"N"
80	3	"Y"
80	4	"N"
80	5	"N"
80	6	"N"
80	7	"N"
80	8	"N"
80	9	"N"
80	10	"N"
80	11	"N"
80	12	"Y"
80	13	"Y"
80	14	"N"
81	1	"N"
81	2	"Y"
81	3	"Y"
81	4	"Y"
81	5	"Y"
81	6	"N"
81	7	"N"
81	8	"N"
81	9	"N"
81	10	"Y"
81	11	"N"
81	12	"N"
81	13	"N"
81	14	"N"
82	1	"N"
82	2	"Y"
82	3	"N"
82	4	"N"
82	5	"N"
82	6	"N"
82	7	"N"
82	8	"N"
82	9	"N"
82	10	"N"
82	11	"N"
82	12	"N"
82	13	"Y"
82	14	"N"
83	1	"N"
83	2	"Y"
83	3	"N"
83	4	"N"
83	5	"N"
83	6	"Y"
83	7	"N"
83	8	"N"
83	9	"N"
83	10	"N"
83	11	"N"
83	12	"N"
83	13	"N"
83	14	"N"
84	1	"N"
84	2	"Y"
84	3	"Y"
84	4	"N"
84	5	"N"
84	6	"N"
84	7	"N"
84	8	"N"
84	9	"Y"
84	10	"N"
84	11	"N"
84	12	"N"
84	13	"N"
84	14	"N"
85	1	"N"
85	2	"N"
85	3	"N"
85	4	"N"
85	5	"N"
85	6	"N"
85	7	"N"
85	8	"N"
85	9	"N"
85	10	"N"
85	11	"N"
85	12	"N"
85	13	"N"
85	14	"N"
86	1	"N"
86	2	"Y"
86	3	"N"
86	4	"N"
86	5	"N"
86	6	"Y"
86	7	"N"
86	8	"N"
86	9	"N"
86	10	"Y"
86	11	"N"
86	12	"N"
86	13	"N"
86	14	"N"
87	1	"N"
87	2	"N"
87	3	"N"
87	4	"N"
87	5	"N"
87	6	"N"
87	7	"N"
87	8	"N"
87	9	"N"
87	10	"Y"
87	11	"N"
87	12	"N"
87	13	"N"
87	14	"N"
88	1	"N"
88	2	"N"
88	3	"Y"
88	4	"N"
88	5	"N"
88	6	"N"
88	7	"N"
88	8	"N"
88	9	"N"
88	10	"N"
88	11	"N"
88	12	"N"
88	13	"N"
88	14	"N"
89	1	"N"
89	2	"N"
89	3	"N"
89	4	"N"
89	5	"N"
89	6	"N"
89	7	"N"
89	8	"N"
89	9	"N"
89	10	"N"
89	11	"N"
89	12	"N"
89	13	"N"
89	14	"N"
90	1	"N"
90	2	"N"
90	3	"N"
90	4	"N"
90	5	"N"
90	6	"N"
90	7	"N"
90	8	"N"
90	9	"N"
90	10	"N"
90	11	"N"
90	12	"N"
90	13	"N"
90	14	"N"
91	1	"N"
91	2	"N"
91	3	"N"
91	4	"N"
91	5	"Y"
91	6	"Y"
91	7	"Y"
91	8	"N"
91	9	"N"
91	10	"N"
91	11	"N"
91	12	"N"
91	13	"N"
91	14	"N"
92	1	"N"
92	2	"N"
92	3	"N"
92	4	"N"
92	5	"N"
92	6	"N"
92	7	"Y"
92	8	"N"
92	9	"N"
92	10	"N"
92	11	"N"
92	12	"N"
92	13	"N"
92	14	"N"
93	1	"Y"
93	2	"N"
93	3	"N"
93	4	"Y"
93	5	"N"
93	6	"N"
93	7	"Y"
93	8	"N"
93	9	"N"
93	10	"N"
93	11	"N"
93	12	"N"
93	13	"N"
93	14	"N"
94	1	"N"
94	2	"Y"
94	3	"N"
94	4	"N"
94	5	"N"
94	6	"N"
94	7	"N"
94	8	"N"
94	9	"N"
94	10	"N"
94	11	"N"
94	12	"N"
94	13	"N"
94	14	"N"
95	1	"N"
95	2	"Y"
95	3	"N"
95	4	"N"
95	5	"N"
95	6	"N"
95	7	"N"
95	8	"N"
95	9	"N"
95	10	"N"
95	11	"Y"
95	12	"N"
95	13	"N"
95	14	"Y"
96	1	"Y"
96	2	"N"
96	3	"N"
96	4	"N"
96	5	"N"
96	6	"N"
96	7	"N"
96	8	"N"
96	9	"N"
96	10	"N"
96	11	"N"
96	12	"N"
96	13	"N"
96	14	"N"
97	1	"N"
97	2	"N"
97	3	"N"
97	4	"N"
97	5	"N"
97	6	"N"
97	7	"N"
97	8	"N"
97	9	"N"
97	10	"N"
97	11	"N"
97	12	"Y"
97	13	"N"
97	14	"N"
98	1	"Y"
98	2	"N"
98	3	"N"
98	4	"N"
98	5	"N"
98	6	"Y"
98	7	"N"
98	8	"N"
98	9	"N"
98	10	"N"
98	11	"N"
98	12	"N"
98	13	"N"
98	14	"N"
99	1	"N"
99	2	"N"
99	3	"N"
99	4	"N"
99	5	"N"
99	6	"Y"
99	7	"N"
99	8	"N"
99	9	"N"
99	10	"Y"
99	11	"N"
99	12	"N"
99	13	"N"
99	14	"N"
100	1	"N"
100	2	"N"
100	3	"N"
100	4	"N"
100	5	"N"
100	6	"Y"
100	7	"Y"
100	8	"N"
100	9	"N"
100	10	"N"
100	11	"N"
100	12	"N"
100	13	"N"
100	14	"N"
101	1	"N"
101	2	"N"
101	3	"N"
101	4	"N"
101	5	"N"
101	6	"Y"
101	7	"N"
101	8	"Y"
101	9	"N"
101	10	"Y"
101	11	"Y"
101	12	"N"
101	13	"N"
101	14	"N"
102	1	"Y"
102	2	"N"
102	3	"N"
102	4	"N"
102	5	"N"
102	6	"N"
102	7	"N"
102	8	"N"
102	9	"N"
102	10	"N"
102	11	"N"
102	12	"N"
102	13	"N"
102	14	"N"
103	1	"N"
103	2	"N"
103	3	"N"
103	4	"N"
103	5	"N"
103	6	"N"
103	7	"N"
103	8	"N"
103	9	"N"
103	10	"N"
103	11	"N"
103	12	"N"
103	13	"N"
103	14	"N"
104	1	"N"
104	2	"N"
104	3	"N"
104	4	"N"
104	5	"Y"
104	6	"N"
104	7	"N"
104	8	"N"
104	9	"N"
104	10	"N"
104	11	"N"
104	12	"N"
104	13	"N"
104	14	"N"
105	1	"N"
105	2	"Y"
105	3	"N"
105	4	"N"
105	5	"N"
105	6	"N"
105	7	"N"
105	8	"N"
105	9	"N"
105	10	"Y"
105	11	"Y"
105	12	"N"
105	13	"N"
105	14	"N"
106	1	"N"
106	2	"N"
106	3	"N"
106	4	"N"
106	5	"Y"
106	6	"N"
106	7	"N"
106	8	"N"
106	9	"N"
106	10	"N"
106	11	"N"
106	12	"N"
106	13	"N"
106	14	"N"
107	1	"N"
107	2	"N"
107	3	"N"
107	4	"N"
107	5	"Y"
107	6	"N"
107	7	"N"
107	8	"N"
107	9	"Y"
107	10	"N"
107	11	"N"
107	12	"N"
107	13	"N"
107	14	"N"
108	1	"N"
108	2	"Y"
108	3	"N"
108	4	"N"
108	5	"Y"
108	6	"N"
108	7	"N"
108	8	"N"
108	9	"N"
108	10	"Y"
108	11	"N"
108	12	"N"
108	13	"N"
108	14	"N"
109	1	"N"
109	2	"Y"
109	3	"N"
109	4	"N"
109	5	"Y"
109	6	"Y"
109	7	"N"
109	8	"Y"
109	9	"N"
109	10	"N"
109	11	"Y"
109	12	"N"
109	13	"N"
109	14	"N"
110	1	"N"
110	2	"N"
110	3	"N"
110	4	"N"
110	5	"Y"
110	6	"Y"
110	7	"N"
110	8	"N"
110	9	"N"
110	10	"N"
110	11	"N"
110	12	"N"
110	13	"N"
110	14	"N"
111	1	"N"
111	2	"N"
111	3	"Y"
111	4	"N"
111	5	"N"
111	6	"N"
111	7	"N"
111	8	"N"
111	9	"N"
111	10	"N"
111	11	"N"
111	12	"N"
111	13	"N"
111	14	"N"
112	1	"N"
112	2	"N"
112	3	"N"
112	4	"N"
112	5	"N"
112	6	"N"
112	7	"N"
112	8	"N"
112	9	"N"
112	10	"Y"
112	11	"N"
112	12	"N"
112	13	"N"
112	14	"N"
113	1	"N"
113	2	"N"
113	3	"N"
113	4	"N"
113	5	"N"
113	6	"N"
113	7	"N"
113	8	"N"
113	9	"N"
113	10	"N"
113	11	"Y"
113	12	"N"
113	13	"N"
113	14	"N"
114	1	"N"
114	2	"N"
114	3	"N"
114	4	"Y"
114	5	"N"
114	6	"N"
114	7	"N"
114	8	"N"
114	9	"N"
114	10	"N"
114	11	"N"
114	12	"N"
114	13	"N"
114	14	"N"
115	1	"Y"
115	2	"N"
115	3	"N"
115	4	"N"
115	5	"Y"
115	6	"N"
115	7	"N"
115	8	"N"
115	9	"N"
115	10	"N"
115	11	"N"
115	12	"N"
115	13	"N"
115	14	"N"
116	1	"N"
116	2	"N"
116	3	"N"
116	4	"N"
116	5	"Y"
116	6	"N"
116	7	"Y"
116	8	"N"
116	9	"N"
116	10	"N"
116	11	"Y"
116	12	"N"
116	13	"N"
116	14	"N"
117	1	"N"
117	2	"N"
117	3	"N"
117	4	"N"
117	5	"N"
117	6	"N"
117	7	"N"
117	8	"N"
117	9	"N"
117	10	"Y"
117	11	"N"
117	12	"N"
117	13	"N"
117	14	"N"
118	1	"N"
118	2	"N"
118	3	"N"
118	4	"Y"
118	5	"Y"
118	6	"N"
118	7	"N"
118	8	"Y"
118	9	"N"
118	10	"N"
118	11	"N"
118	12	"Y"
118	13	"Y"
118	14	"N"
119	1	"N"
119	2	"N"
119	3	"N"
119	4	"Y"
119	5	"Y"
119	6	"Y"
119	7	"N"
119	8	"N"
119	9	"N"
119	10	"Y"
119	11	"N"
119	12	"N"
119	13	"N"
119	14	"Y"
120	1	"N"
120	2	"N"
120	3	"N"
120	4	"Y"
120	5	"Y"
120	6	"N"
120	7	"N"
120	8	"Y"
120	9	"N"
120	10	"N"
120	11	"N"
120	12	"N"
120	13	"N"
120	14	"N"
121	1	"N"
121	2	"N"
121	3	"N"
121	4	"N"
121	5	"N"
121	6	"N"
121	7	"N"
121	8	"N"
121	9	"Y"
121	10	"N"
121	11	"N"
121	12	"N"
121	13	"N"
121	14	"N"
122	1	"N"
122	2	"N"
122	3	"N"
122	4	"N"
122	5	"N"
122	6	"N"
122	7	"N"
122	8	"N"
122	9	"N"
122	10	"N"
122	11	"Y"
122	12	"N"
122	13	"N"
122	14	"N"
123	1	"N"
123	2	"N"
123	3	"N"
