"zone"	"loc"	"rep"	"alpha"	"gen"	"yield"
"south"	"07bm21"	"R1"	"A1"	"G26362"	1127.6725
"south"	"07bm21"	"R2"	"A2"	"G26362"	1196.1547
"south"	"07bm21"	"R1"	"A2"	"G26742"	1095.8919
"south"	"07bm21"	"R2"	"A5"	"G26742"	1106.0422
"south"	"07bm21"	"R1"	"A3"	"G26777"	1115.2381
"south"	"07bm21"	"R2"	"A5"	"G26777"	1080.2225
"south"	"07bm21"	"R1"	"A3"	"G27110"	1141.4525
"south"	"07bm21"	"R2"	"A2"	"G27110"	1145.8539
"south"	"07bm21"	"R1"	"A7"	"G27125"	1061.0872
"south"	"07bm21"	"R2"	"A1"	"G27125"	1033.9701
"south"	"07bm21"	"R1"	"A1"	"G27130"	1046.1721
"south"	"07bm21"	"R2"	"A7"	"G27130"	1165.8961
"south"	"07bm21"	"R1"	"A7"	"G27543"	1120.577
"south"	"07bm21"	"R2"	"A2"	"G27543"	1088.0005
"south"	"07bm21"	"R1"	"A4"	"G27546"	970.9841
"south"	"07bm21"	"R2"	"A2"	"G27546"	1068.7553
"south"	"07bm21"	"R1"	"A5"	"G27548"	1060.0229
"south"	"07bm21"	"R2"	"A1"	"G27548"	1000.6153
"south"	"07bm21"	"R1"	"A1"	"G27590"	1029.4978
"south"	"07bm21"	"R2"	"A1"	"G27590"	1061.1799
"south"	"07bm21"	"R1"	"A8"	"G27592"	1095.1628
"south"	"07bm21"	"R2"	"A5"	"G27592"	1063.1793
"south"	"07bm21"	"R1"	"A7"	"G27593"	1089.7632
"south"	"07bm21"	"R2"	"A7"	"G27593"	1100.2537
"south"	"07bm21"	"R1"	"A1"	"G27599"	1099.3357
"south"	"07bm21"	"R2"	"A3"	"G27599"	1080.806
"south"	"07bm21"	"R1"	"A3"	"G27600"	1129.4645
"south"	"07bm21"	"R2"	"A8"	"G27600"	1139.8748
"south"	"07bm21"	"R1"	"A7"	"G27605"	1083.8253
"south"	"07bm21"	"R2"	"A3"	"G27605"	1020.8942
"south"	"07bm21"	"R1"	"A4"	"G27609"	1140.6148
"south"	"07bm21"	"R2"	"A1"	"G27609"	1177.4254
"south"	"07bm21"	"R1"	"A6"	"G27669"	1087.7269
"south"	"07bm21"	"R2"	"A5"	"G27669"	1091.7166
"south"	"07bm21"	"R1"	"A7"	"G28128"	1158.6847
"south"	"07bm21"	"R2"	"A4"	"G28128"	1043.2536
"south"	"07bm21"	"R1"	"A3"	"G28209"	1129.7566
"south"	"07bm21"	"R2"	"A4"	"G28209"	1108.7524
"south"	"07bm21"	"R1"	"A4"	"G28949"	1052.2477
"south"	"07bm21"	"R2"	"A8"	"G28949"	1192.2971
"south"	"07bm21"	"R1"	"A5"	"G28950"	1206.2481
"south"	"07bm21"	"R2"	"A2"	"G28950"	1230.0106
"south"	"07bm21"	"R1"	"A5"	"G28954"	1114.699
"south"	"07bm21"	"R2"	"A6"	"G28954"	1097.7253
"south"	"07bm22"	"R1"	"A7"	"G22455"	819.6187
"south"	"07bm22"	"R2"	"A6"	"G22455"	847.0165
"south"	"07bm22"	"R1"	"A2"	"G23286"	849.7257
"south"	"07bm22"	"R2"	"A6"	"G23286"	900.4337
"south"	"07bm22"	"R1"	"A7"	"G23524"	901.4886
"south"	"07bm22"	"R2"	"A4"	"G23524"	685.6775
"south"	"07bm22"	"R1"	"A1"	"G24054"	955.55
"south"	"07bm22"	"R2"	"A6"	"G24054"	1001.861
"south"	"07bm22"	"R1"	"A4"	"G24521"	926.2059
"south"	"07bm22"	"R2"	"A5"	"G24521"	922.3946
"south"	"07bm22"	"R1"	"A5"	"G24984"	1018.37
"south"	"07bm22"	"R2"	"A7"	"G24984"	981.1299
"south"	"07bm22"	"R1"	"A2"	"G25512"	888.9895
"south"	"07bm22"	"R2"	"A5"	"G25512"	913.3269
"south"	"07bm22"	"R1"	"A8"	"G25965"	988.8755
"south"	"07bm22"	"R2"	"A5"	"G25965"	959.808
"south"	"07bm22"	"R1"	"A6"	"G26362"	906.0697
"south"	"07bm22"	"R2"	"A6"	"G26362"	971.8693
"south"	"07bm22"	"R1"	"A7"	"G26742"	900.1115
"south"	"07bm22"	"R2"	"A5"	"G26742"	946.4055
"south"	"07bm22"	"R1"	"A7"	"G26777"	905.4283
"south"	"07bm22"	"R2"	"A7"	"G26777"	883.3969
"south"	"07bm22"	"R1"	"A5"	"G27110"	984.0181
"south"	"07bm22"	"R2"	"A2"	"G27110"	873.059
"south"	"07bm22"	"R1"	"A2"	"G27125"	924.7595
"south"	"07bm22"	"R2"	"A7"	"G27125"	1011.4416
"south"	"07bm22"	"R1"	"A2"	"G27130"	921.2537
"south"	"07bm22"	"R2"	"A8"	"G27130"	947.6934
"south"	"07bm22"	"R1"	"A5"	"G27543"	933.4796
"south"	"07bm22"	"R2"	"A1"	"G27543"	870.3746
"south"	"07bm22"	"R1"	"A4"	"G27546"	894.5526
"south"	"07bm22"	"R2"	"A7"	"G27546"	868.8225
"south"	"07bm22"	"R1"	"A3"	"G27548"	914.0728
"south"	"07bm22"	"R2"	"A6"	"G27548"	918.5665
"south"	"07bm22"	"R1"	"A5"	"G27590"	985.5936
"south"	"07bm22"	"R2"	"A8"	"G27590"	999.649
"south"	"07bm22"	"R1"	"A1"	"G27592"	791.5379
"south"	"07bm22"	"R2"	"A5"	"G27592"	911.2438
"south"	"07bm22"	"R1"	"A3"	"G27593"	890.3123
"south"	"07bm22"	"R2"	"A2"	"G27593"	856.1849
"south"	"07bm22"	"R1"	"A6"	"G27599"	903.196
"south"	"07bm22"	"R2"	"A2"	"G27599"	764.0221
"south"	"07bm22"	"R1"	"A1"	"G27600"	901.5087
"south"	"07bm22"	"R2"	"A1"	"G27600"	779.2659
"south"	"07bm22"	"R1"	"A8"	"G27605"	858.5939
"south"	"07bm22"	"R2"	"A3"	"G27605"	836.7718
"south"	"07bm22"	"R1"	"A2"	"G27609"	913.3892
"south"	"07bm22"	"R2"	"A1"	"G27609"	882.2267
"south"	"07bm22"	"R1"	"A1"	"G27669"	846.342
"south"	"07bm22"	"R2"	"A2"	"G27669"	850.3326
"south"	"07bm22"	"R1"	"A6"	"G28128"	942.142
"south"	"07bm22"	"R2"	"A7"	"G28128"	903.4617
"south"	"07bm22"	"R1"	"A7"	"G28209"	935.9827
"south"	"07bm22"	"R2"	"A8"	"G28209"	862.1291
"south"	"07bm22"	"R1"	"A8"	"G28949"	913.8614
"south"	"07bm22"	"R2"	"A8"	"G28949"	1072.1976
"south"	"07bm22"	"R1"	"A7"	"G28950"	942.7756
"south"	"07bm22"	"R2"	"A1"	"G28950"	861.7975
"south"	"07bm22"	"R1"	"A2"	"G28954"	904.0544
"south"	"07bm22"	"R2"	"A3"	"G28954"	847.483
"south"	"07bm23"	"R1"	"A8"	"G22455"	821.2007
"south"	"07bm23"	"R2"	"A8"	"G22455"	876.7706
"south"	"07bm23"	"R1"	"A2"	"G23286"	885.457
"south"	"07bm23"	"R2"	"A5"	"G23286"	928.5
"south"	"07bm23"	"R1"	"A3"	"G23524"	877.6036
"south"	"07bm23"	"R2"	"A1"	"G23524"	908.289
"south"	"07bm23"	"R1"	"A2"	"G24054"	876.4197
"south"	"07bm23"	"R2"	"A2"	"G24054"	907.2795
"south"	"07bm23"	"R1"	"A6"	"G24521"	929.6578
"south"	"07bm23"	"R2"	"A7"	"G24521"	954.4487
"south"	"07bm23"	"R1"	"A2"	"G24984"	918.2887
"south"	"07bm23"	"R2"	"A7"	"G24984"	943.1073
"south"	"07bm23"	"R1"	"A1"	"G25512"	910.6488
"south"	"07bm23"	"R2"	"A8"	"G25512"	929.1079
"south"	"07bm23"	"R1"	"A5"	"G25965"	900.585
"south"	"07bm23"	"R2"	"A7"	"G25965"	833.1943
"south"	"07bm23"	"R1"	"A3"	"G26362"	902.784
"south"	"07bm23"	"R2"	"A5"	"G26362"	914.9838
"south"	"07bm23"	"R1"	"A7"	"G26742"	908.9759
"south"	"07bm23"	"R2"	"A4"	"G26742"	946.077
"south"	"07bm23"	"R1"	"A4"	"G26777"	960.6798
"south"	"07bm23"	"R2"	"A3"	"G26777"	954.5216
"south"	"07bm23"	"R1"	"A1"	"G27110"	954.0211
"south"	"07bm23"	"R2"	"A4"	"G27110"	929.4012
"south"	"07bm23"	"R1"	"A8"	"G27125"	967.6723
"south"	"07bm23"	"R2"	"A4"	"G27125"	955.3453
"south"	"07bm23"	"R1"	"A1"	"G27130"	966.578
"south"	"07bm23"	"R2"	"A2"	"G27130"	978.8132
"south"	"07bm23"	"R1"	"A2"	"G27543"	881.6546
"south"	"07bm23"	"R2"	"A1"	"G27543"	918.3902
"south"	"07bm23"	"R1"	"A4"	"G27546"	882.7495
"south"	"07bm23"	"R2"	"A6"	"G27546"	895.0956
"south"	"07bm23"	"R1"	"A5"	"G27548"	887.3005
"south"	"07bm23"	"R2"	"A6"	"G27548"	917.8971
"south"	"07bm23"	"R1"	"A5"	"G27590"	927.7278
"south"	"07bm23"	"R2"	"A2"	"G27590"	921.5839
"south"	"07bm23"	"R1"	"A7"	"G27592"	905.9635
"south"	"07bm23"	"R2"	"A8"	"G27592"	936.7785
"south"	"07bm23"	"R1"	"A5"	"G27593"	951.999
"south"	"07bm23"	"R2"	"A8"	"G27593"	964.3626
"south"	"07bm23"	"R1"	"A6"	"G27599"	961.574
"south"	"07bm23"	"R2"	"A5"	"G27599"	955.4101
"south"	"07bm23"	"R1"	"A5"	"G27600"	936.1003
"south"	"07bm23"	"R2"	"A5"	"G27600"	948.3369
"south"	"07bm23"	"R1"	"A1"	"G27605"	898.9544
"south"	"07bm23"	"R2"	"A5"	"G27605"	905.1116
"south"	"07bm23"	"R1"	"A6"	"G27609"	952.4557
"south"	"07bm23"	"R2"	"A1"	"G27609"	946.3108
"south"	"07bm23"	"R1"	"A5"	"G27669"	893.4807
"south"	"07bm23"	"R2"	"A4"	"G27669"	893.4807
"south"	"07bm23"	"R1"	"A2"	"G28128"	942.3204
"south"	"07bm23"	"R2"	"A6"	"G28128"	948.4793
"south"	"07bm23"	"R1"	"A2"	"G28209"	892.5463
"south"	"07bm23"	"R2"	"A8"	"G28209"	941.4529
"south"	"07bm23"	"R1"	"A1"	"G28949"	1008.5137
"south"	"07bm23"	"R2"	"A6"	"G28949"	1026.9621
"south"	"07bm23"	"R1"	"A6"	"G28950"	946.2584
"south"	"07bm23"	"R2"	"A4"	"G28950"	940.0737
"south"	"07bm23"	"R1"	"A7"	"G28954"	931.4198
"south"	"07bm23"	"R2"	"A6"	"G28954"	931.4198
"north"	"07bm25"	"R1"	"A6"	"G22455"	641.5342
"north"	"07bm25"	"R2"	"A8"	"G22455"	510.4177
"north"	"07bm25"	"R1"	"A2"	"G23286"	560.4516
"north"	"07bm25"	"R2"	"A6"	"G23286"	592.4774
"north"	"07bm25"	"R1"	"A7"	"G23524"	558.909
"north"	"07bm25"	"R2"	"A6"	"G23524"	568.1091
"north"	"07bm25"	"R1"	"A4"	"G24054"	680.3784
"north"	"07bm25"	"R2"	"A5"	"G24054"	682.7085
"north"	"07bm25"	"R1"	"A7"	"G24521"	590.9922
"north"	"07bm25"	"R2"	"A1"	"G24521"	534.9297
"north"	"07bm25"	"R1"	"A3"	"G24984"	713.04
"north"	"07bm25"	"R2"	"A3"	"G24984"	647.5806
"north"	"07bm25"	"R1"	"A5"	"G25512"	694.7617
"north"	"07bm25"	"R2"	"A2"	"G25512"	634.1449
"north"	"07bm25"	"R1"	"A7"	"G25965"	617.9795
"north"	"07bm25"	"R2"	"A7"	"G25965"	472.1641
"north"	"07bm25"	"R1"	"A5"	"G26362"	690.1017
"north"	"07bm25"	"R2"	"A1"	"G26362"	592.839
"north"	"07bm25"	"R1"	"A8"	"G26742"	615.5849
"north"	"07bm25"	"R2"	"A7"	"G26742"	606.1506
"north"	"07bm25"	"R1"	"A8"	"G26777"	609.7213
"north"	"07bm25"	"R2"	"A8"	"G26777"	549.2146
"north"	"07bm25"	"R1"	"A3"	"G27110"	656.9303
"north"	"07bm25"	"R2"	"A5"	"G27110"	633.552
"north"	"07bm25"	"R1"	"A5"	"G27125"	675.9
"north"	"07bm25"	"R2"	"A3"	"G27125"	627.1237
"north"	"07bm25"	"R1"	"A6"	"G27130"	662.7143
"north"	"07bm25"	"R2"	"A5"	"G27130"	643.9139
"north"	"07bm25"	"R1"	"A4"	"G27543"	643.0899
"north"	"07bm25"	"R2"	"A1"	"G27543"	562.1254
"north"	"07bm25"	"R1"	"A8"	"G27546"	611.7152
"north"	"07bm25"	"R2"	"A1"	"G27546"	595.4954
"north"	"07bm25"	"R1"	"A7"	"G27548"	608.5076
"north"	"07bm25"	"R2"	"A2"	"G27548"	592.4338
"north"	"07bm25"	"R1"	"A2"	"G27590"	697.7318
"north"	"07bm25"	"R2"	"A7"	"G27590"	580.6627
"north"	"07bm25"	"R1"	"A1"	"G27592"	587.5538
"north"	"07bm25"	"R2"	"A7"	"G27592"	550.6877
"north"	"07bm25"	"R1"	"A7"	"G27593"	635.0088
"north"	"07bm25"	"R2"	"A3"	"G27593"	639.6952
"north"	"07bm25"	"R1"	"A7"	"G27599"	620.2589
"north"	"07bm25"	"R2"	"A5"	"G27599"	673.8903
"north"	"07bm25"	"R1"	"A3"	"G27600"	656.5544
"north"	"07bm25"	"R2"	"A4"	"G27600"	640.5965
"north"	"07bm25"	"R1"	"A7"	"G27605"	651.4319
"north"	"07bm25"	"R2"	"A4"	"G27605"	679.1524
"north"	"07bm25"	"R1"	"A8"	"G27609"	612.022
"north"	"07bm25"	"R2"	"A2"	"G27609"	563.7045
"north"	"07bm25"	"R1"	"A3"	"G27669"	670.0269
"north"	"07bm25"	"R2"	"A8"	"G27669"	604.6584
"north"	"07bm25"	"R1"	"A4"	"G28128"	686.8429
"north"	"07bm25"	"R2"	"A6"	"G28128"	605.6283
"north"	"07bm25"	"R1"	"A6"	"G28209"	668.1495
"north"	"07bm25"	"R2"	"A7"	"G28209"	603.1905
"north"	"07bm25"	"R1"	"A3"	"G28949"	677.7977
"north"	"07bm25"	"R2"	"A1"	"G28949"	619.7671
"north"	"07bm25"	"R1"	"A4"	"G28950"	730.1157
"north"	"07bm25"	"R2"	"A2"	"G28950"	692.6739
"north"	"07bm25"	"R1"	"A5"	"G28954"	682.5977
"north"	"07bm25"	"R2"	"A5"	"G28954"	677.9856
"north"	"07bm26"	"R1"	"A1"	"G22455"	963.4176
"north"	"07bm26"	"R2"	"A8"	"G22455"	932.2623
"north"	"07bm26"	"R1"	"A3"	"G23286"	973.3814
"north"	"07bm26"	"R2"	"A8"	"G23286"	992.7041
"north"	"07bm26"	"R1"	"A1"	"G23524"	1059.537
"north"	"07bm26"	"R2"	"A6"	"G23524"	991.9583
"north"	"07bm26"	"R1"	"A2"	"G24054"	1032.096
"north"	"07bm26"	"R2"	"A1"	"G24054"	1118.7055
"north"	"07bm26"	"R1"	"A4"	"G24521"	1019.1231
"north"	"07bm26"	"R2"	"A1"	"G24521"	1069.9582
"north"	"07bm26"	"R1"	"A4"	"G24984"	1015.2886
"north"	"07bm26"	"R2"	"A4"	"G24984"	1039.5778
"north"	"07bm26"	"R1"	"A4"	"G25512"	966.3794
"north"	"07bm26"	"R2"	"A2"	"G25512"	1007.0439
"north"	"07bm26"	"R1"	"A2"	"G25965"	1005.0179
"north"	"07bm26"	"R2"	"A4"	"G25965"	973.5354
"north"	"07bm26"	"R1"	"A7"	"G26742"	1029.2631
"north"	"07bm26"	"R2"	"A6"	"G26742"	1048.4568
"north"	"07bm26"	"R1"	"A1"	"G26777"	1009.5497
"north"	"07bm26"	"R2"	"A5"	"G26777"	915.582
"north"	"07bm26"	"R1"	"A1"	"G27110"	1057.8665
"north"	"07bm26"	"R2"	"A2"	"G27110"	1016.8078
"north"	"07bm26"	"R1"	"A8"	"G27125"	1047.9795
"north"	"07bm26"	"R2"	"A3"	"G27125"	1069.6619
"north"	"07bm26"	"R1"	"A3"	"G27130"	983.5572
"north"	"07bm26"	"R2"	"A4"	"G27130"	1031.8892
"north"	"07bm26"	"R1"	"A7"	"G27543"	1008.9643
"north"	"07bm26"	"R2"	"A2"	"G27543"	1023.3098
"north"	"07bm26"	"R1"	"A6"	"G27546"	1010.0613
"north"	"07bm26"	"R2"	"A1"	"G27546"	1048.5398
"north"	"07bm26"	"R1"	"A7"	"G27548"	995.6066
"north"	"07bm26"	"R2"	"A3"	"G27548"	938.0293
"north"	"07bm26"	"R1"	"A2"	"G27590"	1023.5543
"north"	"07bm26"	"R2"	"A3"	"G27590"	1038.0045
"north"	"07bm26"	"R1"	"A4"	"G27592"	976.228
"north"	"07bm26"	"R2"	"A7"	"G27592"	1007.6413
"north"	"07bm26"	"R1"	"A4"	"G27593"	984.4078
"north"	"07bm26"	"R2"	"A3"	"G27593"	989.2691
"north"	"07bm26"	"R1"	"A5"	"G27599"	1056.2099
"north"	"07bm26"	"R2"	"A1"	"G27599"	1061.0108
"north"	"07bm26"	"R1"	"A8"	"G27600"	1062.7582
"north"	"07bm26"	"R2"	"A2"	"G27600"	1060.3646
"north"	"07bm26"	"R1"	"A6"	"G27605"	1020.2266
"north"	"07bm26"	"R2"	"A8"	"G27605"	1008.1672
"north"	"07bm26"	"R1"	"A2"	"G27609"	997.4454
"north"	"07bm26"	"R2"	"A8"	"G27609"	1054.4423
"north"	"07bm26"	"R1"	"A6"	"G27669"	1007.1895
"north"	"07bm26"	"R2"	"A5"	"G27669"	982.9782
"north"	"07bm26"	"R1"	"A5"	"G28128"	1060.0104
"north"	"07bm26"	"R2"	"A3"	"G28128"	1055.1702
"north"	"07bm26"	"R1"	"A3"	"G28209"	1057.0328
"north"	"07bm26"	"R2"	"A7"	"G28209"	1066.5772
"north"	"07bm26"	"R1"	"A1"	"G28949"	1025.1414
"north"	"07bm26"	"R2"	"A1"	"G28949"	1080.4894
"north"	"07bm26"	"R1"	"A7"	"G28950"	1073.6885
"north"	"07bm26"	"R2"	"A4"	"G28950"	1066.4501
"north"	"07bm26"	"R1"	"A8"	"G28954"	1019.506
"north"	"07bm26"	"R2"	"A7"	"G28954"	949.9397
"middle"	"07bm27"	"R1"	"A2"	"G22455"	1054.5036
"middle"	"07bm27"	"R2"	"A1"	"G22455"	1053.2697
"middle"	"07bm27"	"R1"	"A3"	"G23286"	1040.6251
"middle"	"07bm27"	"R2"	"A2"	"G23286"	1013.6993
"middle"	"07bm27"	"R1"	"A5"	"G23524"	1035.6504
"middle"	"07bm27"	"R2"	"A2"	"G23524"	983.1932
"middle"	"07bm27"	"R1"	"A1"	"G24054"	1095.7399
"middle"	"07bm27"	"R2"	"A6"	"G24054"	1082.8047
"middle"	"07bm27"	"R1"	"A8"	"G24521"	1057.0129
"middle"	"07bm27"	"R2"	"A4"	"G24521"	1124.0479
"middle"	"07bm27"	"R1"	"A6"	"G24984"	1168.3378
"middle"	"07bm27"	"R2"	"A7"	"G24984"	1133.0462
"middle"	"07bm27"	"R1"	"A4"	"G25512"	1097.3273
"middle"	"07bm27"	"R2"	"A6"	"G25512"	1097.3829
"middle"	"07bm27"	"R1"	"A6"	"G25965"	1158.1901
"middle"	"07bm27"	"R2"	"A4"	"G25965"	1047.9719
"middle"	"07bm27"	"R1"	"A7"	"G26362"	969.7034
"middle"	"07bm27"	"R2"	"A7"	"G26362"	875.4764
"middle"	"07bm27"	"R1"	"A4"	"G26742"	1040.3197
"middle"	"07bm27"	"R2"	"A5"	"G26742"	1068.3131
"middle"	"07bm27"	"R1"	"A7"	"G26777"	1003.2354
"middle"	"07bm27"	"R2"	"A4"	"G26777"	994.9841
"middle"	"07bm27"	"R1"	"A7"	"G27110"	1077.8938
"middle"	"07bm27"	"R2"	"A5"	"G27110"	969.8409
"middle"	"07bm27"	"R1"	"A2"	"G27125"	1099.6123
"middle"	"07bm27"	"R2"	"A8"	"G27125"	1045.0624
"middle"	"07bm27"	"R1"	"A2"	"G27130"	1101.5175
"middle"	"07bm27"	"R2"	"A7"	"G27130"	1045.473
"middle"	"07bm27"	"R1"	"A5"	"G27543"	1225.2806
"middle"	"07bm27"	"R2"	"A1"	"G27543"	1003.4312
"middle"	"07bm27"	"R1"	"A8"	"G27546"	1042.2069
"middle"	"07bm27"	"R2"	"A8"	"G27546"	1045.4587
"middle"	"07bm27"	"R1"	"A6"	"G27548"	1095.5401
"middle"	"07bm27"	"R2"	"A3"	"G27548"	1204.8185
"middle"	"07bm27"	"R1"	"A2"	"G27590"	1101.7863
"middle"	"07bm27"	"R2"	"A2"	"G27590"	1139.1811
"middle"	"07bm27"	"R1"	"A8"	"G27592"	1080.7114
"middle"	"07bm27"	"R2"	"A6"	"G27592"	1003.5497
"middle"	"07bm27"	"R1"	"A3"	"G27593"	1148.0897
"middle"	"07bm27"	"R2"	"A1"	"G27593"	992.9424
"middle"	"07bm27"	"R1"	"A4"	"G27599"	1088.045
"middle"	"07bm27"	"R2"	"A2"	"G27599"	1059.5665
"middle"	"07bm27"	"R1"	"A4"	"G27600"	1124.2272
"middle"	"07bm27"	"R2"	"A8"	"G27600"	1147.4009
"middle"	"07bm27"	"R1"	"A1"	"G27605"	975.4345
"middle"	"07bm27"	"R2"	"A2"	"G27605"	969.7965
"middle"	"07bm27"	"R1"	"A8"	"G27609"	1056.2865
"middle"	"07bm27"	"R2"	"A3"	"G27609"	1017.4773
"middle"	"07bm27"	"R1"	"A6"	"G27669"	1273.347
"middle"	"07bm27"	"R2"	"A2"	"G27669"	1042.6682
"middle"	"07bm27"	"R1"	"A7"	"G28128"	1193.2099
"middle"	"07bm27"	"R2"	"A6"	"G28128"	1199.4138
"middle"	"07bm27"	"R1"	"A7"	"G28209"	1126.689
"middle"	"07bm27"	"R2"	"A8"	"G28209"	1117.2443
"middle"	"07bm27"	"R1"	"A5"	"G28949"	1212.1974
"middle"	"07bm27"	"R2"	"A3"	"G28949"	1113.2585
"middle"	"07bm27"	"R1"	"A5"	"G28950"	1108.5987
"middle"	"07bm27"	"R2"	"A8"	"G28950"	1345.2563
"middle"	"07bm27"	"R1"	"A3"	"G28954"	1036.4071
"middle"	"07bm27"	"R2"	"A8"	"G28954"	1033.3338
"middle"	"07bm28"	"R1"	"A4"	"G22455"	697.7372
"middle"	"07bm28"	"R2"	"A4"	"G22455"	641.2831
"middle"	"07bm28"	"R1"	"A1"	"G23286"	747.6588
"middle"	"07bm28"	"R2"	"A1"	"G23286"	711.0694
"middle"	"07bm28"	"R1"	"A4"	"G23524"	636.0388
"middle"	"07bm28"	"R2"	"A8"	"G23524"	629.45
"middle"	"07bm28"	"R1"	"A4"	"G24054"	690.8875
"middle"	"07bm28"	"R2"	"A1"	"G24054"	727.3657
"middle"	"07bm28"	"R1"	"A5"	"G24521"	734.5041
"middle"	"07bm28"	"R2"	"A6"	"G24521"	741.1612
"middle"	"07bm28"	"R1"	"A8"	"G24984"	672.7286
