"field"	"row"	"col"	"grain"	"straw"
"13"	11	4	4.7	8.5
"13"	11	5	4.2	8
"13"	12	1	4.6	6
"13"	12	2	2.6	6
"13"	12	3	2.5	5
"13"	12	4	5	6.7
"13"	12	5	5.2	9.5
"13"	13	1	3.8	7
"13"	13	2	4.6	9
"13"	13	3	4.7	11
"13"	13	4	3.3	6.5
"13"	13	5	6.1	11
"13"	14	1	6.6	10.2
"13"	14	2	6.3	10
"13"	14	3	7.5	12.2
"13"	14	4	6.2	12
"13"	14	5	7.6	8
"13"	2	1	3.6	4.7
"13"	2	2	1.1	5
"13"	2	3	2.9	5
"13"	2	4	1.6	7.5
"13"	2	5	6.9	9
"13"	3	1	5.2	10.7
"13"	3	2	1.9	5.7
"13"	3	3	1.8	4.5
"13"	3	4	3.7	7
"13"	3	5	5.3	6.5
"13"	4	1	5.1	7.5
"13"	4	2	2.8	4.2
"13"	4	3	4.6	7.2
"13"	4	4	4.1	7
"13"	4	5	1.9	5
"13"	5	1	6.7	10.5
"13"	5	2	2.3	5
"13"	5	3	2.4	5.2
"13"	5	4	4.2	7
"13"	5	5	4.7	9
"13"	6	1	4.4	8.2
"13"	6	2	2.3	5.7
"13"	6	3	3.3	7.7
"13"	6	4	2.7	5.2
"13"	6	5	3	8
"13"	7	1	4	6.2
"13"	7	2	1.7	5
"13"	7	3	2.9	9
"13"	7	4	2.6	5
"13"	7	5	2.6	7.7
"13"	8	1	4.3	7.2
"13"	8	2	3.3	6.2
"13"	8	3	2.6	11
"13"	8	4	3.1	5.7
"13"	8	5	4	7.2
"13"	9	1	5.2	8.5
"13"	9	2	4.4	8
"13"	9	3	4.6	8
"13"	9	4	6.1	8
"13"	9	5	6.2	11.2
"14"	1	1	7.5	9.7
"14"	1	2	7.7	10.2
"14"	1	3	8.6	12
"14"	1	4	7.6	15.2
"14"	1	5	6.2	9.2
"14"	10	1	7.8	11.2
"14"	10	2	6.9	10.2
"14"	10	3	6.1	7.2
"14"	10	4	7.7	10
"14"	10	5	6.7	11.5
"14"	11	1	8.1	12
"14"	11	2	7.4	9.5
"14"	11	3	5.2	7.7
"14"	11	4	6.6	11.5
"14"	11	5	7.8	13.7
"14"	12	1	7.9	10.5
"14"	12	2	6	8.5
"14"	12	3	6.1	8.5
"14"	12	4	6.5	10.5
"14"	12	5	7.2	12
"14"	13	1	7.9	10
"14"	13	2	6.9	7
"14"	13	3	7.5	9.5
"14"	13	4	7.6	11
"14"	13	5	7.1	12
"14"	14	1	8.1	10.5
"14"	14	2	8.2	13
"14"	14	3	8.1	13
"14"	14	4	7.8	13.5
"14"	14	5	8.5	13
"14"	2	1	6.5	6.5
"14"	2	2	6.1	6.2
"14"	2	3	5.7	6
"14"	2	4	5.5	9
"14"	2	5	6.9	8.2
"14"	3	1	6.9	8.7
"14"	3	2	6.3	8
"14"	3	3	4.7	6
"14"	3	4	6.3	8.5
"14"	3	5	7.5	12
"14"	4	1	7.4	8.5
"14"	4	2	6.9	8.5
"14"	4	3	5.5	6.5
"14"	4	4	7	8
"14"	4	5	7.2	11.5
"14"	5	1	6.6	8.5
"14"	5	2	7	8.2
"14"	5	3	5.9	6.2
"14"	5	4	7.1	10
"14"	5	5	6.9	10.5
"14"	6	1	9.1	10
"14"	6	2	6.9	9.5
"14"	6	3	5.8	8.5
"14"	6	4	7.3	12.2
"14"	6	5	6.8	12.5
"14"	7	1	7.2	9.5
"14"	7	2	7.5	9.2
"14"	7	3	5.7	6.5
"14"	7	4	7.2	8
"14"	7	5	7.2	10
"14"	8	1	7	8.2
"14"	8	2	7.3	9.5
"14"	8	3	5.9	6.5
"14"	8	4	7.4	8.7
"14"	8	5	7.9	12.5
"14"	9	1	7.4	8
"14"	9	2	6.8	6.5
"14"	9	3	5	6.2
"14"	9	4	6.7	8.2
"14"	9	5	8	11
"26"	1	1	7.8	12.5
"26"	1	2	9.3	13.7
"26"	1	3	9.7	13.5
"26"	1	4	8.8	11.5
"26"	1	5	7.5	9
"26"	10	1	6.1	8.2
"26"	10	2	4.1	5
"26"	10	3	4	5.5
"26"	10	4	4.9	6
"26"	10	5	5.6	6.5
"26"	11	1	6.8	8
"26"	11	2	5.5	6.5
"26"	11	3	5.6	6.5
"26"	11	4	5.4	7
"26"	11	5	6.3	7.5
"26"	12	1	7.4	10
"26"	12	2	6.6	7.5
"26"	12	3	6.1	8.5
"26"	12	4	6.6	7.5
"26"	12	5	5.9	8.2
"26"	13	1	7.4	8.5
"26"	13	2	5.9	6.2
"26"	13	3	6	6.5
"26"	13	4	6.2	6.5
"26"	13	5	7.4	8
"26"	14	1	7	9
"26"	14	2	7.2	8.5
"26"	14	3	8	10.2
"26"	14	4	4.5	7.5
"26"	14	5	7.2	8.5
"26"	2	1	9.1	11
"26"	2	2	7.2	9.5
"26"	2	3	6.6	8.5
"26"	2	4	6.9	7.5
"26"	2	5	7.6	8.5
"26"	3	1	9	11.5
"26"	3	2	7.1	9
"26"	3	3	6.2	8
"26"	3	4	6.7	7.5
"26"	3	5	7.8	10.5
"26"	4	1	9.2	11.2
"26"	4	2	7	9.5
"26"	4	3	6.3	8
"26"	4	4	5.8	6.5
"26"	4	5	6.6	7.7
"26"	5	1	8.4	10.2
"26"	5	2	5.8	8.2
"26"	5	3	5.7	7
"26"	5	4	4.2	5.2
"26"	5	5	4	6
"26"	6	1	8.8	11
"26"	6	2	6.3	7.5
"26"	6	3	4.7	6.5
"26"	6	4	3.9	6
"26"	6	5	4.2	5.7
"26"	7	1	7.8	8.5
"26"	7	2	6	7
"26"	7	3	4.5	6.5
"26"	7	4	3.7	5.7
"26"	7	5	4.7	6
"26"	8	1	8.1	11.5
"26"	8	2	5	6.5
"26"	8	3	4.6	6.2
"26"	8	4	4.6	5.5
"26"	8	5	6.4	10.5
"26"	9	1	6.6	8.5
"26"	9	2	3.9	4.5
"26"	9	3	3.5	4.5
"26"	9	4	4.6	6.2
"26"	9	5	5.4	6.5
"27"	1	1	5.8	8.5
"27"	1	2	6	12.7
"27"	1	3	6.7	14.7
"27"	1	4	8	10
"27"	1	5	6.6	11.5
"27"	10	1	7.5	10
"27"	10	2	6.2	8.2
"27"	10	3	5.6	7
"27"	10	4	5.8	8
"27"	10	5	7.4	9
"27"	11	1	7.7	9.7
"27"	11	2	6.7	8.7
"27"	11	3	5.4	7.5
"27"	11	4	5.4	8
"27"	11	5	6.7	9
"27"	12	1	7.5	11.2
"27"	12	2	5.6	8.2
"27"	12	3	4.7	8.5
"27"	12	4	6.7	8
"27"	12	5	5.8	9.5
"27"	13	1	6.1	7
"27"	13	2	4.1	5.5
"27"	13	3	4.3	6
"27"	13	4	4.6	6.5
"27"	13	5	5.2	8
"27"	14	1	7.2	8
"27"	14	2	7.2	9
"27"	14	3	6	8
"27"	14	4	5.8	7
"27"	14	5	5.9	7.5
"27"	2	1	5.2	10.2
"27"	2	2	5.8	8.7
"27"	2	3	5.4	10.7
"27"	2	4	5.8	8.2
"27"	2	5	6.6	8.5
"27"	3	1	6.6	8.7
"27"	3	2	7.4	9
"27"	3	3	7.4	9.5
"27"	3	4	5.2	8.5
"27"	3	5	5.6	11
"27"	4	1	7.7	9.2
"27"	4	2	6.1	8.7
"27"	4	3	7	9.5
"27"	4	4	6.2	8.2
"27"	4	5	7.8	9.5
"27"	5	1	7.4	10
"27"	5	2	6.8	10
"27"	5	3	7.2	11.5
"27"	5	4	6.6	8.2
"27"	5	5	8.2	10.7
"27"	6	1	7	10
"27"	6	2	5.9	9.5
"27"	6	3	6	9
"27"	6	4	7.1	10.5
"27"	6	5	7.6	11.2
"27"	7	1	6.7	8.5
"27"	7	2	6.9	8.7
"27"	7	3	6.1	6.5
"27"	7	4	6	7.2
"27"	7	5	7.3	9.2
"27"	8	1	6.2	9
"27"	8	2	6.3	8.5
"27"	8	3	5.2	6.5
"27"	8	4	6.7	8
"27"	8	5	9.2	11.5
"27"	9	1	6.5	8.2
"27"	9	2	6.4	9
"27"	9	3	6.2	8
"27"	9	4	6.7	10
"27"	9	5	8.8	11.5
"28"	1	1	8.6	13
"28"	1	2	7.6	13
"28"	1	3	7.7	12
"28"	1	4	7.7	12
"28"	1	5	8.6	11.7
"28"	10	1	8.7	12
"28"	10	2	7.9	9
"28"	10	3	5.5	6
"28"	10	4	7.1	11.5
"28"	10	5	8	8.5
"28"	11	1	8.3	12
"28"	11	2	7.3	9.5
"28"	11	3	5	6.5
"28"	11	4	7.3	10
"28"	11	5	7	9.5
"28"	12	1	8.7	12
"28"	12	2	7.1	10
"28"	12	3	5	6
"28"	12	4	7.1	11
"28"	12	5	7.5	9
"28"	13	1	8	11.5
"28"	13	2	5.7	8
"28"	13	3	5.3	8
"28"	13	4	6.7	11.5
"28"	13	5	7.2	9
"28"	14	1	7.9	11
"28"	14	2	7.8	11
"28"	14	3	8	11
"28"	14	4	6.4	7
"28"	14	5	7	8
"28"	2	1	8.7	10.7
"28"	2	2	7.6	8.5
"28"	2	3	6.7	8
"28"	2	4	8.2	9.5
"28"	2	5	8.7	10.2
"28"	3	1	8.1	11.5
"28"	3	2	7.7	10.2
"28"	3	3	5.8	8.7
"28"	3	4	7.1	12
"28"	3	5	8.2	11.2
"28"	4	1	8.7	10.7
"28"	4	2	8	10.7
"28"	4	3	6.6	7.5
"28"	4	4	7.6	11.5
"28"	4	5	8.1	10.7
"28"	5	1	8.8	12.5
"28"	5	2	8.6	12
"28"	5	3	6.1	8
"28"	5	4	8.7	13
"28"	5	5	7.7	12.5
"28"	6	1	8.9	12.2
"28"	6	2	8.1	12
"28"	6	3	7.1	9
"28"	6	4	8.5	12
"28"	6	5	8.2	11
"28"	7	1	8.7	11
"28"	7	2	8.8	11
"28"	7	3	5.9	8
"28"	7	4	8.2	11
"28"	7	5	8.5	10.5
"28"	8	1	9.1	12
"28"	8	2	7.8	11
"28"	8	3	5.6	7.5
"28"	8	4	6.6	8.7
"28"	8	5	8.6	11
"28"	9	1	9.2	11.2
"28"	9	2	8.6	12
"28"	9	3	5.1	7
"28"	9	4	6.7	8.5
"28"	9	5	8.6	12
