"row"	"col"	"yield"	"crop"
109	1	161.2	"1930"
110	1	106.6	"1930"
111	1	139.1	"1930"
112	1	126.1	"1930"
113	1	113.1	"1930"
114	1	100.1	"1930"
115	1	123.5	"1930"
116	1	144.3	"1930"
117	1	176.8	"1930"
118	1	123.5	"1930"
119	1	118.3	"1930"
120	1	130	"1930"
121	1	148.2	"1930"
122	1	153.4	"1930"
123	1	140.4	"1930"
124	1	122.2	"1930"
125	1	119.6	"1930"
126	1	128.7	"1930"
127	1	120.9	"1930"
128	1	144.3	"1930"
129	1	145.6	"1930"
130	1	131.3	"1930"
131	1	159.9	"1930"
132	1	157.3	"1930"
133	1	100.1	"1930"
134	1	120.9	"1930"
135	1	114.4	"1930"
136	1	120.9	"1930"
137	1	174.2	"1930"
138	1	133.9	"1930"
139	1	110.5	"1930"
140	1	130	"1930"
141	1	117	"1930"
142	1	117	"1930"
143	1	122.2	"1930"
144	1	98.8	"1930"
145	1	115.7	"1930"
146	1	124.8	"1930"
147	1	118.3	"1930"
148	1	135.2	"1930"
149	1	128.7	"1930"
150	1	152.1	"1930"
151	1	146.9	"1930"
152	1	172.9	"1930"
153	1	91	"1930"
154	1	141.7	"1930"
155	1	96.2	"1930"
156	1	133.9	"1930"
157	1	175.5	"1930"
158	1	80.6	"1930"
159	1	117	"1930"
160	1	132.6	"1930"
161	1	149.5	"1930"
162	1	120.9	"1930"
163	1	98.8	"1930"
164	1	132.6	"1930"
165	1	131.3	"1930"
166	1	107.9	"1930"
167	1	143	"1930"
168	1	139.1	"1930"
169	1	124.8	"1930"
170	1	163.8	"1930"
171	1	148.2	"1930"
172	1	141.7	"1930"
173	1	119.6	"1930"
174	1	109.2	"1930"
175	1	105.3	"1930"
176	1	128.7	"1930"
177	1	130	"1930"
178	1	144.3	"1930"
179	1	113.1	"1930"
180	1	137.8	"1930"
181	1	94.9	"1930"
182	1	150.8	"1930"
183	1	135.2	"1930"
184	1	81.9	"1930"
185	1	117	"1930"
186	1	126.1	"1930"
187	1	132.6	"1930"
188	1	118.3	"1930"
189	1	115.7	"1930"
190	1	136.5	"1930"
191	1	128.7	"1930"
192	1	111.8	"1930"
193	1	120.9	"1930"
194	1	83.2	"1930"
195	1	153.4	"1930"
196	1	157.3	"1930"
197	1	135.2	"1930"
198	1	115.7	"1930"
199	1	131.3	"1930"
200	1	145.6	"1930"
1	1	72	"1931a"
2	1	48.4	"1931a"
3	1	103	"1931a"
4	1	73.3	"1931a"
5	1	78	"1931a"
6	1	60.8	"1931a"
7	1	60.8	"1931a"
8	1	59.3	"1931a"
9	1	51.5	"1931a"
10	1	56.2	"1931a"
11	1	45.2	"1931a"
12	1	64	"1931a"
13	1	67.1	"1931a"
14	1	68.6	"1931a"
15	1	56.2	"1931a"
16	1	87.4	"1931a"
17	1	70.2	"1931a"
18	1	73.3	"1931a"
19	1	68.6	"1931a"
20	1	46.8	"1931a"
21	1	74.9	"1931a"
22	1	57.7	"1931a"
23	1	93.6	"1931a"
24	1	88.9	"1931a"
25	1	88.9	"1931a"
26	1	57.7	"1931a"
27	1	68.6	"1931a"
28	1	40.6	"1931a"
29	1	54.6	"1931a"
30	1	49.9	"1931a"
31	1	74.9	"1931a"
32	1	76.4	"1931a"
33	1	53	"1931a"
34	1	68.6	"1931a"
35	1	46.8	"1931a"
36	1	76.4	"1931a"
37	1	49.9	"1931a"
38	1	62.4	"1931a"
39	1	73.3	"1931a"
40	1	49.9	"1931a"
41	1	60.8	"1931a"
42	1	60.8	"1931a"
43	1	96.7	"1931a"
44	1	71.8	"1931a"
45	1	64	"1931a"
46	1	85.8	"1931a"
47	1	62.4	"1931a"
48	1	48.4	"1931a"
49	1	51.5	"1931a"
50	1	73.3	"1931a"
51	1	81.1	"1931a"
52	1	85.8	"1931a"
53	1	46.8	"1931a"
54	1	70.2	"1931a"
55	1	57.7	"1931a"
56	1	71.8	"1931a"
57	1	56.2	"1931a"
58	1	81.1	"1931a"
59	1	64	"1931a"
60	1	51.5	"1931a"
61	1	73.3	"1931a"
62	1	68.6	"1931a"
63	1	59.3	"1931a"
64	1	65.5	"1931a"
65	1	65.5	"1931a"
66	1	57.4	"1931a"
67	1	60.8	"1931a"
68	1	48.4	"1931a"
69	1	67.1	"1931a"
70	1	65.5	"1931a"
71	1	40.6	"1931a"
72	1	74.9	"1931a"
73	1	68.6	"1931a"
74	1	81.1	"1931a"
75	1	56.2	"1931a"
76	1	51.5	"1931a"
77	1	59.3	"1931a"
78	1	96.7	"1931a"
79	1	79.6	"1931a"
80	1	21.8	"1931a"
81	1	73.3	"1931a"
82	1	78	"1931a"
83	1	79.6	"1931a"
84	1	51.5	"1931a"
85	1	62.4	"1931a"
86	1	64	"1931a"
87	1	49.9	"1931a"
88	1	45.2	"1931a"
89	1	49.9	"1931a"
90	1	71.8	"1931a"
91	1	40.6	"1931a"
92	1	90.5	"1931a"
93	1	76.4	"1931a"
94	1	74.9	"1931a"
95	1	67.1	"1931a"
96	1	62.4	"1931a"
97	1	43.7	"1931a"
98	1	70.2	"1931a"
99	1	65.5	"1931a"
100	1	59.3	"1931a"
101	1	57.7	"1931a"
102	1	43.7	"1931a"
103	1	65.5	"1931a"
104	1	62.4	"1931a"
105	1	56.2	"1931a"
106	1	40.6	"1931a"
107	1	32.8	"1931a"
108	1	34.3	"1931a"
109	1	76.4	"1931a"
110	1	65.5	"1931a"
111	1	48.4	"1931a"
112	1	59.3	"1931a"
113	1	57.7	"1931a"
114	1	68.6	"1931a"
115	1	67.1	"1931a"
116	1	60.8	"1931a"
117	1	60.8	"1931a"
118	1	84.2	"1931a"
119	1	73.3	"1931a"
120	1	70.2	"1931a"
121	1	46.8	"1931a"
122	1	49.9	"1931a"
123	1	54.6	"1931a"
124	1	57.7	"1931a"
125	1	62.4	"1931a"
126	1	48.4	"1931a"
127	1	43.7	"1931a"
128	1	21.8	"1931a"
129	1	59.3	"1931a"
130	1	68.6	"1931a"
131	1	42.1	"1931a"
132	1	48.4	"1931a"
133	1	59.3	"1931a"
134	1	70.2	"1931a"
135	1	67.1	"1931a"
136	1	68.6	"1931a"
137	1	60.8	"1931a"
138	1	64	"1931a"
139	1	49.9	"1931a"
140	1	46.8	"1931a"
141	1	64	"1931a"
142	1	45.2	"1931a"
143	1	53	"1931a"
144	1	73	"1931a"
145	1	51.5	"1931a"
146	1	39	"1931a"
147	1	65.5	"1931a"
148	1	48.4	"1931a"
149	1	87.4	"1931a"
150	1	48.4	"1931a"
151	1	57.7	"1931a"
152	1	85.8	"1931a"
153	1	64	"1931a"
154	1	59.3	"1931a"
155	1	54.6	"1931a"
156	1	68.6	"1931a"
157	1	81.1	"1931a"
158	1	67.1	"1931a"
159	1	40.6	"1931a"
160	1	62.4	"1931a"
161	1	68.6	"1931a"
162	1	45.2	"1931a"
163	1	73.3	"1931a"
164	1	57.7	"1931a"
165	1	56.2	"1931a"
166	1	40.6	"1931a"
167	1	60.8	"1931a"
168	1	42.1	"1931a"
169	1	98.3	"1931a"
170	1	54.6	"1931a"
171	1	51.5	"1931a"
172	1	71.8	"1931a"
173	1	57.7	"1931a"
174	1	42.1	"1931a"
175	1	59.3	"1931a"
176	1	65.5	"1931a"
177	1	64	"1931a"
178	1	64	"1931a"
179	1	53	"1931a"
180	1	57.7	"1931a"
181	1	62.4	"1931a"
182	1	56.2	"1931a"
183	1	59.3	"1931a"
184	1	67.1	"1931a"
185	1	51.5	"1931a"
186	1	34.3	"1931a"
187	1	53	"1931a"
188	1	48.4	"1931a"
189	1	90.5	"1931a"
190	1	79.6	"1931a"
191	1	56.2	"1931a"
192	1	81.1	"1931a"
193	1	67.1	"1931a"
194	1	34.3	"1931a"
195	1	53	"1931a"
196	1	68.6	"1931a"
197	1	51.5	"1931a"
198	1	51.5	"1931a"
199	1	68.6	"1931a"
200	1	50.3	"1931a"
1	1	221.8	"1931b"
2	1	221.6	"1931b"
3	1	207.7	"1931b"
4	1	189.9	"1931b"
5	1	191.1	"1931b"
6	1	226.9	"1931b"
7	1	199.4	"1931b"
8	1	215.5	"1931b"
9	1	223	"1931b"
10	1	231.3	"1931b"
11	1	209.6	"1931b"
12	1	220.1	"1931b"
13	1	220.3	"1931b"
14	1	224.4	"1931b"
15	1	214.3	"1931b"
16	1	191.2	"1931b"
17	1	193.3	"1931b"
18	1	177.2	"1931b"
19	1	216	"1931b"
20	1	202	"1931b"
21	1	169.9	"1931b"
22	1	165	"1931b"
1	2	254	"1931b"
2	2	249.5	"1931b"
3	2	187.8	"1931b"
4	2	201.1	"1931b"
5	2	208.7	"1931b"
6	2	225.9	"1931b"
7	2	201.3	"1931b"
8	2	214.2	"1931b"
9	2	228.5	"1931b"
10	2	227	"1931b"
11	2	264.6	"1931b"
12	2	229.1	"1931b"
13	2	217.2	"1931b"
14	2	230.8	"1931b"
15	2	236.8	"1931b"
16	2	246.4	"1931b"
17	2	236.6	"1931b"
18	2	178.2	"1931b"
19	2	139.7	"1931b"
20	2	224.5	"1931b"
21	2	193.2	"1931b"
22	2	202.4	"1931b"
1	3	242.1	"1931b"
2	3	250.7	"1931b"
3	3	222.9	"1931b"
4	3	161.2	"1931b"
5	3	262.9	"1931b"
6	3	242.9	"1931b"
7	3	252.9	"1931b"
8	3	221.3	"1931b"
9	3	211.8	"1931b"
10	3	209	"1931b"
11	3	223.3	"1931b"
12	3	220.1	"1931b"
13	3	242.6	"1931b"
14	3	233.9	"1931b"
15	3	219.4	"1931b"
16	3	201.4	"1931b"
17	3	225.2	"1931b"
18	3	186.4	"1931b"
19	3	231.5	"1931b"
20	3	234.6	"1931b"
21	3	172.2	"1931b"
22	3	150	"1931b"
1	4	238.3	"1931b"
2	4	231	"1931b"
3	4	212.9	"1931b"
4	4	161.8	"1931b"
5	4	239.1	"1931b"
6	4	212.2	"1931b"
7	4	249.1	"1931b"
8	4	206	"1931b"
9	4	203.2	"1931b"
10	4	203	"1931b"
11	4	207	"1931b"
12	4	226.3	"1931b"
13	4	243.8	"1931b"
14	4	203.4	"1931b"
15	4	222.6	"1931b"
16	4	196.2	"1931b"
17	4	218.3	"1931b"
18	4	208.4	"1931b"
19	4	182.2	"1931b"
20	4	208.4	"1931b"
21	4	194.2	"1931b"
22	4	173.7	"1931b"
1	5	239.7	"1931b"
2	5	256.2	"1931b"
3	5	227	"1931b"
4	5	187.7	"1931b"
5	5	208	"1931b"
6	5	229.2	"1931b"
7	5	235.1	"1931b"
8	5	231.6	"1931b"
9	5	167.1	"1931b"
10	5	227.4	"1931b"
11	5	231.5	"1931b"
12	5	211.6	"1931b"
13	5	213.8	"1931b"
14	5	248.3	"1931b"
15	5	226.3	"1931b"
16	5	219.5	"1931b"
17	5	241	"1931b"
18	5	179.4	"1931b"
19	5	205.8	"1931b"
20	5	237.3	"1931b"
21	5	226.5	"1931b"
22	5	199.2	"1931b"
1	6	221.4	"1931b"
2	6	244.8	"1931b"
3	6	240.7	"1931b"
4	6	197.8	"1931b"
5	6	187.8	"1931b"
6	6	228.3	"1931b"
7	6	220.9	"1931b"
8	6	197.1	"1931b"
9	6	179.3	"1931b"
10	6	204.2	"1931b"
11	6	219.4	"1931b"
12	6	216.9	"1931b"
13	6	205.8	"1931b"
14	6	231.3	"1931b"
15	6	229	"1931b"
16	6	213.5	"1931b"
17	6	218.5	"1931b"
18	6	186.7	"1931b"
19	6	223.5	"1931b"
20	6	232.5	"1931b"
21	6	221.8	"1931b"
22	6	194.5	"1931b"
1	7	211.1	"1931b"
2	7	206.8	"1931b"
3	7	222.3	"1931b"
4	7	173.6	"1931b"
5	7	234.8	"1931b"
6	7	213.1	"1931b"
7	7	281	"1931b"
8	7	196.5	"1931b"
9	7	179.1	"1931b"
10	7	216.8	"1931b"
11	7	227.4	"1931b"
12	7	172.3	"1931b"
13	7	205.8	"1931b"
14	7	218.4	"1931b"
15	7	187	"1931b"
16	7	231.5	"1931b"
17	7	227.4	"1931b"
18	7	210.3	"1931b"
19	7	224.3	"1931b"
20	7	209.2	"1931b"
21	7	241.5	"1931b"
22	7	189.4	"1931b"
1	8	178.3	"1931b"
2	8	207.2	"1931b"
3	8	176.2	"1931b"
4	8	156.6	"1931b"
5	8	208.7	"1931b"
6	8	200.5	"1931b"
7	8	220.7	"1931b"
8	8	191.7	"1931b"
9	8	181.5	"1931b"
10	8	208.8	"1931b"
11	8	204.6	"1931b"
12	8	210.2	"1931b"
13	8	221.9	"1931b"
14	8	201.6	"1931b"
15	8	220.6	"1931b"
16	8	244.7	"1931b"
17	8	204.8	"1931b"
18	8	218.8	"1931b"
19	8	232.4	"1931b"
20	8	191.1	"1931b"
21	8	220.5	"1931b"
22	8	190.3	"1931b"
1	9	207.5	"1931b"
2	9	231.7	"1931b"
3	9	233.6	"1931b"
4	9	185.5	"1931b"
5	9	202	"1931b"
6	9	191.5	"1931b"
7	9	217.8	"1931b"
8	9	199.5	"1931b"
9	9	197.3	"1931b"
10	9	174.9	"1931b"
11	9	236.1	"1931b"
12	9	191.2	"1931b"
13	9	213.9	"1931b"
14	9	197.5	"1931b"
15	9	239.3	"1931b"
16	9	233.6	"1931b"
17	9	240.3	"1931b"
18	9	204.9	"1931b"
19	9	212.5	"1931b"
20	9	206.4	"1931b"
21	9	212.5	"1931b"
22	9	231.9	"1931b"
1	10	177.3	"1931b"
2	10	210.8	"1931b"
3	10	228.5	"1931b"
4	10	186.5	"1931b"
5	10	210.1	"1931b"
6	10	218.4	"1931b"
7	10	197.3	"1931b"
8	10	167.3	"1931b"
9	10	181.5	"1931b"
10	10	202	"1931b"
11	10	205.5	"1931b"
12	10	199.3	"1931b"
13	10	176.4	"1931b"
14	10	239.4	"1931b"
15	10	220.2	"1931b"
16	10	218.3	"1931b"
17	10	213.2	"1931b"
18	10	215.4	"1931b"
19	10	212.8	"1931b"
20	10	185.4	"1931b"
21	10	230.4	"1931b"
22	10	182.5	"1931b"
1	11	191.4	"1931b"
2	11	205.5	"1931b"
3	11	223.5	"1931b"
4	11	224.2	"1931b"
5	11	222.1	"1931b"
6	11	187.4	"1931b"
7	11	198.8	"1931b"
8	11	190.9	"1931b"
9	11	183.7	"1931b"
10	11	172.6	"1931b"
11	11	232.8	"1931b"
12	11	177.5	"1931b"
13	11	210.1	"1931b"
14	11	178.6	"1931b"
15	11	236.2	"1931b"
16	11	179.9	"1931b"
17	11	212.3	"1931b"
18	11	168.7	"1931b"
19	11	204	"1931b"
20	11	184.4	"1931b"
21	11	209.5	"1931b"
22	11	191.4	"1931b"
1	12	165	"1931b"
2	12	162.7	"1931b"
3	12	220.4	"1931b"
4	12	182.7	"1931b"
5	12	195.6	"1931b"
6	12	196.5	"1931b"
7	12	234.1	"1931b"
8	12	216.9	"1931b"
9	12	176	"1931b"
10	12	148.5	"1931b"
11	12	202.6	"1931b"
12	12	191.4	"1931b"
13	12	158	"1931b"
14	12	182.9	"1931b"
15	12	218.7	"1931b"
16	12	201.4	"1931b"
17	12	193.8	"1931b"
18	12	150.1	"1931b"
19	12	196.9	"1931b"
20	12	156.9	"1931b"
21	12	211.1	"1931b"
22	12	167.2	"1931b"
1	1	26.9	"1932"
2	1	49.9	"1932"
3	1	41.1	"1932"
4	1	41.8	"1932"
5	1	24	"1932"
6	1	19.9	"1932"
7	1	40	"1932"
8	1	38.9	"1932"
9	1	38.4	"1932"
10	1	36	"1932"
11	1	44	"1932"
12	1	62.4	"1932"
13	1	43	"1932"
14	1	34.3	"1932"
15	1	33.6	"1932"
16	1	34.3	"1932"
17	1	48	"1932"
18	1	45.5	"1932"
19	1	74.9	"1932"
20	1	33.2	"1932"
21	1	37	"1932"
22	1	54.7	"1932"
23	1	35.4	"1932"
24	1	35.2	"1932"
25	1	38.4	"1932"
26	1	60	"1932"
27	1	33.6	"1932"
28	1	26.5	"1932"
29	1	22.6	"1932"
30	1	87.8	"1932"
31	1	44.8	"1932"
32	1	53.8	"1932"
33	1	40.8	"1932"
34	1	56.2	"1932"
35	1	45.6	"1932"
36	1	22.2	"1932"
37	1	20.5	"1932"
38	1	48	"1932"
39	1	68.2	"1932"
40	1	38.9	"1932"
41	1	35	"1932"
42	1	49.4	"1932"
43	1	34	"1932"
44	1	48	"1932"
45	1	43.2	"1932"
46	1	35.2	"1932"
47	1	35.2	"1932"
48	1	38.4	"1932"
49	1	14.4	"1932"
50	1	48	"1932"
51	1	64	"1932"
52	1	27.4	"1932"
53	1	34	"1932"
54	1	31.3	"1932"
55	1	52.3	"1932"
56	1	34.3	"1932"
57	1	37.6	"1932"
58	1	53.3	"1932"
59	1	22.4	"1932"
60	1	50.4	"1932"
61	1	37.4	"1932"
62	1	48	"1932"
63	1	26.4	"1932"
64	1	62.9	"1932"
65	1	46.3	"1932"
66	1	29.8	"1932"
67	1	24	"1932"
68	1	26.9	"1932"
69	1	38.4	"1932"
70	1	27.2	"1932"
71	1	46	"1932"
72	1	70.1	"1932"
73	1	38.9	"1932"
74	1	56.2	"1932"
75	1	26.7	"1932"
76	1	36	"1932"
77	1	30	"1932"
78	1	70.6	"1932"
79	1	45.5	"1932"
80	1	36	"1932"
81	1	34.6	"1932"
82	1	40.8	"1932"
83	1	24	"1932"
84	1	32.2	"1932"
85	1	40.6	"1932"
86	1	18.5	"1932"
87	1	32	"1932"
88	1	25.6	"1932"
89	1	13.1	"1932"
90	1	45.9	"1932"
91	1	45.7	"1932"
92	1	56.6	"1932"
93	1	50.4	"1932"
94	1	58.1	"1932"
95	1	61	"1932"
96	1	25.6	"1932"
97	1	30.9	"1932"
98	1	62.4	"1932"
99	1	28.8	"1932"
100	1	55.2	"1932"
101	1	35	"1932"
102	1	71	"1932"
103	1	19.2	"1932"
104	1	51.8	"1932"
105	1	38.4	"1932"
106	1	44.7	"1932"
107	1	32	"1932"
108	1	14.4	"1932"
109	1	35.6	"1932"
110	1	52.8	"1932"
111	1	65.8	"1932"
112	1	61	"1932"
113	1	57.6	"1932"
114	1	37.1	"1932"
115	1	34.7	"1932"
116	1	33.6	"1932"
117	1	50.4	"1932"
118	1	54.7	"1932"
119	1	45.6	"1932"
120	1	34.6	"1932"
121	1	39.8	"1932"
122	1	85.4	"1932"
123	1	26.7	"1932"
124	1	30.9	"1932"
125	1	53.8	"1932"
126	1	62.4	"1932"
127	1	45.6	"1932"
128	1	42	"1932"
129	1	71	"1932"
130	1	61.4	"1932"
131	1	43.2	"1932"
132	1	73	"1932"
133	1	37.7	"1932"
134	1	24	"1932"
135	1	48	"1932"
136	1	36	"1932"
137	1	22.3	"1932"
138	1	48	"1932"
139	1	25	"1932"
140	1	55.2	"1932"
141	1	53.8	"1932"
142	1	32	"1932"
143	1	36.8	"1932"
144	1	46.2	"1932"
145	1	52.8	"1932"
146	1	40.8	"1932"
147	1	59.5	"1932"
148	1	43.9	"1932"
149	1	56.2	"1932"
150	1	86.9	"1932"
151	1	50.9	"1932"
152	1	32	"1932"
153	1	38.4	"1932"
154	1	56.2	"1932"
155	1	40.8	"1932"
156	1	32	"1932"
157	1	39.8	"1932"
158	1	27.8	"1932"
159	1	39.1	"1932"
160	1	41.1	"1932"
161	1	41.8	"1932"
162	1	80.6	"1932"
163	1	36	"1932"
164	1	39.6	"1932"
165	1	52.8	"1932"
166	1	43.3	"1932"
167	1	65.8	"1932"
168	1	66.2	"1932"
169	1	4.8	"1932"
170	1	56.2	"1932"
171	1	68.6	"1932"
172	1	1	"1932"
173	1	34.9	"1932"
174	1	61	"1932"
175	1	68.6	"1932"
176	1	37	"1932"
177	1	53.3	"1932"
178	1	28.8	"1932"
179	1	33.2	"1932"
180	1	32	"1932"
181	1	24	"1932"
182	1	23	"1932"
183	1	65.8	"1932"
184	1	39.1	"1932"
185	1	40	"1932"
186	1	60.8	"1932"
187	1	75.8	"1932"
188	1	44.8	"1932"
189	1	17.5	"1932"
190	1	36	"1932"
191	1	27	"1932"
192	1	84	"1932"
193	1	74.9	"1932"
194	1	48	"1932"
