animal	iron	infect	weight	day
A20	Iron	Infected	320	751
A20	Iron	Infected	335	781
A21	Iron	Infected	120	122
A21	Iron	Infected	140	150
A21	Iron	Infected	145	166
A21	Iron	Infected	165	179
A21	Iron	Infected	175	219
A21	Iron	Infected	190	247
A21	Iron	Infected	205	276
A21	Iron	Infected	225	296
A21	Iron	Infected	220	324
A21	Iron	Infected	215	354
A21	Iron	Infected	230	380
A21	Iron	Infected	250	445
A21	Iron	Infected	250	478
A21	Iron	Infected	260	508
A21	Iron	Infected	280	536
A21	Iron	Infected	275	569
A21	Iron	Infected	295	599
A21	Iron	Infected	305	627
A21	Iron	Infected	310	655
A21	Iron	Infected	310	668
A21	Iron	Infected	320	723
A21	Iron	Infected	320	751
A21	Iron	Infected	300	781
A22	Iron	Infected	100	122
A22	Iron	Infected	125	150
A22	Iron	Infected	125	166
A22	Iron	Infected	145	179
A22	Iron	Infected	155	219
A22	Iron	Infected	175	247
A22	Iron	Infected	185	276
A22	Iron	Infected	195	296
A22	Iron	Infected	190	324
A22	Iron	Infected	185	354
A22	Iron	Infected	200	380
A22	Iron	Infected	216	445
A22	Iron	Infected	215	478
A22	Iron	Infected	225	508
A22	Iron	Infected	245	536
A22	Iron	Infected	245	569
A22	Iron	Infected	250	599
A22	Iron	Infected	260	627
A22	Iron	Infected	275	655
A22	Iron	Infected	280	668
A22	Iron	Infected	305	723
A22	Iron	Infected	310	751
A22	Iron	Infected	320	781
A23	Iron	Infected	110	122
A23	Iron	Infected	135	150
A23	Iron	Infected	150	166
A23	Iron	Infected	160	179
A23	Iron	Infected	165	219
A23	Iron	Infected	185	247
A23	Iron	Infected	185	276
A23	Iron	Infected	200	296
A23	Iron	Infected	205	324
A23	Iron	Infected	210	354
A23	Iron	Infected	225	380
A23	Iron	Infected	238	445
A23	Iron	Infected	245	478
A23	Iron	Infected	255	508
A23	Iron	Infected	270	536
A23	Iron	Infected	270	569
A23	Iron	Infected	270	599
A23	Iron	Infected	285	627
A23	Iron	Infected	290	655
A23	Iron	Infected	300	668
A23	Iron	Infected	310	723
A23	Iron	Infected	320	751
A23	Iron	Infected	325	781
A24	Iron	Infected	115	122
A24	Iron	Infected	140	150
A24	Iron	Infected	150	166
A24	Iron	Infected	160	179
A24	Iron	Infected	165	219
A24	Iron	Infected	190	247
A24	Iron	Infected	195	276
A24	Iron	Infected	205	296
A24	Iron	Infected	210	324
A24	Iron	Infected	215	354
A24	Iron	Infected	225	380
A24	Iron	Infected	240	445
A24	Iron	Infected	245	478
A24	Iron	Infected	255	508
A24	Iron	Infected	270	536
A24	Iron	Infected	270	569
A24	Iron	Infected	280	599
A24	Iron	Infected	295	627
A24	Iron	Infected	300	655
A24	Iron	Infected	305	668
A24	Iron	Infected	340	723
A24	Iron	Infected	345	751
A24	Iron	Infected	365	781
A25	Iron	Infected	105	122
A25	Iron	Infected	125	150
A25	Iron	Infected	125	166
A25	Iron	Infected	145	179
A25	Iron	Infected	145	219
A25	Iron	Infected	155	247
A25	Iron	Infected	170	276
A25	Iron	Infected	175	296
A25	Iron	Infected	175	324
A25	Iron	Infected	175	354
A25	Iron	Infected	180	380
A25	Iron	Infected	182	445
A25	Iron	Infected	185	478
A25	Iron	Infected	195	508
A25	Iron	Infected	215	536
A25	Iron	Infected	210	569
A25	Iron	Infected	235	599
A25	Iron	Infected	265	627
A25	Iron	Infected	280	655
A25	Iron	Infected	290	668
A25	Iron	Infected	315	723
A25	Iron	Infected	330	751
A25	Iron	Infected	345	781
A26	Iron	Infected	125	122
A26	Iron	Infected	145	150
A26	Iron	Infected	150	166
A26	Iron	Infected	165	179
A26	Iron	Infected	175	219
A26	Iron	Infected	185	247
A26	Iron	Infected	195	276
A26	Iron	Infected	205	296
A26	Iron	Infected	215	324
A26	Iron	Infected	220	354
A26	Iron	Infected	235	380
A26	Iron	Infected	264	445
A26	Iron	Infected	285	478
A26	Iron	Infected	275	508
A26	Iron	Infected	295	536
A26	Iron	Infected	290	569
A26	Iron	Infected	305	599
A26	Iron	Infected	325	627
A26	Iron	Infected	325	655
A26	Iron	Infected	325	668
A26	Iron	Infected	340	723
A26	Iron	Infected	335	751
A26	Iron	Infected	345	781
