"gen"	"col"	"row"	"yield"
"G115"	15	6	6.4094
"G000"	16	6	5.78413
"G116"	17	6	7.31209
"G117"	18	6	6.07307
"G000"	19	6	6.46935
"G118"	20	6	6.08693
"G119"	21	6	8.51698
"G000"	22	6	5.60274
"G120"	23	6	8.11453
"G121"	24	6	6.92487
"G000"	25	6	7.03366
"G122"	26	6	5.60251
"G123"	27	6	5.95312
"G000"	28	6	5.98566
"G124"	29	6	7.3883
"G125"	30	6	6.23476
"G000"	31	6	8.04135
"G000"	1	7	6.69104
"G126"	2	7	6.43211
"G127"	3	7	5.04498
"G000"	4	7	6.38874
"G128"	5	7	4.24789
"G129"	6	7	6.77565
"G000"	7	7	6.30812
"G130"	8	7	5.13506
"G131"	9	7	6.79822
"G000"	10	7	6.48951
"G132"	11	7	7.33455
"G133"	12	7	6.95293
"G000"	13	7	6.30812
"G134"	14	7	7.21526
"G135"	15	7	2.52292
"G000"	16	7	4.89736
"G136"	17	7	8.29695
"G137"	18	7	7.34128
"G000"	19	7	5.98566
"G138"	20	7	6.7856
"G139"	21	7	7.09272
"G000"	22	7	6.12674
"G140"	23	7	5.72105
"G141"	24	7	6.22071
"G000"	25	7	6.4492
"G142"	26	7	6.26196
"G143"	27	7	7.20384
"G000"	28	7	6.16705
"G144"	29	7	5.92172
"G145"	30	7	5.65537
"G000"	31	7	6.75151
"G000"	1	8	5.26013
"G146"	2	8	6.81489
"G147"	3	8	7.53671
"G000"	4	8	5.88489
"G148"	5	8	8.57573
"G149"	6	8	7.7497
"G000"	7	8	6.16705
"G150"	8	8	4.82839
"G151"	9	8	8.86647
"G000"	10	8	5.72366
"G152"	11	8	8.27555
"G153"	12	8	7.0161
"G000"	13	8	6.52981
"G154"	14	8	6.57151
"G155"	15	8	6.86566
"G000"	16	8	5.3609
"G156"	17	8	7.37848
"G157"	18	8	7.23616
"G000"	19	8	5.80428
"G158"	20	8	6.93405
"G159"	21	8	7.8215
"G000"	22	8	5.98566
"G160"	23	8	7.28802
"G161"	24	8	6.66643
"G000"	25	8	5.90505
"G162"	26	8	5.91653
"G163"	27	8	7.90728
"G000"	28	8	5.86474
"G164"	29	8	8.21547
"G165"	30	8	8.05418
"G000"	31	8	6.16705
"G000"	1	9	6.7112
"G166"	2	9	5.09468
"G167"	3	9	4.30749
"G000"	4	9	6.12674
"G168"	5	9	6.99555
"G169"	6	9	7.28452
"G000"	7	9	6.38874
"G170"	8	9	7.42792
"G171"	9	9	7.62615
"G000"	10	9	5.30044
"G172"	11	9	8.52455
"G173"	12	9	7.35997
"G000"	13	9	5.28028
"G174"	14	9	7.65418
"G175"	15	9	7.94216
"G000"	16	9	5.13921
"G176"	17	9	6.47851
"G177"	18	9	7.44045
"G000"	19	9	5.6632
"G178"	20	9	6.66531
"G179"	21	9	5.81442
"G000"	22	9	5.80428
"G180"	23	9	4.82994
"G181"	24	9	5.84718
"G000"	25	9	6.83212
"G182"	26	9	2.66014
"G183"	27	9	6.177
"G000"	28	9	6.34843
"G184"	29	9	6.55749
"G185"	30	9	6.10356
"G000"	31	9	6.57012
"G000"	1	10	7.69873
"G186"	2	10	6.84669
"G187"	3	10	8.15901
"G000"	4	10	5.9252
"G188"	5	10	6.92447
"G189"	6	10	6.22237
"G000"	7	10	7.17473
"G190"	8	10	5.40772
"G191"	9	10	7.29149
"G000"	10	10	6.48951
"G192"	11	10	6.80616
"G193"	12	10	5.57522
"G000"	13	10	7.05381
"G194"	14	10	5.0232
"G195"	15	10	7.58236
"G000"	16	10	4.5749
"G196"	17	10	6.78563
"G197"	18	10	5.43268
"G000"	19	10	6.32828
"G198"	20	10	6.96463
"G199"	21	10	2.50357
"G000"	22	10	6.46935
"G200"	23	10	3.72807
"G201"	24	10	6.56672
"G000"	25	10	6.08643
"G202"	26	10	7.71849
"G203"	27	10	8.35122
"G000"	28	10	5.48182
"G204"	29	10	8.24158
"G205"	30	10	5.96871
"G000"	31	10	6.67089
"G000"	1	11	6.40889
"G211"	2	11	6.82712
"G212"	3	11	7.393
"G000"	4	11	6.30812
"G213"	5	11	6.7855
"G214"	6	11	6.74975
"G000"	7	11	5.88489
"G215"	8	11	6.71613
"G216"	9	11	7.83475
"G000"	10	11	5.78413
"G217"	11	11	6.99619
"G218"	12	11	7.15555
"G000"	13	11	6.59028
"G219"	14	11	7.57636
"G220"	15	11	6.6847
"G000"	16	11	7.31581
"G221"	17	11	5.75556
"G222"	18	11	6.01688
"G000"	19	11	5.48182
"G223"	20	11	5.92718
"G224"	21	11	9.33326
"G000"	22	11	5.9252
"G225"	23	11	6.79394
"G226"	24	11	7.28823
"G000"	25	11	6.42905
"G227"	26	11	5.84936
"G228"	27	11	6.69582
"G000"	28	11	4.77644
"G229"	29	11	6.36618
"G230"	30	11	5.48648
"G000"	31	11	6.85227
"G000"	1	12	5.60274
"G231"	2	12	5.0704
"G232"	3	12	5.29422
"G000"	4	12	4.59505
"G233"	5	12	6.47023
"G234"	6	12	5.68256
"G000"	7	12	6.28797
"G235"	8	12	5.09807
"G236"	9	12	6.68426
"G000"	10	12	5.23997
"G237"	11	12	6.76209
"G238"	12	12	6.06653
"G000"	13	12	5.68336
"G239"	14	12	5.7409
"G240"	15	12	7.22904
"G000"	16	12	5.78413
"G241"	17	12	6.8812
"G242"	18	12	5.85852
"G000"	19	12	6.26782
"G243"	20	12	8.01715
"G244"	21	12	4.78414
"G000"	22	12	6.46935
"G245"	23	12	5.86199
"G246"	24	12	6.3892
"G000"	25	12	6.38874
"G247"	26	12	7.4765
"G248"	27	12	7.13861
"G000"	28	12	5.6632
"G249"	29	12	6.96261
"G250"	30	12	3.6916
"G000"	31	12	6.99335
"G000"	1	13	6.30812
"G251"	2	13	6.31901
"G252"	3	13	7.10795
"G000"	4	13	5.68336
"G253"	5	13	7.09587
"G254"	6	13	5.89595
"G000"	7	13	5.64305
"G255"	8	13	6.58561
"G256"	9	13	7.91321
"G000"	10	13	5.96551
"G257"	11	13	8.36933
"G258"	12	13	6.26666
"G000"	13	13	6.65074
"G259"	14	13	6.17655
"G260"	15	13	4.72741
"G000"	16	13	5.26013
"G261"	17	13	8.08162
"G262"	18	13	5.95427
"G000"	19	13	6.12674
"G263"	20	13	6.94496
"G264"	21	13	3.68359
"G000"	22	13	7.05381
"G265"	23	13	5.88646
"G266"	24	13	5.5056
"G000"	25	13	6.20735
"G267"	26	13	5.08348
"G268"	27	13	6.36887
"G000"	28	13	3.80906
"G269"	29	13	6.3027
"G270"	30	13	5.61196
"G000"	31	13	5.94536
"G000"	1	14	6.36858
"G271"	2	14	5.70224
"G272"	3	14	6.67848
"G000"	4	14	4.39352
"G273"	5	14	5.15778
"G274"	6	14	6.68112
"G000"	7	14	6.16705
"G275"	8	14	5.50594
"G276"	9	14	4.73557
"G000"	10	14	6.59028
"G277"	11	14	7.82272
"G278"	12	14	7.99451
"G000"	13	14	5.26013
"G279"	14	14	5.47908
"G280"	15	14	6.79122
"G000"	16	14	4.5749
"G281"	17	14	6.19864
"G282"	18	14	5.8575
"G000"	19	14	5.30044
"G283"	20	14	6.19966
"G284"	21	14	6.81665
"G000"	22	14	6.24766
"G285"	23	14	5.64906
"G286"	24	14	7.96051
"G000"	25	14	6.36858
"G287"	26	14	6.61777
"G288"	27	14	9.14487
"G000"	28	14	6.77166
"G289"	29	14	5.75823
"G290"	30	14	2.5377
"G000"	31	14	7.51735
