"rotation"	"nitro"	"year"	"yield"
"Lc3"	210	1988	7.51
"Lc8"	0	1988	5.26
"Lc8"	70	1988	7.87
"Lc8"	140	1988	6.94
"Lc8"	210	1988	7.06
"AB"	0	1989	1.16
"AB"	70	1989	3.94
"AB"	140	1989	4.58
"AB"	210	1989	4.74
"AF"	0	1989	2.8
"AF"	70	1989	4.92
"AF"	140	1989	5.17
"AF"	210	1989	5.82
"Ln3"	0	1989	4.04
"Ln3"	70	1989	5.94
"Ln3"	140	1989	6.1
"Ln3"	210	1989	6.04
"Ln8"	0	1989	3.77
"Ln8"	70	1989	5.58
"Ln8"	140	1989	5.56
"Ln8"	210	1989	4.91
"Lc3"	0	1989	5.45
"Lc3"	70	1989	6.28
"Lc3"	140	1989	6.12
"Lc3"	210	1989	5.81
"Lc8"	0	1989	4.91
"Lc8"	70	1989	6.69
"Lc8"	140	1989	6.39
"Lc8"	210	1989	5.06
"AB"	0	1990	1.47
"AB"	70	1990	4.94
"AB"	140	1990	5.83
"AB"	210	1990	6.33
"AF"	0	1990	1.38
"AF"	70	1990	5.72
"AF"	140	1990	6.3
"AF"	210	1990	5.18
"Ln3"	0	1990	1.73
"Ln3"	70	1990	4.94
"Ln3"	140	1990	5.43
"Ln3"	210	1990	6.17
"Ln8"	0	1990	2.62
"Ln8"	70	1990	5.79
"Ln8"	140	1990	5.08
"Ln8"	210	1990	5.25
"Lc3"	0	1990	3.59
"Lc3"	70	1990	6.06
"Lc3"	140	1990	7.2
"Lc3"	210	1990	6.42
"Lc8"	0	1990	3.31
"Lc8"	70	1990	6.51
"Lc8"	140	1990	6.65
"Lc8"	210	1990	6.99
"AB"	0	1991	4.48
"AB"	70	1991	8.56
"AB"	140	1991	9.94
"AB"	210	1991	10.23
"AF"	0	1991	3.46
"AF"	70	1991	8
"AF"	140	1991	9.75
"AF"	210	1991	10.57
"Ln3"	0	1991	6.75
"Ln3"	70	1991	8.85
"Ln3"	140	1991	9.96
"Ln3"	210	1991	10.41
"Ln8"	0	1991	5.94
"Ln8"	70	1991	8.83
"Ln8"	140	1991	9.64
"Ln8"	210	1991	9.75
"Lc3"	0	1991	6.47
"Lc3"	70	1991	9.37
"Lc3"	140	1991	10.46
"Lc3"	210	1991	10.48
"Lc8"	0	1991	6.08
"Lc8"	70	1991	8.81
"Lc8"	140	1991	9.63
"Lc8"	210	1991	10.1
"AB"	0	1992	6.31
"AB"	70	1992	7.84
"AB"	140	1992	7.21
"AB"	210	1992	6.81
"AF"	0	1992	3.82
"AF"	70	1992	8.05
"AF"	140	1992	8.21
"AF"	210	1992	7.59
"Ln3"	0	1992	2.73
"Ln3"	70	1992	6.47
"Ln3"	140	1992	7.49
"Ln3"	210	1992	7.26
"Ln8"	0	1992	4.19
"Ln8"	70	1992	7.17
"Ln8"	140	1992	7.54
"Ln8"	210	1992	6.67
"Lc3"	0	1992	6.33
"Lc3"	70	1992	7.48
"Lc3"	140	1992	6.13
"Lc3"	210	1992	4.79
"Lc8"	0	1992	7.11
"Lc8"	70	1992	6.65
"Lc8"	140	1992	6.45
"Lc8"	210	1992	6.14
"AB"	0	1993	3.11
"AB"	70	1993	5.92
"AB"	140	1993	5.89
"AB"	210	1993	6.63
"AF"	0	1993	2.86
"AF"	70	1993	5.79
"AF"	140	1993	6.72
"AF"	210	1993	7.37
"Ln3"	0	1993	3.13
"Ln3"	70	1993	5.4
"Ln3"	140	1993	6.6
"Ln3"	210	1993	6.52
"Ln8"	0	1993	3.42
"Ln8"	70	1993	5.16
"Ln8"	140	1993	6.47
"Ln8"	210	1993	6.55
"Lc3"	0	1993	5.58
"Lc3"	70	1993	7.01
"Lc3"	140	1993	7.69
"Lc3"	210	1993	7.91
"Lc8"	0	1993	6.08
"Lc8"	70	1993	7.03
"Lc8"	140	1993	7.2
"Lc8"	210	1993	7.69
"AB"	0	1994	0.93
"AB"	70	1994	3.94
"AB"	140	1994	4.04
"AB"	210	1994	3.51
"AF"	0	1994	1.8
"AF"	70	1994	5.32
"AF"	140	1994	8.08
"AF"	210	1994	8.55
"Ln3"	0	1994	4.76
"Ln3"	70	1994	6.16
"Ln3"	140	1994	7.35
"Ln3"	210	1994	7.14
"Ln8"	0	1994	3.64
"Ln8"	70	1994	5.14
"Ln8"	140	1994	7
"Ln8"	210	1994	7.16
"Lc3"	0	1994	5.06
"Lc3"	70	1994	6
"Lc3"	140	1994	6.28
"Lc3"	210	1994	7.5
"Lc8"	0	1994	3.46
"Lc8"	70	1994	6.48
"Lc8"	140	1994	6.07
"Lc8"	210	1994	7.53
"AB"	0	1995	1.3
"AB"	70	1995	4.21
"AB"	140	1995	4.35
"AB"	210	1995	4.35
"AF"	0	1995	1.27
"AF"	70	1995	3.82
"AF"	140	1995	4.6
"AF"	210	1995	4.96
"Ln3"	0	1995	2.17
"Ln3"	70	1995	5.01
"Ln3"	140	1995	5.39
"Ln3"	210	1995	5.79
"Ln8"	0	1995	2.52
"Ln8"	70	1995	5.71
"Ln8"	140	1995	5.36
"Ln8"	210	1995	6.53
"Lc3"	0	1995	2.57
"Lc3"	70	1995	5.7
"Lc3"	140	1995	6.46
"Lc3"	210	1995	5.78
"Lc8"	0	1995	3.52
"Lc8"	70	1995	6.6
"Lc8"	140	1995	6.36
"Lc8"	210	1995	6.14
"AB"	0	1996	1.19
"AB"	70	1996	7.24
"AB"	140	1996	7.8
"AB"	210	1996	8.43
"AF"	0	1996	0.65
"AF"	70	1996	6.6
"AF"	140	1996	7.69
"AF"	210	1996	7.79
"Ln3"	0	1996	3.82
"Ln3"	70	1996	7.19
"Ln3"	140	1996	7.15
"Ln3"	210	1996	8.41
"Ln8"	0	1996	6.37
"Ln8"	70	1996	8.23
"Ln8"	140	1996	8.77
"Ln8"	210	1996	8.46
"Lc3"	0	1996	5.23
"Lc3"	70	1996	7.76
"Lc3"	140	1996	8.19
"Lc3"	210	1996	8.67
"Lc8"	0	1996	5.73
"Lc8"	70	1996	7.97
"Lc8"	140	1996	8.48
"Lc8"	210	1996	8.28
"AB"	0	1997	1.58
"AB"	70	1997	5.73
"AB"	140	1997	7.37
"AB"	210	1997	7.88
"AF"	0	1997	2.4
"AF"	70	1997	6.52
"AF"	140	1997	9.25
"AF"	210	1997	9.24
"Ln3"	0	1997	1.74
"Ln3"	70	1997	3.83
"Ln3"	140	1997	5.15
"Ln3"	210	1997	5.02
"Ln8"	0	1997	2.53
"Ln8"	70	1997	6.2
"Ln8"	140	1997	6.93
"Ln8"	210	1997	7.25
"Lc3"	0	1997	4.4
"Lc3"	70	1997	7.7
"Lc3"	140	1997	8.01
"Lc3"	210	1997	8.3
"Lc8"	0	1997	4.1
"Lc8"	70	1997	6.78
"Lc8"	140	1997	7.36
"Lc8"	210	1997	7.43
"AB"	0	1998	3.21
"AB"	70	1998	6.7
"AB"	140	1998	9.35
"AB"	210	1998	10.26
"AF"	0	1998	2.52
"AF"	70	1998	6.35
"AF"	140	1998	8.8
"AF"	210	1998	9.72
"Ln3"	0	1998	3.77
"Ln3"	70	1998	7.13
"Ln3"	140	1998	8.67
"Ln3"	210	1998	9.62
"Ln8"	0	1998	4.97
"Ln8"	70	1998	7.77
"Ln8"	140	1998	9.21
"Ln8"	210	1998	9.24
"Lc3"	0	1998	4.78
"Lc3"	70	1998	7.48
"Lc3"	140	1998	8.5
"Lc3"	210	1998	8.75
"Lc8"	0	1998	4.11
"Lc8"	70	1998	7.55
"Lc8"	140	1998	9.01
"Lc8"	210	1998	8.98
"AB"	0	1999	0
"AB"	70	1999	1.97
"AB"	140	1999	3.44
"AB"	210	1999	2.28
"AF"	0	1999	0.52
"AF"	70	1999	6.55
"AF"	140	1999	7.53
"AF"	210	1999	8.48
"Ln3"	0	1999	1.69
"Ln3"	70	1999	6.58
"Ln3"	140	1999	7.58
"Ln3"	210	1999	7.83
"Ln8"	0	1999	3.42
"Ln8"	70	1999	6.59
"Ln8"	140	1999	8.26
"Ln8"	210	1999	6.51
"Lc3"	0	1999	4.42
"Lc3"	70	1999	7.27
"Lc3"	140	1999	8.65
"Lc3"	210	1999	9.54
"Lc8"	0	1999	1.79
"Lc8"	70	1999	4.65
"Lc8"	140	1999	5.54
"Lc8"	210	1999	4.95
"AB"	0	2000	1.45
"AB"	70	2000	4.54
"AB"	140	2000	4.52
"AB"	210	2000	5.53
"AF"	0	2000	0.96
"AF"	70	2000	4.87
"AF"	140	2000	6.28
"AF"	210	2000	7.39
"Ln3"	0	2000	3.4
"Ln3"	70	2000	7.06
"Ln3"	140	2000	8.64
"Ln3"	210	2000	8.71
"Ln8"	0	2000	3.42
"Ln8"	70	2000	6.58
"Ln8"	140	2000	7.22
"Ln8"	210	2000	7.49
"Lc3"	0	2000	5.05
"Lc3"	70	2000	8.24
"Lc3"	140	2000	8.96
"Lc3"	210	2000	10.33
"Lc8"	0	2000	4.31
"Lc8"	70	2000	7.47
"Lc8"	140	2000	8.95
"Lc8"	210	2000	9.65
