block	trt	vine	shoot	diseased	total
B2	T4	V3	S5	1	13
B2	T5	V3	S5	1	15
B2	T6	V3	S5	4	10
B3	T1	V1	S1	8	12
B3	T2	V1	S1	1	14
B3	T3	V1	S1	0	12
B3	T4	V1	S1	0	20
B3	T5	V1	S1	1	18
B3	T6	V1	S1	7	15
B3	T1	V1	S2	9	16
B3	T2	V1	S2	1	12
B3	T3	V1	S2	0	13
B3	T4	V1	S2	0	15
B3	T5	V1	S2	0	17
B3	T6	V1	S2	1	18
B3	T1	V1	S3	7	12
B3	T2	V1	S3	0	14
B3	T3	V1	S3	1	13
B3	T4	V1	S3	0	18
B3	T5	V1	S3	0	14
B3	T6	V1	S3	0	14
B3	T1	V1	S4	10	14
B3	T2	V1	S4	2	17
B3	T3	V1	S4	0	10
B3	T4	V1	S4	1	19
B3	T5	V1	S4	0	17
B3	T6	V1	S4	0	16
B3	T1	V1	S5	9	10
B3	T2	V1	S5	1	14
B3	T3	V1	S5	1	11
B3	T4	V1	S5	0	18
B3	T5	V1	S5	0	15
B3	T6	V1	S5	1	11
B3	T1	V2	S1	10	10
B3	T2	V2	S1	1	11
B3	T3	V2	S1	0	12
B3	T4	V2	S1	1	15
B3	T5	V2	S1	4	20
B3	T6	V2	S1	0	14
B3	T1	V2	S2	9	12
B3	T2	V2	S2	1	10
B3	T3	V2	S2	1	12
B3	T4	V2	S2	3	18
B3	T5	V2	S2	0	16
B3	T6	V2	S2	0	12
B3	T1	V2	S3	10	11
B3	T2	V2	S3	1	16
B3	T3	V2	S3	1	14
B3	T4	V2	S3	1	17
B3	T5	V2	S3	2	15
B3	T6	V2	S3	1	16
B3	T1	V2	S4	9	11
B3	T2	V2	S4	2	14
B3	T3	V2	S4	0	10
B3	T4	V2	S4	0	18
B3	T5	V2	S4	0	17
B3	T6	V2	S4	0	12
B3	T1	V2	S5	11	12
B3	T2	V2	S5	2	12
B3	T3	V2	S5	0	11
B3	T4	V2	S5	0	13
B3	T5	V2	S5	0	18
B3	T6	V2	S5	0	12
B3	T1	V3	S1	7	9
B3	T2	V3	S1	0	13
B3	T3	V3	S1	0	9
B3	T4	V3	S1	0	18
B3	T5	V3	S1	0	18
B3	T6	V3	S1	0	13
B3	T1	V3	S2	6	14
B3	T2	V3	S2	3	16
B3	T3	V3	S2	1	15
B3	T4	V3	S2	0	17
B3	T5	V3	S2	1	17
B3	T6	V3	S2	3	14
B3	T1	V3	S3	10	11
B3	T2	V3	S3	0	10
B3	T3	V3	S3	1	16
B3	T4	V3	S3	1	18
B3	T5	V3	S3	0	16
B3	T6	V3	S3	0	11
B3	T1	V3	S4	10	10
B3	T2	V3	S4	1	14
B3	T3	V3	S4	0	10
B3	T4	V3	S4	1	19
B3	T5	V3	S4	2	19
B3	T6	V3	S4	2	14
B3	T1	V3	S5	8	10
B3	T2	V3	S5	0	12
B3	T3	V3	S5	0	12
B3	T4	V3	S5	0	18
B3	T5	V3	S5	0	14
B3	T6	V3	S5	0	12
