"gen"	"env"	"yield"
"Diplomat"	"E07"	58.7
"Caribo"	"E07"	61
"Cbc710"	"E07"	66.5
"Stru721"	"E07"	63.4
"Ack712"	"E07"	62.2
"Beun781"	"E07"	70.7
"Breu737"	"E07"	59.4
"Brnd758"	"E07"	53.5
"Doer750"	"E07"	63.5
"Firl777"	"E07"	56.1
"Brnd759"	"E07"	57.8
"Firl779"	"E07"	54.3
"Firl780"	"E07"	59.8
"Frah743"	"E07"	62.6
"Loch744"	"E07"	65
"Loch745"	"E07"	65.5
"Ruem711"	"E07"	59.3
"Pem2"	"E07"	59.7
"Pem3"	"E07"	62.5
"Jubilar"	"E08"	75.8
"Diplomat"	"E08"	81
"Caribo"	"E08"	83.8
"Cbc710"	"E08"	76.6
"Stru721"	"E08"	80.2
"Ack712"	"E08"	73.6
"Beun781"	"E08"	85.8
"Breu737"	"E08"	76.7
"Brnd758"	"E08"	87.9
"Doer750"	"E08"	78.8
"Firl777"	"E08"	79.5
"Brnd759"	"E08"	79.7
"Firl779"	"E08"	81.1
"Firl780"	"E08"	80.2
"Frah743"	"E08"	82.8
"Loch744"	"E08"	82.3
"Loch745"	"E08"	81.6
"Ruem711"	"E08"	78
"Pem2"	"E08"	87.1
"Pem3"	"E08"	80.7
"Jubilar"	"E09"	53
"Diplomat"	"E09"	51.1
"Caribo"	"E09"	52.7
"Cbc710"	"E09"	47.9
"Stru721"	"E09"	53.5
"Ack712"	"E09"	37.4
"Beun781"	"E09"	53.1
"Breu737"	"E09"	45.4
"Brnd758"	"E09"	61
"Doer750"	"E09"	49.9
"Firl777"	"E09"	46
"Brnd759"	"E09"	59.6
"Firl779"	"E09"	48.6
"Firl780"	"E09"	53.1
"Frah743"	"E09"	62.6
"Loch744"	"E09"	59.2
"Loch745"	"E09"	60.7
"Ruem711"	"E09"	58
"Pem2"	"E09"	51.6
"Pem3"	"E09"	52.3
"Jubilar"	"E10"	70.4
"Diplomat"	"E10"	75.1
"Caribo"	"E10"	71.8
"Cbc710"	"E10"	80.1
"Stru721"	"E10"	72.2
"Ack712"	"E10"	70.5
"Beun781"	"E10"	85.7
"Breu737"	"E10"	67
"Brnd758"	"E10"	71.6
"Doer750"	"E10"	68.6
"Firl777"	"E10"	76
"Brnd759"	"E10"	77.2
"Firl779"	"E10"	65.5
"Firl780"	"E10"	72.9
"Frah743"	"E10"	78.8
"Loch744"	"E10"	74.5
"Loch745"	"E10"	77.9
"Ruem711"	"E10"	77.5
"Pem2"	"E10"	80.5
"Pem3"	"E10"	79.1
