"row"	"col"	"yield"	"block"
15	5	1.71	"B2"
16	5	2.18	"B2"
17	5	1.86	"B2"
18	5	1.86	"B2"
1	6	2.73	"B2"
2	6	2.21	"B2"
3	6	2.57	"B2"
4	6	1.77	"B2"
5	6	2.27	"B2"
6	6	2.24	"B2"
7	6	2.6	"B2"
8	6	1.55	"B2"
9	6	1.65	"B2"
10	6	1.56	"B2"
11	6	1.4	"B2"
12	6	1.71	"B2"
13	6	1.71	"B2"
14	6	1.84	"B2"
15	6	1.76	"B2"
16	6	2.28	"B2"
17	6	1.8	"B2"
18	6	2.08	"B2"
