crop	rep	P	K	N	yield
alfalfa	1	80	40	0	NA
alfalfa	2	80	40	0	NA
alfalfa	1	120	40	0	NA
alfalfa	2	120	40	0	NA
alfalfa	1	160	40	0	3.23
alfalfa	2	160	40	0	3.61
alfalfa	1	200	40	0	3.12
alfalfa	2	200	40	0	3.02
alfalfa	1	240	40	0	NA
alfalfa	2	240	40	0	NA
alfalfa	1	280	40	0	NA
alfalfa	2	280	40	0	NA
alfalfa	1	320	40	0	3.57
alfalfa	2	320	40	0	3.84
corn2	1	0	0	40	4.9
corn2	2	0	0	40	19.6
corn2	1	40	0	40	20.2
corn2	2	40	0	40	10.7
corn2	1	80	0	40	NA
corn2	2	80	0	40	NA
corn2	1	120	0	40	NA
corn2	2	120	0	40	NA
corn2	1	160	0	40	44.2
corn2	2	160	0	40	15.3
corn2	1	200	0	40	13.6
corn2	2	200	0	40	15.3
corn2	1	240	0	40	NA
corn2	2	240	0	40	NA
corn2	1	280	0	40	NA
corn2	2	280	0	40	NA
corn2	1	320	0	40	10.5
corn2	2	320	0	40	13.6
corn	1	0	0	80	28.7
corn	2	0	0	80	6.4
corn	1	40	0	80	NA
corn	2	40	0	80	NA
corn	1	80	0	80	99.5
corn	2	80	0	80	115.4
corn	1	120	0	80	NA
corn	2	120	0	80	NA
corn	1	160	0	80	102.2
corn	2	160	0	80	108.6
corn	1	200	0	80	NA
corn	2	200	0	80	NA
corn	1	240	0	80	97.2
corn	2	240	0	80	107.8
corn	1	280	0	80	NA
corn	2	280	0	80	NA
corn	1	320	0	80	116.9
corn	2	320	0	80	83.6
clover	1	0	80	0	3.06
clover	2	0	80	0	2.48
clover	1	40	80	0	NA
clover	2	40	80	0	NA
clover	1	80	80	0	3.2
clover	2	80	80	0	3.99
clover	1	120	80	0	NA
clover	2	120	80	0	NA
clover	1	160	80	0	3.74
clover	2	160	80	0	3.62
clover	1	200	80	0	NA
clover	2	200	80	0	NA
clover	1	240	80	0	3.91
clover	2	240	80	0	3.63
clover	1	280	80	0	NA
clover	2	280	80	0	NA
clover	1	320	80	0	3.61
clover	2	320	80	0	3.42
alfalfa	1	0	80	0	2.93
alfalfa	2	0	80	0	2.09
alfalfa	1	40	80	0	NA
alfalfa	2	40	80	0	NA
alfalfa	1	80	80	0	3.39
alfalfa	2	80	80	0	3.51
alfalfa	1	120	80	0	NA
alfalfa	2	120	80	0	NA
alfalfa	1	160	80	0	3.22
alfalfa	2	160	80	0	3.51
alfalfa	1	200	80	0	NA
alfalfa	2	200	80	0	NA
alfalfa	1	240	80	0	3.6
alfalfa	2	240	80	0	3.29
alfalfa	1	280	80	0	NA
alfalfa	2	280	80	0	NA
alfalfa	1	320	80	0	3.5
alfalfa	2	320	80	0	3.49
corn2	1	0	0	80	7.8
corn2	2	0	0	80	12.4
corn2	1	40	0	80	NA
corn2	2	40	0	80	NA
corn2	1	80	0	80	29.6
corn2	2	80	0	80	14.2
corn2	1	120	0	80	NA
corn2	2	120	0	80	NA
corn2	1	160	0	80	21.2
corn2	2	160	0	80	34.7
corn2	1	200	0	80	NA
corn2	2	200	0	80	NA
corn2	1	240	0	80	36.5
corn2	2	240	0	80	15.6
corn2	1	280	0	80	NA
corn2	2	280	0	80	NA
corn2	1	320	0	80	14.9
corn2	2	320	0	80	9.9
corn	1	0	0	120	25.1
corn	2	0	0	120	24.5
corn	1	40	0	120	NA
corn	2	40	0	120	NA
corn	1	80	0	120	NA
corn	2	80	0	120	NA
corn	1	120	0	120	119.4
corn	2	120	0	120	97.3
corn	1	160	0	120	133.3
corn	2	160	0	120	124.4
corn	1	200	0	120	NA
corn	2	200	0	120	NA
corn	1	240	0	120	NA
corn	2	240	0	120	NA
corn	1	280	0	120	129.5
corn	2	280	0	120	125.2
corn	1	320	0	120	135.7
corn	2	320	0	120	121.5
clover	1	0	120	0	2.76
clover	2	0	120	0	2.66
clover	1	40	120	0	NA
clover	2	40	120	0	NA
clover	1	80	120	0	NA
clover	2	80	120	0	NA
clover	1	120	120	0	3.31
clover	2	120	120	0	3.4
clover	1	160	120	0	3.04
clover	2	160	120	0	3.65
clover	1	200	120	0	NA
clover	2	200	120	0	NA
clover	1	240	120	0	NA
clover	2	240	120	0	NA
clover	1	280	120	0	4.1
clover	2	280	120	0	3.19
clover	1	320	120	0	3.64
clover	2	320	120	0	3.79
alfalfa	1	0	120	0	2.13
alfalfa	2	0	120	0	2.98
alfalfa	1	40	120	0	NA
alfalfa	2	40	120	0	NA
alfalfa	1	80	120	0	NA
alfalfa	2	80	120	0	NA
alfalfa	1	120	120	0	3.64
alfalfa	2	120	120	0	3.5
alfalfa	1	160	120	0	3.27
alfalfa	2	160	120	0	3.4
alfalfa	1	200	120	0	NA
alfalfa	2	200	120	0	NA
alfalfa	1	240	120	0	NA
alfalfa	2	240	120	0	NA
alfalfa	1	280	120	0	3.19
alfalfa	2	280	120	0	3.17
alfalfa	1	320	120	0	3.97
alfalfa	2	320	120	0	3.52
corn2	1	0	0	120	25.8
corn2	2	0	0	120	14.6
corn2	1	40	0	120	NA
corn2	2	40	0	120	NA
corn2	1	80	0	120	NA
corn2	2	80	0	120	NA
corn2	1	120	0	120	19.4
corn2	2	120	0	120	22.1
corn2	1	160	0	120	23.3
corn2	2	160	0	120	24.2
corn2	1	200	0	120	NA
corn2	2	200	0	120	NA
corn2	1	240	0	120	NA
corn2	2	240	0	120	NA
corn2	1	280	0	120	33.4
corn2	2	280	0	120	36.2
corn2	1	320	0	120	41.9
corn2	2	320	0	120	30.6
corn	1	0	0	160	17.3
corn	2	0	0	160	4.2
corn	1	40	0	160	96
corn	2	40	0	160	107
corn	1	80	0	160	115.9
corn	2	80	0	160	72.6
corn	1	120	0	160	113.6
corn	2	120	0	160	102.1
corn	1	160	0	160	129.7
corn	2	160	0	160	116.3
corn	1	200	0	160	128.7
corn	2	200	0	160	109.3
corn	1	240	0	160	127.6
corn	2	240	0	160	125.8
corn	1	280	0	160	134.4
corn	2	280	0	160	127.6
corn	1	320	0	160	122.9
corn	2	320	0	160	122.7
clover	1	0	160	0	2.91
clover	2	0	160	0	2.77
clover	1	40	160	0	3.2
clover	2	40	160	0	3.57
clover	1	80	160	0	3.61
clover	2	80	160	0	3.25
clover	1	120	160	0	3.9
clover	2	120	160	0	3.42
clover	1	160	160	0	3.81
clover	2	160	160	0	3.46
clover	1	200	160	0	3.87
clover	2	200	160	0	3.53
clover	1	240	160	0	3.94
clover	2	240	160	0	3.13
clover	1	280	160	0	3.46
clover	2	280	160	0	3.59
clover	1	320	160	0	4.09
clover	2	320	160	0	3.59
alfalfa	1	0	160	0	2.57
alfalfa	2	0	160	0	2.6
alfalfa	1	40	160	0	3.46
alfalfa	2	40	160	0	3.26
alfalfa	1	80	160	0	3.56
alfalfa	2	80	160	0	3.22
alfalfa	1	120	160	0	3.44
alfalfa	2	120	160	0	3.57
alfalfa	1	160	160	0	3.61
alfalfa	2	160	160	0	3.47
alfalfa	1	200	160	0	3.43
alfalfa	2	200	160	0	3.55
alfalfa	1	240	160	0	3.72
alfalfa	2	240	160	0	3.81
alfalfa	1	280	160	0	3.49
alfalfa	2	280	160	0	3.91
alfalfa	1	320	160	0	3.71
alfalfa	2	320	160	0	3.51
corn2	1	0	0	160	4.1
corn2	2	0	0	160	5.6
corn2	1	40	0	160	18.1
corn2	2	40	0	160	63
corn2	1	80	0	160	29.2
corn2	2	80	0	160	18.6
corn2	1	120	0	160	41.1
corn2	2	120	0	160	27
corn2	1	160	0	160	47.9
corn2	2	160	0	160	26.2
corn2	1	200	0	160	30.8
corn2	2	200	0	160	59.9
corn2	1	240	0	160	51.9
corn2	2	240	0	160	51.9
corn2	1	280	0	160	59.4
corn2	2	280	0	160	34.5
corn2	1	320	0	160	60.7
corn2	2	320	0	160	28.5
corn	1	0	0	200	7.3
corn	2	0	0	200	10
corn	1	40	0	200	95.4
corn	2	40	0	200	95.4
corn	1	80	0	200	NA
corn	2	80	0	200	NA
corn	1	120	0	200	NA
corn	2	120	0	200	NA
corn	1	160	0	200	105.7
corn	2	160	0	200	115.5
corn	1	200	0	200	140.3
corn	2	200	0	200	142.2
corn	1	240	0	200	NA
corn	2	240	0	200	NA
corn	1	280	0	200	NA
corn	2	280	0	200	NA
corn	1	320	0	200	138.7
corn	2	320	0	200	126.1
clover	1	0	200	0	2.83
clover	2	0	200	0	2.55
clover	1	40	200	0	3.38
clover	2	40	200	0	3.28
clover	1	80	200	0	NA
clover	2	80	200	0	NA
clover	1	120	200	0	NA
clover	2	120	200	0	NA
clover	1	160	200	0	3.45
clover	2	160	200	0	3.68
clover	1	200	200	0	3.62
clover	2	200	200	0	3.78
clover	1	240	200	0	NA
clover	2	240	200	0	NA
clover	1	280	200	0	NA
clover	2	280	200	0	NA
clover	1	320	200	0	3.65
clover	2	320	200	0	3.4
alfalfa	1	0	200	0	2.75
alfalfa	2	0	200	0	2.69
alfalfa	1	40	200	0	3.52
alfalfa	2	40	200	0	3.57
alfalfa	1	80	200	0	NA
alfalfa	2	80	200	0	NA
alfalfa	1	120	200	0	NA
alfalfa	2	120	200	0	NA
alfalfa	1	160	200	0	3.66
alfalfa	2	160	200	0	3.48
alfalfa	1	200	200	0	3.62
alfalfa	2	200	200	0	3.26
alfalfa	1	240	200	0	NA
alfalfa	2	240	200	0	NA
alfalfa	1	280	200	0	NA
alfalfa	2	280	200	0	NA
alfalfa	1	320	200	0	3.64
alfalfa	2	320	200	0	3.66
corn2	1	0	0	200	14.1
corn2	2	0	0	200	7
corn2	1	40	0	200	34.6
corn2	2	40	0	200	23.6
corn2	1	80	0	200	NA
corn2	2	80	0	200	NA
corn2	1	120	0	200	NA
corn2	2	120	0	200	NA
corn2	1	160	0	200	36.1
corn2	2	160	0	200	55.7
corn2	1	200	0	200	61.3
corn2	2	200	0	200	62.5
corn2	1	240	0	200	NA
corn2	2	240	0	200	NA
corn2	1	280	0	200	NA
corn2	2	280	0	200	NA
corn2	1	320	0	200	52.8
corn2	2	320	0	200	56.6
corn	1	0	0	240	16.2
corn	2	0	0	240	6.8
corn	1	40	0	240	NA
corn	2	40	0	240	NA
corn	1	80	0	240	112.4
corn	2	80	0	240	125.6
corn	1	120	0	240	NA
corn	2	120	0	240	NA
corn	1	160	0	240	130.5
corn	2	160	0	240	124.3
corn	1	200	0	240	NA
corn	2	200	0	240	NA
corn	1	240	0	240	121.1
corn	2	240	0	240	114.2
corn	1	280	0	240	NA
corn	2	280	0	240	NA
corn	1	320	0	240	127.3
corn	2	320	0	240	139.5
clover	1	0	240	0	3.03
clover	2	0	240	0	2.78
clover	1	40	240	0	NA
clover	2	40	240	0	NA
clover	1	80	240	0	3.64
clover	2	80	240	0	3.43
clover	1	120	240	0	NA
clover	2	120	240	0	NA
clover	1	160	240	0	3.68
clover	2	160	240	0	3.53
clover	1	200	240	0	NA
clover	2	200	240	0	NA
clover	1	240	240	0	3.55
clover	2	240	240	0	4.04
clover	1	280	240	0	NA
clover	2	280	240	0	NA
clover	1	320	240	0	3.59
clover	2	320	240	0	3.35
alfalfa	1	0	240	0	2.33
alfalfa	2	0	240	0	2.5
alfalfa	1	40	240	0	NA
alfalfa	2	40	240	0	NA
alfalfa	1	80	240	0	3.08
alfalfa	2	80	240	0	3.28
alfalfa	1	120	240	0	NA
alfalfa	2	120	240	0	NA
alfalfa	1	160	240	0	3.5
alfalfa	2	160	240	0	3.87
alfalfa	1	200	240	0	NA
alfalfa	2	200	240	0	NA
alfalfa	1	240	240	0	3.83
alfalfa	2	240	240	0	3.64
alfalfa	1	280	240	0	NA
alfalfa	2	280	240	0	NA
alfalfa	1	320	240	0	3.7
alfalfa	2	320	240	0	3.53
corn2	1	0	0	240	9
corn2	2	0	0	240	8.8
corn2	1	40	0	240	NA
corn2	2	40	0	240	NA
corn2	1	80	0	240	27.8
corn2	2	80	0	240	40.2
corn2	1	120	0	240	NA
corn2	2	120	0	240	NA
corn2	1	160	0	240	56.7
corn2	2	160	0	240	61.1
corn2	1	200	0	240	NA
corn2	2	200	0	240	NA
corn2	1	240	0	240	53.1
corn2	2	240	0	240	66.8
corn2	1	280	0	240	NA
corn2	2	280	0	240	NA
corn2	1	320	0	240	67
corn2	2	320	0	240	57.5
corn	1	0	0	280	26.8
corn	2	0	0	280	7.7
corn	1	40	0	280	NA
corn	2	40	0	280	NA
corn	1	80	0	280	NA
corn	2	80	0	280	NA
corn	1	120	0	280	114.9
corn	2	120	0	280	129.2
corn	1	160	0	280	123.6
corn	2	160	0	280	142.5
corn	1	200	0	280	NA
corn	2	200	0	280	NA
corn	1	240	0	280	NA
corn	2	240	0	280	NA
corn	1	280	0	280	130
corn	2	280	0	280	141.9
corn	1	320	0	280	131.8
corn	2	320	0	280	111.9
clover	1	0	280	0	3.21
clover	2	0	280	0	2.86
clover	1	40	280	0	NA
clover	2	40	280	0	NA
clover	1	80	280	0	NA
clover	2	80	280	0	NA
clover	1	120	280	0	4.17
clover	2	120	280	0	4.2
clover	1	160	280	0	3.7
clover	2	160	280	0	3.71
clover	1	200	280	0	NA
clover	2	200	280	0	NA
clover	1	240	280	0	NA
clover	2	240	280	0	NA
clover	1	280	280	0	3.62
clover	2	280	280	0	4.05
clover	1	320	280	0	3.85
clover	2	320	280	0	3.99
alfalfa	1	0	280	0	2.07
alfalfa	2	0	280	0	2.59
alfalfa	1	40	280	0	NA
alfalfa	2	40	280	0	NA
alfalfa	1	80	280	0	NA
alfalfa	2	80	280	0	NA
alfalfa	1	120	280	0	4.02
alfalfa	2	120	280	0	3.5
alfalfa	1	160	280	0	3.47
alfalfa	2	160	280	0	3.68
alfalfa	1	200	280	0	NA
alfalfa	2	200	280	0	NA
alfalfa	1	240	280	0	NA
alfalfa	2	240	280	0	NA
alfalfa	1	280	280	0	3.64
alfalfa	2	280	280	0	3.77
alfalfa	1	320	280	0	3.73
alfalfa	2	320	280	0	3.59
corn2	1	0	0	280	9.6
corn2	2	0	0	280	4.7
corn2	1	40	0	280	NA
corn2	2	40	0	280	NA
corn2	1	80	0	280	NA
corn2	2	80	0	280	NA
corn2	1	120	0	280	50.3
corn2	2	120	0	280	53.2
corn2	1	160	0	280	60.4
corn2	2	160	0	280	47.9
corn2	1	200	0	280	NA
corn2	2	200	0	280	NA
corn2	1	240	0	280	NA
corn2	2	240	0	280	NA
corn2	1	280	0	280	72.6
corn2	2	280	0	280	72.1
corn2	1	320	0	280	60.4
corn2	2	320	0	280	60
corn	1	0	0	320	25.1
corn	2	0	0	320	19
corn	1	40	0	320	81.9
corn	2	40	0	320	76.4
corn	1	80	0	320	129
corn	2	80	0	320	82
corn	1	120	0	320	124.6
corn	2	120	0	320	83
corn	1	160	0	320	135.6
corn	2	160	0	320	122.7
corn	1	200	0	320	136
corn	2	200	0	320	118.2
corn	1	240	0	320	130.9
corn	2	240	0	320	144.9
corn	1	280	0	320	124.8
corn	2	280	0	320	114.1
corn	1	320	0	320	127.9
corn	2	320	0	320	118.8
clover	1	0	320	0	2.67
clover	2	0	320	0	2.85
clover	1	40	320	0	3.77
clover	2	40	320	0	3.73
clover	1	80	320	0	4.31
clover	2	80	320	0	3.28
clover	1	120	320	0	3.62
clover	2	120	320	0	3.31
clover	1	160	320	0	3.45
clover	2	160	320	0	3.61
clover	1	200	320	0	3.58
clover	2	200	320	0	3.82
clover	1	240	320	0	3.53
clover	2	240	320	0	3.47
clover	1	280	320	0	3.73
clover	2	280	320	0	3.74
clover	1	320	320	0	3.57
clover	2	320	320	0	3.32
alfalfa	1	0	320	0	2.18
alfalfa	2	0	320	0	2.11
alfalfa	1	40	320	0	3.05
alfalfa	2	40	320	0	3.53
alfalfa	1	80	320	0	3.49
alfalfa	2	80	320	0	3.56
alfalfa	1	120	320	0	3.64
alfalfa	2	120	320	0	3.28
alfalfa	1	160	320	0	3.69
alfalfa	2	160	320	0	3.43
alfalfa	1	200	320	0	3.34
alfalfa	2	200	320	0	3.74
alfalfa	1	240	320	0	3.52
alfalfa	2	240	320	0	3.65
alfalfa	1	280	320	0	3.61
alfalfa	2	280	320	0	3.88
alfalfa	1	320	320	0	3.86
alfalfa	2	320	320	0	3.51
corn2	1	0	0	320	7.8
corn2	2	0	0	320	8.5
corn2	1	40	0	320	8.2
corn2	2	40	0	320	37.1
corn2	1	80	0	320	27.9
corn2	2	80	0	320	37.5
corn2	1	120	0	320	47.7
corn2	2	120	0	320	36.8
corn2	1	160	0	320	51.1
corn2	2	160	0	320	50.3
corn2	1	200	0	320	62.1
corn2	2	200	0	320	67.8
corn2	1	240	0	320	65.8
corn2	2	240	0	320	66.7
corn2	1	280	0	320	76.7
corn2	2	280	0	320	66.1
corn2	1	320	0	320	69.6
corn2	2	320	0	320	70.5
