"row"	"col"	"yield"	"field"
21	3	520	"A"
22	3	490	"A"
23	3	480	"A"
24	3	350	"A"
25	3	320	"A"
26	3	440	"A"
27	3	540	"A"
28	3	460	"A"
29	3	400	"A"
30	3	420	"A"
31	3	360	"A"
32	3	370	"A"
33	3	480	"A"
34	3	380	"A"
35	3	490	"A"
36	3	360	"A"
37	3	420	"A"
38	3	540	"A"
39	3	750	"A"
40	3	600	"A"
41	3	630	"A"
42	3	650	"A"
43	3	590	"A"
44	3	540	"A"
45	3	510	"A"
46	3	390	"A"
47	3	360	"A"
48	3	490	"A"
49	3	580	"A"
50	3	530	"A"
51	3	710	"A"
52	3	540	"A"
53	3	600	"A"
54	3	510	"A"
55	3	540	"A"
56	3	570	"A"
57	3	500	"A"
58	3	500	"A"
59	3	400	"A"
60	3	500	"A"
61	3	400	"A"
62	3	610	"A"
63	3	520	"A"
64	3	430	"A"
65	3	640	"A"
66	3	570	"A"
67	3	550	"A"
68	3	640	"A"
69	3	430	"A"
70	3	450	"A"
71	3	680	"A"
72	3	410	"A"
73	3	620	"A"
74	3	590	"A"
75	3	300	"A"
76	3	400	"A"
77	3	410	"A"
78	3	410	"A"
79	3	400	"A"
80	3	340	"A"
81	3	420	"A"
82	3	380	"A"
83	3	380	"A"
84	3	350	"A"
85	3	440	"A"
86	3	370	"A"
87	3	500	"A"
88	3	390	"A"
89	3	620	"A"
90	3	500	"A"
91	3	580	"A"
92	3	440	"A"
93	3	500	"A"
94	3	590	"A"
95	3	480	"A"
96	3	340	"A"
97	3	420	"A"
98	3	350	"A"
99	3	290	"A"
100	3	320	"A"
101	3	390	"A"
102	3	300	"A"
103	3	350	"A"
104	3	450	"A"
105	3	430	"A"
106	3	470	"A"
107	3	430	"A"
108	3	410	"A"
109	3	480	"A"
110	3	430	"A"
111	3	490	"A"
112	3	420	"A"
113	3	190	"A"
114	3	340	"A"
115	3	440	"A"
116	3	400	"A"
117	3	430	"A"
118	3	410	"A"
119	3	340	"A"
120	3	370	"A"
121	3	400	"A"
122	3	380	"A"
123	3	320	"A"
124	3	490	"A"
125	3	460	"A"
126	3	540	"A"
127	3	420	"A"
128	3	510	"A"
129	3	600	"A"
130	3	480	"A"
131	3	520	"A"
132	3	350	"A"
133	3	400	"A"
134	3	570	"A"
135	3	590	"A"
136	3	650	"A"
137	3	560	"A"
138	3	550	"A"
139	3	640	"A"
140	3	490	"A"
141	3	600	"A"
142	3	600	"A"
143	3	610	"A"
144	3	580	"A"
1	2	410	"A"
2	2	440	"A"
3	2	510	"A"
4	2	440	"A"
5	2	400	"A"
6	2	440	"A"
7	2	340	"A"
8	2	160	"A"
9	2	300	"A"
10	2	300	"A"
11	2	560	"A"
12	2	660	"A"
13	2	610	"A"
14	2	860	"A"
15	2	850	"A"
16	2	610	"A"
17	2	720	"A"
18	2	450	"A"
19	2	660	"A"
20	2	460	"A"
21	2	450	"A"
22	2	470	"A"
23	2	520	"A"
24	2	430	"A"
25	2	510	"A"
26	2	480	"A"
27	2	510	"A"
28	2	600	"A"
29	2	540	"A"
30	2	530	"A"
31	2	700	"A"
32	2	620	"A"
33	2	640	"A"
34	2	600	"A"
35	2	580	"A"
36	2	650	"A"
37	2	370	"A"
38	2	410	"A"
39	2	570	"A"
40	2	440	"A"
41	2	470	"A"
42	2	360	"A"
43	2	450	"A"
44	2	280	"A"
45	2	500	"A"
46	2	220	"A"
47	2	370	"A"
48	2	280	"A"
49	2	370	"A"
50	2	360	"A"
51	2	480	"A"
52	2	470	"A"
53	2	630	"A"
54	2	560	"A"
55	2	850	"A"
56	2	760	"A"
57	2	810	"A"
58	2	700	"A"
59	2	920	"A"
60	2	630	"A"
61	2	690	"A"
62	2	690	"A"
63	2	510	"A"
64	2	510	"A"
65	2	640	"A"
66	2	540	"A"
67	2	380	"A"
68	2	500	"A"
69	2	500	"A"
70	2	580	"A"
71	2	490	"A"
72	2	490	"A"
73	2	510	"A"
74	2	500	"A"
75	2	680	"A"
76	2	590	"A"
77	2	410	"A"
78	2	450	"A"
79	2	510	"A"
80	2	400	"A"
81	2	400	"A"
82	2	430	"A"
83	2	260	"A"
84	2	460	"A"
85	2	410	"A"
86	2	410	"A"
87	2	340	"A"
88	2	330	"A"
89	2	430	"A"
90	2	320	"A"
91	2	440	"A"
92	2	490	"A"
93	2	520	"A"
94	2	310	"A"
95	2	560	"A"
96	2	320	"A"
97	2	490	"A"
98	2	290	"A"
99	2	240	"A"
100	2	390	"A"
101	2	370	"A"
102	2	220	"A"
103	2	360	"A"
104	2	300	"A"
105	2	370	"A"
106	2	290	"A"
107	2	410	"A"
108	2	470	"A"
109	2	370	"A"
110	2	360	"A"
111	2	410	"A"
112	2	440	"A"
113	2	300	"A"
114	2	270	"A"
115	2	220	"A"
116	2	260	"A"
117	2	280	"A"
118	2	250	"A"
119	2	220	"A"
120	2	260	"A"
121	2	350	"A"
122	2	280	"A"
123	2	390	"A"
124	2	650	"A"
125	2	500	"A"
126	2	480	"A"
127	2	650	"A"
128	2	640	"A"
129	2	750	"A"
130	2	630	"A"
131	2	620	"A"
132	2	440	"A"
133	2	520	"A"
134	2	390	"A"
135	2	400	"A"
136	2	420	"A"
137	2	540	"A"
138	2	550	"A"
139	2	430	"A"
140	2	580	"A"
141	2	490	"A"
142	2	450	"A"
143	2	380	"A"
144	2	530	"A"
1	1	460	"A"
2	1	410	"A"
3	1	340	"A"
4	1	400	"A"
5	1	410	"A"
6	1	360	"A"
7	1	370	"A"
8	1	280	"A"
9	1	390	"A"
10	1	380	"A"
11	1	360	"A"
12	1	480	"A"
13	1	450	"A"
14	1	610	"A"
15	1	510	"A"
16	1	580	"A"
17	1	620	"A"
18	1	730	"A"
19	1	660	"A"
20	1	610	"A"
21	1	540	"A"
22	1	370	"A"
23	1	600	"A"
24	1	600	"A"
25	1	460	"A"
26	1	580	"A"
27	1	630	"A"
28	1	490	"A"
29	1	450	"A"
30	1	510	"A"
31	1	390	"A"
32	1	410	"A"
33	1	520	"A"
34	1	460	"A"
35	1	410	"A"
36	1	400	"A"
37	1	470	"A"
38	1	400	"A"
39	1	360	"A"
40	1	480	"A"
41	1	430	"A"
42	1	410	"A"
43	1	350	"A"
44	1	360	"A"
45	1	420	"A"
46	1	320	"A"
47	1	420	"A"
48	1	700	"A"
49	1	390	"A"
50	1	410	"A"
51	1	390	"A"
52	1	460	"A"
53	1	560	"A"
54	1	380	"A"
55	1	480	"A"
56	1	600	"A"
57	1	660	"A"
58	1	690	"A"
59	1	690	"A"
60	1	730	"A"
61	1	650	"A"
62	1	690	"A"
63	1	640	"A"
64	1	690	"A"
65	1	600	"A"
66	1	610	"A"
67	1	430	"A"
68	1	640	"A"
69	1	480	"A"
70	1	440	"A"
71	1	400	"A"
72	1	470	"A"
73	1	450	"A"
74	1	540	"A"
75	1	610	"A"
76	1	780	"A"
77	1	630	"A"
78	1	610	"A"
79	1	570	"A"
80	1	590	"A"
81	1	560	"A"
82	1	480	"A"
83	1	430	"A"
84	1	320	"A"
85	1	310	"A"
86	1	280	"A"
87	1	310	"A"
88	1	340	"A"
89	1	360	"A"
90	1	390	"A"
91	1	460	"A"
92	1	460	"A"
93	1	430	"A"
94	1	360	"A"
95	1	310	"A"
96	1	390	"A"
97	1	370	"A"
98	1	340	"A"
99	1	270	"A"
100	1	380	"A"
101	1	460	"A"
102	1	390	"A"
103	1	420	"A"
104	1	470	"A"
105	1	450	"A"
106	1	430	"A"
107	1	300	"A"
108	1	320	"A"
109	1	420	"A"
110	1	500	"A"
111	1	540	"A"
112	1	410	"A"
113	1	580	"A"
114	1	530	"A"
115	1	430	"A"
116	1	370	"A"
117	1	300	"A"
118	1	350	"A"
119	1	410	"A"
120	1	270	"A"
121	1	420	"A"
122	1	410	"A"
123	1	460	"A"
124	1	490	"A"
125	1	450	"A"
126	1	500	"A"
127	1	540	"A"
128	1	570	"A"
129	1	670	"A"
130	1	590	"A"
131	1	510	"A"
132	1	370	"A"
133	1	480	"A"
134	1	370	"A"
135	1	380	"A"
136	1	360	"A"
137	1	300	"A"
138	1	380	"A"
139	1	380	"A"
140	1	380	"A"
141	1	360	"A"
142	1	390	"A"
143	1	610	"A"
144	1	560	"A"
1	4	360	"B"
2	4	460	"B"
3	4	470	"B"
4	4	310	"B"
5	4	280	"B"
6	4	220	"B"
7	4	240	"B"
8	4	160	"B"
9	4	270	"B"
10	4	470	"B"
11	4	360	"B"
12	4	230	"B"
13	4	460	"B"
14	4	430	"B"
15	4	310	"B"
16	4	330	"B"
17	4	350	"B"
18	4	310	"B"
19	4	310	"B"
20	4	250	"B"
21	4	210	"B"
22	4	240	"B"
23	4	350	"B"
24	4	250	"B"
25	4	300	"B"
26	4	410	"B"
27	4	370	"B"
28	4	400	"B"
29	4	210	"B"
30	4	220	"B"
31	4	320	"B"
32	4	380	"B"
33	4	310	"B"
34	4	300	"B"
35	4	500	"B"
36	4	450	"B"
37	4	720	"B"
38	4	440	"B"
39	4	640	"B"
40	4	450	"B"
41	4	440	"B"
42	4	300	"B"
43	4	400	"B"
44	4	430	"B"
45	4	560	"B"
46	4	480	"B"
47	4	650	"B"
48	4	400	"B"
49	4	480	"B"
50	4	310	"B"
51	4	410	"B"
52	4	460	"B"
53	4	580	"B"
54	4	500	"B"
55	4	480	"B"
56	4	570	"B"
57	4	550	"B"
58	4	630	"B"
59	4	550	"B"
60	4	290	"B"
61	4	450	"B"
62	4	520	"B"
63	4	470	"B"
64	4	440	"B"
65	4	430	"B"
66	4	470	"B"
67	4	530	"B"
68	4	490	"B"
69	4	450	"B"
70	4	510	"B"
71	4	420	"B"
72	4	540	"B"
73	4	330	"B"
74	4	320	"B"
75	4	300	"B"
76	4	400	"B"
77	4	400	"B"
78	4	490	"B"
79	4	340	"B"
80	4	560	"B"
81	4	440	"B"
82	4	370	"B"
83	4	550	"B"
84	4	460	"B"
85	4	470	"B"
86	4	400	"B"
87	4	550	"B"
88	4	450	"B"
89	4	390	"B"
90	4	370	"B"
91	4	420	"B"
92	4	390	"B"
93	4	360	"B"
94	4	550	"B"
95	4	570	"B"
96	4	500	"B"
97	4	610	"B"
98	4	730	"B"
99	4	730	"B"
100	4	750	"B"
101	4	740	"B"
102	4	680	"B"
103	4	520	"B"
104	4	550	"B"
105	4	530	"B"
106	4	550	"B"
107	4	670	"B"
108	4	510	"B"
109	4	290	"B"
110	4	410	"B"
111	4	580	"B"
112	4	510	"B"
113	4	540	"B"
114	4	600	"B"
115	4	640	"B"
116	4	670	"B"
117	4	490	"B"
118	4	510	"B"
119	4	620	"B"
120	4	450	"B"
121	4	710	"B"
122	4	650	"B"
123	4	640	"B"
124	4	700	"B"
125	4	520	"B"
126	4	600	"B"
127	4	610	"B"
128	4	680	"B"
129	4	660	"B"
130	4	850	"B"
131	4	610	"B"
132	4	810	"B"
133	4	610	"B"
134	4	570	"B"
135	4	560	"B"
136	4	520	"B"
137	4	460	"B"
138	4	530	"B"
139	4	670	"B"
140	4	460	"B"
141	4	560	"B"
142	4	470	"B"
143	4	310	"B"
144	4	480	"B"
1	3	390	"B"
2	3	380	"B"
3	3	380	"B"
4	3	340	"B"
5	3	360	"B"
6	3	590	"B"
7	3	400	"B"
8	3	530	"B"
9	3	550	"B"
10	3	470	"B"
11	3	310	"B"
12	3	360	"B"
13	3	380	"B"
14	3	420	"B"
15	3	300	"B"
16	3	340	"B"
17	3	600	"B"
18	3	320	"B"
19	3	480	"B"
20	3	420	"B"
21	3	590	"B"
22	3	480	"B"
23	3	510	"B"
24	3	600	"B"
25	3	700	"B"
26	3	590	"B"
27	3	630	"B"
28	3	620	"B"
29	3	720	"B"
30	3	550	"B"
31	3	570	"B"
32	3	550	"B"
33	3	550	"B"
34	3	440	"B"
35	3	760	"B"
36	3	660	"B"
37	3	760	"B"
38	3	550	"B"
39	3	590	"B"
40	3	530	"B"
41	3	610	"B"
42	3	500	"B"
43	3	450	"B"
44	3	560	"B"
45	3	400	"B"
46	3	560	"B"
47	3	540	"B"
48	3	620	"B"
49	3	530	"B"
50	3	540	"B"
51	3	560	"B"
52	3	580	"B"
53	3	500	"B"
54	3	420	"B"
55	3	470	"B"
56	3	420	"B"
57	3	570	"B"
58	3	480	"B"
59	3	550	"B"
60	3	540	"B"
61	3	470	"B"
62	3	510	"B"
63	3	470	"B"
64	3	590	"B"
65	3	640	"B"
66	3	520	"B"
67	3	670	"B"
68	3	600	"B"
69	3	650	"B"
70	3	330	"B"
71	3	630	"B"
72	3	510	"B"
73	3	550	"B"
74	3	410	"B"
75	3	540	"B"
76	3	460	"B"
77	3	380	"B"
78	3	490	"B"
79	3	430	"B"
80	3	580	"B"
81	3	620	"B"
82	3	600	"B"
83	3	530	"B"
84	3	840	"B"
85	3	620	"B"
86	3	620	"B"
87	3	590	"B"
88	3	650	"B"
89	3	530	"B"
90	3	740	"B"
91	3	660	"B"
92	3	780	"B"
93	3	760	"B"
94	3	1080	"B"
95	3	930	"B"
96	3	730	"B"
97	3	500	"B"
98	3	590	"B"
99	3	590	"B"
100	3	560	"B"
101	3	680	"B"
102	3	430	"B"
103	3	500	"B"
104	3	430	"B"
105	3	570	"B"
106	3	420	"B"
107	3	500	"B"
108	3	430	"B"
109	3	340	"B"
110	3	460	"B"
111	3	650	"B"
112	3	580	"B"
113	3	730	"B"
114	3	710	"B"
115	3	560	"B"
116	3	440	"B"
117	3	570	"B"
118	3	670	"B"
119	3	660	"B"
120	3	610	"B"
121	3	730	"B"
122	3	580	"B"
123	3	740	"B"
124	3	770	"B"
125	3	920	"B"
126	3	740	"B"
127	3	690	"B"
128	3	940	"B"
129	3	850	"B"
130	3	690	"B"
131	3	730	"B"
132	3	590	"B"
133	3	510	"B"
134	3	610	"B"
135	3	550	"B"
136	3	320	"B"
137	3	250	"B"
138	3	340	"B"
139	3	350	"B"
140	3	240	"B"
141	3	320	"B"
142	3	340	"B"
143	3	240	"B"
144	3	460	"B"
1	2	370	"B"
2	2	520	"B"
3	2	500	"B"
4	2	530	"B"
5	2	580	"B"
6	2	700	"B"
7	2	640	"B"
8	2	650	"B"
9	2	650	"B"
10	2	480	"B"
11	2	400	"B"
12	2	490	"B"
13	2	580	"B"
14	2	830	"B"
15	2	1000	"B"
16	2	940	"B"
17	2	690	"B"
18	2	1030	"B"
19	2	930	"B"
20	2	1000	"B"
21	2	800	"B"
22	2	720	"B"
23	2	680	"B"
24	2	590	"B"
25	2	630	"B"
26	2	660	"B"
27	2	750	"B"
28	2	640	"B"
29	2	790	"B"
30	2	810	"B"
31	2	570	"B"
32	2	970	"B"
33	2	910	"B"
34	2	780	"B"
35	2	700	"B"
36	2	740	"B"
37	2	520	"B"
38	2	470	"B"
39	2	580	"B"
40	2	560	"B"
41	2	380	"B"
42	2	430	"B"
43	2	380	"B"
44	2	490	"B"
45	2	300	"B"
46	2	490	"B"
47	2	570	"B"
48	2	610	"B"
49	2	410	"B"
50	2	340	"B"
51	2	290	"B"
52	2	340	"B"
53	2	410	"B"
54	2	600	"B"
55	2	610	"B"
56	2	550	"B"
57	2	500	"B"
58	2	400	"B"
59	2	390	"B"
60	2	370	"B"
61	2	450	"B"
62	2	320	"B"
63	2	300	"B"
64	2	380	"B"
65	2	460	"B"
66	2	410	"B"
67	2	470	"B"
68	2	480	"B"
69	2	380	"B"
70	2	510	"B"
71	2	540	"B"
72	2	530	"B"
73	2	400	"B"
74	2	460	"B"
75	2	520	"B"
76	2	450	"B"
77	2	680	"B"
78	2	640	"B"
79	2	570	"B"
80	2	640	"B"
81	2	550	"B"
82	2	650	"B"
83	2	450	"B"
84	2	440	"B"
85	2	440	"B"
86	2	530	"B"
87	2	600	"B"
88	2	320	"B"
89	2	390	"B"
90	2	470	"B"
91	2	460	"B"
92	2	540	"B"
93	2	590	"B"
94	2	510	"B"
95	2	490	"B"
96	2	660	"B"
97	2	620	"B"
98	2	570	"B"
99	2	460	"B"
100	2	550	"B"
101	2	480	"B"
102	2	480	"B"
103	2	500	"B"
104	2	580	"B"
105	2	600	"B"
106	2	410	"B"
107	2	440	"B"
108	2	460	"B"
109	2	330	"B"
110	2	420	"B"
111	2	390	"B"
112	2	460	"B"
113	2	690	"B"
114	2	600	"B"
115	2	510	"B"
116	2	620	"B"
117	2	580	"B"
118	2	930	"B"
119	2	710	"B"
120	2	520	"B"
121	2	690	"B"
122	2	610	"B"
123	2	430	"B"
124	2	510	"B"
125	2	560	"B"
126	2	600	"B"
127	2	660	"B"
128	2	560	"B"
129	2	410	"B"
130	2	480	"B"
131	2	430	"B"
132	2	430	"B"
133	2	340	"B"
134	2	440	"B"
135	2	650	"B"
136	2	630	"B"
137	2	500	"B"
138	2	480	"B"
139	2	580	"B"
140	2	340	"B"
141	2	410	"B"
142	2	420	"B"
143	2	330	"B"
144	2	390	"B"
1	1	300	"B"
2	1	390	"B"
3	1	390	"B"
4	1	410	"B"
5	1	520	"B"
6	1	440	"B"
7	1	640	"B"
8	1	690	"B"
9	1	810	"B"
10	1	860	"B"
11	1	1020	"B"
12	1	890	"B"
13	1	650	"B"
14	1	900	"B"
15	1	780	"B"
16	1	980	"B"
17	1	1090	"B"
18	1	850	"B"
19	1	920	"B"
20	1	950	"B"
21	1	720	"B"
22	1	750	"B"
23	1	770	"B"
24	1	760	"B"
25	1	800	"B"
26	1	710	"B"
27	1	690	"B"
28	1	600	"B"
29	1	670	"B"
30	1	740	"B"
31	1	520	"B"
32	1	640	"B"
33	1	630	"B"
34	1	550	"B"
35	1	560	"B"
36	1	420	"B"
37	1	540	"B"
38	1	380	"B"
39	1	540	"B"
40	1	570	"B"
41	1	580	"B"
42	1	570	"B"
43	1	530	"B"
44	1	680	"B"
45	1	680	"B"
46	1	620	"B"
47	1	600	"B"
48	1	750	"B"
49	1	650	"B"
50	1	540	"B"
51	1	500	"B"
52	1	570	"B"
53	1	640	"B"
54	1	510	"B"
55	1	630	"B"
56	1	460	"B"
57	1	610	"B"
58	1	580	"B"
59	1	570	"B"
60	1	410	"B"
61	1	350	"B"
62	1	400	"B"
63	1	230	"B"
64	1	230	"B"
65	1	300	"B"
66	1	270	"B"
67	1	320	"B"
68	1	530	"B"
69	1	370	"B"
70	1	480	"B"
71	1	430	"B"
72	1	150	"B"
73	1	250	"B"
74	1	320	"B"
75	1	300	"B"
76	1	450	"B"
77	1	420	"B"
78	1	460	"B"
79	1	460	"B"
80	1	350	"B"
81	1	430	"B"
82	1	490	"B"
83	1	340	"B"
84	1	300	"B"
85	1	440	"B"
86	1	410	"B"
87	1	380	"B"
88	1	370	"B"
89	1	300	"B"
90	1	490	"B"
91	1	640	"B"
92	1	710	"B"
93	1	610	"B"
94	1	560	"B"
95	1	450	"B"
96	1	550	"B"
97	1	630	"B"
98	1	640	"B"
99	1	470	"B"
100	1	500	"B"
101	1	600	"B"
102	1	600	"B"
103	1	600	"B"
104	1	650	"B"
105	1	590	"B"
106	1	450	"B"
107	1	460	"B"
108	1	440	"B"
109	1	570	"B"
110	1	520	"B"
111	1	550	"B"
112	1	510	"B"
113	1	690	"B"
114	1	660	"B"
115	1	580	"B"
116	1	630	"B"
117	1	570	"B"
118	1	530	"B"
119	1	760	"B"
120	1	330	"B"
121	1	420	"B"
122	1	460	"B"
123	1	550	"B"
124	1	460	"B"
125	1	450	"B"
126	1	570	"B"
127	1	460	"B"
128	1	500	"B"
129	1	390	"B"
130	1	400	"B"
131	1	350	"B"
132	1	350	"B"
133	1	400	"B"
134	1	510	"B"
135	1	560	"B"
136	1	600	"B"
137	1	550	"B"
138	1	680	"B"
139	1	650	"B"
140	1	500	"B"
141	1	390	"B"
142	1	510	"B"
143	1	550	"B"
144	1	510	"B"
