"gen"	"year"	"date"	"raindays"	"rain"	"temp"	"parentseed"	"roots"	"leaves"	"stem"	"tassel"	"grain"	"plantweight"	"plantheight"	"leafcount"	"leafarea"
"Oberlander"	1875	"30 Jun 1875"	5	27.02	17	0.006	0.318	NA	NA	NA	NA	3.097	57.3	10	621
"Oberlander"	1875	"7 Jul 1875"	6	39.11	19.88	NA	0.356	NA	NA	NA	NA	6.758	74.6	12	668.6
"Oberlander"	1875	"13 Jul 1875"	4	7.83	18.12	NA	0.473	NA	NA	NA	NA	14.448	90.9	17	950.5
"Oberlander"	1875	"21 Jul 1875"	6	52.21	18.76	NA	0.901	NA	NA	NA	NA	24.89	101.7	20	1098
"Oberlander"	1875	"27 Jul 1875"	3	2.9	17.62	NA	1.009	9.34	19.84	NA	NA	30.18	121.7	16	1407
"Oberlander"	1875	"3 Aug 1875"	2	2.36	16.88	NA	1.841	12.84	36.52	NA	NA	51.196	131.3	26	1653
"Oberlander"	1875	"10 Aug 1875"	4	17.26	19.12	NA	1.549	12.48	48.54	NA	8.41	70.978	128.3	26	2217
"Oberlander"	1875	"17 Aug 1875"	2	4.02	21.5	NA	1.37	10.4	39.65	NA	7.69	59.11	134	14	2953
"Oberlander"	1875	"24 Aug 1875"	1	0.59	19.75	NA	1.201	9.68	47.51	NA	23.3	81.687	128.5	17	1464
"Oberlander"	1875	"31 Aug 1875"	4	9.65	19	NA	0.992	10.44	38.73	NA	23.76	73.921	127	16	1235
"Oberlander"	1875	"7 Sep 1875"	4	10.42	16.12	NA	1.008	9.59	27.32	NA	36.21	74.12	124.5	14	716
"Oberlander"	1875	"15 Sep 1875"	1	3.97	17.5	NA	0.939	10.79	32.12	NA	43.35	87.192	122.5	15	514
"Ungarischer"	1875	"11 May 1875"	NA	NA	NA	0.27	NA	NA	NA	NA	NA	0.27	NA	NA	NA
"Ungarischer"	1875	"1 Jun 1875"	6	6.7	14	0.065	0.075	NA	NA	NA	NA	0.267	13.6	4	31
"Ungarischer"	1875	"8 Jun 1875"	0	0.02	19.25	0.032	0.159	NA	NA	NA	NA	0.609	25.8	6	118.9
"Ungarischer"	1875	"15 Jun 1875"	5	3.27	17.12	0.03	0.214	NA	NA	NA	NA	1.11	32.6	8	190.2
"Ungarischer"	1875	"23 Jun 1875"	6	4.13	16.62	0.021	0.406	NA	NA	NA	NA	2.143	48.8	10	393.2
"Ungarischer"	1875	"30 Jun 1875"	5	27.02	17	0.028	0.466	NA	NA	NA	NA	4.123	71.2	12	807
"Ungarischer"	1875	"7 Jul 1875"	6	39.11	19.88	NA	0.895	NA	NA	NA	NA	12.101	99.4	16	2109.3
"Ungarischer"	1875	"13 Jul 1875"	4	7.83	18.12	NA	1.382	NA	NA	NA	NA	23.244	111.2	20	3029.6
"Ungarischer"	1875	"21 Jul 1875"	6	52.21	18.76	NA	2.27	NA	NA	NA	NA	44.48	137.5	30	4328.7
"Ungarischer"	1875	"27 Jul 1875"	3	2.9	17.62	NA	3.84	26.93	39.69	NA	NA	70.46	159.6	31	5635.3
"Ungarischer"	1875	"3 Aug 1875"	2	2.36	16.88	NA	5.81	33.2	65.97	NA	NA	104.98	166	37	5826.5
"Ungarischer"	1875	"10 Aug 1875"	4	17.26	19.12	NA	3.82	25.38	63.65	NA	NA	92.85	177.5	30	4975
"Ungarischer"	1875	"17 Aug 1875"	2	4.02	21.5	NA	4.49	28.12	87.76	NA	1.41	121.78	182.5	26	4894.3
"Ungarischer"	1875	"24 Aug 1875"	1	0.59	19.75	NA	3.87	32.03	122.7	NA	10.93	169.53	184.5	32	3454
"Ungarischer"	1875	"31 Aug 1875"	4	9.65	19	NA	4.78	32.4	137.81	NA	37.74	212.72	165	33	4807
"Ungarischer"	1875	"7 Sep 1875"	4	10.42	16.12	NA	3.49	34.97	128.4	NA	46.43	213.29	171.5	33	5204
"Ungarischer"	1875	"15 Sep 1875"	1	3.97	17.5	NA	2.72	33.74	102.47	NA	63.26	202.19	176.5	26	2738
"Ungarischer"	1875	"21 Sep 1875"	1	0.28	16.25	NA	NA	26.31	98.71	NA	55	NA	168	25	3096
"Ungarischer"	1875	"28 Sep 1875"	3	9.14	14.12	NA	NA	28.04	93.24	NA	84.54	NA	170.5	22	2372
"Ungarischer"	1875	"5 Oct 1875"	5	12.44	12.5	NA	NA	28.74	91.13	NA	88.25	NA	168	13	2260
"Ungarischer"	1875	"11 Oct 1875"	3	2.92	13.12	NA	NA	37.04	79.76	NA	89.23	NA	166.5	11	1607
"Badischer"	1875	"11 May 1875"	NA	NA	NA	0.206	NA	NA	NA	NA	NA	0.206	NA	NA	NA
"Badischer"	1875	"1 Jun 1875"	6	6.7	14	0.056	0.081	NA	NA	NA	NA	0.268	13.3	4	33.3
"Badischer"	1875	"8 Jun 1875"	0	0.02	19.25	0.038	0.154	NA	NA	NA	NA	0.559	23.9	7	97.8
"Badischer"	1875	"15 Jun 1875"	5	3.27	17.12	0.039	0.225	NA	NA	NA	NA	1.069	33.6	8	181.1
"Badischer"	1875	"23 Jun 1875"	6	4.13	16.62	0.026	0.469	NA	NA	NA	NA	2.449	53.4	10	405.1
"Badischer"	1875	"30 Jun 1875"	5	27.02	17	0.016	0.623	NA	NA	NA	NA	4.776	72.9	11	889.1
"Badischer"	1875	"7 Jul 1875"	6	39.11	19.88	NA	0.778	NA	NA	NA	NA	11.077	103.7	16	1543.5
"Badischer"	1875	"13 Jul 1875"	4	7.83	18.12	NA	1.002	NA	NA	NA	NA	23.619	121.1	15	2646
"Badischer"	1875	"21 Jul 1875"	6	52.21	18.76	NA	2.604	NA	NA	NA	NA	43.844	155	17	3633
"Badischer"	1875	"27 Jul 1875"	3	2.9	17.62	NA	3.022	22.512	30.4	NA	NA	55.934	178.3	16	3291
"Badischer"	1875	"3 Aug 1875"	2	2.36	16.88	NA	3.598	22.527	46.75	NA	NA	72.875	195.4	18	3617
"Badischer"	1875	"10 Aug 1875"	4	17.26	19.12	NA	2.675	21.79	52.154	NA	NA	76.619	198.3	16	3630
"Badischer"	1875	"17 Aug 1875"	2	4.02	21.5	NA	2.711	19.794	59.891	NA	1.936	84.332	193	17	2933
"Badischer"	1875	"24 Aug 1875"	1	0.59	19.75	NA	2.731	17.559	60.586	NA	8.745	89.621	197.5	14	2696
"Badischer"	1875	"31 Aug 1875"	4	9.65	19	NA	2.713	20.995	65.504	NA	11.168	100.38	185	15	2907
"Badischer"	1875	"7 Sep 1875"	4	10.42	16.12	NA	2.562	21.8	78.832	NA	27.284	130.478	189	15	2986
"Badischer"	1875	"15 Sep 1875"	1	3.97	17.5	NA	2.482	26.631	77.165	NA	54.861	158.139	192.5	17	2335
"Badischer"	1875	"21 Sep 1875"	1	0.28	16.25	NA	NA	19.587	53.12	NA	55.775	NA	187.5	16	2360
"Badischer"	1875	"28 Sep 1875"	3	9.14	14.12	NA	NA	21.229	63.794	NA	53.781	NA	179.5	14	2137
"Badischer"	1875	"5 Oct 1875"	5	12.44	12.5	NA	NA	19.35	65.301	NA	52.585	NA	179.5	13	1778
"Badischer"	1875	"11 Oct 1875"	3	2.92	13.12	NA	NA	21.473	47.88	NA	59.992	NA	182	14	1248
"Pferdezahn"	1875	"11 May 1875"	NA	NA	NA	0.294	NA	NA	NA	NA	NA	0.294	NA	NA	NA
"Pferdezahn"	1875	"1 Jun 1875"	6	6.7	14	0.07	0.068	NA	NA	NA	NA	0.285	14.5	4	36.2
"Pferdezahn"	1875	"8 Jun 1875"	0	0.02	19.25	0.049	0.142	NA	NA	NA	NA	0.517	20.7	6	77.9
"Pferdezahn"	1875	"15 Jun 1875"	5	3.27	17.12	0.046	0.227	NA	NA	NA	NA	1.023	27.5	8	177
"Pferdezahn"	1875	"23 Jun 1875"	6	4.13	16.62	0.037	0.39	NA	NA	NA	NA	1.781	42.2	10	335
"Pferdezahn"	1875	"30 Jun 1875"	5	27.02	17	0.024	0.589	NA	NA	NA	NA	3.826	61.9	11	730
"Pferdezahn"	1875	"7 Jul 1875"	6	39.11	19.88	NA	0.794	NA	NA	NA	NA	9.064	95.6	13	1686
"Pferdezahn"	1875	"13 Jul 1875"	4	7.83	18.12	NA	1.243	NA	NA	NA	NA	17.292	109	13	2578
"Pferdezahn"	1875	"21 Jul 1875"	6	52.21	18.76	NA	2.066	NA	NA	NA	NA	29.704	135.1	13	3984
"Pferdezahn"	1875	"27 Jul 1875"	3	2.9	17.62	NA	3.609	26.047	25.342	NA	NA	54.998	169.6	14	6274
"Pferdezahn"	1875	"3 Aug 1875"	2	2.36	16.88	NA	4.003	31.497	38.449	NA	NA	73.949	196.2	15	6622
"Pferdezahn"	1875	"10 Aug 1875"	4	17.26	19.12	NA	5.595	45.93	57.154	NA	NA	108.679	230.8	16	8453
"Pferdezahn"	1875	"17 Aug 1875"	2	4.02	21.5	NA	9.426	58.503	86.684	NA	NA	153.613	244	16	8823
"Pferdezahn"	1875	"24 Aug 1875"	1	0.59	19.75	NA	10.04	59.53	103.61	NA	NA	173.18	285.5	15	8258
"Pferdezahn"	1875	"31 Aug 1875"	4	9.65	19	NA	9.18	63.54	137.65	NA	NA	210.37	302.5	17	7090
"Pferdezahn"	1875	"7 Sep 1875"	4	10.42	16.12	NA	13.88	65.93	165.28	NA	NA	245.09	301	16	9200
"Pferdezahn"	1875	"15 Sep 1875"	1	3.97	17.5	NA	NA	62.82	162.48	NA	NA	NA	290	15	5838
"Pferdezahn"	1875	"21 Sep 1875"	1	0.28	16.25	NA	NA	58.25	145.44	NA	NA	NA	293.5	17	7071
"Pferdezahn"	1875	"28 Sep 1875"	3	9.14	14.12	NA	NA	67.3	197.83	NA	2.69	NA	303	16	5610
"Pferdezahn"	1875	"5 Oct 1875"	5	12.44	12.5	NA	NA	56.51	180.04	NA	11.64	NA	283.5	15	5059
"Huhner"	1876	"11 May 1876"	NA	NA	NA	0.133	NA	NA	NA	NA	NA	0.133	NA	NA	NA
"Huhner"	1876	"24 May 1876"	2	6.59	9.75	0.103	0.009	NA	NA	NA	NA	0.127	3.5	NA	NA
"Huhner"	1876	"31 May 1876"	5	4.1	13	0.068	0.014	0.019	0.023	NA	NA	0.123	8	3	8
"Huhner"	1876	"7 Jun 1876"	1	0.12	15.12	0.03	0.033	0.038	0.028	NA	NA	0.127	12.7	4	15.4
"Huhner"	1876	"14 Jun 1876"	4	5.5	16.25	0.018	0.062	0.073	0.041	NA	NA	0.194	17.4	5	25.6
"Huhner"	1876	"21 Jun 1876"	5	8.85	16.88	0.017	0.081	0.198	0.099	NA	NA	0.394	24.1	6	72.2
"Huhner"	1876	"28 Jun 1876"	1	6.34	19	0.02	0.154	0.627	0.31	NA	NA	1.103	36.4	8	195.3
"Huhner"	1876	"5 Jul 1876"	5	22.95	17.62	0.008	0.216	1.744	0.998	NA	NA	2.966	53.8	10	524.3
"Huhner"	1876	"12 Jul 1876"	3	14.82	20	NA	0.44	3.368	3.682	NA	NA	7.49	77.7	12	929.8
"Huhner"	1876	"19 Jul 1876"	1	0.94	17.62	NA	0.621	4.4	8.761	1.591	NA	15.373	99	20	1156.9
"Huhner"	1876	"26 Jul 1876"	3	8.11	18.5	NA	0.918	5.088	13.767	1.546	NA	21.319	111.7	21	1379.9
"Huhner"	1876	"2 Aug 1876"	1	2.68	20.25	NA	1.331	8.056	32.17	1.574	NA	43.131	124	26	1811
"Huhner"	1876	"9 Aug 1876"	1	0.73	18.25	NA	1.415	8.341	42.033	1.406	NA	53.195	120	24	1742.7
"Huhner"	1876	"16 Aug 1876"	0	0	21.88	NA	1.512	10.727	51.288	1.429	14.675	79.631	127.7	32	2195.7
"Huhner"	1876	"23 Aug 1876"	2	3.92	21.62	NA	1.671	8.496	45.479	1.324	25.334	82.304	124.6	24	1883
"Badischer"	1876	"11 May 1876"	NA	NA	NA	0.326	NA	NA	NA	NA	NA	0.326	NA	NA	NA
"Badischer"	1876	"24 May 1876"	2	6.59	9.75	0.28	0.011	NA	NA	NA	NA	0.317	4.2	NA	NA
"Badischer"	1876	"31 May 1876"	5	4.1	13	0.209	0.022	0.022	0.02	NA	NA	0.272	7.4	3	8.4
"Badischer"	1876	"7 Jun 1876"	1	0.12	15.12	0.127	0.078	0.053	0.034	NA	NA	0.291	14.1	4	19
"Badischer"	1876	"14 Jun 1876"	4	5.5	16.25	0.09	0.105	0.105	0.064	NA	NA	0.364	19.6	5	41.4
"Badischer"	1876	"21 Jun 1876"	5	8.85	16.88	0.058	0.145	0.241	0.124	NA	NA	0.567	27.5	6	92
"Badischer"	1876	"28 Jun 1876"	1	6.34	19	0.056	0.257	1.178	0.582	NA	NA	2.073	47.5	9	350.8
"Badischer"	1876	"5 Jul 1876"	5	22.95	17.62	NA	0.499	3.291	1.865	NA	NA	5.655	30	12	987
"Badischer"	1876	"12 Jul 1876"	3	14.82	20	NA	0.694	6.409	4.048	NA	NA	11.151	92.9	13	1794.5
"Badischer"	1876	"19 Jul 1876"	1	0.94	17.62	NA	1.464	13.926	13.105	1.77	NA	30.265	126	21	3272.6
"Badischer"	1876	"26 Jul 1876"	3	8.11	18.5	NA	3.006	21.609	29.424	4.57	NA	58.609	155.6	33	4959.8
"Badischer"	1876	"2 Aug 1876"	1	2.68	20.25	NA	4.453	29.14	67.121	6.194	NA	106.908	175.4	40	6196.7
"Badischer"	1876	"9 Aug 1876"	1	0.73	18.25	NA	4.686	28.801	92.979	4.703	NA	131.169	178.3	40	5530.7
"Badischer"	1876	"16 Aug 1876"	0	0	21.88	NA	5.56	37.073	155.229	5.206	4.305	207.373	181.5	47	6666.7
"Badischer"	1876	"23 Aug 1876"	2	3.92	21.62	NA	6.498	35.148	152.117	4.028	16.455	204.436	184.8	45	6201
"Badischer"	1876	"30 Aug 1876"	6	13.29	14.5	NA	4.801	26.779	230.183	2.53	37.875	202.168	179	36	4231.4
"Badischer"	1877	"17 May 1877"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.335	NA	NA	NA
"Badischer"	1877	"29 May 1877"	NA	2.9	11.9	0.3353	NA	NA	NA	NA	NA	0.322	0.68	NA	NA
"Badischer"	1877	"5 Jun 1877"	NA	12.7	16.6	0.3106	0.0194	0.0129	0.025	NA	NA	0.282	7.2	2	5.43
"Badischer"	1877	"12 Jun 1877"	NA	21.5	19.1	0.2246	0.0604	0.1007	0.0596	NA	NA	0.288	20.2	4.6	45.7
"Badischer"	1877	"19 Jun 1877"	NA	18.1	18.7	0.067	0.1282	0.4705	0.2924	NA	NA	0.939	36.2	6.6	168.8
"Badischer"	1877	"26 Jun 1877"	NA	11.4	18.8	0.0484	0.3625	1.412	0.8156	NA	NA	2.5	54.5	8.3	477.5
"Badischer"	1877	"3 Jul 1877"	NA	5.8	18	NA	0.719	3.572	2.074	NA	NA	6.365	78.4	11.6	1060
"Badischer"	1877	"10 Jul 1877"	NA	19.6	14.7	NA	0.7877	5.906	3.944	NA	NA	10.637	91.5	10.9	1671
"Badischer"	1877	"17 Jul 1877"	NA	9.3	19	NA	1.582	12.761	10.104	NA	NA	24.447	115.2	16.9	3216
"Badischer"	1877	"24 Jul 1877"	NA	6	17.5	NA	2.019	17.789	18.948	2.652	NA	41.408	134.3	16.9	3788
"Badischer"	1877	"31 Jul 1877"	NA	17.8	18.6	NA	2.857	22.624	35.82	5.197	NA	66.498	165.2	31.7	4591
"Badischer"	1877	"7 Aug 1877"	NA	23.8	16.4	NA	3.516	24.465	55.096	5.577	NA	88.654	177.3	30.7	4934
"Badischer"	1877	"14 Aug 1877"	NA	10.9	19.3	NA	4.168	31.591	75.52	4.9	NA	119.842	183.1	40.6	5298
"Badischer"	1877	"21 Aug 1877"	NA	15	19.5	NA	4.229	26.509	88	4.392	2.31	135.532	185.4	31.2	4852
"Badischer"	1877	"28 Aug 1877"	NA	34.9	18.1	NA	3.789	22.917	85.222	4.101	7.899	140.782	184.4	30.4	4158
"Badischer"	1877	"4 Sep 1877"	NA	3.8	16.6	NA	4.646	24.845	99.782	4.158	24.9	179.973	178.9	28.6	4332
"Badischer"	1877	"11 Sep 1877"	NA	26.1	13	NA	4.509	23.251	93.478	3.791	38.535	187.795	184.2	30.4	4035
"Badischer"	1877	"18 Sep 1877"	NA	3.5	16	NA	3.277	30.075	86.344	3.67	53.981	201.293	182	27.5	NA
"Badischer"	1877	"25 Sep 1877"	NA	14.6	9.7	NA	4.627	30.414	90.778	3.249	65.744	220.709	186.1	27.7	NA
"Badischer"	1877	"2 Oct 1877"	NA	3.6	7.9	NA	4.107	29.809	74.603	3.128	63.386	199.97	181.7	26.6	NA
"Badischer"	1877	"9 Oct 1877"	NA	6.2	9	NA	4.466	31.747	68.103	2.885	71.956	204.017	180.6	24.7	NA
"Badischer"	1878	"20 May 1878"	NA	13	16.7	0.328	NA	NA	NA	NA	NA	0.328	NA	NA	NA
"Badischer"	1878	"28 May 1878"	NA	15.5	12.4	0.322	NA	NA	NA	NA	NA	0.328	0.18	NA	NA
"Badischer"	1878	"4 Jun 1878"	NA	9.3	13.6	0.257	NA	NA	NA	NA	NA	0.287	3.4	0.8	NA
"Badischer"	1878	"11 Jun 1878"	NA	12.7	15.5	0.155	0.027	0.042	0.031	NA	NA	0.255	10.6	3.3	17.9
"Badischer"	1878	"18 Jun 1878"	NA	37.2	15.1	0.101	0.051	0.092	0.064	NA	NA	0.308	17.2	4.4	29.2
"Badischer"	1878	"25 Jun 1878"	NA	4.5	17.9	0.072	0.061	0.309	0.195	NA	NA	0.637	31	6.3	124.4
"Badischer"	1878	"2 Jul 1878"	NA	0.3	19.8	0.025	0.214	1.304	0.776	NA	NA	2.319	52.2	9.2	419.2
"Badischer"	1878	"9 Jul 1878"	NA	9.8	17.1	NA	0.477	2.462	1.715	NA	NA	4.654	66.6	10	762.2
"Badischer"	1878	"16 Jul 1878"	NA	12.7	16.8	NA	0.747	4.952	3.32	NA	NA	9.019	83.6	11.2	1301
"Badischer"	1878	"23 Jul 1878"	NA	0	19.6	NA	1.248	9.254	8.443	1.056	NA	20	103.3	12	2136
"Badischer"	1878	"30 Jul 1878"	NA	7.9	19.8	NA	1.713	13.62	16.124	3.104	NA	34.56	122.8	15.4	2805
"Badischer"	1878	"6 Aug 1878"	NA	19.7	18.2	NA	2.602	16.13	32.11	6.324	NA	57.59	146.7	21.6	3384
"Badischer"	1878	"13 Aug 1878"	NA	21.4	20.1	NA	2.733	16.81	43.79	4.769	NA	70.1	157.1	23.3	3047
"Badischer"	1878	"20 Aug 1878"	NA	7.6	19.3	NA	2.563	17.03	56.14	4.134	0.562	85.17	156.9	23.4	3025
"Badischer"	1878	"27 Aug 1878"	NA	18.4	17.8	NA	2.906	17.9	72.51	2.786	3.949	111.6	155.9	23.1	2976
"Badischer"	1878	"3 Sep 1878"	NA	16.6	19	NA	3.597	16.52	72.06	2.231	13.312	124.8	157.1	19.9	2684
"Badischer"	1878	"10 Sep 1878"	NA	9.6	19.2	NA	2.565	14.7	60.99	2.299	25.031	122	153.2	17.2	2387
