"study"	"year"	"loc"	"elev"	"region"	"trt"	"yield"	"mold"	"sclerotia"
"S31"	2012	"Goianira"	737	"Northern"	"T07"	3467	12.8	910
"S31"	2012	"Goianira"	737	"Northern"	"T08"	3401	13.5	306
"S31"	2012	"Goianira"	737	"Northern"	"T09"	3648	13.4	639
"S31"	2012	"Goianira"	737	"Northern"	"T10"	3690	14.5	1123
"S31"	2012	"Goianira"	737	"Northern"	"T11"	2871	26.9	2091
"S29"	2011	"Marilandia do Sul"	868	"Southern"	"T01"	2725	15.4	5700
"S29"	2011	"Marilandia do Sul"	868	"Southern"	"T02"	2604	11.2	3100
"S29"	2011	"Marilandia do Sul"	868	"Southern"	"T03"	2902	6.1	2360
"S29"	2011	"Marilandia do Sul"	868	"Southern"	"T04"	2648	10	1760
"S29"	2011	"Marilandia do Sul"	868	"Southern"	"T05"	2652	5.4	2060
"S29"	2011	"Marilandia do Sul"	868	"Southern"	"T06"	2667	2.4	800
"S29"	2011	"Marilandia do Sul"	868	"Southern"	"T07"	2665	3.4	1100
"S29"	2011	"Marilandia do Sul"	868	"Southern"	"T08"	2725	11	2800
"S29"	2011	"Marilandia do Sul"	868	"Southern"	"T09"	3392	0	660
"S29"	2011	"Marilandia do Sul"	868	"Southern"	"T10"	2982	2.1	700
"S05"	2009	"Maua da Serra"	1029	"Southern"	"T01"	1893	69	6216
"S05"	2009	"Maua da Serra"	1029	"Southern"	"T02"	2451	39	2888
"S05"	2009	"Maua da Serra"	1029	"Southern"	"T03"	2232	41	2272
"S05"	2009	"Maua da Serra"	1029	"Southern"	"T04"	2609	39	2868
"S05"	2009	"Maua da Serra"	1029	"Southern"	"T05"	2383	40	2412
"S05"	2009	"Maua da Serra"	1029	"Southern"	"T06"	2480	40	2372
"S05"	2009	"Maua da Serra"	1029	"Southern"	"T07"	2577	44	3424
"S05"	2009	"Maua da Serra"	1029	"Southern"	"T08"	2367	43	1744
"S05"	2009	"Maua da Serra"	1029	"Southern"	"T09"	2769	26	1456
"S05"	2009	"Maua da Serra"	1029	"Southern"	"T10"	2907	29	1732
"S05"	2009	"Maua da Serra"	1029	"Southern"	"T11"	2298	30	1080
"S05"	2009	"Maua da Serra"	1029	"Southern"	"T12"	2976	34	1592
"S05"	2009	"Maua da Serra"	1029	"Southern"	"T13"	2200	44	3268
"S14"	2010	"Maua da Serra"	909	"Southern"	"T01"	1941	40.6	2606
"S14"	2010	"Maua da Serra"	909	"Southern"	"T02"	2322	24.3	1503
"S14"	2010	"Maua da Serra"	909	"Southern"	"T03"	2211	20.3	1082
"S14"	2010	"Maua da Serra"	909	"Southern"	"T04"	2627	15.6	702
"S14"	2010	"Maua da Serra"	909	"Southern"	"T05"	2327	17.5	621
"S14"	2010	"Maua da Serra"	909	"Southern"	"T06"	2470	17.2	381
"S14"	2010	"Maua da Serra"	909	"Southern"	"T07"	2324	9.4	501
"S14"	2010	"Maua da Serra"	909	"Southern"	"T08"	2777	8.1	381
"S14"	2010	"Maua da Serra"	909	"Southern"	"T09"	2899	10.9	241
"S14"	2010	"Maua da Serra"	909	"Southern"	"T10"	2334	7.5	261
"S14"	2010	"Maua da Serra"	909	"Southern"	"T11"	2937	26.9	1062
"S14"	2010	"Maua da Serra"	909	"Southern"	"T12"	2088	26.6	1042
"S21"	2010	"Maua da Serra"	909	"Southern"	"T01"	2196	33.4	2160
"S21"	2010	"Maua da Serra"	909	"Southern"	"T02"	2734	21.9	1260
"S21"	2010	"Maua da Serra"	909	"Southern"	"T03"	2690	20.3	1160
"S21"	2010	"Maua da Serra"	909	"Southern"	"T04"	2549	18.4	920
"S21"	2010	"Maua da Serra"	909	"Southern"	"T05"	2897	13.1	600
"S21"	2010	"Maua da Serra"	909	"Southern"	"T06"	2831	15	1100
"S21"	2010	"Maua da Serra"	909	"Southern"	"T07"	2792	11.6	400
"S21"	2010	"Maua da Serra"	909	"Southern"	"T08"	2620	22.5	820
"S21"	2010	"Maua da Serra"	909	"Southern"	"T09"	2409	20.9	1600
"S01"	2009	"Montividiu"	921	"Northern"	"T01"	2265	76	2194
"S01"	2009	"Montividiu"	921	"Northern"	"T02"	2618	53	1663
"S01"	2009	"Montividiu"	921	"Northern"	"T03"	2554	42	1313
"S01"	2009	"Montividiu"	921	"Northern"	"T04"	2632	37	1177
"S01"	2009	"Montividiu"	921	"Northern"	"T05"	2820	29	753
"S01"	2009	"Montividiu"	921	"Northern"	"T06"	2799	42	1343
"S01"	2009	"Montividiu"	921	"Northern"	"T07"	2503	55	1519
"S01"	2009	"Montividiu"	921	"Northern"	"T08"	2967	40	516
"S01"	2009	"Montividiu"	921	"Northern"	"T09"	2965	26	643
"S01"	2009	"Montividiu"	921	"Northern"	"T10"	3088	18	400
"S01"	2009	"Montividiu"	921	"Northern"	"T11"	3044	27	643
"S01"	2009	"Montividiu"	921	"Northern"	"T12"	2925	28	921
"S01"	2009	"Montividiu"	921	"Northern"	"T13"	2867	36	1196
"S07"	2010	"Montividiu"	921	"Northern"	"T01"	2460	90.3	2225
"S07"	2010	"Montividiu"	921	"Northern"	"T02"	3011	79.1	822
"S07"	2010	"Montividiu"	921	"Northern"	"T03"	3001	81.9	541
"S07"	2010	"Montividiu"	921	"Northern"	"T04"	3053	66.9	842
"S07"	2010	"Montividiu"	921	"Northern"	"T05"	3370	54.1	601
"S07"	2010	"Montividiu"	921	"Northern"	"T06"	3430	42.2	541
"S07"	2010	"Montividiu"	921	"Northern"	"T07"	3106	74.7	541
"S07"	2010	"Montividiu"	921	"Northern"	"T08"	3359	68.1	641
"S07"	2010	"Montividiu"	921	"Northern"	"T09"	3113	75.9	341
"S07"	2010	"Montividiu"	921	"Northern"	"T10"	3352	62.1	401
"S07"	2010	"Montividiu"	921	"Northern"	"T11"	2930	83.1	1123
"S07"	2010	"Montividiu"	921	"Northern"	"T12"	2974	73.1	822
"S15"	2010	"Montividiu"	921	"Northern"	"T01"	2511	74.7	1503
"S15"	2010	"Montividiu"	921	"Northern"	"T02"	2912	42.8	802
"S15"	2010	"Montividiu"	921	"Northern"	"T03"	3262	19.4	501
"S15"	2010	"Montividiu"	921	"Northern"	"T04"	3155	41.6	461
"S15"	2010	"Montividiu"	921	"Northern"	"T05"	3296	40	421
"S15"	2010	"Montividiu"	921	"Northern"	"T06"	2968	54.1	441
"S15"	2010	"Montividiu"	921	"Northern"	"T07"	3239	40	441
"S15"	2010	"Montividiu"	921	"Northern"	"T08"	3029	44	261
"S15"	2010	"Montividiu"	921	"Northern"	"T09"	2921	54.1	942
"S24"	2011	"Montividiu"	921	"Northern"	"T01"	3013	43.1	2926
"S24"	2011	"Montividiu"	921	"Northern"	"T02"	3182	43.1	1236
"S24"	2011	"Montividiu"	921	"Northern"	"T03"	3412	26.9	812
"S24"	2011	"Montividiu"	921	"Northern"	"T04"	3216	24.4	1066
"S24"	2011	"Montividiu"	921	"Northern"	"T05"	3319	25	462
"S24"	2011	"Montividiu"	921	"Northern"	"T06"	3566	11.9	430
"S24"	2011	"Montividiu"	921	"Northern"	"T07"	3706	3.1	182
"S24"	2011	"Montividiu"	921	"Northern"	"T08"	3664	5.8	254
"S24"	2011	"Montividiu"	921	"Northern"	"T09"	3622	5.3	188
"S24"	2011	"Montividiu"	921	"Northern"	"T10"	3506	9.7	254
"S06"	2009	"Nova Ponte"	999	"Northern"	"T01"	2476	21	8500
"S06"	2009	"Nova Ponte"	999	"Northern"	"T02"	2295	8	5833
"S06"	2009	"Nova Ponte"	999	"Northern"	"T03"	2659	18	9000
"S06"	2009	"Nova Ponte"	999	"Northern"	"T04"	2718	13	7167
"S06"	2009	"Nova Ponte"	999	"Northern"	"T05"	2439	17	7000
"S06"	2009	"Nova Ponte"	999	"Northern"	"T06"	2450	16	11000
"S06"	2009	"Nova Ponte"	999	"Northern"	"T07"	2505	16	7667
"S06"	2009	"Nova Ponte"	999	"Northern"	"T08"	2576	9	3000
"S06"	2009	"Nova Ponte"	999	"Northern"	"T09"	2585	7	3000
"S06"	2009	"Nova Ponte"	999	"Northern"	"T10"	2453	5	5000
"S06"	2009	"Nova Ponte"	999	"Northern"	"T11"	2631	5	2833
"S06"	2009	"Nova Ponte"	999	"Northern"	"T12"	2301	8	3117
"S06"	2009	"Nova Ponte"	999	"Northern"	"T13"	2576	13	5667
"S11"	2010	"Nova Ponte"	1005	"Northern"	"T01"	2940	16.5	1804
"S11"	2010	"Nova Ponte"	1005	"Northern"	"T02"	3008	9.8	2646
"S11"	2010	"Nova Ponte"	1005	"Northern"	"T03"	3273	3.1	1544
"S11"	2010	"Nova Ponte"	1005	"Northern"	"T04"	3013	7.8	1704
"S11"	2010	"Nova Ponte"	1005	"Northern"	"T05"	3207	4	2245
"S11"	2010	"Nova Ponte"	1005	"Northern"	"T06"	3185	2.9	601
"S11"	2010	"Nova Ponte"	1005	"Northern"	"T07"	3169	0.4	261
"S11"	2010	"Nova Ponte"	1005	"Northern"	"T08"	3116	0.6	341
"S11"	2010	"Nova Ponte"	1005	"Northern"	"T09"	3058	0.3	301
"S11"	2010	"Nova Ponte"	1005	"Northern"	"T10"	3427	0	381
"S11"	2010	"Nova Ponte"	1005	"Northern"	"T11"	3461	1.6	1042
"S11"	2010	"Nova Ponte"	1005	"Northern"	"T12"	3577	6.2	2947
"S35"	2012	"Palmeira"	820	"Northern"	"T01"	1451	55	NA
"S35"	2012	"Palmeira"	820	"Northern"	"T02"	1485	33.8	NA
"S35"	2012	"Palmeira"	820	"Northern"	"T03"	1728	15	NA
"S35"	2012	"Palmeira"	820	"Northern"	"T04"	1659	11.3	NA
"S35"	2012	"Palmeira"	820	"Northern"	"T05"	1729	7.5	NA
"S35"	2012	"Palmeira"	820	"Northern"	"T06"	1941	6.3	NA
"S35"	2012	"Palmeira"	820	"Northern"	"T07"	1504	18.8	NA
"S35"	2012	"Palmeira"	820	"Northern"	"T08"	1625	12.5	NA
"S35"	2012	"Palmeira"	820	"Northern"	"T09"	1667	13.8	NA
"S35"	2012	"Palmeira"	820	"Northern"	"T11"	1526	12.5	NA
"S13"	2010	"Pilar do Sul"	800	"Southern"	"T01"	3490	65	NA
"S13"	2010	"Pilar do Sul"	800	"Southern"	"T02"	4806	20	NA
"S13"	2010	"Pilar do Sul"	800	"Southern"	"T03"	4623	9	NA
"S13"	2010	"Pilar do Sul"	800	"Southern"	"T04"	3960	12.5	NA
"S13"	2010	"Pilar do Sul"	800	"Southern"	"T05"	4908	7.5	NA
"S13"	2010	"Pilar do Sul"	800	"Southern"	"T06"	4560	8.5	NA
"S13"	2010	"Pilar do Sul"	800	"Southern"	"T07"	4227	1.5	NA
"S13"	2010	"Pilar do Sul"	800	"Southern"	"T08"	3739	7.5	NA
"S13"	2010	"Pilar do Sul"	800	"Southern"	"T09"	4394	1.5	NA
"S13"	2010	"Pilar do Sul"	800	"Southern"	"T10"	4823	5	NA
"S13"	2010	"Pilar do Sul"	800	"Southern"	"T11"	4290	10	NA
"S13"	2010	"Pilar do Sul"	800	"Southern"	"T12"	4739	3	NA
"S23"	2010	"Pilar do Sul"	800	"Southern"	"T01"	4056	40	NA
"S23"	2010	"Pilar do Sul"	800	"Southern"	"T02"	4537	11.5	NA
"S23"	2010	"Pilar do Sul"	800	"Southern"	"T03"	4796	4.5	NA
"S23"	2010	"Pilar do Sul"	800	"Southern"	"T04"	4404	12.5	NA
"S23"	2010	"Pilar do Sul"	800	"Southern"	"T05"	4806	13	NA
"S23"	2010	"Pilar do Sul"	800	"Southern"	"T06"	4448	9	NA
"S23"	2010	"Pilar do Sul"	800	"Southern"	"T07"	4725	19	NA
"S23"	2010	"Pilar do Sul"	800	"Southern"	"T08"	4440	6	NA
"S23"	2010	"Pilar do Sul"	800	"Southern"	"T09"	4490	8.2	NA
"S04"	2009	"Ponta Grossa"	1021	"Southern"	"T01"	1986	17	NA
"S04"	2009	"Ponta Grossa"	1021	"Southern"	"T02"	2468	8	NA
"S04"	2009	"Ponta Grossa"	1021	"Southern"	"T03"	2349	9	NA
"S04"	2009	"Ponta Grossa"	1021	"Southern"	"T04"	2350	9	NA
"S04"	2009	"Ponta Grossa"	1021	"Southern"	"T05"	2513	9	NA
"S04"	2009	"Ponta Grossa"	1021	"Southern"	"T06"	2660	8	NA
"S04"	2009	"Ponta Grossa"	1021	"Southern"	"T07"	2499	12	NA
"S04"	2009	"Ponta Grossa"	1021	"Southern"	"T08"	2476	6	NA
"S04"	2009	"Ponta Grossa"	1021	"Southern"	"T09"	2572	6	NA
"S04"	2009	"Ponta Grossa"	1021	"Southern"	"T10"	2481	6	NA
"S04"	2009	"Ponta Grossa"	1021	"Southern"	"T11"	2325	7	NA
"S04"	2009	"Ponta Grossa"	1021	"Southern"	"T12"	2904	6	NA
"S04"	2009	"Ponta Grossa"	1021	"Southern"	"T13"	2220	7	NA
"S22"	2010	"Ponta Grossa"	1021	"Southern"	"T01"	3779.3	64.5	6940
"S22"	2010	"Ponta Grossa"	1021	"Southern"	"T02"	4665.1	0.2	180
"S22"	2010	"Ponta Grossa"	1021	"Southern"	"T03"	4412.1	5.1	0
"S22"	2010	"Ponta Grossa"	1021	"Southern"	"T04"	4877.1	1.2	100
"S22"	2010	"Ponta Grossa"	1021	"Southern"	"T05"	4906.3	0.6	200
"S22"	2010	"Ponta Grossa"	1021	"Southern"	"T06"	4705.4	2.4	40
"S22"	2010	"Ponta Grossa"	1021	"Southern"	"T07"	4725.3	0	0
"S22"	2010	"Ponta Grossa"	1021	"Southern"	"T08"	4455.1	0.5	240
"S22"	2010	"Ponta Grossa"	1021	"Southern"	"T09"	4395.2	5	300
"S28"	2011	"Ponta Grossa"	1021	"Southern"	"T01"	3652	64.5	9380
"S28"	2011	"Ponta Grossa"	1021	"Southern"	"T02"	3687	51.3	5980
"S28"	2011	"Ponta Grossa"	1021	"Southern"	"T03"	3727	46.3	5120
"S28"	2011	"Ponta Grossa"	1021	"Southern"	"T04"	3714	54.5	4290
"S28"	2011	"Ponta Grossa"	1021	"Southern"	"T05"	4013	42.5	6060
"S28"	2011	"Ponta Grossa"	1021	"Southern"	"T06"	4403	9.3	900
"S28"	2011	"Ponta Grossa"	1021	"Southern"	"T07"	4877	12.5	2050
"S28"	2011	"Ponta Grossa"	1021	"Southern"	"T08"	3793	56.5	5280
"S28"	2011	"Ponta Grossa"	1021	"Southern"	"T09"	4711	25	3270
"S28"	2011	"Ponta Grossa"	1021	"Southern"	"T10"	4437	38	6680
"S28"	2011	"Ponta Grossa"	1021	"Southern"	"T11"	3902	64	7390
"S34"	2012	"Ponta Grossa"	1021	"Southern"	"T01"	2692	20.5	NA
"S34"	2012	"Ponta Grossa"	1021	"Southern"	"T02"	2808	11.2	NA
"S34"	2012	"Ponta Grossa"	1021	"Southern"	"T03"	2802	9.25	NA
"S34"	2012	"Ponta Grossa"	1021	"Southern"	"T04"	2947	8.2	NA
"S34"	2012	"Ponta Grossa"	1021	"Southern"	"T05"	2815	5.2	NA
"S34"	2012	"Ponta Grossa"	1021	"Southern"	"T06"	3318	5.5	NA
"S34"	2012	"Ponta Grossa"	1021	"Southern"	"T07"	3077	5	NA
"S34"	2012	"Ponta Grossa"	1021	"Southern"	"T08"	3046	6.5	NA
"S34"	2012	"Ponta Grossa"	1021	"Southern"	"T09"	3299	3.5	NA
"S34"	2012	"Ponta Grossa"	1021	"Southern"	"T10"	3015	6.2	NA
"S34"	2012	"Ponta Grossa"	1021	"Southern"	"T11"	2824	11.2	NA
"S02"	2009	"Sao Miguel do Passa Quatro"	1031	"Northern"	"T01"	2257	76	1331
"S02"	2009	"Sao Miguel do Passa Quatro"	1031	"Northern"	"T02"	2393	44	756
"S02"	2009	"Sao Miguel do Passa Quatro"	1031	"Northern"	"T03"	2401	24	338
"S02"	2009	"Sao Miguel do Passa Quatro"	1031	"Northern"	"T04"	2568	33	581
"S02"	2009	"Sao Miguel do Passa Quatro"	1031	"Northern"	"T05"	2320	37	588
"S02"	2009	"Sao Miguel do Passa Quatro"	1031	"Northern"	"T06"	2308	34	231
"S02"	2009	"Sao Miguel do Passa Quatro"	1031	"Northern"	"T07"	2389	31	925
"S02"	2009	"Sao Miguel do Passa Quatro"	1031	"Northern"	"T08"	2614	16	119
"S02"	2009	"Sao Miguel do Passa Quatro"	1031	"Northern"	"T09"	2681	10	394
"S02"	2009	"Sao Miguel do Passa Quatro"	1031	"Northern"	"T10"	2694	8	206
"S02"	2009	"Sao Miguel do Passa Quatro"	1031	"Northern"	"T11"	2674	15	275
"S02"	2009	"Sao Miguel do Passa Quatro"	1031	"Northern"	"T12"	2666	7	131
"S02"	2009	"Sao Miguel do Passa Quatro"	1031	"Northern"	"T13"	2454	19	588
"S08"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T01"	3319	39.4	5653
"S08"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T02"	3428	11.4	2405
"S08"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T03"	3468	10.5	2907
"S08"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T04"	3774	8.3	1664
"S08"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T05"	4041	7.8	1002
"S08"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T06"	4069	6.1	601
"S08"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T07"	4040	4.4	401
"S08"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T08"	4107	2.2	281
"S08"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T09"	3914	5	702
"S08"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T10"	4052	3.6	341
"S08"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T11"	3387	18.9	4370
"S08"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T12"	3595	15.8	3809
"S16"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T01"	3492	36.9	4771
"S16"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T02"	4019	9.5	2225
"S16"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T03"	4051	8	1964
"S16"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T04"	4000	11.4	2546
"S16"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T05"	4236	6.1	1082
"S16"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T06"	4463	5.8	521
"S16"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T07"	4232	8.1	1944
"S16"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T08"	4111	8.1	2546
"S16"	2010	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T09"	4266	7.2	1784
"S25"	2011	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T01"	2464	31.28	1736
"S25"	2011	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T02"	3005	24.08	706
"S25"	2011	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T03"	2860	20.03	440
"S25"	2011	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T04"	2922	21.6	390
"S25"	2011	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T05"	2911	15.58	280
"S25"	2011	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T06"	3236	10.63	10
"S25"	2011	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T07"	3221	9.08	56
"S25"	2011	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T08"	3237	8.8	160
"S25"	2011	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T09"	3203	9.38	156
"S25"	2011	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T10"	2858	10.1	256
"S25"	2011	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T11"	2305	28.15	1160
"S30"	2012	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T01"	1986	42.1	3277
"S30"	2012	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T02"	2120	27.2	3062
"S30"	2012	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T03"	2300	12.8	1606
"S30"	2012	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T04"	2226	7.8	2266
"S30"	2012	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T05"	2343	7.5	1894
"S30"	2012	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T06"	2366	7.8	863
"S30"	2012	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T07"	2246	15.7	2930
"S30"	2012	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T08"	2155	8.2	1136
"S30"	2012	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T09"	2418	6.3	1178
"S30"	2012	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T10"	2542	7.6	1125
"S30"	2012	"Sao Miguel do Passa Quatro"	1027	"Northern"	"T11"	2317	16.9	1944
"S03"	2009	"Silvania"	1050	"Northern"	"T01"	2839	65	5013
"S03"	2009	"Silvania"	1050	"Northern"	"T02"	3375	33	3619
"S03"	2009	"Silvania"	1050	"Northern"	"T03"	3264	40	2325
"S03"	2009	"Silvania"	1050	"Northern"	"T04"	3301	35	2588
"S03"	2009	"Silvania"	1050	"Northern"	"T05"	3220	48	3969
"S03"	2009	"Silvania"	1050	"Northern"	"T06"	3321	31	1556
"S03"	2009	"Silvania"	1050	"Northern"	"T07"	3229	39	3175
"S03"	2009	"Silvania"	1050	"Northern"	"T08"	3517	25	1763
"S03"	2009	"Silvania"	1050	"Northern"	"T09"	3595	26	2894
"S03"	2009	"Silvania"	1050	"Northern"	"T10"	3702	21	350
"S03"	2009	"Silvania"	1050	"Northern"	"T11"	3652	23	419
"S03"	2009	"Silvania"	1050	"Northern"	"T12"	3608	25	644
"S03"	2009	"Silvania"	1050	"Northern"	"T13"	3334	33	2850
"S17"	2010	"Silvania"	1050	"Northern"	"T01"	2479	21.7	3528
"S17"	2010	"Silvania"	1050	"Northern"	"T02"	2502	6.7	702
"S17"	2010	"Silvania"	1050	"Northern"	"T03"	2571	5.8	1443
"S17"	2010	"Silvania"	1050	"Northern"	"T04"	2539	4.2	922
"S17"	2010	"Silvania"	1050	"Northern"	"T05"	2694	5	842
"S17"	2010	"Silvania"	1050	"Northern"	"T06"	2481	4.2	241
"S17"	2010	"Silvania"	1050	"Northern"	"T07"	2648	10	1644
