"row"	"col"	"yield"	"season"
10	12	659	"winter"
1	13	718	"winter"
2	13	858	"winter"
3	13	788	"winter"
4	13	674	"winter"
5	13	756	"winter"
6	13	725	"winter"
7	13	733	"winter"
8	13	739	"winter"
9	13	737	"winter"
10	13	688	"winter"
1	14	700	"winter"
2	14	605	"winter"
3	14	625	"winter"
4	14	657	"winter"
5	14	727	"winter"
6	14	687	"winter"
7	14	636	"winter"
8	14	655	"winter"
9	14	614	"winter"
10	14	621	"winter"
1	15	705	"winter"
2	15	802	"winter"
3	15	801	"winter"
4	15	659	"winter"
5	15	715	"winter"
6	15	716	"winter"
7	15	730	"winter"
8	15	679	"winter"
9	15	645	"winter"
10	15	581	"winter"
1	16	733	"winter"
2	16	721	"winter"
3	16	770	"winter"
4	16	777	"winter"
5	16	680	"winter"
6	16	725	"winter"
7	16	683	"winter"
8	16	674	"winter"
9	16	727	"winter"
10	16	696	"winter"
1	17	615	"winter"
2	17	692	"winter"
3	17	744	"winter"
4	17	709	"winter"
5	17	692	"winter"
6	17	660	"winter"
7	17	736	"winter"
8	17	692	"winter"
9	17	692	"winter"
10	17	629	"winter"
1	18	629	"winter"
2	18	615	"winter"
3	18	905	"winter"
4	18	711	"winter"
5	18	749	"winter"
6	18	734	"winter"
7	18	747	"winter"
8	18	723	"winter"
9	18	728	"winter"
10	18	725	"winter"
1	19	744	"winter"
2	19	853	"winter"
3	19	756	"winter"
4	19	750	"winter"
5	19	605	"winter"
6	19	670	"winter"
7	19	702	"winter"
8	19	646	"winter"
9	19	676	"winter"
10	19	789	"winter"
1	20	714	"winter"
2	20	712	"winter"
3	20	715	"winter"
4	20	713	"winter"
5	20	744	"winter"
6	20	550	"winter"
7	20	695	"winter"
8	20	565	"winter"
9	20	685	"winter"
10	20	698	"winter"
1	21	727	"winter"
2	21	770	"winter"
3	21	672	"winter"
4	21	701	"winter"
5	21	694	"winter"
6	21	545	"winter"
7	21	573	"winter"
8	21	722	"winter"
9	21	795	"winter"
10	21	729	"winter"
1	22	774	"winter"
2	22	752	"winter"
3	22	795	"winter"
4	22	705	"winter"
5	22	710	"winter"
6	22	506	"winter"
7	22	654	"winter"
8	22	651	"winter"
9	22	749	"winter"
10	22	768	"winter"
1	23	774	"winter"
2	23	802	"winter"
3	23	837	"winter"
4	23	611	"winter"
5	23	675	"winter"
6	23	707	"winter"
7	23	649	"winter"
8	23	769	"winter"
9	23	764	"winter"
10	23	745	"winter"
1	24	779	"winter"
2	24	870	"winter"
3	24	886	"winter"
4	24	744	"winter"
5	24	688	"winter"
6	24	704	"winter"
7	24	704	"winter"
8	24	754	"winter"
9	24	724	"winter"
10	24	787	"winter"
1	1	502	"summer"
2	1	560	"summer"
3	1	589	"summer"
4	1	605	"summer"
5	1	533	"summer"
6	1	517	"summer"
7	1	474	"summer"
8	1	428	"summer"
9	1	556	"summer"
10	1	531	"summer"
11	1	442	"summer"
12	1	487	"summer"
13	1	467	"summer"
14	1	613	"summer"
15	1	659	"summer"
16	1	552	"summer"
1	2	569	"summer"
2	2	552	"summer"
3	2	596	"summer"
4	2	661	"summer"
5	2	543	"summer"
6	2	479	"summer"
7	2	477	"summer"
8	2	559	"summer"
9	2	433	"summer"
10	2	590	"summer"
11	2	410	"summer"
12	2	532	"summer"
13	2	428	"summer"
14	2	544	"summer"
15	2	681	"summer"
16	2	602	"summer"
1	3	567	"summer"
2	3	544	"summer"
3	3	508	"summer"
4	3	567	"summer"
5	3	457	"summer"
6	3	501	"summer"
7	3	476	"summer"
8	3	442	"summer"
9	3	580	"summer"
10	3	584	"summer"
11	3	536	"summer"
12	3	513	"summer"
13	3	507	"summer"
14	3	528	"summer"
15	3	532	"summer"
16	3	651	"summer"
1	4	528	"summer"
2	4	658	"summer"
3	4	482	"summer"
4	4	493	"summer"
5	4	419	"summer"
6	4	346	"summer"
7	4	344	"summer"
8	4	423	"summer"
9	4	596	"summer"
10	4	529	"summer"
11	4	561	"summer"
12	4	525	"summer"
13	4	490	"summer"
14	4	531	"summer"
15	4	642	"summer"
16	4	514	"summer"
1	5	664	"summer"
2	5	630	"summer"
3	5	531	"summer"
4	5	410	"summer"
5	5	414	"summer"
6	5	378	"summer"
7	5	368	"summer"
8	5	488	"summer"
9	5	552	"summer"
10	5	550	"summer"
11	5	575	"summer"
12	5	468	"summer"
13	5	434	"summer"
14	5	483	"summer"
15	5	505	"summer"
16	5	591	"summer"
1	6	571	"summer"
2	6	653	"summer"
3	6	553	"summer"
4	6	492	"summer"
5	6	328	"summer"
6	6	465	"summer"
7	6	519	"summer"
8	6	468	"summer"
9	6	605	"summer"
10	6	677	"summer"
11	6	580	"summer"
12	6	507	"summer"
13	6	445	"summer"
14	6	436	"summer"
15	6	508	"summer"
16	6	554	"summer"
1	7	479	"summer"
2	7	582	"summer"
3	7	563	"summer"
4	7	499	"summer"
5	7	414	"summer"
6	7	508	"summer"
7	7	510	"summer"
8	7	510	"summer"
9	7	469	"summer"
10	7	535	"summer"
11	7	544	"summer"
12	7	775	"summer"
13	7	587	"summer"
14	7	517	"summer"
15	7	515	"summer"
16	7	575	"summer"
1	8	487	"summer"
2	8	658	"summer"
3	8	533	"summer"
4	8	536	"summer"
5	8	451	"summer"
6	8	440	"summer"
7	8	453	"summer"
8	8	499	"summer"
9	8	484	"summer"
10	8	552	"summer"
11	8	548	"summer"
12	8	568	"summer"
13	8	499	"summer"
14	8	497	"summer"
15	8	604	"summer"
16	8	632	"summer"
1	9	553	"summer"
2	9	546	"summer"
3	9	548	"summer"
4	9	615	"summer"
5	9	422	"summer"
6	9	493	"summer"
7	9	490	"summer"
8	9	487	"summer"
9	9	520	"summer"
10	9	528	"summer"
11	9	562	"summer"
12	9	586	"summer"
13	9	540	"summer"
14	9	509	"summer"
15	9	506	"summer"
16	9	637	"summer"
1	10	492	"summer"
2	10	564	"summer"
3	10	573	"summer"
4	10	616	"summer"
5	10	582	"summer"
6	10	591	"summer"
7	10	539	"summer"
8	10	628	"summer"
9	10	591	"summer"
10	10	568	"summer"
11	10	538	"summer"
12	10	527	"summer"
13	10	487	"summer"
14	10	588	"summer"
15	10	477	"summer"
16	10	630	"summer"
1	11	462	"summer"
2	11	517	"summer"
3	11	567	"summer"
4	11	613	"summer"
5	11	552	"summer"
6	11	604	"summer"
7	11	539	"summer"
8	11	528	"summer"
9	11	467	"summer"
10	11	618	"summer"
11	11	583	"summer"
12	11	571	"summer"
13	11	781	"summer"
14	11	548	"summer"
15	11	513	"summer"
16	11	590	"summer"
1	12	542	"summer"
2	12	514	"summer"
3	12	602	"summer"
4	12	587	"summer"
5	12	615	"summer"
6	12	526	"summer"
7	12	450	"summer"
8	12	424	"summer"
9	12	474	"summer"
10	12	554	"summer"
11	12	560	"summer"
12	12	617	"summer"
13	12	423	"summer"
14	12	490	"summer"
15	12	462	"summer"
16	12	507	"summer"
1	13	514	"summer"
2	13	544	"summer"
3	13	536	"summer"
4	13	652	"summer"
5	13	602	"summer"
6	13	490	"summer"
7	13	419	"summer"
8	13	503	"summer"
9	13	491	"summer"
10	13	551	"summer"
11	13	451	"summer"
12	13	564	"summer"
13	13	478	"summer"
14	13	477	"summer"
15	13	513	"summer"
16	13	532	"summer"
1	14	590	"summer"
2	14	559	"summer"
3	14	585	"summer"
4	14	612	"summer"
5	14	482	"summer"
6	14	533	"summer"
7	14	592	"summer"
8	14	555	"summer"
9	14	619	"summer"
10	14	599	"summer"
11	14	595	"summer"
12	14	599	"summer"
13	14	567	"summer"
14	14	505	"summer"
15	14	503	"summer"
16	14	476	"summer"
1	15	487	"summer"
2	15	519	"summer"
3	15	487	"summer"
4	15	570	"summer"
5	15	529	"summer"
6	15	448	"summer"
7	15	509	"summer"
8	15	504	"summer"
9	15	456	"summer"
10	15	536	"summer"
11	15	567	"summer"
12	15	549	"summer"
13	15	530	"summer"
14	15	542	"summer"
15	15	452	"summer"
16	15	532	"summer"
