"year"	"col"	"row"	"yield"
1909	2	10	768
1909	3	10	764
1909	4	10	860
1909	5	10	661
1909	6	10	740
1909	7	10	624
1909	8	10	648
1909	9	10	793
1909	10	10	742
1909	11	10	685
1909	12	10	690
1909	13	10	705
1909	14	10	632
1909	1	11	753
1909	2	11	666
1909	3	11	995
1909	4	11	787
1909	5	11	768
1909	6	11	863
1909	7	11	745
1909	8	11	806
1909	9	11	765
1909	10	11	665
1909	11	11	723
1909	12	11	713
1909	13	11	667
1909	14	11	713
1909	1	12	680
1909	2	12	843
1909	3	12	793
1909	4	12	725
1909	5	12	777
1909	6	12	680
1909	7	12	764
1909	8	12	791
1909	9	12	576
1909	10	12	621
1909	11	12	583
1909	12	12	530
1909	13	12	585
1909	14	12	585
1909	1	13	680
1909	2	13	795
1909	3	13	936
1909	4	13	664
1909	5	13	745
1909	6	13	722
1909	7	13	703
1909	8	13	629
1909	9	13	609
1909	10	13	611
1909	11	13	580
1909	12	13	568
1909	13	13	560
1909	14	13	657
1909	1	14	677
1909	2	14	763
1909	3	14	755
1909	4	14	851
1909	5	14	768
1909	6	14	723
1909	7	14	752
1909	8	14	650
1909	9	14	568
1909	10	14	623
1909	11	14	395
1909	12	14	410
1909	13	14	655
1909	14	14	495
1909	1	15	795
1909	2	15	716
1909	3	15	792
1909	4	15	690
1909	5	15	851
1909	6	15	703
1909	7	15	788
1909	8	15	679
1909	9	15	728
1909	10	15	646
1909	11	15	511
1909	12	15	478
1909	13	15	633
1909	14	15	618
1909	1	16	723
1909	2	16	741
1909	3	16	838
1909	4	16	770
1909	5	16	719
1909	6	16	756
1909	7	16	682
1909	8	16	588
1909	9	16	620
1909	10	16	617
1909	11	16	653
1909	12	16	636
1909	13	16	733
1909	14	16	652
1911	1	16	532
1911	1	15	612
1911	1	14	515
1911	1	13	553
1911	1	12	575
1911	1	11	576
1911	1	10	548
1911	1	9	550
1911	1	8	465
1911	1	7	545
1911	1	6	504
1911	1	5	582
1911	1	4	668
1911	1	3	661
1911	1	2	730
1911	1	1	575
1911	2	16	514
1911	2	15	510
1911	2	14	480
1911	2	13	542
1911	2	12	532
1911	2	11	559
1911	2	10	513
1911	2	9	463
1911	2	8	456
1911	2	7	577
1911	2	6	657
1911	2	5	596
1911	2	4	662
1911	2	3	582
1911	2	2	650
1911	2	1	495
1911	3	16	525
1911	3	15	460
1911	3	14	485
1911	3	13	583
1911	3	12	550
1911	3	11	353
1911	3	10	533
1911	3	9	550
1911	3	8	487
1911	3	7	583
1911	3	6	760
1911	3	5	595
1911	3	4	613
1911	3	3	590
1911	3	2	650
1911	3	1	502
1911	4	16	501
1911	4	15	530
1911	4	14	534
1911	4	13	524
1911	4	12	548
1911	4	11	530
1911	4	10	517
1911	4	9	540
1911	4	8	343
1911	4	7	515
1911	4	6	551
1911	4	5	622
1911	4	4	693
1911	4	3	560
1911	4	2	586
1911	4	1	584
1911	5	16	534
1911	5	15	538
1911	5	14	423
1911	5	13	420
1911	5	12	480
1911	5	11	576
1911	5	10	503
1911	5	9	497
1911	5	8	628
1911	5	7	515
1911	5	6	528
1911	5	5	644
1911	5	4	666
1911	5	3	585
1911	5	2	533
1911	5	1	716
1911	6	16	486
1911	6	15	471
1911	6	14	421
1911	6	13	436
1911	6	12	432
1911	6	11	583
1911	6	10	580
1911	6	9	424
1911	6	8	728
1911	6	7	535
1911	6	6	558
1911	6	5	541
1911	6	4	643
1911	6	3	576
1911	6	2	617
1911	6	1	725
1911	7	16	483
1911	7	15	439
1911	7	14	446
1911	7	13	428
1911	7	12	420
1911	7	11	566
1911	7	10	514
1911	7	9	519
1911	7	8	616
1911	7	7	467
1911	7	6	575
1911	7	5	584
1911	7	4	570
1911	7	3	500
1911	7	2	561
1911	7	1	563
1911	8	16	451
1911	8	15	446
1911	8	14	393
1911	8	13	400
1911	8	12	452
1911	8	11	517
1911	8	10	632
1911	8	9	606
1911	8	8	620
1911	8	7	577
1911	8	6	531
1911	8	5	673
1911	8	4	674
1911	8	3	542
1911	8	2	496
1911	8	1	477
1911	9	16	395
1911	9	15	424
1911	9	14	414
1911	9	13	383
1911	9	12	460
1911	9	11	530
1911	9	10	740
1911	9	9	756
1911	9	8	724
1911	9	7	581
1911	9	6	686
1911	9	5	676
1911	9	4	661
1911	9	3	557
1911	9	2	527
1911	9	1	513
1911	10	16	440
1911	10	15	430
1911	10	14	421
1911	10	13	434
1911	10	12	449
1911	10	11	346
1911	10	10	641
1911	10	9	656
1911	10	8	675
1911	10	7	648
1911	10	6	656
1911	10	5	712
1911	10	4	742
1911	10	3	538
1911	10	2	637
1911	10	1	649
1911	11	16	432
1911	11	15	424
1911	11	14	422
1911	11	13	395
1911	11	12	474
1911	11	11	495
1911	11	10	506
1911	11	9	584
1911	11	8	647
1911	11	7	707
1911	11	6	716
1911	11	5	666
1911	11	4	802
1911	11	3	500
1911	11	2	385
1911	11	1	547
1911	12	16	441
1911	12	15	405
1911	12	14	423
1911	12	13	421
1911	12	12	443
1911	12	11	474
1911	12	10	495
1911	12	9	623
1911	12	8	710
1911	12	7	738
1911	12	6	739
1911	12	5	688
1911	12	4	634
1911	12	3	588
1911	12	2	585
1911	12	1	488
1911	13	16	410
1911	13	15	436
1911	13	14	380
1911	13	13	490
1911	13	12	484
1911	13	11	434
1911	13	10	560
1911	13	9	599
1911	13	8	711
1911	13	7	717
1911	13	6	730
1911	13	5	639
1911	13	4	634
1911	13	3	685
1911	13	2	625
1911	13	1	512
1911	14	16	470
1911	14	15	472
1911	14	14	432
1911	14	13	467
1911	14	12	494
1911	14	11	573
1911	14	10	575
1911	14	9	695
1911	14	8	633
1911	14	7	621
1911	14	6	658
1911	14	5	555
1911	14	4	634
1911	14	3	587
1911	14	2	637
1911	14	1	426
