field	row	quadrat	disease	water	leaf
F1	6	4	N	11.03	0
F1	6	5	Y	10.41	0
F1	6	6	N	9.65	0
F1	6	7	N	9.09	0
F1	6	8	N	9.48	0
F1	6	9	Y	8.96	0
F1	6	10	Y	9.05	0
F1	6	11	Y	9.53	5
F1	6	12	Y	8.38	0
F1	6	13	N	8.58	0
F1	6	14	N	8.8	0
F1	6	15	N	8.55	1
F1	6	16	N	8.44	0
F1	6	17	N	8.01	0
F1	6	18	Y	8.75	0
F1	6	19	N	8.72	0
F1	6	20	Y	8.18	0
F1	7	1	Y	NA	2
F1	7	2	N	14.73	0
F1	7	3	N	12.4	0
F1	7	4	Y	12.57	0
F1	7	5	N	11.42	0
F1	7	6	N	11.58	0
F1	7	7	Y	11.02	0
F1	7	8	N	10.69	0
F1	7	9	N	10.61	2
F1	7	10	Y	10.68	4
F1	7	11	Y	10.25	0
F1	7	12	Y	11.03	5
F1	7	13	Y	10.3	0
F1	7	14	Y	10.15	0
F1	7	15	N	10.21	0
F1	7	16	N	9.36	0
F1	7	17	N	9.38	0
F1	7	18	N	8.81	0
F1	7	19	N	9.64	0
F1	7	20	N	9.86	0
F1	8	1	N	11.68	5
F1	8	2	N	12.89	4
F1	8	3	N	12.63	5
F1	8	4	N	12.25	4
F1	8	5	N	11.66	0
F1	8	6	Y	11.19	0
F1	8	7	Y	10.35	0
F1	8	8	Y	9.59	0
F1	8	9	N	8.91	1
F1	8	10	N	9.67	3
F1	8	11	Y	9.34	0
F1	8	12	Y	9.81	0
F1	8	13	N	9.46	0
F1	8	14	N	8.65	0
F1	8	15	N	9.77	0
F1	8	16	N	9.11	0
F1	8	17	N	8.87	0
F1	8	18	Y	9.4	0
F1	8	19	N	8.71	0
F1	8	20	N	8.32	0
F1	9	1	Y	12.44	0
F1	9	2	Y	14.07	0
F1	9	3	Y	13.51	0
F1	9	4	Y	14.12	3
F1	9	5	Y	12.5	0
F1	9	6	N	12.01	3
F1	9	7	N	10.79	0
F1	9	8	N	10.29	0
F1	9	9	N	10.5	0
F1	9	10	N	9.82	0
F1	9	11	N	9.58	0
F1	9	12	N	9.33	0
F1	9	13	N	9.24	0
F1	9	14	N	9.79	0
F1	9	15	N	9.17	0
F1	9	16	N	9.17	0
F1	9	17	N	9.41	0
F1	9	18	N	9.07	0
F1	9	19	Y	9.34	0
F1	9	20	N	8.89	0
F1	10	1	Y	13.42	4
F1	10	2	Y	13.41	1
F1	10	3	N	12.67	3
F1	10	4	Y	14.15	3
F1	10	5	N	13.53	0
F1	10	6	N	NA	2
F1	10	7	N	12.13	4
F1	10	8	N	12.34	0
F1	10	9	Y	10.84	3
F1	10	10	N	11.43	0
F1	10	11	Y	10.51	0
F1	10	12	N	10.73	0
F1	10	13	N	10.92	0
F1	10	14	N	10.29	0
F1	10	15	N	9.9	0
F1	10	16	N	10	0
F1	10	17	N	9.93	0
F1	10	18	N	9.69	0
F1	10	19	Y	10.38	0
F1	10	20	N	9.64	0
F1	11	1	N	12.57	0
F1	11	2	N	12.18	0
F1	11	3	N	12.19	0
F1	11	4	N	12.24	0
F1	11	5	N	11.31	0
F1	11	6	N	17.64	0
F1	11	7	Y	12.25	0
F1	11	8	N	11.26	0
F1	11	9	N	10.23	0
F1	11	10	N	10.21	0
F1	11	11	N	9.69	0
F1	11	12	N	10.12	0
F1	11	13	N	9.57	0
F1	11	14	N	9.74	0
F1	11	15	N	10.35	0
F1	11	16	N	8.97	0
F1	11	17	N	9.43	0
F1	11	18	N	9.35	0
F1	11	19	N	9.55	0
F1	11	20	N	9.53	0
F1	12	1	N	10.85	0
F1	12	2	N	11.74	0
F1	12	3	N	12	0
F1	12	4	N	11.97	5
F1	12	5	N	12.03	0
F1	12	6	N	10.82	0
F1	12	7	N	10.91	3
F1	12	8	N	10.57	0
F1	12	9	N	10.18	4
F1	12	10	Y	10.51	0
F1	12	11	N	10.36	1
F1	12	12	N	10.67	1
F1	12	13	N	10.25	2
F1	12	14	N	10.18	0
F1	12	15	N	8.9	0
F1	12	16	N	9.3	0
F1	12	17	N	10.04	0
F1	12	18	N	9.63	0
F1	12	19	N	10.27	0
F1	12	20	N	9.36	0
F1	13	1	Y	NA	0
F1	13	2	Y	11.07	0
F1	13	3	N	10.85	1
F1	13	4	Y	10.85	0
F1	13	5	N	11.13	0
F1	13	6	N	10.62	0
F1	13	7	N	10.94	0
F1	13	8	N	10.61	0
F1	13	9	N	9.42	0
F1	13	10	N	9.96	0
F1	13	11	N	9.39	0
F1	13	12	N	8.98	0
F1	13	13	N	8.71	0
F1	13	14	N	8.87	0
F1	13	15	N	9.87	0
F1	13	16	N	9.57	0
F1	13	17	N	9.83	2
F1	13	18	N	8.5	0
F1	13	19	N	8.94	0
F1	13	20	N	8.68	0
F1	14	1	Y	10.37	2
F1	14	2	N	10.48	4
F1	14	3	Y	10.48	0
F1	14	4	N	10.05	0
F1	14	5	N	9.76	0
F1	14	6	N	10.79	0
F1	14	7	N	10.05	0
F1	14	8	N	9.74	0
F1	14	9	N	9.25	0
F1	14	10	N	9.1	1
F1	14	11	Y	9	0
F1	14	12	N	9.32	0
F1	14	13	Y	9.01	0
F1	14	14	N	8.59	0
F1	14	15	N	8.97	0
F1	14	16	N	8.86	0
F1	14	17	N	9.11	0
F1	14	18	N	9.2	0
F1	14	19	N	8.7	0
F1	14	20	N	8.56	0
F1	15	1	N	10.8	2
F1	15	2	N	11.49	0
F1	15	3	N	10.86	0
F1	15	4	N	10.75	0
F1	15	5	N	10.31	0
F1	15	6	N	9.58	0
F1	15	7	N	10.28	0
F1	15	8	N	10.18	0
F1	15	9	N	9.68	1
F1	15	10	N	9.85	0
F1	15	11	N	10.65	0
F1	15	12	Y	10.06	3
F1	15	13	N	9.8	0
F1	15	14	N	9.66	0
F1	15	15	Y	9.37	0
F1	15	16	N	9.48	0
F1	15	17	N	8.87	0
F1	15	18	N	10.29	0
F1	15	19	N	10.53	0
F1	15	20	N	10.88	0
F1	16	1	N	9.81	0
F1	16	2	N	11.01	0
F1	16	3	N	9.84	0
F1	16	4	N	10.53	1
F1	16	5	N	10.02	0
F1	16	6	N	9.52	0
F1	16	7	N	10.79	0
F1	16	8	N	10.3	0
F1	16	9	N	10.79	0
F1	16	10	N	10.54	0
F1	16	11	N	10.49	0
F1	16	12	N	9.72	0
F1	16	13	N	11.16	0
F1	16	14	N	9.17	0
F1	16	15	N	9.67	0
F1	16	16	N	10.06	0
F1	16	17	N	8.79	0
F1	16	18	N	9	0
F1	16	19	N	9.38	0
F1	16	20	N	9.15	0
F1	17	1	N	9.75	0
F1	17	2	N	10.03	0
F1	17	3	N	9.95	0
F1	17	4	N	10.89	0
F1	17	5	N	11.11	0
F1	17	6	N	11.23	0
F1	17	7	N	13.57	0
F1	17	8	N	11.81	0
F1	17	9	N	10.86	0
F1	17	10	N	11.42	0
F1	17	11	N	11.61	0
F1	17	12	N	11.11	0
F1	17	13	N	12.2	0
F1	17	14	N	11.38	0
F1	17	15	N	10.58	0
F1	17	16	N	10.27	0
F1	17	17	N	9.87	0
F1	17	18	N	10.03	0
F1	17	19	N	10.43	0
F1	17	20	N	11.96	0
F1	18	1	N	9.98	0
F1	18	2	N	9.61	0
F1	18	3	N	9.78	0
F1	18	4	N	10.7	0
F1	18	5	N	11.1	0
F1	18	6	N	12.27	0
F1	18	7	N	11.34	0
F1	18	8	N	13.84	0
F1	18	9	N	11.4	0
F1	18	10	N	11.72	0
F1	18	11	N	11.85	0
F1	18	12	N	11.07	0
F1	18	13	N	11.78	0
F1	18	14	N	10.59	0
F1	18	15	N	10.85	0
F1	18	16	N	10.12	0
F1	18	17	N	10.45	0
F1	18	18	N	9.9	0
F1	18	19	N	10.49	0
F1	18	20	N	9.61	0
F1	19	1	N	9.67	0
F1	19	2	N	10.54	0
F1	19	3	N	10.75	1
F1	19	4	N	NA	0
F1	19	5	N	10.06	0
F1	19	6	N	10.98	0
F1	19	7	N	13.14	0
F1	19	8	N	10.95	0
F1	19	9	N	11.15	0
F1	19	10	N	11.15	0
F1	19	11	N	11.41	0
F1	19	12	N	10.53	0
F1	19	13	N	10.66	0
F1	19	14	N	11.02	0
F1	19	15	N	10.43	0
F1	19	16	N	10.29	0
F1	19	17	N	10.07	0
F1	19	18	N	9.76	0
F1	19	19	N	9.17	0
F1	19	20	N	9.33	0
F1	20	1	N	9.17	0
F1	20	2	N	10.17	0
F1	20	3	N	9.73	0
F1	20	4	N	10.19	0
F1	20	5	N	10.63	0
F1	20	6	N	10.95	0
F1	20	7	N	12.2	0
F1	20	8	N	12.09	0
F1	20	9	N	11.66	0
F1	20	10	N	25.84	0
F1	20	11	N	11.22	0
F1	20	12	N	11.28	0
F1	20	13	N	12.11	0
F1	20	14	N	11.6	0
F1	20	15	N	10.55	0
F1	20	16	N	11.45	0
F1	20	17	N	10.43	0
F1	20	18	N	9.45	0
F1	20	19	N	10.24	0
F1	20	20	N	9.17	0
F2	1	1	Y	12.05	4
F2	1	2	Y	12.07	1
F2	1	3	Y	13.87	0
F2	1	4	Y	14.14	1
F2	1	5	Y	15.07	0
F2	1	6	Y	13.87	2
F2	1	7	N	14.23	0
F2	1	8	Y	14.31	0
F2	1	9	N	13.75	0
F2	1	10	N	13.77	0
F2	1	11	N	12.62	0
F2	1	12	N	12.5	0
F2	1	13	N	11.87	0
F2	1	14	N	10.12	0
F2	1	15	N	10.16	1
F2	1	16	N	8.86	1
F2	1	17	N	8.38	0
F2	1	18	N	8.38	1
F2	1	19	N	7.48	0
F2	1	20	N	7.72	0
F2	2	1	Y	11.25	0
F2	2	2	Y	13.02	5
F2	2	3	Y	13.39	5
F2	2	4	Y	13.57	0
F2	2	5	Y	13.87	0
F2	2	6	Y	13.4	0
F2	2	7	N	14.75	4
F2	2	8	N	13.32	0
F2	2	9	Y	13.98	0
F2	2	10	N	13.26	0
F2	2	11	N	12.21	0
F2	2	12	N	11.13	0
F2	2	13	N	10.65	0
F2	2	14	N	9.15	0
F2	2	15	N	8.05	0
F2	2	16	N	7.46	0
F2	2	17	N	7.09	0
F2	2	18	N	7.34	0
F2	2	19	N	8.03	0
F2	2	20	N	7.05	0
F2	3	1	Y	13.86	0
F2	3	2	Y	13.17	0
F2	3	3	Y	13.37	0
F2	3	4	Y	13.49	0
F2	3	5	Y	13.28	4
F2	3	6	Y	12.6	2
F2	3	7	N	12.63	0
F2	3	8	N	12.69	0
F2	3	9	N	12.42	2
F2	3	10	N	11.31	1
F2	3	11	N	11.26	2
F2	3	12	N	10.39	0
F2	3	13	N	8.94	0
F2	3	14	N	8.83	2
F2	3	15	N	7.29	0
F2	3	16	N	7.28	0
F2	3	17	N	7.4	0
F2	3	18	N	7.55	1
F2	3	19	N	7.53	0
F2	3	20	N	6.81	0
F2	4	1	Y	12.76	1
F2	4	2	Y	12.85	2
F2	4	3	Y	12.6	1
F2	4	4	Y	13.48	0
F2	4	5	Y	14.29	1
F2	4	6	Y	12.55	0
F2	4	7	Y	12.76	0
F2	4	8	N	11.33	1
F2	4	9	N	11.88	1
F2	4	10	Y	11.78	2
F2	4	11	N	14.9	1
F2	4	12	N	9.91	0
F2	4	13	N	9.74	1
F2	4	14	N	8.62	0
F2	4	15	N	7.74	0
F2	4	16	N	7.55	0
F2	4	17	N	7.66	1
F2	4	18	N	7.79	2
F2	4	19	N	7.14	1
F2	4	20	N	7.74	0
F2	5	1	Y	12.21	1
F2	5	2	Y	13.47	3
F2	5	3	Y	12.73	3
F2	5	4	Y	26	3
F2	5	5	Y	12.28	3
F2	5	6	Y	12.88	2
F2	5	7	N	11.73	1
F2	5	8	Y	11.13	5
F2	5	9	N	10.68	0
F2	5	10	N	10.97	1
F2	5	11	N	9.66	1
F2	5	12	Y	9.86	1
F2	5	13	N	8.51	0
F2	5	14	N	8.21	0
F2	5	15	N	8.14	3
F2	5	16	N	8.23	0
F2	5	17	N	7.61	3
F2	5	18	N	7.33	0
F2	5	19	N	7.17	0
F2	5	20	N	6.94	1
F2	6	1	Y	13.26	1
F2	6	2	Y	11.82	0
F2	6	3	Y	14.11	0
F2	6	4	Y	12.13	1
F2	6	5	Y	12.36	1
F2	6	6	N	10.71	0
F2	6	7	N	10.77	2
F2	6	8	N	10.04	0
F2	6	9	N	9.68	3
F2	6	10	N	9.6	0
F2	6	11	N	9.15	0
F2	6	12	N	9.08	0
F2	6	13	N	8.6	0
F2	6	14	N	8.92	1
F2	6	15	N	8.14	0
F2	6	16	N	7.39	4
F2	6	17	N	7.54	0
F2	6	18	N	7.56	5
F2	6	19	N	7.72	0
F2	6	20	N	7.2	0
F2	7	1	N	12.57	0
F2	7	2	Y	11.95	1
F2	7	3	N	12.35	2
F2	7	4	N	11.21	0
F2	7	5	N	10.89	0
F2	7	6	N	11.43	0
F2	7	7	N	9.41	0
F2	7	8	N	10.39	1
F2	7	9	N	9.55	0
F2	7	10	N	9.47	0
F2	7	11	N	9.59	0
F2	7	12	N	10.48	0
F2	7	13	N	8.26	0
F2	7	14	N	9.01	1
F2	7	15	N	8.48	0
F2	7	16	N	7.1	0
F2	7	17	N	7.76	0
F2	7	18	N	7.89	0
F2	7	19	N	7.82	0
F2	7	20	N	7.62	1
F2	8	1	N	11.52	1
F2	8	2	N	12.14	0
F2	8	3	N	10.95	0
F2	8	4	N	11.46	1
F2	8	5	N	11.01	0
F2	8	6	N	10.74	0
F2	8	7	N	10.98	0
F2	8	8	N	9.98	0
F2	8	9	N	10.16	0
F2	8	10	N	9.96	3
F2	8	11	N	8.71	0
F2	8	12	N	8.99	0
F2	8	13	N	9.8	0
F2	8	14	N	8.9	1
F2	8	15	N	9.68	0
F2	8	16	N	8.4	0
F2	8	17	N	8.32	3
F2	8	18	N	8.08	0
F2	8	19	N	NA	0
F2	8	20	N	7.62	5
F2	9	1	N	11.67	0
F2	9	2	N	NA	1
F2	9	3	Y	10.75	2
F2	9	4	N	9.49	1
F2	9	5	N	10.04	4
F2	9	6	N	9.96	0
F2	9	7	N	10.46	1
F2	9	8	N	9.42	1
F2	9	9	N	8.94	0
F2	9	10	N	8.58	0
F2	9	11	N	8.53	0
F2	9	12	N	NA	0
F2	9	13	N	7.21	0
F2	9	14	N	NA	1
F2	9	15	N	7.36	2
F2	9	16	N	7.93	0
F2	9	17	N	6.83	0
F2	9	18	N	7.69	1
F2	9	19	N	7.08	0
F2	9	20	N	7.52	2
F2	10	1	N	10.12	0
F2	10	2	N	10.15	2
F2	10	3	N	9.74	1
F2	10	4	Y	9.81	1
F2	10	5	N	10.32	0
F2	10	6	N	10.08	0
F2	10	7	N	10.89	0
F2	10	8	N	9.94	2
F2	10	9	N	9.68	0
F2	10	10	N	9.46	0
F2	10	11	Y	9.65	4
F2	10	12	N	9.67	1
F2	10	13	N	8.35	0
F2	10	14	N	8.48	0
F2	10	15	N	8.41	1
F2	10	16	N	8.43	5
F2	10	17	N	8.51	0
F2	10	18	N	7.74	0
F2	10	19	N	8.41	0
F2	10	20	N	8	2
F2	11	1	N	8.68	5
F2	11	2	N	8.67	1
F2	11	3	N	7.6	3
F2	11	4	Y	9.6	0
F2	11	5	N	8.17	3
F2	11	6	N	7.97	4
F2	11	7	Y	12.57	0
F2	11	8	N	7.62	2
F2	11	9	N	7.03	0
F2	11	10	N	7.06	0
F2	11	11	N	7.2	0
F2	11	12	N	6.19	0
F2	11	13	N	7.69	1
F2	11	14	N	6.51	1
F2	11	15	N	6.08	4
F2	11	16	N	5.54	1
F2	11	17	N	5.87	3
F2	11	18	N	6.64	4
F2	11	19	N	6.99	1
F2	11	20	N	7.45	1
F2	12	1	Y	9.22	0
F2	12	2	N	7.86	5
F2	12	3	Y	8.4	5
F2	12	4	N	8.1	1
F2	12	5	N	8.45	0
F2	12	6	Y	8.45	1
F2	12	7	N	8.61	0
F2	12	8	Y	9.28	0
F2	12	9	N	7.88	0
F2	12	10	N	7.98	3
F2	12	11	N	7.41	0
F2	12	12	N	6.99	0
F2	12	13	N	7.01	1
F2	12	14	Y	6.73	1
F2	12	15	N	6.56	5
F2	12	16	N	6.46	0
F2	12	17	Y	6.48	0
F2	12	18	Y	6.95	5
F2	12	19	N	6.64	3
F2	12	20	N	6.21	5
F2	13	1	N	8.93	1
F2	13	2	N	8.87	1
F2	13	3	N	7.86	1
F2	13	4	N	7.76	1
F2	13	5	N	7.53	5
F2	13	6	Y	8.4	0
F2	13	7	Y	8.47	3
F2	13	8	N	8.11	2
F2	13	9	Y	8.68	2
F2	13	10	N	8.27	1
F2	13	11	N	7.58	2
F2	13	12	N	6.83	2
F2	13	13	N	7.02	1
F2	13	14	N	7.51	0
F2	13	15	N	7.16	2
F2	13	16	N	6.59	2
F2	13	17	N	7.12	5
F2	13	18	N	5.94	0
F2	13	19	N	6.56	4
F2	13	20	N	6.1	0
F2	14	1	N	8.71	5
F2	14	2	N	7.4	1
F2	14	3	Y	8.37	1
F2	14	4	N	8.44	1
F2	14	5	N	8.24	4
F2	14	6	N	7.47	0
F2	14	7	N	7.92	0
F2	14	8	N	8.05	0
F2	14	9	N	7.52	0
F2	14	10	N	7.64	1
F2	14	11	N	7.77	4
F2	14	12	N	7.21	1
F2	14	13	N	6.95	0
F2	14	14	N	6.71	2
F2	14	15	N	6.62	0
F2	14	16	N	6.23	3
F2	14	17	N	7.31	1
F2	14	18	N	6.92	0
F2	14	19	N	6.36	3
F2	14	20	N	6.02	5
F2	15	1	N	7.92	5
F2	15	2	N	9.01	2
F2	15	3	N	8.97	0
F2	15	4	N	8.26	3
F2	15	5	N	7.65	1
F2	15	6	N	7.25	3
F2	15	7	N	7.27	1
F2	15	8	N	8	0
F2	15	9	N	7.33	0
F2	15	10	N	6.85	0
F2	15	11	N	7.24	1
F2	15	12	N	7.09	0
F2	15	13	N	6.43	5
F2	15	14	N	6.85	0
F2	15	15	N	5.82	0
F2	15	16	N	5.33	0
F2	15	17	N	6.04	0
F2	15	18	N	5.79	0
F2	15	19	N	5.53	0
F2	15	20	N	5.58	1
F2	16	1	Y	9.34	1
F2	16	2	N	8.21	3
F2	16	3	Y	9.88	0
F2	16	4	N	8.33	4
F2	16	5	N	8.3	0
F2	16	6	N	8	0
F2	16	7	N	10.51	0
F2	16	8	N	8.08	1
F2	16	9	N	7.9	0
F2	16	10	N	7.47	0
F2	16	11	N	7.87	1
F2	16	12	N	7.71	1
F2	16	13	N	7.07	1
F2	16	14	N	7.2	2
F2	16	15	N	6.63	3
F2	16	16	N	6.94	0
F2	16	17	N	6.58	0
F2	16	18	N	6.33	2
F2	16	19	N	6.38	0
F2	16	20	N	6.55	1
F2	17	1	N	8.38	0
F2	17	2	N	8.14	0
F2	17	3	N	8.49	0
F2	17	4	N	8.17	0
F2	17	5	N	7.46	1
F2	17	6	N	7	0
F2	17	7	N	7.6	0
F2	17	8	N	7.18	0
F2	17	9	N	6.75	0
F2	17	10	N	5.81	0
F2	17	11	N	6.4	0
F2	17	12	N	6.37	0
F2	17	13	N	6.19	0
F2	17	14	N	5.88	0
F2	17	15	N	6.77	0
F2	17	16	N	7.05	0
F2	17	17	N	5.69	0
F2	17	18	N	5.29	0
F2	17	19	N	5.23	0
F2	17	20	N	5.92	4
F2	18	1	N	8.25	1
F2	18	2	N	8.64	1
F2	18	3	N	10.06	1
F2	18	4	N	8.79	0
F2	18	5	N	8.79	0
F2	18	6	N	8.37	0
F2	18	7	N	9.45	2
F2	18	8	N	8.01	0
F2	18	9	N	8.66	1
F2	18	10	N	7.79	0
F2	18	11	N	6.92	0
F2	18	12	N	7.77	0
F2	18	13	N	6.84	1
F2	18	14	N	7.12	0
F2	18	15	N	7.37	0
F2	18	16	N	7.81	0
F2	18	17	N	7.62	0
F2	18	18	N	6.99	0
F2	18	19	N	7.25	0
F2	18	20	N	6.38	0
F2	19	1	N	7.39	0
F2	19	2	N	7.61	0
F2	19	3	N	8.42	0
F2	19	4	N	8.06	0
F2	19	5	N	8.59	0
F2	19	6	N	8.18	0
F2	19	7	N	8.22	0
F2	19	8	N	7.74	0
F2	19	9	N	8.22	4
F2	19	10	N	8.03	0
F2	19	11	N	7.41	1
F2	19	12	N	8.12	0
F2	19	13	N	7.49	1
F2	19	14	N	6.17	2
F2	19	15	N	6.44	4
F2	19	16	N	6.67	1
F2	19	17	N	6.52	0
F2	19	18	N	6.45	1
F2	19	19	N	7.01	0
F2	19	20	N	6.83	1
F2	20	1	N	7.02	0
F2	20	2	N	9.63	0
F2	20	3	N	6.92	0
F2	20	4	N	6.98	0
F2	20	5	N	7.97	0
F2	20	6	N	6.73	0
F2	20	7	N	7.53	0
F2	20	8	N	6.38	0
F2	20	9	Y	6.73	0
F2	20	10	N	7.16	0
F2	20	11	N	6.69	0
F2	20	12	N	6.34	0
F2	20	13	N	6.27	0
F2	20	14	N	6.11	0
F2	20	15	N	5.64	0
F2	20	16	N	6.64	2
F2	20	17	N	6.56	0
F2	20	18	N	5.65	0
F2	20	19	N	5.94	0
F2	20	20	N	5.59	1
