x	y	rep	fert	gen	group	yield
9	22	R3	F1	G38	S3	2.848
9	13	R3	F2	G38	S3	4.509
2	21	R1	F1	G39	S3	4.262
1	10	R1	F2	G39	S3	4.852
4	7	R2	F1	G39	S3	3.197
5	16	R2	F2	G39	S3	4.53
9	16	R3	F1	G39	S3	3.68
9	5	R3	F2	G39	S3	4.371
2	17	R1	F1	G40	S3	4.256
1	14	R1	F2	G40	S3	5.409
4	15	R2	F1	G40	S3	3.091
5	18	R2	F2	G40	S3	4.533
9	19	R3	F1	G40	S3	3.751
9	9	R3	F2	G40	S3	5.134
2	20	R1	F1	G41	S3	4.501
1	12	R1	F2	G41	S3	5.659
4	12	R2	F1	G41	S3	3.77
5	23	R2	F2	G41	S3	5.05
9	23	R3	F1	G41	S3	3.825
9	2	R3	F2	G41	S3	4.776
2	24	R1	F1	G42	S3	4.334
1	1	R1	F2	G42	S3	5.121
4	9	R2	F1	G42	S3	3.666
5	29	R2	F2	G42	S3	5.156
9	17	R3	F1	G42	S3	4.222
9	3	R3	F2	G42	S3	5.229
2	28	R1	F1	G43	S3	4.416
1	15	R1	F2	G43	S3	4.785
4	14	R2	F1	G43	S3	3.824
5	17	R2	F2	G43	S3	4.969
9	27	R3	F1	G43	S3	3.096
9	11	R3	F2	G43	S3	4.87
2	18	R1	F1	G44	S3	3.578
1	7	R1	F2	G44	S3	4.664
4	3	R2	F1	G44	S3	3.252
5	21	R2	F2	G44	S3	5.582
9	30	R3	F1	G44	S3	4.091
9	4	R3	F2	G44	S3	4.362
2	16	R1	F1	G45	S3	4.27
1	13	R1	F2	G45	S3	4.993
4	4	R2	F1	G45	S3	3.896
5	24	R2	F2	G45	S3	5.827
9	28	R3	F1	G45	S3	4.312
9	6	R3	F2	G45	S3	4.918
