"year"	"plot"	"range"	"yield"	"total"
1907	17	3	75.5	222
1905	18	3	106	287
1906	18	3	95.75	228
1907	18	3	99	284
1905	19	3	146	346
1906	19	3	91	216
1907	19	3	89.5	270
1905	20	3	142	407
1906	20	3	104.5	240
1907	20	3	116	334
1905	21	3	NA	NA
1906	21	3	NA	NA
1907	21	3	NA	NA
1905	22	3	NA	NA
1906	22	3	NA	NA
1907	22	3	NA	NA
1905	1	4	361	1116
1906	1	4	259	664
1907	1	4	254.75	708
1905	2	4	252	870
1906	2	4	218.5	556
1907	2	4	225.25	620
1905	3	4	279	860
1906	3	4	207	570
1907	3	4	221.5	640
1905	4	4	249	684
1906	4	4	155	400
1907	4	4	189.25	536
1905	5	4	174	513
1906	5	4	96	234
1907	5	4	174.25	506
1905	6	4	199	563
1906	6	4	85.5	196
1907	6	4	171.5	500
1905	7	4	130	NA
1906	7	4	79.5	NA
1907	7	4	147.5	NA
1905	8	4	167	NA
1906	8	4	87.5	NA
1907	8	4	158	NA
1905	9	4	172	NA
1906	9	4	90.75	NA
1907	9	4	162.75	NA
1905	10	4	178	NA
1906	10	4	95.25	NA
1907	10	4	142.5	NA
1905	11	4	NA	NA
1906	11	4	NA	NA
1907	11	4	NA	NA
1905	12	4	NA	NA
1906	12	4	NA	NA
1907	12	4	NA	NA
1905	13	4	NA	NA
1906	13	4	NA	NA
1907	13	4	NA	NA
1905	14	4	NA	NA
1906	14	4	NA	NA
1907	14	4	NA	NA
1905	15	4	NA	NA
1906	15	4	NA	NA
1907	15	4	NA	NA
1905	16	4	NA	NA
1906	16	4	NA	NA
1907	16	4	NA	NA
1905	17	4	188	420
1906	17	4	148.5	354
1907	17	4	51	158
1905	18	4	129	371
1906	18	4	139	318
1907	18	4	87	272
1905	19	4	177	340
1906	19	4	127	280
1907	19	4	82.75	250
1905	20	4	165	448
1906	20	4	153.5	360
1907	20	4	85.75	266
1905	21	4	149	329
1906	21	4	123	286
1907	21	4	82	242
1905	22	4	NA	NA
1906	22	4	NA	NA
1907	22	4	NA	NA
1905	1	5	246	825
1906	1	5	195.25	558
1907	1	5	198.75	622
1905	2	5	262	887
1906	2	5	205	550
1907	2	5	233.5	650
1905	3	5	253	773
1906	3	5	156.5	430
1907	3	5	242	646
1905	4	5	166	684
1906	4	5	133.75	326
1907	4	5	208.25	590
1905	5	5	262	652
1906	5	5	146	364
1907	5	5	208.25	584
1905	6	5	253	645
1906	6	5	118	288
1907	6	5	205.5	554
1905	7	5	193	670
1906	7	5	129.5	316
1907	7	5	179.75	492
1905	8	5	NA	NA
1906	8	5	NA	NA
1907	8	5	NA	NA
1905	9	5	NA	NA
1906	9	5	NA	NA
1907	9	5	NA	NA
1905	10	5	NA	NA
1906	10	5	NA	NA
1907	10	5	NA	NA
1905	11	5	NA	NA
1906	11	5	NA	NA
1907	11	5	NA	NA
1905	12	5	NA	NA
1906	12	5	NA	NA
1907	12	5	NA	NA
1905	13	5	NA	NA
1906	13	5	NA	NA
1907	13	5	NA	NA
1905	14	5	NA	NA
1906	14	5	NA	NA
1907	14	5	NA	NA
1905	15	5	NA	NA
1906	15	5	NA	NA
1907	15	5	NA	NA
1905	16	5	NA	NA
1906	16	5	NA	NA
1907	16	5	NA	NA
1905	17	5	NA	NA
1906	17	5	NA	NA
1907	17	5	NA	NA
1905	18	5	191	474
1906	18	5	171	402
1907	18	5	119.25	396
1905	19	5	141	417
1906	19	5	141.5	322
1907	19	5	122.5	394
1905	20	5	155	327
1906	20	5	138	304
1907	20	5	82.25	252
1905	21	5	154	312
1906	21	5	136.5	312
1907	21	5	92.5	286
1905	22	5	NA	NA
1906	22	5	NA	NA
1907	22	5	NA	NA
1905	1	6	205	560
1906	1	6	82.5	236
1907	1	6	173	476
1905	2	6	208	637
1906	2	6	58.5	174
1907	2	6	180.5	520
1905	3	6	173	504
1906	3	6	84	240
1907	3	6	186.75	516
1905	4	6	206	628
1906	4	6	106.25	294
1907	4	6	204.5	532
1905	5	6	226	688
1906	5	6	133	354
1907	5	6	220	580
1905	6	6	226	655
1906	6	6	139.5	386
1907	6	6	227.5	586
1905	7	6	231	798
1906	7	6	176	480
1907	7	6	202.75	592
1905	8	6	248	940
1906	8	6	224	596
1907	8	6	256.75	726
1905	9	6	241	1044
1906	9	6	232	604
1907	9	6	250.25	710
1905	10	6	253	994
1906	10	6	262	656
1907	10	6	220.75	652
1905	11	6	116	308
1906	11	6	202	574
1907	11	6	194.75	602
1905	12	6	174	407
1906	12	6	112.25	286
1907	12	6	117	342
1905	13	6	151	371
1906	13	6	103	254
1907	13	6	106.5	300
1905	14	6	129.5	862
1906	14	6	110	272
1907	14	6	118	342
1905	15	6	133	406
1906	15	6	104.5	266
1907	15	6	142.5	392
1905	16	6	142	649
1906	16	6	127.25	316
1907	16	6	178.75	458
1905	17	6	206	562
1906	17	6	113.5	294
1907	17	6	161	474
1905	18	6	169	441
1906	18	6	121	310
1907	18	6	143	430
1905	19	6	187	525
1906	19	6	125.25	316
1907	19	6	159.25	484
1905	20	6	201.5	506
1906	20	6	132.5	324
1907	20	6	164	468
1905	21	6	154	448
1906	21	6	143.75	350
1907	21	6	136.75	422
1905	22	6	109	371
1906	22	6	152	364
1907	22	6	74.75	258
