"gen"	"env"	"score"	"scale"
"G05"	"Ma04"	3	"0-9"
"G06"	"Ma04"	5	"0-9"
"G07"	"Ma04"	6	"0-9"
"G08"	"Ma04"	6	"0-9"
"G09"	"Ma04"	4	"0-9"
"G10"	"Ma04"	4	"0-9"
"G11"	"Ma04"	4	"0-9"
"G12"	"Ma04"	6	"0-9"
"G13"	"Ma04"	6	"0-9"
"G14"	"Ma04"	6	"0-9"
"G15"	"Ma04"	5	"0-9"
"G16"	"Ma04"	5	"0-9"
"G17"	"Ma04"	6	"0-9"
"G18"	"Ma04"	6	"0-9"
"G19"	"Ma04"	5	"0-9"
"G20"	"Ma04"	6	"0-9"
"G21"	"Ma04"	5	"0-9"
"G22"	"Ma04"	6	"0-9"
"G23"	"Ma04"	7	"0-9"
"G24"	"Ma04"	7	"0-9"
"G01"	"Kh06"	3	"%"
"G02"	"Kh06"	3	"%"
"G03"	"Kh06"	4	"%"
"G04"	"Kh06"	5	"%"
"G05"	"Kh06"	30	"%"
"G06"	"Kh06"	20	"%"
"G07"	"Kh06"	15	"%"
"G08"	"Kh06"	30	"%"
"G09"	"Kh06"	5	"%"
"G10"	"Kh06"	15	"%"
"G11"	"Kh06"	15	"%"
"G12"	"Kh06"	10	"%"
"G13"	"Kh06"	30	"%"
"G14"	"Kh06"	20	"%"
"G15"	"Kh06"	5	"%"
"G16"	"Kh06"	5	"%"
"G17"	"Kh06"	6	"%"
"G18"	"Kh06"	40	"%"
"G19"	"Kh06"	10	"%"
"G20"	"Kh06"	40	"%"
"G21"	"Kh06"	3	"%"
"G22"	"Kh06"	15	"%"
"G23"	"Kh06"	40	"%"
"G24"	"Kh06"	60	"%"
"G01"	"Gl05"	2	"%"
"G02"	"Gl05"	5	"%"
"G03"	"Gl05"	2.5	"%"
"G04"	"Gl05"	12.5	"%"
"G05"	"Gl05"	10	"%"
"G06"	"Gl05"	7.5	"%"
"G07"	"Gl05"	7.5	"%"
"G08"	"Gl05"	37.5	"%"
"G09"	"Gl05"	2.5	"%"
"G10"	"Gl05"	4	"%"
"G11"	"Gl05"	17.5	"%"
"G12"	"Gl05"	27.5	"%"
"G13"	"Gl05"	27.5	"%"
"G14"	"Gl05"	27.5	"%"
"G15"	"Gl05"	12.5	"%"
"G16"	"Gl05"	4.5	"%"
"G17"	"Gl05"	10	"%"
"G18"	"Gl05"	17.5	"%"
"G19"	"Gl05"	3.5	"%"
"G20"	"Gl05"	3.5	"%"
"G21"	"Gl05"	2	"%"
"G22"	"Gl05"	1	"%"
"G23"	"Gl05"	65	"%"
"G24"	"Gl05"	85	"%"
"G01"	"BT06"	9	"%"
"G02"	"BT06"	0.5	"%"
"G03"	"BT06"	5	"%"
"G04"	"BT06"	2.5	"%"
"G05"	"BT06"	27.5	"%"
"G06"	"BT06"	10	"%"
"G07"	"BT06"	9	"%"
"G08"	"BT06"	24	"%"
"G09"	"BT06"	5	"%"
"G10"	"BT06"	5.5	"%"
"G11"	"BT06"	7.5	"%"
"G12"	"BT06"	12.5	"%"
"G13"	"BT06"	14	"%"
"G14"	"BT06"	22.5	"%"
"G15"	"BT06"	17.5	"%"
"G16"	"BT06"	10	"%"
"G17"	"BT06"	1.5	"%"
"G18"	"BT06"	2.5	"%"
"G19"	"BT06"	8	"%"
"G20"	"BT06"	15.5	"%"
"G21"	"BT06"	5	"%"
"G22"	"BT06"	7.5	"%"
"G23"	"BT06"	65	"%"
"G24"	"BT06"	66	"%"
"G01"	"Ch04"	3	"1-9"
"G02"	"Ch04"	2	"1-9"
"G03"	"Ch04"	2	"1-9"
"G04"	"Ch04"	4	"1-9"
"G05"	"Ch04"	6	"1-9"
"G06"	"Ch04"	4	"1-9"
"G07"	"Ch04"	4	"1-9"
"G08"	"Ch04"	7	"1-9"
"G09"	"Ch04"	2	"1-9"
"G10"	"Ch04"	3	"1-9"
"G11"	"Ch04"	3	"1-9"
"G12"	"Ch04"	5	"1-9"
"G13"	"Ch04"	4	"1-9"
"G14"	"Ch04"	8	"1-9"
"G15"	"Ch04"	8	"1-9"
"G16"	"Ch04"	3	"1-9"
"G17"	"Ch04"	4	"1-9"
"G18"	"Ch04"	7	"1-9"
"G19"	"Ch04"	3	"1-9"
"G20"	"Ch04"	8	"1-9"
"G21"	"Ch04"	3	"1-9"
"G22"	"Ch04"	3	"1-9"
"G23"	"Ch04"	9	"1-9"
"G24"	"Ch04"	9	"1-9"
"G01"	"Ce04"	3	"1-9"
"G02"	"Ce04"	3	"1-9"
"G03"	"Ce04"	2	"1-9"
"G04"	"Ce04"	5	"1-9"
"G05"	"Ce04"	4	"1-9"
"G06"	"Ce04"	4	"1-9"
"G07"	"Ce04"	4	"1-9"
"G08"	"Ce04"	5	"1-9"
"G09"	"Ce04"	2	"1-9"
"G10"	"Ce04"	2	"1-9"
"G11"	"Ce04"	4	"1-9"
"G12"	"Ce04"	7	"1-9"
"G13"	"Ce04"	2	"1-9"
"G14"	"Ce04"	6	"1-9"
"G15"	"Ce04"	5	"1-9"
"G16"	"Ce04"	3	"1-9"
"G17"	"Ce04"	5	"1-9"
"G18"	"Ce04"	6	"1-9"
"G19"	"Ce04"	4	"1-9"
"G20"	"Ce04"	5	"1-9"
"G21"	"Ce04"	4	"1-9"
"G22"	"Ce04"	3	"1-9"
"G23"	"Ce04"	9	"1-9"
"G24"	"Ce04"	9	"1-9"
"G01"	"Ha03"	13	"%"
"G02"	"Ha03"	0.3	"%"
"G03"	"Ha03"	18.3	"%"
"G04"	"Ha03"	10	"%"
"G05"	"Ha03"	5.7	"%"
"G06"	"Ha03"	6.7	"%"
"G07"	"Ha03"	17.3	"%"
"G08"	"Ha03"	11.7	"%"
"G09"	"Ha03"	4	"%"
"G10"	"Ha03"	5	"%"
"G11"	"Ha03"	33.3	"%"
"G12"	"Ha03"	20.7	"%"
"G13"	"Ha03"	6.7	"%"
"G14"	"Ha03"	4.7	"%"
"G15"	"Ha03"	9.3	"%"
"G16"	"Ha03"	2.7	"%"
"G17"	"Ha03"	9.7	"%"
"G18"	"Ha03"	16.7	"%"
"G19"	"Ha03"	7.3	"%"
"G20"	"Ha03"	7.3	"%"
"G21"	"Ha03"	11	"%"
"G22"	"Ha03"	28.3	"%"
"G23"	"Ha03"	51.7	"%"
"G24"	"Ha03"	46.7	"%"
"G01"	"Ha04"	11	"%"
"G02"	"Ha04"	3.5	"%"
"G03"	"Ha04"	12.5	"%"
"G04"	"Ha04"	2	"%"
"G05"	"Ha04"	19	"%"
"G06"	"Ha04"	15	"%"
"G07"	"Ha04"	19	"%"
"G08"	"Ha04"	12.5	"%"
"G09"	"Ha04"	9	"%"
"G10"	"Ha04"	9	"%"
"G11"	"Ha04"	17.5	"%"
"G12"	"Ha04"	21	"%"
"G13"	"Ha04"	22.5	"%"
"G14"	"Ha04"	18.5	"%"
"G15"	"Ha04"	22.5	"%"
"G16"	"Ha04"	16.5	"%"
"G17"	"Ha04"	12	"%"
"G18"	"Ha04"	13.5	"%"
"G19"	"Ha04"	11	"%"
"G20"	"Ha04"	12	"%"
"G21"	"Ha04"	10	"%"
"G22"	"Ha04"	22.5	"%"
"G23"	"Ha04"	70	"%"
"G24"	"Ha04"	60	"%"
"G01"	"Ha05"	35	"%"
"G02"	"Ha05"	7.5	"%"
"G03"	"Ha05"	12.5	"%"
"G04"	"Ha05"	7.5	"%"
"G05"	"Ha05"	22.5	"%"
"G06"	"Ha05"	15	"%"
"G07"	"Ha05"	15	"%"
"G08"	"Ha05"	30	"%"
"G09"	"Ha05"	7.5	"%"
"G10"	"Ha05"	10	"%"
"G11"	"Ha05"	25	"%"
"G12"	"Ha05"	30	"%"
"G13"	"Ha05"	35	"%"
"G14"	"Ha05"	32.5	"%"
"G15"	"Ha05"	7.5	"%"
"G16"	"Ha05"	15	"%"
"G17"	"Ha05"	25	"%"
"G18"	"Ha05"	20	"%"
"G19"	"Ha05"	17.5	"%"
"G20"	"Ha05"	12.5	"%"
"G21"	"Ha05"	7.5	"%"
"G22"	"Ha05"	22.5	"%"
"G23"	"Ha05"	55	"%"
"G24"	"Ha05"	45	"%"
"G01"	"Ha07"	11	"%"
"G02"	"Ha07"	4.5	"%"
"G03"	"Ha07"	3	"%"
"G04"	"Ha07"	15	"%"
"G05"	"Ha07"	7.5	"%"
"G06"	"Ha07"	10	"%"
"G07"	"Ha07"	11	"%"
"G08"	"Ha07"	15	"%"
"G09"	"Ha07"	5	"%"
"G10"	"Ha07"	7.5	"%"
"G11"	"Ha07"	7.5	"%"
"G12"	"Ha07"	12.5	"%"
"G13"	"Ha07"	20	"%"
"G14"	"Ha07"	27.5	"%"
"G15"	"Ha07"	10	"%"
"G16"	"Ha07"	5	"%"
"G17"	"Ha07"	5	"%"
"G18"	"Ha07"	13.5	"%"
"G19"	"Ha07"	5	"%"
"G20"	"Ha07"	7.5	"%"
"G21"	"Ha07"	10	"%"
"G22"	"Ha07"	17.5	"%"
"G23"	"Ha07"	85	"%"
"G24"	"Ha07"	75	"%"
"G01"	"Aa03"	16.3	"%"
"G02"	"Aa03"	5	"%"
"G03"	"Aa03"	25	"%"
"G04"	"Aa03"	8.7	"%"
"G05"	"Aa03"	8.3	"%"
"G06"	"Aa03"	14	"%"
"G07"	"Aa03"	30	"%"
"G08"	"Aa03"	13	"%"
"G09"	"Aa03"	21.7	"%"
"G10"	"Aa03"	15	"%"
"G11"	"Aa03"	18.3	"%"
"G12"	"Aa03"	28.3	"%"
"G13"	"Aa03"	14	"%"
"G14"	"Aa03"	28.3	"%"
"G15"	"Aa03"	19	"%"
"G16"	"Aa03"	18.3	"%"
"G17"	"Aa03"	21.7	"%"
"G18"	"Aa03"	16.7	"%"
"G19"	"Aa03"	16.7	"%"
"G20"	"Aa03"	20	"%"
"G21"	"Aa03"	19	"%"
"G22"	"Aa03"	35	"%"
"G23"	"Aa03"	70	"%"
"G24"	"Aa03"	70	"%"
"G01"	"Aa04"	7	"%"
"G02"	"Aa04"	2.5	"%"
"G03"	"Aa04"	10	"%"
"G04"	"Aa04"	2	"%"
"G05"	"Aa04"	7	"%"
"G06"	"Aa04"	8.5	"%"
"G07"	"Aa04"	16	"%"
"G08"	"Aa04"	8	"%"
"G09"	"Aa04"	5	"%"
"G10"	"Aa04"	4	"%"
"G11"	"Aa04"	17.5	"%"
"G12"	"Aa04"	13.5	"%"
"G13"	"Aa04"	17.5	"%"
"G14"	"Aa04"	15	"%"
"G15"	"Aa04"	13.5	"%"
"G16"	"Aa04"	12.5	"%"
"G17"	"Aa04"	9	"%"
"G18"	"Aa04"	17.5	"%"
"G19"	"Aa04"	8	"%"
"G20"	"Aa04"	6.5	"%"
"G21"	"Aa04"	6.5	"%"
"G22"	"Aa04"	11	"%"
"G23"	"Aa04"	50	"%"
"G24"	"Aa04"	40	"%"
"G01"	"Aa05"	15	"%"
"G02"	"Aa05"	12.5	"%"
"G03"	"Aa05"	12.5	"%"
"G04"	"Aa05"	20	"%"
"G05"	"Aa05"	20	"%"
"G06"	"Aa05"	20	"%"
"G07"	"Aa05"	15	"%"
"G08"	"Aa05"	17.5	"%"
"G09"	"Aa05"	10	"%"
"G10"	"Aa05"	12.5	"%"
"G11"	"Aa05"	20	"%"
"G12"	"Aa05"	27.5	"%"
"G13"	"Aa05"	30	"%"
"G14"	"Aa05"	30	"%"
"G15"	"Aa05"	22.5	"%"
"G16"	"Aa05"	22.5	"%"
"G17"	"Aa05"	35	"%"
"G18"	"Aa05"	20	"%"
"G19"	"Aa05"	15	"%"
"G20"	"Aa05"	12.5	"%"
"G21"	"Aa05"	10	"%"
"G22"	"Aa05"	32.5	"%"
"G23"	"Aa05"	80	"%"
"G24"	"Aa05"	65	"%"
