"farm"	"system"	"gen"	"yield"
"F06"	"sole"	"Hybrid"	1.268
"F07"	"sole"	"Hybrid"	4.155
"F08"	"sole"	"Hybrid"	1.798
"F09"	"sole"	"Hybrid"	2.57
"F10"	"sole"	"Hybrid"	2.324
"F11"	"sole"	"Hybrid"	2.054
"F12"	"sole"	"Hybrid"	1.583
"F13"	"sole"	"Hybrid"	1.454
"F14"	"sole"	"Hybrid"	1.99
"F15"	"sole"	"Hybrid"	4.564
"F16"	"sole"	"Hybrid"	2.8
"F17"	"sole"	"Hybrid"	0.785
"F18"	"sole"	"Hybrid"	2.97
"F19"	"sole"	"Hybrid"	0.81
"F20"	"sole"	"Hybrid"	1.632
"F21"	"sole"	"Hybrid"	2.794
"F22"	"sole"	"Hybrid"	0.486
"F23"	"sole"	"Hybrid"	0.583
"F24"	"sole"	"Hybrid"	2.226
"F25"	"sole"	"Hybrid"	0.879
"F01"	"pigeonpea"	"Hybrid"	1.566
"F02"	"pigeonpea"	"Hybrid"	3.758
"F03"	"pigeonpea"	"Hybrid"	3.52
"F04"	"pigeonpea"	"Hybrid"	2.35
"F05"	"pigeonpea"	"Hybrid"	2.291
"F06"	"pigeonpea"	"Hybrid"	1.817
"F07"	"pigeonpea"	"Hybrid"	3.845
"F08"	"pigeonpea"	"Hybrid"	0.978
"F09"	"pigeonpea"	"Hybrid"	2.746
"F10"	"pigeonpea"	"Hybrid"	1.998
"F11"	"pigeonpea"	"Hybrid"	2.094
"F12"	"pigeonpea"	"Hybrid"	1.558
"F13"	"pigeonpea"	"Hybrid"	3.066
"F14"	"pigeonpea"	"Hybrid"	2.045
"F15"	"pigeonpea"	"Hybrid"	3.525
"F16"	"pigeonpea"	"Hybrid"	3.115
"F17"	"pigeonpea"	"Hybrid"	0.558
"F18"	"pigeonpea"	"Hybrid"	2.555
"F19"	"pigeonpea"	"Hybrid"	1.134
"F20"	"pigeonpea"	"Hybrid"	0.968
"F21"	"pigeonpea"	"Hybrid"	1.324
"F22"	"pigeonpea"	"Hybrid"	0.711
"F23"	"pigeonpea"	"Hybrid"	0.11
"F24"	"pigeonpea"	"Hybrid"	2.379
"F25"	"pigeonpea"	"Hybrid"	1.531
