"plant"	"day"	"trt"	"weight"
6	33	"T1"	69.9
7	33	"T1"	85.2
8	33	"T1"	74
9	33	"T1"	71
10	33	"T1"	72.1
11	33	"T1"	74.7
12	33	"T1"	76.1
13	33	"T1"	76
14	33	"T1"	71.8
15	33	"T1"	84.2
16	33	"T1"	77.9
17	33	"T1"	72.5
18	33	"T1"	76
1	36	"T1"	71
2	36	"T1"	73.7
3	36	"T1"	98.5
4	36	"T1"	87.8
5	36	"T1"	77.4
6	36	"T1"	76.5
7	36	"T1"	92
8	36	"T1"	81.5
9	36	"T1"	76.3
10	36	"T1"	79
11	36	"T1"	81
12	36	"T1"	82.6
13	36	"T1"	81.9
14	36	"T1"	78.5
15	36	"T1"	93.4
16	36	"T1"	84
17	36	"T1"	79.8
18	36	"T1"	82.1
1	40	"T1"	75.3
2	40	"T1"	76
3	40	"T1"	103.9
4	40	"T1"	94
5	40	"T1"	84.6
6	40	"T1"	84.1
7	40	"T1"	97.4
8	40	"T1"	86.7
9	40	"T1"	82.3
10	40	"T1"	86.2
11	40	"T1"	88.7
12	40	"T1"	87.4
13	40	"T1"	86.5
14	40	"T1"	85.3
15	40	"T1"	101
16	40	"T1"	91.2
17	40	"T1"	86.1
18	40	"T1"	87.3
19	1	"T2"	48.1
20	1	"T2"	48.2
21	1	"T2"	51
22	1	"T2"	47.4
23	1	"T2"	51.2
24	1	"T2"	50.6
25	1	"T2"	50.1
26	1	"T2"	44
27	1	"T2"	52.8
28	1	"T2"	53.1
29	1	"T2"	48.4
30	1	"T2"	48.2
31	1	"T2"	49.8
32	1	"T2"	46.4
33	1	"T2"	51.8
34	1	"T2"	42.1
35	1	"T2"	46.7
36	1	"T2"	48.6
19	5	"T2"	48.3
20	5	"T2"	49.8
21	5	"T2"	51.3
22	5	"T2"	48.6
23	5	"T2"	51.4
24	5	"T2"	50.7
25	5	"T2"	57.4
26	5	"T2"	45.1
27	5	"T2"	54.7
28	5	"T2"	55.1
29	5	"T2"	50
30	5	"T2"	49.7
31	5	"T2"	50.9
32	5	"T2"	47.8
33	5	"T2"	53.7
34	5	"T2"	43.1
35	5	"T2"	48.4
36	5	"T2"	49.4
19	8	"T2"	48.6
20	8	"T2"	51.1
21	8	"T2"	53.7
22	8	"T2"	50
23	8	"T2"	53.4
24	8	"T2"	52.1
25	8	"T2"	58.7
26	8	"T2"	46
27	8	"T2"	57.2
28	8	"T2"	56.8
29	8	"T2"	54.2
30	8	"T2"	52.1
31	8	"T2"	52.8
32	8	"T2"	49
33	8	"T2"	54.9
34	8	"T2"	44.7
35	8	"T2"	49.1
36	8	"T2"	50.5
19	12	"T2"	49
20	12	"T2"	52.7
21	12	"T2"	55.2
22	12	"T2"	51.3
23	12	"T2"	55.3
24	12	"T2"	54.5
25	12	"T2"	56.8
26	12	"T2"	46.4
27	12	"T2"	59.8
28	12	"T2"	58.6
29	12	"T2"	57
30	12	"T2"	53
31	12	"T2"	54.1
32	12	"T2"	50
33	12	"T2"	56.6
34	12	"T2"	46.5
35	12	"T2"	50.7
36	12	"T2"	51.8
19	15	"T2"	51
20	15	"T2"	53.1
21	15	"T2"	56.7
22	15	"T2"	52.5
23	15	"T2"	56.4
24	15	"T2"	54.9
25	15	"T2"	58.7
26	15	"T2"	48.1
27	15	"T2"	61.1
28	15	"T2"	59.1
29	15	"T2"	58.8
30	15	"T2"	53.8
31	15	"T2"	54.7
32	15	"T2"	50.8
33	15	"T2"	57.8
34	15	"T2"	48.1
35	15	"T2"	51
36	15	"T2"	52.9
19	18	"T2"	52
20	18	"T2"	54
21	18	"T2"	58.8
22	18	"T2"	53.6
23	18	"T2"	57.8
24	18	"T2"	55.5
25	18	"T2"	59.8
26	18	"T2"	49
27	18	"T2"	62
28	18	"T2"	59.7
29	18	"T2"	60.5
30	18	"T2"	54.8
31	18	"T2"	55.7
32	18	"T2"	51.6
33	18	"T2"	59.9
34	18	"T2"	50.3
35	18	"T2"	51.5
36	18	"T2"	54
19	21	"T2"	56
20	21	"T2"	58.7
21	21	"T2"	62
22	21	"T2"	56.1
23	21	"T2"	60.1
24	21	"T2"	59.8
25	21	"T2"	62.4
26	21	"T2"	53
27	21	"T2"	65.9
28	21	"T2"	65.1
29	21	"T2"	64.8
30	21	"T2"	57
31	21	"T2"	58.9
32	21	"T2"	53.2
33	21	"T2"	67.8
34	21	"T2"	55
35	21	"T2"	53.1
36	21	"T2"	58.2
19	26	"T2"	63
20	26	"T2"	66.7
21	26	"T2"	71.2
22	26	"T2"	63.1
23	26	"T2"	65
24	26	"T2"	68.9
25	26	"T2"	70
26	26	"T2"	59.7
27	26	"T2"	73.1
28	26	"T2"	75
29	26	"T2"	77.6
30	26	"T2"	63.9
31	26	"T2"	64
32	26	"T2"	59.7
33	26	"T2"	76
34	26	"T2"	63.8
35	26	"T2"	58.5
36	26	"T2"	63
19	33	"T2"	67.5
20	33	"T2"	73
21	33	"T2"	76.9
22	33	"T2"	68.5
23	33	"T2"	70
24	33	"T2"	76.7
25	33	"T2"	77.1
26	33	"T2"	65.7
27	33	"T2"	76.9
28	33	"T2"	80.5
29	33	"T2"	86
30	33	"T2"	69
31	33	"T2"	69.7
32	33	"T2"	63.4
33	33	"T2"	84.5
34	33	"T2"	70
35	33	"T2"	61.2
36	33	"T2"	68.7
19	36	"T2"	73.2
20	36	"T2"	81
21	36	"T2"	85.1
22	36	"T2"	73
23	36	"T2"	73.3
24	36	"T2"	86.5
25	36	"T2"	83.8
26	36	"T2"	73
27	36	"T2"	84.6
28	36	"T2"	87.3
29	36	"T2"	96.1
30	36	"T2"	74.6
31	36	"T2"	72.1
32	36	"T2"	67.3
33	36	"T2"	94.6
34	36	"T2"	78.1
35	36	"T2"	67.1
36	36	"T2"	72.1
19	40	"T2"	75.9
20	40	"T2"	84.4
21	40	"T2"	89.5
22	40	"T2"	78.7
23	40	"T2"	80.4
24	40	"T2"	89.6
25	40	"T2"	88.9
26	40	"T2"	79.8
27	40	"T2"	88.9
28	40	"T2"	91.1
29	40	"T2"	98.6
30	40	"T2"	80.1
31	40	"T2"	78.9
32	40	"T2"	75.4
33	40	"T2"	98.7
34	40	"T2"	87.3
35	40	"T2"	76.4
36	40	"T2"	77.8
37	1	"T3"	53.1
38	1	"T3"	51.4
39	1	"T3"	49.3
40	1	"T3"	48.1
41	1	"T3"	48.3
42	1	"T3"	45.9
43	1	"T3"	47.3
44	1	"T3"	44.8
45	1	"T3"	52.1
46	1	"T3"	54.4
47	1	"T3"	48.1
48	1	"T3"	52.3
49	1	"T3"	48.7
50	1	"T3"	52.1
51	1	"T3"	48.9
52	1	"T3"	51.1
53	1	"T3"	50.4
54	1	"T3"	53
37	5	"T3"	55.4
38	5	"T3"	51.7
39	5	"T3"	52.8
40	5	"T3"	49.8
41	5	"T3"	48.2
42	5	"T3"	49
43	5	"T3"	57
44	5	"T3"	51.2
45	5	"T3"	52.4
46	5	"T3"	55.1
47	5	"T3"	48.2
48	5	"T3"	53.5
49	5	"T3"	50.1
50	5	"T3"	54
51	5	"T3"	50
52	5	"T3"	51.9
53	5	"T3"	57.1
54	5	"T3"	53.3
37	8	"T3"	56.1
38	8	"T3"	52.3
39	8	"T3"	54.8
40	8	"T3"	51.1
41	8	"T3"	49.1
42	8	"T3"	51.7
43	8	"T3"	57.4
44	8	"T3"	53.3
45	8	"T3"	53.6
46	8	"T3"	56
47	8	"T3"	49.7
48	8	"T3"	55.2
49	8	"T3"	50.5
50	8	"T3"	56.4
51	8	"T3"	52.1
52	8	"T3"	53.1
53	8	"T3"	52.8
54	8	"T3"	54.1
37	12	"T3"	56.4
38	12	"T3"	54.8
39	12	"T3"	56.2
40	12	"T3"	52.8
41	12	"T3"	51.3
42	12	"T3"	53
43	12	"T3"	58.1
44	12	"T3"	55.6
45	12	"T3"	54.9
46	12	"T3"	57.1
47	12	"T3"	51.4
48	12	"T3"	57.1
49	12	"T3"	50.8
50	12	"T3"	58.8
51	12	"T3"	52.6
52	12	"T3"	56.7
53	12	"T3"	55.4
54	12	"T3"	55.3
37	15	"T3"	54
38	15	"T3"	56.9
39	15	"T3"	58.1
40	15	"T3"	54.2
41	15	"T3"	53.1
42	15	"T3"	56.2
43	15	"T3"	58.6
44	15	"T3"	58
45	15	"T3"	55.9
46	15	"T3"	59
47	15	"T3"	53.1
48	15	"T3"	58.2
49	15	"T3"	52.5
50	15	"T3"	60.1
51	15	"T3"	54
52	15	"T3"	59.1
53	15	"T3"	57
54	15	"T3"	55.8
37	18	"T3"	54.6
38	18	"T3"	59.7
39	18	"T3"	59.6
40	18	"T3"	55.8
41	18	"T3"	56.5
42	18	"T3"	58.5
43	18	"T3"	58.8
44	18	"T3"	60.5
45	18	"T3"	57.1
46	18	"T3"	59.8
47	18	"T3"	54.7
48	18	"T3"	59.8
49	18	"T3"	54.2
50	18	"T3"	61
51	18	"T3"	56.1
52	18	"T3"	61.1
53	18	"T3"	59.4
54	18	"T3"	56.5
37	21	"T3"	59
38	21	"T3"	61.5
39	21	"T3"	62.3
40	21	"T3"	57.9
41	21	"T3"	59.8
42	21	"T3"	59.9
43	21	"T3"	61
44	21	"T3"	62.4
45	21	"T3"	58
46	21	"T3"	62.8
47	21	"T3"	57
48	21	"T3"	60.3
49	21	"T3"	56.1
50	21	"T3"	63
51	21	"T3"	59.2
52	21	"T3"	64.2
53	21	"T3"	61.2
54	21	"T3"	58.7
37	26	"T3"	67.5
38	26	"T3"	67
39	26	"T3"	68.6
40	26	"T3"	65.8
41	26	"T3"	68.9
42	26	"T3"	65.1
43	26	"T3"	64
44	26	"T3"	69.8
45	26	"T3"	61.2
46	26	"T3"	72.1
47	26	"T3"	62
48	26	"T3"	63.5
49	26	"T3"	59.9
50	26	"T3"	68.6
51	26	"T3"	65.9
52	26	"T3"	73
53	26	"T3"	65.3
54	26	"T3"	63.1
37	33	"T3"	77
38	33	"T3"	80.2
39	33	"T3"	73.9
40	33	"T3"	75
41	33	"T3"	77.9
42	33	"T3"	74
43	33	"T3"	73.9
44	33	"T3"	80.4
45	33	"T3"	69
46	33	"T3"	82.5
47	33	"T3"	74.1
48	33	"T3"	74.3
49	33	"T3"	69.7
50	33	"T3"	74
51	33	"T3"	75.7
52	33	"T3"	87.6
53	33	"T3"	73.4
54	33	"T3"	71.5
37	36	"T3"	80.3
38	36	"T3"	84.5
39	36	"T3"	79.5
40	36	"T3"	80.1
41	36	"T3"	83.6
42	36	"T3"	78.7
43	36	"T3"	79
44	36	"T3"	86.9
45	36	"T3"	72.3
46	36	"T3"	87.2
47	36	"T3"	77.2
48	36	"T3"	78.5
49	36	"T3"	74.3
50	36	"T3"	79.8
51	36	"T3"	80.6
52	36	"T3"	95.7
53	36	"T3"	79.2
54	36	"T3"	78
37	40	"T3"	82.1
38	40	"T3"	85.1
39	40	"T3"	81.3
40	40	"T3"	81
41	40	"T3"	84.7
42	40	"T3"	80.2
43	40	"T3"	80.4
44	40	"T3"	87.1
45	40	"T3"	75.4
46	40	"T3"	88.2
47	40	"T3"	79.5
48	40	"T3"	80
49	40	"T3"	75.2
50	40	"T3"	80.9
51	40	"T3"	81
52	40	"T3"	96.3
53	40	"T3"	81.1
54	40	"T3"	79.3
