row	col	grain	straw
9	15	4.86	6.39
8	15	3.39	5.86
7	15	3.64	6.36
6	15	3.73	8.58
5	15	3.3	5.7
4	15	3.51	5.99
3	15	3.6	6.34
2	15	3.54	5.58
1	15	3.24	5.95
20	16	3.66	5.96
19	16	3.82	5.8
18	16	4.07	6.74
17	16	4.54	7.08
16	16	3.92	6.14
15	16	4.01	5.99
14	16	4.59	7.28
13	16	4.76	6.49
12	16	4.73	8.64
11	16	4.2	6.49
10	16	3.74	8.63
9	16	4.36	7.26
8	16	3.6	6.27
7	16	3.6	5.84
6	16	3.39	6.42
5	16	3.39	5.8
4	16	3.45	6.05
3	16	3.14	5.48
2	16	3.01	5.68
1	16	3.29	5.58
20	17	3.57	5.12
19	17	3.44	5
18	17	3.44	5.56
17	17	3.97	6.03
16	17	3.79	5.33
15	17	3.87	5.57
14	17	3.97	6.03
13	17	3.83	6.29
12	17	4.24	6.45
11	17	4.09	6.16
10	17	3.41	5.78
9	17	3.51	6.11
8	17	4.13	6.87
7	17	3.19	5.87
6	17	3.08	5.42
5	17	2.92	4.95
4	17	3.05	7.64
3	17	2.73	4.77
2	17	2.85	4.96
1	17	3.48	5.52
20	18	3.51	5.05
19	18	3.92	5.83
18	18	3.53	4.91
17	18	3.77	5.79
16	18	4.29	5.58
15	18	4.35	6.09
14	18	4.38	6.24
13	18	3.71	5.91
12	18	4.21	6.29
11	18	4.07	6.18
10	18	3.86	6.14
9	18	3.47	5.9
8	18	3.89	6.23
7	18	3.8	6.14
6	18	3.48	5.52
5	18	3.23	5.33
4	18	3.68	5.82
3	18	3.09	5.41
2	18	3.36	6.14
1	18	3.49	5.82
20	19	4.27	6.54
19	19	4.26	8.61
18	19	4.2	6.55
17	19	4.3	5.95
16	19	4.22	6.15
15	19	4.24	5.88
14	19	3.81	5.69
13	19	3.54	5.21
12	19	3.85	6.15
11	19	4.09	5.47
10	19	4.36	7.39
9	19	3.94	6.68
8	19	3.67	6.2
7	19	3.72	6.34
6	19	3.05	5.2
5	19	3.25	5.25
4	19	3.52	5.85
3	19	3.66	5.84
2	19	3.85	6.15
1	19	3.68	6.76
20	20	3.72	5.47
19	20	4.36	6.14
18	20	4.31	6.44
17	20	4.1	5.96
16	20	3.74	5.76
15	20	3.58	5.61
14	20	4.06	6.25
13	20	3.66	5.78
12	20	4.41	6.15
11	20	3.95	6.11
10	20	4.54	7.46
9	20	4.47	7.84
8	20	4.54	7.33
7	20	3.91	6.96
6	20	3.65	6.6
5	20	3.86	6.64
4	20	3.91	6.71
3	20	3.77	6.98
2	20	4.15	6.85
1	20	3.36	6.08
20	21	3.36	4.76
19	21	3.69	5.56
18	21	4.33	6.17
17	21	3.81	6.13
16	21	3.55	5.89
15	21	4.2	5.92
14	21	3.42	5.45
13	21	3.95	5.92
12	21	4.21	6.04
11	21	4.08	7
10	21	4.24	7.2
9	21	4.11	6.95
8	21	4.11	6.64
7	21	3.35	6.27
6	21	3.71	6.29
5	21	3.22	5.4
4	21	3.87	6.13
3	21	3.48	6.14
2	21	3.93	6.57
1	21	3.71	6.35
20	22	3.17	4.95
19	22	3.53	5.09
18	22	3.66	6.15
17	22	3.89	5.92
16	22	3.67	5.45
15	22	3.94	5.87
14	22	3.05	4.57
13	22	3.84	5.66
12	22	3.63	5.81
11	22	4.03	5.72
10	22	4.08	6.54
9	22	3.97	6.47
8	22	4.58	6.79
7	22	4.11	6.64
6	22	3.25	6.37
5	22	3.69	5.93
4	22	3.87	7.5
3	22	3.76	6.11
2	22	3.91	6.09
1	22	3.54	6.21
20	23	2.97	4.53
19	23	3.14	5.11
18	23	3.59	5.41
17	23	3.32	4.62
16	23	3.57	5.24
15	23	4.24	5.82
14	23	3.44	4.56
13	23	3.76	5.24
12	23	4.17	5.58
11	23	3.97	5.65
10	23	3.89	5.98
9	23	4.07	5.8
8	23	4.02	6.35
7	23	4.39	6.11
6	23	3.69	5.18
5	23	3.8	5.7
4	23	4.21	5.48
3	23	3.69	5.43
2	23	4.33	6.04
1	23	3.59	4.66
20	24	4.23	6.08
19	24	4.09	5.91
18	24	3.97	6.28
17	24	3.46	5.41
16	24	3.96	5.6
15	24	3.75	5.5
14	24	2.78	4.28
13	24	3.47	5.59
12	24	3.44	4.81
11	24	2.84	4.1
10	24	3.47	5.84
9	24	3.56	6.38
8	24	3.93	5.69
7	24	3.47	5.78
6	24	3.43	5.82
5	24	3.79	6.21
4	24	3.68	6.01
3	24	3.84	6.35
2	24	4.21	6.98
1	24	3.76	6.36
20	25	4.53	6.78
19	25	3.94	5.68
18	25	4.38	7.49
17	25	3.64	6.55
16	25	4.31	6.56
15	25	4.29	6.15
14	25	3.44	5.68
13	25	4.24	7.26
12	25	4.55	6.32
11	25	3.91	5.96
10	25	3.29	5.65
9	25	3.83	6.29
8	25	4.33	7.11
7	25	3.93	6.07
6	25	3.38	5.68
5	25	3.63	5.99
4	25	4.06	6.88
3	25	3.67	6.33
2	25	4.19	6.93
1	25	3.36	6.33
