"row"	"col"	"yield"	"field"
5	8	6.2	"F1"
6	8	4.9	"F1"
7	8	5.8	"F1"
8	8	4.9	"F1"
9	8	5.9	"F1"
10	8	5.6	"F1"
11	8	6.2	"F1"
12	8	7.4	"F1"
13	8	6.8	"F1"
14	8	7.3	"F1"
15	8	6.7	"F1"
16	8	6.6	"F1"
17	8	8.9	"F1"
18	8	7	"F1"
19	8	6.35	"F1"
20	8	5.9	"F1"
1	9	8.3	"F1"
2	9	6.85	"F1"
3	9	5.9	"F1"
4	9	5.65	"F1"
5	9	6.45	"F1"
6	9	7.35	"F1"
7	9	5.2	"F1"
8	9	5.5	"F1"
9	9	6.85	"F1"
10	9	6.3	"F1"
11	9	5.6	"F1"
12	9	7.15	"F1"
13	9	6.4	"F1"
14	9	6.7	"F1"
15	9	5.85	"F1"
16	9	6.4	"F1"
17	9	7.3	"F1"
18	9	6.8	"F1"
19	9	6.85	"F1"
20	9	6.4	"F1"
1	10	6	"F1"
2	10	6	"F1"
3	10	5.4	"F1"
4	10	5.3	"F1"
5	10	5.7	"F1"
6	10	5.3	"F1"
7	10	5.55	"F1"
8	10	6.4	"F1"
9	10	5.7	"F1"
10	10	5.6	"F1"
11	10	5.55	"F1"
12	10	5.4	"F1"
13	10	5.4	"F1"
14	10	6.5	"F1"
15	10	6.45	"F1"
16	10	7.2	"F1"
17	10	6.9	"F1"
18	10	5.45	"F1"
19	10	6.3	"F1"
20	10	6.25	"F1"
1	1	9	"F2"
2	1	8	"F2"
3	1	9.55	"F2"
4	1	9.55	"F2"
5	1	8.3	"F2"
6	1	7.8	"F2"
7	1	5.7	"F2"
8	1	8.8	"F2"
9	1	9.25	"F2"
10	1	9.2	"F2"
11	1	7.7	"F2"
12	1	8.75	"F2"
13	1	8.95	"F2"
14	1	7.1	"F2"
15	1	7	"F2"
16	1	7.9	"F2"
17	1	6.95	"F2"
18	1	8.6	"F2"
19	1	8.5	"F2"
20	1	7.4	"F2"
1	2	8.8	"F2"
2	2	8.4	"F2"
3	2	9.7	"F2"
4	2	8.85	"F2"
5	2	9.8	"F2"
6	2	8.05	"F2"
7	2	6.5	"F2"
8	2	8.7	"F2"
9	2	8.1	"F2"
10	2	7.5	"F2"
11	2	7.5	"F2"
12	2	8.5	"F2"
13	2	9.6	"F2"
14	2	7.75	"F2"
15	2	6.6	"F2"
16	2	7.1	"F2"
17	2	7.75	"F2"
18	2	8.6	"F2"
19	2	7	"F2"
20	2	7.6	"F2"
1	3	10.55	"F2"
2	3	9	"F2"
3	3	10.3	"F2"
4	3	9.45	"F2"
5	3	8.5	"F2"
6	3	8.85	"F2"
7	3	7.5	"F2"
8	3	9.35	"F2"
9	3	7.6	"F2"
10	3	7.45	"F2"
11	3	9	"F2"
12	3	7.7	"F2"
13	3	7.8	"F2"
14	3	8.6	"F2"
15	3	8.95	"F2"
16	3	8.5	"F2"
17	3	7.8	"F2"
18	3	6.6	"F2"
19	3	7	"F2"
20	3	6.3	"F2"
1	4	9.2	"F2"
2	4	8.35	"F2"
3	4	9.75	"F2"
4	4	7.3	"F2"
5	4	8.3	"F2"
6	4	9.2	"F2"
7	4	7.9	"F2"
8	4	7.2	"F2"
9	4	8.1	"F2"
10	4	7.95	"F2"
11	4	9.3	"F2"
12	4	8.2	"F2"
13	4	8.1	"F2"
14	4	8.2	"F2"
15	4	8.45	"F2"
16	4	6.75	"F2"
17	4	7.7	"F2"
18	4	7.3	"F2"
19	4	7.5	"F2"
20	4	7.3	"F2"
1	5	8.8	"F2"
2	5	8.35	"F2"
3	5	8.1	"F2"
4	5	8.75	"F2"
5	5	7.6	"F2"
6	5	8.65	"F2"
7	5	8.2	"F2"
8	5	8.7	"F2"
9	5	7.8	"F2"
10	5	7.75	"F2"
11	5	10	"F2"
12	5	7.9	"F2"
13	5	8.7	"F2"
14	5	8.5	"F2"
15	5	8.3	"F2"
16	5	8.35	"F2"
17	5	8.5	"F2"
18	5	5.65	"F2"
19	5	7.7	"F2"
20	5	7.7	"F2"
1	6	9	"F2"
2	6	8.1	"F2"
3	6	11	"F2"
4	6	11.3	"F2"
5	6	8	"F2"
6	6	7.9	"F2"
7	6	7.8	"F2"
8	6	7.8	"F2"
9	6	6.85	"F2"
10	6	7.1	"F2"
11	6	8.2	"F2"
12	6	7.9	"F2"
13	6	7.2	"F2"
14	6	7.1	"F2"
15	6	7.7	"F2"
16	6	7.35	"F2"
17	6	7.9	"F2"
18	6	7.9	"F2"
19	6	9.1	"F2"
20	6	8.2	"F2"
1	7	9.2	"F2"
2	7	8.35	"F2"
3	7	9.3	"F2"
4	7	9.6	"F2"
5	7	7.5	"F2"
6	7	7.8	"F2"
7	7	8.1	"F2"
8	7	8.2	"F2"
9	7	7.6	"F2"
10	7	7	"F2"
11	7	9.2	"F2"
12	7	6.6	"F2"
13	7	7.7	"F2"
14	7	7.8	"F2"
15	7	8.4	"F2"
16	7	6.8	"F2"
17	7	9.1	"F2"
18	7	6.8	"F2"
19	7	7.3	"F2"
20	7	7.3	"F2"
1	8	9.55	"F2"
2	8	9	"F2"
3	8	8.85	"F2"
4	8	10.15	"F2"
5	8	9.7	"F2"
6	8	7.55	"F2"
7	8	10.7	"F2"
8	8	7.6	"F2"
9	8	8.6	"F2"
10	8	8.3	"F2"
11	8	9	"F2"
12	8	8.9	"F2"
13	8	7.4	"F2"
14	8	7.5	"F2"
15	8	7.55	"F2"
16	8	7.45	"F2"
17	8	6.95	"F2"
18	8	7.5	"F2"
19	8	7.7	"F2"
20	8	7.4	"F2"
1	9	10.7	"F2"
2	9	9.1	"F2"
3	9	9.75	"F2"
4	9	10.45	"F2"
5	9	8.1	"F2"
6	9	8.4	"F2"
7	9	8.7	"F2"
8	9	8	"F2"
9	9	7.75	"F2"
10	9	8	"F2"
11	9	8.8	"F2"
12	9	7.25	"F2"
13	9	7.5	"F2"
14	9	6.9	"F2"
15	9	7.75	"F2"
16	9	6.45	"F2"
17	9	6.7	"F2"
18	9	7.3	"F2"
19	9	7.3	"F2"
20	9	9	"F2"
1	10	9.8	"F2"
2	10	8.45	"F2"
3	10	9.9	"F2"
4	10	10.35	"F2"
5	10	8.9	"F2"
6	10	8.3	"F2"
7	10	7.5	"F2"
8	10	7.55	"F2"
9	10	7.5	"F2"
10	10	8	"F2"
11	10	9.2	"F2"
12	10	9	"F2"
13	10	7.5	"F2"
14	10	6.6	"F2"
15	10	7.8	"F2"
16	10	7.2	"F2"
17	10	6.35	"F2"
18	10	6.3	"F2"
19	10	7.6	"F2"
20	10	8.2	"F2"
1	11	10.35	"F2"
2	11	9.15	"F2"
3	11	9.2	"F2"
4	11	8.65	"F2"
5	11	9.5	"F2"
6	11	7.6	"F2"
7	11	7.2	"F2"
8	11	8.1	"F2"
9	11	8.2	"F2"
10	11	8.4	"F2"
11	11	9	"F2"
12	11	8.8	"F2"
13	11	8.1	"F2"
14	11	7.9	"F2"
15	11	6.95	"F2"
16	11	7.3	"F2"
17	11	7.2	"F2"
18	11	6.7	"F2"
19	11	7.6	"F2"
20	11	6.9	"F2"
1	12	10.3	"F2"
2	12	7.95	"F2"
3	12	8.25	"F2"
4	12	9.75	"F2"
5	12	9.6	"F2"
6	12	7.5	"F2"
7	12	7	"F2"
8	12	8.45	"F2"
9	12	7.6	"F2"
10	12	6.9	"F2"
11	12	9.5	"F2"
12	12	7	"F2"
13	12	7.6	"F2"
14	12	7.3	"F2"
15	12	7.3	"F2"
16	12	8.7	"F2"
17	12	7.6	"F2"
18	12	6.3	"F2"
19	12	6.55	"F2"
20	12	7.2	"F2"
1	13	11.5	"F2"
2	13	8.8	"F2"
3	13	9.15	"F2"
4	13	9.75	"F2"
5	13	8.2	"F2"
6	13	6.9	"F2"
7	13	8.1	"F2"
8	13	7.05	"F2"
9	13	7.35	"F2"
10	13	7.4	"F2"
11	13	8.1	"F2"
12	13	8.3	"F2"
13	13	8.8	"F2"
14	13	7.6	"F2"
15	13	7.35	"F2"
16	13	7.4	"F2"
17	13	6.55	"F2"
18	13	6.6	"F2"
19	13	7.6	"F2"
20	13	7.25	"F2"
1	14	10.15	"F2"
2	14	9.55	"F2"
3	14	9.55	"F2"
4	14	9.3	"F2"
5	14	10.5	"F2"
6	14	7.55	"F2"
7	14	8.8	"F2"
8	14	7.4	"F2"
9	14	8	"F2"
10	14	7.6	"F2"
11	14	8.7	"F2"
12	14	7.1	"F2"
13	14	7.8	"F2"
14	14	8.1	"F2"
15	14	7.5	"F2"
16	14	8.3	"F2"
17	14	8	"F2"
18	14	7.9	"F2"
19	14	7.95	"F2"
20	14	7.35	"F2"
1	15	10.25	"F2"
2	15	8.05	"F2"
3	15	10	"F2"
4	15	9.3	"F2"
5	15	10.1	"F2"
6	15	8.3	"F2"
7	15	9.9	"F2"
8	15	8.45	"F2"
9	15	8.8	"F2"
10	15	8.9	"F2"
11	15	9.45	"F2"
12	15	8.8	"F2"
13	15	8.3	"F2"
14	15	8.2	"F2"
15	15	7.6	"F2"
16	15	7.8	"F2"
17	15	7.2	"F2"
18	15	7.2	"F2"
19	15	7.9	"F2"
20	15	9	"F2"
