"yield"	"year"	"nitrogen"	"date"	"water"	"spacing"
2.87	"Y1"	"N1"	"D1"	"I2"	"S2"
2.71	"Y1"	"N1"	"D1"	"I2"	"S3"
3.33	"Y1"	"N1"	"D1"	"I3"	"S1"
3.36	"Y1"	"N1"	"D1"	"I3"	"S2"
3.26	"Y1"	"N1"	"D1"	"I3"	"S3"
2.75	"Y1"	"N1"	"D2"	"I1"	"S1"
2.65	"Y1"	"N1"	"D2"	"I1"	"S2"
2.54	"Y1"	"N1"	"D2"	"I1"	"S3"
3.19	"Y1"	"N1"	"D2"	"I2"	"S1"
3.08	"Y1"	"N1"	"D2"	"I2"	"S2"
3.09	"Y1"	"N1"	"D2"	"I2"	"S3"
3.58	"Y1"	"N1"	"D2"	"I3"	"S1"
3.23	"Y1"	"N1"	"D2"	"I3"	"S2"
3.56	"Y1"	"N1"	"D2"	"I3"	"S3"
2.79	"Y1"	"N1"	"D3"	"I1"	"S1"
2.35	"Y1"	"N1"	"D3"	"I1"	"S2"
1.94	"Y1"	"N1"	"D3"	"I1"	"S3"
3.48	"Y1"	"N1"	"D3"	"I2"	"S1"
2.57	"Y1"	"N1"	"D3"	"I2"	"S2"
2.27	"Y1"	"N1"	"D3"	"I2"	"S3"
3.49	"Y1"	"N1"	"D3"	"I3"	"S1"
3	"Y1"	"N1"	"D3"	"I3"	"S2"
2.09	"Y1"	"N1"	"D3"	"I3"	"S3"
1.99	"Y1"	"N1"	"D4"	"I1"	"S1"
1.36	"Y1"	"N1"	"D4"	"I1"	"S2"
1.13	"Y1"	"N1"	"D4"	"I1"	"S3"
2.27	"Y1"	"N1"	"D4"	"I2"	"S1"
1.81	"Y1"	"N1"	"D4"	"I2"	"S2"
1.39	"Y1"	"N1"	"D4"	"I2"	"S3"
2.43	"Y1"	"N1"	"D4"	"I3"	"S1"
1.91	"Y1"	"N1"	"D4"	"I3"	"S2"
1.33	"Y1"	"N1"	"D4"	"I3"	"S3"
0.83	"Y2"	"N0"	"D1"	"I1"	"S1"
0.98	"Y2"	"N0"	"D1"	"I1"	"S2"
0.93	"Y2"	"N0"	"D1"	"I1"	"S3"
0.92	"Y2"	"N0"	"D1"	"I2"	"S1"
1.13	"Y2"	"N0"	"D1"	"I2"	"S2"
1.06	"Y2"	"N0"	"D1"	"I2"	"S3"
0.94	"Y2"	"N0"	"D1"	"I3"	"S1"
1.02	"Y2"	"N0"	"D1"	"I3"	"S2"
1.1	"Y2"	"N0"	"D1"	"I3"	"S3"
0.9	"Y2"	"N0"	"D2"	"I1"	"S1"
1.08	"Y2"	"N0"	"D2"	"I1"	"S2"
1.06	"Y2"	"N0"	"D2"	"I1"	"S3"
1.2	"Y2"	"N0"	"D2"	"I2"	"S1"
1.09	"Y2"	"N0"	"D2"	"I2"	"S2"
1.17	"Y2"	"N0"	"D2"	"I2"	"S3"
1.08	"Y2"	"N0"	"D2"	"I3"	"S1"
1.1	"Y2"	"N0"	"D2"	"I3"	"S2"
1.08	"Y2"	"N0"	"D2"	"I3"	"S3"
0.95	"Y2"	"N0"	"D3"	"I1"	"S1"
0.99	"Y2"	"N0"	"D3"	"I1"	"S2"
0.91	"Y2"	"N0"	"D3"	"I1"	"S3"
0.97	"Y2"	"N0"	"D3"	"I2"	"S1"
1.21	"Y2"	"N0"	"D3"	"I2"	"S2"
1.18	"Y2"	"N0"	"D3"	"I2"	"S3"
1.1	"Y2"	"N0"	"D3"	"I3"	"S1"
1.01	"Y2"	"N0"	"D3"	"I3"	"S2"
0.9	"Y2"	"N0"	"D3"	"I3"	"S3"
0.87	"Y2"	"N0"	"D4"	"I1"	"S1"
0.9	"Y2"	"N0"	"D4"	"I1"	"S2"
0.77	"Y2"	"N0"	"D4"	"I1"	"S3"
1.08	"Y2"	"N0"	"D4"	"I2"	"S1"
0.85	"Y2"	"N0"	"D4"	"I2"	"S2"
0.7	"Y2"	"N0"	"D4"	"I2"	"S3"
0.96	"Y2"	"N0"	"D4"	"I3"	"S1"
0.77	"Y2"	"N0"	"D4"	"I3"	"S2"
0.67	"Y2"	"N0"	"D4"	"I3"	"S3"
1.77	"Y2"	"N1"	"D1"	"I1"	"S1"
1.73	"Y2"	"N1"	"D1"	"I1"	"S2"
1.4	"Y2"	"N1"	"D1"	"I1"	"S3"
1.76	"Y2"	"N1"	"D1"	"I2"	"S1"
2.04	"Y2"	"N1"	"D1"	"I2"	"S2"
1.77	"Y2"	"N1"	"D1"	"I2"	"S3"
2.05	"Y2"	"N1"	"D1"	"I3"	"S1"
1.94	"Y2"	"N1"	"D1"	"I3"	"S2"
1.9	"Y2"	"N1"	"D1"	"I3"	"S3"
1.71	"Y2"	"N1"	"D2"	"I1"	"S1"
1.86	"Y2"	"N1"	"D2"	"I1"	"S2"
1.79	"Y2"	"N1"	"D2"	"I1"	"S3"
2.32	"Y2"	"N1"	"D2"	"I2"	"S1"
2.14	"Y2"	"N1"	"D2"	"I2"	"S2"
2.03	"Y2"	"N1"	"D2"	"I2"	"S3"
2.5	"Y2"	"N1"	"D2"	"I3"	"S1"
2.38	"Y2"	"N1"	"D2"	"I3"	"S2"
2.07	"Y2"	"N1"	"D2"	"I3"	"S3"
1.57	"Y2"	"N1"	"D3"	"I1"	"S1"
1.63	"Y2"	"N1"	"D3"	"I1"	"S2"
1.23	"Y2"	"N1"	"D3"	"I1"	"S3"
2.04	"Y2"	"N1"	"D3"	"I2"	"S1"
1.95	"Y2"	"N1"	"D3"	"I2"	"S2"
1.63	"Y2"	"N1"	"D3"	"I2"	"S3"
2.48	"Y2"	"N1"	"D3"	"I3"	"S1"
1.99	"Y2"	"N1"	"D3"	"I3"	"S2"
1.46	"Y2"	"N1"	"D3"	"I3"	"S3"
1.21	"Y2"	"N1"	"D4"	"I1"	"S1"
1.14	"Y2"	"N1"	"D4"	"I1"	"S2"
1.02	"Y2"	"N1"	"D4"	"I1"	"S3"
1.47	"Y2"	"N1"	"D4"	"I2"	"S1"
1.25	"Y2"	"N1"	"D4"	"I2"	"S2"
0.93	"Y2"	"N1"	"D4"	"I2"	"S3"
1.52	"Y2"	"N1"	"D4"	"I3"	"S1"
1.21	"Y2"	"N1"	"D4"	"I3"	"S2"
0.92	"Y2"	"N1"	"D4"	"I3"	"S3"
