"northing"	"easting"	"resistivity"	"is.ns"	"track"
0.3000	0.5676	51.51	T	3
0.2910	0.5678	49.33	T	3
0.2820	0.5680	47.23	T	3
0.2730	0.5682	44.33	T	3
0.2640	0.5684	41.38	T	3
0.2550	0.5686	40.92	T	3
0.2460	0.5688	44.18	T	3
0.2370	0.5690	48.51	T	3
0.2280	0.5692	49.37	T	3
0.2190	0.5694	44.84	T	3
0.2100	0.5696	37.43	T	3
0.2010	0.5698	31.26	T	3
0.1920	0.5700	28.49	T	3
0.1830	0.5702	28.47	T	3
0.1740	0.5704	29.46	T	3
0.1650	0.5706	30.26	T	3
0.1560	0.5708	30.60	T	3
0.1470	0.5710	30.64	T	3
0.1380	0.5712	30.61	T	3
0.1290	0.5714	30.74	T	3
0.1200	0.5716	31.34	T	3
0.1110	0.5718	32.56	T	3
0.1020	0.5720	34.21	T	3
0.0930	0.5722	35.79	T	3
0.0840	0.5724	36.79	T	3
0.0750	0.5726	36.85	T	3
0.0660	0.5728	35.90	T	3
0.0570	0.5730	34.46	T	3
0.0480	0.5732	33.39	T	3
0.0390	0.5734	33.25	T	3
0.0300	0.5736	33.73	T	3
0.0210	0.5738	34.13	T	3
0.0120	0.5740	34.11	T	3
0.0030	0.7640	27.54	T	4
0.0118	0.7639	28.02	T	4
0.0206	0.7638	28.80	T	4
0.0294	0.7636	29.80	T	4
0.0382	0.7635	30.82	T	4
0.0470	0.7634	31.56	T	4
0.0558	0.7633	31.76	T	4
0.0646	0.7631	31.38	T	4
0.0734	0.7630	30.69	T	4
0.0822	0.7629	30.06	T	4
0.0909	0.7628	29.66	T	4
0.0998	0.7627	29.42	T	4
0.1086	0.7625	29.17	T	4
0.1173	0.7624	28.89	T	4
0.1261	0.7623	28.75	T	4
0.1349	0.7622	28.97	T	4
0.1437	0.7620	29.61	T	4
0.1525	0.7619	30.33	T	4
0.1613	0.7618	30.64	T	4
0.1701	0.7617	30.38	T	4
0.1789	0.7615	30.15	T	4
0.1877	0.7614	30.84	T	4
0.1965	0.7613	32.98	T	4
0.2053	0.7612	36.43	T	4
0.2141	0.7611	40.63	T	4
0.2229	0.7609	45.32	T	4
0.2317	0.7608	51.06	T	4
0.2405	0.7607	58.81	T	4
0.2493	0.7606	67.98	T	4
0.2581	0.7604	75.23	T	4
0.2669	0.7603	76.50	T	4
0.2757	0.7602	71.08	T	4
0.2845	0.7601	62.78	T	4
0.2933	0.7600	56.38	T	4
0.3021	0.7598	53.38	T	4
0.3109	0.7597	51.94	T	4
0.3196	0.7596	50.21	T	4
0.3284	0.7595	48.33	T	4
0.3372	0.7593	47.13	T	4
0.3460	0.7592	46.16	T	4
0.3548	0.7591	43.92	T	4
0.3636	0.7590	40.08	T	4
0.3724	0.7588	36.17	T	4
0.3812	0.7587	33.92	T	4
0.3900	0.7586	33.58	T	4
0.3988	0.7585	34.31	T	4
0.4076	0.7584	35.16	T	4
0.4164	0.7582	35.34	T	4
0.4252	0.7581	34.37	T	4
0.4340	0.7580	32.66	T	4
0.4710	0.9570	29.84	T	5
0.4623	0.9571	29.98	T	5
0.4535	0.9572	31.27	T	5
0.4448	0.9573	32.92	T	5
0.4360	0.9574	33.49	T	5
0.4273	0.9575	32.73	T	5
0.4185	0.9575	31.98	T	5
0.4098	0.9576	32.46	T	5
0.4011	0.9577	33.86	T	5
0.3923	0.9578	34.62	T	5
0.3836	0.9579	33.60	T	5
0.3749	0.9580	31.02	T	5
0.3661	0.9581	28.21	T	5
0.3574	0.9582	26.43	T	5
0.3486	0.9583	25.88	T	5
0.3399	0.9584	25.96	T	5
0.3311	0.9585	26.01	T	5
0.3224	0.9586	25.85	T	5
0.3137	0.9587	25.68	T	5
0.3049	0.9588	25.68	T	5
0.2962	0.9588	25.84	T	5
0.2874	0.9589	26.03	T	5
0.2787	0.9590	26.22	T	5
0.2700	0.9591	26.49	T	5
0.2612	0.9592	26.95	T	5
0.2525	0.9593	27.52	T	5
0.2437	0.9594	28.06	T	5
0.2350	0.9595	28.37	T	5
0.2263	0.9596	28.33	T	5
0.2175	0.9597	27.93	T	5
0.2088	0.9598	27.25	T	5
0.2000	0.9599	26.45	T	5
0.1913	0.9600	25.70	T	5
0.1826	0.9600	25.22	T	5
0.1738	0.9601	25.29	T	5
0.1651	0.9602	25.98	T	5
0.1563	0.9603	26.95	T	5
0.1476	0.9604	27.72	T	5
0.1389	0.9605	28.11	T	5
0.1301	0.9606	28.30	T	5
0.1214	0.9607	28.43	T	5
0.1126	0.9608	28.51	T	5
0.1039	0.9609	28.49	T	5
0.0951	0.9610	28.44	T	5
0.0864	0.9611	28.43	T	5
0.0777	0.9612	28.49	T	5
0.0689	0.9613	28.54	T	5
0.0602	0.9613	28.42	T	5
0.0514	0.9614	28.06	T	5
0.0427	0.9615	27.47	T	5
0.0340	0.9616	26.78	T	5
0.0252	0.9617	26.16	T	5
0.0165	0.9618	25.75	T	5
0.0077	0.9619	25.60	T	5
-0.0010	0.9620	25.60	T	5
0.0150	0.1670	32.07	T	1
0.0244	0.1670	30.96	T	1
0.0338	0.1670	29.22	T	1
0.0432	0.1670	27.64	T	1
0.0526	0.1670	26.79	T	1
0.0620	0.1670	26.60	T	1
0.0714	0.1670	26.72	T	1
0.0808	0.1670	27.00	T	1
0.0903	0.1670	27.50	T	1
0.0997	0.1670	28.17	T	1
0.1091	0.1670	28.68	T	1
0.1185	0.1670	28.57	T	1
0.1279	0.1670	27.68	T	1
0.1373	0.1670	26.50	T	1
0.1467	0.1670	25.85	T	1
0.1561	0.1670	26.19	T	1
0.1655	0.1670	27.43	T	1
0.1749	0.1670	29.22	T	1
0.1843	0.1670	31.26	T	1
0.1937	0.1670	33.23	T	1
0.2031	0.1670	34.84	T	1
0.2125	0.1670	36.10	T	1
0.2219	0.1670	37.19	T	1
0.2313	0.1670	38.05	T	1
0.2408	0.1670	38.26	T	1
0.2501	0.1670	37.46	T	1
0.2596	0.1670	35.76	T	1
0.2690	0.1670	33.53	T	1
0.2784	0.1670	31.06	T	1
0.2878	0.1670	28.56	T	1
0.2972	0.1670	26.39	T	1
0.3066	0.1670	25.02	T	1
0.3160	0.1670	24.55	T	1
0.0060	0.5870	35.42	F	1
0.0058	0.5961	35.59	F	1
0.0056	0.6051	35.79	F	1
0.0054	0.6142	35.52	F	1
0.0052	0.6232	34.34	F	1
0.0050	0.6323	32.46	F	1
0.0048	0.6414	30.68	F	1
0.0046	0.6504	29.67	F	1
0.0044	0.6595	29.47	F	1
0.0042	0.6685	29.74	F	1
0.0040	0.6776	30.29	F	1
0.0038	0.6867	31.04	F	1
0.0036	0.6957	31.54	F	1
0.0034	0.7048	31.20	F	1
0.0032	0.7138	29.88	F	1
0.0030	0.7229	28.23	F	1
0.0028	0.7320	27.09	F	1
0.0026	0.7410	26.79	F	1
0.0024	0.7501	27.05	F	1
0.0022	0.7591	27.42	F	1
0.0020	0.7682	27.71	F	1
0.0018	0.7773	28.01	F	1
0.0016	0.7863	28.48	F	1
0.0014	0.7954	29.03	F	1
0.0012	0.8044	29.44	F	1
0.0010	0.8135	29.64	F	1
0.0008	0.8226	29.79	F	1
0.0006	0.8316	30.07	F	1
0.0004	0.8407	30.38	F	1
0.0002	0.8497	30.36	F	1
0.0000	0.8588	29.86	F	1
-0.0002	0.8679	29.11	F	1
-0.0004	0.8769	28.57	F	1
-0.0006	0.8860	28.52	F	1
-0.0008	0.8950	28.80	F	1
-0.0010	0.9041	28.91	F	1
-0.0012	0.9132	28.45	F	1
-0.0014	0.9222	27.53	F	1
-0.0016	0.9313	26.68	F	1
-0.0018	0.9403	26.22	F	1
-0.0020	0.9494	25.95	F	1
-0.0022	0.9585	25.52	F	1
-0.0024	0.9675	24.92	F	1
-0.0026	0.9766	24.42	F	1
-0.0028	0.9856	24.15	F	1
-0.0030	0.9947	24.13	F	1
-0.0032	1.0038	24.60	F	1
-0.0034	1.0128	25.93	F	1
-0.0036	1.0219	28.03	F	1
-0.0038	1.0309	30.11	F	1
-0.0040	1.0400	31.33	F	1
1.2260	0.1520	27.17	T	1
1.2170	0.1522	28.33	T	1
1.2081	0.1524	29.77	T	1
1.1991	0.1527	30.55	T	1
1.1902	0.1529	30.40	T	1
1.1812	0.1531	29.98	T	1
1.1723	0.1534	29.99	T	1
1.1633	0.1536	30.47	T	1
1.1544	0.1538	30.91	T	1
1.1454	0.1541	30.91	T	1
1.1365	0.1543	30.68	T	1
1.1275	0.1545	30.95	T	1
1.1186	0.1548	32.19	T	1
1.1096	0.1550	33.95	T	1
1.1007	0.1552	35.46	T	1
1.0917	0.1554	36.82	T	1
1.0828	0.1557	38.83	T	1
1.0738	0.1559	41.62	T	1
1.0649	0.1561	44.42	T	1
1.0559	0.1564	46.99	T	1
1.0470	0.1566	50.12	T	1
1.0380	0.1568	54.25	T	1
1.0291	0.1570	58.56	T	1
1.0201	0.1573	61.78	T	1
1.0112	0.1575	63.12	T	1
1.0022	0.1577	62.35	T	1
0.9933	0.1580	59.88	T	1
0.9843	0.1582	56.89	T	1
0.9754	0.1584	54.43	T	1
0.9664	0.1586	52.61	T	1
0.9575	0.1589	51.21	T	1
0.9485	0.1591	50.47	T	1
0.9396	0.1593	50.60	T	1
0.9306	0.1596	51.09	T	1
0.9217	0.1598	51.22	T	1
0.9127	0.1600	51.11	T	1
0.9038	0.1603	51.45	T	1
0.8948	0.1605	52.21	T	1
0.8859	0.1607	52.39	T	1
0.8769	0.1609	51.29	T	1
0.8680	0.1612	49.66	T	1
0.8590	0.1614	48.67	T	1
0.8501	0.1616	48.41	T	1
0.8411	0.1619	47.97	T	1
0.8322	0.1621	47.08	T	1
0.8232	0.1623	46.48	T	1
0.8143	0.1626	46.67	T	1
0.8053	0.1628	47.48	T	1
0.7964	0.1630	49.01	T	1
0.7874	0.1632	51.42	T	1
0.7785	0.1635	53.28	T	1
0.7695	0.1637	51.89	T	1
0.7605	0.1639	46.47	T	1
0.7516	0.1642	39.90	T	1
0.7427	0.1644	35.80	T	1
0.7337	0.1646	34.37	T	1
0.7248	0.1649	32.51	T	1
0.7158	0.1651	28.28	T	1
0.7068	0.1653	23.52	T	1
0.6979	0.1655	21.42	T	1
0.6890	0.1658	22.50	T	1
0.6800	0.1660	24.48	T	1
2.5400	0.1510	83.74	T	1
2.5461	0.1511	82.91	T	1
2.5522	0.1511	81.73	T	1
2.5583	0.1511	80.50	T	1
2.5644	0.1512	79.14	T	1
2.5705	0.1513	77.48	T	1
2.5766	0.1513	75.76	T	1
2.5827	0.1514	75.07	T	1
2.5888	0.1514	77.42	T	1
2.5949	0.1514	84.88	T	1
2.6010	0.1515	97.45	T	1
2.6071	0.1516	111.47	T	1
2.6132	0.1516	120.77	T	1
2.6193	0.1516	120.53	T	1
2.6254	0.1517	111.03	T	1
2.6315	0.1518	97.97	T	1
2.6376	0.1518	88.17	T	1
2.6437	0.1519	84.08	T	1
2.6498	0.1519	82.93	T	1
2.6559	0.1519	81.25	T	1
2.6620	0.1520	78.71	T	1
2.6740	0.1510	94.08	T	1
2.6826	0.1508	96.92	T	1
2.6912	0.1507	96.35	T	1
2.6998	0.1505	90.85	T	1
2.7084	0.1503	83.38	T	1
2.7170	0.1502	78.21	T	1
2.7256	0.1500	76.34	T	1
2.7342	0.1498	75.49	T	1
2.7428	0.1497	74.17	T	1
2.7514	0.1495	73.37	T	1
2.7600	0.1493	74.27	T	1
2.7686	0.1492	76.20	T	1
2.7772	0.1490	77.75	T	1
2.7858	0.1488	78.75	T	1
2.7944	0.1487	80.06	T	1
2.8030	0.1485	81.91	T	1
2.8116	0.1483	83.12	T	1
2.8202	0.1482	82.06	T	1
2.8288	0.1480	78.73	T	1
2.8374	0.1478	76.04	T	1
2.8460	0.1477	77.95	T	1
2.8546	0.1475	85.54	T	1
2.8632	0.1473	95.65	T	1
2.8718	0.1472	103.40	T	1
2.8804	0.1470	104.94	T	1
2.8890	0.1468	98.54	T	1
2.8976	0.1467	85.98	T	1
2.9062	0.1465	72.88	T	1
2.9148	0.1463	65.08	T	1
2.9234	0.1462	63.73	T	1
2.9320	0.1460	65.46	T	1
3.4740	0.1550	73.99	T	1
3.4649	0.1546	80.45	T	1
3.4558	0.1542	86.77	T	1
3.4468	0.1539	90.03	T	1
3.4377	0.1535	90.15	T	1
3.4286	0.1531	89.11	T	1
3.4195	0.1527	88.41	T	1
3.4104	0.1524	87.95	T	1
3.4014	0.1520	86.91	T	1
3.3923	0.1516	84.60	T	1
3.3832	0.1512	80.73	T	1
3.3741	0.1508	75.83	T	1
3.3650	0.1504	72.16	T	1
3.3559	0.1501	72.99	T	1
3.3469	0.1497	79.52	T	1
3.3378	0.1493	88.70	T	1
3.3287	0.1489	95.31	T	1
3.3196	0.1486	96.30	T	1
3.3105	0.1482	92.51	T	1
3.3014	0.1478	87.07	T	1
3.2924	0.1474	83.14	T	1
3.2833	0.1471	82.54	T	1
3.2742	0.1467	84.69	T	1
3.2651	0.1463	87.14	T	1
3.2561	0.1459	87.86	T	1
3.2470	0.1455	86.96	T	1
3.2379	0.1452	86.06	T	1
3.2288	0.1448	86.14	T	1
3.2197	0.1444	86.66	T	1
3.2106	0.1440	86.98	T	1
3.2016	0.1436	88.13	T	1
3.1925	0.1433	92.08	T	1
3.1834	0.1429	98.82	T	1
3.1743	0.1425	106.17	T	1
3.1652	0.1421	113.64	T	1
3.1562	0.1418	124.00	T	1
3.1471	0.1414	138.43	T	1
3.1380	0.1410	152.55	T	1
2.9460	0.1400	61.81	T	1
2.9553	0.1398	61.91	T	1
2.9645	0.1396	62.55	T	1
2.9738	0.1394	64.69	T	1
2.9830	0.1392	67.80	T	1
2.9923	0.1390	69.27	T	1
3.0015	0.1388	67.16	T	1
3.0108	0.1386	62.63	T	1
3.0200	0.1384	58.37	T	1
3.0293	0.1382	55.52	T	1
3.0385	0.1380	54.27	T	1
3.0478	0.1378	56.51	T	1
3.0570	0.1376	65.07	T	1
3.0663	0.1374	79.61	T	1
3.0755	0.1372	94.87	T	1
3.0848	0.1370	104.44	T	1
3.0940	0.1368	106.49	T	1
3.1033	0.1366	105.83	T	1
3.1125	0.1364	109.45	T	1
3.1218	0.1362	119.55	T	1
3.1310	0.1360	131.42	T	1
1.0700	0.3610	61.02	T	2
1.0789	0.3610	61.72	T	2
1.0879	0.3611	61.39	T	2
1.0968	0.3611	60.17	T	2
1.1058	0.3611	59.36	T	2
1.1147	0.3612	60.00	T	2
1.1236	0.3612	61.64	T	2
1.1326	0.3613	62.71	T	2
1.1415	0.3613	62.00	T	2
1.1504	0.3613	59.55	T	2
1.1594	0.3614	56.42	T	2
1.1683	0.3614	53.67	T	2
1.1773	0.3615	51.54	T	2
1.1862	0.3615	49.76	T	2
1.1951	0.3615	48.30	T	2
1.2041	0.3616	47.53	T	2
1.2130	0.3616	47.68	T	2
1.2219	0.3616	48.28	T	2
1.2309	0.3617	48.32	T	2
1.2398	0.3617	46.96	T	2
1.2488	0.3618	44.27	T	2
1.2577	0.3618	41.26	T	2
1.2666	0.3618	38.93	T	2
1.2756	0.3619	37.34	T	2
1.2845	0.3619	35.92	T	2
1.2934	0.3619	34.46	T	2
1.3024	0.3620	33.29	T	2
1.3113	0.3620	32.51	T	2
1.3203	0.3620	31.78	T	2
1.3292	0.3621	30.92	T	2
1.3381	0.3621	30.20	T	2
1.3471	0.3622	29.83	T	2
1.3560	0.3622	29.65	T	2
1.3649	0.3622	29.43	T	2
1.3739	0.3623	29.60	T	2
1.3828	0.3623	30.95	T	2
1.3918	0.3624	33.66	T	2
1.4007	0.3624	36.83	T	2
1.4096	0.3624	39.25	T	2
1.4186	0.3625	40.37	T	2
1.4275	0.3625	40.40	T	2
1.4364	0.3625	40.14	T	2
1.4454	0.3626	40.80	T	2
1.4543	0.3626	43.09	T	2
1.4633	0.3626	46.16	T	2
1.4722	0.3627	48.19	T	2
1.4811	0.3627	48.32	T	2
1.4901	0.3628	47.11	T	2
1.4990	0.3628	45.45	T	2
1.5079	0.3628	43.85	T	2
1.5169	0.3629	42.75	T	2
1.5258	0.3629	42.52	T	2
1.5348	0.3630	43.03	T	2
1.5437	0.3630	43.86	T	2
1.5526	0.3630	44.86	T	2
1.5616	0.3631	46.17	T	2
1.5705	0.3631	47.67	T	2
1.5794	0.3631	48.82	T	2
1.5884	0.3632	49.05	T	2
1.5973	0.3632	48.37	T	2
1.6063	0.3633	47.51	T	2
1.6152	0.3633	47.35	T	2
1.6241	0.3633	48.29	T	2
1.6331	0.3634	49.94	T	2
1.6420	0.3634	51.49	T	2
1.6509	0.3634	52.34	T	2
1.6599	0.3635	52.49	T	2
1.6688	0.3635	52.26	T	2
1.6778	0.3635	51.88	T	2
1.6867	0.3636	51.39	T	2
1.6956	0.3636	50.96	T	2
1.7046	0.3637	50.85	T	2
1.7135	0.3637	51.03	T	2
1.7224	0.3637	51.25	T	2
1.7314	0.3638	51.32	T	2
1.7403	0.3638	51.31	T	2
1.7493	0.3639	51.31	T	2
1.7582	0.3639	51.26	T	2
1.7671	0.3639	51.10	T	2
1.7761	0.3640	50.87	T	2
1.7850	0.3640	50.69	T	2
0.5100	0.3680	24.39	T	2
0.5193	0.3678	23.83	T	2
0.5287	0.3677	23.30	T	2
0.5380	0.3675	23.22	T	2
0.5473	0.3674	23.38	T	2
0.5567	0.3672	23.19	T	2
0.5660	0.3671	22.58	T	2
0.5754	0.3669	22.19	T	2
0.5847	0.3668	22.44	T	2
0.5940	0.3666	22.99	T	2
0.6034	0.3665	23.23	T	2
0.6127	0.3663	23.00	T	2
0.6221	0.3662	22.63	T	2
0.6314	0.3660	22.58	T	2
0.6407	0.3659	23.03	T	2
0.6501	0.3657	23.84	T	2
0.6594	0.3655	24.73	T	2
0.6688	0.3654	25.50	T	2
0.6781	0.3653	26.09	T	2
0.6874	0.3651	26.67	T	2
0.6968	0.3649	27.73	T	2
0.7061	0.3648	29.79	T	2
0.7155	0.3646	32.74	T	2
0.7248	0.3645	35.72	T	2
0.7341	0.3643	37.83	T	2
0.7435	0.3642	38.80	T	2
0.7528	0.3640	39.19	T	2
0.7622	0.3639	39.92	T	2
0.7715	0.3637	41.79	T	2
0.7808	0.3636	45.15	T	2
0.7902	0.3634	49.90	T	2
0.7995	0.3633	55.40	T	2
0.8088	0.3631	60.39	T	2
0.8182	0.3630	63.61	T	2
0.8275	0.3628	64.90	T	2
0.8369	0.3627	65.46	T	2
0.8462	0.3625	66.56	T	2
0.8555	0.3624	68.47	T	2
0.8649	0.3622	70.41	T	2
0.8742	0.3620	71.52	T	2
0.8835	0.3619	71.92	T	2
0.8929	0.3617	72.86	T	2
0.9022	0.3616	75.60	T	2
0.9116	0.3614	79.72	T	2
0.9209	0.3613	82.47	T	2
0.9303	0.3611	80.55	T	2
0.9396	0.3610	73.10	T	2
0.9489	0.3608	63.05	T	2
0.9583	0.3607	54.96	T	2
0.9676	0.3605	51.34	T	2
0.9769	0.3604	51.36	T	2
0.9863	0.3602	52.71	T	2
0.9956	0.3601	53.76	T	2
1.0050	0.3599	54.16	T	2
1.0143	0.3598	54.35	T	2
1.0236	0.3596	54.80	T	2
1.0330	0.3595	55.36	T	2
1.0423	0.3593	55.23	T	2
1.0517	0.3591	53.96	T	2
1.0610	0.3590	52.17	T	2
3.7930	0.3640	56.01	T	2
3.7886	0.3638	58.90	T	2
3.7841	0.3636	59.56	T	2
3.7797	0.3634	57.19	T	2
3.7753	0.3632	53.55	T	2
3.7708	0.3630	50.63	T	2
3.7664	0.3628	48.71	T	2
3.7620	0.3626	47.27	T	2
3.7576	0.3624	46.64	T	2
3.7531	0.3622	47.97	T	2
3.7487	0.3620	51.62	T	2
3.7443	0.3618	56.16	T	2
3.7398	0.3616	59.39	T	2
3.7354	0.3614	60.36	T	2
3.7310	0.3612	59.86	T	2
3.7265	0.3610	59.09	T	2
3.7221	0.3608	58.44	T	2
3.7177	0.3606	57.84	T	2
3.7133	0.3604	57.54	T	2
3.7088	0.3602	57.80	T	2
3.7044	0.3600	58.12	T	2
3.7000	0.3598	57.48	T	2
3.6955	0.3596	55.70	T	2
3.6911	0.3595	53.88	T	2
3.6867	0.3593	53.27	T	2
3.6822	0.3590	54.01	T	2
3.6778	0.3589	55.30	T	2
3.6734	0.3587	56.35	T	2
3.6689	0.3585	56.71	T	2
3.6645	0.3583	56.20	T	2
3.6601	0.3581	54.87	T	2
3.6557	0.3579	53.10	T	2
3.6512	0.3577	51.55	T	2
3.6468	0.3575	51.01	T	2
3.6424	0.3573	52.03	T	2
3.6379	0.3571	54.32	T	2
3.6335	0.3569	56.51	T	2
3.6291	0.3567	57.13	T	2
3.6246	0.3565	56.13	T	2
3.6202	0.3563	55.14	T	2
3.6158	0.3561	55.62	T	2
3.6114	0.3559	57.13	T	2
3.6069	0.3557	58.09	T	2
3.6025	0.3555	57.72	T	2
3.5981	0.3553	56.59	T	2
3.5936	0.3551	55.38	T	2
3.5892	0.3549	54.40	T	2
3.5848	0.3547	54.04	T	2
3.5803	0.3545	54.60	T	2
3.5759	0.3543	55.72	T	2
3.5715	0.3541	56.61	T	2
3.5671	0.3539	57.12	T	2
3.5626	0.3537	57.82	T	2
3.5582	0.3535	59.10	T	2
3.5538	0.3533	60.69	T	2
3.5493	0.3531	62.39	T	2
3.5449	0.3529	64.31	T	2
3.5405	0.3527	66.44	T	2
3.5360	0.3525	68.73	T	2
3.5316	0.3523	71.66	T	2
3.5272	0.3521	75.67	T	2
3.5228	0.3519	79.83	T	2
3.5183	0.3517	81.77	T	2
3.5139	0.3515	79.37	T	2
3.5095	0.3513	72.70	T	2
3.5050	0.3511	64.68	T	2
3.5006	0.3510	59.20	T	2
3.4962	0.3508	57.86	T	2
3.4917	0.3505	58.13	T	2
3.4873	0.3504	55.63	T	2
3.4829	0.3502	49.29	T	2
3.4784	0.3500	43.39	T	2
3.4740	0.3498	42.94	T	2
3.4696	0.3496	47.72	T	2
3.4652	0.3494	53.09	T	2
3.4607	0.3492	56.14	T	2
3.4563	0.3490	57.75	T	2
3.4519	0.3488	59.16	T	2
3.4474	0.3486	60.10	T	2
3.4430	0.3484	60.68	T	2
3.4386	0.3482	62.17	T	2
3.4341	0.3480	64.70	T	2
3.4297	0.3478	66.55	T	2
3.4253	0.3476	66.48	T	2
3.4209	0.3474	65.53	T	2
3.4164	0.3472	65.46	T	2
3.4120	0.3470	66.55	T	2
2.6860	0.3440	58.52	T	2
2.6803	0.3442	57.14	T	2
2.6745	0.3444	54.57	T	2
2.6688	0.3446	51.15	T	2
2.6631	0.3448	48.17	T	2
2.6573	0.3450	47.21	T	2
2.6516	0.3452	48.83	T	2
2.6459	0.3454	51.71	T	2
2.6401	0.3456	53.45	T	2
2.6344	0.3458	52.51	T	2
2.6287	0.3460	49.59	T	2
2.6229	0.3462	46.73	T	2
2.6172	0.3464	45.32	T	2
2.6115	0.3466	45.17	T	2
2.6057	0.3468	45.34	T	2
2.6000	0.3470	45.31	T	2
2.5943	0.3472	45.39	T	2
2.5885	0.3474	46.09	T	2
2.5828	0.3476	47.35	T	2
2.5771	0.3478	48.53	T	2
2.5713	0.3480	48.96	T	2
2.5656	0.3482	48.52	T	2
2.5599	0.3484	47.65	T	2
2.5541	0.3486	46.97	T	2
2.5484	0.3488	46.72	T	2
2.5427	0.3490	46.56	T	2
2.5369	0.3492	46.15	T	2
2.5312	0.3494	45.68	T	2
