"year"	"block"	"plot"	"gen"	"yield"
2000	"B3"	69	"Grazia"	4.65
2001	"B1"	44	"Grazia"	7.55
2001	"B2"	63	"Grazia"	7.53
2001	"B3"	26	"Grazia"	6.8
2002	"B1"	32	"Grazia"	4.07
2002	"B2"	65	"Grazia"	4.18
2002	"B3"	28	"Grazia"	4.77
1996	"B1"	63	"Iride"	6.23
1996	"B2"	92	"Iride"	6.44
1996	"B3"	182	"Iride"	5.45
1997	"B1"	49	"Iride"	7.82
1997	"B2"	138	"Iride"	7.84
1997	"B3"	185	"Iride"	7.51
1998	"B1"	77	"Iride"	6.45
1998	"B2"	200	"Iride"	6.55
1998	"B3"	301	"Iride"	6.18
1999	"B1"	100	"Iride"	8.16
1999	"B2"	200	"Iride"	7.79
1999	"B3"	296	"Iride"	8.02
2000	"B1"	16	"Iride"	6
2000	"B2"	51	"Iride"	5.97
2000	"B3"	82	"Iride"	6.18
2001	"B1"	16	"Iride"	7.48
2001	"B2"	37	"Iride"	7.92
2001	"B3"	81	"Iride"	7.72
2002	"B1"	19	"Iride"	5.18
2002	"B2"	79	"Iride"	4.88
2002	"B3"	55	"Iride"	4.83
1996	"B1"	32	"Sancarlo"	5.45
1996	"B2"	79	"Sancarlo"	6.01
1996	"B3"	184	"Sancarlo"	5.64
1997	"B1"	35	"Sancarlo"	6.85
1997	"B2"	121	"Sancarlo"	6.18
1997	"B3"	154	"Sancarlo"	7.29
1998	"B1"	63	"Sancarlo"	6.94
1998	"B2"	139	"Sancarlo"	7.32
1998	"B3"	303	"Sancarlo"	6.18
1999	"B1"	73	"Sancarlo"	7.49
1999	"B2"	169	"Sancarlo"	7.34
1999	"B3"	242	"Sancarlo"	7.41
2000	"B1"	57	"Sancarlo"	5.54
2000	"B2"	5	"Sancarlo"	5.93
2000	"B3"	38	"Sancarlo"	5.53
2001	"B1"	58	"Sancarlo"	6.47
2001	"B2"	77	"Sancarlo"	7.39
2001	"B3"	25	"Sancarlo"	6.16
2002	"B1"	5	"Sancarlo"	4.34
2002	"B2"	37	"Sancarlo"	4.41
2002	"B3"	70	"Sancarlo"	4.76
1996	"B1"	35	"Simeto"	4.99
1996	"B2"	121	"Simeto"	5.01
1996	"B3"	154	"Simeto"	5.23
1997	"B1"	33	"Simeto"	7.2
1997	"B2"	109	"Simeto"	7.1
1997	"B3"	200	"Simeto"	7.28
1998	"B1"	79	"Simeto"	6.75
1998	"B2"	167	"Simeto"	6.29
1998	"B3"	274	"Simeto"	6.26
1999	"B1"	85	"Simeto"	7.01
1999	"B2"	185	"Simeto"	7.04
1999	"B3"	241	"Simeto"	7.16
2000	"B1"	18	"Simeto"	5.24
2000	"B2"	48	"Simeto"	4.8
2000	"B3"	84	"Simeto"	4.42
2001	"B1"	59	"Simeto"	7.79
2001	"B2"	23	"Simeto"	7.09
2001	"B3"	56	"Simeto"	7.78
2002	"B1"	2	"Simeto"	3.03
2002	"B2"	34	"Simeto"	3.21
2002	"B3"	67	"Simeto"	3.78
1996	"B1"	33	"Solex"	6.08
1996	"B2"	109	"Solex"	6.38
1996	"B3"	200	"Solex"	5.97
1997	"B1"	20	"Solex"	6.09
1997	"B2"	140	"Solex"	6.64
1997	"B3"	198	"Solex"	6.46
1998	"B1"	94	"Solex"	6.3
1998	"B2"	197	"Solex"	6.95
1998	"B3"	289	"Solex"	6.07
1999	"B1"	86	"Solex"	7.5
1999	"B2"	197	"Solex"	6.35
1999	"B3"	270	"Solex"	6.77
2000	"B1"	4	"Solex"	5.68
2000	"B2"	36	"Solex"	5.49
2000	"B3"	70	"Solex"	5.18
2001	"B1"	43	"Solex"	7.55
2001	"B2"	76	"Solex"	8.32
2001	"B3"	24	"Solex"	6.7
2002	"B1"	74	"Solex"	4.49
2002	"B2"	9	"Solex"	4.99
2002	"B3"	56	"Solex"	4.89
