"time"	"manage"	"rep"	"sample"	"height"
"T1"	"M3"	"R2"	"S1"	108.3
"T1"	"M4"	"R2"	"S1"	108.1
"T1"	"M5"	"R2"	"S1"	104.9
"T1"	"M6"	"R2"	"S1"	106.3
"T1"	"M7"	"R2"	"S1"	105
"T1"	"M8"	"R2"	"S1"	108.9
"T2"	"M1"	"R2"	"S1"	110.3
"T2"	"M2"	"R2"	"S1"	113.5
"T2"	"M3"	"R2"	"S1"	109.2
"T2"	"M4"	"R2"	"S1"	115
"T2"	"M5"	"R2"	"S1"	105.1
"T2"	"M6"	"R2"	"S1"	105.2
"T2"	"M7"	"R2"	"S1"	97.5
"T2"	"M8"	"R2"	"S1"	104.3
"T3"	"M1"	"R2"	"S1"	107.6
"T3"	"M2"	"R2"	"S1"	102.5
"T3"	"M3"	"R2"	"S1"	104.1
"T3"	"M4"	"R2"	"S1"	108.1
"T3"	"M5"	"R2"	"S1"	99.2
"T3"	"M6"	"R2"	"S1"	96.2
"T3"	"M7"	"R2"	"S1"	98.1
"T3"	"M8"	"R2"	"S1"	104.3
"T4"	"M1"	"R2"	"S1"	110.1
"T4"	"M2"	"R2"	"S1"	111
"T4"	"M3"	"R2"	"S1"	108.1
"T4"	"M4"	"R2"	"S1"	112
"T4"	"M5"	"R2"	"S1"	102.5
"T4"	"M6"	"R2"	"S1"	111.7
"T4"	"M7"	"R2"	"S1"	99.5
"T4"	"M8"	"R2"	"S1"	100
"T1"	"M1"	"R2"	"S2"	109
"T1"	"M2"	"R2"	"S2"	109.6
"T1"	"M3"	"R2"	"S2"	110.2
"T1"	"M4"	"R2"	"S2"	107
"T1"	"M5"	"R2"	"S2"	102.4
"T1"	"M6"	"R2"	"S2"	104.5
"T1"	"M7"	"R2"	"S2"	102
"T1"	"M8"	"R2"	"S2"	105.8
"T2"	"M1"	"R2"	"S2"	108
"T2"	"M2"	"R2"	"S2"	112.5
"T2"	"M3"	"R2"	"S2"	106.2
"T2"	"M4"	"R2"	"S2"	112
"T2"	"M5"	"R2"	"S2"	102.3
"T2"	"M6"	"R2"	"S2"	108.2
"T2"	"M7"	"R2"	"S2"	96.3
"T2"	"M8"	"R2"	"S2"	107.5
"T3"	"M1"	"R2"	"S2"	106.2
"T3"	"M2"	"R2"	"S2"	105.8
"T3"	"M3"	"R2"	"S2"	102.3
"T3"	"M4"	"R2"	"S2"	105.6
"T3"	"M5"	"R2"	"S2"	101.3
"T3"	"M6"	"R2"	"S2"	96
"T3"	"M7"	"R2"	"S2"	96.2
"T3"	"M8"	"R2"	"S2"	106.4
"T4"	"M1"	"R2"	"S2"	109.5
"T4"	"M2"	"R2"	"S2"	111.3
"T4"	"M3"	"R2"	"S2"	106
"T4"	"M4"	"R2"	"S2"	109.3
"T4"	"M5"	"R2"	"S2"	103.8
"T4"	"M6"	"R2"	"S2"	110.5
"T4"	"M7"	"R2"	"S2"	97.8
"T4"	"M8"	"R2"	"S2"	103
"T1"	"M1"	"R3"	"S1"	109.2
"T1"	"M2"	"R3"	"S1"	108
"T1"	"M3"	"R3"	"S1"	102.4
"T1"	"M4"	"R3"	"S1"	102.5
"T1"	"M5"	"R3"	"S1"	100.8
"T1"	"M6"	"R3"	"S1"	106
"T1"	"M7"	"R3"	"S1"	104
"T1"	"M8"	"R3"	"S1"	95.8
"T2"	"M1"	"R3"	"S1"	113.6
"T2"	"M2"	"R3"	"S1"	103.6
"T2"	"M3"	"R3"	"S1"	113
"T2"	"M4"	"R3"	"S1"	109.6
"T2"	"M5"	"R3"	"S1"	116.3
"T2"	"M6"	"R3"	"S1"	115.5
"T2"	"M7"	"R3"	"S1"	100
"T2"	"M8"	"R3"	"S1"	106.8
"T3"	"M1"	"R3"	"S1"	113.2
"T3"	"M2"	"R3"	"S1"	106.7
"T3"	"M3"	"R3"	"S1"	105
"T3"	"M4"	"R3"	"S1"	103.8
"T3"	"M5"	"R3"	"S1"	100.1
"T3"	"M6"	"R3"	"S1"	106.1
"T3"	"M7"	"R3"	"S1"	102
"T3"	"M8"	"R3"	"S1"	94.2
"T4"	"M1"	"R3"	"S1"	115
"T4"	"M2"	"R3"	"S1"	96
"T4"	"M3"	"R3"	"S1"	107.2
"T4"	"M4"	"R3"	"S1"	117.6
"T4"	"M5"	"R3"	"S1"	108
"T4"	"M6"	"R3"	"S1"	107.5
"T4"	"M7"	"R3"	"S1"	104.3
"T4"	"M8"	"R3"	"S1"	104.9
"T1"	"M1"	"R3"	"S2"	106.7
"T1"	"M2"	"R3"	"S2"	106.3
"T1"	"M3"	"R3"	"S2"	103.2
"T1"	"M4"	"R3"	"S2"	104.4
"T1"	"M5"	"R3"	"S2"	101.3
"T1"	"M6"	"R3"	"S2"	108.4
"T1"	"M7"	"R3"	"S2"	103.7
"T1"	"M8"	"R3"	"S2"	99.2
"T2"	"M1"	"R3"	"S2"	113.5
"T2"	"M2"	"R3"	"S2"	102
"T2"	"M3"	"R3"	"S2"	111.9
"T2"	"M4"	"R3"	"S2"	108.2
"T2"	"M5"	"R3"	"S2"	114.3
"T2"	"M6"	"R3"	"S2"	118.8
"T2"	"M7"	"R3"	"S2"	102.3
"T2"	"M8"	"R3"	"S2"	107.6
"T3"	"M1"	"R3"	"S2"	115
"T3"	"M2"	"R3"	"S2"	104.6
"T3"	"M3"	"R3"	"S2"	105.3
"T3"	"M4"	"R3"	"S2"	104.3
"T3"	"M5"	"R3"	"S2"	98.6
"T3"	"M6"	"R3"	"S2"	104.4
"T3"	"M7"	"R3"	"S2"	100.6
"T3"	"M8"	"R3"	"S2"	92
"T4"	"M1"	"R3"	"S2"	112.5
"T4"	"M2"	"R3"	"S2"	97.2
"T4"	"M3"	"R3"	"S2"	107.4
"T4"	"M4"	"R3"	"S2"	119.5
"T4"	"M5"	"R3"	"S2"	107.2
"T4"	"M6"	"R3"	"S2"	107.3
"T4"	"M7"	"R3"	"S2"	103.3
"T4"	"M8"	"R3"	"S2"	106.4
