"plot"	"row"	"col"	"year"	"yield"
310	15	23	"Y1"	3.4
311	16	23	"Y1"	2.9
312	17	23	"Y1"	2.1
313	18	23	"Y1"	2.4
314	19	23	"Y1"	4.1
315	20	23	"Y1"	4.2
316	21	23	"Y1"	13.7
317	22	23	"Y1"	3.3
318	23	23	"Y1"	1.8
319	24	23	"Y1"	7.4
320	25	23	"Y1"	8.9
321	26	23	"Y1"	7
322	27	23	"Y1"	10.8
323	28	23	"Y1"	4.1
324	29	23	"Y1"	15.9
325	30	23	"Y1"	11.6
326	31	23	"Y1"	5.5
327	32	23	"Y1"	6.1
328	33	23	"Y1"	8.3
329	34	23	"Y1"	4.5
330	35	23	"Y1"	15.1
331	36	23	"Y1"	9.7
332	36	22	"Y1"	2.2
333	35	22	"Y1"	6.9
334	34	22	"Y1"	10.8
335	33	22	"Y1"	1.5
336	32	22	"Y1"	0.3
337	31	22	"Y1"	1
338	30	22	"Y1"	1.1
339	29	22	"Y1"	0.7
340	28	22	"Y1"	1.4
341	27	22	"Y1"	0.4
342	26	22	"Y1"	3.9
343	25	22	"Y1"	1.8
344	24	22	"Y1"	2.2
345	23	22	"Y1"	3.4
346	22	22	"Y1"	3.1
347	21	22	"Y1"	2.4
348	20	22	"Y1"	2.2
349	19	22	"Y1"	0.8
350	18	22	"Y1"	1.2
351	17	22	"Y1"	1.8
352	16	22	"Y1"	0.3
353	15	22	"Y1"	4
354	14	22	"Y1"	0.2
355	13	22	"Y1"	9
356	12	22	"Y1"	0.8
357	11	22	"Y1"	5.3
358	10	22	"Y1"	10.3
359	9	22	"Y1"	3.9
360	8	22	"Y1"	4.8
361	9	21	"Y1"	6.7
362	10	21	"Y1"	14.6
363	11	21	"Y1"	2.9
364	12	21	"Y1"	3.9
365	13	21	"Y1"	3.5
366	14	21	"Y1"	7.3
367	15	21	"Y1"	6.7
368	16	21	"Y1"	2.9
369	17	21	"Y1"	2.9
370	18	21	"Y1"	0.7
371	19	21	"Y1"	1.3
372	20	21	"Y1"	6.2
373	21	21	"Y1"	8.2
374	22	21	"Y1"	11.4
375	23	21	"Y1"	10.1
376	24	21	"Y1"	8
377	25	21	"Y1"	7.8
378	26	21	"Y1"	4
379	27	21	"Y1"	6
380	28	21	"Y1"	2.8
381	29	21	"Y1"	5.8
382	30	21	"Y1"	10.8
383	31	21	"Y1"	6.7
384	32	21	"Y1"	1.9
385	33	21	"Y1"	5
386	34	21	"Y1"	0.3
387	35	21	"Y1"	7.3
388	36	21	"Y1"	3
389	36	20	"Y1"	3.4
390	35	20	"Y1"	2.8
391	34	20	"Y1"	5.9
392	33	20	"Y1"	1.7
393	32	20	"Y1"	2.2
394	31	20	"Y1"	5.2
395	30	20	"Y1"	4
396	29	20	"Y1"	6.9
397	28	20	"Y1"	1.3
398	27	20	"Y1"	2.4
399	26	20	"Y1"	6
400	25	20	"Y1"	3.7
401	24	20	"Y1"	4.9
402	23	20	"Y1"	3.1
403	22	20	"Y1"	6
404	21	20	"Y1"	11
405	20	20	"Y1"	2.3
406	19	20	"Y1"	8.5
407	18	20	"Y1"	8.5
408	17	20	"Y1"	10.7
409	16	20	"Y1"	10.9
410	15	20	"Y1"	11.2
411	14	20	"Y1"	6.4
412	13	20	"Y1"	8.5
413	12	20	"Y1"	6.5
414	11	20	"Y1"	10.7
415	10	20	"Y1"	8.5
416	9	20	"Y1"	1.5
417	11	19	"Y1"	0.1
418	12	19	"Y1"	2.1
419	13	19	"Y1"	5.8
420	14	19	"Y1"	2.5
421	15	19	"Y1"	5.7
422	16	19	"Y1"	3
423	17	19	"Y1"	0.3
424	18	19	"Y1"	4.7
425	19	19	"Y1"	9.9
426	20	19	"Y1"	11.2
427	21	19	"Y1"	3.7
428	22	19	"Y1"	11.7
429	23	19	"Y1"	8
430	24	19	"Y1"	9.1
431	25	19	"Y1"	7.1
432	26	19	"Y1"	5.8
433	27	19	"Y1"	4.8
434	28	19	"Y1"	4.9
435	29	19	"Y1"	3.6
436	30	19	"Y1"	3
437	31	19	"Y1"	8.1
438	32	19	"Y1"	14.9
439	33	19	"Y1"	10.7
440	34	19	"Y1"	12.7
441	35	19	"Y1"	7.7
442	36	19	"Y1"	2.8
443	37	18	"Y1"	10.1
444	36	18	"Y1"	7.3
445	35	18	"Y1"	2.5
446	34	18	"Y1"	3
447	33	18	"Y1"	6.5
448	32	18	"Y1"	7.8
449	31	18	"Y1"	8.9
450	30	18	"Y1"	2.2
451	29	18	"Y1"	7.5
452	28	18	"Y1"	11.2
453	27	18	"Y1"	6.5
454	26	18	"Y1"	14.5
455	25	18	"Y1"	8.1
456	24	18	"Y1"	2.2
457	23	18	"Y1"	3
458	22	18	"Y1"	0.5
459	21	18	"Y1"	11.2
460	20	18	"Y1"	8.1
461	19	18	"Y1"	8.1
462	18	18	"Y1"	2.7
463	17	18	"Y1"	3
464	16	18	"Y1"	3.4
465	15	18	"Y1"	3.7
466	14	18	"Y1"	11.9
467	13	18	"Y1"	2.9
468	12	18	"Y1"	9.6
469	11	18	"Y1"	2.6
470	12	17	"Y1"	10.2
471	13	17	"Y1"	14.4
472	14	17	"Y1"	3.9
473	15	17	"Y1"	13.6
474	16	17	"Y1"	8.8
475	17	17	"Y1"	6
476	18	17	"Y1"	8.9
477	19	17	"Y1"	2.3
478	20	17	"Y1"	1.4
479	21	17	"Y1"	6.3
480	22	17	"Y1"	5.1
481	23	17	"Y1"	7.2
482	24	17	"Y1"	3.8
483	25	17	"Y1"	3.7
484	26	17	"Y1"	11.8
485	27	17	"Y1"	13.2
486	28	17	"Y1"	6.2
487	29	17	"Y1"	12.8
488	30	17	"Y1"	5.5
489	31	17	"Y1"	19.7
490	32	17	"Y1"	10.4
491	33	17	"Y1"	5.2
492	34	17	"Y1"	5.9
493	35	17	"Y1"	9.8
494	36	17	"Y1"	13.3
495	37	17	"Y1"	17.2
496	37	16	"Y1"	8.7
497	36	16	"Y1"	2.9
498	35	16	"Y1"	7
499	34	16	"Y1"	6.5
500	33	16	"Y1"	7.6
501	32	16	"Y1"	21.7
502	31	16	"Y1"	13.7
503	30	16	"Y1"	12.2
504	29	16	"Y1"	17.2
505	27	16	"Y1"	6.4
506	26	16	"Y1"	6.3
507	25	16	"Y1"	1.9
508	24	16	"Y1"	4.8
509	23	16	"Y1"	6.9
510	22	16	"Y1"	7.7
511	21	16	"Y1"	13.2
512	20	16	"Y1"	5.8
513	19	16	"Y1"	12.2
514	18	16	"Y1"	7.4
515	17	16	"Y1"	13.8
516	16	16	"Y1"	5.5
517	15	16	"Y1"	7.6
518	14	16	"Y1"	5.5
519	13	16	"Y1"	7.7
520	12	16	"Y1"	3.3
521	13	15	"Y1"	7.7
522	14	15	"Y1"	3.3
523	15	15	"Y1"	6
524	16	15	"Y1"	7.8
525	17	15	"Y1"	3.4
526	18	15	"Y1"	4.7
527	19	15	"Y1"	10.9
528	20	15	"Y1"	6.3
529	21	15	"Y1"	10.9
530	22	15	"Y1"	13.6
531	23	15	"Y1"	15.6
532	24	15	"Y1"	8.6
533	25	15	"Y1"	5.4
534	26	15	"Y1"	10.5
535	27	15	"Y1"	6.3
536	29	15	"Y1"	7.7
537	30	15	"Y1"	13.6
538	31	15	"Y1"	18.4
539	32	15	"Y1"	5.6
540	33	15	"Y1"	0.2
541	34	15	"Y1"	4.6
542	35	15	"Y1"	14.2
543	36	15	"Y1"	16.8
544	37	15	"Y1"	12.9
545	37	14	"Y1"	2.5
546	36	14	"Y1"	1.1
547	35	14	"Y1"	0.8
548	34	14	"Y1"	9.1
549	33	14	"Y1"	4.8
550	32	14	"Y1"	10.8
551	31	14	"Y1"	7.3
552	30	14	"Y1"	7.1
553	29	14	"Y1"	7
554	28	14	"Y1"	1.6
555	27	14	"Y1"	5.6
556	26	14	"Y1"	9.5
557	25	14	"Y1"	4.6
558	24	14	"Y1"	6.1
559	23	14	"Y1"	12.2
560	22	14	"Y1"	1.9
561	21	14	"Y1"	2.8
562	20	14	"Y1"	11.4
563	19	14	"Y1"	9.5
564	18	14	"Y1"	7.4
565	17	14	"Y1"	11.1
566	16	14	"Y1"	8.5
567	15	14	"Y1"	15.3
568	14	14	"Y1"	4.3
569	14	13	"Y1"	4.8
570	15	13	"Y1"	4.9
571	16	13	"Y1"	8
572	17	13	"Y1"	11.4
573	18	13	"Y1"	14.2
574	19	13	"Y1"	13.6
575	20	13	"Y1"	6.4
576	21	13	"Y1"	3.9
577	22	13	"Y1"	12.8
578	23	13	"Y1"	7.9
579	24	13	"Y1"	18.2
580	25	13	"Y1"	5.3
581	26	13	"Y1"	16.2
582	27	13	"Y1"	11.8
583	28	13	"Y1"	8.8
584	29	13	"Y1"	14.1
585	30	13	"Y1"	7.6
586	31	13	"Y1"	5.4
587	32	13	"Y1"	1.3
588	33	13	"Y1"	8.9
589	34	13	"Y1"	4.6
590	35	13	"Y1"	10.5
591	36	13	"Y1"	9
592	37	13	"Y1"	10.6
593	38	12	"Y1"	5
594	37	12	"Y1"	2.4
595	36	12	"Y1"	7.2
596	34	12	"Y1"	7.8
597	33	12	"Y1"	7.4
598	32	12	"Y1"	6.8
599	31	12	"Y1"	8
600	30	12	"Y1"	9.8
601	29	12	"Y1"	3.9
602	28	12	"Y1"	7
603	27	12	"Y1"	6.4
604	26	12	"Y1"	8.3
605	25	12	"Y1"	9.5
606	24	12	"Y1"	4.4
607	23	12	"Y1"	3.4
608	22	12	"Y1"	11.2
609	21	12	"Y1"	3.2
610	20	12	"Y1"	2.9
611	19	12	"Y1"	3.4
612	18	12	"Y1"	6.8
613	17	12	"Y1"	4.4
614	16	12	"Y1"	7
615	16	11	"Y1"	14.6
616	17	11	"Y1"	8
617	18	11	"Y1"	14
618	19	11	"Y1"	11.3
619	20	11	"Y1"	8.3
620	21	11	"Y1"	7.8
621	22	11	"Y1"	6.2
622	23	11	"Y1"	5.5
623	24	11	"Y1"	5.1
624	25	11	"Y1"	7.3
625	26	11	"Y1"	14.9
626	27	11	"Y1"	4.2
627	28	11	"Y1"	5.3
628	29	11	"Y1"	5.3
629	30	11	"Y1"	9.3
630	31	11	"Y1"	6.4
631	32	11	"Y1"	10.4
632	33	11	"Y1"	6.5
633	34	11	"Y1"	5.7
634	35	11	"Y1"	4.6
635	36	11	"Y1"	6.4
636	37	11	"Y1"	7.6
637	38	11	"Y1"	5.3
638	39	10	"Y1"	13
639	38	10	"Y1"	5.9
640	37	10	"Y1"	9.1
641	36	10	"Y1"	5.9
642	35	10	"Y1"	12
643	34	10	"Y1"	7.9
644	33	10	"Y1"	3.5
645	32	10	"Y1"	9
646	31	10	"Y1"	2
647	30	10	"Y1"	3.6
648	29	10	"Y1"	4.6
649	28	10	"Y1"	2.1
650	27	10	"Y1"	12.2
651	26	10	"Y1"	10.5
652	25	10	"Y1"	7
653	24	10	"Y1"	7.1
654	23	10	"Y1"	3.4
655	22	10	"Y1"	4.2
656	21	10	"Y1"	5.7
657	20	10	"Y1"	2.5
658	19	10	"Y1"	5.4
659	18	10	"Y1"	0.4
660	17	10	"Y1"	2.3
661	16	10	"Y1"	4.6
662	17	9	"Y1"	2.1
663	18	9	"Y1"	3
664	19	9	"Y1"	3
665	20	9	"Y1"	8.7
666	21	9	"Y1"	7.3
667	22	9	"Y1"	3.9
668	23	9	"Y1"	2.4
669	24	9	"Y1"	2.6
670	25	9	"Y1"	5.1
671	26	9	"Y1"	6.1
672	27	9	"Y1"	17.2
673	28	9	"Y1"	6.6
674	29	9	"Y1"	3.6
675	30	9	"Y1"	1.1
676	31	9	"Y1"	2.3
677	32	9	"Y1"	4
678	33	9	"Y1"	1.2
679	34	9	"Y1"	0.2
680	35	9	"Y1"	5.1
681	36	9	"Y1"	12.1
682	37	9	"Y1"	5.4
683	38	9	"Y1"	9.4
684	39	9	"Y1"	3.9
685	39	8	"Y1"	5.4
686	38	8	"Y1"	4.2
687	37	8	"Y1"	1.9
688	36	8	"Y1"	4.6
689	35	8	"Y1"	7.3
690	34	8	"Y1"	4.5
691	33	8	"Y1"	5
692	32	8	"Y1"	2.3
693	31	8	"Y1"	2
694	30	8	"Y1"	3.1
695	29	8	"Y1"	3.4
696	28	8	"Y1"	3.5
697	27	8	"Y1"	0.4
698	26	8	"Y1"	0.4
699	25	8	"Y1"	5.1
700	24	8	"Y1"	4.2
701	23	8	"Y1"	3.2
702	22	8	"Y1"	5.3
703	21	8	"Y1"	3.5
704	20	8	"Y1"	2.6
705	19	8	"Y1"	4.9
706	18	8	"Y1"	3.9
707	18	7	"Y1"	11.7
708	19	7	"Y1"	4.6
709	20	7	"Y1"	0.7
710	21	7	"Y1"	8.8
711	22	7	"Y1"	3.4
712	23	7	"Y1"	3.4
713	24	7	"Y1"	4
714	25	7	"Y1"	2.2
715	26	7	"Y1"	2.4
716	27	7	"Y1"	1.5
717	28	7	"Y1"	4.2
718	29	7	"Y1"	1.1
719	30	7	"Y1"	1.4
720	31	7	"Y1"	2.6
721	32	7	"Y1"	1.2
722	33	7	"Y1"	1.9
723	34	7	"Y1"	1.5
724	35	7	"Y1"	1
725	36	7	"Y1"	3.5
726	37	7	"Y1"	4.2
727	38	7	"Y1"	3
728	39	7	"Y1"	NA
729	39	6	"Y1"	3.1
730	38	6	"Y1"	NA
731	37	6	"Y1"	0.2
732	36	6	"Y1"	5.3
733	35	6	"Y1"	4.2
734	34	6	"Y1"	3.3
735	33	6	"Y1"	3.5
736	32	6	"Y1"	3.6
737	31	6	"Y1"	NA
738	30	6	"Y1"	3.7
739	29	6	"Y1"	3.6
740	28	6	"Y1"	5.8
741	27	6	"Y1"	5.1
742	26	6	"Y1"	NA
743	25	6	"Y1"	3.1
744	24	6	"Y1"	NA
745	23	6	"Y1"	2.9
746	22	6	"Y1"	2.4
747	21	6	"Y1"	3
748	20	6	"Y1"	1.9
749	19	6	"Y1"	2.4
750	20	5	"Y1"	2.6
751	21	5	"Y1"	NA
752	22	5	"Y1"	NA
753	23	5	"Y1"	NA
754	24	5	"Y1"	NA
755	25	5	"Y1"	0.2
756	26	5	"Y1"	0.2
757	27	5	"Y1"	1.4
758	28	5	"Y1"	NA
759	29	5	"Y1"	1.8
760	30	5	"Y1"	1.7
761	31	5	"Y1"	2.2
762	32	5	"Y1"	6.3
763	33	5	"Y1"	5
764	34	5	"Y1"	NA
765	35	5	"Y1"	0.7
766	36	5	"Y1"	13.7
767	37	5	"Y1"	9.3
768	38	5	"Y1"	2.2
769	39	5	"Y1"	NA
770	40	4	"Y1"	3.6
771	39	4	"Y1"	7.9
772	38	4	"Y1"	0.2
773	37	4	"Y1"	5.6
774	36	4	"Y1"	3.2
775	35	4	"Y1"	0.3
776	34	4	"Y1"	6.5
777	33	4	"Y1"	3.9
778	32	4	"Y1"	NA
779	31	4	"Y1"	6.2
780	30	4	"Y1"	9.7
781	29	4	"Y1"	NA
782	28	4	"Y1"	6.9
783	27	4	"Y1"	4.3
784	26	4	"Y1"	5.2
785	25	4	"Y1"	3.8
786	24	4	"Y1"	2.3
787	23	4	"Y1"	3.2
788	22	4	"Y1"	5.4
789	21	4	"Y1"	3.4
790	20	4	"Y1"	3.1
791	21	3	"Y1"	9.4
792	22	3	"Y1"	6.2
793	23	3	"Y1"	5
794	24	3	"Y1"	7.7
795	25	3	"Y1"	2.8
796	26	3	"Y1"	6.2
797	27	3	"Y1"	3.1
798	28	3	"Y1"	NA
799	29	3	"Y1"	1.4
800	30	3	"Y1"	10
801	31	3	"Y1"	NA
802	32	3	"Y1"	9.2
803	33	3	"Y1"	7.7
804	34	3	"Y1"	NA
805	35	3	"Y1"	NA
806	36	3	"Y1"	4.6
807	37	3	"Y1"	0.4
808	38	3	"Y1"	NA
809	39	3	"Y1"	11.2
810	40	3	"Y1"	3.6
811	41	2	"Y1"	4.1
812	40	2	"Y1"	5.1
813	39	2	"Y1"	NA
814	38	2	"Y1"	0.9
815	37	2	"Y1"	0.7
816	36	2	"Y1"	NA
817	35	2	"Y1"	5.4
818	34	2	"Y1"	1.4
819	33	2	"Y1"	2.1
820	32	2	"Y1"	2.1
821	31	2	"Y1"	1.7
822	30	2	"Y1"	NA
823	29	2	"Y1"	NA
824	28	2	"Y1"	1.5
825	27	2	"Y1"	NA
826	26	2	"Y1"	NA
827	25	2	"Y1"	0.4
828	24	2	"Y1"	3
829	23	2	"Y1"	3.1
830	22	2	"Y1"	2.8
831	35	1	"Y1"	5.1
832	36	1	"Y1"	3
833	37	1	"Y1"	6.2
834	38	1	"Y1"	2.7
835	39	1	"Y1"	2.7
836	40	1	"Y1"	4.2
837	41	1	"Y1"	3.9
838	42	1	"Y1"	3
1	3	33	"Y2"	11.6
2	4	33	"Y2"	4.1
3	5	33	"Y2"	6.3
4	6	33	"Y2"	2.8
5	7	33	"Y2"	2.3
6	8	33	"Y2"	9.8
7	9	33	"Y2"	3.3
8	10	33	"Y2"	6
9	11	33	"Y2"	3.3
10	12	33	"Y2"	3.3
11	13	33	"Y2"	10.5
12	14	33	"Y2"	17.5
3	15	33	"Y2"	8.1
15	16	33	"Y2"	6.7
15	17	33	"Y2"	12.3
16	18	33	"Y2"	9.3
17	21	33	"Y2"	10.6
18	22	33	"Y2"	6.6
19	23	33	"Y2"	9.4
20	24	33	"Y2"	17.2
21	25	33	"Y2"	14.2
22	26	33	"Y2"	16.9
25	27	33	"Y2"	13.7
25	28	33	"Y2"	5.5
25	29	33	"Y2"	8.8
26	30	33	"Y2"	11
27	31	33	"Y2"	5.2
28	31	32	"Y2"	4
29	30	32	"Y2"	5.6
30	29	32	"Y2"	10.5
31	28	32	"Y2"	6.5
32	27	32	"Y2"	8.8
33	26	32	"Y2"	3
34	25	32	"Y2"	5.9
35	24	32	"Y2"	9
36	23	32	"Y2"	3.2
37	22	32	"Y2"	4.5
38	21	32	"Y2"	0.8
39	20	32	"Y2"	3.1
40	19	32	"Y2"	2.2
41	18	32	"Y2"	5.1
42	17	32	"Y2"	3
43	16	32	"Y2"	6.9
44	15	32	"Y2"	5.1
45	14	32	"Y2"	1.3
46	13	32	"Y2"	2.3
47	12	32	"Y2"	3.5
