"gen"	"male"	"female"	"env"	"yield"
"A509xF7"	"A509"	"F7"	"pc95"	3.28
"A509xPB60"	"A509"	"PB60"	"pc95"	3.99
"A509xZ77016"	"A509"	"Z77016"	"pc95"	5.45
"A637xA661"	"A637"	"A661"	"pc95"	5.86
"A637xCM105"	"A637"	"CM105"	"pc95"	6.24
"A637xEP28"	"A637"	"EP28"	"pc95"	4.31
"A637xEP31"	"A637"	"EP31"	"pc95"	6.26
"A637xEP42"	"A637"	"EP42"	"pc95"	6.22
"A637xF7"	"A637"	"F7"	"pc95"	5.62
"A637xPB60"	"A637"	"PB60"	"pc95"	5.63
"A637xZ77016"	"A637"	"Z77016"	"pc95"	5.4
"A661xCM105"	"A661"	"CM105"	"pc95"	6.52
"A661xEP28"	"A661"	"EP28"	"pc95"	3.8
"A661xEP31"	"A661"	"EP31"	"pc95"	4.41
"A661xEP42"	"A661"	"EP42"	"pc95"	7.4
"A661xF7"	"A661"	"F7"	"pc95"	5.54
"A661xPB60"	"A661"	"PB60"	"pc95"	5.17
"A661xZ77016"	"A661"	"Z77016"	"pc95"	3.74
"CM105xEP28"	"CM105"	"EP28"	"pc95"	5.77
"CM105xEP31"	"CM105"	"EP31"	"pc95"	4.94
"CM105xEP42"	"CM105"	"EP42"	"pc95"	6.02
"CM105xF7"	"CM105"	"F7"	"pc95"	3.38
"CM105xPB60"	"CM105"	"PB60"	"pc95"	6.9
"CM105xZ77016"	"CM105"	"Z77016"	"pc95"	4.49
"EP28xEP31"	"EP28"	"EP31"	"pc95"	4.91
"EP28xEP42"	"EP28"	"EP42"	"pc95"	6.13
"EP28xF7"	"EP28"	"F7"	"pc95"	5.1
"EP28xPB60"	"EP28"	"PB60"	"pc95"	4.25
"EP28xZ77016"	"EP28"	"Z77016"	"pc95"	3.13
"EP31xEP42"	"EP31"	"EP42"	"pc95"	6.4
"EP31xF7"	"EP31"	"F7"	"pc95"	3.6
"EP31xPB60"	"EP31"	"PB60"	"pc95"	5.64
"EP31xZ77016"	"EP31"	"Z77016"	"pc95"	4.69
"EP42xF7"	"EP42"	"F7"	"pc95"	4.45
"EP42xPB60"	"EP42"	"PB60"	"pc95"	4.64
"EP42xZ77016"	"EP42"	"Z77016"	"pc95"	5.38
"F7xPB60"	"F7"	"PB60"	"pc95"	4.79
"F7xZ77016"	"F7"	"Z77016"	"pc95"	2.05
"PB60xZ77016"	"PB60"	"Z77016"	"pc95"	4.53
"DMB15-70"	NA	NA	"pc95"	7.12
"DK485"	NA	NA	"pc95"	6.55
"INRA260"	NA	NA	"pc95"	5.56
"MISION202"	NA	NA	"pc95"	6.04
"A509xA637"	"A509"	"A637"	"pc96"	6.8
"A509xA661"	"A509"	"A661"	"pc96"	5.61
"A509xCM105"	"A509"	"CM105"	"pc96"	7.28
"A509xEP28"	"A509"	"EP28"	"pc96"	5.92
"A509xEP31"	"A509"	"EP31"	"pc96"	5.56
"A509xEP42"	"A509"	"EP42"	"pc96"	8.15
"A509xF7"	"A509"	"F7"	"pc96"	4.88
"A509xPB60"	"A509"	"PB60"	"pc96"	6.55
"A509xZ77016"	"A509"	"Z77016"	"pc96"	6.68
"A637xA661"	"A637"	"A661"	"pc96"	8.01
"A637xCM105"	"A637"	"CM105"	"pc96"	7.81
"A637xEP28"	"A637"	"EP28"	"pc96"	6.68
"A637xEP31"	"A637"	"EP31"	"pc96"	6.52
"A637xEP42"	"A637"	"EP42"	"pc96"	9.09
"A637xF7"	"A637"	"F7"	"pc96"	6.97
"A637xPB60"	"A637"	"PB60"	"pc96"	7.04
"A637xZ77016"	"A637"	"Z77016"	"pc96"	6.96
"A661xCM105"	"A661"	"CM105"	"pc96"	8.06
"A661xEP28"	"A661"	"EP28"	"pc96"	7.62
"A661xEP31"	"A661"	"EP31"	"pc96"	6.54
"A661xEP42"	"A661"	"EP42"	"pc96"	8.75
"A661xF7"	"A661"	"F7"	"pc96"	8.87
"A661xPB60"	"A661"	"PB60"	"pc96"	7.72
"A661xZ77016"	"A661"	"Z77016"	"pc96"	8.01
"CM105xEP28"	"CM105"	"EP28"	"pc96"	7.26
"CM105xEP31"	"CM105"	"EP31"	"pc96"	7.48
"CM105xEP42"	"CM105"	"EP42"	"pc96"	8.4
"CM105xF7"	"CM105"	"F7"	"pc96"	7.53
"CM105xPB60"	"CM105"	"PB60"	"pc96"	8.12
"CM105xZ77016"	"CM105"	"Z77016"	"pc96"	8.88
"EP28xEP31"	"EP28"	"EP31"	"pc96"	6.6
"EP28xEP42"	"EP28"	"EP42"	"pc96"	8.95
"EP28xF7"	"EP28"	"F7"	"pc96"	6.54
"EP28xPB60"	"EP28"	"PB60"	"pc96"	7.93
"EP28xZ77016"	"EP28"	"Z77016"	"pc96"	5.84
"EP31xEP42"	"EP31"	"EP42"	"pc96"	7.89
"EP31xF7"	"EP31"	"F7"	"pc96"	5.91
"EP31xPB60"	"EP31"	"PB60"	"pc96"	5.89
"EP31xZ77016"	"EP31"	"Z77016"	"pc96"	6.68
"EP42xF7"	"EP42"	"F7"	"pc96"	7.33
"EP42xPB60"	"EP42"	"PB60"	"pc96"	8.76
"EP42xZ77016"	"EP42"	"Z77016"	"pc96"	7.25
"F7xPB60"	"F7"	"PB60"	"pc96"	6.48
"F7xZ77016"	"F7"	"Z77016"	"pc96"	3.92
"PB60xZ77016"	"PB60"	"Z77016"	"pc96"	4.95
"DMB15-70"	NA	NA	"pc96"	7.51
"DK485"	NA	NA	"pc96"	7.7
"INRA260"	NA	NA	"pc96"	7.43
"MISION202"	NA	NA	"pc96"	6.83
