rep	row	pos	spacing	stock	gen	yield	trt
R4	11	5	14	Seedling	Redspur	145.5	1401
R4	11	2	14	Seedling	Golden	204.1	1402
R4	11	11	14	MM111	Redspur	176.8	1411
R4	11	8	14	MM111	Golden	134.1	1412
R4	11	14	14	M0007	Redspur	NA	1471
R4	11	17	14	M0007	Golden	220	1472
R4	12	9	10	Seedling	Redspur	120.5	1001
R4	12	17	10	MM106	Golden	130	1062
R4	12	15	10	M0007	Redspur	NA	1071
R4	12	13	10	M0007	Golden	NA	1072
R4	12	11	10	Seedling	Golden	NA	1002
R4	12	2	14	MM106	Redspur	282.3	1461
R4	12	5	14	MM106	Golden	188.2	1462
R4	13	15	6	Seedling	Redspur	103.2	601
R4	13	14	6	Seedling	Golden	168.6	602
R4	13	11	6	MM111	Redspur	159.5	611
R4	13	10	6	MM111	Golden	79.5	612
R4	13	16	6	MM106	Redspur	169.5	661
R4	13	17	6	MM106	Golden	117.7	662
R4	13	13	6	M0007	Redspur	150.9	671
R4	13	12	6	M0007	Golden	177.7	672
R4	13	6	10	MM111	Redspur	197.7	1011
R4	13	4	10	MM111	Golden	151.4	1012
R4	13	2	10	MM106	Redspur	248.6	1061
R5	14	6	10	Seedling	Redspur	198.2	1001
R5	14	8	10	Seedling	Golden	124.5	1002
R5	14	14	10	MM111	Redspur	167.3	1011
R5	14	16	10	MM111	Golden	145.5	1012
R5	14	2	10	MM106	Redspur	228.2	1061
R5	14	4	10	MM106	Golden	NA	1062
R5	14	10	10	M0007	Redspur	198.2	1071
R5	14	12	10	M0007	Golden	NA	1072
R5	15	1	6	Seedling	Redspur	124.1	601
R5	15	2	6	Seedling	Golden	158.6	602
R5	15	6	6	MM111	Redspur	129.5	611
R5	15	5	6	MM111	Golden	71.4	612
R5	15	7	6	MM106	Redspur	182.7	661
R5	15	8	6	MM106	Golden	NA	662
R5	15	4	6	M0007	Redspur	66.4	671
R5	15	3	6	M0007	Golden	109.1	672
R5	15	12	14	M0007	Golden	NA	1472
R5	15	15	14	M0007	Redspur	185	1471
R5	16	8	14	Seedling	Redspur	168.6	1401
R5	16	11	14	Seedling	Golden	168.2	1402
R5	16	14	14	MM111	Golden	NA	1412
R5	16	5	14	MM106	Redspur	NA	1461
R5	16	17	14	MM111	Redspur	202.7	1411
R5	16	2	14	MM106	Golden	210	1462
