"gen"	"env"	"straw"	"emergence"
988	"1973b"	NA	NA
1189	"1973b"	NA	NA
1567	"1973b"	NA	NA
1571	"1973b"	NA	NA
2079	"1973b"	NA	NA
2098	"1973b"	NA	NA
2194	"1973b"	NA	NA
2208	"1973b"	NA	NA
2217	"1973b"	NA	NA
2495	"1973b"	NA	NA
2499	"1973b"	NA	NA
