"stage"	"defoliation"	"plant"	"rep"	"reproductive"	"bolls"	"height"	"nodes"	"weight"
"blossom"	75	1	"R5"	3	2	66	18	13.99
"blossom"	100	1	"R1"	4	4	68	15	16.851
"blossom"	100	1	"R2"	4	2	73	18	8.522
"blossom"	100	1	"R3"	4	3	80	17	9.686
"blossom"	100	1	"R4"	3	3	86	17	14.556
"blossom"	100	1	"R5"	4	4	63	14	17.435
"boll"	0	1	"R1"	5	5	62.5	13	28.103
"boll"	0	1	"R2"	5	5	62	13	28.9
"boll"	0	1	"R3"	5	5	75	16	25.46
"boll"	0	1	"R4"	4	4	65.5	12	27.69
"boll"	0	1	"R5"	5	5	61	13	34.75
"boll"	25	1	"R1"	4	4	67	14	30.678
"boll"	25	1	"R2"	4	4	72	15	30.36
"boll"	25	1	"R3"	2	2	62	15	23.33
"boll"	25	1	"R4"	5	5	71	14	19.581
"boll"	25	1	"R5"	3	2	62	15	28.655
"boll"	50	1	"R1"	4	4	58	14	27.991
"boll"	50	1	"R2"	4	4	66	14	26.994
"boll"	50	1	"R3"	5	5	59	14	30.878
"boll"	50	1	"R4"	4	4	71	14	28.358
"boll"	50	1	"R5"	5	5	73	15	29.39
"boll"	75	1	"R1"	4	2	52.5	14	20.312
"boll"	75	1	"R2"	4	4	72	17	22.56
"boll"	75	1	"R3"	3	3	63	15	23.81
"boll"	75	1	"R4"	3	3	58	16	20.754
"boll"	75	1	"R5"	4	4	55.5	15	22.23
"boll"	100	1	"R1"	5	2	51	19	8.75
"boll"	100	1	"R2"	4	1	82	17	4.735
"boll"	100	1	"R3"	1	1	65.5	17	5.56
"boll"	100	1	"R4"	2	2	67	17	9.055
"boll"	100	1	"R5"	2	2	53.5	18	5.535
"bollopen"	0	1	"R1"	6	6	74.5	15	34.14
"bollopen"	0	1	"R2"	4	4	68	15	28.777
"bollopen"	0	1	"R3"	4	4	69.5	11	36.58
"bollopen"	0	1	"R4"	6	6	66.5	14	38.32
"bollopen"	0	1	"R5"	5	5	66	13	33.1
"bollopen"	25	1	"R1"	4	4	74	14	29.128
"bollopen"	25	1	"R2"	5	5	58.5	11	34.105
"bollopen"	25	1	"R3"	5	5	68	13	28.87
"bollopen"	25	1	"R4"	6	6	72	15	29.76
"bollopen"	25	1	"R5"	4	4	55	14	33.763
"bollopen"	50	1	"R1"	4	4	73	13	29.122
"bollopen"	50	1	"R2"	2	2	67	14	25.97
"bollopen"	50	1	"R3"	3	3	74.5	16	25.735
"bollopen"	50	1	"R4"	4	4	72.5	12	29.93
"bollopen"	50	1	"R5"	5	5	74.5	14	31.51
"bollopen"	75	1	"R1"	3	3	52	12	29.46
"bollopen"	75	1	"R2"	6	6	61	15	25.255
"bollopen"	75	1	"R3"	5	5	61	14	32.48
"bollopen"	75	1	"R4"	3	3	64	13	26.82
"bollopen"	75	1	"R5"	5	5	70	14	28.74
"bollopen"	100	1	"R1"	5	5	80	16	22.46
"bollopen"	100	1	"R2"	4	4	78	16	25.75
"bollopen"	100	1	"R3"	5	5	69	14	30.76
"bollopen"	100	1	"R4"	5	5	71	15	22.2
"bollopen"	100	1	"R5"	6	6	71	16	25.575
"vegetative"	0	2	"R1"	5	5	78	16	NA
"vegetative"	0	2	"R2"	5	5	82.5	12	NA
"vegetative"	0	2	"R3"	4	4	74	15	NA
"vegetative"	0	2	"R4"	3	3	70	12	NA
"vegetative"	0	2	"R5"	5	5	77.5	13	NA
"vegetative"	25	2	"R1"	6	6	79.5	15	NA
"vegetative"	25	2	"R2"	4	4	79.5	16	NA
"vegetative"	25	2	"R3"	5	5	68	13	NA
"vegetative"	25	2	"R4"	5	5	87.5	15	NA
"vegetative"	25	2	"R5"	5	5	77.5	13	NA
"vegetative"	50	2	"R1"	4	4	76	14	NA
"vegetative"	50	2	"R2"	4	4	77.5	14	NA
"vegetative"	50	2	"R3"	5	5	68	15	NA
"vegetative"	50	2	"R4"	4	4	81	15	NA
"vegetative"	50	2	"R5"	4	4	75	13	NA
"vegetative"	75	2	"R1"	4	4	75	15	NA
"vegetative"	75	2	"R2"	4	4	81.5	16	NA
"vegetative"	75	2	"R3"	5	5	80	14	NA
"vegetative"	75	2	"R4"	4	4	69.5	14	NA
"vegetative"	75	2	"R5"	5	5	77.5	14	NA
"vegetative"	100	2	"R1"	3	3	74	14	NA
"vegetative"	100	2	"R2"	4	4	83	16	NA
"vegetative"	100	2	"R3"	4	4	78	15	NA
"vegetative"	100	2	"R4"	1	0	69	16	NA
"vegetative"	100	2	"R5"	4	4	81.5	14	NA
"flowerbud"	0	2	"R1"	3	3	79	14	NA
"flowerbud"	0	2	"R2"	4	4	75	14	NA
"flowerbud"	0	2	"R3"	4	4	66	12	NA
"flowerbud"	0	2	"R4"	4	4	69	13	NA
"flowerbud"	0	2	"R5"	5	5	57	13	NA
"flowerbud"	25	2	"R1"	4	4	86	16	NA
"flowerbud"	25	2	"R2"	6	6	69	14	NA
"flowerbud"	25	2	"R3"	3	3	67	15	NA
"flowerbud"	25	2	"R4"	5	5	65	15	NA
"flowerbud"	25	2	"R5"	5	5	73	16	NA
"flowerbud"	50	2	"R1"	5	4	74	16	NA
"flowerbud"	50	2	"R2"	5	5	67.5	17	NA
"flowerbud"	50	2	"R3"	4	4	72	15	NA
"flowerbud"	50	2	"R4"	5	5	61.5	15	NA
"flowerbud"	50	2	"R5"	4	4	73	15	NA
"flowerbud"	75	2	"R1"	6	6	76	16	NA
"flowerbud"	75	2	"R2"	5	5	82	17	NA
"flowerbud"	75	2	"R3"	3	3	52	15	NA
"flowerbud"	75	2	"R4"	5	5	72.5	17	NA
"flowerbud"	75	2	"R5"	6	6	72.5	14	NA
"flowerbud"	100	2	"R1"	4	3	69	14	NA
"flowerbud"	100	2	"R2"	3	3	88	17	NA
"flowerbud"	100	2	"R3"	4	4	82	17	NA
"flowerbud"	100	2	"R4"	3	4	76	16	NA
"flowerbud"	100	2	"R5"	4	3	79	14	NA
"blossom"	0	2	"R1"	6	6	63.5	15	NA
"blossom"	0	2	"R2"	5	5	63	11	NA
"blossom"	0	2	"R3"	3	3	62	14	NA
"blossom"	0	2	"R4"	7	6	68	14	NA
"blossom"	0	2	"R5"	3	3	63	16	NA
"blossom"	25	2	"R1"	3	3	92	17	NA
"blossom"	25	2	"R2"	3	3	65	14	NA
"blossom"	25	2	"R3"	5	3	66.5	17	NA
"blossom"	25	2	"R4"	3	3	63	16	NA
"blossom"	25	2	"R5"	1	1	62	14	NA
"blossom"	50	2	"R1"	4	4	66	17	NA
"blossom"	50	2	"R2"	3	3	73	17	NA
"blossom"	50	2	"R3"	3	3	60.5	16	NA
"blossom"	50	2	"R4"	2	1	75	15	NA
"blossom"	50	2	"R5"	4	3	68	15	NA
"blossom"	75	2	"R1"	4	4	67	15	NA
"blossom"	75	2	"R2"	2	2	78.5	17	NA
"blossom"	75	2	"R3"	4	4	71	16	NA
"blossom"	75	2	"R4"	3	3	56.5	15	NA
"blossom"	75	2	"R5"	4	2	74	20	NA
"blossom"	100	2	"R1"	1	1	60	14	NA
"blossom"	100	2	"R2"	3	3	79	20	NA
"blossom"	100	2	"R3"	2	1	75	18	NA
"blossom"	100	2	"R4"	3	1	75	17	NA
"blossom"	100	2	"R5"	1	1	80.5	16	NA
"boll"	0	2	"R1"	3	3	65	14	NA
"boll"	0	2	"R2"	5	5	68.5	13	NA
"boll"	0	2	"R3"	2	2	58	16	NA
"boll"	0	2	"R4"	4	4	67	13	NA
"boll"	0	2	"R5"	5	5	66	13	NA
"boll"	25	2	"R1"	5	5	70	15	NA
"boll"	25	2	"R2"	4	2	60	15	NA
"boll"	25	2	"R3"	4	4	68	14	NA
"boll"	25	2	"R4"	3	3	51	14	NA
"boll"	25	2	"R5"	4	4	68	15	NA
"boll"	50	2	"R1"	5	5	57	15	NA
"boll"	50	2	"R2"	3	3	57	13	NA
"boll"	50	2	"R3"	5	6	68	15	NA
"boll"	50	2	"R4"	4	4	51	15	NA
"boll"	50	2	"R5"	4	4	60.5	15	NA
"boll"	75	2	"R1"	4	4	65	16	NA
"boll"	75	2	"R2"	3	2	61	14	NA
"boll"	75	2	"R3"	3	3	49	15	NA
"boll"	75	2	"R4"	3	3	61	16	NA
"boll"	75	2	"R5"	3	3	54.5	15	NA
"boll"	100	2	"R1"	2	1	75	16	NA
"boll"	100	2	"R2"	2	2	56.5	15	NA
"boll"	100	2	"R3"	4	1	73.5	18	NA
"boll"	100	2	"R4"	4	2	66	17	NA
"boll"	100	2	"R5"	1	1	57.5	19	NA
"bollopen"	0	2	"R1"	5	5	62.5	14	NA
"bollopen"	0	2	"R2"	3	3	69.5	14	NA
"bollopen"	0	2	"R3"	5	5	69	15	NA
"bollopen"	0	2	"R4"	6	6	61.5	13	NA
"bollopen"	0	2	"R5"	6	6	64	11	NA
"bollopen"	25	2	"R1"	5	5	75	13	NA
"bollopen"	25	2	"R2"	8	8	84	16	NA
"bollopen"	25	2	"R3"	3	3	73	17	NA
"bollopen"	25	2	"R4"	4	4	51	10	NA
"bollopen"	25	2	"R5"	6	6	57	14	NA
"bollopen"	50	2	"R1"	5	5	70	16	NA
"bollopen"	50	2	"R2"	5	5	70.5	14	NA
"bollopen"	50	2	"R3"	5	4	73	15	NA
"bollopen"	50	2	"R4"	5	5	76.5	14	NA
"bollopen"	50	2	"R5"	4	4	60	14	NA
"bollopen"	75	2	"R1"	5	5	60	16	NA
"bollopen"	75	2	"R2"	2	2	72	15	NA
"bollopen"	75	2	"R3"	5	5	74	16	NA
"bollopen"	75	2	"R4"	5	5	66.5	11	NA
"bollopen"	75	2	"R5"	5	5	78	15	NA
"bollopen"	100	2	"R1"	4	4	71	15	NA
"bollopen"	100	2	"R2"	4	4	62	13	NA
"bollopen"	100	2	"R3"	5	5	71	14	NA
"bollopen"	100	2	"R4"	3	3	74.5	16	NA
"bollopen"	100	2	"R5"	4	4	71	15	NA
