"year"	"gen"	"col"	"row"	"rep"	"date"	"y"
1983	"826.4"	9	7	4	1983-10-17	9
1983	"064.37"	10	7	4	1983-10-17	9
1983	"060.1"	10	8	4	1983-10-17	8
1983	"887.89"	9	8	4	1983-10-17	9
1983	"TEKAU"	8	8	4	1983-10-17	9
1983	"1060.9"	7	8	4	1983-10-17	9
1983	"064.21"	6	8	4	1983-10-17	9
1983	"RUA"	5	8	4	1983-10-17	9
1983	"978.3"	4	8	4	1983-10-17	9
1983	"993.60"	3	8	4	1983-10-17	9
1983	"064.18"	2	8	4	1983-10-17	9
1983	"1067.16"	1	8	4	1983-10-17	9
1983	"060.1"	1	9	5	1983-10-17	9
1983	"064.37"	2	9	5	1983-10-17	9
1983	"064.1"	3	9	5	1983-10-17	9
1983	"I.HARDY"	4	9	5	1983-10-17	9
1983	"1053.57"	5	9	5	1983-10-17	9
1983	"RUA"	6	9	5	1983-10-17	9
1983	"WHA"	7	9	5	1983-10-17	9
1983	"993.60"	8	9	5	1983-10-17	9
1983	"978.3"	9	9	5	1983-10-17	9
1983	"TEKAU"	10	9	5	1983-10-17	9
1983	"887.89"	10	10	5	1983-10-17	9
1983	"1067.16"	9	10	5	1983-10-17	9
1983	"1060.9"	8	10	5	1983-10-17	9
1983	"1015.47"	7	10	5	1983-10-17	9
1983	"826.4"	6	10	5	1983-10-17	9
1983	"065.27"	5	10	5	1983-10-17	9
1983	"064.24"	4	10	5	1983-10-17	9
1983	"064.21"	3	10	5	1983-10-17	9
1983	"IWA"	2	10	5	1983-10-17	9
1983	"064.18"	1	10	5	1983-10-17	9
1983	"064.37"	1	1	1	1983-10-25	9
1983	"064.1"	2	1	1	1983-10-25	9
1983	"RUA"	3	1	1	1983-10-25	9
1983	"WHA"	4	1	1	1983-10-25	9
1983	"TEKAU"	5	1	1	1983-10-25	9
1983	"1015.47"	6	1	1	1983-10-25	8
1983	"060.1"	7	1	1	1983-10-25	9
1983	"887.89"	8	1	1	1983-10-25	9
1983	"1060.9"	9	1	1	1983-10-25	9
1983	"1067.16"	10	1	1	1983-10-25	9
1983	"IWA"	10	2	1	1983-10-25	9
1983	"1053.57"	9	2	1	1983-10-25	9
1983	"I.HARDY"	8	2	1	1983-10-25	9
1983	"065.27"	7	2	1	1983-10-25	9
1983	"064.24"	6	2	1	1983-10-25	9
1983	"064.21"	5	2	1	1983-10-25	9
1983	"064.18"	4	2	1	1983-10-25	9
1983	"826.4"	3	2	1	1983-10-25	9
1983	"978.3"	2	2	1	1983-10-25	9
1983	"993.60"	1	2	1	1983-10-25	9
1983	"064.1"	1	3	2	1983-10-25	9
1983	"1053.57"	2	3	2	1983-10-25	9
1983	"064.18"	3	3	2	1983-10-25	9
1983	"064.37"	4	3	2	1983-10-25	9
1983	"887.89"	5	3	2	1983-10-25	9
1983	"1067.16"	6	3	2	1983-10-25	9
1983	"IWA"	7	3	2	1983-10-25	9
1983	"1015.47"	8	3	2	1983-10-25	9
1983	"064.21"	9	3	2	1983-10-25	9
1983	"065.27"	10	3	2	1983-10-25	9
1983	"I.HARDY"	10	4	2	1983-10-25	9
1983	"TEKAU"	9	4	2	1983-10-25	9
1983	"RUA"	8	4	2	1983-10-25	9
1983	"064.24"	7	4	2	1983-10-25	9
1983	"978.3"	6	4	2	1983-10-25	9
1983	"060.1"	5	4	2	1983-10-25	9
1983	"826.4"	4	4	2	1983-10-25	9
1983	"WHA"	3	4	2	1983-10-25	9
1983	"993.60"	2	4	2	1983-10-25	9
1983	"1060.9"	1	4	2	1983-10-25	9
1983	"I.HARDY"	1	5	3	1983-10-25	8
1983	"TEKAU"	2	5	3	1983-10-25	9
1983	"978.3"	3	5	3	1983-10-25	9
1983	"1053.57"	4	5	3	1983-10-25	9
1983	"993.60"	5	5	3	1983-10-25	9
1983	"060.1"	6	5	3	1983-10-25	9
1983	"1067.16"	7	5	3	1983-10-25	9
1983	"065.27"	8	5	3	1983-10-25	9
1983	"064.24"	9	5	3	1983-10-25	9
1983	"064.21"	10	5	3	1983-10-25	9
1983	"064.18"	10	6	3	1983-10-25	9
1983	"1015.47"	9	6	3	1983-10-25	9
1983	"WHA"	8	6	3	1983-10-25	9
1983	"826.4"	7	6	3	1983-10-25	9
1983	"064.37"	6	6	3	1983-10-25	9
1983	"064.1"	5	6	3	1983-10-25	9
1983	"RUA"	4	6	3	1983-10-25	9
1983	"887.89"	3	6	3	1983-10-25	9
1983	"1060.9"	2	6	3	1983-10-25	9
1983	"IWA"	1	6	3	1983-10-25	8
1983	"WHA"	1	7	4	1983-10-25	9
1983	"1015.47"	2	7	4	1983-10-25	9
1983	"1053.57"	3	7	4	1983-10-25	9
1983	"065.27"	4	7	4	1983-10-25	9
1983	"064.24"	5	7	4	1983-10-25	9
1983	"I.HARDY"	6	7	4	1983-10-25	8
1983	"064.1"	7	7	4	1983-10-25	9
1983	"IWA"	8	7	4	1983-10-25	8
1983	"826.4"	9	7	4	1983-10-25	9
1983	"064.37"	10	7	4	1983-10-25	9
1983	"060.1"	10	8	4	1983-10-25	8
1983	"887.89"	9	8	4	1983-10-25	9
1983	"TEKAU"	8	8	4	1983-10-25	9
1983	"1060.9"	7	8	4	1983-10-25	9
1983	"064.21"	6	8	4	1983-10-25	9
1983	"RUA"	5	8	4	1983-10-25	9
1983	"978.3"	4	8	4	1983-10-25	8
1983	"993.60"	3	8	4	1983-10-25	9
1983	"064.18"	2	8	4	1983-10-25	9
1983	"1067.16"	1	8	4	1983-10-25	8
1983	"060.1"	1	9	5	1983-10-25	8
1983	"064.37"	2	9	5	1983-10-25	9
1983	"064.1"	3	9	5	1983-10-25	9
1983	"I.HARDY"	4	9	5	1983-10-25	9
1983	"1053.57"	5	9	5	1983-10-25	9
1983	"RUA"	6	9	5	1983-10-25	9
1983	"WHA"	7	9	5	1983-10-25	9
1983	"993.60"	8	9	5	1983-10-25	9
1983	"978.3"	9	9	5	1983-10-25	9
1983	"TEKAU"	10	9	5	1983-10-25	9
1983	"887.89"	10	10	5	1983-10-25	9
1983	"1067.16"	9	10	5	1983-10-25	9
1983	"1060.9"	8	10	5	1983-10-25	9
1983	"1015.47"	7	10	5	1983-10-25	9
1983	"826.4"	6	10	5	1983-10-25	9
1983	"065.27"	5	10	5	1983-10-25	9
1983	"064.24"	4	10	5	1983-10-25	9
1983	"064.21"	3	10	5	1983-10-25	9
1983	"IWA"	2	10	5	1983-10-25	9
1983	"064.18"	1	10	5	1983-10-25	9
1983	"064.37"	1	1	1	1983-10-31	9
1983	"064.1"	2	1	1	1983-10-31	9
1983	"RUA"	3	1	1	1983-10-31	9
1983	"WHA"	4	1	1	1983-10-31	9
1983	"TEKAU"	5	1	1	1983-10-31	8
1983	"1015.47"	6	1	1	1983-10-31	8
1983	"060.1"	7	1	1	1983-10-31	8
1983	"887.89"	8	1	1	1983-10-31	8
1983	"1060.9"	9	1	1	1983-10-31	9
1983	"1067.16"	10	1	1	1983-10-31	8
1983	"IWA"	10	2	1	1983-10-31	8
1983	"1053.57"	9	2	1	1983-10-31	8
1983	"I.HARDY"	8	2	1	1983-10-31	7
1983	"065.27"	7	2	1	1983-10-31	9
1983	"064.24"	6	2	1	1983-10-31	9
1983	"064.21"	5	2	1	1983-10-31	8
1983	"064.18"	4	2	1	1983-10-31	9
1983	"826.4"	3	2	1	1983-10-31	8
1983	"978.3"	2	2	1	1983-10-31	7
1983	"993.60"	1	2	1	1983-10-31	7
1983	"064.1"	1	3	2	1983-10-31	9
1983	"1053.57"	2	3	2	1983-10-31	7
1983	"064.18"	3	3	2	1983-10-31	9
1983	"064.37"	4	3	2	1983-10-31	9
1983	"887.89"	5	3	2	1983-10-31	8
1983	"1067.16"	6	3	2	1983-10-31	8
1983	"IWA"	7	3	2	1983-10-31	8
1983	"1015.47"	8	3	2	1983-10-31	8
1983	"064.21"	9	3	2	1983-10-31	8
1983	"065.27"	10	3	2	1983-10-31	9
1983	"I.HARDY"	10	4	2	1983-10-31	7
1983	"TEKAU"	9	4	2	1983-10-31	8
1983	"RUA"	8	4	2	1983-10-31	8
1983	"064.24"	7	4	2	1983-10-31	9
1983	"978.3"	6	4	2	1983-10-31	7
1983	"060.1"	5	4	2	1983-10-31	7
1983	"826.4"	4	4	2	1983-10-31	8
1983	"WHA"	3	4	2	1983-10-31	9
1983	"993.60"	2	4	2	1983-10-31	8
1983	"1060.9"	1	4	2	1983-10-31	9
1983	"I.HARDY"	1	5	3	1983-10-31	6
1983	"TEKAU"	2	5	3	1983-10-31	8
1983	"978.3"	3	5	3	1983-10-31	7
1983	"1053.57"	4	5	3	1983-10-31	8
1983	"993.60"	5	5	3	1983-10-31	7
1983	"060.1"	6	5	3	1983-10-31	7
1983	"1067.16"	7	5	3	1983-10-31	7
1983	"065.27"	8	5	3	1983-10-31	9
1983	"064.24"	9	5	3	1983-10-31	9
1983	"064.21"	10	5	3	1983-10-31	8
1983	"064.18"	10	6	3	1983-10-31	9
1983	"1015.47"	9	6	3	1983-10-31	7
1983	"WHA"	8	6	3	1983-10-31	9
1983	"826.4"	7	6	3	1983-10-31	8
1983	"064.37"	6	6	3	1983-10-31	9
1983	"064.1"	5	6	3	1983-10-31	9
1983	"RUA"	4	6	3	1983-10-31	9
1983	"887.89"	3	6	3	1983-10-31	8
1983	"1060.9"	2	6	3	1983-10-31	9
1983	"IWA"	1	6	3	1983-10-31	8
1983	"WHA"	1	7	4	1983-10-31	9
1983	"1015.47"	2	7	4	1983-10-31	8
1983	"1053.57"	3	7	4	1983-10-31	8
1983	"065.27"	4	7	4	1983-10-31	9
1983	"064.24"	5	7	4	1983-10-31	9
1983	"I.HARDY"	6	7	4	1983-10-31	7
1983	"064.1"	7	7	4	1983-10-31	9
1983	"IWA"	8	7	4	1983-10-31	8
1983	"826.4"	9	7	4	1983-10-31	8
1983	"064.37"	10	7	4	1983-10-31	9
1983	"060.1"	10	8	4	1983-10-31	7
1983	"887.89"	9	8	4	1983-10-31	7
1983	"TEKAU"	8	8	4	1983-10-31	8
1983	"1060.9"	7	8	4	1983-10-31	9
1983	"064.21"	6	8	4	1983-10-31	8
1983	"RUA"	5	8	4	1983-10-31	8
1983	"978.3"	4	8	4	1983-10-31	7
1983	"993.60"	3	8	4	1983-10-31	7
1983	"064.18"	2	8	4	1983-10-31	9
1983	"1067.16"	1	8	4	1983-10-31	8
1983	"060.1"	1	9	5	1983-10-31	8
1983	"064.37"	2	9	5	1983-10-31	9
1983	"064.1"	3	9	5	1983-10-31	9
1983	"I.HARDY"	4	9	5	1983-10-31	8
1983	"1053.57"	5	9	5	1983-10-31	8
1983	"RUA"	6	9	5	1983-10-31	9
1983	"WHA"	7	9	5	1983-10-31	9
1983	"993.60"	8	9	5	1983-10-31	8
1983	"978.3"	9	9	5	1983-10-31	7
1983	"TEKAU"	10	9	5	1983-10-31	8
1983	"887.89"	10	10	5	1983-10-31	8
1983	"1067.16"	9	10	5	1983-10-31	8
1983	"1060.9"	8	10	5	1983-10-31	9
1983	"1015.47"	7	10	5	1983-10-31	8
1983	"826.4"	6	10	5	1983-10-31	8
1983	"065.27"	5	10	5	1983-10-31	9
1983	"064.24"	4	10	5	1983-10-31	9
1983	"064.21"	3	10	5	1983-10-31	8
1983	"IWA"	2	10	5	1983-10-31	8
1983	"064.18"	1	10	5	1983-10-31	9
1983	"064.37"	1	1	1	1983-11-07	9
1983	"064.1"	2	1	1	1983-11-07	9
1983	"RUA"	3	1	1	1983-11-07	7
1983	"WHA"	4	1	1	1983-11-07	8
1983	"TEKAU"	5	1	1	1983-11-07	7
1983	"1015.47"	6	1	1	1983-11-07	7
1983	"060.1"	7	1	1	1983-11-07	6
1983	"887.89"	8	1	1	1983-11-07	7
1983	"1060.9"	9	1	1	1983-11-07	9
1983	"1067.16"	10	1	1	1983-11-07	6
1983	"IWA"	10	2	1	1983-11-07	6
1983	"1053.57"	9	2	1	1983-11-07	5
1983	"I.HARDY"	8	2	1	1983-11-07	4
1983	"065.27"	7	2	1	1983-11-07	9
1983	"064.24"	6	2	1	1983-11-07	9
1983	"064.21"	5	2	1	1983-11-07	6
1983	"064.18"	4	2	1	1983-11-07	9
1983	"826.4"	3	2	1	1983-11-07	7
1983	"978.3"	2	2	1	1983-11-07	3
1983	"993.60"	1	2	1	1983-11-07	5
1983	"064.1"	1	3	2	1983-11-07	9
1983	"1053.57"	2	3	2	1983-11-07	5
1983	"064.18"	3	3	2	1983-11-07	9
1983	"064.37"	4	3	2	1983-11-07	9
1983	"887.89"	5	3	2	1983-11-07	7
1983	"1067.16"	6	3	2	1983-11-07	6
1983	"IWA"	7	3	2	1983-11-07	5
1983	"1015.47"	8	3	2	1983-11-07	5
1983	"064.21"	9	3	2	1983-11-07	6
1983	"065.27"	10	3	2	1983-11-07	8
1983	"I.HARDY"	10	4	2	1983-11-07	5
1983	"TEKAU"	9	4	2	1983-11-07	7
1983	"RUA"	8	4	2	1983-11-07	6
1983	"064.24"	7	4	2	1983-11-07	9
1983	"978.3"	6	4	2	1983-11-07	3
1983	"060.1"	5	4	2	1983-11-07	4
1983	"826.4"	4	4	2	1983-11-07	5
1983	"WHA"	3	4	2	1983-11-07	9
1983	"993.60"	2	4	2	1983-11-07	7
1983	"1060.9"	1	4	2	1983-11-07	9
1983	"I.HARDY"	1	5	3	1983-11-07	2
1983	"TEKAU"	2	5	3	1983-11-07	7
1983	"978.3"	3	5	3	1983-11-07	4
1983	"1053.57"	4	5	3	1983-11-07	5
1983	"993.60"	5	5	3	1983-11-07	4
1983	"060.1"	6	5	3	1983-11-07	4
1983	"1067.16"	7	5	3	1983-11-07	4
1983	"065.27"	8	5	3	1983-11-07	9
1983	"064.24"	9	5	3	1983-11-07	9
1983	"064.21"	10	5	3	1983-11-07	6
1983	"064.18"	10	6	3	1983-11-07	9
1983	"1015.47"	9	6	3	1983-11-07	5
1983	"WHA"	8	6	3	1983-11-07	9
1983	"826.4"	7	6	3	1983-11-07	7
1983	"064.37"	6	6	3	1983-11-07	9
1983	"064.1"	5	6	3	1983-11-07	9
1983	"RUA"	4	6	3	1983-11-07	7
1983	"887.89"	3	6	3	1983-11-07	7
1983	"1060.9"	2	6	3	1983-11-07	9
1983	"IWA"	1	6	3	1983-11-07	6
1983	"WHA"	1	7	4	1983-11-07	9
1983	"1015.47"	2	7	4	1983-11-07	7
1983	"1053.57"	3	7	4	1983-11-07	5
1983	"065.27"	4	7	4	1983-11-07	9
1983	"064.24"	5	7	4	1983-11-07	9
1983	"I.HARDY"	6	7	4	1983-11-07	3
1983	"064.1"	7	7	4	1983-11-07	9
1983	"IWA"	8	7	4	1983-11-07	6
1983	"826.4"	9	7	4	1983-11-07	6
1983	"064.37"	10	7	4	1983-11-07	9
1983	"060.1"	10	8	4	1983-11-07	5
1983	"887.89"	9	8	4	1983-11-07	7
1983	"TEKAU"	8	8	4	1983-11-07	7
1983	"1060.9"	7	8	4	1983-11-07	9
1983	"064.21"	6	8	4	1983-11-07	6
1983	"RUA"	5	8	4	1983-11-07	6
1983	"978.3"	4	8	4	1983-11-07	3
1983	"993.60"	3	8	4	1983-11-07	5
1983	"064.18"	2	8	4	1983-11-07	9
1983	"1067.16"	1	8	4	1983-11-07	6
1983	"060.1"	1	9	5	1983-11-07	7
1983	"064.37"	2	9	5	1983-11-07	9
1983	"064.1"	3	9	5	1983-11-07	9
1983	"I.HARDY"	4	9	5	1983-11-07	4
1983	"1053.57"	5	9	5	1983-11-07	3
1983	"RUA"	6	9	5	1983-11-07	7
1983	"WHA"	7	9	5	1983-11-07	9
1983	"993.60"	8	9	5	1983-11-07	7
1983	"978.3"	9	9	5	1983-11-07	4
1983	"TEKAU"	10	9	5	1983-11-07	7
1983	"887.89"	10	10	5	1983-11-07	7
1983	"1067.16"	9	10	5	1983-11-07	6
1983	"1060.9"	8	10	5	1983-11-07	9
1983	"1015.47"	7	10	5	1983-11-07	7
1983	"826.4"	6	10	5	1983-11-07	7
1983	"065.27"	5	10	5	1983-11-07	9
1983	"064.24"	4	10	5	1983-11-07	9
1983	"064.21"	3	10	5	1983-11-07	7
1983	"IWA"	2	10	5	1983-11-07	6
1983	"064.18"	1	10	5	1983-11-07	9
1983	"064.37"	1	1	1	1983-11-14	9
1983	"064.1"	2	1	1	1983-11-14	9
1983	"RUA"	3	1	1	1983-11-14	7
1983	"WHA"	4	1	1	1983-11-14	7
1983	"TEKAU"	5	1	1	1983-11-14	7
1983	"1015.47"	6	1	1	1983-11-14	5
1983	"060.1"	7	1	1	1983-11-14	4
1983	"887.89"	8	1	1	1983-11-14	6
1983	"1060.9"	9	1	1	1983-11-14	9
1983	"1067.16"	10	1	1	1983-11-14	6
1983	"IWA"	10	2	1	1983-11-14	5
1983	"1053.57"	9	2	1	1983-11-14	4
1983	"I.HARDY"	8	2	1	1983-11-14	2
1983	"065.27"	7	2	1	1983-11-14	8
1983	"064.24"	6	2	1	1983-11-14	9
1983	"064.21"	5	2	1	1983-11-14	4
1983	"064.18"	4	2	1	1983-11-14	9
1983	"826.4"	3	2	1	1983-11-14	5
1983	"978.3"	2	2	1	1983-11-14	1
1983	"993.60"	1	2	1	1983-11-14	3
1983	"064.1"	1	3	2	1983-11-14	9
1983	"1053.57"	2	3	2	1983-11-14	3
1983	"064.18"	3	3	2	1983-11-14	9
1983	"064.37"	4	3	2	1983-11-14	9
1983	"887.89"	5	3	2	1983-11-14	6
1983	"1067.16"	6	3	2	1983-11-14	4
1983	"IWA"	7	3	2	1983-11-14	4
1983	"1015.47"	8	3	2	1983-11-14	4
1983	"064.21"	9	3	2	1983-11-14	3
1983	"065.27"	10	3	2	1983-11-14	8
1983	"I.HARDY"	10	4	2	1983-11-14	2
1983	"TEKAU"	9	4	2	1983-11-14	6
1983	"RUA"	8	4	2	1983-11-14	4
1983	"064.24"	7	4	2	1983-11-14	9
1983	"978.3"	6	4	2	1983-11-14	1
1983	"060.1"	5	4	2	1983-11-14	2
1983	"826.4"	4	4	2	1983-11-14	3
1983	"WHA"	3	4	2	1983-11-14	8
1983	"993.60"	2	4	2	1983-11-14	4
1983	"1060.9"	1	4	2	1983-11-14	9
1983	"I.HARDY"	1	5	3	1983-11-14	1
1983	"TEKAU"	2	5	3	1983-11-14	6
1983	"978.3"	3	5	3	1983-11-14	1
1983	"1053.57"	4	5	3	1983-11-14	4
1983	"993.60"	5	5	3	1983-11-14	2
1983	"060.1"	6	5	3	1983-11-14	2
1983	"1067.16"	7	5	3	1983-11-14	2
1983	"065.27"	8	5	3	1983-11-14	8
1983	"064.24"	9	5	3	1983-11-14	9
1983	"064.21"	10	5	3	1983-11-14	3
1983	"064.18"	10	6	3	1983-11-14	9
1983	"1015.47"	9	6	3	1983-11-14	3
1983	"WHA"	8	6	3	1983-11-14	8
1983	"826.4"	7	6	3	1983-11-14	3
1983	"064.37"	6	6	3	1983-11-14	9
1983	"064.1"	5	6	3	1983-11-14	9
1983	"RUA"	4	6	3	1983-11-14	4
1983	"887.89"	3	6	3	1983-11-14	5
1983	"1060.9"	2	6	3	1983-11-14	9
1983	"IWA"	1	6	3	1983-11-14	4
1983	"WHA"	1	7	4	1983-11-14	8
1983	"1015.47"	2	7	4	1983-11-14	3
1983	"1053.57"	3	7	4	1983-11-14	1
1983	"065.27"	4	7	4	1983-11-14	8
1983	"064.24"	5	7	4	1983-11-14	8
1983	"I.HARDY"	6	7	4	1983-11-14	1
1983	"064.1"	7	7	4	1983-11-14	9
1983	"IWA"	8	7	4	1983-11-14	4
1983	"826.4"	9	7	4	1983-11-14	3
1983	"064.37"	10	7	4	1983-11-14	9
1983	"060.1"	10	8	4	1983-11-14	3
1983	"887.89"	9	8	4	1983-11-14	4
1983	"TEKAU"	8	8	4	1983-11-14	6
1983	"1060.9"	7	8	4	1983-11-14	9
1983	"064.21"	6	8	4	1983-11-14	2
1983	"RUA"	5	8	4	1983-11-14	4
1983	"978.3"	4	8	4	1983-11-14	1
1983	"993.60"	3	8	4	1983-11-14	2
1983	"064.18"	2	8	4	1983-11-14	9
1983	"1067.16"	1	8	4	1983-11-14	3
1983	"060.1"	1	9	5	1983-11-14	2
1983	"064.37"	2	9	5	1983-11-14	9
1983	"064.1"	3	9	5	1983-11-14	9
1983	"I.HARDY"	4	9	5	1983-11-14	1
1983	"1053.57"	5	9	5	1983-11-14	1
1983	"RUA"	6	9	5	1983-11-14	5
1983	"WHA"	7	9	5	1983-11-14	8
1983	"993.60"	8	9	5	1983-11-14	3
1983	"978.3"	9	9	5	1983-11-14	1
1983	"TEKAU"	10	9	5	1983-11-14	6
1983	"887.89"	10	10	5	1983-11-14	5
1983	"1067.16"	9	10	5	1983-11-14	4
1983	"1060.9"	8	10	5	1983-11-14	9
1983	"1015.47"	7	10	5	1983-11-14	3
1983	"826.4"	6	10	5	1983-11-14	3
1983	"065.27"	5	10	5	1983-11-14	8
1983	"064.24"	4	10	5	1983-11-14	9
1983	"064.21"	3	10	5	1983-11-14	4
1983	"IWA"	2	10	5	1983-11-14	4
1983	"064.18"	1	10	5	1983-11-14	9
1983	"064.37"	1	1	1	1983-11-21	9
1983	"064.1"	2	1	1	1983-11-21	9
1983	"RUA"	3	1	1	1983-11-21	5
1983	"WHA"	4	1	1	1983-11-21	6
1983	"TEKAU"	5	1	1	1983-11-21	6
1983	"1015.47"	6	1	1	1983-11-21	3
1983	"060.1"	7	1	1	1983-11-21	2
1983	"887.89"	8	1	1	1983-11-21	5
1983	"1060.9"	9	1	1	1983-11-21	9
1983	"1067.16"	10	1	1	1983-11-21	4
1983	"IWA"	10	2	1	1983-11-21	3
1983	"1053.57"	9	2	1	1983-11-21	2
1983	"I.HARDY"	8	2	1	1983-11-21	1
1983	"065.27"	7	2	1	1983-11-21	8
1983	"064.24"	6	2	1	1983-11-21	9
1983	"064.21"	5	2	1	1983-11-21	2
1983	"064.18"	4	2	1	1983-11-21	9
1983	"826.4"	3	2	1	1983-11-21	3
1983	"978.3"	2	2	1	1983-11-21	1
1983	"993.60"	1	2	1	1983-11-21	2
1983	"064.1"	1	3	2	1983-11-21	9
1983	"1053.57"	2	3	2	1983-11-21	2
1983	"064.18"	3	3	2	1983-11-21	9
1983	"064.37"	4	3	2	1983-11-21	9
1983	"887.89"	5	3	2	1983-11-21	5
1983	"1067.16"	6	3	2	1983-11-21	4
1983	"IWA"	7	3	2	1983-11-21	4
1983	"1015.47"	8	3	2	1983-11-21	3
1983	"064.21"	9	3	2	1983-11-21	3
1983	"065.27"	10	3	2	1983-11-21	7
1983	"I.HARDY"	10	4	2	1983-11-21	1
1983	"TEKAU"	9	4	2	1983-11-21	5
1983	"RUA"	8	4	2	1983-11-21	3
1983	"064.24"	7	4	2	1983-11-21	9
1983	"978.3"	6	4	2	1983-11-21	1
1983	"060.1"	5	4	2	1983-11-21	1
1983	"826.4"	4	4	2	1983-11-21	2
1983	"WHA"	3	4	2	1983-11-21	7
1983	"993.60"	2	4	2	1983-11-21	2
1983	"1060.9"	1	4	2	1983-11-21	9
1983	"I.HARDY"	1	5	3	1983-11-21	1
1983	"TEKAU"	2	5	3	1983-11-21	5
1983	"978.3"	3	5	3	1983-11-21	1
1983	"1053.57"	4	5	3	1983-11-21	4
1983	"993.60"	5	5	3	1983-11-21	2
1983	"060.1"	6	5	3	1983-11-21	1
1983	"1067.16"	7	5	3	1983-11-21	2
1983	"065.27"	8	5	3	1983-11-21	8
1983	"064.24"	9	5	3	1983-11-21	8
1983	"064.21"	10	5	3	1983-11-21	2
1983	"064.18"	10	6	3	1983-11-21	9
1983	"1015.47"	9	6	3	1983-11-21	2
1983	"WHA"	8	6	3	1983-11-21	8
1983	"826.4"	7	6	3	1983-11-21	2
1983	"064.37"	6	6	3	1983-11-21	8
1983	"064.1"	5	6	3	1983-11-21	9
1983	"RUA"	4	6	3	1983-11-21	5
1983	"887.89"	3	6	3	1983-11-21	4
1983	"1060.9"	2	6	3	1983-11-21	9
1983	"IWA"	1	6	3	1983-11-21	3
1983	"WHA"	1	7	4	1983-11-21	7
1983	"1015.47"	2	7	4	1983-11-21	2
1983	"1053.57"	3	7	4	1983-11-21	1
1983	"065.27"	4	7	4	1983-11-21	8
1983	"064.24"	5	7	4	1983-11-21	9
1983	"I.HARDY"	6	7	4	1983-11-21	1
1983	"064.1"	7	7	4	1983-11-21	9
1983	"IWA"	8	7	4	1983-11-21	3
1983	"826.4"	9	7	4	1983-11-21	2
1983	"064.37"	10	7	4	1983-11-21	8
