"row"	"col"	"yield"	"year"	"loc"
2	1	32.53	"1921"	"Gemmeiza"
3	1	30.96	"1921"	"Gemmeiza"
4	1	36.16	"1921"	"Gemmeiza"
5	1	39.53	"1921"	"Gemmeiza"
6	1	34.09	"1921"	"Gemmeiza"
7	1	36.34	"1921"	"Gemmeiza"
8	1	33.08	"1921"	"Gemmeiza"
9	1	37.02	"1921"	"Gemmeiza"
10	1	34.34	"1921"	"Gemmeiza"
11	1	31.53	"1921"	"Gemmeiza"
12	1	31.4	"1921"	"Gemmeiza"
13	1	30.71	"1921"	"Gemmeiza"
14	1	26.15	"1921"	"Gemmeiza"
15	1	29.15	"1921"	"Gemmeiza"
16	1	32.9	"1921"	"Gemmeiza"
17	1	29.15	"1921"	"Gemmeiza"
18	1	31.84	"1921"	"Gemmeiza"
19	1	29.9	"1921"	"Gemmeiza"
20	1	31.02	"1921"	"Gemmeiza"
1	2	33.28	"1921"	"Gemmeiza"
2	2	33.34	"1921"	"Gemmeiza"
3	2	32.1	"1921"	"Gemmeiza"
4	2	33.85	"1921"	"Gemmeiza"
5	2	35.34	"1921"	"Gemmeiza"
6	2	28.59	"1921"	"Gemmeiza"
7	2	34.27	"1921"	"Gemmeiza"
8	2	27.15	"1921"	"Gemmeiza"
9	2	36.72	"1921"	"Gemmeiza"
10	2	33.78	"1921"	"Gemmeiza"
11	2	31.9	"1921"	"Gemmeiza"
12	2	28.65	"1921"	"Gemmeiza"
13	2	25.34	"1921"	"Gemmeiza"
14	2	22.9	"1921"	"Gemmeiza"
15	2	27.96	"1921"	"Gemmeiza"
16	2	30.59	"1921"	"Gemmeiza"
17	2	30.33	"1921"	"Gemmeiza"
18	2	33.27	"1921"	"Gemmeiza"
19	2	29.46	"1921"	"Gemmeiza"
20	2	31.84	"1921"	"Gemmeiza"
1	3	31.03	"1921"	"Gemmeiza"
2	3	32.72	"1921"	"Gemmeiza"
3	3	30.33	"1921"	"Gemmeiza"
4	3	33.65	"1921"	"Gemmeiza"
5	3	32.33	"1921"	"Gemmeiza"
6	3	28.34	"1921"	"Gemmeiza"
7	3	27.78	"1921"	"Gemmeiza"
8	3	28.96	"1921"	"Gemmeiza"
9	3	31.46	"1921"	"Gemmeiza"
10	3	28.83	"1921"	"Gemmeiza"
11	3	27.9	"1921"	"Gemmeiza"
12	3	25.34	"1921"	"Gemmeiza"
13	3	26.22	"1921"	"Gemmeiza"
14	3	24.4	"1921"	"Gemmeiza"
15	3	25.53	"1921"	"Gemmeiza"
16	3	27.08	"1921"	"Gemmeiza"
17	3	26.35	"1921"	"Gemmeiza"
18	3	25.09	"1921"	"Gemmeiza"
19	3	26.27	"1921"	"Gemmeiza"
20	3	26.9	"1921"	"Gemmeiza"
1	4	34.22	"1921"	"Gemmeiza"
2	4	34.34	"1921"	"Gemmeiza"
3	4	28.47	"1921"	"Gemmeiza"
4	4	30.59	"1921"	"Gemmeiza"
5	4	28.9	"1921"	"Gemmeiza"
6	4	27.15	"1921"	"Gemmeiza"
7	4	28.09	"1921"	"Gemmeiza"
8	4	28.84	"1921"	"Gemmeiza"
9	4	31.91	"1921"	"Gemmeiza"
10	4	25.77	"1921"	"Gemmeiza"
11	4	27.47	"1921"	"Gemmeiza"
12	4	23.34	"1921"	"Gemmeiza"
13	4	25.33	"1921"	"Gemmeiza"
14	4	22.53	"1921"	"Gemmeiza"
15	4	22.71	"1921"	"Gemmeiza"
16	4	26.22	"1921"	"Gemmeiza"
17	4	23.22	"1921"	"Gemmeiza"
18	4	23.14	"1921"	"Gemmeiza"
19	4	25.72	"1921"	"Gemmeiza"
20	4	26.46	"1921"	"Gemmeiza"
1	5	30.71	"1921"	"Gemmeiza"
2	5	28.84	"1921"	"Gemmeiza"
3	5	26.89	"1921"	"Gemmeiza"
4	5	28.84	"1921"	"Gemmeiza"
5	5	27.4	"1921"	"Gemmeiza"
6	5	25.28	"1921"	"Gemmeiza"
7	5	25.9	"1921"	"Gemmeiza"
8	5	25.28	"1921"	"Gemmeiza"
9	5	30.03	"1921"	"Gemmeiza"
10	5	26.33	"1921"	"Gemmeiza"
11	5	26.66	"1921"	"Gemmeiza"
12	5	24.41	"1921"	"Gemmeiza"
13	5	25.77	"1921"	"Gemmeiza"
14	5	25.15	"1921"	"Gemmeiza"
15	5	25.02	"1921"	"Gemmeiza"
16	5	25.71	"1921"	"Gemmeiza"
17	5	22.77	"1921"	"Gemmeiza"
18	5	22.58	"1921"	"Gemmeiza"
19	5	23.4	"1921"	"Gemmeiza"
20	5	23.97	"1921"	"Gemmeiza"
1	6	29.4	"1921"	"Gemmeiza"
2	6	28.4	"1921"	"Gemmeiza"
3	6	24.83	"1921"	"Gemmeiza"
4	6	28.83	"1921"	"Gemmeiza"
5	6	29.21	"1921"	"Gemmeiza"
6	6	27.59	"1921"	"Gemmeiza"
7	6	26.53	"1921"	"Gemmeiza"
8	6	28.15	"1921"	"Gemmeiza"
9	6	29.84	"1921"	"Gemmeiza"
10	6	27.21	"1921"	"Gemmeiza"
11	6	25.14	"1921"	"Gemmeiza"
12	6	23.71	"1921"	"Gemmeiza"
13	6	23.84	"1921"	"Gemmeiza"
14	6	22.65	"1921"	"Gemmeiza"
15	6	23.78	"1921"	"Gemmeiza"
16	6	28.09	"1921"	"Gemmeiza"
17	6	22.1	"1921"	"Gemmeiza"
18	6	22.9	"1921"	"Gemmeiza"
19	6	24.28	"1921"	"Gemmeiza"
20	6	23.64	"1921"	"Gemmeiza"
1	7	27.91	"1921"	"Gemmeiza"
2	7	30.16	"1921"	"Gemmeiza"
3	7	27.59	"1921"	"Gemmeiza"
4	7	29.4	"1921"	"Gemmeiza"
5	7	28.84	"1921"	"Gemmeiza"
6	7	28.27	"1921"	"Gemmeiza"
7	7	26.4	"1921"	"Gemmeiza"
8	7	29.28	"1921"	"Gemmeiza"
9	7	28.08	"1921"	"Gemmeiza"
10	7	24.21	"1921"	"Gemmeiza"
11	7	23.28	"1921"	"Gemmeiza"
12	7	23.77	"1921"	"Gemmeiza"
13	7	23.15	"1921"	"Gemmeiza"
14	7	23.09	"1921"	"Gemmeiza"
15	7	25.15	"1921"	"Gemmeiza"
16	7	26.09	"1921"	"Gemmeiza"
17	7	22.03	"1921"	"Gemmeiza"
18	7	24.34	"1921"	"Gemmeiza"
19	7	25.84	"1921"	"Gemmeiza"
20	7	27.21	"1921"	"Gemmeiza"
1	8	29.46	"1921"	"Gemmeiza"
2	8	32.15	"1921"	"Gemmeiza"
3	8	27.28	"1921"	"Gemmeiza"
4	8	27.78	"1921"	"Gemmeiza"
5	8	28.89	"1921"	"Gemmeiza"
6	8	27.78	"1921"	"Gemmeiza"
7	8	26.47	"1921"	"Gemmeiza"
8	8	27.72	"1921"	"Gemmeiza"
9	8	28.46	"1921"	"Gemmeiza"
10	8	27.28	"1921"	"Gemmeiza"
11	8	25.47	"1921"	"Gemmeiza"
12	8	24.59	"1921"	"Gemmeiza"
13	8	27.65	"1921"	"Gemmeiza"
14	8	25.72	"1921"	"Gemmeiza"
15	8	28.9	"1921"	"Gemmeiza"
16	8	29.15	"1921"	"Gemmeiza"
17	8	24.97	"1921"	"Gemmeiza"
18	8	27.84	"1921"	"Gemmeiza"
19	8	28.34	"1921"	"Gemmeiza"
20	8	29.46	"1921"	"Gemmeiza"
1	1	33.5	"1922"	"Gemmeiza"
2	1	37.5	"1922"	"Gemmeiza"
3	1	27.5	"1922"	"Gemmeiza"
4	1	30	"1922"	"Gemmeiza"
5	1	31.5	"1922"	"Gemmeiza"
6	1	29.5	"1922"	"Gemmeiza"
7	1	30.5	"1922"	"Gemmeiza"
8	1	31	"1922"	"Gemmeiza"
9	1	31	"1922"	"Gemmeiza"
10	1	27.5	"1922"	"Gemmeiza"
11	1	27.5	"1922"	"Gemmeiza"
12	1	31.5	"1922"	"Gemmeiza"
13	1	38	"1922"	"Gemmeiza"
14	1	36.5	"1922"	"Gemmeiza"
15	1	32.5	"1922"	"Gemmeiza"
16	1	35	"1922"	"Gemmeiza"
17	1	33.5	"1922"	"Gemmeiza"
18	1	33.5	"1922"	"Gemmeiza"
19	1	30.5	"1922"	"Gemmeiza"
20	1	31.5	"1922"	"Gemmeiza"
1	2	32	"1922"	"Gemmeiza"
2	2	31.5	"1922"	"Gemmeiza"
3	2	35	"1922"	"Gemmeiza"
4	2	29	"1922"	"Gemmeiza"
5	2	30.5	"1922"	"Gemmeiza"
6	2	31.5	"1922"	"Gemmeiza"
7	2	31.5	"1922"	"Gemmeiza"
8	2	29.5	"1922"	"Gemmeiza"
9	2	30	"1922"	"Gemmeiza"
10	2	28.5	"1922"	"Gemmeiza"
11	2	34	"1922"	"Gemmeiza"
12	2	33.5	"1922"	"Gemmeiza"
13	2	34.5	"1922"	"Gemmeiza"
14	2	29.5	"1922"	"Gemmeiza"
15	2	29	"1922"	"Gemmeiza"
16	2	35	"1922"	"Gemmeiza"
17	2	32.5	"1922"	"Gemmeiza"
18	2	33	"1922"	"Gemmeiza"
19	2	30.5	"1922"	"Gemmeiza"
20	2	34.5	"1922"	"Gemmeiza"
1	3	32	"1922"	"Gemmeiza"
2	3	29.5	"1922"	"Gemmeiza"
3	3	38.5	"1922"	"Gemmeiza"
4	3	30.5	"1922"	"Gemmeiza"
5	3	34.5	"1922"	"Gemmeiza"
6	3	34.5	"1922"	"Gemmeiza"
7	3	28	"1922"	"Gemmeiza"
8	3	26	"1922"	"Gemmeiza"
9	3	30.5	"1922"	"Gemmeiza"
10	3	34.5	"1922"	"Gemmeiza"
11	3	37.5	"1922"	"Gemmeiza"
12	3	34	"1922"	"Gemmeiza"
13	3	34	"1922"	"Gemmeiza"
14	3	29.5	"1922"	"Gemmeiza"
15	3	29.5	"1922"	"Gemmeiza"
16	3	31.5	"1922"	"Gemmeiza"
17	3	28.5	"1922"	"Gemmeiza"
18	3	33	"1922"	"Gemmeiza"
19	3	32.5	"1922"	"Gemmeiza"
20	3	32	"1922"	"Gemmeiza"
1	4	26	"1922"	"Gemmeiza"
2	4	27.5	"1922"	"Gemmeiza"
3	4	30.5	"1922"	"Gemmeiza"
4	4	32.5	"1922"	"Gemmeiza"
5	4	38	"1922"	"Gemmeiza"
6	4	36	"1922"	"Gemmeiza"
7	4	28.5	"1922"	"Gemmeiza"
8	4	25.5	"1922"	"Gemmeiza"
9	4	29	"1922"	"Gemmeiza"
10	4	29.5	"1922"	"Gemmeiza"
11	4	29	"1922"	"Gemmeiza"
12	4	31.5	"1922"	"Gemmeiza"
13	4	32	"1922"	"Gemmeiza"
14	4	29	"1922"	"Gemmeiza"
15	4	32.5	"1922"	"Gemmeiza"
16	4	33.5	"1922"	"Gemmeiza"
17	4	29	"1922"	"Gemmeiza"
18	4	32	"1922"	"Gemmeiza"
19	4	30.5	"1922"	"Gemmeiza"
20	4	31	"1922"	"Gemmeiza"
1	5	28	"1922"	"Gemmeiza"
2	5	28	"1922"	"Gemmeiza"
3	5	29	"1922"	"Gemmeiza"
4	5	27	"1922"	"Gemmeiza"
5	5	35	"1922"	"Gemmeiza"
6	5	38	"1922"	"Gemmeiza"
7	5	31	"1922"	"Gemmeiza"
8	5	27	"1922"	"Gemmeiza"
9	5	29.5	"1922"	"Gemmeiza"
10	5	29	"1922"	"Gemmeiza"
11	5	28.5	"1922"	"Gemmeiza"
12	5	28.5	"1922"	"Gemmeiza"
13	5	32.5	"1922"	"Gemmeiza"
14	5	30	"1922"	"Gemmeiza"
15	5	33.5	"1922"	"Gemmeiza"
16	5	31.5	"1922"	"Gemmeiza"
17	5	31.5	"1922"	"Gemmeiza"
18	5	31	"1922"	"Gemmeiza"
19	5	30.5	"1922"	"Gemmeiza"
20	5	31.5	"1922"	"Gemmeiza"
1	6	32	"1922"	"Gemmeiza"
2	6	31.5	"1922"	"Gemmeiza"
3	6	33	"1922"	"Gemmeiza"
4	6	35	"1922"	"Gemmeiza"
5	6	34	"1922"	"Gemmeiza"
6	6	33.5	"1922"	"Gemmeiza"
7	6	35	"1922"	"Gemmeiza"
8	6	34	"1922"	"Gemmeiza"
9	6	31	"1922"	"Gemmeiza"
10	6	33	"1922"	"Gemmeiza"
11	6	31.5	"1922"	"Gemmeiza"
12	6	30.5	"1922"	"Gemmeiza"
13	6	35	"1922"	"Gemmeiza"
14	6	30	"1922"	"Gemmeiza"
15	6	34.5	"1922"	"Gemmeiza"
16	6	30.5	"1922"	"Gemmeiza"
17	6	32.5	"1922"	"Gemmeiza"
18	6	32.5	"1922"	"Gemmeiza"
19	6	33.5	"1922"	"Gemmeiza"
20	6	32	"1922"	"Gemmeiza"
1	7	29	"1922"	"Gemmeiza"
2	7	33.5	"1922"	"Gemmeiza"
3	7	33	"1922"	"Gemmeiza"
4	7	37.5	"1922"	"Gemmeiza"
5	7	36.5	"1922"	"Gemmeiza"
6	7	34	"1922"	"Gemmeiza"
7	7	35	"1922"	"Gemmeiza"
8	7	29	"1922"	"Gemmeiza"
9	7	30	"1922"	"Gemmeiza"
10	7	29.5	"1922"	"Gemmeiza"
11	7	29.5	"1922"	"Gemmeiza"
12	7	32	"1922"	"Gemmeiza"
13	7	34	"1922"	"Gemmeiza"
14	7	28	"1922"	"Gemmeiza"
15	7	39.5	"1922"	"Gemmeiza"
16	7	35.5	"1922"	"Gemmeiza"
17	7	36	"1922"	"Gemmeiza"
18	7	32.5	"1922"	"Gemmeiza"
19	7	32	"1922"	"Gemmeiza"
20	7	33.5	"1922"	"Gemmeiza"
1	8	32	"1922"	"Gemmeiza"
2	8	33.5	"1922"	"Gemmeiza"
3	8	28.5	"1922"	"Gemmeiza"
4	8	34	"1922"	"Gemmeiza"
5	8	34.5	"1922"	"Gemmeiza"
6	8	31.5	"1922"	"Gemmeiza"
7	8	32	"1922"	"Gemmeiza"
8	8	30	"1922"	"Gemmeiza"
9	8	30.5	"1922"	"Gemmeiza"
10	8	28	"1922"	"Gemmeiza"
11	8	27	"1922"	"Gemmeiza"
12	8	26	"1922"	"Gemmeiza"
13	8	30.5	"1922"	"Gemmeiza"
14	8	29	"1922"	"Gemmeiza"
15	8	39.5	"1922"	"Gemmeiza"
16	8	34.5	"1922"	"Gemmeiza"
17	8	32.5	"1922"	"Gemmeiza"
18	8	30.5	"1922"	"Gemmeiza"
19	8	30	"1922"	"Gemmeiza"
20	8	32.5	"1922"	"Gemmeiza"
1	1	21	"1921"	"Giza"
2	1	25.37	"1921"	"Giza"
3	1	22.24	"1921"	"Giza"
4	1	26.49	"1921"	"Giza"
5	1	25.5	"1921"	"Giza"
6	1	25.5	"1921"	"Giza"
7	1	21.37	"1921"	"Giza"
8	1	21.87	"1921"	"Giza"
9	1	24.62	"1921"	"Giza"
10	1	20.5	"1921"	"Giza"
11	1	21.5	"1921"	"Giza"
1	2	23	"1921"	"Giza"
2	2	23.12	"1921"	"Giza"
3	2	18.37	"1921"	"Giza"
4	2	20.87	"1921"	"Giza"
5	2	22.75	"1921"	"Giza"
6	2	24	"1921"	"Giza"
7	2	23	"1921"	"Giza"
8	2	22.25	"1921"	"Giza"
9	2	22.25	"1921"	"Giza"
10	2	19.37	"1921"	"Giza"
11	2	17.25	"1921"	"Giza"
1	3	23.5	"1921"	"Giza"
2	3	21.12	"1921"	"Giza"
3	3	16.57	"1921"	"Giza"
4	3	20.99	"1921"	"Giza"
5	3	20	"1921"	"Giza"
6	3	18	"1921"	"Giza"
7	3	18.87	"1921"	"Giza"
8	3	18.87	"1921"	"Giza"
9	3	21.62	"1921"	"Giza"
10	3	16.12	"1921"	"Giza"
11	3	11.37	"1921"	"Giza"
1	4	16.62	"1921"	"Giza"
2	4	18.24	"1921"	"Giza"
3	4	15.87	"1921"	"Giza"
4	4	17.5	"1921"	"Giza"
5	4	20.12	"1921"	"Giza"
6	4	14.12	"1921"	"Giza"
7	4	12.12	"1921"	"Giza"
8	4	9.87	"1921"	"Giza"
9	4	9.5	"1921"	"Giza"
10	4	8.25	"1921"	"Giza"
11	4	5.75	"1921"	"Giza"
1	5	13.87	"1921"	"Giza"
2	5	14.74	"1921"	"Giza"
3	5	13.99	"1921"	"Giza"
4	5	16.62	"1921"	"Giza"
5	5	18	"1921"	"Giza"
6	5	11.49	"1921"	"Giza"
7	5	12.12	"1921"	"Giza"
8	5	10.12	"1921"	"Giza"
9	5	9.5	"1921"	"Giza"
10	5	9.5	"1921"	"Giza"
11	5	8	"1921"	"Giza"
1	6	17.5	"1921"	"Giza"
2	6	16.49	"1921"	"Giza"
3	6	14.25	"1921"	"Giza"
4	6	19.49	"1921"	"Giza"
5	6	18.24	"1921"	"Giza"
6	6	13.75	"1921"	"Giza"
7	6	14.37	"1921"	"Giza"
8	6	8.37	"1921"	"Giza"
9	6	11.12	"1921"	"Giza"
10	6	10.37	"1921"	"Giza"
11	6	8	"1921"	"Giza"
1	7	20.75	"1921"	"Giza"
2	7	19.5	"1921"	"Giza"
3	7	18.24	"1921"	"Giza"
4	7	22.5	"1921"	"Giza"
5	7	17.99	"1921"	"Giza"
6	7	18	"1921"	"Giza"
7	7	20.24	"1921"	"Giza"
8	7	12.24	"1921"	"Giza"
9	7	12.37	"1921"	"Giza"
10	7	10.12	"1921"	"Giza"
11	7	6.62	"1921"	"Giza"
1	8	21.62	"1921"	"Giza"
2	8	20.37	"1921"	"Giza"
3	8	18.49	"1921"	"Giza"
4	8	19.62	"1921"	"Giza"
5	8	17.25	"1921"	"Giza"
6	8	16.62	"1921"	"Giza"
7	8	19.74	"1921"	"Giza"
8	8	13.37	"1921"	"Giza"
9	8	10.37	"1921"	"Giza"
10	8	7.62	"1921"	"Giza"
11	8	7.74	"1921"	"Giza"
1	9	24	"1921"	"Giza"
2	9	19.5	"1921"	"Giza"
3	9	18.74	"1921"	"Giza"
4	9	21.87	"1921"	"Giza"
5	9	17.37	"1921"	"Giza"
6	9	14.25	"1921"	"Giza"
7	9	21.5	"1921"	"Giza"
8	9	17.49	"1921"	"Giza"
9	9	14.5	"1921"	"Giza"
10	9	7.75	"1921"	"Giza"
11	9	7.25	"1921"	"Giza"
1	10	22.5	"1921"	"Giza"
2	10	19.87	"1921"	"Giza"
3	10	18.12	"1921"	"Giza"
4	10	16.87	"1921"	"Giza"
5	10	16.62	"1921"	"Giza"
6	10	13.25	"1921"	"Giza"
7	10	20.49	"1921"	"Giza"
8	10	16.37	"1921"	"Giza"
9	10	13	"1921"	"Giza"
10	10	9.62	"1921"	"Giza"
11	10	7.25	"1921"	"Giza"
1	11	23	"1921"	"Giza"
2	11	19.12	"1921"	"Giza"
3	11	20	"1921"	"Giza"
4	11	13.24	"1921"	"Giza"
5	11	16.87	"1921"	"Giza"
6	11	12.62	"1921"	"Giza"
7	11	15.25	"1921"	"Giza"
8	11	19.5	"1921"	"Giza"
9	11	11.37	"1921"	"Giza"
10	11	11.12	"1921"	"Giza"
11	11	7.37	"1921"	"Giza"
1	12	20.75	"1921"	"Giza"
2	12	19.75	"1921"	"Giza"
3	12	17	"1921"	"Giza"
4	12	14.12	"1921"	"Giza"
5	12	18	"1921"	"Giza"
6	12	10.37	"1921"	"Giza"
7	12	13.62	"1921"	"Giza"
8	12	18.49	"1921"	"Giza"
9	12	11.12	"1921"	"Giza"
10	12	10	"1921"	"Giza"
11	12	6	"1921"	"Giza"
1	13	19.37	"1921"	"Giza"
2	13	19.87	"1921"	"Giza"
3	13	14	"1921"	"Giza"
4	13	20.25	"1921"	"Giza"
5	13	19.25	"1921"	"Giza"
6	13	14.25	"1921"	"Giza"
7	13	15.37	"1921"	"Giza"
8	13	19.12	"1921"	"Giza"
9	13	17.12	"1921"	"Giza"
10	13	16.87	"1921"	"Giza"
11	13	10.24	"1921"	"Giza"
1	14	22.37	"1921"	"Giza"
2	14	15.25	"1921"	"Giza"
3	14	19.5	"1921"	"Giza"
4	14	17.37	"1921"	"Giza"
5	14	17.75	"1921"	"Giza"
6	14	17	"1921"	"Giza"
7	14	19.12	"1921"	"Giza"
8	14	17.49	"1921"	"Giza"
9	14	18.87	"1921"	"Giza"
10	14	17.99	"1921"	"Giza"
11	14	12.87	"1921"	"Giza"
1	1	12	"1923"	"Giza"
2	1	16.18	"1923"	"Giza"
3	1	13.31	"1923"	"Giza"
4	1	15.69	"1923"	"Giza"
5	1	16.62	"1923"	"Giza"
6	1	15.31	"1923"	"Giza"
7	1	13.99	"1923"	"Giza"
8	1	16.56	"1923"	"Giza"
9	1	14.43	"1923"	"Giza"
10	1	14.69	"1923"	"Giza"
11	1	12.94	"1923"	"Giza"
12	1	13.74	"1923"	"Giza"
13	1	13.31	"1923"	"Giza"
14	1	9.56	"1923"	"Giza"
15	1	16.75	"1923"	"Giza"
16	1	11.37	"1923"	"Giza"
17	1	15.69	"1923"	"Giza"
18	1	8.87	"1923"	"Giza"
19	1	14	"1923"	"Giza"
20	1	10.25	"1923"	"Giza"
1	2	14.99	"1923"	"Giza"
2	2	16.5	"1923"	"Giza"
3	2	13.06	"1923"	"Giza"
4	2	17.81	"1923"	"Giza"
5	2	15.18	"1923"	"Giza"
6	2	16.25	"1923"	"Giza"
7	2	14.12	"1923"	"Giza"
8	2	14.49	"1923"	"Giza"
9	2	14.81	"1923"	"Giza"
10	2	15.99	"1923"	"Giza"
11	2	12.69	"1923"	"Giza"
12	2	16.69	"1923"	"Giza"
13	2	13.87	"1923"	"Giza"
14	2	13.94	"1923"	"Giza"
