year	env	gen	yield	chu
1993	E7	G06	6	2.31
1994	E1	G06	7.05	2.65
1994	E2	G06	3.54	2.51
1994	E3	G06	7.63	2.77
1994	E5	G06	6.51	2.64
1994	E6	G06	6.56	2.58
1994	E7	G06	6.13	2.49
1990	E1	G07	6.54	2.57
1990	E2	G07	6.04	2.53
1990	E3	G07	8.85	2.72
1990	E4	G07	7.44	2.72
1990	E7	G07	6.85	2.48
1991	E1	G07	6.73	2.44
1991	E2	G07	5.42	2.55
1991	E3	G07	6.88	2.75
1991	E4	G07	6.9	2.75
1991	E5	G07	7.54	2.61
1991	E6	G07	6.64	2.5
1991	E7	G07	5.21	2.39
1992	E1	G07	6.5	2.37
1992	E2	G07	6.24	2.45
1992	E3	G07	8.63	2.64
1992	E4	G07	8.6	2.64
1992	E5	G07	6.79	2.51
1992	E6	G07	7.46	2.39
1993	E3	G07	6.26	2.63
1993	E4	G07	5.16	2.63
1993	E5	G07	4.53	2.46
1993	E6	G07	4.15	2.45
1993	E7	G07	6.32	2.31
1990	E1	G08	8.38	2.57
1990	E2	G08	6.37	2.53
1990	E3	G08	9.8	2.72
1990	E4	G08	7.24	2.72
1990	E7	G08	6.88	2.48
1991	E1	G08	7.33	2.44
1991	E2	G08	4.66	2.55
1991	E3	G08	9.35	2.75
1991	E4	G08	7.4	2.75
1991	E5	G08	7.82	2.61
1991	E6	G08	6.13	2.5
1991	E7	G08	3.42	2.39
1992	E1	G08	5.94	2.37
1992	E2	G08	4.98	2.45
1992	E3	G08	7.89	2.64
1992	E4	G08	9.1	2.64
1992	E5	G08	6.22	2.51
1992	E6	G08	6.6	2.39
1991	E1	G09	6.8	2.44
1991	E2	G09	5.25	2.55
1991	E3	G09	7.67	2.75
1991	E4	G09	7.72	2.75
1991	E5	G09	7.47	2.61
1991	E6	G09	5.96	2.5
1991	E7	G09	5.89	2.39
1992	E1	G09	5.79	2.37
1992	E2	G09	5.61	2.45
1992	E3	G09	6.25	2.64
1992	E4	G09	7.81	2.64
1992	E5	G09	6.62	2.51
1992	E6	G09	6.83	2.39
1993	E3	G09	6.08	2.63
1993	E4	G09	5.96	2.63
1993	E5	G09	4.65	2.46
1993	E6	G09	4.17	2.45
1993	E7	G09	5.78	2.31
1994	E1	G09	5.81	2.65
1994	E2	G09	4.19	2.51
1994	E3	G09	5.87	2.77
1994	E5	G09	5.66	2.64
1994	E6	G09	5.29	2.58
1994	E7	G09	6.86	2.49
1991	E1	G10	7.62	2.44
1991	E2	G10	6	2.55
1991	E3	G10	7.43	2.75
1991	E4	G10	7.22	2.75
1991	E5	G10	7.29	2.61
1991	E6	G10	7.28	2.5
1991	E7	G10	5.48	2.39
1992	E1	G10	6.37	2.37
1992	E2	G10	6.58	2.45
1992	E3	G10	7.66	2.64
1992	E4	G10	8.7	2.64
1992	E5	G10	6.78	2.51
1992	E6	G10	6.91	2.39
1993	E3	G10	5.24	2.63
1993	E4	G10	6.6	2.63
1993	E5	G10	5.6	2.46
1993	E6	G10	3.63	2.45
1993	E7	G10	6.21	2.31
1994	E1	G10	8.75	2.65
1994	E2	G10	5.12	2.51
1994	E3	G10	6.46	2.77
1994	E5	G10	7.62	2.64
1994	E6	G10	7.61	2.58
1994	E7	G10	6.75	2.49
