"row"	"col"	"yield"	"trial"
1	1	732	"T3"
2	1	862	"T3"
3	1	753	"T3"
4	1	818	"T3"
5	1	850	"T3"
6	1	952	"T3"
7	1	959	"T3"
8	1	835	"T3"
9	1	766	"T3"
10	1	825	"T3"
11	1	952	"T3"
12	1	922	"T3"
1	2	588	"T3"
2	2	803	"T3"
3	2	930	"T3"
4	2	892	"T3"
5	2	906	"T3"
6	2	933	"T3"
7	2	949	"T3"
8	2	959	"T3"
9	2	902	"T3"
10	2	926	"T3"
11	2	871	"T3"
12	2	988	"T3"
1	3	770	"T3"
2	3	800	"T3"
3	3	841	"T3"
4	3	927	"T3"
5	3	743	"T3"
6	3	802	"T3"
7	3	947	"T3"
8	3	901	"T3"
9	3	940	"T3"
10	3	946	"T3"
11	3	840	"T3"
12	3	784	"T3"
1	4	758	"T3"
2	4	736	"T3"
3	4	677	"T3"
4	4	772	"T3"
5	4	791	"T3"
6	4	830	"T3"
7	4	910	"T3"
8	4	847	"T3"
9	4	858	"T3"
10	4	766	"T3"
11	4	638	"T3"
12	4	785	"T3"
1	5	892	"T3"
2	5	857	"T3"
3	5	996	"T3"
4	5	966	"T3"
5	5	890	"T3"
6	5	814	"T3"
7	5	920	"T3"
8	5	798	"T3"
9	5	837	"T3"
10	5	707	"T3"
11	5	621	"T3"
12	5	956	"T3"
1	6	962	"T3"
2	6	774	"T3"
3	6	831	"T3"
4	6	882	"T3"
5	6	884	"T3"
6	6	946	"T3"
7	6	954	"T3"
8	6	852	"T3"
9	6	896	"T3"
10	6	941	"T3"
11	6	753	"T3"
12	6	794	"T3"
1	7	896	"T3"
2	7	844	"T3"
3	7	663	"T3"
4	7	851	"T3"
5	7	837	"T3"
6	7	888	"T3"
7	7	840	"T3"
8	7	830	"T3"
9	7	828	"T3"
10	7	910	"T3"
11	7	874	"T3"
12	7	754	"T3"
1	8	923	"T3"
2	8	908	"T3"
3	8	703	"T3"
4	8	712	"T3"
5	8	890	"T3"
6	8	888	"T3"
7	8	930	"T3"
8	8	932	"T3"
9	8	931	"T3"
10	8	743	"T3"
11	8	775	"T3"
12	8	903	"T3"
1	9	979	"T3"
2	9	932	"T3"
3	9	1048	"T3"
4	9	870	"T3"
5	9	873	"T3"
6	9	885	"T3"
7	9	892	"T3"
8	9	1041	"T3"
9	9	1010	"T3"
10	9	694	"T3"
11	9	789	"T3"
12	9	939	"T3"
1	10	920	"T3"
2	10	891	"T3"
3	10	918	"T3"
4	10	858	"T3"
5	10	927	"T3"
6	10	926	"T3"
7	10	1036	"T3"
8	10	980	"T3"
9	10	804	"T3"
10	10	874	"T3"
11	10	820	"T3"
12	10	889	"T3"
1	11	914	"T3"
2	11	978	"T3"
3	11	930	"T3"
4	11	970	"T3"
5	11	888	"T3"
6	11	884	"T3"
7	11	1020	"T3"
8	11	923	"T3"
9	11	739	"T3"
10	11	949	"T3"
11	11	938	"T3"
12	11	918	"T3"
1	1	674	"T4"
2	1	616	"T4"
3	1	576	"T4"
4	1	562	"T4"
5	1	572	"T4"
6	1	545	"T4"
7	1	528	"T4"
8	1	566	"T4"
9	1	547	"T4"
10	1	483	"T4"
11	1	556	"T4"
12	1	492	"T4"
1	2	716	"T4"
2	2	636	"T4"
3	2	580	"T4"
4	2	527	"T4"
5	2	499	"T4"
6	2	530	"T4"
7	2	546	"T4"
8	2	450	"T4"
9	2	502	"T4"
10	2	513	"T4"
11	2	504	"T4"
12	2	479	"T4"
1	3	643	"T4"
2	3	584	"T4"
3	3	554	"T4"
4	3	588	"T4"
5	3	624	"T4"
6	3	661	"T4"
7	3	490	"T4"
8	3	571	"T4"
9	3	537	"T4"
10	3	631	"T4"
11	3	563	"T4"
12	3	559	"T4"
1	4	731	"T4"
2	4	649	"T4"
3	4	546	"T4"
4	4	578	"T4"
5	4	507	"T4"
6	4	567	"T4"
7	4	560	"T4"
8	4	569	"T4"
9	4	590	"T4"
10	4	588	"T4"
11	4	513	"T4"
12	4	468	"T4"
1	5	727	"T4"
2	5	665	"T4"
3	5	564	"T4"
4	5	588	"T4"
5	5	597	"T4"
6	5	616	"T4"
7	5	615	"T4"
8	5	541	"T4"
9	5	638	"T4"
10	5	642	"T4"
11	5	583	"T4"
12	5	588	"T4"
1	6	717	"T4"
2	6	660	"T4"
3	6	585	"T4"
4	6	664	"T4"
5	6	638	"T4"
6	6	606	"T4"
7	6	505	"T4"
8	6	604	"T4"
9	6	577	"T4"
10	6	571	"T4"
11	6	519	"T4"
12	6	512	"T4"
1	7	733	"T4"
2	7	616	"T4"
3	7	594	"T4"
4	7	644	"T4"
5	7	616	"T4"
6	7	546	"T4"
7	7	584	"T4"
8	7	512	"T4"
9	7	513	"T4"
10	7	517	"T4"
11	7	514	"T4"
12	7	476	"T4"
1	8	726	"T4"
2	8	700	"T4"
3	8	672	"T4"
4	8	644	"T4"
5	8	647	"T4"
6	8	670	"T4"
7	8	614	"T4"
8	8	607	"T4"
9	8	592	"T4"
10	8	554	"T4"
11	8	524	"T4"
12	8	481	"T4"
1	9	804	"T4"
2	9	718	"T4"
3	9	698	"T4"
4	9	684	"T4"
5	9	685	"T4"
6	9	670	"T4"
7	9	652	"T4"
8	9	663	"T4"
9	9	588	"T4"
10	9	555	"T4"
11	9	610	"T4"
12	9	511	"T4"
1	10	719	"T4"
2	10	712	"T4"
3	10	720	"T4"
4	10	667	"T4"
5	10	616	"T4"
6	10	658	"T4"
7	10	644	"T4"
8	10	582	"T4"
9	10	566	"T4"
10	10	542	"T4"
11	10	494	"T4"
12	10	456	"T4"
1	11	722	"T4"
2	11	588	"T4"
3	11	586	"T4"
4	11	647	"T4"
5	11	678	"T4"
6	11	685	"T4"
7	11	638	"T4"
8	11	588	"T4"
9	11	558	"T4"
10	11	594	"T4"
11	11	527	"T4"
12	11	396	"T4"
1	12	710	"T4"
2	12	590	"T4"
3	12	662	"T4"
4	12	588	"T4"
5	12	542	"T4"
6	12	549	"T4"
7	12	451	"T4"
8	12	476	"T4"
9	12	443	"T4"
10	12	343	"T4"
11	12	384	"T4"
12	12	394	"T4"
