"loc"	"block"	"family"	"tree"	"height"
"Vellanikkara"	"B1"	"F2"	"T2"	77
"Vellanikkara"	"B1"	"F2"	"T3"	129
"Vellanikkara"	"B1"	"F2"	"T4"	126
"Vellanikkara"	"B1"	"F2"	"T4"	68
"Vellanikkara"	"B1"	"F2"	"T6"	48
"Nailambur"	"B1"	"F2"	"T1"	18
"Nailambur"	"B1"	"F2"	"T2"	50
"Nailambur"	"B1"	"F2"	"T3"	82
"Nailambur"	"B1"	"F2"	"T4"	23
"Nailambur"	"B1"	"F2"	"T4"	56
"Nailambur"	"B1"	"F2"	"T6"	61
"Vellanikkara"	"B2"	"F2"	"T1"	129
"Vellanikkara"	"B2"	"F2"	"T2"	131
"Vellanikkara"	"B2"	"F2"	"T3"	135
"Vellanikkara"	"B2"	"F2"	"T4"	88
"Vellanikkara"	"B2"	"F2"	"T4"	75
"Vellanikkara"	"B2"	"F2"	"T6"	41
"Nailambur"	"B2"	"F2"	"T1"	26
"Nailambur"	"B2"	"F2"	"T2"	103
"Nailambur"	"B2"	"F2"	"T3"	55
"Nailambur"	"B2"	"F2"	"T4"	43
"Nailambur"	"B2"	"F2"	"T4"	100
"Nailambur"	"B2"	"F2"	"T6"	98
"Vellanikkara"	"B3"	"F2"	"T1"	53
"Vellanikkara"	"B3"	"F2"	"T2"	82
"Vellanikkara"	"B3"	"F2"	"T3"	71
"Vellanikkara"	"B3"	"F2"	"T4"	43
"Vellanikkara"	"B3"	"F2"	"T4"	71
"Vellanikkara"	"B3"	"F2"	"T6"	26
"Nailambur"	"B3"	"F2"	"T1"	58
"Nailambur"	"B3"	"F2"	"T2"	47
"Nailambur"	"B3"	"F2"	"T3"	33
"Nailambur"	"B3"	"F2"	"T4"	108
"Nailambur"	"B3"	"F2"	"T4"	70
"Nailambur"	"B3"	"F2"	"T6"	46
"Vellanikkara"	"B1"	"F3"	"T1"	152
"Vellanikkara"	"B1"	"F3"	"T2"	98
"Vellanikkara"	"B1"	"F3"	"T3"	85
"Vellanikkara"	"B1"	"F3"	"T4"	118
"Vellanikkara"	"B1"	"F3"	"T4"	25
"Vellanikkara"	"B1"	"F3"	"T6"	51
"Nailambur"	"B1"	"F3"	"T1"	18
"Nailambur"	"B1"	"F3"	"T2"	24
"Nailambur"	"B1"	"F3"	"T3"	38
"Nailambur"	"B1"	"F3"	"T4"	65
"Nailambur"	"B1"	"F3"	"T4"	46
"Nailambur"	"B1"	"F3"	"T6"	104
"Vellanikkara"	"B2"	"F3"	"T1"	78
"Vellanikkara"	"B2"	"F3"	"T2"	161
"Vellanikkara"	"B2"	"F3"	"T3"	121
"Vellanikkara"	"B2"	"F3"	"T4"	124
"Vellanikkara"	"B2"	"F3"	"T4"	118
"Vellanikkara"	"B2"	"F3"	"T6"	61
"Nailambur"	"B2"	"F3"	"T1"	78
"Nailambur"	"B2"	"F3"	"T2"	57
"Nailambur"	"B2"	"F3"	"T3"	60
"Nailambur"	"B2"	"F3"	"T4"	26
"Nailambur"	"B2"	"F3"	"T4"	59
"Nailambur"	"B2"	"F3"	"T6"	70
"Vellanikkara"	"B3"	"F3"	"T1"	145
"Vellanikkara"	"B3"	"F3"	"T2"	86
"Vellanikkara"	"B3"	"F3"	"T3"	141
"Vellanikkara"	"B3"	"F3"	"T4"	156
"Vellanikkara"	"B3"	"F3"	"T4"	121
"Vellanikkara"	"B3"	"F3"	"T6"	55
"Nailambur"	"B3"	"F3"	"T1"	87
"Nailambur"	"B3"	"F3"	"T2"	93
"Nailambur"	"B3"	"F3"	"T3"	70
"Nailambur"	"B3"	"F3"	"T4"	47
"Nailambur"	"B3"	"F3"	"T4"	26
"Nailambur"	"B3"	"F3"	"T6"	40
"Vellanikkara"	"B1"	"F4"	"T1"	111
"Vellanikkara"	"B1"	"F4"	"T2"	29
"Vellanikkara"	"B1"	"F4"	"T3"	64
"Vellanikkara"	"B1"	"F4"	"T4"	52
"Vellanikkara"	"B1"	"F4"	"T4"	19
"Vellanikkara"	"B1"	"F4"	"T6"	25
"Nailambur"	"B1"	"F4"	"T1"	31
"Nailambur"	"B1"	"F4"	"T2"	26
"Nailambur"	"B1"	"F4"	"T3"	30
"Nailambur"	"B1"	"F4"	"T4"	86
"Nailambur"	"B1"	"F4"	"T4"	20
"Nailambur"	"B1"	"F4"	"T6"	28
"Vellanikkara"	"B2"	"F4"	"T1"	28
"Vellanikkara"	"B2"	"F4"	"T2"	26
"Vellanikkara"	"B2"	"F4"	"T3"	25
"Vellanikkara"	"B2"	"F4"	"T4"	76
"Vellanikkara"	"B2"	"F4"	"T4"	43
"Vellanikkara"	"B2"	"F4"	"T6"	86
"Nailambur"	"B2"	"F4"	"T1"	25
"Nailambur"	"B2"	"F4"	"T2"	37
"Nailambur"	"B2"	"F4"	"T3"	52
"Nailambur"	"B2"	"F4"	"T4"	139
"Nailambur"	"B2"	"F4"	"T4"	49
"Nailambur"	"B2"	"F4"	"T6"	97
"Vellanikkara"	"B3"	"F4"	"T1"	53
"Vellanikkara"	"B3"	"F4"	"T2"	32
"Vellanikkara"	"B3"	"F4"	"T3"	24
"Vellanikkara"	"B3"	"F4"	"T4"	182
"Vellanikkara"	"B3"	"F4"	"T4"	22
"Vellanikkara"	"B3"	"F4"	"T6"	52
"Nailambur"	"B3"	"F4"	"T1"	17
"Nailambur"	"B3"	"F4"	"T2"	23
"Nailambur"	"B3"	"F4"	"T3"	29
"Nailambur"	"B3"	"F4"	"T4"	30
"Nailambur"	"B3"	"F4"	"T4"	87
"Nailambur"	"B3"	"F4"	"T6"	31
"Vellanikkara"	"B1"	"F5"	"T1"	23
"Vellanikkara"	"B1"	"F5"	"T2"	48
"Vellanikkara"	"B1"	"F5"	"T3"	88
"Vellanikkara"	"B1"	"F5"	"T4"	27
"Vellanikkara"	"B1"	"F5"	"T4"	26
"Vellanikkara"	"B1"	"F5"	"T6"	26
"Nailambur"	"B1"	"F5"	"T1"	95
"Nailambur"	"B1"	"F5"	"T2"	42
"Nailambur"	"B1"	"F5"	"T3"	43
"Nailambur"	"B1"	"F5"	"T4"	76
"Nailambur"	"B1"	"F5"	"T4"	41
"Nailambur"	"B1"	"F5"	"T6"	49
"Vellanikkara"	"B2"	"F5"	"T1"	35
"Vellanikkara"	"B2"	"F5"	"T2"	21
"Vellanikkara"	"B2"	"F5"	"T3"	14
"Vellanikkara"	"B2"	"F5"	"T4"	34
"Vellanikkara"	"B2"	"F5"	"T4"	49
"Vellanikkara"	"B2"	"F5"	"T6"	31
"Nailambur"	"B2"	"F5"	"T1"	29
"Nailambur"	"B2"	"F5"	"T2"	72
"Nailambur"	"B2"	"F5"	"T3"	83
"Nailambur"	"B2"	"F5"	"T4"	40
"Nailambur"	"B2"	"F5"	"T4"	24
"Nailambur"	"B2"	"F5"	"T6"	54
"Vellanikkara"	"B3"	"F5"	"T1"	72
"Vellanikkara"	"B3"	"F5"	"T2"	113
"Vellanikkara"	"B3"	"F5"	"T3"	37
"Vellanikkara"	"B3"	"F5"	"T4"	19
"Vellanikkara"	"B3"	"F5"	"T4"	24
"Vellanikkara"	"B3"	"F5"	"T6"	20
"Nailambur"	"B3"	"F5"	"T1"	25
"Nailambur"	"B3"	"F5"	"T2"	30
"Nailambur"	"B3"	"F5"	"T3"	26
"Nailambur"	"B3"	"F5"	"T4"	36
"Nailambur"	"B3"	"F5"	"T4"	24
"Nailambur"	"B3"	"F5"	"T6"	37
"Vellanikkara"	"B1"	"F6"	"T1"	153
"Vellanikkara"	"B1"	"F6"	"T2"	51
"Vellanikkara"	"B1"	"F6"	"T3"	181
"Vellanikkara"	"B1"	"F6"	"T4"	212
"Vellanikkara"	"B1"	"F6"	"T4"	161
"Vellanikkara"	"B1"	"F6"	"T6"	210
"Nailambur"	"B1"	"F6"	"T1"	57
"Nailambur"	"B1"	"F6"	"T2"	94
"Nailambur"	"B1"	"F6"	"T3"	77
"Nailambur"	"B1"	"F6"	"T4"	39
"Nailambur"	"B1"	"F6"	"T4"	82
"Nailambur"	"B1"	"F6"	"T6"	29
"Vellanikkara"	"B2"	"F6"	"T1"	140
"Vellanikkara"	"B2"	"F6"	"T2"	79
"Vellanikkara"	"B2"	"F6"	"T3"	158
"Vellanikkara"	"B2"	"F6"	"T4"	93
"Vellanikkara"	"B2"	"F6"	"T4"	151
"Vellanikkara"	"B2"	"F6"	"T6"	171
"Nailambur"	"B2"	"F6"	"T1"	54
"Nailambur"	"B2"	"F6"	"T2"	56
"Nailambur"	"B2"	"F6"	"T3"	29
"Nailambur"	"B2"	"F6"	"T4"	67
"Nailambur"	"B2"	"F6"	"T4"	42
"Nailambur"	"B2"	"F6"	"T6"	47
"Vellanikkara"	"B3"	"F6"	"T1"	109
"Vellanikkara"	"B3"	"F6"	"T2"	50
"Vellanikkara"	"B3"	"F6"	"T3"	64
"Vellanikkara"	"B3"	"F6"	"T4"	82
"Vellanikkara"	"B3"	"F6"	"T4"	77
"Vellanikkara"	"B3"	"F6"	"T6"	123
"Nailambur"	"B3"	"F6"	"T1"	38
"Nailambur"	"B3"	"F6"	"T2"	38
"Nailambur"	"B3"	"F6"	"T3"	36
"Nailambur"	"B3"	"F6"	"T4"	72
"Nailambur"	"B3"	"F6"	"T4"	106
"Nailambur"	"B3"	"F6"	"T6"	61
