year	plot	grain	straw
1861	P06	2	2.95
1861	P07	2.49	3.95
1861	P08	2.51	4.32
1861	P09	1.72	3.71
1861	P10	1.06	2.29
1861	P11	1.7	2.93
1861	P12	2.33	3.66
1861	P13	2.51	3.82
1861	P14	2.41	3.74
1861	P15	2.49	3.81
1861	P16	2.67	4.91
1861	P17	1.48	2.1
1861	P18	2.34	3.6
1861	P19	2.36	3.63
1862	P02	2.74	4.7
1862	P03	1.18	1.96
1862	P05	1.24	2.07
1862	P06	1.97	3.33
1862	P07	2.5	4.38
1862	P08	2.76	5.24
1862	P09	2.43	5.22
1862	P10	1.71	3.05
1862	P11	1.93	3.2
1862	P12	2.31	4.07
1862	P13	2.23	4.07
1862	P14	2.18	3.89
1862	P15	2.19	4.01
1862	P16	2.5	5.06
1862	P17	1.92	3.45
1862	P18	1.32	2.32
1862	P19	1.68	2.97
1863	P02	3.23	4.8
1863	P03	1.33	1.81
1863	P05	1.45	1.94
1863	P06	2.83	4.16
1863	P07	3.91	6.57
1863	P08	4.05	7.4
1863	P09	3.53	5.89
1863	P10	3.05	4.22
1863	P11	3.38	4.87
1863	P12	3.92	6.06
1863	P13	3.86	6.47
1863	P14	3.91	6.03
1863	P15	3.5	5.76
1863	P16	4.1	7.7
1863	P17	1.55	2.14
1863	P18	3.37	5.39
1863	P19	3.42	5.07
1864	P02	2.91	4.36
1864	P03	1.21	1.51
1864	P05	1.22	1.54
1864	P06	2.24	3.79
1864	P07	3.36	5.57
1864	P08	3.69	6.26
1864	P09	3.09	5.2
1864	P10	2.52	3.41
1864	P11	2.58	4.1
1864	P12	3.23	4.86
1864	P13	3.18	5.1
1864	P14	3.07	4.55
1864	P15	2.73	4.49
1864	P16	3.76	6.72
1864	P17	2.63	4.25
1864	P18	1.26	1.71
1864	P19	2.73	3.77
1865	P02	2.67	3.47
1865	P03	0.98	1.22
1865	P05	1.03	1.32
1865	P06	1.8	2.26
1865	P07	2.89	4.11
1865	P08	3.18	5.16
1865	P09	2.74	4.38
1865	P10	2.01	2.84
1865	P11	1.95	2.84
1865	P12	2.52	3.48
1865	P13	2.71	3.79
1865	P14	2.65	3.54
1865	P15	2.64	3.65
1865	P16	2.38	3.24
1865	P17	1.23	1.65
1865	P18	2.23	3.17
1865	P19	2.33	3.35
1866	P02	2.32	4.55
1866	P03	0.91	1.48
1866	P05	0.94	1.64
1866	P06	1.45	2.52
1866	P07	2.12	4.35
1866	P08	2.3	5.95
1866	P09	2.26	5.6
1866	P10	1.98	3.27
1866	P11	2.01	3.58
1866	P12	2.03	3.93
1866	P13	1.81	3.91
1866	P14	2.01	3.88
1866	P15	1.87	3.56
1866	P16	1.25	2.2
1866	P17	1.9	3.89
1866	P18	0.91	1.7
1866	P19	1.9	3.75
1867	P02	1.97	3.51
1867	P03	0.61	1.09
1867	P05	0.65	1.16
1867	P06	1.12	1.93
1867	P07	1.59	3.1
1867	P08	2.19	4.7
1867	P09	1.82	4.58
1867	P10	1.32	2.33
1867	P11	1.56	2.59
1867	P12	1.73	2.98
1867	P13	1.68	3.07
1867	P14	1.6	2.88
1867	P15	1.6	3.03
1867	P16	1.01	1.81
1867	P17	0.75	1.37
1867	P18	1.59	2.93
1867	P19	1.59	2.94
1868	P02	2.92	4.7
1868	P03	1.23	1.24
1868	P05	1.27	1.51
1868	P06	2.06	2.88
1868	P07	2.77	4.31
1868	P08	3.29	5.39
1868	P09	2.67	4.44
1868	P10	1.95	2.54
1868	P11	2.48	3.16
1868	P12	2.93	3.96
1868	P13	2.82	4.51
1868	P14	3.07	4.12
1868	P15	3.11	4.98
1868	P16	1.64	2.29
1868	P17	2.73	4.09
1868	P18	1.35	1.8
1868	P19	2.71	3.54
1869	P02	2.53	4.41
1869	P03	0.97	1.52
1869	P05	1.06	1.79
1869	P06	1.47	2.54
1869	P07	1.97	3.6
1869	P08	2.35	4.39
1869	P09	2.14	4.71
1869	P10	1.34	2.49
1869	P11	1.51	2.75
1869	P12	1.89	3.16
1869	P13	1.94	3.41
1869	P14	1.95	3.4
1869	P15	1.87	3.34
1869	P16	1.12	1.84
1869	P17	1.13	1.9
1869	P18	1.6	2.74
1869	P19	1.62	2.88
1870	P02	2.64	3.06
1870	P03	1.1	1.21
1870	P05	1.35	1.52
1870	P06	2.22	2.64
1870	P07	2.94	3.6
1870	P08	3.32	4.11
1870	P09	2.62	3.36
1870	P10	1.63	1.89
1870	P11	1.87	2.14
1870	P12	2.56	2.85
1870	P13	2.73	3.25
1870	P14	2.65	2.9
1870	P15	2.83	3.47
1870	P16	1.35	1.51
1870	P17	2.52	2.99
1870	P18	1.41	1.54
1870	P19	2.4	2.51
1871	P02	2.8	5.05
1871	P03	0.74	1.33
1871	P05	0.87	1.61
1871	P06	1.22	2.57
1871	P07	1.69	3.46
1871	P08	2.07	4.41
1871	P09	1.86	4.11
1871	P10	0.75	1.45
1871	P11	0.82	1.53
1871	P12	1.52	2.88
1871	P13	2.16	4.24
1871	P14	1.8	3.36
1871	P15	2.24	4.15
1871	P16	0.94	1.73
1871	P17	1.09	2.04
1871	P18	1.99	3.74
1871	P19	1.58	3.01
1872	P02	2.29	4.22
1872	P03	0.8	1.33
1872	P05	0.94	1.49
1872	P06	1.46	2.88
1872	P07	2.17	4.29
1872	P08	2.6	5.68
1872	P09	2.24	5.46
1872	P10	1.37	2.89
1872	P11	1.97	3.83
1872	P12	2.1	4.1
1872	P13	2.17	4.37
1872	P14	2.18	4.25
1872	P15	2.27	4.56
1872	P16	0.93	1.74
1872	P17	1.88	3.7
1872	P18	0.94	1.87
1872	P19	2.01	3.7
1873	P02	1.82	2.76
1873	P03	0.81	1.06
1873	P05	0.85	1.17
1873	P06	1.08	1.7
1873	P07	1.48	2.27
1873	P08	1.84	2.99
1873	P09	1.94	3.53
1873	P10	1.36	1.84
1873	P11	1.29	1.77
1873	P12	1.55	2.23
1873	P13	1.59	2.32
1873	P14	1.61	2.41
1873	P15	2.19	3.45
1873	P16	0.86	1.29
1873	P17	0.8	1.23
1873	P18	1.37	2.14
1873	P19	1.36	2.08
1874	P02	2.72	4.98
1874	P03	0.8	1.11
1874	P05	0.89	0.99
1874	P06	1.74	2.49
1874	P07	2.74	5.21
1874	P08	2.86	6.8
1874	P09	2.06	4.02
1874	P10	1.77	2.45
1874	P11	2.28	3.5
1874	P12	2.72	4.36
1874	P13	2.58	4.46
1874	P14	2.51	4.03
1874	P15	2.03	3.11
1874	P16	0.83	1.29
1874	P17	2.31	3.91
1874	P18	0.95	1.15
1874	P19	2.57	3.51
1875	P02	2.12	4.17
1875	P03	0.6	1.07
1875	P05	0.66	1.26
1875	P06	1.19	1.8
1875	P07	1.89	3.83
1875	P08	2.17	4.84
1875	P09	1.69	3.98
1875	P10	0.96	1.88
1875	P11	1.26	2.58
1875	P12	1.77	3.41
1875	P13	1.93	3.66
1875	P14	1.86	3.5
1875	P15	1.92	3.59
1875	P16	0.72	1.33
1875	P17	0.82	1.51
1875	P18	1.77	3.37
1875	P19	1.56	2.8
1876	P02	1.73	2.4
1876	P03	0.59	0.76
1876	P05	0.72	0.88
1876	P06	1.14	1.45
1876	P07	1.77	2.48
1876	P08	2.21	3.29
1876	P09	1.69	2.69
1876	P10	0.88	1.23
1876	P11	1.01	1.42
1876	P12	1.38	2.45
1876	P13	1.82	2.73
1876	P14	1.56	2.18
1876	P15	1.86	2.72
1876	P16	0.74	0.98
1876	P17	1.86	2.85
1876	P18	0.7	1
1876	P19	1.29	1.76
1877	P02	1.66	2.54
1877	P03	0.63	0.87
1877	P05	0.77	0.99
1877	P06	0.98	1.32
1877	P07	1.36	2.06
1877	P08	1.69	2.51
1877	P09	2.26	3.58
1877	P10	1.2	1.58
1877	P11	1.25	1.57
1877	P12	1.26	1.67
1877	P13	1.27	1.76
1877	P14	1.25	1.76
1877	P15	2.25	3.12
1877	P16	0.66	0.84
1877	P17	0.7	0.87
1877	P18	0.85	1.19
1877	P19	1.3	1.63
1878	P02	2.12	4.53
1878	P03	0.87	1.16
1878	P05	1.01	1.48
1878	P06	1.62	3.3
1878	P07	2.31	5.55
1878	P08	2.77	6.92
1878	P09	2.1	4.78
1878	P10	2	3.3
1878	P11	2.13	4.81
1878	P12	2.17	5.21
1878	P13	2.13	5.25
1878	P14	2.29	5.5
1878	P15	1.59	3.44
1878	P16	0.95	1.49
1878	P17	2.1	5.19
1878	P18	1.08	1.74
1878	P19	1.93	3.53
1879	P02	1.19	2.51
1879	P03	0.36	0.85
1879	P05	0.43	0.96
1879	P06	0.77	1.78
1879	P07	1.18	3.38
1879	P08	1.51	4.68
1879	P09	1.01	3.04
1879	P10	0.36	1.14
1879	P11	0.82	2.26
1879	P12	1.05	2.77
1879	P13	1.21	3.42
1879	P14	1.23	3.25
1879	P15	0.41	1.01
1879	P16	0.38	0.91
1879	P17	0.25	0.7
1879	P18	1.46	3.75
1879	P19	0.46	1.5
1880	P02	2.66	4.37
1880	P03	0.81	1.35
1880	P05	1.21	1.94
1880	P06	1.87	3.26
1880	P07	2.41	4.49
1880	P08	2.47	5.02
1880	P09	1.56	3.26
1880	P10	0.8	1.61
1880	P11	1.79	3.2
1880	P12	2.05	3.66
1880	P13	2.3	4.21
1880	P14	2.14	3.73
1880	P15	2.56	4.51
1880	P16	0.99	1.68
1880	P17	2.3	3.73
1880	P18	1.03	1.51
1880	P19	2.31	3.65
1881	P02	2.14	2.65
1881	P03	0.91	1.11
1881	P05	0.9	1.01
1881	P06	1.52	1.83
1881	P07	1.92	2.47
1881	P08	2.2	3.26
1881	P09	2.07	3.06
1881	P10	1.36	1.51
1881	P11	1.53	1.79
1881	P12	1.61	2.11
1881	P13	1.92	2.54
1881	P14	1.86	2.45
1881	P15	1.7	2.21
1881	P16	0.9	1.04
1881	P17	0.89	1.01
1881	P18	2.13	2.86
1881	P19	1.72	2.03
1882	P02	2.25	4.48
1882	P03	0.77	1.18
1882	P05	0.87	1.44
1882	P06	1.64	3.27
1882	P07	2.52	6.42
1882	P08	2.6	7.97
1882	P09	1.98	5.54
1882	P10	1.81	3.25
1882	P11	2.22	4.33
1882	P12	2.49	5.37
1882	P13	2.33	5.48
1882	P14	2.45	5.33
1882	P15	2.07	4.59
1882	P16	0.76	1.4
1882	P17	2.23	4.66
1882	P18	1.11	1.73
1882	P19	2.18	3.88
1883	P02	2.52	3.28
1883	P03	0.96	1.11
1883	P05	1.13	1.28
1883	P06	2	2.92
1883	P07	2.67	4.07
1883	P08	3.12	4.81
1883	P09	2.69	4.24
1883	P10	1.57	1.84
1883	P11	1.94	2.59
1883	P12	2.29	3.09
1883	P13	2.52	3.77
1883	P14	2.48	3.4
1883	P15	2.45	3.65
1883	P16	1.15	1.24
1883	P17	1.14	1.3
1883	P18	2.74	4.31
1883	P19	2.23	3.09
1884	P02	2.36	3.81
1884	P03	0.93	0.99
1884	P05	1.1	1.31
1884	P06	1.85	2.81
1884	P07	2.78	4.53
1884	P08	3.19	5.84
1884	P09	2.53	4.29
1884	P10	1.98	2.77
1884	P11	2.31	3.53
1884	P12	2.6	4.11
1884	P13	2.43	4.09
1884	P14	2.62	4.04
1884	P15	2.51	4.97
1884	P16	2.63	5.11
1884	P17	2.47	4.3
1884	P18	0.93	1.29
1884	P19	2.29	3.6
1885	P02	2.82	4.38
1885	P03	0.95	1.17
1885	P05	1.02	1.36
1885	P06	1.52	2.22
1885	P07	2.21	3.7
1885	P08	2.6	5.18
1885	P09	1.88	3.17
1885	P10	1.67	2.35
1885	P11	1.58	2.53
1885	P12	1.91	3.2
1885	P13	1.91	3.66
1885	P14	1.89	3.23
1885	P15	1.77	3.09
1885	P16	2.63	5.45
1885	P17	0.86	1.18
1885	P18	2.29	3.59
1885	P19	2.06	2.97
1886	P02	2.61	3.09
1886	P03	0.65	0.67
1886	P05	0.8	0.85
1886	P06	1.56	1.77
1886	P07	2.5	3.45
1886	P08	3.02	4.4
1886	P09	1.68	2.16
1886	P10	1.15	1.17
1886	P11	1.17	1.42
1886	P12	1.84	2.19
1886	P13	2.63	3.59
1886	P14	2.15	2.71
1886	P15	1.82	2.32
1886	P16	3.08	4.81
1886	P17	2.63	3.67
1886	P18	0.95	1.04
1886	P19	2	2.29
1887	P02	2.51	3.88
1887	P03	0.98	0.97
1887	P05	1.02	1.13
1887	P06	1.65	2.08
1887	P07	2.1	3.02
1887	P08	2.5	4.05
1887	P09	1.91	2.66
1887	P10	1.55	2.04
1887	P11	1.53	2.23
1887	P12	2.12	2.94
1887	P13	1.91	2.68
1887	P14	2.05	2.9
1887	P15	2.42	3.38
1887	P16	2.87	4.55
1887	P17	0.75	1
1887	P18	2.24	3.15
1887	P19	1.93	2.63
1888	P02	2.61	4.52
1888	P03	0.7	1
1888	P05	0.84	1.24
1888	P06	1.63	2.44
1888	P07	2.46	4.12
1888	P08	2.48	4.7
1888	P09	1.47	2.79
1888	P10	0.85	1.58
1888	P11	0.8	1.55
1888	P12	1.62	2.75
1888	P13	2.27	3.62
1888	P14	1.76	2.96
1888	P15	1.98	3.31
1888	P16	2.27	4.46
1888	P17	2.19	3.44
1888	P18	0.88	1.35
1888	P19	1.95	3.2
1889	P02	2.75	4.86
1889	P03	0.86	1.1
1889	P05	1.05	1.31
1889	P06	1.59	2.15
1889	P07	2.12	3.65
1889	P08	2.41	4.58
1889	P09	1.32	2.36
1889	P10	0.91	1.55
1889	P11	1.12	1.82
1889	P12	1.66	2.81
1889	P13	1.82	3.86
1889	P14	1.7	3.39
1889	P15	1.89	3.07
1889	P16	2	4.56
1889	P17	0.7	1.05
1889	P18	1.62	3.48
1889	P19	1.5	3.4
1890	P02	3.49	6.11
1890	P03	1.32	1.52
1890	P05	1.32	1.56
1890	P06	2.45	3.77
1890	P07	3.06	5.39
1890	P08	3.13	5.76
1890	P09	2.15	3.58
1890	P10	1.87	2.48
1890	P11	2.34	3.73
1890	P12	2.87	4.58
1890	P13	3.17	5.61
1890	P14	2.72	4.33
1890	P15	3.3	5.82
1890	P16	2.91	5.74
1890	P17	2.89	4.43
1890	P18	1.6	2.03
1890	P19	2.55	3.7
1891	P02	3.22	6.6
1891	P03	0.88	1.31
1891	P05	0.79	1.24
1891	P06	1.76	3.25
1891	P07	2.72	5.8
1891	P08	2.65	7.44
1891	P09	1.94	3.62
1891	P10	1.6	2.36
1891	P11	1.68	3.41
1891	P12	2.41	4.46
1891	P13	2.59	5.07
1891	P14	2.47	4.54
1891	P15	2.68	4.76
1891	P16	2.83	6.68
1891	P17	1	1.51
1891	P18	2.15	3.98
1891	P19	1.93	3.46
1892	P02	2.37	3.81
1892	P03	0.68	0.93
1892	P05	0.73	1.03
1892	P06	1.58	2.36
1892	P07	2.26	3.61
1892	P08	2.7	4.48
1892	P09	1.27	2.19
1892	P10	0.84	1.51
1892	P11	1.11	1.96
1892	P12	1.7	2.48
1892	P13	2.11	3.26
1892	P14	1.71	2.65
1892	P15	2.04	3.22
1892	P16	2.27	4.27
1892	P17	2.07	3.11
1892	P18	0.87	1.3
1892	P19	1.75	2.73
1893	P02	2.52	2.53
1893	P03	0.78	0.71
1893	P05	1.02	0.88
1893	P06	1.42	1.29
1893	P07	1.48	1.48
1893	P08	1.58	1.74
1893	P09	1	1.08
1893	P10	0.61	0.73
1893	P11	0.53	0.78
1893	P12	0.81	0.95
1893	P13	1.2	1.23
1893	P14	0.92	1.01
1893	P15	1.34	1.33
1893	P16	1.41	1.45
1893	P17	0.9	0.85
1893	P18	1.5	1.41
1893	P19	1.27	1.29
1894	P02	3.23	6.34
1894	P03	1.25	1.64
1894	P05	1.55	2.15
1894	P06	2.75	4.49
1894	P07	3.49	6.76
1894	P08	3.54	8.13
1894	P09	3.04	5.48
1894	P10	2.18	3.26
1894	P11	2.87	4.83
1894	P12	3.39	5.32
1894	P13	3.39	6.26
1894	P14	3.19	5.44
1894	P15	2.93	5.67
1894	P16	3.38	7.08
1894	P17	2.65	4.76
1894	P18	1.93	2.88
1894	P19	2.71	4.9
1895	P02	3.17	3.91
1895	P03	0.79	0.81
1895	P05	1.11	1.16
1895	P06	1.56	1.71
1895	P07	2.31	2.76
1895	P08	2.92	3.77
1895	P09	1.81	2.23
1895	P10	0.71	0.93
1895	P11	1.09	1.59
1895	P12	1.63	2.05
1895	P13	2.07	2.58
1895	P14	1.54	1.99
1895	P15	1.81	2.13
1895	P16	2.37	3.2
1895	P17	0.9	0.96
1895	P18	2.07	2.62
1895	P19	1.62	1.99
1896	P02	3.26	5.56
1896	P03	1.19	1.48
1896	P05	1.45	1.88
1896	P06	2.15	3.12
1896	P07	2.76	4.19
1896	P08	3.33	5.67
1896	P09	2.73	3.58
1896	P10	1.65	2.36
1896	P11	1.78	2.87
1896	P12	2.52	3.71
1896	P13	2.48	3.82
1896	P14	2.18	3.22
1896	P15	2.23	3.34
1896	P16	2.79	4.42
1896	P17	2.63	3.94
1896	P18	1.23	1.67
1896	P19	2.6	4.05
1897	P02	2.72	4.28
1897	P03	0.69	1.01
1897	P05	0.93	1.31
1897	P06	1.43	2.14
1897	P07	2.09	3.55
1897	P08	2.73	4.9
1897	P09	1.78	3.1
1897	P10	1.24	2.05
1897	P11	1.17	2.27
1897	P12	1.58	2.68
1897	P13	2	3.41
1897	P14	1.41	2.52
1897	P15	1.49	2.41
1897	P16	2.01	4.13
1897	P17	0.82	1.27
1897	P18	2.24	3.67
1897	P19	1.64	2.64
1898	P02	3.03	6.99
1898	P03	0.92	1.54
1898	P05	1.03	2.01
1898	P06	1.55	3.28
1898	P07	2.18	5.58
1898	P08	2.28	6.86
1898	P09	1.89	3.93
1898	P10	1.6	3.1
1898	P11	1.35	3.12
1898	P12	1.9	4.54
1898	P13	2.01	5.09
1898	P14	1.78	4.33
1898	P15	2.19	5.7
1898	P16	1.8	4.25
1898	P17	1.96	4.93
1898	P18	1.12	1.95
1898	P19	2.2	4.94
1899	P02	3.02	6.59
1899	P03	0.86	1.18
1899	P05	0.94	1.67
1899	P06	1.34	2.4
1899	P07	2.22	5.06
1899	P08	2.78	7.52
1899	P09	1.86	3.9
1899	P10	1.66	2.81
1899	P11	1.53	2.59
1899	P12	2.04	3.73
1899	P13	1.87	4.49
1899	P14	1.99	3.85
1899	P15	1.89	4.03
1899	P16	2.66	5.62
1899	P17	0.98	1.6
1899	P18	1.89	4.36
1899	P19	2.02	4.19
1900	P02	2.36	4.22
1900	P03	0.86	1.13
1900	P05	0.92	1.35
1900	P06	1.37	2.11
1900	P07	2.09	3.28
1900	P08	3.08	4.98
1900	P09	1.66	2.72
1900	P10	1.37	1.91
1900	P11	1.26	1.83
1900	P12	1.72	2.29
1900	P13	2	2.87
1900	P14	1.59	2.26
1900	P15	1.43	5.6
1900	P16	2.47	4.35
1900	P17	2.05	2.96
1900	P18	0.84	1.24
1900	P19	1.67	2.68
1901	P02	2.83	4.38
1901	P03	0.85	0.98
1901	P05	1.06	1.24
1901	P06	1.61	2.2
1901	P07	2.12	2.74
1901	P08	3	4.34
1901	P09	1.8	2.36
1901	P10	1.47	1.71
1901	P11	1.43	1.73
1901	P12	1.89	2.31
1901	P13	2.11	3
1901	P14	1.6	2.05
1901	P15	2.12	3.01
1901	P16	2.1	2.79
1901	P17	1.28	1.52
1901	P18	2.06	2.66
1901	P19	1.99	2.44
1902	P02	2.76	5.88
1902	P03	0.9	1.17
1902	P05	1.07	1.43
1902	P06	1.75	2.6
1902	P07	2.53	5.01
1902	P08	2.94	6.04
1902	P09	2.25	3.59
1902	P10	1.64	2.12
1902	P11	1.56	2.48
1902	P12	2.25	4.04
1902	P13	2.59	4.72
1902	P14	2.2	3.42
1902	P15	2.68	4.67
1902	P16	2.22	4.45
1902	P17	2.47	5.04
1902	P18	1.4	2.11
1902	P19	2.34	4.37
1903	P02	2.07	3.81
1903	P03	0.54	0.66
1903	P05	0.58	0.93
1903	P06	1.23	2.33
1903	P07	1.83	3.57
1903	P08	2.37	5.33
1903	P09	1.57	2.95
1903	P10	0.91	1.44
1903	P11	1.05	2.02
1903	P12	1.18	1.99
1903	P13	1.86	3.33
1903	P14	1.16	2.38
1903	P15	1.43	2.18
1903	P16	1.86	3.83
1903	P17	0.41	0.65
1903	P18	1.77	3.69
1903	P19	1.26	2.58
1904	P02	1.63	2.88
1904	P03	0.32	0.76
1904	P05	0.51	0.87
1904	P06	0.84	1.63
1904	P07	1.43	2.89
1904	P08	1.8	3.57
1904	P09	1.3	2.81
1904	P10	0.74	1.56
1904	P11	0.89	2.16
1904	P12	1.13	2.51
1904	P13	1.52	3.3
1904	P14	1.22	2.17
1904	P15	1.69	3.11
1904	P16	1.76	3.56
1904	P17	1.52	3.27
1904	P18	0.25	0.67
1904	P19	1.31	2.6
1905	P02	3.02	6.44
1905	P03	1.4	2.48
1905	P05	1.84	3.08
1905	P06	2.47	4.8
1905	P07	3.15	5.86
1905	P08	3.19	6.44
1905	P09	2.8	5.19
1905	P10	1.33	2.6
1905	P11	1.69	3.47
1905	P12	2.41	4.61
1905	P13	3.05	5.57
1905	P14	2.11	3.78
1905	P15	2.89	5.27
1905	P16	2.76	5.85
1905	P17	1.94	3.4
1905	P18	2.4	4.5
1905	P19	1.8	3.78
1906	P02	3.27	4.83
1906	P03	1.14	1.28
1906	P05	1.3	1.57
1906	P06	2.14	2.85
1906	P07	2.92	4.07
1906	P08	3.66	5.28
1906	P09	2.57	3.38
1906	P10	1.77	2.09
1906	P11	1.82	2.22
1906	P12	2.43	3.03
1906	P13	3.18	4.52
1906	P14	2.47	3.15
1906	P15	3.31	4.52
1906	P16	3.3	4.83
1906	P17	3.27	3.2
1906	P18	2.18	2.74
1906	P19	2.82	3.72
1907	P02	2.75	7.33
1907	P03	0.69	1.23
1907	P05	0.88	1.89
1907	P06	1.74	3.94
1907	P07	2.54	7.01
1907	P08	2.67	8.99
1907	P09	2.19	5.77
1907	P10	2.04	4.15
1907	P11	2.5	5.09
1907	P12	3.05	6.44
1907	P13	2.55	7.19
1907	P14	2.74	5.89
1907	P15	2.48	6.1
1907	P16	2.66	8.25
1907	P17	0.89	1.63
1907	P18	2.26	5.56
1907	P19	2.15	4.93
1908	P02	2.97	4.28
1908	P03	0.91	0.96
1908	P05	1.21	1.37
1908	P06	1.65	2.38
1908	P07	2.49	3.79
1908	P08	3.47	5.52
1908	P09	2.38	3.35
1908	P10	1.66	1.92
1908	P11	1.67	2.44
1908	P12	2.48	3.03
1908	P13	2.64	3.72
1908	P14	1.99	2.68
1908	P15	2.37	3.23
1908	P16	2.85	4.5
1908	P17	2.44	3.62
1908	P18	1.08	1.28
1908	P19	2.07	2.66
1909	P02	2.78	6.37
1909	P03	0.68	1.15
1909	P05	0.78	1.53
1909	P06	1.3	2.78
1909	P07	2.08	4.5
1909	P08	2.59	5.9
1909	P09	1.82	3.76
1909	P10	0.87	2.18
1909	P11	0.63	2.07
1909	P12	1.54	3.65
1909	P13	2.2	4.98
1909	P14	1.34	3.31
1909	P15	2.12	4.84
1909	P16	2.24	5.37
1909	P17	0.72	1.43
1909	P18	2.29	4.46
1909	P19	1.62	3.71
1910	P02	2.19	4.84
1910	P03	0.57	1.17
1910	P05	0.77	1.31
1910	P06	1.32	2.59
1910	P07	1.96	4.35
1910	P08	2.16	5.65
1910	P09	1.8	3.82
1910	P10	1.17	2.4
1910	P11	1.7	3.47
1910	P12	2.08	4.1
1910	P13	1.93	4.27
1910	P14	1.9	3.83
1910	P15	1.59	3.49
1910	P16	1.95	5.76
1910	P17	1.95	3.83
