site	year	mo	cdd	hdd	precip	min	max
Morris	1932	9	15	217	0.63	41	75.4
Morris	1932	10	17	617	1.14	34.9	56.1
Morris	1932	11	0	1128	2.5	17.1	37.6
Morris	1932	12	0	1581	0.25	3.4	24.4
Morris	1933	1	0	1433	0.41	7.2	30.4
Morris	1933	2	0	1491	0.47	1	22.3
Morris	1933	3	0	1069	1.61	19.9	41
Morris	1933	4	0	636	1.09	31.8	55.6
Morris	1933	5	19	261	2.87	45.5	68.7
Morris	1933	6	321	13	2.79	59.7	90.7
Morris	1933	7	291	2	1.22	59.7	89.6
Morris	1933	8	132	20	2.42	52.9	84.2
Morris	1933	9	104	78	1.39	51.8	79.7
Morris	1933	10	0	601	0.07	30.9	59.4
Morris	1933	11	0	1111	0.51	16.3	39.6
Morris	1933	12	0	1599	0.46	2.3	24.4
Morris	1934	1	0	1513	0.32	4.8	27.3
Morris	1934	2	0	1285	0	7.3	30.7
Morris	1934	3	0	1170	0.34	13.5	41
Morris	1934	4	10	590	1.1	31.5	58.5
Morris	1934	5	179	119	1.18	49.5	84.2
Morris	1934	6	210	13	3.66	57.6	85.5
Morris	1934	7	301	2	0.99	60.1	89.1
Morris	1934	8	186	63	2.01	55.6	82.9
Morris	1934	9	21	273	2.94	43.9	69.1
Morris	1934	10	7	375	2.01	41.5	64.6
Morris	1934	11	0	861	0.65	26.4	46
Morris	1934	12	0	1544	0.66	4.3	22.8
Morris	1935	1	0	1774	0.81	-4.7	16.3
Morris	1935	2	0	1071	0.35	18.1	35.2
Morris	1935	3	0	974	2.86	24.6	42.4
Morris	1935	4	0	699	2.71	33.1	50.2
Morris	1935	5	5	356	2.22	43.2	64
Morris	1935	6	50	105	4.43	52	74.1
Morris	1935	7	364	0	6.52	65.3	88
Morris	1935	8	261	59	6.58	59.7	83.1
Morris	1935	9	40	169	0.43	47.1	74.1
Morris	1935	10	3	571	0.03	33.8	59.4
Morris	1935	11	0	1250	0.12	12.9	33.6
Morris	1935	12	0	1537	1.07	7	23.9
Morris	1936	1	0	2138	0.71	-15.3	7.3
Morris	1936	2	0	2073	1.42	-17.1	3.9
Morris	1936	3	0	1146	2.21	18.5	37.6
Morris	1936	4	0	787	1.74	26.1	51.4
Morris	1936	5	42	161	1.54	48.4	73.8
Morris	1936	6	95	74	1.85	51.6	79.5
Morris	1936	7	410	1	0.34	63.5	92.7
Morris	1936	8	203	12	2.66	59.2	83.1
Morris	1936	9	63	152	1.64	48.9	74.8
Morris	1936	10	0	649	0.5	29.8	58.1
Morris	1936	11	0	1151	1.81	18	35.2
Morris	1936	12	0	1458	0.99	8.2	27.7
StPaul	1927	1	0	1590	0.54	5.9	21.6
StPaul	1927	2	0	1173	0.35	15.1	31.1
StPaul	1927	3	0	912	2.43	28.2	42.8
StPaul	1927	4	0	557	2.48	38.3	54.5
StPaul	1927	5	5	350	3.22	45.5	62.1
StPaul	1927	6	112	114	6.77	55.6	74.1
StPaul	1927	7	157	15	1.86	60.4	78.6
StPaul	1927	8	105	41	2.11	56.7	77.4
StPaul	1927	9	144	202	4.32	55.4	70.5
StPaul	1927	10	0	408	2.3	41.9	61.7
StPaul	1927	11	0	1050	1.51	23.5	36.3
StPaul	1927	12	0	1740	2.32	0.7	16.9
StPaul	1928	1	0	1479	0.33	9.7	24.8
StPaul	1928	2	0	1253	1.52	14.9	28.6
StPaul	1928	3	0	992	0.93	24.3	41.5
StPaul	1928	4	0	761	2.33	30.9	48.2
StPaul	1928	5	38	159	2.38	51.1	71.1
StPaul	1928	6	28	99	2.6	53.8	71.4
StPaul	1928	7	231	3	3.69	62.8	81.9
StPaul	1928	8	196	28	5.84	60.8	79.9
StPaul	1928	9	17	216	2.17	48.7	67.8
StPaul	1928	10	12	454	3.17	42.1	59.2
StPaul	1928	11	0	856	0.35	30	42.8
StPaul	1928	12	0	1218	0.43	18.5	32.9
StPaul	1929	1	0	1954	1.61	-6.2	10
StPaul	1929	2	0	1525	1.06	3	17.8
StPaul	1929	3	0	954	1.31	26.1	42.3
StPaul	1929	4	0	544	1.62	37.6	56.1
StPaul	1929	5	33	345	1.91	45.1	64.6
StPaul	1929	6	101	79	4.22	55.6	75.7
StPaul	1929	7	285	3	3.33	64	84
StPaul	1929	8	184	8	2.15	60.6	81
StPaul	1929	9	65	243	3.57	50.5	67.5
StPaul	1929	10	1	469	2.17	41.2	58.5
StPaul	1929	11	0	1079	0.36	21.9	36
StPaul	1929	12	0	1454	0.37	11.3	24.8
StPaul	1930	1	0	1797	0.95	-1.3	15.3
StPaul	1930	2	0	1052	2.67	19.2	35.6
StPaul	1930	3	0	1032	0.48	22.8	40.5
StPaul	1930	4	0	466	0.62	39	59.7
StPaul	1930	5	28	232	3.38	48.6	68.2
StPaul	1930	6	139	30	6.69	59.2	78.1
StPaul	1930	7	330	7	0.92	64.8	86
StPaul	1930	8	321	1	0.72	64.8	85.6
StPaul	1930	9	68	143	4.14	52.3	72.5
StPaul	1930	10	24	553	1.14	40.3	55.6
StPaul	1930	11	0	837	2.41	28.2	45.9
StPaul	1930	12	0	1299	0.06	16.9	29.1
StPaul	1931	1	0	1212	0.13	18.5	33.1
StPaul	1931	2	0	924	0.7	23.9	39.9
StPaul	1931	3	0	1041	1.5	24.6	38.1
StPaul	1931	4	7	454	1.2	39.7	60.4
StPaul	1931	5	40	314	1.35	45.9	66.4
StPaul	1931	6	284	21	4.79	63.7	83.8
StPaul	1931	7	369	0	1.13	66.7	87.1
StPaul	1931	8	208	35	2.97	60.8	80.2
StPaul	1931	9	180	69	2.43	58.8	78.4
StPaul	1931	10	12	339	1.87	46.2	62.6
StPaul	1931	11	0	740	3.29	32.7	47.8
StPaul	1931	12	0	1082	0.72	24.6	35.6
StPaul	1932	1	0	1452	1.7	10.9	25.2
StPaul	1932	2	0	1321	0.74	10.2	28.6
StPaul	1932	3	0	1337	1.43	14.5	29.1
StPaul	1932	4	1	550	2.16	37.6	55.6
StPaul	1932	5	42	224	2.06	49.5	68.7
StPaul	1932	6	222	1	1.57	62.8	82
StPaul	1932	7	306	13	4.37	64.6	84.7
StPaul	1932	8	243	4	3.87	63.1	82
StPaul	1932	9	42	132	0.85	51.4	72.5
StPaul	1932	10	3	581	0.89	38.5	54.1
StPaul	1932	11	0	1029	2.29	22.3	39
StPaul	1932	12	0	1492	1.53	8.4	25.2
StPaul	1933	1	0	1296	0.9	14.5	31.6
StPaul	1933	2	0	1420	0.77	4.8	23.5
StPaul	1933	3	0	1067	2.16	23.4	37.6
StPaul	1933	4	0	602	1.43	36	53.8
StPaul	1933	5	43	233	7.88	49.5	68.2
StPaul	1933	6	401	12	1.31	66.9	89.1
StPaul	1933	7	376	0	2.16	66.6	87.6
StPaul	1933	8	186	6	1.09	60.4	81
StPaul	1933	9	132	59	3.44	57.7	77
StPaul	1933	10	3	548	1.26	38.3	56.3
StPaul	1933	11	0	1027	0.57	22.5	39
StPaul	1933	12	0	1487	0.63	7.7	26.2
StPaul	1934	1	0	1355	0.69	13.1	29.5
StPaul	1934	2	0	1299	0.17	10.6	26.4
StPaul	1934	3	0	1115	0.69	18.9	39
StPaul	1934	4	21	589	1.57	36.5	55.6
StPaul	1934	5	201	84	0.21	56.5	81
StPaul	1934	6	260	16	2.3	62.1	84
StPaul	1934	7	350	2	1.4	65.7	86.7
StPaul	1934	8	216	57	1.61	60.1	80.1
StPaul	1934	9	16	247	4.86	48.4	66.2
StPaul	1934	10	11	351	5.65	45.5	62.6
StPaul	1934	11	0	785	2.38	32.2	45.3
StPaul	1934	12	0	1549	1.23	7.3	22.5
StPaul	1935	1	0	1674	1.44	2.5	19.4
StPaul	1935	2	0	1104	0.21	19.2	31.8
StPaul	1935	3	0	957	1.63	26.1	42.1
StPaul	1935	4	1	627	2.32	36.1	52
StPaul	1935	5	0	312	3.81	46.4	63.3
StPaul	1935	6	88	106	4.83	55.6	73.2
StPaul	1935	7	464	0	2.59	70.2	89.6
StPaul	1935	8	284	45	3.02	63.3	81.9
StPaul	1935	9	67	150	1.98	51.8	72.5
StPaul	1935	10	0	508	3.94	39.6	57.6
StPaul	1935	11	0	1092	0.69	21.4	35.8
StPaul	1935	12	0	1470	1.04	11.7	23.5
StPaul	1936	1	0	1894	0.78	-3.6	11.5
StPaul	1936	2	0	1885	1.56	-7.8	7.5
StPaul	1936	3	0	1087	2.67	23.2	36.7
StPaul	1936	4	0	754	1.49	31.5	48
StPaul	1936	5	88	113	2.25	54.5	73.8
StPaul	1936	6	103	59	2.3	56.3	76.5
StPaul	1936	7	509	0	0.12	70.2	92.5
StPaul	1936	8	307	5	3.48	64.8	84.6
StPaul	1936	9	146	93	0.78	56.7	76.8
StPaul	1936	10	3	578	0.66	36.5	56.1
StPaul	1936	11	0	1045	0.66	22.3	37.9
StPaul	1936	12	0	1314	1.78	14.5	30.6
Crookston	1927	1	0	1791	0.35	-2	16.3
Crookston	1927	2	0	1489	0.49	3	20.5
Crookston	1927	3	0	1061	0.35	23.5	37.9
Crookston	1927	4	0	627	2.09	33.8	52.7
Crookston	1927	5	0	453	4.4	40.8	59.7
Crookston	1927	6	73	128	4.83	51.1	75.2
Crookston	1927	7	82	30	2.35	55	78.1
Crookston	1927	8	55	92	3.8	50.2	77.7
Crookston	1927	9	95	273	0.25	47.8	70.2
Crookston	1927	10	0	532	1.36	36.5	58.3
Crookston	1927	11	0	1272	0.26	15.8	29.1
Crookston	1927	12	0	1933	0.42	-6.7	7.3
Crookston	1928	1	0	1586	0.07	3	21.2
Crookston	1928	2	0	1383	0	8.1	26.6
Crookston	1928	3	0	1230	0.77	13.1	37.4
Crookston	1928	4	0	814	0.64	25.5	50.2
Crookston	1928	5	42	244	1.18	42.3	74.5
Crookston	1928	6	17	157	6.58	48.2	72.3
Crookston	1928	7	134	5	1.39	57.9	80.2
Crookston	1928	8	107	64	4.14	54.1	78.4
Crookston	1928	9	6	316	1.71	42.8	66.4
Crookston	1928	10	2	620	0.65	33.4	56.7
Crookston	1928	11	0	941	0.6	21.9	40.6
Crookston	1928	12	0	1355	0.34	13.3	29.1
Crookston	1929	1	0	2274	0.35	-18	1.2
Crookston	1929	2	0	1763	0.17	-9	13.1
Crookston	1929	3	0	1081	0.31	20.1	40.1
Crookston	1929	4	0	610	1.78	31.3	56.3
Crookston	1929	5	30	476	1.94	37	64
Crookston	1929	6	69	120	1.28	49.3	77.4
Crookston	1929	7	188	18	2.23	56.3	84.6
Crookston	1929	8	130	37	1.16	53.2	82.6
Crookston	1929	9	44	358	1.33	43.2	65.8
Crookston	1929	10	0	571	2.48	35.2	57.7
Crookston	1929	11	0	1249	0.53	14.7	31.8
Crookston	1929	12	0	1723	0.51	1.2	17.6
Crookston	1930	1	0	2093	0.09	-12.3	7.2
Crookston	1930	2	0	1304	0.69	10.2	26.6
Crookston	1930	3	0	1245	0.15	16	33.6
Crookston	1930	4	0	577	0.8	32.5	58.8
Crookston	1930	5	25	354	4.12	42.3	66.4
Crookston	1930	6	67	49	2.18	52.7	77.9
Crookston	1930	7	231	15	1.69	57.6	86.2
Crookston	1930	8	207	18	0.52	56.3	85.8
Crookston	1930	9	35	240	2.77	45	71.2
Crookston	1930	10	0	672	2.1	34.7	51.8
Crookston	1930	11	0	1052	1.88	20.8	38.8
Crookston	1930	12	0	1425	0.17	8.6	25.7
Crookston	1931	1	0	1485	0.06	9.1	25
Crookston	1931	2	0	1103	0.09	17.4	33.6
Crookston	1931	3	0	1163	0.7	18	36.9
Crookston	1931	4	0	611	0.05	29.8	59.4
Crookston	1931	5	19	375	3.09	39.7	66.7
Crookston	1931	6	150	64	1.76	55.6	80.1
Crookston	1931	7	206	21	3.06	57.9	83.8
Crookston	1931	8	144	63	1.07	55.2	79.9
Crookston	1931	9	97	139	2.33	50.2	77
Crookston	1931	10	0	478	2.59	38.5	60.4
Crookston	1931	11	0	953	1.51	23.5	40.6
Crookston	1931	12	0	1419	0.1	12	26.4
Crookston	1932	1	0	1654	0.22	3.4	19.8
Crookston	1932	2	0	1573	0.54	0.9	20.5
Crookston	1932	3	0	1455	0.36	10.2	25.9
Crookston	1932	4	0	646	1.46	33.1	53.8
Crookston	1932	5	34	267	2.24	43.7	70.7
Crookston	1932	6	135	6	1.8	56.8	81.7
Crookston	1932	7	231	32	1.5	57.7	85.5
Crookston	1932	8	174	20	3.6	55.6	84.2
Crookston	1932	9	12	227	1.04	45.5	70.2
Crookston	1932	10	0	765	1.82	31.8	48.7
Crookston	1932	11	0	1252	0.52	15.1	31.5
Crookston	1932	12	0	1716	0.13	0.5	18.7
Crookston	1933	1	0	1709	0.64	-0.8	20.3
Crookston	1933	2	0	1662	0.02	-3.6	14.9
Crookston	1933	3	0	1191	0.47	18.1	34.9
Crookston	1933	4	0	735	1.23	30.4	50.5
Crookston	1933	5	17	265	3.05	44.4	69.6
Crookston	1933	6	219	20	3	57.6	85.5
Crookston	1933	7	227	3	1.5	58.5	85.8
Crookston	1933	8	155	26	2.43	56.3	82
Crookston	1933	9	38	143	2.37	49.8	73
Crookston	1933	10	0	761	0.75	28.8	52.2
Crookston	1933	11	0	1248	0.65	15.1	31.6
Crookston	1933	12	0	1878	1.37	-6	14.7
Crookston	1934	1	0	1661	0.19	0.9	21.9
Crookston	1934	2	0	1520	0.12	1	20.3
Crookston	1934	3	30	1244	0.46	14.7	36.9
Crookston	1934	4	7	674	0.68	31.8	53.6
Crookston	1934	5	111	172	2.78	47.7	78.3
Crookston	1934	6	50	72	4.95	52.5	75.9
Crookston	1934	7	184	31	2.32	56.1	83.8
Crookston	1934	8	152	101	0.97	52.9	80.4
Crookston	1934	9	15	355	1.28	42.1	65.1
Crookston	1934	10	3	503	2.56	38.3	59.2
Crookston	1934	11	0	923	0.57	25.3	41
Crookston	1934	12	0	1718	0.59	1.2	17.8
Crookston	1935	1	0	2071	0.68	-11.2	7.5
Crookston	1935	2	0	1206	0.05	14.2	29.5
Crookston	1935	3	0	1185	1.04	18	35.4
Crookston	1935	4	0	772	1.78	30.2	48.2
Crookston	1935	5	0	421	1.2	39.6	63.3
Crookston	1935	6	27	155	2.9	49.8	71.6
Crookston	1935	7	288	0	4.47	62.8	86.4
Crookston	1935	8	140	82	3.8	55.2	78.6
Crookston	1935	9	13	280	0.68	44.4	67.6
Crookston	1935	10	0	601	0.3	31.6	58.5
Crookston	1935	11	0	1472	0.87	6.1	25.7
Crookston	1935	12	0	1709	0.37	2.1	17.6
Crookston	1936	1	0	2222	0.65	-17.9	-0.2
Crookston	1936	2	0	2287	0.93	-23.6	-4.2
Crookston	1936	3	0	1361	1.24	12.4	29.7
Crookston	1936	4	0	954	0.28	22.6	43.7
Crookston	1936	5	61	168	1.41	46.8	76.3
Crookston	1936	6	91	105	1.8	50.7	78.3
Crookston	1936	7	431	4	0.52	64.9	92.5
Crookston	1936	8	181	43	0.92	56.7	82.2
Crookston	1936	9	69	210	1.43	47.7	72.9
Crookston	1936	10	0	745	0.16	27.9	54
Crookston	1936	11	0	1206	0.32	15.4	31.3
Crookston	1936	12	0	1600	0.35	4.8	21.9
GrandRapids	1927	1	0	1828	0.65	-7.1	18.9
GrandRapids	1927	2	0	1401	1.4	1.6	28.2
GrandRapids	1927	3	0	1099	1.13	17.6	41.4
GrandRapids	1927	4	0	708	2.11	30	52.7
GrandRapids	1927	5	0	487	3.58	38.8	59.7
GrandRapids	1927	6	62	163	2.17	48.6	74.7
GrandRapids	1927	7	91	64	2.73	52.9	78.8
GrandRapids	1927	8	25	149	4.46	45.9	75.9
GrandRapids	1927	9	53	241	1.17	48.2	68.4
GrandRapids	1927	10	0	582	1.46	34	58.3
GrandRapids	1927	11	0	1254	1.65	13.1	30.4
GrandRapids	1927	12	0	1945	1.09	-9.9	14.4
GrandRapids	1928	1	0	1785	0.43	-4.4	19
GrandRapids	1928	2	0	1517	0.27	0.1	25.2
GrandRapids	1928	3	0	1308	0.96	7.3	38.1
GrandRapids	1928	4	0	885	2.5	21.4	47.7
GrandRapids	1928	5	7	295	0.74	39.6	71.8
GrandRapids	1928	6	4	202	4.4	45.1	71.6
GrandRapids	1928	7	80	27	5.05	53.1	80.1
GrandRapids	1928	8	73	91	6.65	51.4	77.4
GrandRapids	1928	9	1	356	4.15	41.9	63.5
GrandRapids	1928	10	0	638	2.49	34.5	54.3
GrandRapids	1928	11	0	956	0.23	24.1	39.9
GrandRapids	1928	12	0	1393	0.57	11.7	28.4
GrandRapids	1929	1	0	2216	1.22	-19.7	6.6
GrandRapids	1929	2	0	1694	0.13	-8.5	17.4
GrandRapids	1929	3	0	1156	0.94	17.4	37.8
GrandRapids	1929	4	0	734	0.67	28.6	52.3
GrandRapids	1929	5	17	545	0.9	34	61.9
GrandRapids	1929	6	41	209	2.16	43.9	74.8
GrandRapids	1929	7	123	57	0.28	52.2	81.9
GrandRapids	1929	8	57	98	2.04	49.1	78.3
GrandRapids	1929	9	45	394	3.43	41.7	64.8
GrandRapids	1929	10	0	641	1.94	33.1	55.4
GrandRapids	1929	11	0	1244	0.17	14.9	32.2
GrandRapids	1929	12	0	1682	0.74	1.8	19.6
GrandRapids	1930	1	0	2077	0.35	-13	8.8
GrandRapids	1930	2	0	1263	1.32	7.3	28.8
GrandRapids	1930	3	0	1180	0.48	12.4	36.1
GrandRapids	1930	4	0	700	0.57	27.1	54.7
GrandRapids	1930	5	1	388	3.91	39.9	65.1
GrandRapids	1930	6	20	100	3.34	49.6	74.5
GrandRapids	1930	7	132	44	0.87	54	81.5
GrandRapids	1930	8	132	57	0.22	50.5	84.2
GrandRapids	1930	9	11	301	3.57	43	67.6
GrandRapids	1930	10	5	708	1.56	33.4	50.9
GrandRapids	1930	11	0	1005	1.85	19.6	39.9
GrandRapids	1930	12	0	1433	0.19	7.3	27
GrandRapids	1931	1	0	1506	0.19	6.4	26.2
GrandRapids	1931	2	0	1121	0.09	12.2	34.7
GrandRapids	1931	3	0	1180	1.22	15.1	36
GrandRapids	1931	4	0	666	0.54	28.2	57.4
GrandRapids	1931	5	8	423	2.41	37.9	65.1
GrandRapids	1931	6	115	103	5.78	53.1	77.7
GrandRapids	1931	7	153	51	2.11	54.9	81.5
GrandRapids	1931	8	68	113	1.65	50.7	76.3
GrandRapids	1931	9	73	186	1.7	48	74.3
GrandRapids	1931	10	0	461	1.5	37.9	62.1
GrandRapids	1931	11	0	914	2.6	25.7	43.2
GrandRapids	1931	12	0	1184	0.48	15.4	32.4
GrandRapids	1932	1	0	1583	0.65	5.2	22.6
GrandRapids	1932	2	0	1538	0.56	-1.7	25.3
GrandRapids	1932	3	0	1521	0.71	4.1	27.7
GrandRapids	1932	4	0	726	1.19	28.4	53.1
GrandRapids	1932	5	14	348	4.39	40.8	67.5
GrandRapids	1932	6	54	33	3.98	52.3	79
GrandRapids	1932	7	131	59	4.71	54.3	80.4
GrandRapids	1932	8	80	62	5.47	51.8	79.3
GrandRapids	1932	9	8	312	0.73	40.8	68.7
GrandRapids	1932	10	0	755	2.11	31.8	49.5
GrandRapids	1932	11	0	1217	3.29	15.4	33.3
GrandRapids	1932	12	0	1695	0.39	0	20.5
GrandRapids	1933	1	0	1590	0.81	1.8	25.5
GrandRapids	1933	2	0	1696	0.68	-8.1	16.9
GrandRapids	1933	3	0	1319	0.49	11.8	32.9
GrandRapids	1933	4	0	754	1.98	27.7	50
GrandRapids	1933	5	2	337	3.92	41.9	66.4
GrandRapids	1933	6	152	45	0.75	53.1	83.8
GrandRapids	1933	7	143	15	0.79	54.3	84.2
GrandRapids	1933	8	44	85	0.15	48.9	78.1
GrandRapids	1933	9	35	177	2.41	46.9	73.4
GrandRapids	1933	10	0	804	3.48	28	50
GrandRapids	1933	11	0	1248	1.22	14.4	29.7
GrandRapids	1933	12	0	1822	1.72	-5.4	17.6
GrandRapids	1934	1	0	1602	0.52	3.6	22.8
GrandRapids	1934	2	0	1566	0.31	-2.9	21
GrandRapids	1934	3	0	1405	0.76	7.7	31.5
GrandRapids	1934	4	2	764	1.3	29.1	50
GrandRapids	1934	5	45	217	0.83	43.3	74.7
GrandRapids	1934	6	46	101	4.11	50.4	75.9
GrandRapids	1934	7	99	54	4.24	52.9	79.9
GrandRapids	1934	8	55	144	1.53	48.7	75.6
GrandRapids	1934	9	0	358	1.57	42.1	64
GrandRapids	1934	10	0	523	2.41	36	59
GrandRapids	1934	11	0	946	0.99	25.2	41.5
GrandRapids	1934	12	0	1776	0.96	-3.1	18.5
GrandRapids	1935	1	0	1961	1.55	-9.6	13.1
GrandRapids	1935	2	0	1285	0.14	8.8	29.3
GrandRapids	1935	3	0	1256	1.6	14.5	34.3
GrandRapids	1935	4	0	847	2.07	25	48.4
GrandRapids	1935	5	0	490	1.94	35.8	62.4
GrandRapids	1935	6	4	213	2.32	46.6	69.4
GrandRapids	1935	7	206	1	5.6	59.7	83.3
GrandRapids	1935	8	104	104	3.44	53.8	76.1
GrandRapids	1935	9	8	357	1.37	40.5	66
GrandRapids	1935	10	0	655	3.03	32.4	54.1
GrandRapids	1935	11	0	404	0.14	10.9	29.1
GrandRapids	1935	12	0	1563	0.43	4.5	21.2
GrandRapids	1936	1	0	2089	0.72	-12.8	8.1
GrandRapids	1936	2	0	2064	1.17	-19.1	6.6
GrandRapids	1936	3	0	1287	1.24	14.2	32.7
GrandRapids	1936	4	0	953	1.19	21.2	45.1
GrandRapids	1936	5	7	247	2.91	43.9	70.2
GrandRapids	1936	6	21	165	1.79	45.5	74.8
GrandRapids	1936	7	257	24	0.61	55.8	89.1
GrandRapids	1936	8	123	82	1.95	53.2	79.3
GrandRapids	1936	9	26	234	2.37	45	71.1
GrandRapids	1936	10	0	822	0.54	27	49.8
GrandRapids	1936	11	0	1281	1.46	12.9	31.6
GrandRapids	1936	12	0	1580	2.59	3.7	24.1
Waseca	1927	1	0	1612	0.85	3.7	22.1
Waseca	1927	2	0	1163	0.65	14.5	32.4
Waseca	1927	3	0	715	2.32	28.2	52.2
Waseca	1927	4	0	518	2.34	37	58.3
Waseca	1927	5	8	305	3.3	44.4	66.2
Waseca	1927	6	103	108	4.08	53.2	76.3
Waseca	1927	7	145	13	0.84	56.1	82.2
Waseca	1927	8	84	44	1.1	51.8	80.6
Waseca	1927	9	179	201	7.2	54	74.5
Waseca	1927	10	3	404	1.56	38.8	65.1
Waseca	1927	11	0	970	1.26	23.7	41.5
Waseca	1927	12	0	1673	0.62	-0.2	22.1
Waseca	1928	1	0	1409	0.1	9.5	29.5
Waseca	1928	2	0	1202	1.61	13.8	33.1
Waseca	1928	3	0	929	0.56	23.5	46.4
Waseca	1928	4	2	743	4.18	28.6	51.8
Waseca	1928	5	28	137	3.23	48.4	74.5
Waseca	1928	6	26	84	2.98	51.3	74.8
Waseca	1928	7	245	2	1.37	60.6	84.9
Waseca	1928	8	185	34	7.25	58.5	81.3
Waseca	1928	9	19	225	1.39	46	70.2
Waseca	1928	10	19	462	2.07	39.4	61.9
Waseca	1928	11	0	879	0.68	28	43.3
Waseca	1928	12	0	1207	0.39	16.7	35.2
Waseca	1929	1	0	1949	2.1	-9.4	13.5
Waseca	1929	2	0	1592	1.13	-2	18.3
Waseca	1929	3	0	962	1.69	24.4	43.3
Waseca	1929	4	2	544	3.23	36	57.7
Waseca	1929	5	30	341	2.73	42.4	67.5
Waseca	1929	6	101	75	2.28	53.2	78.4
Waseca	1929	7	247	9	3	60.1	85.1
Waseca	1929	8	186	15	4.75	58.6	82.2
Waseca	1929	9	67	220	3.94	48.2	71.4
Waseca	1929	10	1	476	1.67	38.1	61.2
Waseca	1929	11	0	1095	0.67	18.3	38.5
Waseca	1929	12	0	1464	0.24	9	26.4
Waseca	1930	1	0	1811	0.78	-4	17.1
Waseca	1930	2	0	1014	0.28	19.8	37.8
Waseca	1930	3	0	952	0.64	23.2	45.3
Waseca	1930	4	0	485	1.24	35.8	61.7
Waseca	1930	5	32	234	3.42	46.6	70.3
Waseca	1930	6	110	39	8.54	55.4	79.2
Waseca	1930	7	306	10	7.61	61.7	87.3
Waseca	1930	8	243	4	4.5	59.4	85.8
Waseca	1930	9	62	158	4.47	49.1	74.5
Waseca	1930	10	22	563	1.62	38.5	56.5
Waseca	1930	11	0	812	1.35	26.8	48.9
Waseca	1930	12	0	1320	0.11	14.5	30.2
Waseca	1931	1	0	1193	0.28	17.1	36
Waseca	1931	2	0	903	0.19	21.7	43.7
