"row"	"col"	"yield"	"season"	"crop"
5	9	193	1	"woolypyrol"
6	9	244	1	"woolypyrol"
7	9	300	1	"woolypyrol"
8	9	287	1	"woolypyrol"
9	9	224	1	"woolypyrol"
10	9	265	1	"woolypyrol"
11	9	335	1	"woolypyrol"
12	9	244	1	"woolypyrol"
13	9	332	1	"woolypyrol"
14	9	352	1	"woolypyrol"
15	9	338	1	"woolypyrol"
5	10	210	1	"woolypyrol"
6	10	273	1	"woolypyrol"
7	10	246	1	"woolypyrol"
8	10	270	1	"woolypyrol"
9	10	277	1	"woolypyrol"
10	10	331	1	"woolypyrol"
11	10	319	1	"woolypyrol"
12	10	350	1	"woolypyrol"
13	10	344	1	"woolypyrol"
14	10	419	1	"woolypyrol"
15	10	479	1	"woolypyrol"
1	1	212	2	"woolypyrol"
2	1	177	2	"woolypyrol"
3	1	125	2	"woolypyrol"
4	1	179	2	"woolypyrol"
5	1	157	2	"woolypyrol"
6	1	183	2	"woolypyrol"
7	1	215	2	"woolypyrol"
8	1	180	2	"woolypyrol"
9	1	146	2	"woolypyrol"
10	1	148	2	"woolypyrol"
11	1	146	2	"woolypyrol"
1	2	167	2	"woolypyrol"
2	2	125	2	"woolypyrol"
3	2	127	2	"woolypyrol"
4	2	152	2	"woolypyrol"
5	2	151	2	"woolypyrol"
6	2	141	2	"woolypyrol"
7	2	197	2	"woolypyrol"
8	2	169	2	"woolypyrol"
9	2	102	2	"woolypyrol"
10	2	139	2	"woolypyrol"
11	2	159	2	"woolypyrol"
1	3	147	2	"woolypyrol"
2	3	133	2	"woolypyrol"
3	3	132	2	"woolypyrol"
4	3	137	2	"woolypyrol"
5	3	128	2	"woolypyrol"
6	3	102	2	"woolypyrol"
7	3	187	2	"woolypyrol"
8	3	177	2	"woolypyrol"
9	3	121	2	"woolypyrol"
10	3	125	2	"woolypyrol"
11	3	144	2	"woolypyrol"
1	4	144	2	"woolypyrol"
2	4	139	2	"woolypyrol"
3	4	109	2	"woolypyrol"
4	4	135	2	"woolypyrol"
5	4	128	2	"woolypyrol"
6	4	132	2	"woolypyrol"
7	4	180	2	"woolypyrol"
8	4	166	2	"woolypyrol"
9	4	130	2	"woolypyrol"
10	4	130	2	"woolypyrol"
11	4	141	2	"woolypyrol"
1	5	133	2	"woolypyrol"
2	5	148	2	"woolypyrol"
3	5	112	2	"woolypyrol"
4	5	148	2	"woolypyrol"
5	5	157	2	"woolypyrol"
6	5	116	2	"woolypyrol"
7	5	178	2	"woolypyrol"
8	5	171	2	"woolypyrol"
9	5	139	2	"woolypyrol"
10	5	147	2	"woolypyrol"
11	5	129	2	"woolypyrol"
1	6	150	2	"woolypyrol"
2	6	154	2	"woolypyrol"
3	6	117	2	"woolypyrol"
4	6	131	2	"woolypyrol"
5	6	179	2	"woolypyrol"
6	6	128	2	"woolypyrol"
7	6	176	2	"woolypyrol"
8	6	158	2	"woolypyrol"
9	6	122	2	"woolypyrol"
10	6	142	2	"woolypyrol"
11	6	123	2	"woolypyrol"
1	7	181	2	"woolypyrol"
2	7	151	2	"woolypyrol"
3	7	152	2	"woolypyrol"
4	7	168	2	"woolypyrol"
5	7	208	2	"woolypyrol"
6	7	146	2	"woolypyrol"
7	7	188	2	"woolypyrol"
8	7	169	2	"woolypyrol"
9	7	122	2	"woolypyrol"
10	7	169	2	"woolypyrol"
11	7	168	2	"woolypyrol"
1	8	162	2	"woolypyrol"
2	8	147	2	"woolypyrol"
3	8	127	2	"woolypyrol"
4	8	154	2	"woolypyrol"
5	8	163	2	"woolypyrol"
6	8	156	2	"woolypyrol"
7	8	202	2	"woolypyrol"
8	8	177	2	"woolypyrol"
9	8	150	2	"woolypyrol"
10	8	164	2	"woolypyrol"
11	8	158	2	"woolypyrol"
1	9	160	2	"woolypyrol"
2	9	121	2	"woolypyrol"
3	9	176	2	"woolypyrol"
4	9	150	2	"woolypyrol"
5	9	142	2	"woolypyrol"
6	9	152	2	"woolypyrol"
7	9	187	2	"woolypyrol"
8	9	143	2	"woolypyrol"
9	9	135	2	"woolypyrol"
10	9	175	2	"woolypyrol"
11	9	196	2	"woolypyrol"
1	10	185	2	"woolypyrol"
2	10	159	2	"woolypyrol"
3	10	141	2	"woolypyrol"
4	10	141	2	"woolypyrol"
5	10	153	2	"woolypyrol"
6	10	159	2	"woolypyrol"
7	10	202	2	"woolypyrol"
8	10	185	2	"woolypyrol"
9	10	165	2	"woolypyrol"
10	10	202	2	"woolypyrol"
11	10	135	2	"woolypyrol"
1	1	107	3	"maize"
2	1	99	3	"maize"
3	1	70	3	"maize"
4	1	89	3	"maize"
5	1	82	3	"maize"
6	1	94	3	"maize"
7	1	103	3	"maize"
8	1	96	3	"maize"
9	1	100	3	"maize"
10	1	118	3	"maize"
11	1	91	3	"maize"
1	2	82	3	"maize"
2	2	81	3	"maize"
3	2	74	3	"maize"
4	2	87	3	"maize"
5	2	68	3	"maize"
6	2	79	3	"maize"
7	2	98	3	"maize"
8	2	90	3	"maize"
9	2	103	3	"maize"
10	2	122	3	"maize"
11	2	118	3	"maize"
1	3	102	3	"maize"
2	3	100	3	"maize"
3	3	72	3	"maize"
4	3	64	3	"maize"
5	3	71	3	"maize"
6	3	78	3	"maize"
7	3	101	3	"maize"
8	3	103	3	"maize"
9	3	93	3	"maize"
10	3	116	3	"maize"
11	3	100	3	"maize"
1	4	48	3	"maize"
2	4	102	3	"maize"
3	4	53	3	"maize"
4	4	64	3	"maize"
5	4	72	3	"maize"
6	4	75	3	"maize"
7	4	94	3	"maize"
8	4	85	3	"maize"
9	4	97	3	"maize"
10	4	114	3	"maize"
11	4	115	3	"maize"
1	5	127	3	"maize"
2	5	103	3	"maize"
3	5	79	3	"maize"
4	5	74	3	"maize"
5	5	72	3	"maize"
6	5	89	3	"maize"
7	5	96	3	"maize"
8	5	106	3	"maize"
9	5	102	3	"maize"
10	5	113	3	"maize"
11	5	113	3	"maize"
1	6	128	3	"maize"
2	6	124	3	"maize"
3	6	83	3	"maize"
4	6	91	3	"maize"
5	6	96	3	"maize"
6	6	88	3	"maize"
7	6	98	3	"maize"
8	6	97	3	"maize"
9	6	102	3	"maize"
10	6	107	3	"maize"
11	6	114	3	"maize"
1	7	134	3	"maize"
2	7	110	3	"maize"
3	7	94	3	"maize"
4	7	85	3	"maize"
5	7	90	3	"maize"
6	7	88	3	"maize"
7	7	98	3	"maize"
8	7	110	3	"maize"
9	7	97	3	"maize"
10	7	102	3	"maize"
11	7	115	3	"maize"
1	8	134	3	"maize"
2	8	118	3	"maize"
3	8	90	3	"maize"
4	8	89	3	"maize"
5	8	97	3	"maize"
6	8	98	3	"maize"
7	8	109	3	"maize"
8	8	113	3	"maize"
9	8	100	3	"maize"
10	8	114	3	"maize"
11	8	110	3	"maize"
1	9	145	3	"maize"
2	9	131	3	"maize"
3	9	118	3	"maize"
4	9	107	3	"maize"
5	9	121	3	"maize"
6	9	97	3	"maize"
7	9	123	3	"maize"
8	9	116	3	"maize"
9	9	97	3	"maize"
10	9	112	3	"maize"
11	9	109	3	"maize"
1	10	146	3	"maize"
2	10	129	3	"maize"
3	10	111	3	"maize"
4	10	129	3	"maize"
5	10	135	3	"maize"
6	10	127	3	"maize"
7	10	127	3	"maize"
8	10	130	3	"maize"
9	10	98	3	"maize"
10	10	117	3	"maize"
11	10	127	3	"maize"
1	1	458	4	"yams"
2	1	432	4	"yams"
3	1	445	4	"yams"
4	1	375	4	"yams"
5	1	408	4	"yams"
6	1	489	4	"yams"
7	1	448	4	"yams"
8	1	428	4	"yams"
9	1	359	4	"yams"
10	1	427	4	"yams"
11	1	685	4	"yams"
1	2	307	4	"yams"
2	2	216	4	"yams"
3	2	216	4	"yams"
4	2	278	4	"yams"
5	2	358	4	"yams"
6	2	304	4	"yams"
7	2	294	4	"yams"
8	2	223	4	"yams"
9	2	374	4	"yams"
10	2	552	4	"yams"
11	2	656	4	"yams"
1	3	190	4	"yams"
2	3	120	4	"yams"
3	3	258	4	"yams"
4	3	330	4	"yams"
5	3	334	4	"yams"
6	3	239	4	"yams"
7	3	323	4	"yams"
8	3	298	4	"yams"
9	3	298	4	"yams"
10	3	496	4	"yams"
11	3	461	4	"yams"
1	4	317	4	"yams"
2	4	299	4	"yams"
3	4	232	4	"yams"
4	4	328	4	"yams"
5	4	171	4	"yams"
6	4	265	4	"yams"
7	4	329	4	"yams"
8	4	254	4	"yams"
9	4	332	4	"yams"
10	4	322	4	"yams"
11	4	546	4	"yams"
1	5	162	4	"yams"
2	5	202	4	"yams"
3	5	271	4	"yams"
4	5	198	4	"yams"
5	5	172	4	"yams"
6	5	188	4	"yams"
7	5	204	4	"yams"
8	5	247	4	"yams"
9	5	332	4	"yams"
10	5	342	4	"yams"
11	5	423	4	"yams"
1	6	194	4	"yams"
2	6	212	4	"yams"
3	6	262	4	"yams"
4	6	165	4	"yams"
5	6	148	4	"yams"
6	6	128	4	"yams"
7	6	210	4	"yams"
8	6	251	4	"yams"
9	6	378	4	"yams"
10	6	466	4	"yams"
11	6	522	4	"yams"
1	7	248	4	"yams"
2	7	278	4	"yams"
3	7	339	4	"yams"
4	7	188	4	"yams"
5	7	345	4	"yams"
6	7	334	4	"yams"
7	7	271	4	"yams"
8	7	194	4	"yams"
9	7	330	4	"yams"
10	7	569	4	"yams"
11	7	588	4	"yams"
1	8	344	4	"yams"
2	8	247	4	"yams"
3	8	397	4	"yams"
4	8	340	4	"yams"
5	8	316	4	"yams"
6	8	296	4	"yams"
7	8	158	4	"yams"
8	8	132	4	"yams"
9	8	316	4	"yams"
10	8	570	4	"yams"
11	8	574	4	"yams"
1	9	406	4	"yams"
2	9	368	4	"yams"
3	9	349	4	"yams"
4	9	338	4	"yams"
5	9	343	4	"yams"
6	9	290	4	"yams"
7	9	236	4	"yams"
8	9	338	4	"yams"
9	9	402	4	"yams"
10	9	617	4	"yams"
11	9	555	4	"yams"
1	10	482	4	"yams"
2	10	490	4	"yams"
3	10	464	4	"yams"
4	10	370	4	"yams"
5	10	376	4	"yams"
6	10	373	4	"yams"
7	10	390	4	"yams"
8	10	430	4	"yams"
9	10	434	4	"yams"
10	10	608	4	"yams"
11	10	635	4	"yams"
