"gen"	"rep"	"yield"	"env"
"Tegua"	"R2"	2.259506667	"E04"
"Tegua"	"R3"	2.16286	"E04"
"Tegua"	"R4"	2.32199	"E04"
"Tegua"	"R1"	1.8544	"E05"
"Tegua"	"R2"	1.4136	"E05"
"Tegua"	"R3"	0.646	"E05"
"Tegua"	"R4"	0.6384	"E05"
"Tegua"	"R1"	3.7737	"E06"
"Tegua"	"R2"	3.5079	"E06"
"Tegua"	"R3"	2.7411	"E06"
"Tegua"	"R4"	2.8549	"E06"
"Tegua"	"R1"	3.649	"E07"
"Tegua"	"R2"	2.6708	"E07"
"Tegua"	"R3"	2.5214	"E07"
"Tegua"	"R4"	2.6921	"E07"
"Tegua"	"R1"	2.0997	"E08"
"Tegua"	"R2"	1.56415	"E08"
"Tegua"	"R3"	1.83141	"E08"
"Tegua"	"R4"	1.4212	"E08"
"Tegua"	"R1"	2.308	"E09"
"Tegua"	"R2"	2.1827	"E09"
"Tegua"	"R3"	2.721	"E09"
"Tegua"	"R4"	2.5661	"E09"
"Tegua"	"R1"	4.0963	"E10"
"Tegua"	"R2"	3.9642	"E10"
"Tegua"	"R3"	4.4383	"E10"
"Tegua"	"R4"	4.3451	"E10"
"Tegua"	"R1"	1.27	"E11"
"Tegua"	"R2"	1.83	"E11"
"Tegua"	"R3"	1.67	"E11"
"Tegua"	"R4"	2.08	"E11"
"Tegua"	"R1"	5.118133333	"E12"
"Tegua"	"R2"	5.408826667	"E12"
"Tegua"	"R3"	4.809636667	"E12"
"Tegua"	"R4"	4.4014	"E12"
"Tegua"	"R1"	1.74	"E13"
"Tegua"	"R2"	0.94	"E13"
"Tegua"	"R3"	1.27	"E13"
"Tegua"	"R1"	4.31	"E14"
"Tegua"	"R2"	4.48	"E14"
"Tegua"	"R3"	4.71	"E14"
"Tegua"	"R4"	4.1	"E14"
"Tegua"	"R1"	3.7835	"E15"
"Tegua"	"R2"	3.274533333	"E15"
"Tegua"	"R3"	3.245186667	"E15"
"Tegua"	"R4"	3.50556	"E15"
"mf484"	"R1"	1.4588	"E01"
"mf484"	"R2"	0.5318	"E01"
"mf484"	"R3"	1.0923	"E01"
"mf484"	"R4"	1.5665	"E01"
"mf484"	"R1"	0.94	"E02"
"mf484"	"R2"	0.9328	"E02"
"mf484"	"R3"	1.1931	"E02"
"mf484"	"R4"	1.2582	"E02"
"mf484"	"R1"	3.0043	"E03"
"mf484"	"R2"	2.0628	"E03"
"mf484"	"R3"	2.9453	"E03"
"mf484"	"R4"	2.5457	"E03"
"mf484"	"R1"	2.3467	"E04"
"mf484"	"R2"	2.28304	"E04"
"mf484"	"R3"	1.759366667	"E04"
"mf484"	"R4"	2.178866667	"E04"
"mf484"	"R1"	1.4916	"E05"
"mf484"	"R2"	1.796	"E05"
"mf484"	"R3"	1.073	"E05"
"mf484"	"R4"	2.4733	"E05"
"mf484"	"R1"	3.4687	"E06"
"mf484"	"R2"	3.1101	"E06"
"mf484"	"R3"	3.0004	"E06"
"mf484"	"R4"	2.6345	"E06"
"mf484"	"R1"	3.2418	"E07"
"mf484"	"R2"	2.4371	"E07"
"mf484"	"R3"	3.1743	"E07"
"mf484"	"R4"	2.7948	"E07"
"mf484"	"R1"	2.753613333	"E08"
"mf484"	"R2"	3.2224	"E08"
"mf484"	"R3"	2.97088	"E08"
"mf484"	"R4"	2.494426667	"E08"
"mf484"	"R1"	2.5678	"E09"
"mf484"	"R2"	3.2264	"E09"
"mf484"	"R3"	2.886	"E09"
"mf484"	"R4"	2.257	"E09"
"mf484"	"R1"	4.2004	"E10"
"mf484"	"R2"	4.951	"E10"
"mf484"	"R3"	4.4658	"E10"
"mf484"	"R4"	4.2004	"E10"
"mf484"	"R1"	1.75	"E11"
"mf484"	"R2"	2.64	"E11"
"mf484"	"R3"	3.47	"E11"
"mf484"	"R4"	2.25	"E11"
"mf484"	"R1"	5.394586667	"E12"
"mf484"	"R2"	5.448386667	"E12"
"mf484"	"R3"	5.79852	"E12"
"mf484"	"R4"	5.618716667	"E12"
"mf484"	"R1"	2.93	"E13"
"mf484"	"R2"	2.01	"E13"
"mf484"	"R3"	2.41	"E13"
"mf484"	"R1"	3.54	"E14"
"mf484"	"R2"	4.51	"E14"
"mf484"	"R3"	5.31	"E14"
"mf484"	"R4"	3.74	"E14"
"mf484"	"R1"	2.969626667	"E15"
"mf484"	"R2"	3.040393333	"E15"
"mf484"	"R3"	2.133	"E15"
"mf484"	"R4"	3.081846667	"E15"
"mf485"	"R1"	1.0026	"E01"
"mf485"	"R2"	1.1396	"E01"
"mf485"	"R3"	1.219	"E01"
"mf485"	"R4"	1.1252	"E01"
"mf485"	"R1"	0.4109	"E02"
"mf485"	"R2"	0.6545	"E02"
"mf485"	"R3"	0.8371	"E02"
"mf485"	"R4"	0.4109	"E02"
"mf485"	"R1"	2.1196	"E03"
"mf485"	"R2"	2.85	"E03"
"mf485"	"R3"	2.1803	"E03"
"mf485"	"R4"	1.808	"E03"
"mf485"	"R1"	1.68975	"E04"
"mf485"	"R2"	1.91178	"E04"
"mf485"	"R3"	2.0176	"E04"
"mf485"	"R4"	1.900253333	"E04"
"mf485"	"R1"	1.0707	"E05"
"mf485"	"R2"	1.1913	"E05"
"mf485"	"R3"	0.3393	"E05"
"mf485"	"R4"	0.7992	"E05"
"mf485"	"R1"	2.9639	"E06"
"mf485"	"R2"	3.0229	"E06"
"mf485"	"R3"	2.7575	"E06"
"mf485"	"R4"	2.8681	"E06"
"mf485"	"R1"	2.5935	"E07"
"mf485"	"R2"	1.8744	"E07"
"mf485"	"R3"	2.4788	"E07"
"mf485"	"R4"	3.1752	"E07"
"mf485"	"R1"	2.55696	"E08"
"mf485"	"R2"	2.19168	"E08"
"mf485"	"R3"	1.83762	"E08"
"mf485"	"R4"	1.93375	"E08"
"mf485"	"R1"	2.4606	"E09"
"mf485"	"R2"	3.0851	"E09"
"mf485"	"R3"	2.4309	"E09"
"mf485"	"R4"	4.0367	"E09"
"mf485"	"R1"	4.9857	"E10"
"mf485"	"R2"	5.1221	"E10"
"mf485"	"R3"	3.9628	"E10"
"mf485"	"R4"	3.7885	"E10"
"mf485"	"R1"	1.74	"E11"
"mf485"	"R2"	2.47	"E11"
"mf485"	"R3"	1.6	"E11"
"mf485"	"R4"	1.65	"E11"
"mf485"	"R1"	5.831116667	"E12"
"mf485"	"R2"	5.168	"E12"
"mf485"	"R3"	5.647766667	"E12"
"mf485"	"R4"	5.08838	"E12"
"mf485"	"R1"	1.8	"E13"
"mf485"	"R2"	1.97	"E13"
"mf485"	"R3"	1.57	"E13"
"mf485"	"R1"	4	"E14"
"mf485"	"R2"	3.35	"E14"
"mf485"	"R3"	3.71	"E14"
"mf485"	"R4"	4.01	"E14"
"mf485"	"R1"	3.380286667	"E15"
"mf485"	"R2"	2.855646667	"E15"
"mf485"	"R3"	4.141126667	"E15"
"mf485"	"R4"	2.236973333	"E15"
"mf487"	"R1"	0.7848	"E01"
"mf487"	"R2"	0.4108	"E01"
"mf487"	"R3"	1.1369	"E01"
"mf487"	"R4"	1.1369	"E01"
"mf487"	"R1"	1.3965	"E02"
"mf487"	"R2"	1.4036	"E02"
"mf487"	"R3"	1.4887	"E02"
"mf487"	"R4"	1.7793	"E02"
"mf487"	"R1"	2.3363	"E03"
"mf487"	"R2"	2.2572	"E03"
"mf487"	"R3"	2.7513	"E03"
"mf487"	"R4"	1.8426	"E03"
"mf487"	"R1"	1.521496667	"E04"
"mf487"	"R2"	1.99894	"E04"
"mf487"	"R3"	1.735793333	"E04"
"mf487"	"R4"	1.6261	"E04"
"mf487"	"R1"	2.2892	"E05"
"mf487"	"R2"	1.2726	"E05"
"mf487"	"R3"	0.6053	"E05"
"mf487"	"R4"	0.7993	"E05"
"mf487"	"R1"	3.6643	"E06"
"mf487"	"R2"	3.4353	"E06"
"mf487"	"R3"	2.5803	"E06"
"mf487"	"R4"	2.0994	"E06"
"mf487"	"R1"	3.1438	"E07"
"mf487"	"R2"	2.4825	"E07"
"mf487"	"R3"	2.873	"E07"
"mf487"	"R4"	2.4174	"E07"
"mf487"	"R1"	2.12064	"E08"
"mf487"	"R2"	1.301536667	"E08"
"mf487"	"R3"	1.4176	"E08"
"mf487"	"R4"	1.5771	"E08"
"mf487"	"R1"	3.8425	"E09"
"mf487"	"R2"	2.2768	"E09"
"mf487"	"R3"	3.6988	"E09"
"mf487"	"R4"	2.8894	"E09"
"mf487"	"R1"	4.8507	"E10"
"mf487"	"R2"	3.2921	"E10"
"mf487"	"R3"	3.9155	"E10"
"mf487"	"R4"	4.9115	"E10"
"mf487"	"R1"	1.31	"E11"
"mf487"	"R2"	1.34	"E11"
"mf487"	"R3"	2.31	"E11"
"mf487"	"R4"	1.89	"E11"
"mf487"	"R1"	5.24597	"E12"
"mf487"	"R2"	5.052753333	"E12"
"mf487"	"R3"	5.26471	"E12"
"mf487"	"R4"	4.38	"E12"
"mf487"	"R1"	1.56	"E13"
"mf487"	"R2"	1.53	"E13"
"mf487"	"R3"	1.54	"E13"
"mf487"	"R1"	3.48	"E14"
"mf487"	"R2"	4.28	"E14"
"mf487"	"R3"	4.5	"E14"
"mf487"	"R4"	4.43	"E14"
"mf487"	"R1"	3.14432	"E15"
"mf487"	"R2"	4.0868	"E15"
"mf487"	"R3"	4.19926	"E15"
"mf487"	"R4"	3.92365	"E15"
"mf489"	"R1"	0.6984	"E01"
"mf489"	"R2"	1.382	"E01"
"mf489"	"R3"	1.2705	"E01"
"mf489"	"R4"	1.0773	"E01"
"mf489"	"R1"	1.1579	"E02"
"mf489"	"R2"	0.6281	"E02"
"mf489"	"R3"	0.8173	"E02"
"mf489"	"R4"	0.8476	"E02"
"mf489"	"R1"	2.4563	"E03"
"mf489"	"R2"	2.2956	"E03"
"mf489"	"R3"	1.7776	"E03"
"mf489"	"R4"	2.2526	"E03"
"mf489"	"R1"	1.092043333	"E04"
"mf489"	"R2"	2.858133333	"E04"
"mf489"	"R3"	2.199	"E04"
"mf489"	"R4"	2.5542	"E04"
"mf489"	"R1"	1.488	"E05"
"mf489"	"R2"	1.1735	"E05"
"mf489"	"R3"	0.79	"E05"
"mf489"	"R4"	1.3729	"E05"
"mf489"	"R1"	2.9995	"E06"
"mf489"	"R2"	2.7779	"E06"
"mf489"	"R3"	2.2755	"E06"
"mf489"	"R4"	2.2372	"E06"
"mf489"	"R1"	3.3124	"E07"
"mf489"	"R2"	2.7048	"E07"
"mf489"	"R3"	2.5551	"E07"
"mf489"	"R4"	3.0473	"E07"
"mf489"	"R1"	2.79258	"E08"
"mf489"	"R2"	2.769813333	"E08"
"mf489"	"R3"	1.810966667	"E08"
"mf489"	"R4"	1.7816	"E08"
"mf489"	"R1"	3.365	"E09"
"mf489"	"R2"	1.9446	"E09"
"mf489"	"R3"	3.4106	"E09"
"mf489"	"R4"	4.2689	"E09"
"mf489"	"R1"	3.9735	"E10"
"mf489"	"R2"	3.6385	"E10"
"mf489"	"R3"	4.3769	"E10"
"mf489"	"R4"	4.1333	"E10"
"mf489"	"R1"	2.02	"E11"
"mf489"	"R2"	3.01	"E11"
"mf489"	"R3"	2.01	"E11"
"mf489"	"R4"	2.05	"E11"
"mf489"	"R1"	4.927	"E12"
"mf489"	"R2"	4.8342	"E12"
"mf489"	"R3"	4.7333	"E12"
"mf489"	"R4"	4.166333333	"E12"
"mf489"	"R1"	1.79	"E13"
"mf489"	"R2"	2.63	"E13"
"mf489"	"R3"	1.57	"E13"
"mf489"	"R1"	4.71	"E14"
"mf489"	"R2"	4.19	"E14"
"mf489"	"R3"	5.15	"E14"
"mf489"	"R4"	4.94	"E14"
"mf489"	"R1"	3.668973333	"E15"
"mf489"	"R2"	3.52	"E15"
"mf489"	"R3"	3.966346667	"E15"
"mf489"	"R4"	3.01896	"E15"
"manf393"	"R1"	1.1393	"E01"
"manf393"	"R2"	1.1249	"E01"
"manf393"	"R3"	1.0816	"E01"
"manf393"	"R4"	1.6297	"E01"
"manf393"	"R1"	1.4945	"E02"
"manf393"	"R2"	1.197	"E02"
"manf393"	"R3"	1.7643	"E02"
"manf393"	"R4"	1.8197	"E02"
"manf393"	"R1"	2.002	"E03"
"manf393"	"R2"	2.6324	"E03"
"manf393"	"R3"	2.6098	"E03"
"manf393"	"R4"	2.6349	"E03"
"manf393"	"R1"	1.349213333	"E04"
"manf393"	"R2"	1.836666667	"E04"
"manf393"	"R3"	2.17838	"E04"
"manf393"	"R4"	1.723953333	"E04"
"manf393"	"R1"	1.9473	"E05"
"manf393"	"R2"	1.6028	"E05"
"manf393"	"R3"	1.4482	"E05"
"manf393"	"R4"	1.1951	"E05"
"manf393"	"R1"	3.3075	"E06"
"manf393"	"R2"	3.1185	"E06"
"manf393"	"R3"	2.5245	"E06"
"manf393"	"R4"	2.6663	"E06"
"manf393"	"R1"	3.3957	"E07"
"manf393"	"R2"	2.789	"E07"
"manf393"	"R3"	2.8538	"E07"
"manf393"	"R4"	2.8099	"E07"
"manf393"	"R1"	2.34432	"E08"
"manf393"	"R2"	1.8768	"E08"
"manf393"	"R3"	1.999226667	"E08"
"manf393"	"R4"	2.41224	"E08"
"manf393"	"R1"	2.7645	"E09"
"manf393"	"R2"	4.1944	"E09"
"manf393"	"R3"	4.0331	"E09"
"manf393"	"R4"	2.2072	"E09"
"manf393"	"R1"	3.0426	"E10"
"manf393"	"R2"	3.6482	"E10"
"manf393"	"R3"	3.9253	"E10"
"manf393"	"R4"	3.5965	"E10"
"manf393"	"R1"	1.65	"E11"
"manf393"	"R2"	1.96	"E11"
"manf393"	"R3"	2.67	"E11"
"manf393"	"R4"	2.35	"E11"
"manf393"	"R1"	4.516893333	"E12"
"manf393"	"R2"	4.4198	"E12"
"manf393"	"R3"	5.356186667	"E12"
"manf393"	"R4"	4.472	"E12"
"manf393"	"R1"	2.27	"E13"
"manf393"	"R2"	2.65	"E13"
"manf393"	"R3"	1.79	"E13"
"manf393"	"R1"	4.7	"E14"
"manf393"	"R2"	4.08	"E14"
"manf393"	"R3"	4.01	"E14"
"manf393"	"R4"	3.73	"E14"
"manf393"	"R1"	2.424773333	"E15"
"manf393"	"R2"	2.2792	"E15"
"manf393"	"R3"	2.20336	"E15"
"manf393"	"R4"	1.984803333	"E15"
"mf447"	"R1"	0.7518	"E01"
"mf447"	"R2"	1.0949	"E01"
"mf447"	"R3"	0.8905	"E01"
"mf447"	"R4"	1.0656	"E01"
"mf447"	"R1"	1.6184	"E02"
"mf447"	"R2"	1.1381	"E02"
"mf447"	"R3"	0.7538	"E02"
"mf447"	"R4"	1.6554	"E02"
"mf447"	"R1"	1.9955	"E03"
"mf447"	"R2"	2.1212	"E03"
"mf447"	"R3"	2.8092	"E03"
"mf447"	"R4"	2.4521	"E03"
"mf447"	"R1"	1.38411	"E04"
"mf447"	"R2"	1.711786667	"E04"
"mf447"	"R3"	1.574516667	"E04"
"mf447"	"R4"	1.75187	"E04"
"mf447"	"R1"	2.242	"E05"
"mf447"	"R2"	1.4516	"E05"
"mf447"	"R3"	1.8316	"E05"
"mf447"	"R4"	1.9	"E05"
"mf447"	"R1"	3.2911	"E06"
"mf447"	"R2"	2.6336	"E06"
"mf447"	"R3"	2.4435	"E06"
"mf447"	"R4"	1.9734	"E06"
"mf447"	"R1"	3.3939	"E07"
"mf447"	"R2"	3.2932	"E07"
"mf447"	"R3"	3.6049	"E07"
"mf447"	"R4"	3.35	"E07"
"mf447"	"R1"	1.587166667	"E08"
"mf447"	"R2"	1.265246667	"E08"
"mf447"	"R3"	1.6184	"E08"
"mf447"	"R4"	1.28576	"E08"
"mf447"	"R1"	2.6012	"E09"
"mf447"	"R2"	3.0222	"E09"
"mf447"	"R3"	4.6687	"E09"
"mf447"	"R4"	1.7667	"E09"
"mf447"	"R1"	3.5414	"E10"
"mf447"	"R2"	3.8557	"E10"
"mf447"	"R3"	3.9835	"E10"
"mf447"	"R4"	3.9835	"E10"
"mf447"	"R1"	1.66	"E11"
"mf447"	"R2"	1.7	"E11"
"mf447"	"R3"	2.31	"E11"
"mf447"	"R4"	1.86	"E11"
"mf447"	"R1"	4.25799	"E12"
"mf447"	"R2"	4.05942	"E12"
"mf447"	"R3"	4.209333333	"E12"
"mf447"	"R4"	4.130663333	"E12"
"mf447"	"R1"	1.55	"E13"
"mf447"	"R2"	1.4	"E13"
"mf447"	"R3"	1.94	"E13"
"mf447"	"R1"	3.94	"E14"
"mf447"	"R2"	3.35	"E14"
"mf447"	"R3"	3.76	"E14"
"mf447"	"R4"	4.09	"E14"
"mf447"	"R1"	2.64307	"E15"
"mf447"	"R2"	3.05052	"E15"
"mf447"	"R3"	1.837593333	"E15"
"mf447"	"R4"	2.32162	"E15"
"mf478"	"R1"	1.4104	"E01"
"mf478"	"R2"	1.2947	"E01"
"mf478"	"R3"	1.2368	"E01"
"mf478"	"R4"	1.5406	"E01"
"mf478"	"R1"	1.7262	"E02"
"mf478"	"R2"	1.9555	"E02"
"mf478"	"R3"	2.7714	"E02"
"mf478"	"R4"	2.151	"E02"
"mf478"	"R1"	1.9257	"E03"
"mf478"	"R2"	2.1476	"E03"
"mf478"	"R3"	2.3523	"E03"
"mf478"	"R4"	2.3259	"E03"
"mf478"	"R1"	1.779383333	"E04"
"mf478"	"R2"	2.3161	"E04"
"mf478"	"R3"	2.26512	"E04"
"mf478"	"R4"	2.2568	"E04"
"mf478"	"R1"	2.3256	"E05"
"mf478"	"R2"	2.1067	"E05"
"mf478"	"R3"	2.0041	"E05"
"mf478"	"R4"	1.498	"E05"
"mf478"	"R1"	2.8099	"E06"
"mf478"	"R2"	2.2137	"E06"
"mf478"	"R3"	2.2327	"E06"
"mf478"	"R4"	2.1947	"E06"
"mf478"	"R1"	3.8174	"E07"
"mf478"	"R2"	3.3157	"E07"
"mf478"	"R3"	2.4602	"E07"
"mf478"	"R4"	3.2054	"E07"
"mf478"	"R1"	2.155786667	"E08"
"mf478"	"R2"	1.91384	"E08"
"mf478"	"R3"	2.3655	"E08"
"mf478"	"R4"	2.3529	"E08"
"mf478"	"R1"	3.6618	"E09"
"mf478"	"R2"	2.354	"E09"
"mf478"	"R3"	4.6556	"E09"
"mf478"	"R4"	2.8098	"E09"
"mf478"	"R1"	3.831	"E10"
"mf478"	"R2"	3.708	"E10"
"mf478"	"R3"	3.6934	"E10"
"mf478"	"R4"	2.8896	"E10"
"mf478"	"R1"	1.37	"E11"
"mf478"	"R2"	1.95	"E11"
"mf478"	"R3"	2.39	"E11"
"mf478"	"R4"	2.66	"E11"
"mf478"	"R1"	5.045906667	"E12"
"mf478"	"R2"	5.16896	"E12"
"mf478"	"R3"	4.899906667	"E12"
"mf478"	"R4"	3.677013333	"E12"
"mf478"	"R1"	1.88	"E13"
"mf478"	"R2"	1.36	"E13"
"mf478"	"R3"	1.39	"E13"
"mf478"	"R1"	4.56	"E14"
"mf478"	"R2"	4.18	"E14"
"mf478"	"R3"	4.21	"E14"
"mf478"	"R4"	4.38	"E14"
"mf478"	"R1"	2.79464	"E15"
"mf478"	"R2"	3.443733333	"E15"
"mf478"	"R3"	2.842833333	"E15"
"mf478"	"R4"	3.2604	"E15"
"mf480"	"R1"	1.8727	"E01"
"mf480"	"R2"	0.9225	"E01"
"mf480"	"R3"	1.082	"E01"
"mf480"	"R4"	1.7825	"E01"
"mf480"	"R1"	2.9739	"E02"
"mf480"	"R2"	3.5512	"E02"
"mf480"	"R3"	3.3685	"E02"
"mf480"	"R4"	3.1712	"E02"
"mf480"	"R1"	1.807	"E03"
"mf480"	"R2"	2.1372	"E03"
"mf480"	"R3"	1.98	"E03"
"mf480"	"R4"	2.8285	"E03"
"mf480"	"R1"	1.935733333	"E04"
"mf480"	"R2"	2.18784	"E04"
"mf480"	"R3"	2.12072	"E04"
"mf480"	"R4"	1.90624	"E04"
"mf480"	"R1"	2.623	"E05"
"mf480"	"R2"	1.3433	"E05"
"mf480"	"R3"	1.2655	"E05"
"mf480"	"R4"	1.2019	"E05"
"mf480"	"R1"	3.0808	"E06"
"mf480"	"R2"	1.9878	"E06"
"mf480"	"R3"	2.6641	"E06"
"mf480"	"R4"	1.981	"E06"
"mf480"	"R1"	2.6666	"E07"
"mf480"	"R2"	3.4646	"E07"
"mf480"	"R3"	2.958	"E07"
"mf480"	"R4"	2.7512	"E07"
"mf480"	"R1"	1.10864	"E08"
"mf480"	"R2"	0.796693333	"E08"
"mf480"	"R3"	0.936133333	"E08"
"mf480"	"R4"	0.97161	"E08"
"mf480"	"R1"	2.4237	"E09"
"mf480"	"R2"	2.2626	"E09"
"mf480"	"R3"	3.2223	"E09"
"mf480"	"R4"	2.2136	"E09"
"mf480"	"R1"	3.0703	"E10"
"mf480"	"R2"	3.3311	"E10"
"mf480"	"R3"	3.4248	"E10"
"mf480"	"R4"	3.0703	"E10"
"mf480"	"R1"	1.72	"E11"
"mf480"	"R2"	1.79	"E11"
"mf480"	"R3"	2.29	"E11"
"mf480"	"R4"	1.83	"E11"
"mf480"	"R1"	3.666496667	"E12"
"mf480"	"R2"	3.759466667	"E12"
"mf480"	"R3"	3.78858	"E12"
"mf480"	"R4"	3.046266667	"E12"
"mf480"	"R1"	1.55	"E13"
"mf480"	"R2"	1.09	"E13"
"mf480"	"R3"	0.81	"E13"
"mf480"	"R1"	4.05	"E14"
"mf480"	"R2"	3.84	"E14"
"mf480"	"R3"	3.8	"E14"
"mf480"	"R4"	3.19	"E14"
"mf480"	"R1"	1.79253	"E15"
"mf480"	"R2"	2.743936667	"E15"
"mf480"	"R3"	2.747866667	"E15"
"mf480"	"R4"	3.147733333	"E15"
