"eid"	"year"	"loc"	"block"	"gen"	"yield"	"testwt"
"1"	1997	"Ame"	"B3"	"Chaps"	174.7	33.1
"1"	1997	"Ame"	"B3"	"OH1149"	169.2	35.5
"1"	1997	"Ame"	"B3"	"WIX6356-1"	163.1	36.1
"1"	1997	"Ame"	"B3"	"Jud"	166.8	34.3
"1"	1997	"Ame"	"B3"	"Chairman"	179.1	32.4
"1"	1997	"Ame"	"B3"	"ACStewart"	154.1	31.1
"1"	1997	"Ame"	"B3"	"Brawn"	149.7	32.6
"1"	1997	"Ame"	"B3"	"Jim"	127.4	34.1
"2"	1997	"Sut"	"B1"	"IAN979-5-1-22"	173.2	31.2
"2"	1997	"Sut"	"B1"	"Rodeo"	175.5	33.3
"2"	1997	"Sut"	"B1"	"Ogle"	160.8	32.7
"2"	1997	"Sut"	"B1"	"MN 93272"	170.1	33
"2"	1997	"Sut"	"B1"	"HyproBlend"	138.2	32.8
"2"	1997	"Sut"	"B1"	"Vista"	147.2	33.7
"2"	1997	"Sut"	"B1"	"Dane"	129.8	31.1
"2"	1997	"Sut"	"B1"	"Chairman"	149.4	32.6
"2"	1997	"Sut"	"B1"	"ACStewart"	135.4	32.9
"2"	1997	"Sut"	"B1"	"Chaps"	149.9	33.3
"2"	1997	"Sut"	"B1"	"Jay"	152.4	35.3
"2"	1997	"Sut"	"B1"	"Don"	145.5	34.3
"2"	1997	"Sut"	"B1"	"Troy"	141.7	34.9
"2"	1997	"Sut"	"B1"	"Starter"	125.3	35.8
"2"	1997	"Sut"	"B1"	"IN09201"	140.3	34.7
"2"	1997	"Sut"	"B1"	"Jud"	152	34.9
"2"	1997	"Sut"	"B1"	"Burton"	144.9	34.9
"2"	1997	"Sut"	"B1"	"Newdak"	146	33.7
"2"	1997	"Sut"	"B1"	"Gem"	133.2	33.2
"2"	1997	"Sut"	"B1"	"Jerry"	155.9	35.9
"2"	1997	"Sut"	"B1"	"Valley"	165.8	36
"2"	1997	"Sut"	"B1"	"Riser"	141	36
"2"	1997	"Sut"	"B1"	"Blaze"	170.4	35.2
"2"	1997	"Sut"	"B1"	"WIX6356-1"	144.4	33.4
"2"	1997	"Sut"	"B1"	"Prairie"	177.4	33.4
"2"	1997	"Sut"	"B1"	"Pal"	134.8	32.6
"2"	1997	"Sut"	"B1"	"OH1087"	139.6	32.6
"2"	1997	"Sut"	"B1"	"Jim"	139.6	34.9
"2"	1997	"Sut"	"B1"	"Milton"	146.6	34.5
"2"	1997	"Sut"	"B1"	"Premier"	138	37.4
"2"	1997	"Sut"	"B1"	"OH1149"	139.1	36.1
"2"	1997	"Sut"	"B1"	"Brawn"	158.5	31.9
"2"	1997	"Sut"	"B1"	"Sheldon"	135.1	35
"2"	1997	"Sut"	"B1"	"Classic"	126.3	34.9
"2"	1997	"Sut"	"B1"	"Belle"	131.3	34.7
"2"	1997	"Sut"	"B2"	"Burton"	139.8	34.5
"2"	1997	"Sut"	"B2"	"Troy"	169.2	34
"2"	1997	"Sut"	"B2"	"Prairie"	172.7	33.2
"2"	1997	"Sut"	"B2"	"Vista"	160.8	32.5
"2"	1997	"Sut"	"B2"	"Chaps"	165.8	32.8
"2"	1997	"Sut"	"B2"	"OH1149"	162.1	35.3
"2"	1997	"Sut"	"B2"	"IN09201"	140	33.7
"2"	1997	"Sut"	"B2"	"Premier"	137.9	36.4
"2"	1997	"Sut"	"B2"	"Jay"	136	34.3
"2"	1997	"Sut"	"B2"	"WIX6356-1"	148.4	32.2
"2"	1997	"Sut"	"B2"	"Blaze"	166.8	34.1
"2"	1997	"Sut"	"B2"	"Jud"	165.8	34
"2"	1997	"Sut"	"B2"	"Belle"	148.9	33.9
"2"	1997	"Sut"	"B2"	"IAN979-5-1-22"	152.2	34.1
"2"	1997	"Sut"	"B2"	"Newdak"	152.4	32.5
"2"	1997	"Sut"	"B2"	"Brawn"	159.2	33.3
"2"	1997	"Sut"	"B2"	"HyproBlend"	120.1	33.2
"2"	1997	"Sut"	"B2"	"Classic"	146.1	34.9
"2"	1997	"Sut"	"B2"	"Starter"	140.5	34.8
"2"	1997	"Sut"	"B2"	"Rodeo"	166.6	33
"2"	1997	"Sut"	"B2"	"Chairman"	153.6	32
"2"	1997	"Sut"	"B2"	"Jim"	149.3	34.8
"2"	1997	"Sut"	"B2"	"Sheldon"	150	34.4
"2"	1997	"Sut"	"B2"	"Valley"	173.3	36.1
"2"	1997	"Sut"	"B2"	"Dane"	138.7	32
"2"	1997	"Sut"	"B2"	"OH1087"	149.5	33.6
"2"	1997	"Sut"	"B2"	"Pal"	136.2	31.4
"2"	1997	"Sut"	"B2"	"Milton"	156.3	35.6
"2"	1997	"Sut"	"B2"	"MN 93272"	161.8	34.2
"2"	1997	"Sut"	"B2"	"ACStewart"	135.2	32.8
"2"	1997	"Sut"	"B2"	"Don"	139.3	34.4
"2"	1997	"Sut"	"B2"	"Riser"	130.2	36.1
"2"	1997	"Sut"	"B2"	"Jerry"	144.4	36.9
"2"	1997	"Sut"	"B2"	"Ogle"	144.5	33.6
"2"	1997	"Sut"	"B2"	"Gem"	133	35
"2"	1997	"Sut"	"B3"	"Dane"	135.1	31.3
"2"	1997	"Sut"	"B3"	"Jay"	151.6	35.3
"2"	1997	"Sut"	"B3"	"Milton"	145.1	34.8
"2"	1997	"Sut"	"B3"	"Ogle"	164.2	32.8
"2"	1997	"Sut"	"B3"	"Riser"	137.3	36.5
"2"	1997	"Sut"	"B3"	"WIX6356-1"	157	32.7
"2"	1997	"Sut"	"B3"	"Rodeo"	169	35
"2"	1997	"Sut"	"B3"	"Starter"	142	36.1
"2"	1997	"Sut"	"B3"	"Blaze"	215.7	34
"2"	1997	"Sut"	"B3"	"Sheldon"	164.2	34.4
"2"	1997	"Sut"	"B3"	"Pal"	151.4	31.8
"2"	1997	"Sut"	"B3"	"Chaps"	152.8	32.4
"2"	1997	"Sut"	"B3"	"IAN979-5-1-22"	136.4	31.6
"2"	1997	"Sut"	"B3"	"Chairman"	147.8	31.4
"2"	1997	"Sut"	"B3"	"OH1149"	143	35.9
"2"	1997	"Sut"	"B3"	"Valley"	167.7	35
"2"	1997	"Sut"	"B3"	"Troy"	178.5	34.9
"2"	1997	"Sut"	"B3"	"Classic"	161.2	33.4
"2"	1997	"Sut"	"B3"	"MN 93272"	168.7	34.9
"2"	1997	"Sut"	"B3"	"Premier"	158.1	37
"2"	1997	"Sut"	"B3"	"IN09201"	147.5	35.1
"2"	1997	"Sut"	"B3"	"Jerry"	170.3	37.7
"2"	1997	"Sut"	"B3"	"Burton"	165.8	36.4
"2"	1997	"Sut"	"B3"	"Gem"	150.7	34.6
"2"	1997	"Sut"	"B3"	"Jim"	161.3	34.6
"2"	1997	"Sut"	"B3"	"Belle"	153.5	34.7
"2"	1997	"Sut"	"B3"	"Vista"	152.9	34
"2"	1997	"Sut"	"B3"	"HyproBlend"	127.6	34.5
"2"	1997	"Sut"	"B3"	"Don"	141.2	35.2
"2"	1997	"Sut"	"B3"	"ACStewart"	158.7	33.5
"2"	1997	"Sut"	"B3"	"Brawn"	171.2	33.7
"2"	1997	"Sut"	"B3"	"Prairie"	176	33.8
"2"	1997	"Sut"	"B3"	"Jud"	125.8	34.1
"2"	1997	"Sut"	"B3"	"Newdak"	145.7	33.2
"2"	1997	"Sut"	"B3"	"OH1087"	142.4	33.2
"3"	1997	"Cra"	"B1"	"Jim"	168.1	35.2
"3"	1997	"Cra"	"B1"	"Chairman"	146.1	34.1
"3"	1997	"Cra"	"B1"	"Pal"	112.1	30.2
"3"	1997	"Cra"	"B1"	"Valley"	143.9	35.1
"3"	1997	"Cra"	"B1"	"IN09201"	151.3	36.8
"3"	1997	"Cra"	"B1"	"Troy"	118.1	36
"3"	1997	"Cra"	"B1"	"Dane"	138.7	33.4
"3"	1997	"Cra"	"B1"	"Hazel"	121.1	34.3
"3"	1997	"Cra"	"B1"	"Jay"	144.4	36.9
"3"	1997	"Cra"	"B1"	"Classic"	137	35.8
"3"	1997	"Cra"	"B1"	"Rodeo"	156.6	33.6
"3"	1997	"Cra"	"B1"	"Chaps"	146.7	34.1
"3"	1997	"Cra"	"B1"	"Vista"	132.3	34.2
"3"	1997	"Cra"	"B1"	"IAN979-5-1-22"	142.6	33.6
"3"	1997	"Cra"	"B1"	"Webster"	150.4	34
"3"	1997	"Cra"	"B1"	"Ogle"	151.7	33.2
"3"	1997	"Cra"	"B1"	"Milton"	127.5	34.5
"3"	1997	"Cra"	"B1"	"Newdak"	134	33.7
"3"	1997	"Cra"	"B1"	"Belle"	156.7	34.3
"3"	1997	"Cra"	"B1"	"Don"	153.6	33.7
"3"	1997	"Cra"	"B1"	"Jerry"	151.2	37.9
"3"	1997	"Cra"	"B1"	"Prairie"	134.7	30.4
"3"	1997	"Cra"	"B1"	"Sheldon"	132.8	34.7
"3"	1997	"Cra"	"B1"	"MN 93272"	104.9	33.6
"3"	1997	"Cra"	"B1"	"Brawn"	152.8	33
"3"	1997	"Cra"	"B1"	"OH1087"	135	34.4
"3"	1997	"Cra"	"B1"	"Riser"	112.8	35.6
"3"	1997	"Cra"	"B1"	"Gem"	116.9	34.7
"3"	1997	"Cra"	"B1"	"Starter"	121.8	36.6
"3"	1997	"Cra"	"B1"	"OH1149"	122.5	36.3
"3"	1997	"Cra"	"B1"	"Jud"	145	36.1
"3"	1997	"Cra"	"B1"	"WIX6356-1"	134.4	36.4
"3"	1997	"Cra"	"B1"	"Burton"	137.8	32.9
"3"	1997	"Cra"	"B1"	"Blaze"	140.4	33.1
"3"	1997	"Cra"	"B1"	"Premier"	132.3	38.4
"3"	1997	"Cra"	"B2"	"Prairie"	136.3	32.4
"3"	1997	"Cra"	"B2"	"Blaze"	144.5	35.6
"3"	1997	"Cra"	"B2"	"Jerry"	159.3	38.4
"3"	1997	"Cra"	"B2"	"Jim"	156.2	35.4
"3"	1997	"Cra"	"B2"	"MN 93272"	118.8	36
"3"	1997	"Cra"	"B2"	"OH1149"	133.2	38
"3"	1997	"Cra"	"B2"	"Rodeo"	154.5	34.1
"3"	1997	"Cra"	"B2"	"Sheldon"	130	35.7
"3"	1997	"Cra"	"B2"	"IAN979-5-1-22"	140.6	34
"3"	1997	"Cra"	"B2"	"Riser"	118.3	34.7
"3"	1997	"Cra"	"B2"	"OH1087"	147.8	35.2
"3"	1997	"Cra"	"B2"	"Pal"	115.8	29.7
"3"	1997	"Cra"	"B2"	"Jud"	145.6	36
"3"	1997	"Cra"	"B2"	"Milton"	132	35.1
"3"	1997	"Cra"	"B2"	"Jay"	145.8	36.9
"3"	1997	"Cra"	"B2"	"Troy"	115.3	36
"3"	1997	"Cra"	"B2"	"WIX6356-1"	123.5	36.8
"3"	1997	"Cra"	"B2"	"Don"	141.2	35.4
"3"	1997	"Cra"	"B2"	"IN09201"	144.6	36.2
"3"	1997	"Cra"	"B2"	"Starter"	133.3	37.4
"3"	1997	"Cra"	"B2"	"Valley"	151.5	36.9
"3"	1997	"Cra"	"B2"	"Classic"	148.7	35.8
"3"	1997	"Cra"	"B2"	"Premier"	147.3	37.8
"3"	1997	"Cra"	"B2"	"Webster"	145	33.6
"3"	1997	"Cra"	"B2"	"Chairman"	142.6	33.1
"3"	1997	"Cra"	"B2"	"Brawn"	159.4	35.5
"3"	1997	"Cra"	"B2"	"Newdak"	130.9	33.8
"3"	1997	"Cra"	"B2"	"Burton"	131.2	34.4
"3"	1997	"Cra"	"B2"	"Hazel"	132.7	35.5
"3"	1997	"Cra"	"B2"	"Chaps"	153.6	34.2
"3"	1997	"Cra"	"B2"	"Ogle"	139	33.3
"3"	1997	"Cra"	"B2"	"Dane"	150.1	31.3
"3"	1997	"Cra"	"B2"	"Gem"	137	34.7
"3"	1997	"Cra"	"B2"	"Vista"	118.4	32.7
"3"	1997	"Cra"	"B2"	"Belle"	141.6	33
"3"	1997	"Cra"	"B3"	"Chaps"	155.8	34.3
"3"	1997	"Cra"	"B3"	"Premier"	152.5	38.1
"3"	1997	"Cra"	"B3"	"Jim"	153.3	34.4
"3"	1997	"Cra"	"B3"	"Troy"	125	34.3
"3"	1997	"Cra"	"B3"	"Belle"	133.5	34.8
"3"	1997	"Cra"	"B3"	"OH1149"	144.9	38
"3"	1997	"Cra"	"B3"	"Classic"	157.4	34.4
"3"	1997	"Cra"	"B3"	"Ogle"	146.9	33.6
"3"	1997	"Cra"	"B3"	"Milton"	131.9	34.7
"3"	1997	"Cra"	"B3"	"Vista"	127.9	33.2
"3"	1997	"Cra"	"B3"	"Rodeo"	157.8	33.6
"3"	1997	"Cra"	"B3"	"Newdak"	149	34
"3"	1997	"Cra"	"B3"	"Prairie"	150.4	30.9
"3"	1997	"Cra"	"B3"	"Don"	156.3	35.1
"3"	1997	"Cra"	"B3"	"Pal"	127	29.4
"3"	1997	"Cra"	"B3"	"Valley"	166.3	35.8
"3"	1997	"Cra"	"B3"	"Webster"	133.4	34
"3"	1997	"Cra"	"B3"	"Riser"	126.1	35.5
"3"	1997	"Cra"	"B3"	"Chairman"	140.2	32.4
"3"	1997	"Cra"	"B3"	"IAN979-5-1-22"	126.8	32.2
"3"	1997	"Cra"	"B3"	"Hazel"	124.1	35.7
"3"	1997	"Cra"	"B3"	"Starter"	132.1	39
"3"	1997	"Cra"	"B3"	"Brawn"	138.5	31.8
"3"	1997	"Cra"	"B3"	"Jud"	166.9	35.6
"3"	1997	"Cra"	"B3"	"Sheldon"	146	35.3
"3"	1997	"Cra"	"B3"	"Gem"	135	35.7
"3"	1997	"Cra"	"B3"	"Jay"	159	37
"3"	1997	"Cra"	"B3"	"Blaze"	163.7	34.8
"3"	1997	"Cra"	"B3"	"WIX6356-1"	153.1	36.8
"3"	1997	"Cra"	"B3"	"Jerry"	149.3	38.5
"3"	1997	"Cra"	"B3"	"Dane"	136.9	32.3
"3"	1997	"Cra"	"B3"	"Burton"	139.3	33.1
"3"	1997	"Cra"	"B3"	"OH1087"	149.8	33.1
"3"	1997	"Cra"	"B3"	"IN09201"	162.3	35.7
"3"	1997	"Cra"	"B3"	"MN 93272"	145.9	34.5
"4"	1997	"Lew"	"B1"	"Prairie"	169.1	31.7
"4"	1997	"Lew"	"B1"	"Milton"	171.6	32
"4"	1997	"Lew"	"B1"	"IN09201"	181.9	35.4
"4"	1997	"Lew"	"B1"	"Premier"	147.1	34.7
"4"	1997	"Lew"	"B1"	"Blaze"	163.3	32.4
"4"	1997	"Lew"	"B1"	"Belle"	200	31.7
"4"	1997	"Lew"	"B1"	"Brawn"	188.6	31.8
"4"	1997	"Lew"	"B1"	"Ogle"	175.7	31.9
"4"	1997	"Lew"	"B1"	"Valley"	172.9	35.3
"4"	1997	"Lew"	"B1"	"OH1149"	156.4	34.9
"4"	1997	"Lew"	"B1"	"Chairman"	151.2	30.5
"4"	1997	"Lew"	"B1"	"Classic"	177.5	33.8
"4"	1997	"Lew"	"B1"	"Rodeo"	184.4	32.9
"4"	1997	"Lew"	"B1"	"Dane"	158	29.2
"4"	1997	"Lew"	"B1"	"Hazel"	152.7	33.8
"4"	1997	"Lew"	"B1"	"Starter"	171.2	35.4
"4"	1997	"Lew"	"B1"	"Vista"	142.2	31.7
"4"	1997	"Lew"	"B1"	"IAN979-5-1-22"	143.5	32.7
"4"	1997	"Lew"	"B1"	"Don"	149.7	33.5
"4"	1997	"Lew"	"B1"	"OH1087"	145.7	32.1
"4"	1997	"Lew"	"B1"	"Gem"	168.9	33.6
"4"	1997	"Lew"	"B1"	"Troy"	155.6	33.8
"4"	1997	"Lew"	"B1"	"Jerry"	177.8	35.5
"4"	1997	"Lew"	"B1"	"Pal"	131.5	31
"4"	1997	"Lew"	"B1"	"Jim"	184.7	35.3
"4"	1997	"Lew"	"B1"	"Newdak"	159	31.8
"4"	1997	"Lew"	"B1"	"Riser"	152	34.3
"4"	1997	"Lew"	"B1"	"Sheldon"	168.6	35.3
"4"	1997	"Lew"	"B1"	"Jay"	170.9	34.6
"4"	1997	"Lew"	"B1"	"Webster"	170.5	31.9
"4"	1997	"Lew"	"B1"	"WIX6356-1"	157.7	35
"4"	1997	"Lew"	"B1"	"Burton"	140.8	32
"4"	1997	"Lew"	"B1"	"MN 93272"	158.7	31.7
"4"	1997	"Lew"	"B1"	"Chaps"	173.3	31.8
"4"	1997	"Lew"	"B1"	"Jud"	147.8	33
"4"	1997	"Lew"	"B2"	"Chaps"	171.3	32.3
"4"	1997	"Lew"	"B2"	"OH1149"	147.3	35.7
"4"	1997	"Lew"	"B2"	"Newdak"	160.4	31.9
"4"	1997	"Lew"	"B2"	"Gem"	172.7	33.5
"4"	1997	"Lew"	"B2"	"Milton"	160.1	33
"4"	1997	"Lew"	"B2"	"Prairie"	179.2	30.8
"4"	1997	"Lew"	"B2"	"Vista"	145.1	33.1
"4"	1997	"Lew"	"B2"	"Rodeo"	173.1	33.3
"4"	1997	"Lew"	"B2"	"Jim"	177.8	33.5
"4"	1997	"Lew"	"B2"	"Belle"	161.6	34.1
"4"	1997	"Lew"	"B2"	"Burton"	154.1	34.4
"4"	1997	"Lew"	"B2"	"Pal"	148.5	32.4
"4"	1997	"Lew"	"B2"	"Riser"	146.8	35.7
"4"	1997	"Lew"	"B2"	"Ogle"	154.4	31.7
"4"	1997	"Lew"	"B2"	"Sheldon"	155.8	34.7
"4"	1997	"Lew"	"B2"	"Troy"	142.2	30.6
"4"	1997	"Lew"	"B2"	"IAN979-5-1-22"	155.3	31.7
"4"	1997	"Lew"	"B2"	"Dane"	150.3	30.9
"4"	1997	"Lew"	"B2"	"Brawn"	184.9	31.7
"4"	1997	"Lew"	"B2"	"Blaze"	195.6	33.4
"4"	1997	"Lew"	"B2"	"Hazel"	145.5	35.2
"4"	1997	"Lew"	"B2"	"MN 93272"	158.8	31.3
"4"	1997	"Lew"	"B2"	"IN09201"	166.5	35.5
"4"	1997	"Lew"	"B2"	"WIX6356-1"	163.3	34.9
"4"	1997	"Lew"	"B2"	"Jud"	161.7	33.5
"4"	1997	"Lew"	"B2"	"Premier"	158.4	35.8
"4"	1997	"Lew"	"B2"	"Jerry"	157.6	36.2
"4"	1997	"Lew"	"B2"	"Chairman"	149.6	31.2
"4"	1997	"Lew"	"B2"	"Valley"	163.3	34
"4"	1997	"Lew"	"B2"	"Jay"	151.7	36.1
"4"	1997	"Lew"	"B2"	"Don"	168.8	36.1
"4"	1997	"Lew"	"B2"	"Starter"	156.8	36.4
"4"	1997	"Lew"	"B2"	"OH1087"	134.5	30.9
"4"	1997	"Lew"	"B2"	"Webster"	159.3	31.8
"4"	1997	"Lew"	"B2"	"Classic"	159.1	33.9
"4"	1997	"Lew"	"B3"	"Sheldon"	157.8	34
"4"	1997	"Lew"	"B3"	"Rodeo"	164	33.3
"4"	1997	"Lew"	"B3"	"Webster"	150.5	32.7
"4"	1997	"Lew"	"B3"	"WIX6356-1"	151.2	35.1
"4"	1997	"Lew"	"B3"	"Pal"	74.7	31.3
"4"	1997	"Lew"	"B3"	"Newdak"	146.9	32.6
"4"	1997	"Lew"	"B3"	"Jud"	168	33.9
"4"	1997	"Lew"	"B3"	"Hazel"	157.2	35.2
"4"	1997	"Lew"	"B3"	"Troy"	150.3	33.9
"4"	1997	"Lew"	"B3"	"Vista"	131.9	32
"4"	1997	"Lew"	"B3"	"Jay"	166.2	35
"4"	1997	"Lew"	"B3"	"Milton"	143.8	32.9
"4"	1997	"Lew"	"B3"	"Riser"	140.1	34.6
"4"	1997	"Lew"	"B3"	"Burton"	151.7	34
"4"	1997	"Lew"	"B3"	"Starter"	160.5	35.4
"4"	1997	"Lew"	"B3"	"Gem"	159.7	34.7
"4"	1997	"Lew"	"B3"	"IAN979-5-1-22"	168	31.4
"4"	1997	"Lew"	"B3"	"OH1087"	161.7	32
"4"	1997	"Lew"	"B3"	"Chairman"	139.7	30.5
"4"	1997	"Lew"	"B3"	"Chaps"	172.8	32.2
"4"	1997	"Lew"	"B3"	"Valley"	151.9	34.4
"4"	1997	"Lew"	"B3"	"Brawn"	179.7	32.4
"4"	1997	"Lew"	"B3"	"MN 93272"	145.5	33.3
"4"	1997	"Lew"	"B3"	"Belle"	157.9	35.1
"4"	1997	"Lew"	"B3"	"Classic"	166.7	36
"4"	1997	"Lew"	"B3"	"Ogle"	171.5	32.6
"4"	1997	"Lew"	"B3"	"IN09201"	165.8	35.2
"4"	1997	"Lew"	"B3"	"Don"	152.9	34.2
"4"	1997	"Lew"	"B3"	"Jim"	176	34.3
"4"	1997	"Lew"	"B3"	"Dane"	145.8	30.3
"4"	1997	"Lew"	"B3"	"Blaze"	172.7	32.2
"4"	1997	"Lew"	"B3"	"OH1149"	143.8	34.7
"4"	1997	"Lew"	"B3"	"Jerry"	159.9	35.4
"4"	1997	"Lew"	"B3"	"Premier"	149.2	35.3
"4"	1997	"Lew"	"B3"	"Prairie"	169.8	30.1
"5"	1997	"Nas"	"B1"	"Webster"	163.46979	32.33325
"5"	1997	"Nas"	"B1"	"Newdak"	157.073455	32.262
"5"	1997	"Nas"	"B1"	"Classic"	155.02861	34.656
"5"	1997	"Nas"	"B1"	"Pal"	131.835935	31.236
"5"	1997	"Nas"	"B1"	"IAN979-5-1-22"	159.089315	32.04825
"5"	1997	"Nas"	"B1"	"Milton"	164.88912	34.81275
"5"	1997	"Nas"	"B1"	"OH1149"	141.13638	30.723
"5"	1997	"Nas"	"B1"	"MN 93272"	157.589575	32.604
"5"	1997	"Nas"	"B1"	"Gem"	142.270535	34.41375
