bunt	pct	rep	gen
B7	55.6	R1	Minturkey
B7a	85.4	R1	Minturkey
B8	30.3	R1	Minturkey
B9	17.2	R1	Minturkey
B10	71.2	R1	Minturkey
B11	70.6	R1	Minturkey
B12	49.5	R1	Minturkey
B13	61.9	R1	Minturkey
B14	76.4	R1	Minturkey
B15	79.7	R1	Minturkey
B32	90.9	R1	Minturkey
B51	45.1	R1	Minturkey
B157	75.3	R1	Minturkey
B189	81.1	R1	Minturkey
B1	72.8	R2	Minturkey
B2	84.3	R2	Minturkey
B3	75.4	R2	Minturkey
B4	82.6	R2	Minturkey
B5	80.9	R2	Minturkey
B6	39.4	R2	Minturkey
B7	44.3	R2	Minturkey
B7a	83.3	R2	Minturkey
B8	30.4	R2	Minturkey
B9	11.7	R2	Minturkey
B10	63.7	R2	Minturkey
B11	69.9	R2	Minturkey
B12	75.2	R2	Minturkey
B13	60.9	R2	Minturkey
B14	79.7	R2	Minturkey
B15	83.8	R2	Minturkey
B32	80.9	R2	Minturkey
B51	40	R2	Minturkey
B157	85.3	R2	Minturkey
B189	80.2	R2	Minturkey
B1	0	R1	Oro
B2	2.5	R1	Oro
B3	1.5	R1	Oro
B4	1.5	R1	Oro
B5	0.6	R1	Oro
B6	1.1	R1	Oro
B7	0	R1	Oro
B7a	1.2	R1	Oro
B8	1.6	R1	Oro
B9	3.3	R1	Oro
B10	3.1	R1	Oro
B11	0.5	R1	Oro
B12	0	R1	Oro
B13	0	R1	Oro
B14	3.5	R1	Oro
B15	2.4	R1	Oro
B32	59.8	R1	Oro
B51	0.6	R1	Oro
B157	2.2	R1	Oro
B189	7.5	R1	Oro
B1	0.9	R2	Oro
B2	3.6	R2	Oro
B3	0	R2	Oro
B4	6.3	R2	Oro
B5	1.6	R2	Oro
B6	0	R2	Oro
B7	0.8	R2	Oro
B7a	4.4	R2	Oro
B8	1.1	R2	Oro
B9	0	R2	Oro
B10	0	R2	Oro
B11	1.7	R2	Oro
B12	0	R2	Oro
B13	2	R2	Oro
B14	7.5	R2	Oro
B15	1.1	R2	Oro
B32	75	R2	Oro
B51	1.2	R2	Oro
B157	0.9	R2	Oro
B189	4.7	R2	Oro
B1	6.3	R1	Ridit
B2	8.7	R1	Ridit
B3	6	R1	Ridit
B4	4.1	R1	Ridit
B5	3.9	R1	Ridit
B6	2.2	R1	Ridit
B7	2	R1	Ridit
B7a	5.2	R1	Ridit
B8	1.2	R1	Ridit
B9	3	R1	Ridit
B10	4.2	R1	Ridit
B11	6.8	R1	Ridit
B12	15.5	R1	Ridit
B13	0.8	R1	Ridit
B14	12.7	R1	Ridit
B15	10.1	R1	Ridit
B32	14.4	R1	Ridit
B51	4.8	R1	Ridit
B157	1.4	R1	Ridit
B189	4.9	R1	Ridit
B1	3.9	R2	Ridit
B2	2.2	R2	Ridit
B3	0.7	R2	Ridit
B4	3.1	R2	Ridit
B5	3.6	R2	Ridit
B6	0	R2	Ridit
B7	1.8	R2	Ridit
B7a	4.9	R2	Ridit
B8	0	R2	Ridit
B9	0	R2	Ridit
B10	3.8	R2	Ridit
B11	5.5	R2	Ridit
B12	0	R2	Ridit
B13	10.8	R2	Ridit
B14	12.5	R2	Ridit
B15	2.2	R2	Ridit
B32	5.2	R2	Ridit
B51	4.7	R2	Ridit
B157	1	R2	Ridit
B189	6.1	R2	Ridit
B1	0	R1	Albit
B2	92.4	R1	Albit
B3	93.7	R1	Albit
B4	14	R1	Albit
B5	4.2	R1	Albit
B6	0	R1	Albit
B7	0	R1	Albit
B7a	85.2	R1	Albit
B8	0	R1	Albit
B9	0	R1	Albit
B10	92	R1	Albit
B11	2.1	R1	Albit
B12	50	R1	Albit
B13	0.6	R1	Albit
B14	81.9	R1	Albit
B15	78.8	R1	Albit
B32	0	R1	Albit
B51	0.8	R1	Albit
B157	89.2	R1	Albit
B189	91.9	R1	Albit
B1	0	R2	Albit
B2	90.6	R2	Albit
B3	90.1	R2	Albit
B4	4.5	R2	Albit
B5	3.2	R2	Albit
B6	0	R2	Albit
B7	0.9	R2	Albit
B7a	82.5	R2	Albit
B8	0.6	R2	Albit
B9	0.8	R2	Albit
B10	79.6	R2	Albit
B11	3.9	R2	Albit
B12	76.5	R2	Albit
B13	0	R2	Albit
B14	87.2	R2	Albit
B15	90.6	R2	Albit
B32	0	R2	Albit
B51	2.6	R2	Albit
B157	85	R2	Albit
B189	94.6	R2	Albit
B1	2.1	R1	Martin
B2	18.4	R1	Martin
B3	84.5	R1	Martin
B4	0	R1	Martin
B5	0	R1	Martin
B6	5	R1	Martin
B7	1.4	R1	Martin
B7a	61.1	R1	Martin
B8	1.6	R1	Martin
B9	0	R1	Martin
B10	77.9	R1	Martin
B11	0.6	R1	Martin
B12	75.5	R1	Martin
B13	2	R1	Martin
B14	75.5	R1	Martin
B15	70.1	R1	Martin
B32	2.3	R1	Martin
B51	0	R1	Martin
B157	47	R1	Martin
B189	71	R1	Martin
B1	0	R2	Martin
B2	16	R2	Martin
B3	64.8	R2	Martin
B4	3	R2	Martin
B5	2.2	R2	Martin
B6	0.6	R2	Martin
B7	0.8	R2	Martin
B7a	62	R2	Martin
B8	0	R2	Martin
B9	0	R2	Martin
B10	77	R2	Martin
B11	0.9	R2	Martin
B12	74.5	R2	Martin
B13	0	R2	Martin
B14	76.4	R2	Martin
B15	69.2	R2	Martin
B32	2.1	R2	Martin
B51	0	R2	Martin
B157	82.2	R2	Martin
B189	78	R2	Martin
B1	0	R1	Hohenheimer
B2	0	R1	Hohenheimer
B3	0	R1	Hohenheimer
B4	0	R1	Hohenheimer
B5	2.4	R1	Hohenheimer
B6	0	R1	Hohenheimer
B7	7.1	R1	Hohenheimer
B7a	0.9	R1	Hohenheimer
B8	0	R1	Hohenheimer
B9	0	R1	Hohenheimer
B10	0.9	R1	Hohenheimer
B11	0	R1	Hohenheimer
B12	0	R1	Hohenheimer
B13	6.1	R1	Hohenheimer
B14	1.1	R1	Hohenheimer
B15	0	R1	Hohenheimer
B32	0	R1	Hohenheimer
B51	0	R1	Hohenheimer
B157	0	R1	Hohenheimer
B189	2.9	R1	Hohenheimer
B1	0	R2	Hohenheimer
B2	1.4	R2	Hohenheimer
B3	0	R2	Hohenheimer
B4	0	R2	Hohenheimer
B5	2.5	R2	Hohenheimer
B6	0	R2	Hohenheimer
B7	0	R2	Hohenheimer
B7a	5.6	R2	Hohenheimer
B8	0	R2	Hohenheimer
B9	0	R2	Hohenheimer
B10	0	R2	Hohenheimer
B11	0	R2	Hohenheimer
B12	0	R2	Hohenheimer
B13	12.2	R2	Hohenheimer
B14	1.3	R2	Hohenheimer
B15	0	R2	Hohenheimer
B32	0	R2	Hohenheimer
B51	0	R2	Hohenheimer
B157	0	R2	Hohenheimer
B189	1.2	R2	Hohenheimer
B1	0	R1	Odessa
B2	97.5	R1	Odessa
B3	97.8	R1	Odessa
B4	75.9	R1	Odessa
B5	0.7	R1	Odessa
B6	0	R1	Odessa
B7	2	R1	Odessa
B7a	68.8	R1	Odessa
B8	0	R1	Odessa
B9	8.4	R1	Odessa
B10	90.4	R1	Odessa
B11	1.3	R1	Odessa
B12	74.1	R1	Odessa
B13	2.1	R1	Odessa
B14	88.8	R1	Odessa
B15	85.8	R1	Odessa
B32	0	R1	Odessa
B51	5.1	R1	Odessa
B157	83.4	R1	Odessa
B189	94.6	R1	Odessa
B1	0	R2	Odessa
B2	98.1	R2	Odessa
B3	94.4	R2	Odessa
B4	84.7	R2	Odessa
B5	0	R2	Odessa
B6	0	R2	Odessa
B7	1.9	R2	Odessa
B7a	86.5	R2	Odessa
B8	0	R2	Odessa
B9	0.8	R2	Odessa
B10	74.6	R2	Odessa
B11	0	R2	Odessa
B12	79.1	R2	Odessa
B13	7.3	R2	Odessa
B14	91.2	R2	Odessa
B15	98	R2	Odessa
B32	0	R2	Odessa
B51	1.4	R2	Odessa
B157	90.5	R2	Odessa
B189	96.7	R2	Odessa
B1	0.5	R1	Hussar
B2	81	R1	Hussar
B3	0	R1	Hussar
B4	0	R1	Hussar
B5	0	R1	Hussar
B6	1.6	R1	Hussar
B7	0	R1	Hussar
B7a	1.1	R1	Hussar
B8	0	R1	Hussar
B9	2.5	R1	Hussar
B10	1.2	R1	Hussar
B11	0	R1	Hussar
B12	2.8	R1	Hussar
B13	1.2	R1	Hussar
B14	62.6	R1	Hussar
B15	2.1	R1	Hussar
B32	1	R1	Hussar
B51	0.5	R1	Hussar
B157	45.5	R1	Hussar
B189	53.2	R1	Hussar
B1	0.6	R2	Hussar
B2	74.9	R2	Hussar
B3	0.7	R2	Hussar
B4	0.7	R2	Hussar
B5	0.7	R2	Hussar
B6	0	R2	Hussar
B7	0	R2	Hussar
B7a	0	R2	Hussar
B8	0	R2	Hussar
B9	0	R2	Hussar
B10	0.8	R2	Hussar
B11	0	R2	Hussar
B12	0.6	R2	Hussar
B13	0	R2	Hussar
B14	67.9	R2	Hussar
B15	0	R2	Hussar
B32	3.3	R2	Hussar
B51	0	R2	Hussar
B157	37.6	R2	Hussar
B189	70.2	R2	Hussar
