"nitro"	"year"	"gen"	"drymatter"	"protein"
784	"Y2"	"S.24"	8.55	1797
896	"Y2"	"S.24"	10.47	2281
0	"Y2"	"Barvestra"	1.5	161
28	"Y2"	"Barvestra"	2.5	266
56	"Y2"	"Barvestra"	3	326
84	"Y2"	"Barvestra"	4.37	490
112	"Y2"	"Barvestra"	4.63	545
140	"Y2"	"Barvestra"	5.3	606
168	"Y2"	"Barvestra"	5.91	687
196	"Y2"	"Barvestra"	7.28	920
224	"Y2"	"Barvestra"	7.98	1075
252	"Y2"	"Barvestra"	8.17	1085
280	"Y2"	"Barvestra"	9.09	1244
308	"Y2"	"Barvestra"	9.5	1383
336	"Y2"	"Barvestra"	9.62	1455
392	"Y2"	"Barvestra"	10.72	1720
448	"Y2"	"Barvestra"	10.73	1955
504	"Y2"	"Barvestra"	10.87	2141
560	"Y2"	"Barvestra"	10.29	2116
616	"Y2"	"Barvestra"	11.22	2416
672	"Y2"	"Barvestra"	11.23	2432
784	"Y2"	"Barvestra"	10.46	2351
896	"Y2"	"Barvestra"	11.53	2642
0	"Y2"	"S.37"	1.31	195
28	"Y2"	"S.37"	2.18	312
56	"Y2"	"S.37"	3.41	478
84	"Y2"	"S.37"	4.93	729
112	"Y2"	"S.37"	5.36	758
140	"Y2"	"S.37"	5.25	718
168	"Y2"	"S.37"	5.58	789
196	"Y2"	"S.37"	7.65	1146
224	"Y2"	"S.37"	7.46	1116
252	"Y2"	"S.37"	9.31	1484
280	"Y2"	"S.37"	8.18	1350
308	"Y2"	"S.37"	10.14	1815
336	"Y2"	"S.37"	10.3	2024
392	"Y2"	"S.37"	9.48	1837
448	"Y2"	"S.37"	9.93	2079
504	"Y2"	"S.37"	10.94	2361
560	"Y2"	"S.37"	10.27	2334
616	"Y2"	"S.37"	10.49	2412
672	"Y2"	"S.37"	10.58	2431
784	"Y2"	"S.37"	10.41	2485
896	"Y2"	"S.37"	10.18	2493
0	"Y2"	"S.53"	2.14	279
28	"Y2"	"S.53"	1.43	170
56	"Y2"	"S.53"	2.82	333
84	"Y2"	"S.53"	3.08	394
112	"Y2"	"S.53"	3.92	510
140	"Y2"	"S.53"	4.17	552
168	"Y2"	"S.53"	4.91	642
196	"Y2"	"S.53"	5.05	708
224	"Y2"	"S.53"	6.17	888
252	"Y2"	"S.53"	6	882
280	"Y2"	"S.53"	7.95	1180
308	"Y2"	"S.53"	7.66	1177
336	"Y2"	"S.53"	7.42	1241
392	"Y2"	"S.53"	7.81	1380
448	"Y2"	"S.53"	7.86	1449
504	"Y2"	"S.53"	7.9	1481
560	"Y2"	"S.53"	8.08	1668
616	"Y2"	"S.53"	9.23	1763
672	"Y2"	"S.53"	9.17	1799
784	"Y2"	"S.53"	8.22	1760
896	"Y2"	"S.53"	8.61	1845
0	"Y3"	"S.24"	2.37	270
28	"Y3"	"S.24"	2.79	333
56	"Y3"	"S.24"	4.3	446
84	"Y3"	"S.24"	4.76	513
112	"Y3"	"S.24"	6.49	767
140	"Y3"	"S.24"	6.33	693
168	"Y3"	"S.24"	7.32	827
196	"Y3"	"S.24"	8.12	946
224	"Y3"	"S.24"	9.05	1130
252	"Y3"	"S.24"	10.3	1292
280	"Y3"	"S.24"	10.81	1350
308	"Y3"	"S.24"	11.19	1511
336	"Y3"	"S.24"	11.55	1602
392	"Y3"	"S.24"	12.43	1827
448	"Y3"	"S.24"	14.38	2139
504	"Y3"	"S.24"	14.32	2334
560	"Y3"	"S.24"	13.47	2443
616	"Y3"	"S.24"	14	2610
672	"Y3"	"S.24"	13.97	2708
784	"Y3"	"S.24"	13.31	2576
896	"Y3"	"S.24"	13.95	2945
0	"Y3"	"S.37"	2.42	361
28	"Y3"	"S.37"	3.12	424
56	"Y3"	"S.37"	4.23	558
84	"Y3"	"S.37"	4.93	672
112	"Y3"	"S.37"	6.53	889
140	"Y3"	"S.37"	6.16	859
168	"Y3"	"S.37"	6.54	904
196	"Y3"	"S.37"	8.23	1116
224	"Y3"	"S.37"	8.1	1174
252	"Y3"	"S.37"	9.66	1445
280	"Y3"	"S.37"	9.41	1443
308	"Y3"	"S.37"	11.19	1748
336	"Y3"	"S.37"	11.12	1868
392	"Y3"	"S.37"	11.04	2058
448	"Y3"	"S.37"	11.12	2085
504	"Y3"	"S.37"	11.56	2253
560	"Y3"	"S.37"	12.04	2524
616	"Y3"	"S.37"	12.45	2566
672	"Y3"	"S.37"	12.77	2798
784	"Y3"	"S.37"	12.24	2838
896	"Y3"	"S.37"	13.16	3029
