"env"	"year"	"block"	"gen"	"yield"
"Karnal"	"1934"	"B3"	"C"	42
"Karnal"	"1934"	"B4"	"C"	42
"Karnal"	"1934"	"B5"	"C"	57.5
"Pusa"	"1932"	"B1"	"D"	39.5
"Pusa"	"1932"	"B2"	"D"	24
"Pusa"	"1932"	"B3"	"D"	21
"Pusa"	"1932"	"B4"	"D"	22
"Pusa"	"1932"	"B5"	"D"	25
"Pusa"	"1933"	"B1"	"D"	35
"Pusa"	"1933"	"B2"	"D"	36
"Pusa"	"1933"	"B3"	"D"	46
"Pusa"	"1933"	"B4"	"D"	51
"Pusa"	"1933"	"B5"	"D"	57.5
"Pusa"	"1934"	"B1"	"D"	41
"Pusa"	"1934"	"B2"	"D"	52
"Pusa"	"1934"	"B3"	"D"	52.5
"Pusa"	"1934"	"B4"	"D"	54.5
"Pusa"	"1934"	"B5"	"D"	49.5
"Karnal"	"1932"	"B1"	"D"	48.5
"Karnal"	"1932"	"B2"	"D"	39
"Karnal"	"1932"	"B3"	"D"	38.5
"Karnal"	"1932"	"B4"	"D"	42
"Karnal"	"1932"	"B5"	"D"	35
"Karnal"	"1933"	"B1"	"D"	30.5
"Karnal"	"1933"	"B2"	"D"	45
"Karnal"	"1933"	"B3"	"D"	48
"Karnal"	"1933"	"B4"	"D"	45.5
"Karnal"	"1933"	"B5"	"D"	48.5
"Karnal"	"1934"	"B1"	"D"	38.5
"Karnal"	"1934"	"B2"	"D"	32
"Karnal"	"1934"	"B3"	"D"	48
"Karnal"	"1934"	"B4"	"D"	36.5
"Karnal"	"1934"	"B5"	"D"	50
"Pusa"	"1932"	"B1"	"E"	39.5
"Pusa"	"1932"	"B2"	"E"	31.5
"Pusa"	"1932"	"B3"	"E"	26.5
"Pusa"	"1932"	"B4"	"E"	27
"Pusa"	"1932"	"B5"	"E"	30
"Pusa"	"1933"	"B1"	"E"	44.5
"Pusa"	"1933"	"B2"	"E"	47
"Pusa"	"1933"	"B3"	"E"	37
"Pusa"	"1933"	"B4"	"E"	50.5
"Pusa"	"1933"	"B5"	"E"	52.5
"Pusa"	"1934"	"B1"	"E"	47
"Pusa"	"1934"	"B2"	"E"	57
"Pusa"	"1934"	"B3"	"E"	57.5
"Pusa"	"1934"	"B4"	"E"	60
"Pusa"	"1934"	"B5"	"E"	49
"Karnal"	"1932"	"B1"	"E"	42
"Karnal"	"1932"	"B2"	"E"	40.5
"Karnal"	"1932"	"B3"	"E"	33.5
"Karnal"	"1932"	"B4"	"E"	26.5
"Karnal"	"1932"	"B5"	"E"	36
"Karnal"	"1933"	"B1"	"E"	35
"Karnal"	"1933"	"B2"	"E"	43
"Karnal"	"1933"	"B3"	"E"	48
"Karnal"	"1933"	"B4"	"E"	50
"Karnal"	"1933"	"B5"	"E"	42
"Karnal"	"1934"	"B1"	"E"	34
"Karnal"	"1934"	"B2"	"E"	35
"Karnal"	"1934"	"B3"	"E"	43.5
"Karnal"	"1934"	"B4"	"E"	48.5
"Karnal"	"1934"	"B5"	"E"	52.5
"Pusa"	"1932"	"B1"	"F"	43
"Pusa"	"1932"	"B2"	"F"	44.5
"Pusa"	"1932"	"B3"	"F"	26
"Pusa"	"1932"	"B4"	"F"	28
"Pusa"	"1932"	"B5"	"F"	32.5
"Pusa"	"1933"	"B1"	"F"	48.5
"Pusa"	"1933"	"B2"	"F"	48.5
"Pusa"	"1933"	"B3"	"F"	58
"Pusa"	"1933"	"B4"	"F"	47.5
"Pusa"	"1933"	"B5"	"F"	49
"Pusa"	"1934"	"B1"	"F"	43
"Pusa"	"1934"	"B2"	"F"	48.5
"Pusa"	"1934"	"B3"	"F"	48.5
"Pusa"	"1934"	"B4"	"F"	49
"Pusa"	"1934"	"B5"	"F"	38
"Karnal"	"1932"	"B1"	"F"	30.5
"Karnal"	"1932"	"B2"	"F"	44
"Karnal"	"1932"	"B3"	"F"	32.5
"Karnal"	"1932"	"B4"	"F"	34
"Karnal"	"1932"	"B5"	"F"	31
"Karnal"	"1933"	"B1"	"F"	36
"Karnal"	"1933"	"B2"	"F"	34
"Karnal"	"1933"	"B3"	"F"	42
"Karnal"	"1933"	"B4"	"F"	40
"Karnal"	"1933"	"B5"	"F"	35.5
"Karnal"	"1934"	"B1"	"F"	34.5
"Karnal"	"1934"	"B2"	"F"	33
"Karnal"	"1934"	"B3"	"F"	43
"Karnal"	"1934"	"B4"	"F"	46.5
"Karnal"	"1934"	"B5"	"F"	52.5
"Pusa"	"1932"	"B1"	"G"	37
"Pusa"	"1932"	"B2"	"G"	33
"Pusa"	"1932"	"B3"	"G"	22
"Pusa"	"1932"	"B4"	"G"	31.5
"Pusa"	"1932"	"B5"	"G"	27.5
"Pusa"	"1933"	"B1"	"G"	53
"Pusa"	"1933"	"B2"	"G"	55.5
"Pusa"	"1933"	"B3"	"G"	57
"Pusa"	"1933"	"B4"	"G"	55
"Pusa"	"1933"	"B5"	"G"	51.5
"Pusa"	"1934"	"B1"	"G"	52.5
"Pusa"	"1934"	"B2"	"G"	55.5
"Pusa"	"1934"	"B3"	"G"	59
"Pusa"	"1934"	"B4"	"G"	57
"Pusa"	"1934"	"B5"	"G"	56.5
"Karnal"	"1932"	"B1"	"G"	50.5
"Karnal"	"1932"	"B2"	"G"	47
"Karnal"	"1932"	"B3"	"G"	44.5
"Karnal"	"1932"	"B4"	"G"	44
"Karnal"	"1932"	"B5"	"G"	32.5
"Karnal"	"1933"	"B1"	"G"	46
"Karnal"	"1933"	"B2"	"G"	48
"Karnal"	"1933"	"B3"	"G"	52
"Karnal"	"1933"	"B4"	"G"	57
"Karnal"	"1933"	"B5"	"G"	48
"Karnal"	"1934"	"B1"	"G"	35.5
"Karnal"	"1934"	"B2"	"G"	38.5
"Karnal"	"1934"	"B3"	"G"	41.5
"Karnal"	"1934"	"B4"	"G"	48
"Karnal"	"1934"	"B5"	"G"	54.5
"Pusa"	"1932"	"B1"	"H"	30.5
"Pusa"	"1932"	"B2"	"H"	18.5
"Pusa"	"1932"	"B3"	"H"	22
"Pusa"	"1932"	"B4"	"H"	18.5
"Pusa"	"1932"	"B5"	"H"	21.5
"Pusa"	"1933"	"B1"	"H"	41
"Pusa"	"1933"	"B2"	"H"	27.5
"Pusa"	"1933"	"B3"	"H"	32.5
"Pusa"	"1933"	"B4"	"H"	37.5
"Pusa"	"1933"	"B5"	"H"	31.5
"Pusa"	"1934"	"B1"	"H"	42.5
"Pusa"	"1934"	"B2"	"H"	51.5
"Pusa"	"1934"	"B3"	"H"	48
"Pusa"	"1934"	"B4"	"H"	52.5
"Pusa"	"1934"	"B5"	"H"	48
"Karnal"	"1932"	"B1"	"H"	40.5
"Karnal"	"1932"	"B2"	"H"	43
"Karnal"	"1932"	"B3"	"H"	39
"Karnal"	"1932"	"B4"	"H"	33.5
"Karnal"	"1932"	"B5"	"H"	26.5
"Karnal"	"1933"	"B1"	"H"	27.5
"Karnal"	"1933"	"B2"	"H"	33
"Karnal"	"1933"	"B3"	"H"	45
"Karnal"	"1933"	"B4"	"H"	43.5
"Karnal"	"1933"	"B5"	"H"	31
"Karnal"	"1934"	"B1"	"H"	33.5
"Karnal"	"1934"	"B2"	"H"	30.5
"Karnal"	"1934"	"B3"	"H"	37.5
"Karnal"	"1934"	"B4"	"H"	39.5
"Karnal"	"1934"	"B5"	"H"	43
"Pusa"	"1932"	"B1"	"I"	28.5
"Pusa"	"1932"	"B2"	"I"	26
"Pusa"	"1932"	"B3"	"I"	27
"Pusa"	"1932"	"B4"	"I"	19.5
"Pusa"	"1932"	"B5"	"I"	15.5
"Pusa"	"1933"	"B1"	"I"	54.5
"Pusa"	"1933"	"B2"	"I"	47
"Pusa"	"1933"	"B3"	"I"	51
"Pusa"	"1933"	"B4"	"I"	62.5
"Pusa"	"1933"	"B5"	"I"	53.5
"Pusa"	"1934"	"B1"	"I"	44.5
"Pusa"	"1934"	"B2"	"I"	55.5
"Pusa"	"1934"	"B3"	"I"	52
"Pusa"	"1934"	"B4"	"I"	54
"Pusa"	"1934"	"B5"	"I"	48
"Karnal"	"1932"	"B1"	"I"	41
"Karnal"	"1932"	"B2"	"I"	29.5
"Karnal"	"1932"	"B3"	"I"	31.5
"Karnal"	"1932"	"B4"	"I"	36
"Karnal"	"1932"	"B5"	"I"	26
"Karnal"	"1933"	"B1"	"I"	33
"Karnal"	"1933"	"B2"	"I"	34
"Karnal"	"1933"	"B3"	"I"	36
"Karnal"	"1933"	"B4"	"I"	40.5
"Karnal"	"1933"	"B5"	"I"	34.5
"Karnal"	"1934"	"B1"	"I"	35.5
"Karnal"	"1934"	"B2"	"I"	40.5
"Karnal"	"1934"	"B3"	"I"	41
"Karnal"	"1934"	"B4"	"I"	48.5
"Karnal"	"1934"	"B5"	"I"	51
"Pusa"	"1932"	"B1"	"J"	36.5
"Pusa"	"1932"	"B2"	"J"	38.5
"Pusa"	"1932"	"B3"	"J"	30.5
"Pusa"	"1932"	"B4"	"J"	25
"Pusa"	"1932"	"B5"	"J"	28.5
"Pusa"	"1933"	"B1"	"J"	61
"Pusa"	"1933"	"B2"	"J"	56.5
"Pusa"	"1933"	"B3"	"J"	58.5
"Pusa"	"1933"	"B4"	"J"	56.5
"Pusa"	"1933"	"B5"	"J"	51
"Pusa"	"1934"	"B1"	"J"	49.5
"Pusa"	"1934"	"B2"	"J"	55.5
"Pusa"	"1934"	"B3"	"J"	51.5
"Pusa"	"1934"	"B4"	"J"	56.5
"Pusa"	"1934"	"B5"	"J"	67.5
"Karnal"	"1932"	"B1"	"J"	46.5
"Karnal"	"1932"	"B2"	"J"	53.5
"Karnal"	"1932"	"B3"	"J"	37.5
"Karnal"	"1932"	"B4"	"J"	42
"Karnal"	"1932"	"B5"	"J"	42
"Karnal"	"1933"	"B1"	"J"	45
"Karnal"	"1933"	"B2"	"J"	57
"Karnal"	"1933"	"B3"	"J"	57
"Karnal"	"1933"	"B4"	"J"	50.5
"Karnal"	"1933"	"B5"	"J"	59
"Karnal"	"1934"	"B1"	"J"	37.5
"Karnal"	"1934"	"B2"	"J"	37.5
"Karnal"	"1934"	"B3"	"J"	39
"Karnal"	"1934"	"B4"	"J"	49.5
"Karnal"	"1934"	"B5"	"J"	47
"Pusa"	"1932"	"B1"	"K"	26.5
"Pusa"	"1932"	"B2"	"K"	40
"Pusa"	"1932"	"B3"	"K"	24
"Pusa"	"1932"	"B4"	"K"	23
"Pusa"	"1932"	"B5"	"K"	22.5
"Pusa"	"1933"	"B1"	"K"	36.5
"Pusa"	"1933"	"B2"	"K"	41
"Pusa"	"1933"	"B3"	"K"	28
"Pusa"	"1933"	"B4"	"K"	33
"Pusa"	"1933"	"B5"	"K"	47.5
"Pusa"	"1934"	"B1"	"K"	42.5
"Pusa"	"1934"	"B2"	"K"	46.5
"Pusa"	"1934"	"B3"	"K"	48.5
"Pusa"	"1934"	"B4"	"K"	49
"Pusa"	"1934"	"B5"	"K"	42.5
"Karnal"	"1932"	"B1"	"K"	51.5
"Karnal"	"1932"	"B2"	"K"	45.5
"Karnal"	"1932"	"B3"	"K"	30
"Karnal"	"1932"	"B4"	"K"	34
"Karnal"	"1932"	"B5"	"K"	36
"Karnal"	"1933"	"B1"	"K"	32
"Karnal"	"1933"	"B2"	"K"	38
"Karnal"	"1933"	"B3"	"K"	42
"Karnal"	"1933"	"B4"	"K"	40.5
"Karnal"	"1933"	"B5"	"K"	40
"Karnal"	"1934"	"B1"	"K"	39.5
"Karnal"	"1934"	"B2"	"K"	32.5
"Karnal"	"1934"	"B3"	"K"	35.5
"Karnal"	"1934"	"B4"	"K"	40
"Karnal"	"1934"	"B5"	"K"	54
"Pusa"	"1932"	"B1"	"L"	51
"Pusa"	"1932"	"B2"	"L"	59
"Pusa"	"1932"	"B3"	"L"	39
"Pusa"	"1932"	"B4"	"L"	34
"Pusa"	"1932"	"B5"	"L"	38.5
"Pusa"	"1933"	"B1"	"L"	59
"Pusa"	"1933"	"B2"	"L"	53.5
"Pusa"	"1933"	"B3"	"L"	51
"Pusa"	"1933"	"B4"	"L"	55.5
"Pusa"	"1933"	"B5"	"L"	42.5
"Pusa"	"1934"	"B1"	"L"	61.5
"Pusa"	"1934"	"B2"	"L"	57.5
"Pusa"	"1934"	"B3"	"L"	55
"Pusa"	"1934"	"B4"	"L"	69
"Pusa"	"1934"	"B5"	"L"	54.5
"Karnal"	"1932"	"B1"	"L"	19
"Karnal"	"1932"	"B2"	"L"	34.5
"Karnal"	"1932"	"B3"	"L"	38
"Karnal"	"1932"	"B4"	"L"	39.5
"Karnal"	"1932"	"B5"	"L"	28
"Karnal"	"1933"	"B1"	"L"	56.5
"Karnal"	"1933"	"B2"	"L"	47
"Karnal"	"1933"	"B3"	"L"	64
"Karnal"	"1933"	"B4"	"L"	65
"Karnal"	"1933"	"B5"	"L"	47
"Karnal"	"1934"	"B1"	"L"	39.5
"Karnal"	"1934"	"B2"	"L"	35
"Karnal"	"1934"	"B3"	"L"	45
"Karnal"	"1934"	"B4"	"L"	53
"Karnal"	"1934"	"B5"	"L"	46
"Pusa"	"1932"	"B1"	"M"	43
"Pusa"	"1932"	"B2"	"M"	28.5
"Pusa"	"1932"	"B3"	"M"	29.5
"Pusa"	"1932"	"B4"	"M"	32
"Pusa"	"1932"	"B5"	"M"	28
"Pusa"	"1933"	"B1"	"M"	59
"Pusa"	"1933"	"B2"	"M"	59
"Pusa"	"1933"	"B3"	"M"	54.5
"Pusa"	"1933"	"B4"	"M"	54
"Pusa"	"1933"	"B5"	"M"	59.5
"Pusa"	"1934"	"B1"	"M"	66
"Pusa"	"1934"	"B2"	"M"	57.5
"Pusa"	"1934"	"B3"	"M"	63.5
"Pusa"	"1934"	"B4"	"M"	70
"Pusa"	"1934"	"B5"	"M"	62
"Karnal"	"1932"	"B1"	"M"	38
"Karnal"	"1932"	"B2"	"M"	25.5
"Karnal"	"1932"	"B3"	"M"	36
"Karnal"	"1932"	"B4"	"M"	44
"Karnal"	"1932"	"B5"	"M"	34.5
"Karnal"	"1933"	"B1"	"M"	55
"Karnal"	"1933"	"B2"	"M"	58
"Karnal"	"1933"	"B3"	"M"	62
"Karnal"	"1933"	"B4"	"M"	52.5
"Karnal"	"1933"	"B5"	"M"	60
"Karnal"	"1934"	"B1"	"M"	40.5
"Karnal"	"1934"	"B2"	"M"	50
"Karnal"	"1934"	"B3"	"M"	49.5
"Karnal"	"1934"	"B4"	"M"	56.5
"Karnal"	"1934"	"B5"	"M"	56.5
