"gen"	"origin"	"loc"	"height"
"G686"	"Bellthorpe"	"L2"	22.62
"G183"	"Ravenshoe"	"L3"	18.67
"G184"	"Ravenshoe"	"L3"	17.69
"G185"	"Ravenshoe"	"L3"	15.94
"G186"	"Ravenshoe"	"L3"	16.28
"G187"	"Ravenshoe"	"L3"	15.95
"G188"	"Ravenshoe"	"L3"	16.61
"G189"	"Ravenshoe"	"L3"	17.02
"G190"	"Ravenshoe"	"L3"	17.87
"G191"	"Ravenshoe"	"L3"	16.84
"G192"	"Ravenshoe"	"L3"	17.16
"G193"	"Ravenshoe"	"L3"	16.87
"G194"	"Ravenshoe"	"L3"	16.88
"G195"	"Ravenshoe"	"L3"	16.01
"G196"	"Ravenshoe"	"L3"	18.79
"G197"	"Ravenshoe"	"L3"	18.1
"G198"	"Ravenshoe"	"L3"	17.8
"G199"	"Ravenshoe"	"L3"	16.17
"G200"	"Ravenshoe"	"L3"	16.95
"G201"	"Ravenshoe"	"L3"	14.66
"G202"	"Ravenshoe"	"L3"	15.36
"G269"	"Atherton"	"L3"	16.1
"G270"	"Atherton"	"L3"	17.53
"G271"	"Atherton"	"L3"	16.77
"G272"	"Atherton"	"L3"	19.34
"G273"	"Atherton"	"L3"	16.66
"G274"	"Atherton"	"L3"	16.42
"G275"	"Atherton"	"L3"	16.49
"G276"	"Atherton"	"L3"	18.24
"G277"	"Atherton"	"L3"	16.13
"G278"	"Atherton"	"L3"	16.55
"G292"	"Atherton"	"L3"	16.2
"G293"	"Atherton"	"L3"	16.23
"G294"	"Atherton"	"L3"	16.03
"G295"	"Atherton"	"L3"	18.01
"G296"	"Atherton"	"L3"	16.08
"G297"	"Atherton"	"L3"	19.2
"G298"	"Atherton"	"L3"	15
"G299"	"Atherton"	"L3"	17.92
"G300"	"Atherton"	"L3"	17.35
"G301"	"Atherton"	"L3"	17.24
"G302"	"Atherton"	"L3"	17
"G303"	"Atherton"	"L3"	16.35
"G304"	"Atherton"	"L3"	17.21
"G305"	"Atherton"	"L3"	20.32
"G306"	"Atherton"	"L3"	18.88
"G662"	"Bellthorpe"	"L3"	19.18
"G663"	"Bellthorpe"	"L3"	15.43
"G664"	"Bellthorpe"	"L3"	18.22
"G665"	"Bellthorpe"	"L3"	18.62
"G666"	"Bellthorpe"	"L3"	17.32
"G667"	"Bellthorpe"	"L3"	17.55
"G668"	"Bellthorpe"	"L3"	17.55
"G669"	"Bellthorpe"	"L3"	17.26
"G670"	"Bellthorpe"	"L3"	15.64
"G671"	"Bellthorpe"	"L3"	18.09
"G672"	"Bellthorpe"	"L3"	17.67
"G673"	"Bellthorpe"	"L3"	17.8
"G674"	"Bellthorpe"	"L3"	17.3
"G675"	"Bellthorpe"	"L3"	17.79
"G676"	"Bellthorpe"	"L3"	16.9
"G677"	"Bellthorpe"	"L3"	17.11
"G678"	"Bellthorpe"	"L3"	17.37
"G679"	"Bellthorpe"	"L3"	18.14
"G680"	"Bellthorpe"	"L3"	18.2
"G681"	"Bellthorpe"	"L3"	16.62
"G682"	"Bellthorpe"	"L3"	14.2
"G683"	"Bellthorpe"	"L3"	16.49
"G684"	"Bellthorpe"	"L3"	16.01
"G685"	"Bellthorpe"	"L3"	15.36
"G686"	"Bellthorpe"	"L3"	16.39
"G183"	"Ravenshoe"	"L4"	20.61
"G184"	"Ravenshoe"	"L4"	20.44
"G185"	"Ravenshoe"	"L4"	18.91
"G186"	"Ravenshoe"	"L4"	16.55
"G187"	"Ravenshoe"	"L4"	16.57
"G188"	"Ravenshoe"	"L4"	19.08
"G189"	"Ravenshoe"	"L4"	15.06
"G190"	"Ravenshoe"	"L4"	18.16
"G191"	"Ravenshoe"	"L4"	18.96
"G192"	"Ravenshoe"	"L4"	18.94
"G193"	"Ravenshoe"	"L4"	17.17
"G194"	"Ravenshoe"	"L4"	18.19
"G195"	"Ravenshoe"	"L4"	18.78
"G196"	"Ravenshoe"	"L4"	20.2
"G197"	"Ravenshoe"	"L4"	17.91
"G198"	"Ravenshoe"	"L4"	19.08
"G199"	"Ravenshoe"	"L4"	18.91
"G200"	"Ravenshoe"	"L4"	18.56
"G201"	"Ravenshoe"	"L4"	15.68
"G202"	"Ravenshoe"	"L4"	16.46
"G269"	"Atherton"	"L4"	19.08
"G270"	"Atherton"	"L4"	18.6
"G271"	"Atherton"	"L4"	19.15
"G272"	"Atherton"	"L4"	19.75
"G273"	"Atherton"	"L4"	16.31
"G274"	"Atherton"	"L4"	20
"G275"	"Atherton"	"L4"	18.68
"G276"	"Atherton"	"L4"	20.68
"G277"	"Atherton"	"L4"	18.54
"G278"	"Atherton"	"L4"	18.53
"G292"	"Atherton"	"L4"	19.54
"G293"	"Atherton"	"L4"	16
"G294"	"Atherton"	"L4"	18.64
"G295"	"Atherton"	"L4"	19.3
"G296"	"Atherton"	"L4"	17.74
"G297"	"Atherton"	"L4"	20.66
"G298"	"Atherton"	"L4"	16.65
"G299"	"Atherton"	"L4"	20.25
"G300"	"Atherton"	"L4"	20.6
"G301"	"Atherton"	"L4"	19.15
"G302"	"Atherton"	"L4"	14.48
"G303"	"Atherton"	"L4"	20.41
"G304"	"Atherton"	"L4"	18.15
"G305"	"Atherton"	"L4"	20.14
"G306"	"Atherton"	"L4"	18.21
"G662"	"Bellthorpe"	"L4"	19.61
"G663"	"Bellthorpe"	"L4"	17.46
"G664"	"Bellthorpe"	"L4"	19.22
"G665"	"Bellthorpe"	"L4"	19.78
"G666"	"Bellthorpe"	"L4"	19.64
"G667"	"Bellthorpe"	"L4"	21.41
"G668"	"Bellthorpe"	"L4"	19.63
"G669"	"Bellthorpe"	"L4"	19.65
"G670"	"Bellthorpe"	"L4"	19.17
"G671"	"Bellthorpe"	"L4"	20.93
"G672"	"Bellthorpe"	"L4"	20.51
"G673"	"Bellthorpe"	"L4"	20.31
"G674"	"Bellthorpe"	"L4"	19.99
"G675"	"Bellthorpe"	"L4"	18.62
"G676"	"Bellthorpe"	"L4"	19.18
"G677"	"Bellthorpe"	"L4"	18.29
"G678"	"Bellthorpe"	"L4"	18.83
"G679"	"Bellthorpe"	"L4"	19.85
"G680"	"Bellthorpe"	"L4"	20.9
"G681"	"Bellthorpe"	"L4"	19.62
"G682"	"Bellthorpe"	"L4"	14.18
"G683"	"Bellthorpe"	"L4"	18.03
"G684"	"Bellthorpe"	"L4"	18.28
"G685"	"Bellthorpe"	"L4"	15.1
"G686"	"Bellthorpe"	"L4"	20.18
"G183"	"Ravenshoe"	"L5"	13.88
"G184"	"Ravenshoe"	"L5"	13.1
"G185"	"Ravenshoe"	"L5"	12.86
"G186"	"Ravenshoe"	"L5"	11.92
"G187"	"Ravenshoe"	"L5"	10.97
"G188"	"Ravenshoe"	"L5"	11.91
"G189"	"Ravenshoe"	"L5"	12.47
"G190"	"Ravenshoe"	"L5"	13.66
"G191"	"Ravenshoe"	"L5"	13.54
"G192"	"Ravenshoe"	"L5"	13.71
"G193"	"Ravenshoe"	"L5"	13.55
"G194"	"Ravenshoe"	"L5"	12.62
"G195"	"Ravenshoe"	"L5"	11.92
"G196"	"Ravenshoe"	"L5"	13.29
"G197"	"Ravenshoe"	"L5"	12.75
"G198"	"Ravenshoe"	"L5"	12.8
"G199"	"Ravenshoe"	"L5"	14.42
"G200"	"Ravenshoe"	"L5"	12.5
"G201"	"Ravenshoe"	"L5"	10.6
"G202"	"Ravenshoe"	"L5"	12.51
"G269"	"Atherton"	"L5"	12.83
"G270"	"Atherton"	"L5"	11.98
"G271"	"Atherton"	"L5"	11.57
"G272"	"Atherton"	"L5"	13.87
"G273"	"Atherton"	"L5"	11.95
"G274"	"Atherton"	"L5"	12.75
"G275"	"Atherton"	"L5"	11.37
"G276"	"Atherton"	"L5"	13.27
"G277"	"Atherton"	"L5"	11.95
"G278"	"Atherton"	"L5"	12.53
"G292"	"Atherton"	"L5"	12.99
"G293"	"Atherton"	"L5"	10.53
"G294"	"Atherton"	"L5"	12.73
"G295"	"Atherton"	"L5"	13.91
"G296"	"Atherton"	"L5"	13.53
"G297"	"Atherton"	"L5"	12.46
"G298"	"Atherton"	"L5"	10.75
"G299"	"Atherton"	"L5"	13.05
"G300"	"Atherton"	"L5"	12.21
"G301"	"Atherton"	"L5"	10.9
"G302"	"Atherton"	"L5"	10.61
"G303"	"Atherton"	"L5"	13.28
"G304"	"Atherton"	"L5"	11.85
"G305"	"Atherton"	"L5"	13.31
"G306"	"Atherton"	"L5"	13.87
"G662"	"Bellthorpe"	"L5"	12
"G663"	"Bellthorpe"	"L5"	10.42
"G664"	"Bellthorpe"	"L5"	13.05
"G665"	"Bellthorpe"	"L5"	12.08
"G666"	"Bellthorpe"	"L5"	13.25
"G667"	"Bellthorpe"	"L5"	13.71
"G668"	"Bellthorpe"	"L5"	12.7
"G669"	"Bellthorpe"	"L5"	11.85
"G670"	"Bellthorpe"	"L5"	11.11
"G671"	"Bellthorpe"	"L5"	13.98
"G672"	"Bellthorpe"	"L5"	13.1
"G673"	"Bellthorpe"	"L5"	12.88
"G674"	"Bellthorpe"	"L5"	12.2
"G675"	"Bellthorpe"	"L5"	12.65
"G676"	"Bellthorpe"	"L5"	13.11
"G677"	"Bellthorpe"	"L5"	14
"G678"	"Bellthorpe"	"L5"	13.04
"G679"	"Bellthorpe"	"L5"	13.96
"G680"	"Bellthorpe"	"L5"	13.37
"G681"	"Bellthorpe"	"L5"	12.76
"G682"	"Bellthorpe"	"L5"	11.11
"G683"	"Bellthorpe"	"L5"	12.05
"G684"	"Bellthorpe"	"L5"	12.97
"G685"	"Bellthorpe"	"L5"	10.59
"G686"	"Bellthorpe"	"L5"	12.61
"G183"	"Ravenshoe"	"L6"	19.84
"G184"	"Ravenshoe"	"L6"	17.77
"G185"	"Ravenshoe"	"L6"	17.93
"G186"	"Ravenshoe"	"L6"	17.7
"G187"	"Ravenshoe"	"L6"	18.06
"G188"	"Ravenshoe"	"L6"	19.22
"G189"	"Ravenshoe"	"L6"	17.01
"G190"	"Ravenshoe"	"L6"	19.72
"G191"	"Ravenshoe"	"L6"	18.69
"G192"	"Ravenshoe"	"L6"	19.38
"G193"	"Ravenshoe"	"L6"	19.12
"G194"	"Ravenshoe"	"L6"	18.17
"G195"	"Ravenshoe"	"L6"	17.88
"G196"	"Ravenshoe"	"L6"	19.31
"G197"	"Ravenshoe"	"L6"	19.71
"G198"	"Ravenshoe"	"L6"	19.44
"G199"	"Ravenshoe"	"L6"	20.24
"G200"	"Ravenshoe"	"L6"	18.82
"G201"	"Ravenshoe"	"L6"	16.1
"G202"	"Ravenshoe"	"L6"	16.89
"G269"	"Atherton"	"L6"	17.32
"G270"	"Atherton"	"L6"	17.74
"G271"	"Atherton"	"L6"	18.07
"G272"	"Atherton"	"L6"	18
"G273"	"Atherton"	"L6"	17.26
"G274"	"Atherton"	"L6"	18.47
"G275"	"Atherton"	"L6"	18.88
"G276"	"Atherton"	"L6"	19.91
"G277"	"Atherton"	"L6"	17.88
"G278"	"Atherton"	"L6"	16.98
"G292"	"Atherton"	"L6"	19.62
"G293"	"Atherton"	"L6"	18.72
"G294"	"Atherton"	"L6"	17.8
"G295"	"Atherton"	"L6"	17.89
"G296"	"Atherton"	"L6"	18.09
"G297"	"Atherton"	"L6"	19.82
"G298"	"Atherton"	"L6"	18.27
"G299"	"Atherton"	"L6"	18.7
"G300"	"Atherton"	"L6"	18.31
"G301"	"Atherton"	"L6"	17.16
"G302"	"Atherton"	"L6"	16.95
"G303"	"Atherton"	"L6"	18.38
"G304"	"Atherton"	"L6"	17.87
"G305"	"Atherton"	"L6"	19.32
"G306"	"Atherton"	"L6"	20.47
"G662"	"Bellthorpe"	"L6"	19.2
"G663"	"Bellthorpe"	"L6"	16.76
"G664"	"Bellthorpe"	"L6"	18.89
"G665"	"Bellthorpe"	"L6"	17.59
"G666"	"Bellthorpe"	"L6"	18.81
"G667"	"Bellthorpe"	"L6"	19.23
"G668"	"Bellthorpe"	"L6"	19.65
"G669"	"Bellthorpe"	"L6"	18.12
"G670"	"Bellthorpe"	"L6"	19.16
"G671"	"Bellthorpe"	"L6"	19.56
"G672"	"Bellthorpe"	"L6"	18.78
"G673"	"Bellthorpe"	"L6"	19.64
"G674"	"Bellthorpe"	"L6"	18.93
"G675"	"Bellthorpe"	"L6"	19.05
"G676"	"Bellthorpe"	"L6"	19.84
"G677"	"Bellthorpe"	"L6"	18.77
"G678"	"Bellthorpe"	"L6"	18.21
"G679"	"Bellthorpe"	"L6"	19.18
"G680"	"Bellthorpe"	"L6"	19.1
"G681"	"Bellthorpe"	"L6"	18.54
"G682"	"Bellthorpe"	"L6"	17.84
"G683"	"Bellthorpe"	"L6"	18.85
"G684"	"Bellthorpe"	"L6"	19.38
"G685"	"Bellthorpe"	"L6"	18.09
"G686"	"Bellthorpe"	"L6"	19.12
"G183"	"Ravenshoe"	"L7"	14.72
"G184"	"Ravenshoe"	"L7"	14.44
"G185"	"Ravenshoe"	"L7"	13.43
"G186"	"Ravenshoe"	"L7"	13.03
"G187"	"Ravenshoe"	"L7"	13.03
"G188"	"Ravenshoe"	"L7"	13.17
"G189"	"Ravenshoe"	"L7"	11.14
"G190"	"Ravenshoe"	"L7"	14.37
"G191"	"Ravenshoe"	"L7"	14.06
"G192"	"Ravenshoe"	"L7"	14.98
"G193"	"Ravenshoe"	"L7"	13.13
"G194"	"Ravenshoe"	"L7"	13.52
"G195"	"Ravenshoe"	"L7"	13.24
"G196"	"Ravenshoe"	"L7"	13.6
"G197"	"Ravenshoe"	"L7"	12.49
"G198"	"Ravenshoe"	"L7"	13.78
"G199"	"Ravenshoe"	"L7"	13.32
"G200"	"Ravenshoe"	"L7"	14.33
"G201"	"Ravenshoe"	"L7"	11.98
"G202"	"Ravenshoe"	"L7"	12.07
"G269"	"Atherton"	"L7"	13.71
"G270"	"Atherton"	"L7"	12.46
"G271"	"Atherton"	"L7"	13.63
"G272"	"Atherton"	"L7"	14.49
"G273"	"Atherton"	"L7"	12.22
"G274"	"Atherton"	"L7"	13.56
"G275"	"Atherton"	"L7"	13.92
"G276"	"Atherton"	"L7"	14.48
"G277"	"Atherton"	"L7"	12.98
"G278"	"Atherton"	"L7"	13.03
"G292"	"Atherton"	"L7"	14.01
"G293"	"Atherton"	"L7"	12.62
"G294"	"Atherton"	"L7"	13.51
"G295"	"Atherton"	"L7"	13.88
"G296"	"Atherton"	"L7"	13.44
"G297"	"Atherton"	"L7"	15.04
"G298"	"Atherton"	"L7"	11.81
"G299"	"Atherton"	"L7"	15.03
"G300"	"Atherton"	"L7"	14.62
"G301"	"Atherton"	"L7"	12.16
"G302"	"Atherton"	"L7"	10.93
"G303"	"Atherton"	"L7"	13.91
"G304"	"Atherton"	"L7"	12.76
"G305"	"Atherton"	"L7"	13.96
"G306"	"Atherton"	"L7"	13.76
"G662"	"Bellthorpe"	"L7"	13.45
"G663"	"Bellthorpe"	"L7"	15.1
"G664"	"Bellthorpe"	"L7"	14.2
"G665"	"Bellthorpe"	"L7"	14.52
"G666"	"Bellthorpe"	"L7"	14.67
"G667"	"Bellthorpe"	"L7"	14.67
"G668"	"Bellthorpe"	"L7"	14.37
"G669"	"Bellthorpe"	"L7"	13.8
"G670"	"Bellthorpe"	"L7"	13.86
"G671"	"Bellthorpe"	"L7"	14.5
"G672"	"Bellthorpe"	"L7"	15.11
"G673"	"Bellthorpe"	"L7"	14.92
"G674"	"Bellthorpe"	"L7"	13.76
"G675"	"Bellthorpe"	"L7"	13.71
"G676"	"Bellthorpe"	"L7"	13.65
"G677"	"Bellthorpe"	"L7"	13.44
"G678"	"Bellthorpe"	"L7"	13.89
"G679"	"Bellthorpe"	"L7"	14.31
"G680"	"Bellthorpe"	"L7"	14.63
"G681"	"Bellthorpe"	"L7"	14.62
"G682"	"Bellthorpe"	"L7"	14.57
"G683"	"Bellthorpe"	"L7"	12.48
"G684"	"Bellthorpe"	"L7"	13.39
"G685"	"Bellthorpe"	"L7"	12.75
"G686"	"Bellthorpe"	"L7"	13.7
