"loc"	"gen"	"rep"	"dmr"
"L1"	"G66"	"R1"	2.5
"L1"	"G66"	"R2"	2
"L1"	"G67"	"R1"	2
"L1"	"G67"	"R2"	2
"L1"	"G68"	"R1"	4.5
"L1"	"G68"	"R2"	4
"L1"	"G69"	"R1"	3.5
"L1"	"G69"	"R2"	3
"L1"	"G70"	"R1"	4
"L1"	"G70"	"R2"	2.5
"L1"	"G71"	"R1"	3.5
"L1"	"G71"	"R2"	2.5
"L1"	"G72"	"R1"	3.5
"L1"	"G72"	"R2"	2.5
"L1"	"G73"	"R1"	3.5
"L1"	"G73"	"R2"	2.5
"L1"	"G74"	"R1"	1
"L1"	"G74"	"R2"	1.5
"L1"	"G75"	"R1"	2
"L1"	"G75"	"R2"	1.5
"L1"	"G76"	"R1"	3.5
"L1"	"G76"	"R2"	3.5
"L1"	"G77"	"R1"	3.5
"L1"	"G77"	"R2"	2
"L1"	"G78"	"R1"	3.5
"L1"	"G78"	"R2"	3
"L1"	"G79"	"R1"	3.5
"L1"	"G79"	"R2"	2.5
"L1"	"G80"	"R1"	4
"L1"	"G80"	"R2"	3
"L1"	"G82"	"R1"	4
"L1"	"G82"	"R2"	2
"L1"	"G83"	"R1"	4
"L1"	"G83"	"R2"	2.5
"L1"	"G84"	"R1"	2
"L1"	"G84"	"R2"	3.5
"L1"	"G85"	"R1"	4
"L1"	"G85"	"R2"	3.5
"L1"	"G86"	"R1"	3
"L1"	"G86"	"R2"	2.5
"L1"	"G87"	"R1"	3.5
"L1"	"G87"	"R2"	2.5
"L1"	"G88"	"R1"	3.5
"L1"	"G88"	"R2"	2
"L1"	"G89"	"R1"	2.5
"L1"	"G89"	"R2"	1
"L2"	"G1"	"R1"	2
"L2"	"G1"	"R2"	1.5
"L2"	"G1"	"R3"	2
"L2"	"G2"	"R1"	2
"L2"	"G2"	"R2"	2
"L2"	"G2"	"R3"	1.5
"L2"	"G3"	"R1"	1.5
"L2"	"G3"	"R2"	2
"L2"	"G3"	"R3"	2.5
"L2"	"G4"	"R1"	3.5
"L2"	"G4"	"R2"	2.5
"L2"	"G4"	"R3"	4
"L2"	"G5"	"R1"	2.5
"L2"	"G5"	"R2"	2
"L2"	"G5"	"R3"	1.5
"L2"	"G6"	"R1"	2.5
"L2"	"G6"	"R2"	3
"L2"	"G6"	"R3"	2.5
"L2"	"G7"	"R1"	2
"L2"	"G7"	"R2"	2.5
"L2"	"G7"	"R3"	2.5
"L2"	"G8"	"R1"	2.5
"L2"	"G8"	"R2"	2.5
"L2"	"G8"	"R3"	3
"L2"	"G9"	"R1"	3
"L2"	"G9"	"R2"	2.5
"L2"	"G9"	"R3"	2.5
"L2"	"G10"	"R1"	3.5
"L2"	"G10"	"R2"	3.5
"L2"	"G10"	"R3"	4
"L2"	"G11"	"R1"	2
"L2"	"G11"	"R2"	2
"L2"	"G11"	"R3"	2
"L2"	"G12"	"R1"	3
"L2"	"G12"	"R2"	2.5
"L2"	"G12"	"R3"	3
"L2"	"G13"	"R1"	1.5
"L2"	"G13"	"R2"	2
"L2"	"G13"	"R3"	2
"L2"	"G14"	"R1"	2.5
"L2"	"G14"	"R2"	2
"L2"	"G14"	"R3"	2
"L2"	"G15"	"R1"	2
"L2"	"G15"	"R2"	2.5
"L2"	"G15"	"R3"	2
"L2"	"G16"	"R1"	2.5
"L2"	"G16"	"R2"	3
"L2"	"G16"	"R3"	2.5
"L2"	"G17"	"R1"	3.5
"L2"	"G17"	"R2"	3.5
"L2"	"G17"	"R3"	2.5
"L2"	"G18"	"R1"	3.5
"L2"	"G18"	"R2"	2.5
"L2"	"G18"	"R3"	3.5
"L2"	"G19"	"R1"	2
"L2"	"G19"	"R2"	2
"L2"	"G19"	"R3"	2
"L2"	"G20"	"R1"	3
"L2"	"G20"	"R2"	3.5
"L2"	"G20"	"R3"	3.5
"L2"	"G21"	"R1"	4
"L2"	"G21"	"R2"	3.5
"L2"	"G21"	"R3"	2.5
"L2"	"G22"	"R1"	2
"L2"	"G22"	"R2"	2.5
"L2"	"G22"	"R3"	2
"L2"	"G23"	"R1"	4
"L2"	"G23"	"R2"	4
"L2"	"G23"	"R3"	4
"L2"	"G24"	"R1"	2.5
"L2"	"G24"	"R2"	2
"L2"	"G24"	"R3"	1.5
"L2"	"G25"	"R1"	2
"L2"	"G25"	"R2"	2
"L2"	"G25"	"R3"	2.5
"L2"	"G26"	"R1"	2.5
"L2"	"G26"	"R2"	2
"L2"	"G26"	"R3"	2.5
"L2"	"G27"	"R1"	2.5
"L2"	"G27"	"R2"	2
"L2"	"G27"	"R3"	1.5
"L2"	"G28"	"R1"	2.5
"L2"	"G28"	"R2"	2
"L2"	"G28"	"R3"	1.5
"L2"	"G29"	"R1"	2.5
"L2"	"G29"	"R2"	2
"L2"	"G29"	"R3"	2.5
"L2"	"G30"	"R1"	1.5
"L2"	"G30"	"R2"	2
"L2"	"G30"	"R3"	1.5
"L2"	"G31"	"R1"	1.5
"L2"	"G31"	"R2"	2.5
"L2"	"G31"	"R3"	2.5
"L2"	"G32"	"R1"	2
"L2"	"G32"	"R2"	2.5
"L2"	"G32"	"R3"	3
"L2"	"G33"	"R1"	3.5
"L2"	"G33"	"R2"	3
"L2"	"G33"	"R3"	3
"L2"	"G34"	"R1"	2
"L2"	"G34"	"R2"	2
"L2"	"G34"	"R3"	2
"L2"	"G35"	"R1"	2.5
"L2"	"G35"	"R2"	1.5
"L2"	"G35"	"R3"	3
"L2"	"G36"	"R1"	3
"L2"	"G36"	"R2"	3
"L2"	"G36"	"R3"	3
"L2"	"G37"	"R1"	2.5
"L2"	"G37"	"R2"	2.5
"L2"	"G37"	"R3"	2
"L2"	"G38"	"R1"	1.5
"L2"	"G38"	"R2"	2
"L2"	"G38"	"R3"	2
"L2"	"G39"	"R1"	3
"L2"	"G39"	"R2"	1.5
"L2"	"G39"	"R3"	2
"L2"	"G40"	"R1"	2
"L2"	"G40"	"R2"	2
"L2"	"G40"	"R3"	2
"L2"	"G41"	"R1"	2
"L2"	"G41"	"R2"	1.5
"L2"	"G41"	"R3"	2
"L2"	"G42"	"R1"	2.5
"L2"	"G42"	"R2"	2.5
"L2"	"G42"	"R3"	3
"L2"	"G43"	"R1"	2
"L2"	"G43"	"R2"	2
"L2"	"G43"	"R3"	2.5
"L2"	"G44"	"R1"	1
"L2"	"G44"	"R2"	2.5
"L2"	"G44"	"R3"	1.5
"L2"	"G45"	"R1"	2.5
"L2"	"G45"	"R2"	2
"L2"	"G45"	"R3"	2
"L2"	"G46"	"R1"	3
"L2"	"G46"	"R2"	2
"L2"	"G46"	"R3"	2.5
"L2"	"G47"	"R1"	2
"L2"	"G47"	"R2"	2.5
"L2"	"G47"	"R3"	3
"L2"	"G48"	"R1"	2
"L2"	"G48"	"R2"	2
"L2"	"G48"	"R3"	2
"L2"	"G49"	"R1"	3.5
"L2"	"G49"	"R2"	3.5
"L2"	"G49"	"R3"	4
"L2"	"G50"	"R1"	3.5
"L2"	"G50"	"R2"	3
"L2"	"G50"	"R3"	3.5
"L2"	"G51"	"R1"	2
"L2"	"G51"	"R2"	2
"L2"	"G51"	"R3"	3
"L2"	"G52"	"R1"	2
"L2"	"G52"	"R2"	1.5
"L2"	"G52"	"R3"	2
"L2"	"G53"	"R1"	3
"L2"	"G53"	"R2"	3
"L2"	"G53"	"R3"	2.5
"L2"	"G54"	"R1"	2.5
"L2"	"G54"	"R2"	2
"L2"	"G54"	"R3"	2
"L2"	"G55"	"R1"	2
"L2"	"G55"	"R2"	2.5
"L2"	"G55"	"R3"	3
"L2"	"G56"	"R1"	3.5
"L2"	"G56"	"R2"	3
"L2"	"G56"	"R3"	3.5
"L2"	"G57"	"R1"	2
"L2"	"G57"	"R2"	2
"L2"	"G57"	"R3"	2
"L2"	"G58"	"R1"	2
"L2"	"G58"	"R2"	1
"L2"	"G58"	"R3"	2
"L2"	"G59"	"R1"	3.5
"L2"	"G59"	"R2"	3
"L2"	"G59"	"R3"	3
"L2"	"G60"	"R1"	3
"L2"	"G60"	"R2"	2
"L2"	"G60"	"R3"	3
"L2"	"G61"	"R1"	2.5
"L2"	"G61"	"R2"	2
"L2"	"G61"	"R3"	2.5
"L2"	"G62"	"R1"	3
"L2"	"G62"	"R2"	3
"L2"	"G62"	"R3"	3
"L2"	"G63"	"R1"	2.5
"L2"	"G63"	"R2"	1.5
"L2"	"G63"	"R3"	2
"L2"	"G64"	"R1"	2
"L2"	"G64"	"R2"	1.5
"L2"	"G64"	"R3"	2
"L2"	"G65"	"R1"	2.5
"L2"	"G65"	"R2"	1.5
"L2"	"G65"	"R3"	1.5
"L2"	"G66"	"R1"	2.5
"L2"	"G66"	"R2"	1.5
"L2"	"G66"	"R3"	1.5
"L2"	"G67"	"R1"	2.5
"L2"	"G67"	"R2"	2
"L2"	"G67"	"R3"	2.5
"L2"	"G68"	"R1"	4
"L2"	"G68"	"R2"	4
"L2"	"G68"	"R3"	4
"L2"	"G69"	"R1"	2.5
"L2"	"G69"	"R2"	1.5
"L2"	"G69"	"R3"	2
"L2"	"G70"	"R1"	2.5
"L2"	"G70"	"R2"	2
"L2"	"G70"	"R3"	2.5
"L2"	"G71"	"R1"	2
"L2"	"G71"	"R2"	2.5
"L2"	"G71"	"R3"	2
"L2"	"G72"	"R1"	1.5
"L2"	"G72"	"R2"	2.5
"L2"	"G72"	"R3"	1.5
"L2"	"G73"	"R1"	3
"L2"	"G73"	"R2"	2.5
"L2"	"G73"	"R3"	2.5
"L2"	"G74"	"R1"	2.5
"L2"	"G74"	"R2"	2
"L2"	"G74"	"R3"	2
"L2"	"G75"	"R1"	2.5
"L2"	"G75"	"R2"	2
"L2"	"G75"	"R3"	1.5
"L2"	"G76"	"R1"	2
"L2"	"G76"	"R2"	3
"L2"	"G76"	"R3"	3
"L2"	"G77"	"R1"	3
"L2"	"G77"	"R2"	2.5
"L2"	"G77"	"R3"	2
"L2"	"G78"	"R1"	2.5
"L2"	"G78"	"R2"	1.5
"L2"	"G78"	"R3"	2.5
"L2"	"G79"	"R1"	2.5
"L2"	"G79"	"R2"	2
"L2"	"G79"	"R3"	2
"L2"	"G80"	"R1"	2.5
"L2"	"G80"	"R2"	3
"L2"	"G80"	"R3"	2.5
"L2"	"G81"	"R1"	2.5
"L2"	"G81"	"R2"	2
"L2"	"G81"	"R3"	2.5
"L2"	"G82"	"R1"	2
"L2"	"G82"	"R2"	2
"L2"	"G82"	"R3"	2
"L2"	"G83"	"R1"	3
"L2"	"G83"	"R2"	2
"L2"	"G83"	"R3"	3
"L2"	"G84"	"R1"	2
"L2"	"G84"	"R2"	2
"L2"	"G84"	"R3"	1.5
"L2"	"G85"	"R1"	2
"L2"	"G85"	"R2"	2.5
"L2"	"G85"	"R3"	2.5
"L2"	"G86"	"R1"	2
"L2"	"G86"	"R2"	2
"L2"	"G86"	"R3"	2
"L2"	"G87"	"R1"	2
"L2"	"G87"	"R2"	2
"L2"	"G87"	"R3"	2.5
"L2"	"G88"	"R1"	2
"L2"	"G88"	"R2"	2
"L2"	"G88"	"R3"	2
"L2"	"G89"	"R1"	1.5
"L2"	"G89"	"R2"	2
"L2"	"G89"	"R3"	1.5
"L3"	"G1"	"R1"	3
"L3"	"G1"	"R2"	2.5
"L3"	"G1"	"R3"	3
"L3"	"G2"	"R1"	2.5
"L3"	"G2"	"R2"	2.5
"L3"	"G2"	"R3"	2.5
"L3"	"G3"	"R1"	3
"L3"	"G3"	"R2"	3
"L3"	"G3"	"R3"	3
"L3"	"G4"	"R1"	4
"L3"	"G4"	"R2"	4
"L3"	"G4"	"R3"	4
"L3"	"G5"	"R1"	2.5
"L3"	"G5"	"R2"	2.5
"L3"	"G5"	"R3"	3
"L3"	"G6"	"R1"	3
"L3"	"G6"	"R2"	3.5
"L3"	"G6"	"R3"	3.5
"L3"	"G7"	"R1"	3
"L3"	"G7"	"R2"	3
"L3"	"G7"	"R3"	3
"L3"	"G8"	"R1"	3.5
"L3"	"G8"	"R2"	3.5
"L3"	"G8"	"R3"	3.5
"L3"	"G9"	"R1"	3.5
"L3"	"G9"	"R2"	3.5
"L3"	"G9"	"R3"	3.5
"L3"	"G10"	"R1"	4.5
"L3"	"G10"	"R2"	4
"L3"	"G10"	"R3"	4
"L3"	"G11"	"R1"	2.5
"L3"	"G11"	"R2"	3
"L3"	"G11"	"R3"	3
"L3"	"G12"	"R1"	3
"L3"	"G12"	"R2"	3.5
"L3"	"G12"	"R3"	3
"L3"	"G13"	"R1"	3.5
"L3"	"G13"	"R2"	3.5
"L3"	"G13"	"R3"	3.5
"L3"	"G14"	"R1"	2
"L3"	"G14"	"R2"	3
"L3"	"G14"	"R3"	3
"L3"	"G15"	"R1"	3
"L3"	"G15"	"R2"	3.5
"L3"	"G15"	"R3"	3
"L3"	"G16"	"R1"	3.5
"L3"	"G16"	"R2"	3.5
"L3"	"G16"	"R3"	3.5
"L3"	"G17"	"R1"	4
"L3"	"G17"	"R2"	3.5
"L3"	"G17"	"R3"	4
"L3"	"G18"	"R1"	3
"L3"	"G18"	"R2"	3
"L3"	"G18"	"R3"	3
"L3"	"G19"	"R1"	3
"L3"	"G19"	"R2"	3
"L3"	"G19"	"R3"	3.5
"L3"	"G20"	"R1"	3.5
"L3"	"G20"	"R2"	4.5
"L3"	"G20"	"R3"	3.5
"L3"	"G21"	"R1"	3.5
"L3"	"G21"	"R2"	4
"L3"	"G21"	"R3"	4
"L3"	"G22"	"R1"	2.5
"L3"	"G22"	"R2"	3
"L3"	"G22"	"R3"	2.5
"L3"	"G23"	"R1"	4
"L3"	"G23"	"R2"	4
"L3"	"G23"	"R3"	4
"L3"	"G24"	"R1"	3
"L3"	"G24"	"R2"	3
"L3"	"G24"	"R3"	3
"L3"	"G25"	"R1"	3.5
"L3"	"G25"	"R2"	3
"L3"	"G25"	"R3"	3
"L3"	"G26"	"R1"	2.5
"L3"	"G26"	"R2"	3
"L3"	"G26"	"R3"	3
"L3"	"G27"	"R1"	2.5
"L3"	"G27"	"R2"	3
"L3"	"G27"	"R3"	3
"L3"	"G28"	"R1"	3
"L3"	"G28"	"R2"	3
"L3"	"G28"	"R3"	2.5
"L3"	"G29"	"R1"	3.5
"L3"	"G29"	"R2"	3.5
"L3"	"G29"	"R3"	3
"L3"	"G30"	"R1"	3
"L3"	"G30"	"R2"	3
"L3"	"G30"	"R3"	3
"L3"	"G31"	"R1"	2.5
"L3"	"G31"	"R2"	2.5
"L3"	"G31"	"R3"	3
"L3"	"G32"	"R1"	3
"L3"	"G32"	"R2"	3
"L3"	"G32"	"R3"	3.5
"L3"	"G33"	"R1"	3
"L3"	"G33"	"R2"	3.5
"L3"	"G33"	"R3"	3.5
"L3"	"G34"	"R1"	3
"L3"	"G34"	"R2"	3
"L3"	"G34"	"R3"	3.5
"L3"	"G35"	"R1"	2.5
"L3"	"G35"	"R2"	3.5
"L3"	"G35"	"R3"	3.5
"L3"	"G36"	"R1"	2.5
"L3"	"G36"	"R2"	3
"L3"	"G36"	"R3"	3
"L3"	"G37"	"R1"	3.5
"L3"	"G37"	"R2"	3
"L3"	"G37"	"R3"	3
"L3"	"G38"	"R3"	3
"L3"	"G38"	"R1"	NA
"L3"	"G38"	"R2"	NA
"L3"	"G39"	"R1"	3.5
"L3"	"G39"	"R2"	3.5
"L3"	"G39"	"R3"	3.5
"L3"	"G40"	"R1"	2.5
"L3"	"G40"	"R2"	2.5
"L3"	"G40"	"R3"	3.5
"L3"	"G41"	"R1"	3
"L3"	"G41"	"R2"	3
"L3"	"G41"	"R3"	3
"L3"	"G42"	"R1"	3.5
"L3"	"G42"	"R2"	3.5
"L3"	"G42"	"R3"	3
"L3"	"G43"	"R1"	3
"L3"	"G43"	"R2"	3.5
"L3"	"G43"	"R3"	3.5
"L3"	"G44"	"R1"	3.5
"L3"	"G44"	"R2"	3.5
"L3"	"G44"	"R3"	3.5
"L3"	"G45"	"R1"	2.5
"L3"	"G45"	"R2"	3
"L3"	"G45"	"R3"	3.5
"L3"	"G46"	"R1"	3
"L3"	"G46"	"R2"	3
"L3"	"G46"	"R3"	3.5
"L3"	"G47"	"R1"	3.5
"L3"	"G47"	"R2"	3.5
"L3"	"G47"	"R3"	3.5
"L3"	"G48"	"R1"	2
"L3"	"G48"	"R2"	2.5
"L3"	"G48"	"R3"	2.5
"L3"	"G49"	"R1"	3.5
"L3"	"G49"	"R2"	3.5
"L3"	"G49"	"R3"	3.5
"L3"	"G50"	"R1"	4
"L3"	"G50"	"R2"	3.5
"L3"	"G50"	"R3"	3.5
"L3"	"G51"	"R1"	3
"L3"	"G51"	"R2"	3
"L3"	"G51"	"R3"	3
"L3"	"G52"	"R1"	3
"L3"	"G52"	"R2"	3
"L3"	"G52"	"R3"	3
"L3"	"G53"	"R1"	3.5
"L3"	"G53"	"R2"	3.5
"L3"	"G53"	"R3"	3.5
"L3"	"G54"	"R1"	3.5
"L3"	"G54"	"R2"	3.5
"L3"	"G54"	"R3"	3.5
"L3"	"G55"	"R1"	3.5
"L3"	"G55"	"R2"	4
"L3"	"G55"	"R3"	3.5
"L3"	"G56"	"R1"	4
"L3"	"G56"	"R2"	3.5
"L3"	"G56"	"R3"	4
"L3"	"G57"	"R1"	2.5
"L3"	"G57"	"R2"	3
"L3"	"G57"	"R3"	3
"L3"	"G58"	"R1"	2.5
"L3"	"G58"	"R2"	2.5
"L3"	"G58"	"R3"	3.5
"L3"	"G59"	"R1"	3.5
"L3"	"G59"	"R2"	3
"L3"	"G59"	"R3"	3
"L3"	"G60"	"R1"	3
"L3"	"G60"	"R2"	4
"L3"	"G60"	"R3"	3.5
"L3"	"G61"	"R1"	3
"L3"	"G61"	"R2"	3.5
"L3"	"G61"	"R3"	3.5
"L3"	"G62"	"R1"	4
"L3"	"G62"	"R2"	3.5
"L3"	"G62"	"R3"	3.5
"L3"	"G63"	"R1"	3
"L3"	"G63"	"R2"	3.5
"L3"	"G63"	"R3"	3
"L3"	"G64"	"R1"	3
"L3"	"G64"	"R2"	3
"L3"	"G64"	"R3"	3
"L3"	"G65"	"R1"	3
"L3"	"G65"	"R2"	3.5
"L3"	"G65"	"R3"	3
"L3"	"G66"	"R1"	3
"L3"	"G66"	"R2"	3
"L3"	"G66"	"R3"	3
"L3"	"G67"	"R1"	3
"L3"	"G67"	"R2"	3
"L3"	"G67"	"R3"	3.5
"L3"	"G68"	"R1"	3.5
"L3"	"G68"	"R2"	4
"L3"	"G68"	"R3"	4
"L3"	"G69"	"R1"	2.5
"L3"	"G69"	"R2"	3
"L3"	"G69"	"R3"	3
"L3"	"G70"	"R1"	3
"L3"	"G70"	"R2"	3
"L3"	"G70"	"R3"	3.5
"L3"	"G71"	"R1"	3
"L3"	"G71"	"R2"	2
"L3"	"G71"	"R3"	2.5
"L3"	"G72"	"R1"	3
"L3"	"G72"	"R2"	3.5
"L3"	"G72"	"R3"	3.5
"L3"	"G73"	"R1"	3
"L3"	"G73"	"R2"	3
"L3"	"G73"	"R3"	3
"L3"	"G74"	"R1"	3.5
"L3"	"G74"	"R2"	3
"L3"	"G74"	"R3"	3
"L3"	"G75"	"R1"	3
"L3"	"G75"	"R2"	3
"L3"	"G75"	"R3"	3.5
"L3"	"G76"	"R1"	3
"L3"	"G76"	"R2"	3.5
"L3"	"G76"	"R3"	3.5
"L3"	"G77"	"R1"	3.5
"L3"	"G77"	"R2"	3.5
"L3"	"G77"	"R3"	3.5
"L3"	"G78"	"R1"	3.5
"L3"	"G78"	"R2"	3
"L3"	"G78"	"R3"	3
"L3"	"G79"	"R1"	3
"L3"	"G79"	"R2"	3
"L3"	"G79"	"R3"	3.5
"L3"	"G80"	"R1"	3
"L3"	"G80"	"R2"	3.5
"L3"	"G80"	"R3"	3
"L3"	"G82"	"R1"	3.5
"L3"	"G82"	"R2"	3.5
"L3"	"G82"	"R3"	3
"L3"	"G83"	"R1"	3
"L3"	"G83"	"R2"	4
"L3"	"G83"	"R3"	3.5
"L3"	"G84"	"R1"	3
"L3"	"G84"	"R2"	3
"L3"	"G84"	"R3"	3
"L3"	"G85"	"R1"	3
"L3"	"G85"	"R2"	3.5
"L3"	"G85"	"R3"	3.5
"L3"	"G86"	"R1"	2.5
"L3"	"G86"	"R2"	3
"L3"	"G86"	"R3"	3
"L3"	"G87"	"R1"	2.5
"L3"	"G87"	"R2"	2
"L3"	"G87"	"R3"	3
"L3"	"G88"	"R1"	2.5
"L3"	"G88"	"R2"	2.5
"L3"	"G88"	"R3"	3
"L3"	"G89"	"R1"	2.5
"L3"	"G89"	"R2"	3
"L3"	"G89"	"R3"	2.5
