gen	env	amylase	diapow	hddate	lodging	malt	height	protein	yield
SM1	SKk92	NA	NA	199	NA	NA	90	NA	5.2779
SM1	ID92	29.9	111	191	NA	72.3	88.9	15.5	4.798
SM2	MN92	28	68	149.5	NA	73.6	94.5	11.5	5.159
SM2	MTi92	25.7	72	172.5	85	73.5	105	11.5	5.376
SM2	MTd92	26.7	76	163	50	73.3	76.5	13.6	5.336
SM2	ID91	24.9	81	178.5	NA	72.3	113	14	7.201
SM2	OR91	18.5	52	189	NA	71.1	102.5	13.2	6.008
SM2	WA91	25.1	57	178	NA	75.5	123	11.4	4.414
SM2	MTi91	22.9	71	179	NA	70.7	105	12.7	5.49
SM2	MTd91	NA	NA	183	NA	NA	84	NA	2.81
SM2	NY92	NA	NA	176.5	30	NA	82.5	NA	5.785
SM2	ON92	NA	NA	197	50	NA	85	NA	2.07
SM2	WA92	25	57	155	NA	71.3	62.5	11.5	4.554
SM2	MA92	NA	NA	193	50	NA	87	NA	6.326
SM2	SKo92	NA	NA	185	20	NA	110	NA	7.3174
SM2	SKg92	NA	NA	186	NA	NA	42	NA	3.2735
SM2	SKk92	NA	NA	195	NA	NA	76	NA	5.5314
SM2	ID92	26	91	187	NA	71.2	88.9	13.7	4.794
SM3	MN92	36.2	70	150	NA	76	88	12.5	4.701
SM3	MTi92	28.9	72	173	75	76.2	105	11.4	6.072
SM3	MTd92	31.6	71	162.5	60	74.2	82.5	14.1	5.87
SM3	ID91	30.2	69	180	NA	72.9	116.8	13.8	6.014
SM3	OR91	23.3	68	186	NA	71.2	80	14.1	4.507
SM3	WA91	29.4	56	177	NA	74.8	128	11.6	5.849
SM3	MTi91	25.1	66	179	NA	72.4	105	13.4	5.768
SM3	MTd91	NA	NA	183	NA	NA	86	NA	2.48
SM3	NY92	NA	NA	175	30	NA	85	NA	6.102
SM3	ON92	NA	NA	201	10	NA	95	NA	3.18
SM3	WA92	26	54	156	NA	72.7	59.5	12.1	3.016
SM3	MA92	NA	NA	197	40	NA	87	NA	6.533
SM3	SKo92	NA	NA	189	70	NA	112	NA	7.4983
SM3	SKg92	NA	NA	186	NA	NA	41	NA	2.7902
SM3	SKk92	NA	NA	195	NA	NA	83	NA	5.0852
SM3	ID92	30.8	87	187	NA	73.1	78.7	14.3	4.946
SM4	MN92	25.3	71	157	NA	73.3	107.5	13.9	5.297
SM4	MTi92	31.4	94	175.5	40	76.2	113	11.9	6.32
SM4	MTd92	35.3	113	167.5	40	75.2	86.5	15.8	4.798
SM4	ID91	30.3	99	183.5	NA	73.2	119.4	14.9	8.087
SM4	OR91	20.7	61	189	NA	71.8	102.5	15.4	6.717
SM4	WA91	29.9	76	179	NA	74.2	125.5	13.8	6.492
SM4	MTi91	31.9	95	184	NA	71.5	113	13.4	5.362
SM4	MTd91	NA	NA	185	NA	NA	84	NA	3.566
SM4	NY92	NA	NA	182	0	NA	95	NA	6.022
SM4	ON92	NA	NA	199	30	NA	105	NA	2.93
SM4	WA92	25.6	57	159	NA	71.1	62.5	14.6	2.419
SM4	MA92	NA	NA	200.5	40	NA	97	NA	7.469
SM4	SKo92	NA	NA	194	60	NA	122	NA	6.8908
SM4	SKg92	NA	NA	193	NA	NA	65	NA	4.154
SM4	SKk92	NA	NA	200	NA	NA	82	NA	5.4993
SM4	ID92	31.4	123	192	NA	72.7	88.9	15.3	5.131
SM5	MN92	25.2	60	149.5	NA	74.5	77	11.2	4.883
SM5	MTi92	27	71	170	45	77.1	95	10.8	6.915
SM5	MTd92	28.8	90	162	5	74.6	60.5	14.3	5.929
SM5	ID91	33.4	63	178	NA	73.5	104.1	13.1	7.98
SM5	OR91	20.6	54	189	NA	74.7	90	12.2	7.874
SM5	WA91	24	61	176	NA	75.7	110	11.8	4.932
SM5	MTi91	26.6	73	179	NA	71.6	95	11.9	6.389
SM5	MTd91	NA	NA	180	NA	NA	78	NA	3.639
SM5	NY92	NA	NA	170.5	10	NA	75	NA	6.716
SM5	ON92	NA	NA	204	30	NA	105	NA	3.07
SM5	WA92	24.5	52	154.5	NA	73.8	54.5	11.2	2.952
SM5	MA92	NA	NA	191	20	NA	69.5	NA	5.997
SM5	SKo92	NA	NA	185	70	NA	106	NA	6.6689
SM5	SKg92	NA	NA	187	NA	NA	34	NA	2.5215
SM5	SKk92	NA	NA	192	NA	NA	56	NA	4.8926
SM5	ID92	29.4	94	180	NA	73.6	73.7	13.9	5.299
SM6	MN92	28.2	84	161	NA	71.6	113.5	14.6	4.681
SM6	MTi92	26.2	73	176.5	55	76.1	117	12	6.608
SM6	MTd92	30.2	81	171	50	75.8	101	13.3	5.827
SM6	ID91	25.5	74	185.5	NA	71.8	129.5	14.6	5.927
SM6	OR91	22.3	58	191	NA	72.8	97.5	14	6.279
SM6	WA91	28	61	183.5	NA	74.9	150	13.3	4.671
SM6	MTi91	29.4	77	188	NA	69.5	117	13.3	5.095
SM6	MTd91	NA	NA	185	NA	NA	86	NA	2.723
SM6	NY92	NA	NA	182	5	NA	107.5	NA	5.692
SM6	ON92	NA	NA	204	60	NA	90	NA	2.65
SM6	WA92	28.2	56	160.5	NA	74.2	76.5	10.6	2.968
SM6	MA92	NA	NA	203.5	60	NA	112	NA	6.525
SM6	SKo92	NA	NA	198	10	NA	136	NA	8.6451
SM6	SKg92	NA	NA	191	NA	NA	73	NA	4.0002
SM6	SKk92	NA	NA	202	NA	NA	96	NA	5.5517
SM6	ID92	28.8	100	195	NA	73.8	99.1	14.8	3.679
SM7	MN92	27.1	64	164	NA	76.4	119	9.4	4.93
SM7	MTi92	26.3	93	178	80	75.7	116	12	4.442
SM7	MTd92	29.2	104	173	25	76.5	97.5	13.8	6.136
SM7	ID91	26.8	78	185	NA	75	124.5	12.8	8.718
SM7	OR91	23.4	98	196	NA	71.5	100	14.3	3.38
SM7	WA91	34.2	84	184	NA	73.8	131	11.8	4.526
SM7	MTi91	25.8	83	190	NA	70	116	13.4	4.231
SM7	MTd91	NA	NA	185	NA	NA	89	NA	2.189
SM7	NY92	NA	NA	182	0	NA	102.5	NA	5.544
SM7	ON92	NA	NA	197	0	NA	110	NA	3.5
SM7	WA92	27.7	60	161.5	NA	74	82.5	11.1	3.64
SM7	MA92	NA	NA	204.5	60	NA	104.5	NA	6.564
SM7	SKo92	NA	NA	197	50	NA	126	NA	5.6928
SM7	SKg92	NA	NA	195	NA	NA	86	NA	4.6374
SM7	SKk92	NA	NA	204	NA	NA	99	NA	5.7122
SM7	ID92	29.7	116	198	NA	72.4	96.5	15.5	3.739
SM8	MN92	28.3	74	148.5	NA	72.6	96.5	12.5	4.691
SM8	MTi92	24.7	82	172	100	72.1	122	13.5	4.839
SM8	MTd92	28.3	85	162	10	73.9	84	15	5.239
SM8	ID91	28.3	85	179	NA	71.3	119.4	14.1	6.481
SM8	OR91	18.6	66	186	NA	70.4	85	13.7	4.171
SM8	WA91	25.2	63	177	NA	73	136	11.6	3.988
SM8	MTi91	23.4	71	182	NA	69.6	122	13.4	5.018
SM8	MTd91	NA	NA	179	NA	NA	90	NA	3.411
SM8	NY92	NA	NA	171	70	NA	95	NA	5.266
SM8	ON92	NA	NA	204	70	NA	100	NA	3.03
SM8	WA92	25.6	65	155	NA	72.4	87.5	11.3	3.495
SM8	MA92	NA	NA	193.5	55	NA	99.5	NA	7.03
SM8	SKo92	NA	NA	184	90	NA	110	NA	5.8669
SM8	SKg92	NA	NA	186	NA	NA	76	NA	4.4379
SM8	SKk92	NA	NA	193	NA	NA	84	NA	5.0514
SM8	ID92	25.2	91	187	NA	72.3	91.4	13.5	4.668
SM10	MN92	33	98	163.5	NA	77.2	112	11	5.411
SM10	MTi92	34.9	122	177.5	70	79.6	122	10.5	6.166
SM10	MTd92	42	151	172.5	25	79.6	83.5	12.5	5.429
SM10	ID91	32.3	137	187	NA	77.3	104.1	13.2	6.983
SM10	OR91	30.1	127	196	NA	76.5	115	12.8	5.168
SM10	WA91	31	82	189	NA	79.9	128	10.5	8.168
SM10	MTi91	29.5	119	189	NA	74.3	122	13.4	5.553
SM10	MTd91	NA	NA	186	NA	NA	93	NA	2.889
SM10	NY92	NA	NA	183.5	0	NA	92.5	NA	7.657
SM10	ON92	NA	NA	202	0	NA	110	NA	3.56
SM10	WA92	32	88	164	NA	76.9	76.5	13.6	4.605
SM10	MA92	NA	NA	203	50	NA	105	NA	8.432
SM10	SKo92	NA	NA	197	40	NA	126	NA	6.7372
SM10	SKg92	NA	NA	195	NA	NA	68	NA	4.6374
SM10	SKk92	NA	NA	204	NA	NA	92	NA	5.7257
SM10	ID92	28.3	122	198	NA	70.9	94	15.7	4.407
SM11	MN92	28.3	95	161.5	NA	76.8	106.5	13.3	5.041
SM11	MTi92	31.6	123	177	40	80.5	125	13	5.869
SM11	MTd92	46.9	187	172	20	76.9	88	15.4	4.446
SM11	ID91	30.1	121	184	NA	73.9	116.8	15	5.507
SM11	OR91	15.4	120	193	NA	74.3	95	14.5	6.238
SM11	WA91	30.7	102	183	NA	74.9	133	13.9	4.813
SM11	MTi91	28.9	111	189	NA	72.9	125	13.5	5.492
SM11	MTd91	NA	NA	185	NA	NA	94	NA	2.399
SM11	NY92	NA	NA	182	0	NA	92.5	NA	5.71
SM11	ON92	NA	NA	202	60	NA	110	NA	4.23
SM11	WA92	36.4	106	160	NA	75.5	66	13.6	3.008
SM11	MA92	NA	NA	202.5	45	NA	103.5	NA	7.287
SM11	SKo92	NA	NA	188	40	NA	126	NA	8.4881
SM11	SKg92	NA	NA	191	NA	NA	65	NA	4.2673
SM11	SKk92	NA	NA	202	NA	NA	85	NA	5.4215
SM11	ID92	35.6	195	193	NA	74.6	91.4	14.3	4.126
SM12	MN92	30	105	155.5	NA	75.9	110.5	13.5	5.108
SM12	MTi92	26.4	71	171	10	78.3	113	11	6.121
SM12	MTd92	33.3	85	163.5	5	77.8	68.5	13.1	5.449
SM12	ID91	24	52	178	NA	76.6	116.8	11.5	10.315
SM12	OR91	19.8	85	186	NA	71.2	105	12.4	9.915
SM12	WA91	30.6	62	177	NA	77.4	125	10.4	6.3
SM12	MTi91	25.7	64	182	NA	72.4	113	11.9	6.301
SM12	MTd91	NA	NA	181	NA	NA	92	NA	3.222
SM12	NY92	NA	NA	172.5	25	NA	85	NA	6.516
SM12	ON92	NA	NA	197	0	NA	100	NA	4.27
SM12	WA92	25.7	49	155	NA	74.5	70	10.1	3.619
SM12	MA92	NA	NA	194.5	45	NA	86.5	NA	7.701
SM12	SKo92	NA	NA	187	40	NA	108	NA	8.5939
SM12	SKg92	NA	NA	186	NA	NA	50	NA	4.1895
SM12	SKk92	NA	NA	192	NA	NA	78	NA	5.2052
SM12	ID92	31.7	186	187	NA	73.4	81.3	15.6	5.259
SM13	MN92	28.5	81	155.5	NA	76	97.5	12.5	5.643
SM13	MTi92	35.3	102	173	0	78.1	118	12.9	4.729
SM13	MTd92	29.6	90	166.5	35	73.3	80.5	15.5	3.875
SM13	ID91	28.4	88	179	NA	73.5	111.8	14.8	7.969
SM13	OR91	30.8	96	189	NA	74.7	110	14.9	5.873
SM13	WA91	33.6	93	178	NA	75.9	128	12.7	6.602
SM13	MTi91	28.2	93	183	NA	73.1	118	13.6	6.816
SM13	MTd91	NA	NA	182	NA	NA	99	NA	3.733
SM13	NY92	NA	NA	185.5	15	NA	82.5	NA	5.213
SM13	ON92	NA	NA	204	0	NA	110	NA	4.47
SM13	WA92	26.6	76	156	NA	73.8	72.5	10.5	3.239
SM13	MA92	NA	NA	198	25	NA	89.5	NA	6.842
SM13	SKo92	NA	NA	188	60	NA	127	NA	6.7747
SM13	SKg92	NA	NA	189	NA	NA	45	NA	3.0352
SM13	SKk92	NA	NA	197	NA	NA	78	NA	4.9568
SM13	ID92	29	82	188	NA	74.5	81.3	13.7	4.903
SM14	MN92	27.7	105	149	NA	75.4	71.5	13	4.924
SM14	MTi92	25.1	113	170.5	0	76.8	89	13.1	6.264
SM14	MTd92	30.2	141	163	5	76.3	55	14.8	4.33
SM14	ID91	29.6	105	177	NA	74.6	92.7	14	7.74
SM14	OR91	25.1	117	186	NA	74.5	85	14.3	6.478
SM14	WA91	29.2	104	176.5	NA	75.9	105	13.2	6.153
SM14	MTi91	27.6	124	179	NA	73.3	89	12.7	5.823
SM14	MTd91	NA	NA	179	NA	NA	81	NA	3.867
SM14	NY92	NA	NA	174	0	NA	60	NA	7.316
SM14	ON92	NA	NA	197	0	NA	85	NA	3.65
SM14	WA92	32.7	86	153.5	NA	75.5	46	10.9	2.829
SM14	MA92	NA	NA	192.5	30	NA	71	NA	5.735
SM14	SKo92	NA	NA	194	30	NA	98	NA	6.9113
SM14	SKg92	NA	NA	182	NA	NA	49	NA	3.8904
SM14	SKk92	NA	NA	192	NA	NA	52	NA	4.3822
SM14	ID92	27.7	176	185	NA	73.7	71.1	14.7	5.029
SM15	MN92	32.9	85	161	NA	78.3	107.5	10.6	5.146
SM15	MTi92	36.6	136	177.5	35	78	123	11.2	6.462
SM15	MTd92	30.2	127	171	20	75.8	87	13.2	5.454
SM15	ID91	27.2	92	186	NA	75.3	121.9	12.7	9.543
SM15	OR91	28	132	193	NA	73.3	85	14	3.335
SM15	WA91	29.8	104	184	NA	75.5	133	13	5.968
SM15	MTi91	27.2	128	189	NA	71.9	123	13.6	5.205
SM15	MTd91	NA	NA	189	NA	NA	93	NA	2.604
SM15	NY92	NA	NA	185	0	NA	85	NA	5.687
SM15	ON92	NA	NA	199	50	NA	100	NA	3.13
SM15	WA92	33.3	96	160	NA	74.7	65	12	3.83
SM15	MA92	NA	NA	204	45	NA	95.5	NA	8.491
SM15	SKo92	NA	NA	194	10	NA	118	NA	8.5461
SM15	SKg92	NA	NA	192	NA	NA	64	NA	4.732
SM15	SKk92	NA	NA	203	NA	NA	94	NA	5.4418
SM15	ID92	28.5	169	195	NA	73.9	96.5	14.4	4.133
SM16	MN92	29.7	74	149.5	NA	77.3	80.5	8.9	4.453
SM16	MTi92	25.8	105	172.5	95	75.6	101	11.5	5.24
SM16	MTd92	31.2	106	166.5	70	76.9	84.5	13.2	4.428
SM16	ID91	23.4	99	180	NA	73.4	114.3	13.4	7.184
SM16	OR91	14.9	61	189	NA	71.5	100	11.1	7.353
SM16	WA91	26.5	78	178	NA	74.6	123	10.2	4.409
SM16	MTi91	22	101	182	NA	71.4	101	12.3	5.491
SM16	MTd91	NA	NA	184	NA	NA	93	NA	2.767
SM16	NY92	NA	NA	174.5	45	NA	90	NA	7.207
SM16	ON92	NA	NA	204	70	NA	100	NA	2.18
SM16	WA92	30.6	70	155.5	NA	74	74	10.2	4.594
SM16	MA92	NA	NA	197	70	NA	90	NA	6.474
SM16	SKo92	NA	NA	184	80	NA	111	NA	5.4096
SM16	SKg92	NA	NA	185	NA	NA	49	NA	4.0932
SM16	SKk92	NA	NA	194	NA	NA	80	NA	5.3489
SM16	ID92	26.4	135	187	NA	73.1	88.9	13	4.598
SM20	MN92	29.8	71	158	NA	74.1	94	13	5.031
SM20	MTi92	32.9	115	174	40	79.2	106	12.1	6.082
SM20	MTd92	29.6	89	166	70	75.7	76	14.3	5.137
SM20	ID91	24	77	179	NA	72.7	114.3	14	7.098
SM20	OR91	28.6	74	186	NA	73.7	95	14.3	3.995
SM20	WA91	34.4	76	179	NA	75.7	125	13.2	5.333
SM20	MTi91	26.9	82	183	NA	72.9	106	13.5	6.411
SM20	MTd91	NA	NA	185	NA	NA	94	NA	3.649
SM20	NY92	NA	NA	178	0	NA	75	NA	4.25
SM20	ON92	NA	NA	197	0	NA	110	NA	2.63
SM20	WA92	35.1	62	156	NA	74.8	66	13.1	3.315
SM20	MA92	NA	NA	199	40	NA	89	NA	7.289
SM20	SKo92	NA	NA	186	40	NA	123	NA	8.9283
SM20	SKg92	NA	NA	191	NA	NA	57	NA	3.2009
SM20	SKk92	NA	NA	197	NA	NA	76	NA	5.4976
SM20	ID92	29.8	104	190	NA	73.1	83.8	14.6	4.69
SM21	MN92	29.2	73	158.5	NA	69.6	105	14	3.279
SM21	MTi92	28.6	90	174.5	95	77.8	110	13.2	4.722
SM21	MTd92	32.6	88	166.5	50	76.4	86.5	14.9	4.485
SM21	ID91	30.2	81	182	NA	72.1	116.8	15.7	4.33
SM21	OR91	26.5	84	189	NA	73.8	95	14.8	3.72
SM21	WA91	27.6	55	182	NA	74.4	143	12.6	4.12
SM21	MTi91	28.8	74	184	NA	74.2	110	14.2	5.214
SM21	MTd91	NA	NA	187	NA	NA	91	NA	2.026
SM21	NY92	NA	NA	182	20	NA	87.5	NA	5.447
SM21	ON92	NA	NA	201	70	NA	110	NA	2.09
SM21	WA92	28.9	41	161.5	NA	75.6	81.5	10.6	3.715
SM21	MA92	NA	NA	201	60	NA	105.5	NA	5.984
SM21	SKo92	NA	NA	192	80	NA	122	NA	6.8191
SM21	SKg92	NA	NA	190	NA	NA	64	NA	4.0628
SM21	SKk92	NA	NA	200	NA	NA	90	NA	5.6514
SM21	ID92	30.5	112	190	NA	72.5	99.1	14.9	2.455
SM22	MN92	23.5	64	144.5	NA	77.1	96	11.7	5.583
SM22	MTi92	25.7	74	167.5	60	77.4	111	11.4	5.073
SM22	MTd92	32.3	85	160.5	10	75.6	77	14.6	4.666
SM22	ID91	21.9	59	176.5	NA	74.6	116.8	12.6	7.885
SM22	OR91	19.6	61	186	NA	73.5	112.5	12.7	6.238
SM22	WA91	31.3	77	173.5	NA	74.9	132	12.6	5.541
SM22	MTi91	22.5	71	177	NA	72.1	111	13.6	6.358
SM22	MTd91	NA	NA	178	NA	NA	98	NA	3.214
SM22	NY92	NA	NA	170	35	NA	87.5	NA	5.264
SM22	ON92	NA	NA	200	60	NA	90	NA	3.59
SM22	WA92	26.6	53	151.5	NA	73.3	67.5	11.6	3.085
SM22	MA92	NA	NA	188	45	NA	87	NA	7.111
SM22	SKo92	NA	NA	184	50	NA	110	NA	6.6314
SM22	SKg92	NA	NA	182	NA	NA	56	NA	3.2989
SM22	SKk92	NA	NA	190	NA	NA	68	NA	4.9027
SM22	ID92	27	104	180	NA	73.7	83.8	13.7	4.873
SM23	MN92	26.4	78	158	NA	74.1	95	13	5.488
SM23	MTi92	32.5	113	175.5	50	78.6	109	11.4	6.706
SM23	MTd92	37.7	111	168.5	30	77.6	80	14.2	4.907
SM23	ID91	34.7	100	183.5	NA	75.9	114.3	14.1	7.565
SM23	OR91	32	108	190	NA	75.5	87.5	13.5	5.166
SM23	WA91	35.7	78	181	NA	77.8	126.5	11.5	6.524
SM23	MTi91	30.8	116	184	NA	73.8	109	13.9	5.432
SM23	MTd91	NA	NA	187	NA	NA	92	NA	2.863
SM23	NY92	NA	NA	182	0	NA	90	NA	6.268
SM23	ON92	NA	NA	197	20	NA	110	NA	3.53
SM23	WA92	32.8	84	160	NA	75.1	75	11.5	2.974
SM23	MA92	NA	NA	200	60	NA	97	NA	8.048
SM23	SKo92	NA	NA	194	60	NA	117	NA	7.9488
SM23	SKg92	NA	NA	190	NA	NA	57	NA	3.7653
SM23	SKk92	NA	NA	200	NA	NA	83	NA	5.8542
SM23	ID92	32	135	191	NA	74.5	83.8	14.6	4.76
SM24	MN92	26.4	72	160	NA	76	113	10.2	4.52
SM24	MTi92	28.7	125	176	95	77.6	108	11.6	4.719
SM24	MTd92	29.3	106	172	45	78	80	12.4	5.78
SM24	ID91	31	107	184	NA	75.6	114.3	13.5	7.438
SM24	OR91	27	110	189	NA	73.7	95	13.9	5.414
SM24	WA91	32	94	181	NA	74.7	138	11.8	3.528
SM24	MTi91	27	115	183	NA	71.9	108	14.4	5.141
SM24	MTd91	NA	NA	187	NA	NA	92	NA	2.04
SM24	NY92	NA	NA	182	5	NA	87.5	NA	5.044
SM24	ON92	NA	NA	199	0	NA	105	NA	2.38
SM24	WA92	35.1	84	162	NA	75.5	62.5	10.4	2.878
SM24	MA92	NA	NA	202	70	NA	104	NA	5.956
SM24	SKo92	NA	NA	192	40	NA	112	NA	7.4369
SM24	SKg92	NA	NA	193	NA	NA	67	NA	4.4498
SM24	SKk92	NA	NA	200	NA	NA	89	NA	5.4807
SM24	ID92	28.8	161	194	NA	73.1	88.9	14.7	3.972
SM25	MN92	28.6	68	145	NA	75.8	89.5	9.9	4.436
SM25	MTi92	31.1	81	168.5	90	78.2	107	11.1	6.53
SM25	MTd92	33.7	82	159.5	10	76	67.5	13.9	5.46
SM25	ID91	29.7	77	175	NA	73.3	99.1	13.9	7.127
SM25	OR91	21	62	186	NA	73.4	105	12.4	7.689
SM25	WA91	29.6	59	175	NA	74.9	120	11.3	4.656
SM25	MTi91	23.8	75	177	NA	71	107	14.3	6.705
SM25	MTd91	NA	NA	177	NA	NA	92	NA	3.713
SM25	NY92	NA	NA	169.5	20	NA	77.5	NA	5.512
SM25	ON92	NA	NA	197	70	NA	100	NA	2.84
SM25	WA92	30.3	88	152.5	NA	72	62.5	13.2	3.24
SM25	MA92	NA	NA	189.5	55	NA	76.5	NA	6.046
SM25	SKo92	NA	NA	186	70	NA	110	NA	7.8805
SM25	SKg92	NA	NA	182	NA	NA	53	NA	4.0256
SM25	SKk92	NA	NA	190	NA	NA	73	NA	5.6987
SM25	ID92	26.6	100	181	NA	73	78.7	13.4	4.819
SM27	MN92	37.5	107	148.5	NA	77.4	82	12.5	5.001
SM27	MTi92	28.3	93	169.5	55	78.5	109	11.8	6.544
SM27	MTd92	30.8	93	160.5	15	76.4	66	15.1	5.321
SM27	ID91	25.2	70	176	NA	74.6	119.4	13.4	8.28
SM27	OR91	21.5	73	189	NA	75.6	110	12.1	6.172
SM27	WA91	26.8	74	176	NA	75.5	123	11.4	4.656
SM27	MTi91	24.6	80	178	NA	73.2	109	13	5.365
SM27	MTd91	NA	NA	182	NA	NA	90	NA	3.421
SM27	NY92	NA	NA	175	0	NA	80	NA	5.524
SM27	ON92	NA	NA	199	60	NA	95	NA	3.43
SM27	WA92	26.7	72	153	NA	73.4	64.5	12.1	3.749
SM27	MA92	NA	NA	192	30	NA	80.5	NA	6.084
SM27	SKo92	NA	NA	185	60	NA	107	NA	7.3106
SM27	SKg92	NA	NA	186	NA	NA	46	NA	3.5879
SM27	SKk92	NA	NA	192	NA	NA	62	NA	4.3264
SM27	ID92	24.1	105	187	NA	74.1	78.7	14.2	4.53
SM30	MN92	30.1	80	157.5	NA	78.2	90.5	9.4	6.275
SM30	MTi92	28.5	118	175	35	78.5	109	11.7	6.484
SM30	MTd92	30.5	107	169.5	70	76	77.5	15.3	4.265
SM30	ID91	27.5	95	181	NA	76	114.3	13.8	9.678
SM30	OR91	19.4	85	189	NA	75.5	110	15	7.047
SM30	WA91	26.8	95	178.5	NA	75.7	121.5	13.3	6.511
SM30	MTi91	20.9	101	184	NA	73.8	109	13.8	5.906
SM30	MTd91	NA	NA	186	NA	NA	87	NA	3.839
SM30	NY92	NA	NA	182	0	NA	90	NA	6.25
SM30	ON92	NA	NA	199	0	NA	100	NA	2.94
SM30	WA92	27.4	80	160	NA	73.8	70	13.5	4.149
SM30	MA92	NA	NA	200.5	30	NA	101	NA	8.435
SM30	SKo92	NA	NA	193	10	NA	115	NA	10.3311
SM30	SKg92	NA	NA	191	NA	NA	55	NA	4.0205
SM30	SKk92	NA	NA	197	NA	NA	82	NA	5.6919
SM30	ID92	27.3	161	192	NA	74.1	88.9	15.3	5.237
SM31	MN92	30.2	59	160.5	NA	77.5	114.5	9.9	4.073
SM31	MTi92	27.5	93	175.5	30	76.3	120	12.7	4.988
SM31	MTd92	18.9	44	170	40	74.4	94	13.1	4.72
SM31	ID91	29.2	75	185	NA	75.4	124.5	14.1	7.721
SM31	OR91	21.8	73	191	NA	74.1	105	14.2	4.979
SM31	WA91	39.9	73	182	NA	75.5	146	10.6	3.602
SM31	MTi91	27.2	85	185	NA	71.4	120	13.9	4.475
SM31	MTd91	NA	NA	187	NA	NA	94	NA	2.003
SM31	NY92	NA	NA	183.5	10	NA	105	NA	4.886
SM31	ON92	NA	NA	197	70	NA	100	NA	2.59
SM31	WA92	31.6	57	160.5	NA	73.7	85	11.3	3.054
SM31	MA92	NA	NA	202	70	NA	112.5	NA	6.413
SM31	SKo92	NA	NA	194	80	NA	123	NA	6.7133
SM31	SKg92	NA	NA	195	NA	NA	75	NA	3.2583
SM31	SKk92	NA	NA	202	NA	NA	100	NA	5.3117
SM31	ID92	26.2	104	193	NA	72.1	94	14.8	1.707
SM32	MN92	30.8	75	158.5	NA	75.7	103	11.6	3.114
SM32	MTi92	29.1	101	175	95	76.5	122	13.1	4.512
SM32	MTd92	25.7	83	170.5	65	78	94	13.3	3.231
SM32	ID91	29.2	82	185	NA	74.4	134.6	13.3	4.048
