"expt"	"strain"	"rep"	"row"	"year"	"yield"	"col"
"Baart"	"3769"	1	49	1940	420	2
"Baart"	"5037"	2	60	1940	477	4
"Baart"	"3061"	2	45	1940	590	2
"Baart"	"2725"	2	63	1940	523	5
"Baart"	"4673"	2	41	1940	485	1
"Baart"	"6061"	2	53	1940	515	3
"Baart"	"4869"	2	68	1940	572	5
"Baart"	"4630"	2	64	1940	302	5
"Baart"	"4621"	2	50	1940	590	2
"Baart"	"3541"	2	55	1940	539	3
"Baart"	"3257"	2	49	1940	457	2
"Baart"	"3177"	2	42	1940	532	1
"Baart"	"6045"	2	66	1940	378	5
"Baart"	"4641"	2	54	1940	480	3
"Baart"	"5129"	2	51	1940	488	3
"Baart"	"5217"	2	47	1940	548	2
"Baart"	"2685"	2	57	1940	392	4
"Baart"	"5493"	2	56	1940	491	3
"Baart"	"3593"	2	61	1940	434	4
"Baart"	"2645"	2	52	1940	385	3
"Baart"	"3509"	2	43	1940	574	1
"Baart"	"4761"	2	46	1940	593	2
"Baart"	"3681"	2	65	1940	500	5
"Baart"	"4589"	2	39	1940	493	1
"Baart"	"4025"	2	40	1940	508	1
"Baart"	"2765"	2	67	1940	528	5
"Baart"	"Baart"	2	62	1940	372	4
"Baart"	"2697"	2	48	1940	555	2
"Baart"	"4817"	2	44	1940	580	1
"Baart"	"5317"	2	58	1940	422	4
"Baart"	"3769"	2	59	1940	430	4
"Baart"	"5037"	3	68	1940	782	5
"Baart"	"3061"	3	52	1940	782	3
"Baart"	"2725"	3	54	1940	755	3
"Baart"	"4673"	3	45	1940	675	2
"Baart"	"6061"	3	66	1940	550	5
"Baart"	"4869"	3	57	1940	595	4
"Baart"	"4630"	3	44	1940	723	1
"Baart"	"4621"	3	63	1940	557	5
"Baart"	"3541"	3	62	1940	583	4
"Baart"	"3257"	3	55	1940	590	3
"Baart"	"3177"	3	65	1940	513	5
"Baart"	"6045"	3	50	1940	554	2
"Baart"	"4641"	3	40	1940	628	1
"Baart"	"5129"	3	47	1940	645	2
"Baart"	"5217"	3	41	1940	570	1
"Baart"	"2685"	3	64	1940	535	5
"Baart"	"5493"	3	59	1940	497	4
"Baart"	"3593"	3	42	1940	550	1
"Baart"	"2645"	3	67	1940	465	5
"Baart"	"3509"	3	51	1940	583	3
"Baart"	"4761"	3	61	1940	450	4
"Baart"	"3681"	3	39	1940	452	1
"Baart"	"4589"	3	48	1940	657	2
"Baart"	"4025"	3	58	1940	579	4
"Baart"	"2765"	3	49	1940	557	2
"Baart"	"Baart"	3	43	1940	538	1
"Baart"	"2697"	3	60	1940	560	4
"Baart"	"4817"	3	46	1940	527	2
"Baart"	"5317"	3	56	1940	430	3
"Baart"	"3769"	3	53	1940	504	3
"Baart"	"5037"	4	39	1940	628	1
"Baart"	"3061"	4	68	1940	480	5
"Baart"	"2725"	4	59	1940	543	4
"Baart"	"4673"	4	65	1940	537	5
"Baart"	"6061"	4	50	1940	535	2
"Baart"	"4869"	4	43	1940	537	1
"Baart"	"4630"	4	53	1940	572	3
"Baart"	"4621"	4	60	1940	503	4
"Baart"	"3541"	4	64	1940	502	5
"Baart"	"3257"	4	44	1940	588	1
"Baart"	"3177"	4	61	1940	586	4
"Baart"	"6045"	4	41	1940	548	1
"Baart"	"4641"	4	45	1940	498	2
"Baart"	"5129"	4	40	1940	614	1
"Baart"	"5217"	4	62	1940	520	4
"Baart"	"2685"	4	55	1940	580	3
"Baart"	"5493"	4	49	1940	430	2
"Baart"	"3593"	4	54	1940	586	3
"Baart"	"2645"	4	48	1940	603	2
"Baart"	"3509"	4	46	1940	610	2
"Baart"	"4761"	4	42	1940	554	1
"Baart"	"3681"	4	58	1940	592	4
"Baart"	"4589"	4	67	1940	540	5
"Baart"	"4025"	4	51	1940	545	3
"Baart"	"2765"	4	52	1940	564	3
"Baart"	"Baart"	4	56	1940	545	3
"Baart"	"2697"	4	66	1940	478	5
"Baart"	"4817"	4	57	1940	425	4
"Baart"	"5317"	4	47	1940	437	2
"Baart"	"3769"	4	63	1940	357	5
"Baart"	"5037"	5	49	1940	630	2
"Baart"	"3061"	5	62	1940	786	4
"Baart"	"2725"	5	50	1940	612	2
"Baart"	"4673"	5	54	1940	738	3
"Baart"	"6061"	5	43	1940	696	1
"Baart"	"4869"	5	45	1940	538	2
"Baart"	"4630"	5	46	1940	712	2
"Baart"	"4621"	5	39	1940	622	1
"Baart"	"3541"	5	42	1940	570	1
"Baart"	"3257"	5	59	1940	505	4
"Baart"	"3177"	5	55	1940	563	3
"Baart"	"6045"	5	58	1940	612	4
"Baart"	"4641"	5	63	1940	476	5
"Baart"	"5129"	5	65	1940	674	5
"Baart"	"5217"	5	68	1940	585	5
"Baart"	"2685"	5	47	1940	567	2
"Baart"	"5493"	5	41	1940	725	1
"Baart"	"3593"	5	66	1940	716	5
"Baart"	"2645"	5	60	1940	660	4
"Baart"	"3509"	5	61	1940	526	4
"Baart"	"4761"	5	52	1940	549	3
"Baart"	"3681"	5	51	1940	687	3
"Baart"	"4589"	5	56	1940	435	3
"Baart"	"4025"	5	67	1940	482	5
"Baart"	"2765"	5	57	1940	600	4
"Baart"	"Baart"	5	48	1940	533	2
"Baart"	"2697"	5	53	1940	532	3
"Baart"	"4817"	5	64	1940	587	5
"Baart"	"5317"	5	40	1940	497	1
"Baart"	"3769"	5	44	1940	485	1
"WhiteFed"	"2029"	1	26	1939	485	4
"WhiteFed"	"153"	1	4	1939	580	1
"WhiteFed"	"1341"	1	16	1939	445	3
"WhiteFed"	"2453"	1	33	1939	500	5
"WhiteFed"	"1949"	1	25	1939	515	4
"WhiteFed"	"2249"	1	30	1939	535	5
"WhiteFed"	"873"	1	12	1939	635	2
"WhiteFed"	"2185"	1	28	1939	410	4
"WhiteFed"	"1809"	1	23	1939	415	4
"WhiteFed"	"1673"	1	19	1939	460	3
"WhiteFed"	"229"	1	6	1939	600	1
"WhiteFed"	"1825"	1	24	1939	425	4
"WhiteFed"	"2357"	1	31	1939	575	5
"WhiteFed"	"1785"	1	22	1939	470	3
"WhiteFed"	"257"	1	7	1939	550	1
"WhiteFed"	"1441"	1	17	1939	485	3
"WhiteFed"	"313"	1	8	1939	545	1
"WhiteFed"	"2193"	1	29	1939	555	4
"WhiteFed"	"1617"	1	18	1939	445	3
"WhiteFed"	"2597"	1	35	1939	500	5
"WhiteFed"	"2061"	1	27	1939	450	4
"WhiteFed"	"33"	1	3	1939	490	1
"WhiteFed"	"1185"	1	14	1939	515	2
"WhiteFed"	"357"	1	9	1939	520	2
"WhiteFed"	"1741"	1	21	1939	465	3
"WhiteFed"	"957"	1	13	1939	560	2
"WhiteFed"	"437"	1	10	1939	560	2
"WhiteFed"	"WhiteFed"	1	36	1939	410	5
"WhiteFed"	"2417"	1	32	1939	490	5
"WhiteFed"	"2457"	1	34	1939	530	5
"WhiteFed"	"569"	1	11	1939	500	2
"WhiteFed"	"1717"	1	20	1939	410	3
"WhiteFed"	"5"	1	2	1939	515	1
"WhiteFed"	"1309"	1	15	1939	435	2
"WhiteFed"	"169"	1	5	1939	500	1
"WhiteFed"	"2029"	2	17	1939	665	3
"WhiteFed"	"153"	2	33	1939	640	5
"WhiteFed"	"1341"	2	6	1939	705	1
"WhiteFed"	"2453"	2	27	1939	610	4
"WhiteFed"	"1949"	2	7	1939	695	1
"WhiteFed"	"2249"	2	20	1939	680	3
"WhiteFed"	"873"	2	32	1939	640	5
"WhiteFed"	"2185"	2	34	1939	605	5
"WhiteFed"	"1809"	2	31	1939	595	5
"WhiteFed"	"1673"	2	30	1939	625	5
"WhiteFed"	"229"	2	23	1939	575	4
"WhiteFed"	"1825"	2	22	1939	670	3
"WhiteFed"	"2357"	2	24	1939	610	4
"WhiteFed"	"1785"	2	13	1939	805	2
"WhiteFed"	"257"	2	9	1939	630	2
"WhiteFed"	"1441"	2	11	1939	720	2
"WhiteFed"	"313"	2	18	1939	625	3
"WhiteFed"	"2193"	2	14	1939	690	2
"WhiteFed"	"1617"	2	25	1939	610	4
"WhiteFed"	"2597"	2	10	1939	630	2
"WhiteFed"	"2061"	2	36	1939	550	5
"WhiteFed"	"33"	2	12	1939	750	2
"WhiteFed"	"1185"	2	21	1939	565	3
"WhiteFed"	"357"	2	4	1939	655	1
"WhiteFed"	"1741"	2	5	1939	645	1
"WhiteFed"	"957"	2	3	1939	610	1
"WhiteFed"	"437"	2	35	1939	640	5
"WhiteFed"	"WhiteFed"	2	29	1939	595	4
"WhiteFed"	"2417"	2	8	1939	675	1
"WhiteFed"	"2457"	2	15	1939	650	2
"WhiteFed"	"569"	2	16	1939	620	3
"WhiteFed"	"1717"	2	2	1939	570	1
"WhiteFed"	"5"	2	19	1939	600	3
"WhiteFed"	"1309"	2	28	1939	485	4
"WhiteFed"	"169"	2	26	1939	630	4
"WhiteFed"	"2029"	3	30	1939	650	5
"WhiteFed"	"153"	3	24	1939	650	4
"WhiteFed"	"1341"	3	32	1939	710	5
"WhiteFed"	"2453"	3	2	1939	635	1
"WhiteFed"	"1949"	3	15	1939	690	2
"WhiteFed"	"2249"	3	6	1939	760	1
"WhiteFed"	"873"	3	22	1939	700	3
"WhiteFed"	"2185"	3	4	1939	655	1
"WhiteFed"	"1809"	3	20	1939	660	3
"WhiteFed"	"1673"	3	8	1939	705	1
"WhiteFed"	"229"	3	31	1939	670	5
"WhiteFed"	"1825"	3	35	1939	610	5
"WhiteFed"	"2357"	3	13	1939	850	2
"WhiteFed"	"1785"	3	28	1939	665	4
"WhiteFed"	"257"	3	27	1939	590	4
"WhiteFed"	"1441"	3	5	1939	710	1
"WhiteFed"	"313"	3	23	1939	805	4
"WhiteFed"	"2193"	3	21	1939	770	3
"WhiteFed"	"1617"	3	10	1939	700	2
"WhiteFed"	"2597"	3	25	1939	760	4
"WhiteFed"	"2061"	3	16	1939	670	3
"WhiteFed"	"33"	3	34	1939	720	5
"WhiteFed"	"1185"	3	33	1939	605	5
"WhiteFed"	"357"	3	17	1939	630	3
"WhiteFed"	"1741"	3	11	1939	760	2
"WhiteFed"	"957"	3	29	1939	565	4
"WhiteFed"	"437"	3	7	1939	710	1
"WhiteFed"	"WhiteFed"	3	9	1939	785	2
"WhiteFed"	"2417"	3	19	1939	670	3
"WhiteFed"	"2457"	3	26	1939	695	4
"WhiteFed"	"569"	3	3	1939	730	1
"WhiteFed"	"1717"	3	14	1939	760	2
"WhiteFed"	"5"	3	12	1939	760	2
"WhiteFed"	"1309"	3	18	1939	615	3
"WhiteFed"	"169"	3	36	1939	640	5
"WhiteFed"	"2029"	4	15	1939	560	2
"WhiteFed"	"153"	4	12	1939	670	2
"WhiteFed"	"1341"	4	25	1939	540	4
"WhiteFed"	"2453"	4	13	1939	730	2
"WhiteFed"	"1949"	4	16	1939	630	3
"WhiteFed"	"2249"	4	11	1939	665	2
"WhiteFed"	"873"	4	6	1939	625	1
"WhiteFed"	"2185"	4	18	1939	515	3
"WhiteFed"	"1809"	4	10	1939	540	2
"WhiteFed"	"1673"	4	9	1939	630	2
"WhiteFed"	"229"	4	14	1939	575	2
"WhiteFed"	"1825"	4	4	1939	550	1
"WhiteFed"	"2357"	4	20	1939	530	3
"WhiteFed"	"1785"	4	33	1939	480	5
"WhiteFed"	"257"	4	17	1939	505	3
"WhiteFed"	"1441"	4	31	1939	440	5
"WhiteFed"	"313"	4	32	1939	460	5
"WhiteFed"	"2193"	4	35	1939	515	5
"WhiteFed"	"1617"	4	2	1939	405	1
"WhiteFed"	"2597"	4	7	1939	600	1
"WhiteFed"	"2061"	4	8	1939	630	1
"WhiteFed"	"33"	4	19	1939	460	3
"WhiteFed"	"1185"	4	23	1939	505	4
"WhiteFed"	"357"	4	34	1939	525	5
"WhiteFed"	"1741"	4	36	1939	450	5
"WhiteFed"	"957"	4	22	1939	530	3
"WhiteFed"	"437"	4	28	1939	435	4
"WhiteFed"	"WhiteFed"	4	5	1939	575	1
"WhiteFed"	"2417"	4	29	1939	340	4
"WhiteFed"	"2457"	4	3	1939	550	1
"WhiteFed"	"569"	4	27	1939	405	4
"WhiteFed"	"1717"	4	24	1939	400	4
"WhiteFed"	"5"	4	26	1939	485	4
"WhiteFed"	"1309"	4	30	1939	400	5
"WhiteFed"	"169"	4	21	1939	515	3
"WhiteFed"	"2029"	5	3	1939	640	1
"WhiteFed"	"153"	5	17	1939	560	3
"WhiteFed"	"1341"	5	9	1939	655	2
"WhiteFed"	"2453"	5	18	1939	595	3
"WhiteFed"	"1949"	5	36	1939	565	5
"WhiteFed"	"2249"	5	29	1939	605	4
"WhiteFed"	"873"	5	26	1939	495	4
"WhiteFed"	"2185"	5	12	1939	650	2
"WhiteFed"	"1809"	5	7	1939	625	1
"WhiteFed"	"1673"	5	27	1939	515	4
"WhiteFed"	"229"	5	20	1939	440	3
"WhiteFed"	"1825"	5	13	1939	660	2
"WhiteFed"	"2357"	5	6	1939	715	1
"WhiteFed"	"1785"	5	5	1939	560	1
"WhiteFed"	"257"	5	35	1939	610	5
"WhiteFed"	"1441"	5	23	1939	530	4
"WhiteFed"	"313"	5	14	1939	550	2
"WhiteFed"	"2193"	5	8	1939	550	1
"WhiteFed"	"1617"	5	30	1939	505	5
"WhiteFed"	"2597"	5	16	1939	590	3
"WhiteFed"	"2061"	5	10	1939	530	2
"WhiteFed"	"33"	5	28	1939	475	4
"WhiteFed"	"1185"	5	4	1939	630	1
"WhiteFed"	"357"	5	24	1939	545	4
"WhiteFed"	"1741"	5	25	1939	525	4
"WhiteFed"	"957"	5	34	1939	570	5
"WhiteFed"	"437"	5	22	1939	535	3
"WhiteFed"	"WhiteFed"	5	21	1939	565	3
"WhiteFed"	"2417"	5	15	1939	570	2
"WhiteFed"	"2457"	5	19	1939	580	3
"WhiteFed"	"569"	5	31	1939	595	5
"WhiteFed"	"1717"	5	32	1939	535	5
"WhiteFed"	"5"	5	33	1939	485	5
"WhiteFed"	"1309"	5	2	1939	465	1
"WhiteFed"	"169"	5	11	1939	635	2
"WhiteFed"	"2029"	1	26	1940	610	4
"WhiteFed"	"153"	1	4	1940	705	1
"WhiteFed"	"1341"	1	16	1940	700	3
"WhiteFed"	"2453"	1	33	1940	495	5
"WhiteFed"	"1949"	1	25	1940	600	4
"WhiteFed"	"2249"	1	30	1940	505	5
"WhiteFed"	"873"	1	12	1940	585	2
"WhiteFed"	"2185"	1	28	1940	630	4
"WhiteFed"	"1809"	1	23	1940	603	4
"WhiteFed"	"1673"	1	19	1940	622	3
"WhiteFed"	"229"	1	6	1940	750	1
"WhiteFed"	"1825"	1	24	1940	525	4
"WhiteFed"	"2357"	1	31	1940	445	5
"WhiteFed"	"1785"	1	22	1940	585	3
"WhiteFed"	"257"	1	7	1940	517	1
"WhiteFed"	"1441"	1	17	1940	590	3
"WhiteFed"	"313"	1	8	1940	585	1
"WhiteFed"	"2193"	1	29	1940	515	4
"WhiteFed"	"1617"	1	18	1940	609	3
"WhiteFed"	"2597"	1	35	1940	590	5
"WhiteFed"	"2061"	1	27	1940	555	4
"WhiteFed"	"33"	1	3	1940	490	1
"WhiteFed"	"1185"	1	14	1940	600	2
"WhiteFed"	"357"	1	9	1940	498	2
"WhiteFed"	"1741"	1	21	1940	587	3
"WhiteFed"	"957"	1	13	1940	475	2
"WhiteFed"	"437"	1	10	1940	505	2
"WhiteFed"	"WhiteFed"	1	36	1940	420	5
"WhiteFed"	"2417"	1	32	1940	427	5
"WhiteFed"	"2457"	1	34	1940	455	5
"WhiteFed"	"569"	1	11	1940	488	2
"WhiteFed"	"1717"	1	20	1940	520	3
"WhiteFed"	"5"	1	2	1940	555	1
"WhiteFed"	"1309"	1	15	1940	580	2
"WhiteFed"	"169"	1	5	1940	385	1
"WhiteFed"	"2029"	2	17	1940	748	3
"WhiteFed"	"153"	2	33	1940	598	5
"WhiteFed"	"1341"	2	6	1940	573	1
"WhiteFed"	"2453"	2	27	1940	654	4
"WhiteFed"	"1949"	2	7	1940	575	1
"WhiteFed"	"2249"	2	20	1940	524	3
"WhiteFed"	"873"	2	32	1940	552	5
"WhiteFed"	"2185"	2	34	1940	611	5
"WhiteFed"	"1809"	2	31	1940	712	5
"WhiteFed"	"1673"	2	30	1940	498	5
"WhiteFed"	"229"	2	23	1940	639	4
"WhiteFed"	"1825"	2	22	1940	602	3
"WhiteFed"	"2357"	2	24	1940	588	4
"WhiteFed"	"1785"	2	13	1940	456	2
"WhiteFed"	"257"	2	9	1940	550	2
"WhiteFed"	"1441"	2	11	1940	581	2
"WhiteFed"	"313"	2	18	1940	622	3
"WhiteFed"	"2193"	2	14	1940	600	2
"WhiteFed"	"1617"	2	25	1940	603	4
"WhiteFed"	"2597"	2	10	1940	525	2
"WhiteFed"	"2061"	2	36	1940	579	5
"WhiteFed"	"33"	2	12	1940	436	2
"WhiteFed"	"1185"	2	21	1940	607	3
"WhiteFed"	"357"	2	4	1940	513	1
"WhiteFed"	"1741"	2	5	1940	493	1
"WhiteFed"	"957"	2	3	1940	494	1
"WhiteFed"	"437"	2	35	1940	567	5
"WhiteFed"	"WhiteFed"	2	29	1940	617	4
"WhiteFed"	"2417"	2	8	1940	493	1
"WhiteFed"	"2457"	2	15	1940	597	2
"WhiteFed"	"569"	2	16	1940	554	3
"WhiteFed"	"1717"	2	2	1940	564	1
"WhiteFed"	"5"	2	19	1940	589	3
"WhiteFed"	"1309"	2	28	1940	456	4
"WhiteFed"	"169"	2	26	1940	337	4
"WhiteFed"	"2029"	3	30	1940	710	5
"WhiteFed"	"153"	3	24	1940	623	4
"WhiteFed"	"1341"	3	32	1940	721	5
"WhiteFed"	"2453"	3	2	1940	598	1
"WhiteFed"	"1949"	3	15	1940	597	2
"WhiteFed"	"2249"	3	6	1940	672	1
"WhiteFed"	"873"	3	22	1940	621	3
"WhiteFed"	"2185"	3	4	1940	675	1
"WhiteFed"	"1809"	3	20	1940	583	3
"WhiteFed"	"1673"	3	8	1940	650	1
"WhiteFed"	"229"	3	31	1940	517	5
"WhiteFed"	"1825"	3	35	1940	700	5
"WhiteFed"	"2357"	3	13	1940	539	2
"WhiteFed"	"1785"	3	28	1940	617	4
"WhiteFed"	"257"	3	27	1940	667	4
"WhiteFed"	"1441"	3	5	1940	614	1
"WhiteFed"	"313"	3	23	1940	505	4
"WhiteFed"	"2193"	3	21	1940	532	3
"WhiteFed"	"1617"	3	10	1940	629	2
"WhiteFed"	"2597"	3	25	1940	552	4
"WhiteFed"	"2061"	3	16	1940	583	3
"WhiteFed"	"33"	3	34	1940	674	5
"WhiteFed"	"1185"	3	33	1940	522	5
"WhiteFed"	"357"	3	17	1940	560	3
"WhiteFed"	"1741"	3	11	1940	575	2
"WhiteFed"	"957"	3	29	1940	563	4
"WhiteFed"	"437"	3	7	1940	527	1
"WhiteFed"	"WhiteFed"	3	9	1940	530	2
"WhiteFed"	"2417"	3	19	1940	609	3
"WhiteFed"	"2457"	3	26	1940	603	4
"WhiteFed"	"569"	3	3	1940	538	1
"WhiteFed"	"1717"	3	14	1940	564	2
"WhiteFed"	"5"	3	12	1940	557	2
"WhiteFed"	"1309"	3	18	1940	586	3
"WhiteFed"	"169"	3	36	1940	420	5
"WhiteFed"	"2029"	4	15	1940	629	2
"WhiteFed"	"153"	4	12	1940	528	2
"WhiteFed"	"1341"	4	25	1940	492	4
"WhiteFed"	"2453"	4	13	1940	640	2
"WhiteFed"	"1949"	4	16	1940	525	3
"WhiteFed"	"2249"	4	11	1940	552	2
"WhiteFed"	"873"	4	6	1940	576	1
"WhiteFed"	"2185"	4	18	1940	665	3
"WhiteFed"	"1809"	4	10	1940	625	2
"WhiteFed"	"1673"	4	9	1940	633	2
"WhiteFed"	"229"	4	14	1940	617	2
"WhiteFed"	"1825"	4	4	1940	616	1
"WhiteFed"	"2357"	4	20	1940	578	3
"WhiteFed"	"1785"	4	33	1940	652	5
"WhiteFed"	"257"	4	17	1940	670	3
