"col"	"row"	"yield"	"range"	"year"	"crop"
26	3	6016	"R2"	1922	"maize"
27	3	5661	"R2"	1922	"maize"
28	3	5961	"R2"	1922	"maize"
29	3	5926	"R2"	1922	"maize"
30	3	5929	"R2"	1922	"maize"
31	3	5875	"R2"	1922	"maize"
32	3	6249	"R2"	1922	"maize"
33	3	5795	"R2"	1922	"maize"
34	3	6312	"R2"	1922	"maize"
35	3	5631	"R2"	1922	"maize"
1	4	5667	"R2"	1922	"maize"
2	4	5641	"R2"	1922	"maize"
3	4	5836	"R2"	1922	"maize"
4	4	5829	"R2"	1922	"maize"
5	4	5256	"R2"	1922	"maize"
6	4	5570	"R2"	1922	"maize"
7	4	5691	"R2"	1922	"maize"
8	4	5930	"R2"	1922	"maize"
9	4	6418	"R2"	1922	"maize"
10	4	6197	"R2"	1922	"maize"
11	4	6555	"R2"	1922	"maize"
12	4	6101	"R2"	1922	"maize"
13	4	6175	"R2"	1922	"maize"
14	4	6112	"R2"	1922	"maize"
15	4	6216	"R2"	1922	"maize"
16	4	6740	"R2"	1922	"maize"
17	4	5893	"R2"	1922	"maize"
18	4	5910	"R2"	1922	"maize"
19	4	6413	"R2"	1922	"maize"
20	4	5944	"R2"	1922	"maize"
21	4	5690	"R2"	1922	"maize"
22	4	5975	"R2"	1922	"maize"
23	4	5629	"R2"	1922	"maize"
24	4	5823	"R2"	1922	"maize"
25	4	5843	"R2"	1922	"maize"
26	4	5875	"R2"	1922	"maize"
27	4	5735	"R2"	1922	"maize"
28	4	5909	"R2"	1922	"maize"
29	4	6074	"R2"	1922	"maize"
30	4	5832	"R2"	1922	"maize"
31	4	6350	"R2"	1922	"maize"
32	4	5826	"R2"	1922	"maize"
33	4	5891	"R2"	1922	"maize"
34	4	5948	"R2"	1922	"maize"
35	4	5529	"R2"	1922	"maize"
1	5	5511	"R2"	1922	"maize"
2	5	5873	"R2"	1922	"maize"
3	5	5689	"R2"	1922	"maize"
4	5	6001	"R2"	1922	"maize"
5	5	5303	"R2"	1922	"maize"
6	5	5398	"R2"	1922	"maize"
7	5	6146	"R2"	1922	"maize"
8	5	6058	"R2"	1922	"maize"
9	5	6172	"R2"	1922	"maize"
10	5	6291	"R2"	1922	"maize"
11	5	6196	"R2"	1922	"maize"
12	5	6301	"R2"	1922	"maize"
13	5	6396	"R2"	1922	"maize"
14	5	6308	"R2"	1922	"maize"
15	5	6138	"R2"	1922	"maize"
16	5	5929	"R2"	1922	"maize"
17	5	5883	"R2"	1922	"maize"
18	5	6052	"R2"	1922	"maize"
19	5	6049	"R2"	1922	"maize"
20	5	6028	"R2"	1922	"maize"
21	5	6401	"R2"	1922	"maize"
22	5	6491	"R2"	1922	"maize"
23	5	6131	"R2"	1922	"maize"
24	5	5555	"R2"	1922	"maize"
25	5	5975	"R2"	1922	"maize"
26	5	5875	"R2"	1922	"maize"
27	5	5908	"R2"	1922	"maize"
28	5	6042	"R2"	1922	"maize"
29	5	5803	"R2"	1922	"maize"
30	5	5917	"R2"	1922	"maize"
31	5	5920	"R2"	1922	"maize"
32	5	6064	"R2"	1922	"maize"
33	5	6216	"R2"	1922	"maize"
34	5	6242	"R2"	1922	"maize"
35	5	5977	"R2"	1922	"maize"
1	1	3575	"R2"	1923	"maize"
2	1	3329	"R2"	1923	"maize"
3	1	3253	"R2"	1923	"maize"
4	1	3303	"R2"	1923	"maize"
5	1	3510	"R2"	1923	"maize"
6	1	2952	"R2"	1923	"maize"
7	1	2886	"R2"	1923	"maize"
8	1	3203	"R2"	1923	"maize"
9	1	3656	"R2"	1923	"maize"
10	1	3567	"R2"	1923	"maize"
11	1	3844	"R2"	1923	"maize"
12	1	3648	"R2"	1923	"maize"
13	1	3466	"R2"	1923	"maize"
14	1	3536	"R2"	1923	"maize"
15	1	3165	"R2"	1923	"maize"
16	1	3854	"R2"	1923	"maize"
17	1	3905	"R2"	1923	"maize"
18	1	3953	"R2"	1923	"maize"
19	1	3894	"R2"	1923	"maize"
20	1	4135	"R2"	1923	"maize"
21	1	4193	"R2"	1923	"maize"
22	1	4092	"R2"	1923	"maize"
23	1	3540	"R2"	1923	"maize"
24	1	3563	"R2"	1923	"maize"
25	1	3803	"R2"	1923	"maize"
26	1	3645	"R2"	1923	"maize"
27	1	4112	"R2"	1923	"maize"
28	1	4019	"R2"	1923	"maize"
29	1	4244	"R2"	1923	"maize"
30	1	3943	"R2"	1923	"maize"
31	1	4894	"R2"	1923	"maize"
32	1	4712	"R2"	1923	"maize"
33	1	4407	"R2"	1923	"maize"
34	1	4327	"R2"	1923	"maize"
35	1	4405	"R2"	1923	"maize"
1	2	3815	"R2"	1923	"maize"
2	2	3531	"R2"	1923	"maize"
3	2	3709	"R2"	1923	"maize"
4	2	3626	"R2"	1923	"maize"
5	2	3666	"R2"	1923	"maize"
6	2	3308	"R2"	1923	"maize"
7	2	3564	"R2"	1923	"maize"
8	2	3878	"R2"	1923	"maize"
9	2	3844	"R2"	1923	"maize"
10	2	4254	"R2"	1923	"maize"
11	2	4407	"R2"	1923	"maize"
12	2	3566	"R2"	1923	"maize"
13	2	2997	"R2"	1923	"maize"
14	2	3851	"R2"	1923	"maize"
15	2	4531	"R2"	1923	"maize"
16	2	3684	"R2"	1923	"maize"
17	2	4350	"R2"	1923	"maize"
18	2	4002	"R2"	1923	"maize"
19	2	4001	"R2"	1923	"maize"
20	2	4526	"R2"	1923	"maize"
21	2	4210	"R2"	1923	"maize"
22	2	4064	"R2"	1923	"maize"
23	2	3586	"R2"	1923	"maize"
24	2	3243	"R2"	1923	"maize"
25	2	4311	"R2"	1923	"maize"
26	2	4450	"R2"	1923	"maize"
27	2	4130	"R2"	1923	"maize"
28	2	4418	"R2"	1923	"maize"
29	2	4513	"R2"	1923	"maize"
30	2	4722	"R2"	1923	"maize"
31	2	4867	"R2"	1923	"maize"
32	2	4749	"R2"	1923	"maize"
33	2	4892	"R2"	1923	"maize"
34	2	4802	"R2"	1923	"maize"
35	2	4322	"R2"	1923	"maize"
1	3	3946	"R2"	1923	"maize"
2	3	3584	"R2"	1923	"maize"
3	3	3770	"R2"	1923	"maize"
4	3	3804	"R2"	1923	"maize"
5	3	3641	"R2"	1923	"maize"
6	3	3428	"R2"	1923	"maize"
7	3	3598	"R2"	1923	"maize"
8	3	4061	"R2"	1923	"maize"
9	3	4634	"R2"	1923	"maize"
10	3	4890	"R2"	1923	"maize"
11	3	4907	"R2"	1923	"maize"
12	3	4442	"R2"	1923	"maize"
13	3	4005	"R2"	1923	"maize"
14	3	4038	"R2"	1923	"maize"
15	3	4199	"R2"	1923	"maize"
16	3	4482	"R2"	1923	"maize"
17	3	4216	"R2"	1923	"maize"
18	3	4169	"R2"	1923	"maize"
19	3	4306	"R2"	1923	"maize"
20	3	4064	"R2"	1923	"maize"
21	3	4171	"R2"	1923	"maize"
22	3	4001	"R2"	1923	"maize"
23	3	3800	"R2"	1923	"maize"
24	3	3938	"R2"	1923	"maize"
25	3	4225	"R2"	1923	"maize"
26	3	4616	"R2"	1923	"maize"
27	3	4568	"R2"	1923	"maize"
28	3	4380	"R2"	1923	"maize"
29	3	4734	"R2"	1923	"maize"
30	3	4506	"R2"	1923	"maize"
31	3	4815	"R2"	1923	"maize"
32	3	4646	"R2"	1923	"maize"
33	3	4662	"R2"	1923	"maize"
34	3	4536	"R2"	1923	"maize"
35	3	4678	"R2"	1923	"maize"
1	4	3527	"R2"	1923	"maize"
2	4	3830	"R2"	1923	"maize"
3	4	4233	"R2"	1923	"maize"
4	4	3621	"R2"	1923	"maize"
5	4	3667	"R2"	1923	"maize"
6	4	3676	"R2"	1923	"maize"
7	4	3934	"R2"	1923	"maize"
8	4	3932	"R2"	1923	"maize"
9	4	4886	"R2"	1923	"maize"
10	4	4844	"R2"	1923	"maize"
11	4	4889	"R2"	1923	"maize"
12	4	4681	"R2"	1923	"maize"
13	4	4351	"R2"	1923	"maize"
14	4	4585	"R2"	1923	"maize"
15	4	4328	"R2"	1923	"maize"
16	4	4435	"R2"	1923	"maize"
17	4	4891	"R2"	1923	"maize"
18	4	4140	"R2"	1923	"maize"
19	4	4757	"R2"	1923	"maize"
20	4	4427	"R2"	1923	"maize"
21	4	3900	"R2"	1923	"maize"
22	4	4128	"R2"	1923	"maize"
23	4	3862	"R2"	1923	"maize"
24	4	4283	"R2"	1923	"maize"
25	4	4399	"R2"	1923	"maize"
26	4	4761	"R2"	1923	"maize"
27	4	4588	"R2"	1923	"maize"
28	4	4654	"R2"	1923	"maize"
29	4	4821	"R2"	1923	"maize"
30	4	4775	"R2"	1923	"maize"
31	4	4926	"R2"	1923	"maize"
32	4	4688	"R2"	1923	"maize"
33	4	4949	"R2"	1923	"maize"
34	4	4731	"R2"	1923	"maize"
35	4	4610	"R2"	1923	"maize"
1	5	3502	"R2"	1923	"maize"
2	5	3385	"R2"	1923	"maize"
3	5	3485	"R2"	1923	"maize"
4	5	3398	"R2"	1923	"maize"
5	5	3190	"R2"	1923	"maize"
6	5	3635	"R2"	1923	"maize"
7	5	4395	"R2"	1923	"maize"
8	5	4642	"R2"	1923	"maize"
9	5	4848	"R2"	1923	"maize"
10	5	4938	"R2"	1923	"maize"
11	5	5124	"R2"	1923	"maize"
12	5	4949	"R2"	1923	"maize"
13	5	4341	"R2"	1923	"maize"
14	5	4106	"R2"	1923	"maize"
15	5	4303	"R2"	1923	"maize"
16	5	4043	"R2"	1923	"maize"
17	5	4069	"R2"	1923	"maize"
18	5	4026	"R2"	1923	"maize"
19	5	4212	"R2"	1923	"maize"
20	5	4411	"R2"	1923	"maize"
21	5	4335	"R2"	1923	"maize"
22	5	4344	"R2"	1923	"maize"
23	5	3924	"R2"	1923	"maize"
24	5	4664	"R2"	1923	"maize"
25	5	4523	"R2"	1923	"maize"
26	5	4353	"R2"	1923	"maize"
27	5	4510	"R2"	1923	"maize"
28	5	4395	"R2"	1923	"maize"
29	5	4482	"R2"	1923	"maize"
30	5	4253	"R2"	1923	"maize"
31	5	4798	"R2"	1923	"maize"
32	5	4609	"R2"	1923	"maize"
33	5	5037	"R2"	1923	"maize"
34	5	4914	"R2"	1923	"maize"
35	5	4608	"R2"	1923	"maize"
1	1	3244	"R2"	1924	"maize"
2	1	3539	"R2"	1924	"maize"
3	1	3448	"R2"	1924	"maize"
4	1	3403	"R2"	1924	"maize"
5	1	3448	"R2"	1924	"maize"
6	1	3176	"R2"	1924	"maize"
7	1	3494	"R2"	1924	"maize"
8	1	3698	"R2"	1924	"maize"
9	1	3948	"R2"	1924	"maize"
10	1	4220	"R2"	1924	"maize"
11	1	4243	"R2"	1924	"maize"
12	1	3902	"R2"	1924	"maize"
13	1	3494	"R2"	1924	"maize"
14	1	3653	"R2"	1924	"maize"
15	1	3426	"R2"	1924	"maize"
16	1	3403	"R2"	1924	"maize"
17	1	3267	"R2"	1924	"maize"
18	1	2813	"R2"	1924	"maize"
19	1	2382	"R2"	1924	"maize"
20	1	3108	"R2"	1924	"maize"
21	1	3857	"R2"	1924	"maize"
22	1	4038	"R2"	1924	"maize"
23	1	3448	"R2"	1924	"maize"
24	1	3176	"R2"	1924	"maize"
25	1	3403	"R2"	1924	"maize"
26	1	3312	"R2"	1924	"maize"
27	1	3358	"R2"	1924	"maize"
28	1	3630	"R2"	1924	"maize"
29	1	3448	"R2"	1924	"maize"
30	1	3471	"R2"	1924	"maize"
31	1	3766	"R2"	1924	"maize"
32	1	3811	"R2"	1924	"maize"
33	1	3675	"R2"	1924	"maize"
34	1	3494	"R2"	1924	"maize"
35	1	3267	"R2"	1924	"maize"
1	2	3539	"R2"	1924	"maize"
2	2	3993	"R2"	1924	"maize"
3	2	3948	"R2"	1924	"maize"
4	2	3993	"R2"	1924	"maize"
5	2	3789	"R2"	1924	"maize"
6	2	3766	"R2"	1924	"maize"
7	2	3789	"R2"	1924	"maize"
8	2	4038	"R2"	1924	"maize"
9	2	4129	"R2"	1924	"maize"
10	2	4311	"R2"	1924	"maize"
11	2	4174	"R2"	1924	"maize"
12	2	3993	"R2"	1924	"maize"
13	2	4129	"R2"	1924	"maize"
14	2	3948	"R2"	1924	"maize"
15	2	4265	"R2"	1924	"maize"
16	2	3471	"R2"	1924	"maize"
17	2	3448	"R2"	1924	"maize"
18	2	3131	"R2"	1924	"maize"
19	2	3426	"R2"	1924	"maize"
20	2	3471	"R2"	1924	"maize"
21	2	3993	"R2"	1924	"maize"
22	2	3857	"R2"	1924	"maize"
23	2	3766	"R2"	1924	"maize"
24	2	3675	"R2"	1924	"maize"
25	2	3789	"R2"	1924	"maize"
26	2	3698	"R2"	1924	"maize"
27	2	3766	"R2"	1924	"maize"
28	2	3585	"R2"	1924	"maize"
29	2	4038	"R2"	1924	"maize"
30	2	3834	"R2"	1924	"maize"
31	2	3948	"R2"	1924	"maize"
32	2	4061	"R2"	1924	"maize"
33	2	3811	"R2"	1924	"maize"
34	2	3675	"R2"	1924	"maize"
35	2	3698	"R2"	1924	"maize"
1	3	3539	"R2"	1924	"maize"
2	3	3494	"R2"	1924	"maize"
3	3	3743	"R2"	1924	"maize"
4	3	3880	"R2"	1924	"maize"
5	3	3607	"R2"	1924	"maize"
6	3	3494	"R2"	1924	"maize"
7	3	3743	"R2"	1924	"maize"
8	3	3789	"R2"	1924	"maize"
9	3	4106	"R2"	1924	"maize"
10	3	4538	"R2"	1924	"maize"
11	3	3993	"R2"	1924	"maize"
12	3	4061	"R2"	1924	"maize"
13	3	3902	"R2"	1924	"maize"
14	3	3970	"R2"	1924	"maize"
15	3	4220	"R2"	1924	"maize"
16	3	3902	"R2"	1924	"maize"
17	3	3834	"R2"	1924	"maize"
18	3	3448	"R2"	1924	"maize"
19	3	3630	"R2"	1924	"maize"
20	3	3698	"R2"	1924	"maize"
21	3	3811	"R2"	1924	"maize"
22	3	3993	"R2"	1924	"maize"
23	3	4038	"R2"	1924	"maize"
24	3	4016	"R2"	1924	"maize"
25	3	3902	"R2"	1924	"maize"
26	3	3857	"R2"	1924	"maize"
27	3	3630	"R2"	1924	"maize"
28	3	3494	"R2"	1924	"maize"
29	3	3789	"R2"	1924	"maize"
30	3	3562	"R2"	1924	"maize"
31	3	3970	"R2"	1924	"maize"
32	3	3902	"R2"	1924	"maize"
33	3	3925	"R2"	1924	"maize"
34	3	3857	"R2"	1924	"maize"
35	3	3176	"R2"	1924	"maize"
1	4	3403	"R2"	1924	"maize"
2	4	3743	"R2"	1924	"maize"
3	4	3721	"R2"	1924	"maize"
4	4	3743	"R2"	1924	"maize"
5	4	3585	"R2"	1924	"maize"
6	4	3630	"R2"	1924	"maize"
7	4	3970	"R2"	1924	"maize"
8	4	4197	"R2"	1924	"maize"
9	4	4084	"R2"	1924	"maize"
10	4	4492	"R2"	1924	"maize"
11	4	4991	"R2"	1924	"maize"
12	4	4311	"R2"	1924	"maize"
13	4	4220	"R2"	1924	"maize"
14	4	4356	"R2"	1924	"maize"
15	4	4152	"R2"	1924	"maize"
16	4	3811	"R2"	1924	"maize"
17	4	4038	"R2"	1924	"maize"
18	4	3653	"R2"	1924	"maize"
19	4	3857	"R2"	1924	"maize"
20	4	4016	"R2"	1924	"maize"
21	4	3925	"R2"	1924	"maize"
22	4	4038	"R2"	1924	"maize"
23	4	3562	"R2"	1924	"maize"
24	4	3857	"R2"	1924	"maize"
25	4	3948	"R2"	1924	"maize"
26	4	4152	"R2"	1924	"maize"
27	4	3880	"R2"	1924	"maize"
28	4	4129	"R2"	1924	"maize"
29	4	3902	"R2"	1924	"maize"
30	4	4084	"R2"	1924	"maize"
31	4	3880	"R2"	1924	"maize"
32	4	4129	"R2"	1924	"maize"
33	4	3562	"R2"	1924	"maize"
34	4	4129	"R2"	1924	"maize"
35	4	3902	"R2"	1924	"maize"
1	5	3176	"R2"	1924	"maize"
2	5	3517	"R2"	1924	"maize"
3	5	3403	"R2"	1924	"maize"
4	5	3562	"R2"	1924	"maize"
5	5	3267	"R2"	1924	"maize"
6	5	3448	"R2"	1924	"maize"
7	5	3857	"R2"	1924	"maize"
8	5	4152	"R2"	1924	"maize"
9	5	3993	"R2"	1924	"maize"
10	5	4084	"R2"	1924	"maize"
11	5	4356	"R2"	1924	"maize"
12	5	4401	"R2"	1924	"maize"
13	5	4084	"R2"	1924	"maize"
14	5	3789	"R2"	1924	"maize"
15	5	3721	"R2"	1924	"maize"
16	5	3902	"R2"	1924	"maize"
17	5	3403	"R2"	1924	"maize"
18	5	3630	"R2"	1924	"maize"
19	5	3675	"R2"	1924	"maize"
20	5	3607	"R2"	1924	"maize"
21	5	4016	"R2"	1924	"maize"
22	5	3857	"R2"	1924	"maize"
23	5	3675	"R2"	1924	"maize"
24	5	3585	"R2"	1924	"maize"
25	5	4356	"R2"	1924	"maize"
26	5	4084	"R2"	1924	"maize"
27	5	3902	"R2"	1924	"maize"
28	5	3653	"R2"	1924	"maize"
29	5	3675	"R2"	1924	"maize"
30	5	3766	"R2"	1924	"maize"
31	5	3857	"R2"	1924	"maize"
32	5	3607	"R2"	1924	"maize"
33	5	3811	"R2"	1924	"maize"
34	5	4243	"R2"	1924	"maize"
35	5	3675	"R2"	1924	"maize"
1	1	3880	"R2"	1925	"maize"
2	1	4220	"R2"	1925	"maize"
3	1	4106	"R2"	1925	"maize"
4	1	4174	"R2"	1925	"maize"
5	1	4106	"R2"	1925	"maize"
6	1	3630	"R2"	1925	"maize"
7	1	3993	"R2"	1925	"maize"
8	1	3857	"R2"	1925	"maize"
9	1	4197	"R2"	1925	"maize"
10	1	4333	"R2"	1925	"maize"
11	1	4152	"R2"	1925	"maize"
12	1	4016	"R2"	1925	"maize"
13	1	3811	"R2"	1925	"maize"
14	1	3857	"R2"	1925	"maize"
15	1	3789	"R2"	1925	"maize"
16	1	3630	"R2"	1925	"maize"
17	1	3675	"R2"	1925	"maize"
18	1	3970	"R2"	1925	"maize"
19	1	3789	"R2"	1925	"maize"
20	1	3902	"R2"	1925	"maize"
21	1	4424	"R2"	1925	"maize"
22	1	4220	"R2"	1925	"maize"
23	1	3970	"R2"	1925	"maize"
24	1	3630	"R2"	1925	"maize"
25	1	3630	"R2"	1925	"maize"
26	1	4129	"R2"	1925	"maize"
27	1	3857	"R2"	1925	"maize"
28	1	4106	"R2"	1925	"maize"
29	1	4106	"R2"	1925	"maize"
30	1	3857	"R2"	1925	"maize"
31	1	4401	"R2"	1925	"maize"
32	1	4311	"R2"	1925	"maize"
33	1	4084	"R2"	1925	"maize"
34	1	3811	"R2"	1925	"maize"
35	1	3630	"R2"	1925	"maize"
1	2	3721	"R2"	1925	"maize"
2	2	4651	"R2"	1925	"maize"
3	2	4606	"R2"	1925	"maize"
4	2	4379	"R2"	1925	"maize"
5	2	4447	"R2"	1925	"maize"
6	2	4084	"R2"	1925	"maize"
7	2	4469	"R2"	1925	"maize"
8	2	4538	"R2"	1925	"maize"
9	2	4538	"R2"	1925	"maize"
10	2	4674	"R2"	1925	"maize"
11	2	4651	"R2"	1925	"maize"
12	2	4401	"R2"	1925	"maize"
13	2	4447	"R2"	1925	"maize"
14	2	4243	"R2"	1925	"maize"
15	2	4311	"R2"	1925	"maize"
16	2	4560	"R2"	1925	"maize"
17	2	4401	"R2"	1925	"maize"
18	2	4197	"R2"	1925	"maize"
19	2	4106	"R2"	1925	"maize"
20	2	4469	"R2"	1925	"maize"
21	2	4606	"R2"	1925	"maize"
22	2	4674	"R2"	1925	"maize"
23	2	4243	"R2"	1925	"maize"
24	2	4016	"R2"	1925	"maize"
25	2	4424	"R2"	1925	"maize"
26	2	4220	"R2"	1925	"maize"
27	2	4174	"R2"	1925	"maize"
28	2	4379	"R2"	1925	"maize"
29	2	4469	"R2"	1925	"maize"
30	2	4333	"R2"	1925	"maize"
31	2	4764	"R2"	1925	"maize"
32	2	4538	"R2"	1925	"maize"
33	2	4515	"R2"	1925	"maize"
34	2	4583	"R2"	1925	"maize"
35	2	3789	"R2"	1925	"maize"
1	3	4538	"R2"	1925	"maize"
2	3	4243	"R2"	1925	"maize"
3	3	4356	"R2"	1925	"maize"
4	3	4379	"R2"	1925	"maize"
5	3	4538	"R2"	1925	"maize"
6	3	4333	"R2"	1925	"maize"
7	3	4424	"R2"	1925	"maize"
8	3	4447	"R2"	1925	"maize"
9	3	4674	"R2"	1925	"maize"
10	3	4901	"R2"	1925	"maize"
11	3	4923	"R2"	1925	"maize"
12	3	4492	"R2"	1925	"maize"
13	3	4674	"R2"	1925	"maize"
14	3	4606	"R2"	1925	"maize"
15	3	4447	"R2"	1925	"maize"
16	3	4606	"R2"	1925	"maize"
17	3	4424	"R2"	1925	"maize"
18	3	4356	"R2"	1925	"maize"
19	3	3993	"R2"	1925	"maize"
20	3	4311	"R2"	1925	"maize"
21	3	4311	"R2"	1925	"maize"
22	3	4742	"R2"	1925	"maize"
23	3	4538	"R2"	1925	"maize"
24	3	4424	"R2"	1925	"maize"
25	3	4538	"R2"	1925	"maize"
26	3	4356	"R2"	1925	"maize"
27	3	4696	"R2"	1925	"maize"
28	3	4447	"R2"	1925	"maize"
29	3	4696	"R2"	1925	"maize"
30	3	4356	"R2"	1925	"maize"
31	3	4832	"R2"	1925	"maize"
32	3	4560	"R2"	1925	"maize"
33	3	4333	"R2"	1925	"maize"
34	3	4356	"R2"	1925	"maize"
35	3	3970	"R2"	1925	"maize"
1	4	4084	"R2"	1925	"maize"
2	4	4152	"R2"	1925	"maize"
3	4	4447	"R2"	1925	"maize"
4	4	4469	"R2"	1925	"maize"
5	4	4174	"R2"	1925	"maize"
6	4	4379	"R2"	1925	"maize"
7	4	4401	"R2"	1925	"maize"
8	4	4401	"R2"	1925	"maize"
9	4	4810	"R2"	1925	"maize"
10	4	4855	"R2"	1925	"maize"
11	4	4832	"R2"	1925	"maize"
12	4	4288	"R2"	1925	"maize"
13	4	4515	"R2"	1925	"maize"
14	4	4243	"R2"	1925	"maize"
15	4	4265	"R2"	1925	"maize"
16	4	4333	"R2"	1925	"maize"
17	4	4311	"R2"	1925	"maize"
18	4	4061	"R2"	1925	"maize"
19	4	4174	"R2"	1925	"maize"
20	4	4084	"R2"	1925	"maize"
21	4	3902	"R2"	1925	"maize"
22	4	4243	"R2"	1925	"maize"
23	4	3948	"R2"	1925	"maize"
24	4	4174	"R2"	1925	"maize"
25	4	4243	"R2"	1925	"maize"
26	4	4311	"R2"	1925	"maize"
27	4	4651	"R2"	1925	"maize"
28	4	4560	"R2"	1925	"maize"
29	4	4311	"R2"	1925	"maize"
30	4	4628	"R2"	1925	"maize"
31	4	4651	"R2"	1925	"maize"
32	4	4492	"R2"	1925	"maize"
33	4	4515	"R2"	1925	"maize"
34	4	4764	"R2"	1925	"maize"
35	4	4174	"R2"	1925	"maize"
1	5	3948	"R2"	1925	"maize"
2	5	4220	"R2"	1925	"maize"
3	5	3948	"R2"	1925	"maize"
4	5	3993	"R2"	1925	"maize"
5	5	3789	"R2"	1925	"maize"
6	5	4197	"R2"	1925	"maize"
7	5	4447	"R2"	1925	"maize"
8	5	4538	"R2"	1925	"maize"
9	5	4379	"R2"	1925	"maize"
10	5	4469	"R2"	1925	"maize"
11	5	4538	"R2"	1925	"maize"
12	5	4492	"R2"	1925	"maize"
13	5	4152	"R2"	1925	"maize"
14	5	3948	"R2"	1925	"maize"
15	5	4424	"R2"	1925	"maize"
16	5	4174	"R2"	1925	"maize"
17	5	3993	"R2"	1925	"maize"
18	5	3970	"R2"	1925	"maize"
19	5	4152	"R2"	1925	"maize"
20	5	3766	"R2"	1925	"maize"
21	5	4288	"R2"	1925	"maize"
22	5	4174	"R2"	1925	"maize"
23	5	4401	"R2"	1925	"maize"
24	5	4696	"R2"	1925	"maize"
25	5	4538	"R2"	1925	"maize"
26	5	4379	"R2"	1925	"maize"
27	5	4538	"R2"	1925	"maize"
28	5	4424	"R2"	1925	"maize"
29	5	4379	"R2"	1925	"maize"
30	5	4469	"R2"	1925	"maize"
31	5	4515	"R2"	1925	"maize"
32	5	4538	"R2"	1925	"maize"
