"year"	"row"	"col"	"yield"
"1921"	9	10	6
"1921"	10	10	18
"1921"	11	10	11
"1921"	12	10	20
"1921"	13	10	14
"1921"	14	10	18
"1921"	15	10	21
"1921"	16	10	18
"1921"	17	10	15
"1921"	18	10	12
"1921"	19	10	17
"1921"	20	10	7
"1921"	21	10	5
"1921"	22	10	5
"1921"	23	10	6
"1921"	24	10	4
"1921"	25	10	5
"1921"	26	10	7
"1921"	27	10	7
"1922"	1	1	66
"1922"	2	1	76
"1922"	3	1	87
"1922"	4	1	51
"1922"	5	1	69
"1922"	6	1	86
"1922"	7	1	55
"1922"	8	1	66
"1922"	9	1	59
"1922"	10	1	59
"1922"	11	1	60
"1922"	12	1	68
"1922"	13	1	58
"1922"	14	1	72
"1922"	15	1	84
"1922"	16	1	78
"1922"	17	1	62
"1922"	18	1	77
"1922"	19	1	70
"1922"	20	1	75
"1922"	21	1	68
"1922"	22	1	62
"1922"	1	2	88
"1922"	2	2	86
"1922"	3	2	97
"1922"	4	2	93
"1922"	5	2	92
"1922"	6	2	75
"1922"	7	2	82
"1922"	8	2	95
"1922"	9	2	96
"1922"	10	2	73
"1922"	11	2	95
"1922"	13	2	85
"1922"	14	2	72
"1922"	15	2	88
"1922"	16	2	86
"1922"	18	2	93
"1922"	19	2	72
"1922"	20	2	76
"1922"	21	2	80
"1922"	22	2	79
"1922"	1	3	75
"1922"	2	3	79
"1922"	3	3	81
"1922"	4	3	80
"1922"	5	3	91
"1922"	6	3	100
"1922"	7	3	111
"1922"	8	3	106
"1922"	9	3	97
"1922"	10	3	95
"1922"	11	3	93
"1922"	12	3	82
"1922"	13	3	78
"1922"	14	3	78
"1922"	15	3	97
"1922"	16	3	102
"1922"	17	3	87
"1922"	18	3	91
"1922"	19	3	61
"1922"	20	3	80
"1922"	21	3	92
"1922"	22	3	78
"1922"	1	4	89
"1922"	2	4	82
"1922"	3	4	82
"1922"	4	4	93
"1922"	5	4	83
"1922"	6	4	120
"1922"	7	4	108
"1922"	8	4	89
"1922"	9	4	102
"1922"	10	4	106
"1922"	11	4	98
"1922"	12	4	103
"1922"	13	4	108
"1922"	14	4	115
"1922"	15	4	105
"1922"	16	4	84
"1922"	17	4	108
"1922"	18	4	81
"1922"	19	4	70
"1922"	20	4	68
"1922"	21	4	92
"1922"	22	4	64
"1922"	1	5	90
"1922"	2	5	112
"1922"	3	5	123
"1922"	4	5	104
"1922"	5	5	91
"1922"	6	5	85
"1922"	7	5	75
"1922"	8	5	83
"1922"	9	5	89
"1922"	10	5	85
"1922"	11	5	105
"1922"	12	5	82
"1922"	13	5	93
"1922"	14	5	88
"1922"	15	5	114
"1922"	16	5	78
"1922"	17	5	68
"1922"	18	5	117
"1922"	19	5	87
"1922"	20	5	90
"1922"	21	5	93
"1922"	22	5	83
"1922"	7	6	100
"1922"	8	6	104
"1922"	9	6	105
"1922"	10	6	98
"1922"	11	6	76
"1922"	12	6	89
"1922"	13	6	101
"1922"	14	6	115
"1922"	15	6	125
"1922"	16	6	107
"1922"	17	6	104
"1922"	18	6	101
"1922"	19	6	99
"1922"	20	6	110
"1922"	21	6	94
"1922"	23	6	86
"1922"	24	6	88
"1922"	25	6	83
"1922"	26	6	83
"1922"	27	6	65
"1922"	11	7	75
"1922"	12	7	97
"1922"	13	7	77
"1922"	14	7	103
"1922"	15	7	95
"1922"	16	7	80
"1922"	17	7	100
"1922"	18	7	84
"1922"	19	7	96
"1922"	20	7	94
"1922"	21	7	105
"1922"	22	7	93
"1922"	23	7	97
"1922"	24	7	84
"1922"	25	7	79
"1922"	26	7	89
"1922"	27	7	66
"1922"	16	8	111
"1922"	17	8	93
"1922"	18	8	93
"1922"	19	8	88
"1922"	20	8	82
"1922"	21	8	98
"1922"	22	8	104
"1922"	23	8	91
"1922"	24	8	91
"1922"	25	8	82
"1922"	26	8	78
"1922"	1	9	41
"1922"	2	9	36
"1922"	3	9	47
"1922"	4	9	66
"1922"	5	9	63
"1922"	6	9	60
"1922"	7	9	65
"1922"	8	9	63
"1922"	9	9	59
"1922"	10	9	44
"1922"	11	9	57
"1922"	12	9	74
"1922"	1	10	71
"1922"	2	10	64
"1922"	3	10	64
"1922"	4	10	68
"1922"	5	10	68
"1922"	6	10	63
"1922"	7	10	73
"1922"	8	10	77
"1922"	9	10	49
"1922"	10	10	66
"1922"	11	10	55
"1922"	12	10	73
"1922"	13	10	75
"1922"	14	10	58
"1922"	15	10	82
"1922"	16	10	77
"1922"	17	10	72
"1922"	18	10	67
"1922"	19	10	88
"1922"	20	10	58
"1922"	21	10	57
"1922"	22	10	58
"1922"	23	10	46
"1922"	24	10	51
"1922"	25	10	61
"1922"	26	10	62
"1922"	27	10	47
"1923"	1	1	50
"1923"	2	1	66
"1923"	3	1	74
"1923"	4	1	52
"1923"	5	1	65
"1923"	6	1	71
"1923"	7	1	46
"1923"	8	1	57
"1923"	9	1	47
"1923"	10	1	62
"1923"	11	1	66
"1923"	12	1	82
"1923"	13	1	69
"1923"	14	1	75
"1923"	15	1	55
"1923"	16	1	74
"1923"	17	1	56
"1923"	18	1	77
"1923"	19	1	77
"1923"	20	1	80
"1923"	21	1	82
"1923"	22	1	70
"1923"	1	2	76
"1923"	2	2	58
"1923"	3	2	65
"1923"	4	2	60
"1923"	5	2	73
"1923"	6	2	59
"1923"	7	2	75
"1923"	8	2	51
"1923"	9	2	61
"1923"	10	2	62
"1923"	11	2	107
"1923"	13	2	87
"1923"	14	2	83
"1923"	15	2	92
"1923"	16	2	84
"1923"	18	2	85
"1923"	19	2	78
"1923"	20	2	69
"1923"	21	2	65
"1923"	22	2	69
"1923"	1	3	60
"1923"	2	3	72
"1923"	3	3	52
"1923"	4	3	42
"1923"	5	3	65
"1923"	6	3	72
"1923"	7	3	85
"1923"	8	3	83
"1923"	9	3	64
"1923"	10	3	72
"1923"	11	3	80
"1923"	12	3	58
"1923"	13	3	56
"1923"	14	3	95
"1923"	15	3	114
"1923"	16	3	95
"1923"	17	3	89
"1923"	18	3	90
"1923"	19	3	68
"1923"	20	3	85
"1923"	21	3	86
"1923"	22	3	73
"1923"	1	4	72
"1923"	2	4	63
"1923"	3	4	56
"1923"	4	4	66
"1923"	5	4	73
"1923"	6	4	79
"1923"	7	4	86
"1923"	8	4	74
"1923"	9	4	75
"1923"	10	4	81
"1923"	11	4	91
"1923"	12	4	56
"1923"	13	4	62
"1923"	14	4	93
"1923"	15	4	72
"1923"	16	4	83
"1923"	17	4	78
"1923"	18	4	93
"1923"	19	4	69
"1923"	20	4	87
"1923"	21	4	84
"1923"	22	4	72
"1923"	1	5	63
"1923"	2	5	62
"1923"	3	5	79
"1923"	4	5	68
"1923"	5	5	55
"1923"	6	5	55
"1923"	7	5	51
"1923"	8	5	75
"1923"	9	5	60
"1923"	10	5	68
"1923"	11	5	86
"1923"	12	5	86
"1923"	13	5	64
"1923"	14	5	75
"1923"	15	5	103
"1923"	16	5	81
"1923"	17	5	69
"1923"	18	5	104
"1923"	19	5	88
"1923"	20	5	82
"1923"	21	5	86
"1923"	22	5	58
"1923"	7	6	54
"1923"	8	6	56
"1923"	9	6	58
"1923"	10	6	65
"1923"	11	6	65
"1923"	12	6	59
"1923"	13	6	63
"1923"	14	6	78
"1923"	15	6	83
"1923"	16	6	76
"1923"	17	6	73
"1923"	18	6	83
"1923"	19	6	82
"1923"	20	6	89
"1923"	21	6	84
"1923"	23	6	49
"1923"	24	6	59
"1923"	25	6	67
"1923"	26	6	46
"1923"	27	6	67
"1923"	11	7	65
"1923"	12	7	60
"1923"	13	7	46
"1923"	14	7	88
"1923"	15	7	92
"1923"	16	7	88
"1923"	17	7	75
"1923"	18	7	73
"1923"	19	7	90
"1923"	20	7	72
"1923"	21	7	86
"1923"	22	7	73
"1923"	23	7	75
"1923"	24	7	78
"1923"	25	7	81
"1923"	26	7	90
"1923"	27	7	79
"1923"	16	8	72
"1923"	17	8	48
"1923"	18	8	54
"1923"	19	8	59
"1923"	20	8	56
"1923"	21	8	70
"1923"	22	8	102
"1923"	23	8	72
"1923"	24	8	74
"1923"	25	8	63
"1923"	26	8	79
"1923"	1	9	61
"1923"	2	9	84
"1923"	3	9	78
"1923"	4	9	86
"1923"	5	9	82
"1923"	6	9	103
"1923"	7	9	96
"1923"	8	9	73
"1923"	9	9	77
"1923"	10	9	65
"1923"	11	9	64
"1923"	12	9	75
"1923"	1	10	84
"1923"	2	10	100
"1923"	3	10	89
"1923"	4	10	71
"1923"	5	10	78
"1923"	6	10	87
"1923"	7	10	103
"1923"	8	10	78
"1923"	9	10	62
"1923"	10	10	51
"1923"	11	10	65
"1923"	12	10	62
"1923"	13	10	62
"1923"	14	10	58
"1923"	15	10	79
"1923"	16	10	85
"1923"	17	10	75
"1923"	18	10	86
"1923"	19	10	89
"1923"	20	10	83
"1923"	21	10	76
"1923"	22	10	79
"1923"	23	10	89
"1923"	24	10	67
"1923"	25	10	61
"1923"	26	10	75
"1923"	27	10	59
"1924"	1	1	105
"1924"	2	1	109
"1924"	3	1	142
"1924"	4	1	104
"1924"	5	1	119
"1924"	6	1	114
"1924"	7	1	113
"1924"	8	1	127
"1924"	9	1	110
"1924"	10	1	122
"1924"	11	1	124
"1924"	12	1	138
"1924"	13	1	122
"1924"	14	1	143
"1924"	15	1	129
"1924"	16	1	149
"1924"	17	1	142
"1924"	18	1	153
"1924"	19	1	143
"1924"	20	1	134
"1924"	21	1	128
"1924"	22	1	117
"1924"	1	2	133
"1924"	2	2	114
"1924"	3	2	132
"1924"	4	2	130
"1924"	5	2	138
"1924"	6	2	127
"1924"	7	2	146
"1924"	8	2	154
"1924"	9	2	126
"1924"	10	2	146
"1924"	11	2	179
"1924"	13	2	145
"1924"	14	2	154
"1924"	15	2	166
"1924"	16	2	155
"1924"	18	2	172
"1924"	19	2	167
"1924"	20	2	158
"1924"	21	2	140
"1924"	22	2	137
"1924"	1	3	120
"1924"	2	3	145
"1924"	3	3	135
"1924"	4	3	118
"1924"	5	3	142
"1924"	6	3	140
"1924"	7	3	169
"1924"	8	3	165
"1924"	9	3	138
"1924"	10	3	159
"1924"	11	3	163
"1924"	12	3	153
"1924"	13	3	120
"1924"	14	3	164
"1924"	15	3	190
"1924"	16	3	167
"1924"	17	3	172
"1924"	18	3	187
"1924"	19	3	146
"1924"	20	3	158
"1924"	21	3	189
"1924"	22	3	172
"1924"	1	4	136
"1924"	2	4	126
"1924"	3	4	125
"1924"	4	4	149
"1924"	5	4	135
"1924"	6	4	161
"1924"	7	4	158
"1924"	8	4	161
"1924"	9	4	153
"1924"	10	4	171
"1924"	11	4	179
"1924"	12	4	141
"1924"	13	4	127
"1924"	14	4	166
"1924"	15	4	162
"1924"	16	4	168
"1924"	17	4	158
"1924"	18	4	193
"1924"	19	4	159
"1924"	20	4	176
"1924"	21	4	178
"1924"	22	4	171
"1924"	1	5	149
"1924"	2	5	145
"1924"	3	5	162
"1924"	4	5	171
"1924"	5	5	146
"1924"	6	5	151
"1924"	7	5	143
"1924"	8	5	153
"1924"	9	5	156
"1924"	10	5	165
"1924"	11	5	183
"1924"	12	5	158
"1924"	13	5	147
"1924"	14	5	172
"1924"	15	5	196
"1924"	16	5	162
"1924"	17	5	142
"1924"	18	5	186
"1924"	19	5	172
"1924"	20	5	175
"1924"	21	5	177
"1924"	22	5	153
"1924"	7	6	175
"1924"	8	6	175
"1924"	9	6	173
"1924"	10	6	181
"1924"	11	6	156
"1924"	12	6	153
"1924"	13	6	147
"1924"	14	6	186
"1924"	15	6	203
"1924"	16	6	160
"1924"	17	6	181
"1924"	18	6	185
"1924"	19	6	179
"1924"	20	6	191
"1924"	21	6	178
"1924"	23	6	159
"1924"	24	6	150
"1924"	25	6	168
"1924"	26	6	147
"1924"	27	6	157
"1924"	11	7	171
"1924"	12	7	167
"1924"	13	7	131
"1924"	14	7	199
"1924"	15	7	182
"1924"	16	7	186
"1924"	17	7	174
"1924"	18	7	174
"1924"	19	7	192
"1924"	20	7	177
"1924"	21	7	193
"1924"	22	7	191
"1924"	23	7	184
"1924"	24	7	190
"1924"	25	7	172
"1924"	26	7	191
"1924"	27	7	182
"1924"	16	8	189
"1924"	17	8	150
"1924"	18	8	162
"1924"	19	8	159
"1924"	20	8	157
"1924"	21	8	180
"1924"	22	8	198
"1924"	23	8	184
"1924"	24	8	177
"1924"	25	8	163
"1924"	26	8	193
"1924"	1	9	140
"1924"	2	9	198
"1924"	3	9	179
"1924"	4	9	189
"1924"	5	9	179
"1924"	6	9	189
"1924"	7	9	177
"1924"	8	9	120
"1924"	9	9	159
"1924"	10	9	151
"1924"	11	9	161
"1924"	12	9	152
"1924"	1	10	165
"1924"	2	10	184
"1924"	3	10	209
"1924"	4	10	179
"1924"	5	10	180
"1924"	6	10	191
"1924"	7	10	203
"1924"	8	10	138
"1924"	9	10	142
"1924"	10	10	141
"1924"	11	10	159
"1924"	12	10	141
"1924"	13	10	157
"1924"	14	10	155
"1924"	15	10	174
"1924"	16	10	188
"1924"	17	10	157
"1924"	18	10	171
"1924"	19	10	148
"1924"	20	10	160
"1924"	21	10	158
"1924"	22	10	181
"1924"	23	10	188
"1924"	24	10	149
"1924"	25	10	136
"1924"	26	10	160
"1924"	27	10	140
"1925"	1	1	121
"1925"	2	1	116
"1925"	3	1	129
"1925"	4	1	95
"1925"	5	1	115
"1925"	6	1	113
"1925"	7	1	107
"1925"	8	1	119
"1925"	9	1	105
"1925"	10	1	106
"1925"	11	1	109
"1925"	12	1	115
"1925"	13	1	101
"1925"	14	1	131
"1925"	15	1	121
"1925"	16	1	138
"1925"	17	1	129
"1925"	18	1	157
"1925"	19	1	133
"1925"	20	1	137
"1925"	21	1	127
"1925"	22	1	126
"1925"	1	2	138
"1925"	2	2	135
"1925"	3	2	132
"1925"	4	2	126
"1925"	5	2	120
"1925"	6	2	134
"1925"	7	2	158
"1925"	8	2	143
"1925"	9	2	133
"1925"	10	2	132
"1925"	11	2	141
"1925"	13	2	116
"1925"	14	2	128
"1925"	15	2	147
"1925"	16	2	146
"1925"	18	2	163
"1925"	19	2	153
"1925"	20	2	153
"1925"	21	2	143
"1925"	22	2	142
"1925"	1	3	125
"1925"	2	3	136
"1925"	3	3	136
"1925"	4	3	121
"1925"	5	3	128
"1925"	6	3	129
"1925"	7	3	149
"1925"	8	3	143
"1925"	9	3	130
"1925"	10	3	136
"1925"	11	3	148
"1925"	12	3	133
"1925"	13	3	106
"1925"	14	3	143
"1925"	15	3	159
"1925"	16	3	151
"1925"	17	3	153
"1925"	18	3	174
"1925"	19	3	138
"1925"	20	3	156
"1925"	21	3	187
"1925"	22	3	157
"1925"	1	4	128
"1925"	2	4	125
"1925"	3	4	114
"1925"	4	4	140
"1925"	5	4	124
"1925"	6	4	145
"1925"	7	4	149
"1925"	8	4	134
"1925"	9	4	122
"1925"	10	4	155
"1925"	11	4	144
"1925"	12	4	127
"1925"	13	4	108
"1925"	14	4	136
"1925"	15	4	140
"1925"	16	4	158
"1925"	17	4	150
"1925"	18	4	175
"1925"	19	4	156
"1925"	20	4	166
"1925"	21	4	170
"1925"	22	4	166
"1925"	1	5	145
"1925"	2	5	151
"1925"	3	5	171
"1925"	4	5	164
"1925"	5	5	145
"1925"	6	5	141
"1925"	7	5	131
"1925"	8	5	123
"1925"	9	5	135
"1925"	10	5	135
"1925"	11	5	153
"1925"	12	5	116
"1925"	13	5	116
"1925"	14	5	149
"1925"	15	5	155
"1925"	16	5	140
"1925"	17	5	134
"1925"	18	5	158
"1925"	19	5	152
"1925"	20	5	171
"1925"	21	5	157
"1925"	22	5	140
"1925"	7	6	168
"1925"	8	6	161
"1925"	9	6	145
"1925"	10	6	151
"1925"	11	6	127
"1925"	12	6	139
"1925"	13	6	120
"1925"	14	6	158
"1925"	15	6	181
"1925"	16	6	142
"1925"	17	6	170
"1925"	18	6	168
"1925"	19	6	165
"1925"	20	6	174
"1925"	21	6	160
"1925"	23	6	138
"1925"	24	6	140
"1925"	25	6	153
"1925"	26	6	137
"1925"	27	6	123
"1925"	11	7	140
"1925"	12	7	145
"1925"	13	7	116
"1925"	14	7	161
"1925"	15	7	159
"1925"	16	7	151
"1925"	17	7	155
"1925"	18	7	149
"1925"	19	7	170
"1925"	20	7	158
"1925"	21	7	164
"1925"	22	7	152
"1925"	23	7	166
"1925"	24	7	168
"1925"	25	7	147
"1925"	26	7	175
"1925"	27	7	149
"1925"	16	8	201
"1925"	17	8	155
"1925"	18	8	175
"1925"	19	8	159
"1925"	20	8	160
"1925"	21	8	165
"1925"	22	8	179
"1925"	23	8	171
"1925"	24	8	163
"1925"	25	8	153
"1925"	26	8	170
"1925"	1	9	109
"1925"	2	9	152
"1925"	3	9	120
"1925"	4	9	156
"1925"	5	9	138
"1925"	6	9	160
"1925"	7	9	129
"1925"	8	9	105
"1925"	9	9	138
"1925"	10	9	124
"1925"	11	9	142
"1925"	12	9	135
"1925"	1	10	115
"1925"	2	10	150
"1925"	3	10	138
"1925"	4	10	148
"1925"	5	10	138
"1925"	6	10	148
"1925"	7	10	136
"1925"	8	10	101
"1925"	9	10	102
"1925"	10	10	103
"1925"	11	10	139
"1925"	12	10	115
"1925"	13	10	151
"1925"	14	10	126
"1925"	15	10	152
"1925"	16	10	150
"1925"	17	10	125
"1925"	18	10	146
"1925"	19	10	144
"1925"	20	10	116
"1925"	21	10	158
"1925"	22	10	164
"1925"	23	10	141
"1925"	24	10	129
"1925"	25	10	117
"1925"	26	10	124
"1925"	27	10	115
"1926"	1	1	72
"1926"	2	1	75
"1926"	3	1	96
"1926"	4	1	62
"1926"	5	1	77
"1926"	6	1	93
"1926"	7	1	79
"1926"	8	1	75
"1926"	9	1	75
"1926"	10	1	85
"1926"	11	1	94
"1926"	12	1	103
"1926"	13	1	97
"1926"	14	1	108
"1926"	15	1	94
"1926"	16	1	126
"1926"	17	1	146
"1926"	18	1	160
"1926"	19	1	129
"1926"	20	1	139
"1926"	21	1	122
"1926"	22	1	125
"1926"	1	2	81
"1926"	2	2	93
"1926"	3	2	78
"1926"	4	2	109
"1926"	5	2	92
"1926"	6	2	93
"1926"	7	2	107
"1926"	8	2	85
"1926"	9	2	95
"1926"	10	2	105
"1926"	11	2	124
"1926"	13	2	118
"1926"	14	2	121
"1926"	15	2	129
"1926"	16	2	135
"1926"	18	2	164
"1926"	19	2	166
"1926"	20	2	156
"1926"	21	2	142
"1926"	22	2	139
"1926"	1	3	86
"1926"	2	3	111
"1926"	3	3	95
"1926"	4	3	84
"1926"	5	3	97
"1926"	6	3	114
"1926"	7	3	121
"1926"	8	3	107
"1926"	9	3	99
"1926"	10	3	115
"1926"	11	3	122
"1926"	12	3	112
"1926"	13	3	96
"1926"	14	3	115
"1926"	15	3	141
"1926"	16	3	130
"1926"	17	3	151
"1926"	18	3	142
"1926"	19	3	128
"1926"	20	3	149
"1926"	21	3	185
"1926"	22	3	171
"1926"	1	4	90
"1926"	2	4	98
"1926"	3	4	103
"1926"	4	4	110
"1926"	5	4	109
"1926"	6	4	131
"1926"	7	4	122
"1926"	8	4	110
"1926"	9	4	110
"1926"	10	4	131
"1926"	11	4	122
"1926"	12	4	103
"1926"	13	4	93
"1926"	14	4	107
"1926"	15	4	124
"1926"	16	4	128
"1926"	17	4	128
"1926"	18	4	155
"1926"	19	4	135
"1926"	20	4	156
"1926"	21	4	154
"1926"	22	4	153
"1926"	1	5	103
"1926"	2	5	106
"1926"	3	5	119
"1926"	4	5	107
"1926"	5	5	126
"1926"	6	5	113
"1926"	7	5	101
"1926"	8	5	106
"1926"	9	5	116
"1926"	10	5	127
"1926"	11	5	136
"1926"	12	5	93
"1926"	13	5	95
"1926"	14	5	117
"1926"	15	5	151
"1926"	16	5	117
"1926"	17	5	128
"1926"	18	5	132
"1926"	19	5	141
"1926"	20	5	144
"1926"	21	5	146
"1926"	22	5	139
"1926"	7	6	123
"1926"	8	6	101
"1926"	9	6	126
"1926"	10	6	112
"1926"	11	6	112
"1926"	12	6	87
"1926"	13	6	89
"1926"	14	6	110
"1926"	15	6	133
"1926"	16	6	115
"1926"	17	6	129
"1926"	18	6	128
"1926"	19	6	141
"1926"	20	6	150
"1926"	21	6	152
"1926"	23	6	148
"1926"	24	6	163
"1926"	25	6	167
"1926"	26	6	136
"1926"	27	6	152
"1926"	11	7	110
"1926"	12	7	109
"1926"	13	7	77
"1926"	14	7	126
"1926"	15	7	143
"1926"	16	7	133
"1926"	17	7	140
"1926"	18	7	130
"1926"	19	7	155
"1926"	20	7	126
"1926"	21	7	179
"1926"	22	7	170
"1926"	23	7	199
"1926"	24	7	180
"1926"	25	7	189
"1926"	26	7	177
"1926"	27	7	180
"1926"	16	8	156
"1926"	17	8	130
"1926"	18	8	148
"1926"	19	8	135
"1926"	20	8	141
"1926"	21	8	192
"1926"	22	8	199
"1926"	23	8	212
"1926"	24	8	161
"1926"	25	8	169
"1926"	26	8	185
"1926"	1	9	113
"1926"	2	9	128
"1926"	3	9	115
"1926"	4	9	143
"1926"	5	9	134
"1926"	6	9	122
"1926"	7	9	125
"1926"	8	9	97
"1926"	9	9	131
"1926"	10	9	121
"1926"	11	9	120
"1926"	12	9	117
"1926"	1	10	133
"1926"	2	10	152
"1926"	3	10	141
"1926"	4	10	144
"1926"	5	10	134
"1926"	6	10	126
"1926"	7	10	137
"1926"	8	10	101
"1926"	9	10	115
"1926"	10	10	109
"1926"	11	10	124
"1926"	12	10	128
"1926"	13	10	150
"1926"	14	10	133
"1926"	15	10	143
"1926"	16	10	154
"1926"	17	10	148
"1926"	18	10	152
"1926"	19	10	146
"1926"	20	10	147
"1926"	21	10	182
"1926"	22	10	165
"1926"	23	10	195
"1926"	24	10	153
"1926"	25	10	142
"1926"	26	10	145
"1926"	27	10	133
"1927"	1	1	108
"1927"	2	1	128
"1927"	3	1	136
"1927"	4	1	107
"1927"	5	1	145
"1927"	6	1	134
"1927"	7	1	159
"1927"	8	1	154
"1927"	9	1	159
"1927"	10	1	152
"1927"	11	1	135
"1927"	12	1	114
"1927"	13	1	135
"1927"	14	1	183
"1927"	15	1	167
"1927"	16	1	195
"1927"	17	1	177
"1927"	18	1	188
"1927"	19	1	170
"1927"	20	1	160
"1927"	21	1	154
"1927"	22	1	141
"1927"	1	2	104
"1927"	2	2	152
"1927"	3	2	153
"1927"	4	2	153
"1927"	5	2	162
"1927"	6	2	168
"1927"	7	2	186
"1927"	8	2	167
"1927"	9	2	180
"1927"	10	2	177
"1927"	11	2	180
"1927"	13	2	173
"1927"	14	2	157
"1927"	15	2	164
"1927"	16	2	158
"1927"	18	2	202
"1927"	19	2	186
"1927"	20	2	217
"1927"	21	2	198
"1927"	22	2	189
"1927"	1	3	107
"1927"	2	3	169
"1927"	3	3	156
"1927"	4	3	146
"1927"	5	3	174
"1927"	6	3	179
"1927"	7	3	186
"1927"	8	3	170
"1927"	9	3	145
"1927"	10	3	187
"1927"	11	3	185
"1927"	12	3	186
"1927"	13	3	168
"1927"	14	3	181
"1927"	15	3	186
"1927"	16	3	165
"1927"	17	3	190
"1927"	18	3	193
"1927"	19	3	172
"1927"	20	3	182
"1927"	21	3	205
"1927"	22	3	206
"1927"	1	4	103
"1927"	2	4	129
"1927"	3	4	114
"1927"	4	4	129
"1927"	5	4	135
"1927"	6	4	134
"1927"	7	4	145
"1927"	8	4	144
"1927"	9	4	152
"1927"	10	4	164
"1927"	11	4	186
"1927"	12	4	185
"1927"	13	4	160
"1927"	14	4	177
"1927"	15	4	174
"1927"	16	4	185
"1927"	17	4	182
"1927"	18	4	186
"1927"	19	4	155
"1927"	20	4	180
"1927"	21	4	195
"1927"	22	4	181
"1927"	1	5	128
"1927"	2	5	144
"1927"	3	5	183
"1927"	4	5	157
"1927"	5	5	168
"1927"	6	5	132
"1927"	7	5	146
"1927"	8	5	140
"1927"	9	5	164
"1927"	10	5	167
"1927"	11	5	163
"1927"	12	5	154
"1927"	13	5	186
"1927"	14	5	172
