species	age	tree	day	water
S2	A1	T22	161	1.69
S2	A1	T22	166	1.96
S2	A1	T22	170	1.52
S2	A1	T22	174	2.82
S2	A1	T22	178	1.76
S2	A1	T22	184	2.15
S2	A1	T22	189	1.94
S2	A1	T22	194	2.24
S2	A1	T22	199	2.67
S2	A1	T22	206	1.75
S2	A1	T22	212	2.25
S2	A1	T22	218	2.02
S2	A1	T22	222	2.26
S2	A1	T22	228	2.59
S2	A1	T22	236	NA
S2	A1	T22	241	NA
S2	A1	T22	246	NA
S2	A1	T22	251	NA
S2	A1	T22	256	NA
S2	A1	T22	261	2.35
S2	A1	T22	268	1.13
S2	A1	T22	273	1.7
S2	A1	T22	278	1.35
S2	A1	T22	283	1.06
S2	A1	T22	288	1.25
S2	A1	T22	293	1.13
S2	A2	T23	161	2.27
S2	A2	T23	166	2.35
S2	A2	T23	170	2.52
S2	A2	T23	174	3.02
S2	A2	T23	178	2.92
S2	A2	T23	184	3.01
S2	A2	T23	189	3.03
S2	A2	T23	194	3.23
S2	A2	T23	199	2.3
S2	A2	T23	206	2.02
S2	A2	T23	212	2.94
S2	A2	T23	218	2.88
S2	A2	T23	222	3.35
S2	A2	T23	228	3.75
S2	A2	T23	236	NA
S2	A2	T23	241	NA
S2	A2	T23	246	NA
S2	A2	T23	251	NA
S2	A2	T23	256	NA
S2	A2	T23	261	3.36
S2	A2	T23	268	1.42
S2	A2	T23	273	2.08
S2	A2	T23	278	2.04
S2	A2	T23	283	1.28
S2	A2	T23	288	1.61
S2	A2	T23	293	1.01
S1	A2	T24	161	1.97
S1	A2	T24	166	2.59
S1	A2	T24	170	3.75
S1	A2	T24	174	3.53
S1	A2	T24	178	3.19
S1	A2	T24	184	3.83
S1	A2	T24	189	3.53
S1	A2	T24	194	3.88
S1	A2	T24	199	4.78
S1	A2	T24	206	5.09
S1	A2	T24	212	4.53
S1	A2	T24	218	4.79
S1	A2	T24	222	4.96
S1	A2	T24	228	5.27
S1	A2	T24	236	5.11
S1	A2	T24	241	5.46
S1	A2	T24	246	4.64
S1	A2	T24	251	4.97
S1	A2	T24	256	4.32
S1	A2	T24	261	4.99
S1	A2	T24	268	2.2
S1	A2	T24	273	4.27
S1	A2	T24	278	4.43
S1	A2	T24	283	3.01
S1	A2	T24	288	3.58
S1	A2	T24	293	3.26
S2	A1	T33	161	1.77
S2	A1	T33	166	1.35
S2	A1	T33	170	1.36
S2	A1	T33	174	1.77
S2	A1	T33	178	2.3
S2	A1	T33	184	1.84
S2	A1	T33	189	1.94
S2	A1	T33	194	2.06
S2	A1	T33	199	2.76
S2	A1	T33	206	2.04
S2	A1	T33	212	1.75
S2	A1	T33	218	1.75
S2	A1	T33	222	1.94
S2	A1	T33	228	2.11
S2	A1	T33	236	1.56
S2	A1	T33	241	1.67
S2	A1	T33	246	1.45
S2	A1	T33	251	1.71
S2	A1	T33	256	1.42
S2	A1	T33	261	1.48
S2	A1	T33	268	1.02
S2	A1	T33	273	1.32
S2	A1	T33	278	1.23
S2	A1	T33	283	0.92
S2	A1	T33	288	0.76
S2	A1	T33	293	0.51
S2	A1	T34	161	1.09
S2	A1	T34	166	0.85
S2	A1	T34	170	1.35
S2	A1	T34	174	1.4
S2	A1	T34	178	1.31
S2	A1	T34	184	1.7
S2	A1	T34	189	1.64
S2	A1	T34	194	1.56
S2	A1	T34	199	2.03
S2	A1	T34	206	1.55
S2	A1	T34	212	1.59
S2	A1	T34	218	1.42
S2	A1	T34	222	1.62
S2	A1	T34	228	1.59
S2	A1	T34	236	1.39
S2	A1	T34	241	1.42
S2	A1	T34	246	1.24
S2	A1	T34	251	1.29
S2	A1	T34	256	1.32
S2	A1	T34	261	1.06
S2	A1	T34	268	0.79
S2	A1	T34	273	1.26
S2	A1	T34	278	1.14
S2	A1	T34	283	0.71
S2	A1	T34	288	0.85
S2	A1	T34	293	0.82
S1	A2	T35	161	2.06
S1	A2	T35	166	2.15
S1	A2	T35	170	2.43
S1	A2	T35	174	2.24
S1	A2	T35	178	2.21
S1	A2	T35	184	NA
S1	A2	T35	189	2.4
S1	A2	T35	194	2.19
S1	A2	T35	199	3.13
S1	A2	T35	206	3.46
S1	A2	T35	212	2.89
S1	A2	T35	218	3.11
S1	A2	T35	222	2.85
S1	A2	T35	228	2.82
S1	A2	T35	236	3.95
S1	A2	T35	241	3.59
S1	A2	T35	246	3.58
S1	A2	T35	251	3
S1	A2	T35	256	3.62
S1	A2	T35	261	4.2
S1	A2	T35	268	1.97
S1	A2	T35	273	3.13
S1	A2	T35	278	3.61
S1	A2	T35	283	3.18
S1	A2	T35	288	3.08
S1	A2	T35	293	2.72
S1	A1	T36	161	0.42
S1	A1	T36	166	1.3
S1	A1	T36	170	0.93
S1	A1	T36	174	1.25
S1	A1	T36	178	1.08
S1	A1	T36	184	1.67
S1	A1	T36	189	1.58
S1	A1	T36	194	1.81
S1	A1	T36	199	2.38
S1	A1	T36	206	2.04
S1	A1	T36	212	2.1
S1	A1	T36	218	2.08
S1	A1	T36	222	2.73
S1	A1	T36	228	2.25
S1	A1	T36	236	2.55
S1	A1	T36	241	2.68
S1	A1	T36	246	2.59
S1	A1	T36	251	2.45
S1	A1	T36	256	2.39
S1	A1	T36	261	2.72
S1	A1	T36	268	1.23
S1	A1	T36	273	1.81
S1	A1	T36	278	1.97
S1	A1	T36	283	1.7
S1	A1	T36	288	1.92
S1	A1	T36	293	1.62
S1	A1	T37	161	0.99
S1	A1	T37	166	1.05
S1	A1	T37	170	1.19
S1	A1	T37	174	1.33
S1	A1	T37	178	1.06
S1	A1	T37	184	1.25
S1	A1	T37	189	1.26
S1	A1	T37	194	1.39
S1	A1	T37	199	2.16
S1	A1	T37	206	1.17
S1	A1	T37	212	1.57
S1	A1	T37	218	1.35
S1	A1	T37	222	2.2
S1	A1	T37	228	1.72
S1	A1	T37	236	1.7
S1	A1	T37	241	1.69
S1	A1	T37	246	1.64
S1	A1	T37	251	1.69
S1	A1	T37	256	1.55
S1	A1	T37	261	1.73
S1	A1	T37	268	1
S1	A1	T37	273	1.2
S1	A1	T37	278	1.33
S1	A1	T37	283	1.51
S1	A1	T37	288	1.36
S1	A1	T37	293	1.07
S2	A2	T38	161	1.32
S2	A2	T38	166	1.73
S2	A2	T38	170	1.3
S2	A2	T38	174	1.54
S2	A2	T38	178	1.4
S2	A2	T38	184	1.45
S2	A2	T38	189	1.57
S2	A2	T38	194	1.67
S2	A2	T38	199	2.04
S2	A2	T38	206	2.07
S2	A2	T38	212	1.68
S2	A2	T38	218	1.49
S2	A2	T38	222	2.38
S2	A2	T38	228	1.91
S2	A2	T38	236	1.62
S2	A2	T38	241	1.86
S2	A2	T38	246	1.78
S2	A2	T38	251	1.9
S2	A2	T38	256	1.39
S2	A2	T38	261	1.59
S2	A2	T38	268	0.78
S2	A2	T38	273	0.93
S2	A2	T38	278	0.9
S2	A2	T38	283	0.67
S2	A2	T38	288	0.58
S2	A2	T38	293	0.33
S1	A2	T39	161	1.83
S1	A2	T39	166	1.99
S1	A2	T39	170	1.61
S1	A2	T39	174	1.55
S1	A2	T39	178	1.27
S1	A2	T39	184	1.36
S1	A2	T39	189	1.4
S1	A2	T39	194	1.54
S1	A2	T39	199	2.47
S1	A2	T39	206	2.41
S1	A2	T39	212	1.41
S1	A2	T39	218	1.56
S1	A2	T39	222	2.17
S1	A2	T39	228	2
S1	A2	T39	236	2.26
S1	A2	T39	241	2.29
S1	A2	T39	246	2.12
S1	A2	T39	251	2.28
S1	A2	T39	256	3.36
S1	A2	T39	261	2.17
S1	A2	T39	268	1.07
S1	A2	T39	273	1.58
S1	A2	T39	278	1.78
S1	A2	T39	283	1.79
S1	A2	T39	288	1.86
S1	A2	T39	293	1.54
S2	A2	T40	161	1.9
S2	A2	T40	166	1.18
S2	A2	T40	170	2.69
S2	A2	T40	174	3.07
S2	A2	T40	178	2.54
S2	A2	T40	184	2.94
S2	A2	T40	189	2.54
S2	A2	T40	194	2.85
S2	A2	T40	199	3.6
S2	A2	T40	206	3.1
S2	A2	T40	212	2.9
S2	A2	T40	218	2.81
S2	A2	T40	222	3.61
S2	A2	T40	228	3.7
S2	A2	T40	236	2.95
S2	A2	T40	241	1.67
S2	A2	T40	246	2.51
S2	A2	T40	251	2.78
S2	A2	T40	256	2.03
S2	A2	T40	261	2.94
S2	A2	T40	268	1.48
S2	A2	T40	273	2.54
S2	A2	T40	278	2.32
S2	A2	T40	283	1.43
S2	A2	T40	288	1.31
S2	A2	T40	293	1.24
S2	A2	T49	161	2.33
S2	A2	T49	166	2.49
S2	A2	T49	170	2.84
S2	A2	T49	174	3.1
S2	A2	T49	178	3.09
S2	A2	T49	184	3.2
S2	A2	T49	189	3.22
S2	A2	T49	194	3.6
S2	A2	T49	199	4.05
S2	A2	T49	206	3.34
S2	A2	T49	212	3.18
S2	A2	T49	218	3.13
S2	A2	T49	222	3.67
S2	A2	T49	228	4.13
S2	A2	T49	236	2.84
S2	A2	T49	241	3.53
S2	A2	T49	246	2.95
S2	A2	T49	251	3.63
S2	A2	T49	256	4.56
S2	A2	T49	261	2.93
S2	A2	T49	268	1.87
S2	A2	T49	273	3.08
S2	A2	T49	278	2.2
S2	A2	T49	283	1.57
S2	A2	T49	288	1.62
S2	A2	T49	293	1.34
S1	A2	T50	161	2.56
S1	A2	T50	166	3.06
S1	A2	T50	170	1.56
S1	A2	T50	174	1.57
S1	A2	T50	178	1.58
S1	A2	T50	184	1.57
S1	A2	T50	189	1.74
S1	A2	T50	194	1.59
S1	A2	T50	199	3.97
S1	A2	T50	206	2.39
S1	A2	T50	212	2.35
S1	A2	T50	218	2.2
S1	A2	T50	222	2.96
S1	A2	T50	228	2.34
S1	A2	T50	236	2.89
S1	A2	T50	241	2.8
S1	A2	T50	246	2.69
S1	A2	T50	251	1.91
S1	A2	T50	256	2.43
S1	A2	T50	261	2.97
S1	A2	T50	268	1.12
S1	A2	T50	273	1.61
S1	A2	T50	278	1.97
S1	A2	T50	283	1.72
S1	A2	T50	288	1.62
S1	A2	T50	293	1.46
S2	A1	T51	161	1.29
S2	A1	T51	166	1.74
S2	A1	T51	170	2.43
S2	A1	T51	174	1.98
S2	A1	T51	178	1.73
S2	A1	T51	184	1.98
S2	A1	T51	189	2.06
S2	A1	T51	194	2.12
S2	A1	T51	199	2.41
S2	A1	T51	206	1.97
S2	A1	T51	212	1.87
S2	A1	T51	218	NA
S2	A1	T51	222	1.94
S2	A1	T51	228	2.11
S2	A1	T51	236	1.71
S2	A1	T51	241	1.94
S2	A1	T51	246	1.66
S2	A1	T51	251	1.85
S2	A1	T51	256	1.45
S2	A1	T51	261	1.52
S2	A1	T51	268	1.13
S2	A1	T51	273	1.08
S2	A1	T51	278	1.22
S2	A1	T51	283	0.68
S2	A1	T51	288	0.75
S2	A1	T51	293	0.72
S1	A2	T52	161	2.64
S1	A2	T52	166	3.1
S1	A2	T52	170	3.12
S1	A2	T52	174	3.02
S1	A2	T52	178	3.04
S1	A2	T52	184	2.6
S1	A2	T52	189	2.81
S1	A2	T52	194	3.17
S1	A2	T52	199	2.28
S1	A2	T52	206	2.69
S1	A2	T52	212	3.6
S1	A2	T52	218	4.12
S1	A2	T52	222	4
S1	A2	T52	228	3.83
S1	A2	T52	236	NA
S1	A2	T52	241	NA
S1	A2	T52	246	NA
S1	A2	T52	251	NA
S1	A2	T52	256	NA
S1	A2	T52	261	3.84
S1	A2	T52	268	1.63
S1	A2	T52	273	2.82
S1	A2	T52	278	3.1
S1	A2	T52	283	2.39
S1	A2	T52	288	2.48
S1	A2	T52	293	2.19
S2	A2	T53	161	2
S2	A2	T53	166	2.31
S2	A2	T53	170	1.62
S2	A2	T53	174	1.13
S2	A2	T53	178	1.22
S2	A2	T53	184	1.45
S2	A2	T53	189	1.52
S2	A2	T53	194	1.27
S2	A2	T53	199	2.24
S2	A2	T53	206	1.92
S2	A2	T53	212	1.36
S2	A2	T53	218	1.83
S2	A2	T53	222	1.71
S2	A2	T53	228	1.82
S2	A2	T53	236	1.67
S2	A2	T53	241	2.04
S2	A2	T53	246	1.92
S2	A2	T53	251	1.97
S2	A2	T53	256	1.56
S2	A2	T53	261	1.96
S2	A2	T53	268	0.89
S2	A2	T53	273	1.28
S2	A2	T53	278	1.09
S2	A2	T53	283	1.12
S2	A2	T53	288	0.69
S2	A2	T53	293	0.45
S2	A1	T54	161	1.16
S2	A1	T54	166	1.27
S2	A1	T54	170	1.2
S2	A1	T54	174	1.42
S2	A1	T54	178	1.33
S2	A1	T54	184	1.73
S2	A1	T54	189	1.72
S2	A1	T54	194	2.02
S2	A1	T54	199	1.82
S2	A1	T54	206	1.43
S2	A1	T54	212	1.97
S2	A1	T54	218	1.64
S2	A1	T54	222	1.94
S2	A1	T54	228	2.04
S2	A1	T54	236	NA
S2	A1	T54	241	NA
S2	A1	T54	246	NA
S2	A1	T54	251	NA
S2	A1	T54	256	NA
S2	A1	T54	261	1.54
S2	A1	T54	268	0.93
S2	A1	T54	273	1.24
S2	A1	T54	278	1.14
S2	A1	T54	283	1.16
S2	A1	T54	288	1.04
S2	A1	T54	293	0.77
S1	A1	T55	161	0.99
S1	A1	T55	166	1.3
S1	A1	T55	170	1.27
S1	A1	T55	174	1.54
S1	A1	T55	178	1.41
S1	A1	T55	184	1.81
S1	A1	T55	189	1.8
S1	A1	T55	194	2.13
S1	A1	T55	199	2.72
S1	A1	T55	206	2.37
S1	A1	T55	212	2.51
S1	A1	T55	218	NA
S1	A1	T55	222	2.5
S1	A1	T55	228	3.19
S1	A1	T55	236	2.85
S1	A1	T55	241	3.24
S1	A1	T55	246	2.76
S1	A1	T55	251	3.2
S1	A1	T55	256	2.69
S1	A1	T55	261	2.99
S1	A1	T55	268	1.54
S1	A1	T55	273	2.31
S1	A1	T55	278	2.68
S1	A1	T55	283	1.76
S1	A1	T55	288	1.87
S1	A1	T55	293	1.88
S1	A1	T56	161	1.35
S1	A1	T56	166	1.35
S1	A1	T56	170	0.99
S1	A1	T56	174	1.37
S1	A1	T56	178	1.31
S1	A1	T56	184	1.88
S1	A1	T56	189	1.95
S1	A1	T56	194	2.05
S1	A1	T56	199	1.32
S1	A1	T56	206	1.1
S1	A1	T56	212	2.34
S1	A1	T56	218	2.55
S1	A1	T56	222	2.77
S1	A1	T56	228	3.02
S1	A1	T56	236	NA
S1	A1	T56	241	NA
S1	A1	T56	246	NA
S1	A1	T56	251	NA
S1	A1	T56	256	NA
S1	A1	T56	261	3.05
S1	A1	T56	268	1.67
S1	A1	T56	273	2.59
S1	A1	T56	278	2.54
S1	A1	T56	283	2.05
S1	A1	T56	288	1.86
S1	A1	T56	293	2.21
S2	A1	T65	161	1.08
S2	A1	T65	166	1.34
S2	A1	T65	170	0.87
S2	A1	T65	174	1.63
S2	A1	T65	178	1.04
S2	A1	T65	184	1.21
S2	A1	T65	189	1.36
S2	A1	T65	194	1.34
S2	A1	T65	199	1.77
S2	A1	T65	206	1.33
S2	A1	T65	212	1.2
S2	A1	T65	218	1.31
S2	A1	T65	222	1.61
S2	A1	T65	228	1.49
S2	A1	T65	236	2.99
S2	A1	T65	241	1.51
S2	A1	T65	246	1
S2	A1	T65	251	1.4
S2	A1	T65	256	1.16
S2	A1	T65	261	1.25
S2	A1	T65	268	0.77
S2	A1	T65	273	0.95
S2	A1	T65	278	0.69
S2	A1	T65	283	0.45
S2	A1	T65	288	0.57
S2	A1	T65	293	0.38
S1	A2	T66	161	3.12
S1	A2	T66	166	3.55
S1	A2	T66	170	3.57
S1	A2	T66	174	3.44
S1	A2	T66	178	3.59
S1	A2	T66	184	3.55
S1	A2	T66	189	3.09
S1	A2	T66	194	4.06
S1	A2	T66	199	5.19
S1	A2	T66	206	5.1
S1	A2	T66	212	5.09
S1	A2	T66	218	4.94
S1	A2	T66	222	5.11
S1	A2	T66	228	4.67
S1	A2	T66	236	5.44
S1	A2	T66	241	6.2
S1	A2	T66	246	5.03
S1	A2	T66	251	5.48
S1	A2	T66	256	4.87
S1	A2	T66	261	5.54
S1	A2	T66	268	2.54
S1	A2	T66	273	4.4
S1	A2	T66	278	5.12
S1	A2	T66	283	3.63
S1	A2	T66	288	3.96
S1	A2	T66	293	3.47
S2	A2	T67	161	0.54
S2	A2	T67	166	1.58
S2	A2	T67	170	1.53
S2	A2	T67	174	1.98
S2	A2	T67	178	1.75
S2	A2	T67	184	2.27
S2	A2	T67	189	2.05
S2	A2	T67	194	2.01
S2	A2	T67	199	2.49
S2	A2	T67	206	2.05
S2	A2	T67	212	1.69
S2	A2	T67	218	2.18
S2	A2	T67	222	2.03
S2	A2	T67	228	2.09
S2	A2	T67	236	1.74
S2	A2	T67	241	1.9
S2	A2	T67	246	1.46
S2	A2	T67	251	2.24
S2	A2	T67	256	1.66
S2	A2	T67	261	1.75
S2	A2	T67	268	1.01
S2	A2	T67	273	1.61
S2	A2	T67	278	1.29
S2	A2	T67	283	0.84
S2	A2	T67	288	0.89
S2	A2	T67	293	0.75
S1	A1	T68	161	1.15
S1	A1	T68	166	1.66
S1	A1	T68	170	1.7
S1	A1	T68	174	1.97
S1	A1	T68	178	1.87
S1	A1	T68	184	NA
S1	A1	T68	189	2.37
S1	A1	T68	194	2.73
S1	A1	T68	199	3.43
S1	A1	T68	206	3.21
S1	A1	T68	212	3.31
S1	A1	T68	218	3.49
S1	A1	T68	222	3.84
S1	A1	T68	228	4.19
S1	A1	T68	236	4.03
S1	A1	T68	241	4.86
S1	A1	T68	246	4.08
S1	A1	T68	251	4.36
S1	A1	T68	256	3.86
S1	A1	T68	261	4.04
S1	A1	T68	268	1.76
S1	A1	T68	273	3.58
S1	A1	T68	278	3.37
S1	A1	T68	283	2.67
S1	A1	T68	288	2.95
